Control_ID,Title,Category,Automation_Type,AWS_Checks,Azure_Checks,GCP_Checks,Oracle_Checks,IBM_Checks,Alicloud_Checks,Total_Checks
Booting Up-3,Enable automatic updates and patch quickly,Booting Up: Things to Do First,automated,aws_ec2_patch_compliance; aws_rds_auto_minor_version_upgrade; aws_elasticbeanstalk_managed_updates_enabled; aws_redshift_cluster_maintenance_settings,azure_vm_patch_compliance; azure_sql_auto_minor_version_upgrade; azure_app_service_managed_updates_enabled; azure_synapse_cluster_maintenance_settings,gcp_compute_patch_compliance; gcp_sql_auto_minor_version_upgrade; gcp_app_engine_managed_updates_enabled; gcp_bigquery_cluster_maintenance_settings,oracle_compute_patch_compliance; oracle_database_auto_minor_version_upgrade; oracle_container_instances_managed_updates_enabled; oracle_autonomous_dw_cluster_maintenance_settings,ibm_vsi_patch_compliance; ibm_database_auto_minor_version_upgrade; ibm_code_engine_managed_updates_enabled; ibm_db2_warehouse_cluster_maintenance_settings,alicloud_ecs_patch_compliance; alicloud_rds_auto_minor_version_upgrade; alicloud_web_hosting_managed_updates_enabled; alicloud_analyticdb_cluster_maintenance_settings,24
Booting Up-4,Implement secure configurations for hardware and software,Booting Up: Things to Do First,automated,aws_ec2_instance_no_public_ip; aws_ec2_securitygroup_ssh_restricted; aws_ec2_securitygroup_common_ports_restricted; aws_s3_bucket_public_read_prohibited; aws_s3_bucket_public_write_prohibited,azure_vm_instance_no_public_ip; azure_vm_securitygroup_ssh_restricted; azure_vm_securitygroup_common_ports_restricted; azure_storage_bucket_public_read_prohibited; azure_storage_bucket_public_write_prohibited,gcp_compute_instance_no_public_ip; gcp_compute_securitygroup_ssh_restricted; gcp_compute_securitygroup_common_ports_restricted; gcp_gcs_bucket_public_read_prohibited; gcp_gcs_bucket_public_write_prohibited,oracle_compute_instance_no_public_ip; oracle_compute_securitygroup_ssh_restricted; oracle_compute_securitygroup_common_ports_restricted; oracle_object_storage_bucket_public_read_prohibited; oracle_object_storage_bucket_public_write_prohibited,ibm_vsi_instance_no_public_ip; ibm_vsi_securitygroup_ssh_restricted; ibm_vsi_securitygroup_common_ports_restricted; ibm_cos_bucket_public_read_prohibited; ibm_cos_bucket_public_write_prohibited,alicloud_ecs_instance_no_public_ip; alicloud_ecs_securitygroup_ssh_restricted; alicloud_ecs_securitygroup_common_ports_restricted; alicloud_oss_bucket_public_read_prohibited; alicloud_oss_bucket_public_write_prohibited,30
Your Surroundings-1,Leverage multi-factor authentication for all users,Your Surroundings,automated,aws_iam_user_mfa_enabled; aws_iam_console_mfa_enabled; aws_iam_root_mfa_enabled,azure_entra_user_mfa_enabled; azure_entra_console_mfa_enabled; azure_entra_root_mfa_enabled,gcp_iam_user_mfa_enabled; gcp_iam_console_mfa_enabled; gcp_iam_root_mfa_enabled,oracle_identity_user_mfa_enabled; oracle_identity_console_mfa_enabled; oracle_identity_root_mfa_enabled,ibm_iam_user_mfa_enabled; ibm_iam_console_mfa_enabled; ibm_iam_root_mfa_enabled,alicloud_ram_user_mfa_enabled; alicloud_ram_console_mfa_enabled; alicloud_ram_root_mfa_enabled,18
Your Surroundings-2,Grant access based on need-to-know and least privilege,Your Surroundings,automated,aws_iam_no_admin_policy; aws_iam_user_no_inline_policies; aws_iam_group_has_users; aws_iam_user_in_group,azure_entra_no_admin_policy; azure_entra_user_no_inline_policies; azure_entra_group_has_users; azure_entra_user_in_group,gcp_iam_no_admin_policy; gcp_iam_user_no_inline_policies; gcp_iam_group_has_users; gcp_iam_user_in_group,oracle_identity_no_admin_policy; oracle_identity_user_no_inline_policies; oracle_identity_group_has_users; oracle_identity_user_in_group,ibm_iam_no_admin_policy; ibm_iam_user_no_inline_policies; ibm_iam_group_has_users; ibm_iam_user_in_group,alicloud_ram_no_admin_policy; alicloud_ram_user_no_inline_policies; alicloud_ram_group_has_users; alicloud_ram_user_in_group,24
Your Surroundings-3,Leverage unique passwords for all user accounts,Your Surroundings,automated,aws_iam_password_policy_compliance,azure_entra_password_policy_compliance,gcp_iam_password_policy_compliance,oracle_identity_password_policy_compliance,ibm_iam_password_policy_compliance,alicloud_ram_password_policy_compliance,6
Your Surroundings-4,Develop IT policies addressing changes in user status,Your Surroundings,automated,aws_iam_user_unused_credentials,azure_entra_user_unused_credentials,gcp_iam_user_unused_credentials,oracle_identity_user_unused_credentials,ibm_iam_user_unused_credentials,alicloud_ram_user_unused_credentials,6
Your Data-1,Learn what is happening on your network,Your Data,automated,aws_cloudtrail_enabled; aws_cloudtrail_cloudwatch_logs_enabled; aws_guardduty_enabled; aws_vpc_flow_logs_enabled; aws_cloudwatch_alarm_configured,azure_log_enabled; azure_log_cloudwatch_logs_enabled; azure_defender_enabled; azure_network_flow_logs_enabled; azure_monitor_alarm_configured,gcp_logging_enabled; gcp_logging_cloudwatch_logs_enabled; gcp_security_command_center_enabled; gcp_vpc_flow_logs_enabled; gcp_monitoring_alarm_configured,oracle_audit_enabled; oracle_audit_cloudwatch_logs_enabled; oracle_cloud_guard_enabled; oracle_vcn_flow_logs_enabled; oracle_monitoring_alarm_configured,ibm_activity_tracker_enabled; ibm_activity_tracker_cloudwatch_logs_enabled; ibm_security_advisor_enabled; ibm_vpc_flow_logs_enabled; ibm_monitoring_alarm_configured,alicloud_actiontrail_enabled; alicloud_actiontrail_cloudwatch_logs_enabled; alicloud_threat_detection_enabled; alicloud_vpc_flow_logs_enabled; alicloud_cloudmonitor_alarm_configured,30
Your Data-2,Learn how your data is protected,Your Data,automated,aws_s3_bucket_encryption_enabled; aws_s3_bucket_default_kms_encryption; aws_rds_storage_encrypted; aws_ec2_ebs_volume_encrypted; aws_kms_key_not_scheduled_for_deletion,azure_storage_bucket_encryption_enabled; azure_storage_bucket_default_kms_encryption; azure_sql_storage_encrypted; azure_vm_ebs_volume_encrypted; azure_keyvault_key_not_scheduled_for_deletion,gcp_gcs_bucket_encryption_enabled; gcp_gcs_bucket_default_kms_encryption; gcp_sql_storage_encrypted; gcp_compute_ebs_volume_encrypted; gcp_kms_key_not_scheduled_for_deletion,oracle_object_storage_bucket_encryption_enabled; oracle_object_storage_bucket_default_kms_encryption; oracle_database_storage_encrypted; oracle_compute_ebs_volume_encrypted; oracle_kms_key_not_scheduled_for_deletion,ibm_cos_bucket_encryption_enabled; ibm_cos_bucket_default_kms_encryption; ibm_database_storage_encrypted; ibm_vsi_ebs_volume_encrypted; ibm_key_protect_key_not_scheduled_for_deletion,alicloud_oss_bucket_encryption_enabled; alicloud_oss_bucket_default_kms_encryption; alicloud_rds_storage_encrypted; alicloud_ecs_ebs_volume_encrypted; alicloud_kms_key_not_scheduled_for_deletion,30
Your Data-3,Leverage malware protection capabilities,Your Data,automated,aws_guardduty_enabled; aws_guardduty_no_high_severity_findings,azure_defender_enabled; azure_defender_no_high_severity_findings,gcp_security_command_center_enabled; gcp_security_command_center_no_high_severity_findings,oracle_cloud_guard_enabled; oracle_cloud_guard_no_high_severity_findings,ibm_security_advisor_enabled; ibm_security_advisor_no_high_severity_findings,alicloud_threat_detection_enabled; alicloud_threat_detection_no_high_severity_findings,12
Your Data-4,Establish regular automated backups,Your Data,automated,aws_backup_plan_min_retention; aws_backup_recovery_point_retention; aws_rds_instance_backup_enabled; aws_dynamodb_pitr_enabled; aws_rds_backup_enabled,azure_backup_plan_min_retention; azure_backup_recovery_point_retention; azure_sql_instance_backup_enabled; azure_cosmosdb_pitr_enabled; azure_sql_backup_enabled,gcp_backup_plan_min_retention; gcp_backup_recovery_point_retention; gcp_sql_instance_backup_enabled; gcp_firestore_pitr_enabled; gcp_sql_backup_enabled,oracle_backup_plan_min_retention; oracle_backup_recovery_point_retention; oracle_database_instance_backup_enabled; oracle_nosql_pitr_enabled; oracle_database_backup_enabled,ibm_backup_plan_min_retention; ibm_backup_recovery_point_retention; ibm_database_instance_backup_enabled; ibm_cloudant_pitr_enabled; ibm_database_backup_enabled,alicloud_backup_plan_min_retention; alicloud_backup_recovery_point_retention; alicloud_rds_instance_backup_enabled; alicloud_tablestore_pitr_enabled; alicloud_rds_backup_enabled,30
Your Crisis Response-1,Lead development of incident response and disaster recovery plan,Your Crisis Response,manual,,,,,,,0
Your Crisis Response-2,Leverage business impact assessments,Your Crisis Response,manual,,,,,,,0
