cloud_provider,rule_id,uniform_rule_format,service,category,provider_service,alicloud_mapped_compliance_functions,alicloud_mapped_compliance_ids
alicloud,alicloud.PAI - Training.ai_services_security_training_pipeline_secrets_from_vault_only,alicloud.PAI - Training.ai_services_security_training_pipeline_secrets_from_vault_only,,ai_services,PAI - Training,,
alicloud,alicloud.ECS/E-HPC (as compute backends).ai_services_security_training_pipeline_private_networking_enforced,alicloud.ECS/E-HPC (as compute backends).ai_services_security_training_pipeline_private_networking_enforced,,ai_services,ECS/E-HPC (as compute backends),,
alicloud,alicloud.ECS/E-HPC (as compute backends).ai_services_security_training_pipeline_secrets_from_vault_only,alicloud.ECS/E-HPC (as compute backends).ai_services_security_training_pipeline_secrets_from_vault_only,,ai_services,ECS/E-HPC (as compute backends),,
alicloud,alicloud.DataWorks (Data Integration & Scheduling).ai_services_security_data_pipeline_access_controls_least_privilege,alicloud.DataWorks (Data Integration & Scheduling).ai_services_security_data_pipeline_access_controls_least_privilege,,ai_services,DataWorks (Data Integration & Scheduling),,
alicloud,alicloud.DataWorks (Data Integration & Scheduling).ai_services_security_data_pipeline_private_networking_enforced,alicloud.DataWorks (Data Integration & Scheduling).ai_services_security_data_pipeline_private_networking_enforced,,ai_services,DataWorks (Data Integration & Scheduling),,
alicloud,alicloud.PAI - Model Management.ai_services_security_model_registry_access_rbac_least_privilege,alicloud.PAI - Model Management.ai_services_security_model_registry_access_rbac_least_privilege,,ai_services,PAI - Model Management,,
alicloud,alicloud.PAI - Model Registry.ai_services_supply_chain_model_artifact_signed_and_verified,alicloud.PAI - Model Registry.ai_services_supply_chain_model_artifact_signed_and_verified,,ai_services,PAI - Model Registry,,
alicloud,alicloud.PAI - Model Registry.ai_services_supply_chain_model_artifact_sbom_present,alicloud.PAI - Model Registry.ai_services_supply_chain_model_artifact_sbom_present,,ai_services,PAI - Model Registry,,
alicloud,alicloud.PAI - Model Registry.ai_services_supply_chain_model_artifact_image_scanned_no_critical,alicloud.PAI - Model Registry.ai_services_supply_chain_model_artifact_image_scanned_no_critical,,ai_services,PAI - Model Registry,,
alicloud,alicloud.PAI - Model Registry.ai_services_security_model_artifact_encrypted_at_rest_cmek,alicloud.PAI - Model Registry.ai_services_security_model_artifact_encrypted_at_rest_cmek,,ai_services,PAI - Model Registry,,
alicloud,alicloud.PAI-DSW Workspace.ai_services_security_secrets_vault_kms_encryption_and_rotation_enabled,alicloud.PAI-DSW Workspace.ai_services_security_secrets_vault_kms_encryption_and_rotation_enabled,,ai_services,PAI-DSW Workspace,alicloud.ack.cluster.secret_encryption_kms_enabled;alicloud.ack.disk.cmek_encryption_check;alicloud.actiontrail.kms.encryption.enabled;alicloud.actiontrail.kms_encryption_enabled;alicloud.analyticdb.cluster.encrypted;alicloud.apigateway.restapi_cache_encrypted;alicloud.backup.backup_encryption_enabled;alicloud.backup.recovery.point.encrypted;alicloud.backup.recovery_point_encrypted;alicloud.backup.recovery_point_encryption;alicloud.backup.vault_encryption_enabled;alicloud.backup.vaults_encrypted;alicloud.bigquery.dataset_cmk_encryption;alicloud.bigquery.table_cmk_encryption;alicloud.cloudfront.distributions_field_level_encryption_enabled;alicloud.cloudmonitor.group.kms_encryption_enabled;alicloud.cloudmonitor.log.group.kms.encryption.enabled;alicloud.cloudmonitor.log.metric.filter.disable.or.scheduled.deletion.of.kms.cmk;alicloud.cloudtrail.kms_encryption_enabled;alicloud.cloudwatch.group.kms_encryption_enabled;alicloud.codebuild.project_oss_logs_encrypted;alicloud.compute.instance.encryption_with_csek_enabled;alicloud.data.lake.analytics.workgroup.encryption;alicloud.documentdb.cluster.storage_encrypted;alicloud.dynamodb.accelerator.cluster.encryption.enabled;alicloud.dynamodb.cluster.encryption_enabled;alicloud.dynamodb.cluster.in_transit_encryption_enabled;alicloud.dynamodb.tables.kms.cmk.encryption.enabled;alicloud.dynamodb.tables_kms_cmk_encryption_enabled;alicloud.ecs.disk.encrypted;alicloud.ecs.disk.encryption_at_rest_check;alicloud.ecs.ebs.default.encryption;alicloud.ecs.ebs.volume.encryption;alicloud.ecs.ebs_snapshots_encrypted;alicloud.ecs.unattached_disks_encryption_at_rest_check;alicloud.ecs.volume.encryption_enabled;alicloud.efs.encryption.at.rest.enabled;alicloud.efs.encryption_at_rest_enabled;alicloud.eks.cluster.kms.cmk.encryption.in.secrets.enabled;alicloud.eks.cluster.kms_cmk_encryption_in_secrets_enabled;alicloud.elasticache.cluster.in_transit_encryption_enabled;alicloud.elasticache.cluster.rest_encryption_enabled;alicloud.elasticsearch.service.domains_encryption_at_rest_enabled;alicloud.glue.data_catalogs_metadata_encryption_enabled;alicloud.glue.development_endpoints_job_bookmark_encryption_enabled;alicloud.glue.etl_jobs_amazon_oss_encryption_enabled;alicloud.glue.etl_jobs_cloudmonitor_logs_encryption_enabled;alicloud.glue.ml_transform_encrypted_at_rest;alicloud.kafka.cluster.encryption_at_rest_uses_cmk;alicloud.kafka.cluster.in_transit_encryption_enabled;alicloud.kafka.connector_in_transit_encryption_enabled;alicloud.kms.cmk.rotation.enabled;alicloud.kms.cmk_not_multi_region;alicloud.kms.cmk_rotation_enabled;alicloud.kms.cmk_state_change_alerts;alicloud.kms.key.expiration_set;alicloud.kms.key.not_publicly_accessible;alicloud.kms.key.not_scheduled_for_deletion;alicloud.kms.key.rotation_enabled;alicloud.kms.secret_rotation_enabled;alicloud.nas.encryption_at_rest_enabled;alicloud.neptune.cluster.snapshot_encrypted;alicloud.neptune.cluster.storage_encrypted;alicloud.opensearch.service.domains.encryption.at.rest.enabled;alicloud.opensearch.service.domains.node.to.node.encryption.enabled;alicloud.opensearch.service.domains_encryption_at_rest_enabled;alicloud.oss.bucket.default.encryption;alicloud.oss.bucket.default_encryption;alicloud.oss.bucket.default_kms_encryption;alicloud.oss.bucket.encryption_at_rest_sse_kms_service_key_enabled;alicloud.oss.bucket.encryption_byok_enabled;alicloud.oss.bucket.kms_encryption;alicloud.pai.instance.encryption_enabled;alicloud.rds.cluster.storage_encrypted;alicloud.rds.instance.encryption_enabled;alicloud.rds.instance.storage.encrypted;alicloud.rds.instance.storage_encrypted;alicloud.rds.instance.tde_encryption_byok_enabled;alicloud.redshift.cluster.audit.logging;alicloud.sagemaker.notebook.instance.encryption.enabled;alicloud.sagemaker.volume.and_output_encryption_enabled;alicloud.sns.topics.kms.encryption.at.rest.enabled;alicloud.sqs.queues_server_side_encryption_enabled;alicloud.storage.ensure_encryption_with_customer_managed_keys,canada_pbmm_moderate_multi_cloud_CCCS_CM-6_0046;canada_pbmm_moderate_multi_cloud_CCCS_CM-9_0049;canada_pbmm_moderate_multi_cloud_CCCS_CP-9_0059;canada_pbmm_moderate_multi_cloud_CCCS_SC-12_0135;canada_pbmm_moderate_multi_cloud_CCCS_SC-13_0136;canada_pbmm_moderate_multi_cloud_CCCS_SC-28_0144;cis_alicloud_alicloud_2.20_0154;cis_alicloud_alicloud_4.1_0163;cis_alicloud_alicloud_4.2_0164;cis_alicloud_alicloud_5.8_0176;cis_alicloud_alicloud_5.9_0177;cis_alicloud_alicloud_6.2.1_0114;cis_alicloud_alicloud_6.4.1_0120;cis_alicloud_alicloud_6.6_0183;cisa_ce_v1_multi_cloud_Your_Data-2_0018;fedramp_moderate_multi_cloud_CM-6_0116;fedramp_moderate_multi_cloud_CM-6_1_0117;fedramp_moderate_multi_cloud_CM-6_2_0118;fedramp_moderate_multi_cloud_CM-9_0128;fedramp_moderate_multi_cloud_CP-9_0160;fedramp_moderate_multi_cloud_CP-9_1_0161;fedramp_moderate_multi_cloud_CP-9_2_0162;fedramp_moderate_multi_cloud_CP-9_3_0163;fedramp_moderate_multi_cloud_CP-9_5_0164;fedramp_moderate_multi_cloud_CP-9_8_0165;fedramp_moderate_multi_cloud_SC-12_0346;fedramp_moderate_multi_cloud_SC-13_0348;fedramp_moderate_multi_cloud_SC-28_0357;gdpr_multi_cloud_Article_25_Data_protection_by_design_and_by_defaul_0001;gdpr_multi_cloud_Article_30_Records_of_processing_activities_0002;gdpr_multi_cloud_Article_32_Security_of_processing_0003;hipaa_multi_cloud_164_308_a_1_ii_b_0002;hipaa_multi_cloud_164_308_a_1_ii_d_0003;hipaa_multi_cloud_164_308_a_3_ii_a_0005;hipaa_multi_cloud_164_308_a_4_ii_a_0009;hipaa_multi_cloud_164_312_a_2_iv_0025;hipaa_multi_cloud_164_312_b_0026;hipaa_multi_cloud_164_312_c_1_0027;hipaa_multi_cloud_164_312_c_2_0028;hipaa_multi_cloud_164_312_e_1_0030;hipaa_multi_cloud_164_312_e_2_ii_0032;iso27001_2022_multi_cloud_A.10.1_0001;iso27001_2022_multi_cloud_A.5.16_0012;iso27001_2022_multi_cloud_A.8.11_0066;iso27001_2022_multi_cloud_A.8.12_0067;iso27001_2022_multi_cloud_A.8.13_0068;iso27001_2022_multi_cloud_A.8.14_0069;iso27001_2022_multi_cloud_A.8.15_0070;iso27001_2022_multi_cloud_A.8.16_0071;iso27001_2022_multi_cloud_A.8.1_0064;iso27001_2022_multi_cloud_A.8.24_0080;iso27001_2022_multi_cloud_A.8.5_0092;nist_800_171_r2_multi_cloud_3_13_11_3.13.11_Employ_FIPS-validated_cryptograph_0005;nist_800_171_r2_multi_cloud_3_13_16_3.13.16_Protect_the_confidentiality_of_CU_0007;nist_800_171_r2_multi_cloud_3_13_5_3.13.5_Implement_subnetworks_for_publicly_0011;nist_800_171_r2_multi_cloud_3_13_8_3.13.8_Implement_cryptographic_mechanisms_0013;nist_800_171_r2_multi_cloud_3_3_8_3.3.8_Protect_audit_information_and_audit_l_0036;nist_800_171_r2_multi_cloud_3_5_10_3.5.10_Store_and_transmit_only_cryptograph_0042;nist_800_53_rev5_multi_cloud_AU-9_3_0261;nist_800_53_rev5_multi_cloud_CM-6-a_0397;nist_800_53_rev5_multi_cloud_CM-9-b_0428;nist_800_53_rev5_multi_cloud_CP-9-d_0512;nist_800_53_rev5_multi_cloud_CP-9_8_0508;nist_800_53_rev5_multi_cloud_PM-11-b_0867;nist_800_53_rev5_multi_cloud_SA-9_6_1118;nist_800_53_rev5_multi_cloud_SC-12_1_1236;nist_800_53_rev5_multi_cloud_SC-12_2_1237;nist_800_53_rev5_multi_cloud_SC-12_3_1238;nist_800_53_rev5_multi_cloud_SC-12_3_1239;nist_800_53_rev5_multi_cloud_SC-12_3_1240;nist_800_53_rev5_multi_cloud_SC-12_4_1241;nist_800_53_rev5_multi_cloud_SC-12_5_1242;nist_800_53_rev5_multi_cloud_SC-12_6_1243;nist_800_53_rev5_multi_cloud_SC-13-a_1248;nist_800_53_rev5_multi_cloud_SC-16_1_1256;nist_800_53_rev5_multi_cloud_SC-28_1_1280;nist_800_53_rev5_multi_cloud_SC-8_3_1229;nist_800_53_rev5_multi_cloud_SC-8_4_1230;nist_800_53_rev5_multi_cloud_SI-19_4_1445;pci_dss_v4_multi_cloud_3.5.1.2_0042;pci_dss_v4_multi_cloud_3.5.1.3_0043;rbi_bank_multi_cloud_11.1_0004;rbi_bank_multi_cloud_3.3_0016;rbi_bank_multi_cloud_7.1_0023;rbi_bank_multi_cloud_8.1_0024;rbi_nbfc_multi_cloud_2.9_0013;soc2_multi_cloud_a1_2_0025;soc2_multi_cloud_cc_6_7_0013;soc2_multi_cloud_cc_7_3_0017;soc2_multi_cloud_cc_7_5_0019;soc2_multi_cloud_cc_c_1_1_0022
alicloud,alicloud.PAI-DSW Workspace.ai_services_security_secrets_vault_no_plaintext_secrets_in_config,alicloud.PAI-DSW Workspace.ai_services_security_secrets_vault_no_plaintext_secrets_in_config,,ai_services,PAI-DSW Workspace,,
alicloud,alicloud.PAI-DSW Workspace.ai_services_security_secrets_vault_access_rbac_least_privilege,alicloud.PAI-DSW Workspace.ai_services_security_secrets_vault_access_rbac_least_privilege,,ai_services,PAI-DSW Workspace,alicloud.ack.rbac_secrets_access_check,cis_alicloud_alicloud_5.1.2_0090
alicloud,alicloud.PAI - Feature Store.ai_services_security_feature_store_rbac_least_privilege,alicloud.PAI - Feature Store.ai_services_security_feature_store_rbac_least_privilege,,ai_services,PAI - Feature Store,,
alicloud,alicloud.PAI - Feature Store.ai_services_security_feature_store_private_networking_enforced,alicloud.PAI - Feature Store.ai_services_security_feature_store_private_networking_enforced,,ai_services,PAI - Feature Store,,
alicloud,alicloud.PAI - Pipelines.ai_services_security_agent_orchestrator_tool_use_allowlist_enforced,alicloud.PAI - Pipelines.ai_services_security_agent_orchestrator_tool_use_allowlist_enforced,,ai_services,PAI - Pipelines,,
alicloud,alicloud.PAI - Pipelines.ai_services_security_agent_orchestrator_secrets_isolation_enabled,alicloud.PAI - Pipelines.ai_services_security_agent_orchestrator_secrets_isolation_enabled,,ai_services,PAI - Pipelines,alicloud.securitycenter.assets_agent_installed_check,cis_alicloud_alicloud_8.2_0197
alicloud,alicloud.PAI - Pipelines.ai_services_security_agent_orchestrator_data_exfiltration_policies_enforced,alicloud.PAI - Pipelines.ai_services_security_agent_orchestrator_data_exfiltration_policies_enforced,,ai_services,PAI - Pipelines,,
alicloud,alicloud.PAI Dataset.ai_services_security_ai_dataset_encrypted_at_rest_cmek,alicloud.PAI Dataset.ai_services_security_ai_dataset_encrypted_at_rest_cmek,,ai_services,PAI Dataset,,
alicloud,alicloud.PAI Dataset.ai_services_security_ai_dataset_public_access_blocked,alicloud.PAI Dataset.ai_services_security_ai_dataset_public_access_blocked,,ai_services,PAI Dataset,alicloud.oss.account.level_public_access_blocks;alicloud.ack.cluster.nodes_private_ip_enforced;alicloud.actiontrail.logs.s3.bucket.is.not.publicly.accessible;alicloud.aisearch.service.not_publicly_accessible;alicloud.aks.clusters_created_with_private_nodes;alicloud.apigateway.restapi_public;alicloud.cloudsql.instance.public_ip;alicloud.cosmosdb.account.use_private_endpoints;alicloud.ecr.repositories_not_publicly_accessible;alicloud.ecs.instance.no_public_ip;alicloud.efs.not_publicly_accessible;alicloud.eks.cluster.not_publicly_accessible;alicloud.elbv2.internet_facing;alicloud.elbv2.waf.acl.attached;alicloud.emr.cluster.account_public_block_enabled;alicloud.fc.function.not_publicly_accessible;alicloud.keyvault.private_endpoints;alicloud.opensearch.service.domains_not_publicly_accessible;alicloud.shield.advanced.protection.in.internet.facing.load.balancers;alicloud.sqs.queues_not_publicly_accessible,"cis_alicloud_alicloud_6.3.3_0117;cisa_ce_v1_multi_cloud_Booting_Up-4_0012;gdpr_multi_cloud_Article_25_Data_protection_by_design_and_by_defaul_0001;iso27001_2022_multi_cloud_A.8.14_0069;iso27001_2022_multi_cloud_A.8.1_0064;iso27001_2022_multi_cloud_A.8.1_0064,nist_800_53_rev5_multi_cloud_SC-7_25_1212,nist_800_53_rev5_multi_cloud_SC-7_26_1213,nist_800_53_rev5_multi_cloud_SC-7_27_1214,nist_800_53_rev5_multi_cloud_SC-7_28_1215,nist_800_53_rev5_multi_cloud_SC-7_7_1221;nist_800_171_r2_multi_cloud_3_13_1_3.13.1_Monitor_control_and_protect_commu_0004;nist_800_171_r2_multi_cloud_3_13_5_3.13.5_Implement_subnetworks_for_publicly_0011;nist_800_53_rev5_multi_cloud_SC-7_25_1212;nist_800_53_rev5_multi_cloud_SC-7_26_1213;nist_800_53_rev5_multi_cloud_SC-7_27_1214;nist_800_53_rev5_multi_cloud_SC-7_28_1215;nist_800_53_rev5_multi_cloud_SC-7_7_1221;pci_dss_v4_multi_cloud_11.5.1.1_0175;rbi_bank_multi_cloud_17.1_0011;soc2_multi_cloud_cc_3_3_0005"
alicloud,alicloud.OSS (datasets).ai_services_security_ai_dataset_encrypted_at_rest_cmek,alicloud.OSS (datasets).ai_services_security_ai_dataset_encrypted_at_rest_cmek,,ai_services,OSS (datasets),,
alicloud,alicloud.OSS (datasets).ai_services_security_ai_dataset_public_access_blocked,alicloud.OSS (datasets).ai_services_security_ai_dataset_public_access_blocked,,ai_services,OSS (datasets),,
alicloud,alicloud.NAS/CPFS.ai_services_security_ai_dataset_encrypted_at_rest_cmek,alicloud.NAS/CPFS.ai_services_security_ai_dataset_encrypted_at_rest_cmek,,ai_services,NAS/CPFS,alicloud.vm.ensure_attached_disks_encrypted_with_cmk,"iso27001_2022_multi_cloud_A.8.11_0066;iso27001_2022_multi_cloud_A.8.11_0066,iso27001_2022_multi_cloud_A.8.24_0080,soc2_multi_cloud_cc_6_7_0013,soc2_multi_cloud_cc_7_4_0018,soc2_multi_cloud_cc_7_5_0019;iso27001_2022_multi_cloud_A.8.24_0080;soc2_multi_cloud_cc_6_7_0013;soc2_multi_cloud_cc_7_4_0018;soc2_multi_cloud_cc_7_5_0019"
alicloud,alicloud.NAS/CPFS.ai_services_security_ai_dataset_public_access_blocked,alicloud.NAS/CPFS.ai_services_security_ai_dataset_public_access_blocked,,ai_services,NAS/CPFS,alicloud.glacier.policy.public_access,iso27001_2022_multi_cloud_A.8.1_0064
alicloud,alicloud.CloudMonitor (CMS).api_security_monitoring_api_access_logging_enabled,alicloud.CloudMonitor (CMS).api_security_monitoring_api_access_logging_enabled,,api_security,CloudMonitor (CMS),alicloud.route53.public_hosted_zones_cloudmonitor_logging_enabled,"iso27001_2022_multi_cloud_A.8.15_0070;iso27001_2022_multi_cloud_A.8.15_0070,soc2_multi_cloud_cc_a_1_1_0021;soc2_multi_cloud_cc_a_1_1_0021"
alicloud,alicloud.CloudMonitor (CMS).api_security_monitoring_api_access_log_sink_configured,alicloud.CloudMonitor (CMS).api_security_monitoring_api_access_log_sink_configured,,api_security,CloudMonitor (CMS),alicloud.rds.postgresql_log_disconnections_check,cis_alicloud_alicloud_6.8_0185
alicloud,alicloud.CloudMonitor (CMS).api_security_monitoring_api_access_log_fields_identity_present,alicloud.CloudMonitor (CMS).api_security_monitoring_api_access_log_fields_identity_present,,api_security,CloudMonitor (CMS),,
alicloud,alicloud.CloudMonitor (CMS).api_security_monitoring_api_execution_logging_level_minimum_error,alicloud.CloudMonitor (CMS).api_security_monitoring_api_execution_logging_level_minimum_error,,api_security,CloudMonitor (CMS),,
alicloud,alicloud.CloudMonitor (CMS).api_security_monitoring_api_logs_retention_days_minimum,alicloud.CloudMonitor (CMS).api_security_monitoring_api_logs_retention_days_minimum,,api_security,CloudMonitor (CMS),,
alicloud,alicloud.ARMS.api_security_monitoring_api_access_logging_enabled,alicloud.ARMS.api_security_monitoring_api_access_logging_enabled,,api_security,ARMS,alicloud.wafv2.webacl_rule_logging_enabled,"iso27001_2022_multi_cloud_A.8.15_0070;iso27001_2022_multi_cloud_A.8.15_0070,iso27001_2022_multi_cloud_A.8.16_0071,soc2_multi_cloud_cc_a_1_1_0021;iso27001_2022_multi_cloud_A.8.16_0071;soc2_multi_cloud_cc_a_1_1_0021"
alicloud,alicloud.ARMS.api_security_monitoring_api_access_log_sink_configured,alicloud.ARMS.api_security_monitoring_api_access_log_sink_configured,,api_security,ARMS,alicloud.sls.log_metric_filter_alarm_configured,"canada_pbmm_moderate_multi_cloud_CCCS_AU-6_0028;canada_pbmm_moderate_multi_cloud_CCCS_AU-6_0028,fedramp_moderate_multi_cloud_AU-6_0065;fedramp_moderate_multi_cloud_AU-6_0065"
alicloud,alicloud.ARMS.api_security_monitoring_api_access_log_fields_identity_present,alicloud.ARMS.api_security_monitoring_api_access_log_fields_identity_present,,api_security,ARMS,alicloud.defender.auto_provisioning_log_analytics_agent_vms_on,"iso27001_2022_multi_cloud_A.8.15_0070;iso27001_2022_multi_cloud_A.8.15_0070,soc2_multi_cloud_cc_3_2_0004,soc2_multi_cloud_cc_4_2_0007,soc2_multi_cloud_cc_6_8_0014,soc2_multi_cloud_cc_7_1_0015,soc2_multi_cloud_cc_7_2_0016,soc2_multi_cloud_cc_7_3_0017,soc2_multi_cloud_cc_a_1_1_0021;soc2_multi_cloud_cc_3_2_0004;soc2_multi_cloud_cc_4_2_0007;soc2_multi_cloud_cc_6_8_0014;soc2_multi_cloud_cc_7_1_0015;soc2_multi_cloud_cc_7_2_0016;soc2_multi_cloud_cc_7_3_0017;soc2_multi_cloud_cc_a_1_1_0021"
alicloud,alicloud.ARMS.api_security_monitoring_api_execution_logging_level_minimum_error,alicloud.ARMS.api_security_monitoring_api_execution_logging_level_minimum_error,,api_security,ARMS,,
alicloud,alicloud.ARMS.api_security_monitoring_api_logs_retention_days_minimum,alicloud.ARMS.api_security_monitoring_api_logs_retention_days_minimum,,api_security,ARMS,alicloud.sqlserver.auditing_retention_90_days,soc2_multi_cloud_cc_c_1_2_0023
alicloud,alicloud.API Gateway (throttling/quotas).api_security_rate_limiting_api_stage_burst_limit_configured,alicloud.API Gateway (throttling/quotas).api_security_rate_limiting_api_stage_burst_limit_configured,,api_security,API Gateway (throttling/quotas),,
alicloud,alicloud.API Gateway (throttling/quotas).api_security_rate_limiting_api_stage_rate_limit_configured,alicloud.API Gateway (throttling/quotas).api_security_rate_limiting_api_stage_rate_limit_configured,,api_security,API Gateway (throttling/quotas),,
alicloud,alicloud.API Gateway (throttling/quotas).api_security_rate_limiting_api_usage_plan_required_for_api_keys,alicloud.API Gateway (throttling/quotas).api_security_rate_limiting_api_usage_plan_required_for_api_keys,,api_security,API Gateway (throttling/quotas),,
alicloud,alicloud.API Gateway (throttling/quotas).api_security_rate_limiting_api_quota_limit_configured,alicloud.API Gateway (throttling/quotas).api_security_rate_limiting_api_quota_limit_configured,,api_security,API Gateway (throttling/quotas),,
alicloud,alicloud.API Gateway (throttling/quotas).api_security_rate_limiting_api_stage_throttle_overrides_not_unbounded,alicloud.API Gateway (throttling/quotas).api_security_rate_limiting_api_stage_throttle_overrides_not_unbounded,,api_security,API Gateway (throttling/quotas),,
alicloud,alicloud.API Gateway (request/response schema validation).api_security_validation_api_request_schema_validation_enabled,alicloud.API Gateway (request/response schema validation).api_security_validation_api_request_schema_validation_enabled,,api_security,API Gateway (request/response schema validation),,
alicloud,alicloud.API Gateway (request/response schema validation).api_security_validation_api_response_schema_validation_enabled,alicloud.API Gateway (request/response schema validation).api_security_validation_api_response_schema_validation_enabled,,api_security,API Gateway (request/response schema validation),,
alicloud,alicloud.API Gateway (request/response schema validation).api_security_validation_api_parameters_validation_enabled,alicloud.API Gateway (request/response schema validation).api_security_validation_api_parameters_validation_enabled,,api_security,API Gateway (request/response schema validation),,
alicloud,alicloud.API Gateway (request/response schema validation).api_security_validation_api_content_type_whitelist_enforced,alicloud.API Gateway (request/response schema validation).api_security_validation_api_content_type_whitelist_enforced,,api_security,API Gateway (request/response schema validation),,
alicloud,alicloud.API Gateway (request/response schema validation).api_security_validation_api_request_body_size_limit_configured,alicloud.API Gateway (request/response schema validation).api_security_validation_api_request_body_size_limit_configured,,api_security,API Gateway (request/response schema validation),,
alicloud,alicloud.API Gateway (request/response schema validation).api_security_validation_api_required_security_headers_enforced,alicloud.API Gateway (request/response schema validation).api_security_validation_api_required_security_headers_enforced,,api_security,API Gateway (request/response schema validation),,
