cloud_provider,rule_id,uniform_rule_format,service,category,provider_service,k8s_mapped_compliance_functions,k8s_mapped_compliance_ids
k8s,k8s.k8s.compliance_governance.risk_management.risk_assessment_integrated.enabled,k8s.k8s.compliance_governance.risk_management.risk_assessment_integrated.enabled,compliance.namespace,,kubernetes,,
k8s,k8s.k8s.compliance_governance.risk_management.risk_assessment_integrated.risk_scoring_enabled_validated,k8s.k8s.compliance_governance.risk_management.risk_assessment_integrated.risk_scoring_enabled_validated,compliance.namespace,,kubernetes,,
k8s,k8s.k8s.compliance_governance.risk_management.risk_assessment_integrated.risk_threshold_validated,k8s.k8s.compliance_governance.risk_management.risk_assessment_integrated.risk_threshold_validated,compliance.namespace,,kubernetes,k8s.kube.controller_manager_terminated_pod_gc_threshold_check,cis_kubernetes_kubernetes_1.3.1_0052
k8s,k8s.k8s.data_protection.cross_border_transfer.transfer_controls_enabled.audited,k8s.k8s.data_protection.cross_border_transfer.transfer_controls_enabled.audited,data.classification,,kubernetes,,
k8s,k8s.k8s.data_protection.cross_border_transfer.transfer_controls_enabled.enabled,k8s.k8s.data_protection.cross_border_transfer.transfer_controls_enabled.enabled,data.classification,,kubernetes,,
k8s,k8s.k8s.data_protection.cross_border_transfer.transfer_controls_enabled.geographic_restrictions_validated,k8s.k8s.data_protection.cross_border_transfer.transfer_controls_enabled.geographic_restrictions_validated,data.classification,,kubernetes,,
k8s,k8s.k8s.data_protection.cross_border_transfer.transfer_controls_enabled.transfer_controls_validated,k8s.k8s.data_protection.cross_border_transfer.transfer_controls_enabled.transfer_controls_validated,data.classification,,kubernetes,,
k8s,k8s.k8s.data_protection.data_classification.labels_enforced.audited,k8s.k8s.data_protection.data_classification.labels_enforced.audited,data.classification,,kubernetes,,
k8s,k8s.k8s.data_protection.data_classification.labels_enforced.classification_enabled_validated,k8s.k8s.data_protection.data_classification.labels_enforced.classification_enabled_validated,data.classification,,kubernetes,,
k8s,k8s.k8s.data_protection.data_classification.labels_enforced.enabled,k8s.k8s.data_protection.data_classification.labels_enforced.enabled,data.classification,,kubernetes,,
k8s,k8s.k8s.data_protection.data_classification.labels_enforced.label_policies_validated,k8s.k8s.data_protection.data_classification.labels_enforced.label_policies_validated,data.classification,,kubernetes,,
k8s,k8s.k8s.data_protection.data_loss_prevention.dlp_policies_enforced.audited,k8s.k8s.data_protection.data_loss_prevention.dlp_policies_enforced.audited,data.dlp,,kubernetes,,
k8s,k8s.k8s.data_protection.data_loss_prevention.dlp_policies_enforced.dlp_enabled_validated,k8s.k8s.data_protection.data_loss_prevention.dlp_policies_enforced.dlp_enabled_validated,data.dlp,,kubernetes,,
k8s,k8s.k8s.data_protection.data_loss_prevention.dlp_policies_enforced.enabled,k8s.k8s.data_protection.data_loss_prevention.dlp_policies_enforced.enabled,data.dlp,,kubernetes,,
k8s,k8s.k8s.data_protection.data_loss_prevention.dlp_policies_enforced.enforced,k8s.k8s.data_protection.data_loss_prevention.dlp_policies_enforced.enforced,data.dlp,,kubernetes,,
k8s,k8s.k8s.data_protection.data_loss_prevention.dlp_policies_enforced.policy_types_validated,k8s.k8s.data_protection.data_loss_prevention.dlp_policies_enforced.policy_types_validated,data.dlp,,kubernetes,,
k8s,k8s.k8s.data_protection.dlp_policies.dlp_policies_enforced.audited,k8s.k8s.data_protection.dlp_policies.dlp_policies_enforced.audited,network.endpoint,,kubernetes,,
k8s,k8s.k8s.data_protection.dlp_policies.dlp_policies_enforced.data_classification_validated,k8s.k8s.data_protection.dlp_policies.dlp_policies_enforced.data_classification_validated,network.endpoint,,kubernetes,,
k8s,k8s.k8s.data_protection.dlp_policies.dlp_policies_enforced.dlp_policies_enabled_validated,k8s.k8s.data_protection.dlp_policies.dlp_policies_enforced.dlp_policies_enabled_validated,network.endpoint,,kubernetes,,
k8s,k8s.k8s.data_protection.dlp_policies.dlp_policies_enforced.enabled,k8s.k8s.data_protection.dlp_policies.dlp_policies_enforced.enabled,network.endpoint,,kubernetes,,
k8s,k8s.k8s.data_protection.dlp_policies.dlp_policies_enforced.enforced,k8s.k8s.data_protection.dlp_policies.dlp_policies_enforced.enforced,network.endpoint,,kubernetes,,
k8s,k8s.k8s.data_protection.privacy_controls.gdpr_compliance_enabled.audited,k8s.k8s.data_protection.privacy_controls.gdpr_compliance_enabled.audited,compliance.namespace,,kubernetes,,
k8s,k8s.k8s.data_protection.privacy_controls.gdpr_compliance_enabled.data_retention_policies_validated,k8s.k8s.data_protection.privacy_controls.gdpr_compliance_enabled.data_retention_policies_validated,compliance.namespace,,kubernetes,,
k8s,k8s.k8s.data_protection.privacy_controls.gdpr_compliance_enabled.enabled,k8s.k8s.data_protection.privacy_controls.gdpr_compliance_enabled.enabled,compliance.namespace,,kubernetes,,
k8s,k8s.k8s.data_protection.privacy_controls.gdpr_compliance_enabled.right_to_erasure_validated,k8s.k8s.data_protection.privacy_controls.gdpr_compliance_enabled.right_to_erasure_validated,compliance.namespace,,kubernetes,,
k8s,k8s.k8s.identity_access.authentication.break_glass_access_controlled.audited,k8s.k8s.identity_access.authentication.break_glass_access_controlled.audited,rbac.cluster_role_binding,,kubernetes,,
k8s,k8s.k8s.identity_access.authentication.break_glass_access_controlled.break_glass_roles_validated,k8s.k8s.identity_access.authentication.break_glass_access_controlled.break_glass_roles_validated,rbac.cluster_role_binding,,kubernetes,,
k8s,k8s.k8s.identity_access.authentication.break_glass_access_controlled.emergency_access_audit_validated,k8s.k8s.identity_access.authentication.break_glass_access_controlled.emergency_access_audit_validated,rbac.cluster_role_binding,,kubernetes,,
k8s,k8s.k8s.identity_access.authentication.break_glass_access_controlled.emergency_access_timeout_validated,k8s.k8s.identity_access.authentication.break_glass_access_controlled.emergency_access_timeout_validated,rbac.cluster_role_binding,,kubernetes,,
k8s,k8s.k8s.identity_access.authentication.break_glass_access_controlled.enabled,k8s.k8s.identity_access.authentication.break_glass_access_controlled.enabled,rbac.cluster_role_binding,,kubernetes,,
k8s,k8s.k8s.identity_access.authentication.break_glass_access_controlled.enforced,k8s.k8s.identity_access.authentication.break_glass_access_controlled.enforced,rbac.cluster_role_binding,,kubernetes,,
k8s,k8s.k8s.identity_access.authentication.certificate_auth_configured.audited,k8s.k8s.identity_access.authentication.certificate_auth_configured.audited,api.api_server,,kubernetes,k8s.federation.apiserver_basic_auth_disabled,cis_kubernetes_kubernetes_3.1.2_0070
k8s,k8s.k8s.identity_access.authentication.certificate_auth_configured.cert_rotation_period_validated,k8s.k8s.identity_access.authentication.certificate_auth_configured.cert_rotation_period_validated,api.api_server,,kubernetes,,
k8s,k8s.k8s.identity_access.authentication.certificate_auth_configured.enabled,k8s.k8s.identity_access.authentication.certificate_auth_configured.enabled,api.api_server,,kubernetes,k8s.namespace.isolation_configured,cis_kubernetes_kubernetes_1.6.3_0172
k8s,k8s.k8s.identity_access.authentication.certificate_auth_configured.enforced,k8s.k8s.identity_access.authentication.certificate_auth_configured.enforced,api.api_server,,kubernetes,,
k8s,k8s.k8s.identity_access.authentication.certificate_auth_configured.min_cert_key_size_validated,k8s.k8s.identity_access.authentication.certificate_auth_configured.min_cert_key_size_validated,api.api_server,,kubernetes,,
k8s,k8s.k8s.identity_access.authentication.certificate_lifecycle_managed.audited,k8s.k8s.identity_access.authentication.certificate_lifecycle_managed.audited,api.api_server,,kubernetes,,
k8s,k8s.k8s.identity_access.authentication.certificate_lifecycle_managed.auto_rotation_enabled_validated,k8s.k8s.identity_access.authentication.certificate_lifecycle_managed.auto_rotation_enabled_validated,api.api_server,,kubernetes,,
k8s,k8s.k8s.identity_access.authentication.certificate_lifecycle_managed.cert_expiry_threshold_validated,k8s.k8s.identity_access.authentication.certificate_lifecycle_managed.cert_expiry_threshold_validated,api.api_server,,kubernetes,,
k8s,k8s.k8s.identity_access.authentication.certificate_lifecycle_managed.enabled,k8s.k8s.identity_access.authentication.certificate_lifecycle_managed.enabled,api.api_server,,kubernetes,,
k8s,k8s.k8s.identity_access.authentication.mfa_enforced.audited,k8s.k8s.identity_access.authentication.mfa_enforced.audited,identity.user,,kubernetes,k8s.admission.webhook_authentication_enabled;k8s.apiserver.anonymous_auth_disabled;k8s.apiserver.authentication_enabled;k8s.apiserver.authentication_strong_mechanism_enabled;k8s.apiserver.ssh_access_disabled;k8s.apiserver.tls_enabled;k8s.networkpolicy.policies_documented;k8s.networkpolicy.ssh_restricted;k8s.rbac.no_root_access_key;k8s.rbac.policies_documented;k8s.secret.management_policies_documented,canada_pbmm_moderate_multi_cloud_CCCS_CA-9_0040;canada_pbmm_moderate_multi_cloud_CCCS_IA-2_0062;canada_pbmm_moderate_multi_cloud_CCCS_SC-13_0136;fedramp_moderate_multi_cloud_CA-9_0099;fedramp_moderate_multi_cloud_IA-2_0170;fedramp_moderate_multi_cloud_IA-2_12_0176;fedramp_moderate_multi_cloud_IA-2_1_0171;fedramp_moderate_multi_cloud_IA-2_2_0172;fedramp_moderate_multi_cloud_IA-2_5_0173;fedramp_moderate_multi_cloud_IA-2_6_0174;fedramp_moderate_multi_cloud_IA-2_8_0175;fedramp_moderate_multi_cloud_IA-5_0180;fedramp_moderate_multi_cloud_IA-5_13_0186;fedramp_moderate_multi_cloud_IA-5_1_0181;fedramp_moderate_multi_cloud_IA-5_2_0182;fedramp_moderate_multi_cloud_IA-5_6_0183;fedramp_moderate_multi_cloud_IA-5_7_0184;fedramp_moderate_multi_cloud_IA-5_8_0185;fedramp_moderate_multi_cloud_SC-13_0348;fedramp_moderate_multi_cloud_SI-2_0363;fedramp_moderate_multi_cloud_SI-2_2_0364;fedramp_moderate_multi_cloud_SI-2_3_0365;hipaa_multi_cloud_164_312_c_2_0028;hipaa_multi_cloud_164_312_d_0029;iso27001_2022_multi_cloud_A.10.1_0001;iso27001_2022_multi_cloud_A.5.10_0006;iso27001_2022_multi_cloud_A.5.11_0007;iso27001_2022_multi_cloud_A.5.12_0008;iso27001_2022_multi_cloud_A.5.13_0009;iso27001_2022_multi_cloud_A.5.14_0010;iso27001_2022_multi_cloud_A.5.16_0012;iso27001_2022_multi_cloud_A.5.17_0013;iso27001_2022_multi_cloud_A.5.1_0005;iso27001_2022_multi_cloud_A.8.5_0092;iso27001_2022_multi_cloud_A.9.4_0099;nist_800_171_r2_multi_cloud_3_11_3_3.11.3_Remediate_vulnerabilities_in_accord_0002;nist_800_171_r2_multi_cloud_3_13_15_3.13.15_Protect_the_authenticity_of_commu_0006;nist_800_171_r2_multi_cloud_3_1_13_3.1.13_Employ_cryptographic_mechanisms_to_0022;nist_800_171_r2_multi_cloud_3_1_1_3.1.1_Limit_system_access_to_authorized_use_0020;nist_800_171_r2_multi_cloud_3_5_2_3.5.2_Authenticate_or_verify_the_identiti_0043;nist_800_53_rev5_multi_cloud_MA-4-c_0684;nist_800_53_rev5_multi_cloud_PM-17-b_0876;nist_800_53_rev5_multi_cloud_SC-13-a_1248;pci_dss_v4_multi_cloud_4.1.2_0059;pci_dss_v4_multi_cloud_9.4.1.2_0132;rbi_bank_multi_cloud_12.1_0005;rbi_bank_multi_cloud_9.1_0026;rbi_nbfc_multi_cloud_2.11_0015;soc2_multi_cloud_cc_6_6_0012
k8s,k8s.k8s.identity_access.authentication.mfa_enforced.enabled,k8s.k8s.identity_access.authentication.mfa_enforced.enabled,identity.user,,kubernetes,k8s.rbac.nodes_proxy_access_check,cis_kubernetes_kubernetes_5.1.10_0109
k8s,k8s.k8s.identity_access.authentication.mfa_enforced.enforced,k8s.k8s.identity_access.authentication.mfa_enforced.enforced,identity.user,,kubernetes,,
k8s,k8s.k8s.identity_access.authentication.mfa_enforced.mfa_provider_validated,k8s.k8s.identity_access.authentication.mfa_enforced.mfa_provider_validated,identity.user,,kubernetes,,
k8s,k8s.k8s.identity_access.authentication.mfa_enforced.mfa_required_roles_validated,k8s.k8s.identity_access.authentication.mfa_enforced.mfa_required_roles_validated,identity.user,,kubernetes,,
k8s,k8s.k8s.identity_access.authentication.oidc_integration_enabled.audited,k8s.k8s.identity_access.authentication.oidc_integration_enabled.audited,api.api_server,,kubernetes,,
k8s,k8s.k8s.identity_access.authentication.oidc_integration_enabled.enabled,k8s.k8s.identity_access.authentication.oidc_integration_enabled.enabled,api.api_server,,kubernetes,k8s.rbac.webhook_configuration_access_review,cis_kubernetes_kubernetes_5.1.12_0111
k8s,k8s.k8s.identity_access.authentication.oidc_integration_enabled.oidc_provider_required_validated,k8s.k8s.identity_access.authentication.oidc_integration_enabled.oidc_provider_required_validated,api.api_server,,kubernetes,,
k8s,k8s.k8s.identity_access.authentication.token_auth_secure.audited,k8s.k8s.identity_access.authentication.token_auth_secure.audited,identity.service_account,,kubernetes,k8s.api.server_token_auth_file_not_set,cis_kubernetes_kubernetes_1.2.2_0023
k8s,k8s.k8s.identity_access.authentication.token_auth_secure.enabled,k8s.k8s.identity_access.authentication.token_auth_secure.enabled,identity.service_account,,kubernetes,k8s.federation.apiserver_insecure_allow_any_token_disabled,cis_kubernetes_kubernetes_3.1.3_0071
k8s,k8s.k8s.identity_access.authentication.token_auth_secure.enforced,k8s.k8s.identity_access.authentication.token_auth_secure.enforced,identity.service_account,,kubernetes,,
k8s,k8s.k8s.identity_access.authentication.token_auth_secure.max_token_ttl_validated,k8s.k8s.identity_access.authentication.token_auth_secure.max_token_ttl_validated,identity.service_account,,kubernetes,,
k8s,k8s.k8s.identity_access.authentication.token_auth_secure.token_rotation_period_validated,k8s.k8s.identity_access.authentication.token_auth_secure.token_rotation_period_validated,identity.service_account,,kubernetes,,
k8s,k8s.k8s.identity_access.authorization.admission_controller_enabled.audited,k8s.k8s.identity_access.authorization.admission_controller_enabled.audited,api.admission_controller,,kubernetes,k8s.kube.controller_manager_args_profiling_disabled,cis_kubernetes_kubernetes_1.3.2_0053
k8s,k8s.k8s.identity_access.authorization.admission_controller_enabled.enabled,k8s.k8s.identity_access.authorization.admission_controller_enabled.enabled,api.admission_controller,,kubernetes,k8s.kube.controller_manager_bind_address_localhost_check,cis_kubernetes_kubernetes_1.3.7_0058
k8s,k8s.k8s.identity_access.authorization.admission_controller_enabled.enforced,k8s.k8s.identity_access.authorization.admission_controller_enabled.enforced,api.admission_controller,,kubernetes,,
k8s,k8s.k8s.identity_access.authorization.admission_controller_enabled.required_admission_controllers_validated,k8s.k8s.identity_access.authorization.admission_controller_enabled.required_admission_controllers_validated,api.admission_controller,,kubernetes,,
k8s,k8s.k8s.identity_access.authorization.rbac_enabled.audited,k8s.k8s.identity_access.authorization.rbac_enabled.audited,api.api_server,,kubernetes,k8s.kubelet.authorization_mode_not_always_allow,cis_kubernetes_kubernetes_4.2.2_0085
k8s,k8s.k8s.identity_access.authorization.rbac_enabled.enabled,k8s.k8s.identity_access.authorization.rbac_enabled.enabled,api.api_server,,kubernetes,k8s.api.server_authorization_mode_includes_node,cis_kubernetes_kubernetes_1.2.7_0028
k8s,k8s.k8s.identity_access.authorization.rbac_enabled.enforced,k8s.k8s.identity_access.authorization.rbac_enabled.enforced,api.api_server,,kubernetes,,
k8s,k8s.k8s.identity_access.certificate_lifecycle.automated_rotation_enabled.audited,k8s.k8s.identity_access.certificate_lifecycle.automated_rotation_enabled.audited,api.api_server,,kubernetes,,
k8s,k8s.k8s.identity_access.certificate_lifecycle.automated_rotation_enabled.auto_rotation_enabled_validated,k8s.k8s.identity_access.certificate_lifecycle.automated_rotation_enabled.auto_rotation_enabled_validated,api.api_server,,kubernetes,,
k8s,k8s.k8s.identity_access.certificate_lifecycle.automated_rotation_enabled.enabled,k8s.k8s.identity_access.certificate_lifecycle.automated_rotation_enabled.enabled,api.api_server,,kubernetes,k8s.api.certificate.authority_verification,cis_kubernetes_kubernetes_1.2.5_0026
k8s,k8s.k8s.identity_access.certificate_lifecycle.automated_rotation_enabled.enforced,k8s.k8s.identity_access.certificate_lifecycle.automated_rotation_enabled.enforced,api.api_server,,kubernetes,,
k8s,k8s.k8s.identity_access.certificate_lifecycle.automated_rotation_enabled.rotation_period_validated,k8s.k8s.identity_access.certificate_lifecycle.automated_rotation_enabled.rotation_period_validated,api.api_server,,kubernetes,,
k8s,k8s.k8s.identity_access.cluster_admin_restrictions.admin_bindings_audited.admin_bindings_restricted_validated,k8s.k8s.identity_access.cluster_admin_restrictions.admin_bindings_audited.admin_bindings_restricted_validated,rbac.cluster_role_binding,,kubernetes,,
k8s,k8s.k8s.identity_access.cluster_admin_restrictions.admin_bindings_audited.audit_enabled_validated,k8s.k8s.identity_access.cluster_admin_restrictions.admin_bindings_audited.audit_enabled_validated,rbac.cluster_role_binding,,kubernetes,,
k8s,k8s.k8s.identity_access.cluster_admin_restrictions.admin_bindings_audited.audited,k8s.k8s.identity_access.cluster_admin_restrictions.admin_bindings_audited.audited,rbac.cluster_role_binding,,kubernetes,k8s.rbac.cluster.admin_role_access_review,cis_kubernetes_kubernetes_1.6.1_0170
k8s,k8s.k8s.identity_access.cluster_admin_restrictions.admin_bindings_audited.enabled,k8s.k8s.identity_access.cluster_admin_restrictions.admin_bindings_audited.enabled,rbac.cluster_role_binding,,kubernetes,,
k8s,k8s.k8s.identity_access.cluster_admin_restrictions.admin_bindings_audited.enforced,k8s.k8s.identity_access.cluster_admin_restrictions.admin_bindings_audited.enforced,rbac.cluster_role_binding,,kubernetes,,
k8s,k8s.k8s.identity_access.emergency_access.break_glass_controls.audit_required_validated,k8s.k8s.identity_access.emergency_access.break_glass_controls.audit_required_validated,rbac.cluster_role_binding,,kubernetes,,
k8s,k8s.k8s.identity_access.emergency_access.break_glass_controls.audited,k8s.k8s.identity_access.emergency_access.break_glass_controls.audited,rbac.cluster_role_binding,,kubernetes,,
k8s,k8s.k8s.identity_access.emergency_access.break_glass_controls.emergency_access_enabled_validated,k8s.k8s.identity_access.emergency_access.break_glass_controls.emergency_access_enabled_validated,rbac.cluster_role_binding,,kubernetes,,
k8s,k8s.k8s.identity_access.emergency_access.break_glass_controls.enabled,k8s.k8s.identity_access.emergency_access.break_glass_controls.enabled,rbac.cluster_role_binding,,kubernetes,,
k8s,k8s.k8s.identity_access.emergency_access.break_glass_controls.time_limit_validated,k8s.k8s.identity_access.emergency_access.break_glass_controls.time_limit_validated,rbac.cluster_role_binding,,kubernetes,,
k8s,k8s.k8s.identity_access.impersonation_controls.impersonation_restricted.audited,k8s.k8s.identity_access.impersonation_controls.impersonation_restricted.audited,rbac.role,,kubernetes,k8s.psa.root_containers_restricted,cis_kubernetes_kubernetes_5.2.7_0119
k8s,k8s.k8s.identity_access.impersonation_controls.impersonation_restricted.enabled,k8s.k8s.identity_access.impersonation_controls.impersonation_restricted.enabled,rbac.role,,kubernetes,,
k8s,k8s.k8s.identity_access.impersonation_controls.impersonation_restricted.enforced,k8s.k8s.identity_access.impersonation_controls.impersonation_restricted.enforced,rbac.role,,kubernetes,,
k8s,k8s.k8s.identity_access.impersonation_controls.impersonation_restricted.impersonation_verb_restricted_validated,k8s.k8s.identity_access.impersonation_controls.impersonation_restricted.impersonation_verb_restricted_validated,rbac.role,,kubernetes,,
k8s,k8s.k8s.identity_access.impersonation_controls.impersonation_restricted.max_impersonation_users_validated,k8s.k8s.identity_access.impersonation_controls.impersonation_restricted.max_impersonation_users_validated,rbac.role,,kubernetes,,
k8s,k8s.k8s.identity_access.multi_factor_authentication.mfa_enforced.audited,k8s.k8s.identity_access.multi_factor_authentication.mfa_enforced.audited,identity.user,,kubernetes,,
k8s,k8s.k8s.identity_access.multi_factor_authentication.mfa_enforced.enabled,k8s.k8s.identity_access.multi_factor_authentication.mfa_enforced.enabled,identity.user,,kubernetes,,
k8s,k8s.k8s.identity_access.multi_factor_authentication.mfa_enforced.enforced,k8s.k8s.identity_access.multi_factor_authentication.mfa_enforced.enforced,identity.user,,kubernetes,,
k8s,k8s.k8s.identity_access.multi_factor_authentication.mfa_enforced.mfa_enabled_validated,k8s.k8s.identity_access.multi_factor_authentication.mfa_enforced.mfa_enabled_validated,identity.user,,kubernetes,,
k8s,k8s.k8s.identity_access.multi_factor_authentication.mfa_enforced.mfa_methods_validated,k8s.k8s.identity_access.multi_factor_authentication.mfa_enforced.mfa_methods_validated,identity.user,,kubernetes,,
k8s,k8s.k8s.identity_access.rbac_policies.cluster_admin_restricted.audited,k8s.k8s.identity_access.rbac_policies.cluster_admin_restricted.audited,rbac.cluster_role_binding,,kubernetes,k8s.rbac.cluster.admin_role_usage_check,cis_kubernetes_kubernetes_5.1.1_0100
k8s,k8s.k8s.identity_access.rbac_policies.cluster_admin_restricted.cluster_admin_audit_required_validated,k8s.k8s.identity_access.rbac_policies.cluster_admin_restricted.cluster_admin_audit_required_validated,rbac.cluster_role_binding,,kubernetes,,
k8s,k8s.k8s.identity_access.rbac_policies.cluster_admin_restricted.enabled,k8s.k8s.identity_access.rbac_policies.cluster_admin_restricted.enabled,rbac.cluster_role_binding,,kubernetes,,
k8s,k8s.k8s.identity_access.rbac_policies.cluster_admin_restricted.enforced,k8s.k8s.identity_access.rbac_policies.cluster_admin_restricted.enforced,rbac.cluster_role_binding,,kubernetes,,
k8s,k8s.k8s.identity_access.rbac_policies.cluster_admin_restricted.max_cluster_admin_bindings_validated,k8s.k8s.identity_access.rbac_policies.cluster_admin_restricted.max_cluster_admin_bindings_validated,rbac.cluster_role_binding,,kubernetes,,
k8s,k8s.k8s.identity_access.rbac_policies.least_privilege_enforced.audited,k8s.k8s.identity_access.rbac_policies.least_privilege_enforced.audited,rbac.role,,kubernetes,,
k8s,k8s.k8s.identity_access.rbac_policies.least_privilege_enforced.enabled,k8s.k8s.identity_access.rbac_policies.least_privilege_enforced.enabled,rbac.role,,kubernetes,,
k8s,k8s.k8s.identity_access.rbac_policies.least_privilege_enforced.enforced,k8s.k8s.identity_access.rbac_policies.least_privilege_enforced.enforced,rbac.role,,kubernetes,,
