cloud_provider,rule_id,uniform_rule_format,service,category,provider_service,ibm_mapped_compliance_functions,ibm_mapped_compliance_ids
ibm,ibm.watson.machine_learning_pipeline.ai_services_data_pipeline_private_networking_enforced,ibm.watson.machine_learning_pipeline.ai_services_data_pipeline_private_networking_enforced,watson,,ibm-cloud-sdk-core,,
ibm,ibm.watson.machine_learning_model.ai_services_model_registry_access_rbac_least_privilege,ibm.watson.machine_learning_model.ai_services_model_registry_access_rbac_least_privilege,watson,,ibm-cloud-sdk-core,ibm.sagemaker.instance.encryption_enabled;ibm.sagemaker.instance.without_direct_internet_access_configured;ibm.sagemaker.training_jobs_intercontainer_encryption_enabled;ibm.sagemaker.volume.and_output_encryption_enabled,gdpr_multi_cloud_Article_32_Security_of_processing_0003; hipaa_multi_cloud_164_308_a_1_ii_b_0002; hipaa_multi_cloud_164_308_a_3_i_0004; hipaa_multi_cloud_164_308_a_4_ii_a_0009; hipaa_multi_cloud_164_312_a_1_0022; hipaa_multi_cloud_164_312_a_2_iv_0025; hipaa_multi_cloud_164_312_e_2_ii_0032; iso27001_2022_multi_cloud_A.8.11_0066; iso27001_2022_multi_cloud_A.8.14_0069; iso27001_2022_multi_cloud_A.8.1_0064; iso27001_2022_multi_cloud_A.8.20_0076; iso27001_2022_multi_cloud_A.8.21_0077; iso27001_2022_multi_cloud_A.8.22_0078; iso27001_2022_multi_cloud_A.8.24_0080; nist_800_171_r2_multi_cloud_3_13_11_3.13.11_Employ_FIPS-validated_cryptograph_0005; nist_800_171_r2_multi_cloud_3_13_16_3.13.16_Protect_the_confidentiality_of_CU_0007; nist_800_171_r2_multi_cloud_3_13_2_3.13.2_Employ_architectural_designs_softw_0008; nist_800_171_r2_multi_cloud_3_13_5_3.13.5_Implement_subnetworks_for_publicly_0011; nist_800_171_r2_multi_cloud_3_1_14_3.1.14_Route_remote_access_via_managed_acc_0023; nist_800_171_r2_multi_cloud_3_1_1_3.1.1_Limit_system_access_to_authorized_use_0020; nist_800_171_r2_multi_cloud_3_1_2_3.1.2_Limit_system_access_to_the_types_of_t_0024; nist_800_171_r2_multi_cloud_3_1_3_3.1.3_Control_the_flow_of_CUI_in_accordance_0026
ibm,ibm.watson.machine_learning_model_version.ai_services_supply_chain_model_artifact_signed_and_verified,ibm.watson.machine_learning_model_version.ai_services_supply_chain_model_artifact_signed_and_verified,watson,,ibm-cloud-sdk-core,,
ibm,ibm.watson.machine_learning_model_version.ai_services_supply_chain_model_artifact_sbom_present,ibm.watson.machine_learning_model_version.ai_services_supply_chain_model_artifact_sbom_present,watson,,ibm-cloud-sdk-core,,
ibm,ibm.watson.machine_learning_model_version.ai_services_supply_chain_model_artifact_image_scanned_no_critical,ibm.watson.machine_learning_model_version.ai_services_supply_chain_model_artifact_image_scanned_no_critical,watson,,ibm-cloud-sdk-core,,
ibm,ibm.watson.machine_learning_model_version.ai_services_model_artifact_encrypted_at_rest_cmek,ibm.watson.machine_learning_model_version.ai_services_model_artifact_encrypted_at_rest_cmek,watson,,ibm-cloud-sdk-core,,
ibm,ibm.watson.studio_workspace.ai_services_secrets_vault_kms_encryption_and_rotation_enabled,ibm.watson.studio_workspace.ai_services_secrets_vault_kms_encryption_and_rotation_enabled,watson,,ibm-cloud-sdk-core,,
ibm,ibm.watson.studio_workspace.ai_services_secrets_vault_no_plaintext_secrets_in_config,ibm.watson.studio_workspace.ai_services_secrets_vault_no_plaintext_secrets_in_config,watson,,ibm-cloud-sdk-core,,
ibm,ibm.watson.studio_workspace.ai_services_secrets_vault_access_rbac_least_privilege,ibm.watson.studio_workspace.ai_services_secrets_vault_access_rbac_least_privilege,watson,,ibm-cloud-sdk-core,,
ibm,ibm.watson.machine_learning_feature_store.ai_services_feature_store_rbac_least_privilege,ibm.watson.machine_learning_feature_store.ai_services_feature_store_rbac_least_privilege,watson,,ibm-cloud-sdk-core,,
ibm,ibm.watson.machine_learning_feature_store.ai_services_feature_store_private_networking_enforced,ibm.watson.machine_learning_feature_store.ai_services_feature_store_private_networking_enforced,watson,,ibm-cloud-sdk-core,,
ibm,ibm.watson.machine_learning_pipeline.ai_services_agent_orchestrator_tool_use_allowlist_enforced,ibm.watson.machine_learning_pipeline.ai_services_agent_orchestrator_tool_use_allowlist_enforced,watson,,ibm-cloud-sdk-core,,
ibm,ibm.watson.machine_learning_pipeline.ai_services_agent_orchestrator_secrets_isolation_enabled,ibm.watson.machine_learning_pipeline.ai_services_agent_orchestrator_secrets_isolation_enabled,watson,,ibm-cloud-sdk-core,,
ibm,ibm.watson.machine_learning_pipeline.ai_services_agent_orchestrator_data_exfiltration_policies_enforced,ibm.watson.machine_learning_pipeline.ai_services_agent_orchestrator_data_exfiltration_policies_enforced,watson,,ibm-cloud-sdk-core,,
ibm,ibm.watson.machine_learning_data_set.ai_services_ai_dataset_encrypted_at_rest_cmek,ibm.watson.machine_learning_data_set.ai_services_ai_dataset_encrypted_at_rest_cmek,watson,,ibm-cloud-sdk-core,,
ibm,ibm.watson.machine_learning_data_set.ai_services_ai_dataset_public_access_blocked,ibm.watson.machine_learning_data_set.ai_services_ai_dataset_public_access_blocked,watson,,ibm-cloud-sdk-core,ibm.aks.clusters_created_with_private_nodes;ibm.apigateway.restapi_public;ibm.containerregistry.uses_private_link;ibm.cos.bucket.public_read_prohibited;ibm.cos.bucket.public_write_prohibited;ibm.eks.cluster.not_publicly_accessible;ibm.functions.not_publicly_accessible;ibm.functions.url_public;ibm.kubernetes.cluster.public_service_endpoint_disabled;ibm.vsi.instance.internet_facing_with_instance_profile;ibm.vsi.instance.no_public_ip,cis_ibm_ibm_7.1.4_0052;cisa_ce_v1_multi_cloud_Booting_Up-4_0012;cisa_ce_v1_multi_cloud_Your_Systems-3_0008;iso27001_2022_multi_cloud_A.8.14_0069;iso27001_2022_multi_cloud_A.8.1_0064;iso27001_2022_multi_cloud_A.8.20_0076;iso27001_2022_multi_cloud_A.8.21_0077;iso27001_2022_multi_cloud_A.8.22_0078;rbi_bank_multi_cloud_17.1_0011;soc2_multi_cloud_cc_3_3_0005
ibm,ibm.api.gateway_monitoring.monitoring_api_access_logging_enabled,ibm.api.gateway_monitoring.monitoring_api_access_logging_enabled,api,,ibm-cloud-sdk-core,,
ibm,ibm.api.gateway_monitoring.monitoring_api_access_log_sink_configured,ibm.api.gateway_monitoring.monitoring_api_access_log_sink_configured,api,,ibm-cloud-sdk-core,,
ibm,ibm.api.gateway_monitoring.monitoring_api_access_log_fields_identity_present,ibm.api.gateway_monitoring.monitoring_api_access_log_fields_identity_present,api,,ibm-cloud-sdk-core,,
ibm,ibm.api.gateway_monitoring.monitoring_api_execution_logging_level_minimum_error,ibm.api.gateway_monitoring.monitoring_api_execution_logging_level_minimum_error,api,,ibm-cloud-sdk-core,,
ibm,ibm.api.gateway_monitoring.monitoring_api_logs_retention_days_minimum,ibm.api.gateway_monitoring.monitoring_api_logs_retention_days_minimum,api,,ibm-cloud-sdk-core,,
ibm,ibm.api.connect_rate_limit.rate_limiting_api_stage_burst_limit_configured,ibm.api.connect_rate_limit.rate_limiting_api_stage_burst_limit_configured,api,,ibm-cloud-sdk-core,,
ibm,ibm.api.connect_rate_limit.rate_limiting_api_stage_rate_limit_configured,ibm.api.connect_rate_limit.rate_limiting_api_stage_rate_limit_configured,api,,ibm-cloud-sdk-core,,
ibm,ibm.api.connect_rate_limit.rate_limiting_api_usage_plan_required_for_api_keys,ibm.api.connect_rate_limit.rate_limiting_api_usage_plan_required_for_api_keys,api,,ibm-cloud-sdk-core,,
ibm,ibm.api.connect_rate_limit.rate_limiting_api_quota_limit_configured,ibm.api.connect_rate_limit.rate_limiting_api_quota_limit_configured,api,,ibm-cloud-sdk-core,,
ibm,ibm.api.connect_rate_limit.rate_limiting_api_stage_throttle_overrides_not_unbounded,ibm.api.connect_rate_limit.rate_limiting_api_stage_throttle_overrides_not_unbounded,api,,ibm-cloud-sdk-core,,
ibm,ibm.api.connect_validation.validation_api_request_schema_validation_enabled,ibm.api.connect_validation.validation_api_request_schema_validation_enabled,api,,ibm-cloud-sdk-core,,
ibm,ibm.api.connect_validation.validation_api_response_schema_validation_enabled,ibm.api.connect_validation.validation_api_response_schema_validation_enabled,api,,ibm-cloud-sdk-core,,
ibm,ibm.api.connect_validation.validation_api_parameters_validation_enabled,ibm.api.connect_validation.validation_api_parameters_validation_enabled,api,,ibm-cloud-sdk-core,,
ibm,ibm.api.connect_validation.validation_api_content_type_whitelist_enforced,ibm.api.connect_validation.validation_api_content_type_whitelist_enforced,api,,ibm-cloud-sdk-core,,
ibm,ibm.api.connect_validation.validation_api_request_body_size_limit_configured,ibm.api.connect_validation.validation_api_request_body_size_limit_configured,api,,ibm-cloud-sdk-core,,
ibm,ibm.api.connect_validation.validation_api_required_security_headers_enforced,ibm.api.connect_validation.validation_api_required_security_headers_enforced,api,,ibm-cloud-sdk-core,,
ibm,ibm.cloud.backup_backup_plan.resilience_recovery_backup_coverage_policy_assignment_complete,ibm.cloud.backup_backup_plan.resilience_recovery_backup_coverage_policy_assignment_complete,cloud,,ibm-cloud-sdk-core,ibm.backup.backup_encryption_enabled;ibm.backup.enabled_for_ec2;ibm.backup.plan_configured;ibm.backup.plan_min_retention;ibm.backup.plans_exist;ibm.backup.recovery_point_encrypted;ibm.backup.recovery_point_encryption;ibm.backup.recovery_point_retention;ibm.backup.reportplans_exist;ibm.backup.vault_encryption_enabled;ibm.backup.vaults_encrypted;ibm.backup.vaults_exist;ibm.cloud.activity_tracker_logging_configured_per_region;ibm.cloud.disk.encryption_status;ibm.cloud.function.restrict_public_access;ibm.cloud.policy.check;ibm.cloudant.global_tables_enabled;ibm.cloudant.pitr_enabled;ibm.cloudant.tables_pitr_enabled;ibm.cos.bucket.replication_enabled;ibm.cos.bucket.versioning_enabled;ibm.database.aurora_backup_enabled;ibm.database.backup_enabled;ibm.database.instance.backup_enabled;ibm.database.instance.multi.az;ibm.database.multi_az_enabled;ibm.databases.backup_enabled;ibm.databases.backup_retention_period;ibm.databases.instance.backup_enabled;ibm.databases.instance.multi_az;ibm.db2.cluster.automated_snapshot;ibm.db2.cluster.automatic_upgrades;ibm.file.storage.have_backup_enabled;ibm.load.balancer_deletion_protection;ibm.vpc.instance.managed_by_ssm;ibm.vpc.instance.older_than_specific_days;ibm.vpc.networkacl_allow_ingress_any_port;ibm.vsi.backup_enabled;ibm.vsi.volume.protected_by_backup_plan,canada_pbmm_moderate_multi_cloud_CCCS_CM-2_0042;canada_pbmm_moderate_multi_cloud_CCCS_CM-3_0043;canada_pbmm_moderate_multi_cloud_CCCS_CM-6_0046;canada_pbmm_moderate_multi_cloud_CCCS_CM-7_0047;canada_pbmm_moderate_multi_cloud_CCCS_CM-8_0048;canada_pbmm_moderate_multi_cloud_CCCS_CP-2_0053;canada_pbmm_moderate_multi_cloud_CCCS_CP-6_0056;canada_pbmm_moderate_multi_cloud_CCCS_CP-9_0059;canada_pbmm_moderate_multi_cloud_CCCS_SC-22_0142;canada_pbmm_moderate_multi_cloud_CCCS_SC-28_0144;canada_pbmm_moderate_multi_cloud_CCCS_SI-2_0147;cis_ibm_ibm_3.1_0027;cis_ibm_ibm_3.3_0029;cis_ibm_ibm_4.4_0037;cisa_ce_v1_multi_cloud_Booting_Up-1_0009;cisa_ce_v1_multi_cloud_Your_Data-4_0020;fedramp_moderate_multi_cloud_CM-2_0101;fedramp_moderate_multi_cloud_CM-2_2_0102;fedramp_moderate_multi_cloud_CM-2_3_0103;fedramp_moderate_multi_cloud_CM-2_7_0104;fedramp_moderate_multi_cloud_CM-3_0105;fedramp_moderate_multi_cloud_CM-3_1_0106;fedramp_moderate_multi_cloud_CM-3_2_0107;fedramp_moderate_multi_cloud_CM-3_4_0108;fedramp_moderate_multi_cloud_CM-3_6_0109;fedramp_moderate_multi_cloud_CM-6_0116;fedramp_moderate_multi_cloud_CM-6_1_0117;fedramp_moderate_multi_cloud_CM-6_2_0118;fedramp_moderate_multi_cloud_CM-7_0119;fedramp_moderate_multi_cloud_CM-7_1_0120;fedramp_moderate_multi_cloud_CM-7_2_0121;fedramp_moderate_multi_cloud_CM-7_5_0122;fedramp_moderate_multi_cloud_CM-8_0123;fedramp_moderate_multi_cloud_CM-8_1_0124;fedramp_moderate_multi_cloud_CM-8_2_0125;fedramp_moderate_multi_cloud_CM-8_3_0126;fedramp_moderate_multi_cloud_CM-8_4_0127;fedramp_moderate_multi_cloud_CP-2_0135;fedramp_moderate_multi_cloud_CP-2_1_0136;fedramp_moderate_multi_cloud_CP-2_2_0137;fedramp_moderate_multi_cloud_CP-2_3_0138;fedramp_moderate_multi_cloud_CP-2_5_0139;fedramp_moderate_multi_cloud_CP-2_8_0140;fedramp_moderate_multi_cloud_CP-6_0146;fedramp_moderate_multi_cloud_CP-6_1_0147;fedramp_moderate_multi_cloud_CP-6_2_0148;fedramp_moderate_multi_cloud_CP-6_3_0149;fedramp_moderate_multi_cloud_CP-9_0160;fedramp_moderate_multi_cloud_CP-9_1_0161;fedramp_moderate_multi_cloud_CP-9_2_0162;fedramp_moderate_multi_cloud_CP-9_3_0163;fedramp_moderate_multi_cloud_CP-9_5_0164;fedramp_moderate_multi_cloud_CP-9_8_0165;fedramp_moderate_multi_cloud_SC-22_0354;fedramp_moderate_multi_cloud_SC-28_0357;fedramp_moderate_multi_cloud_SI-2_0363;fedramp_moderate_multi_cloud_SI-2_2_0364;fedramp_moderate_multi_cloud_SI-2_3_0365;hipaa_multi_cloud_164_308_a_1_ii_b_0002;hipaa_multi_cloud_164_308_a_7_i_0017;hipaa_multi_cloud_164_308_a_7_ii_a_0018;hipaa_multi_cloud_164_308_a_7_ii_b_0019;hipaa_multi_cloud_164_308_a_7_ii_c_0020;iso27001_2022_multi_cloud_A.8.13_0068;iso27001_2022_multi_cloud_A.8.14_0069;iso27001_2022_multi_cloud_A.8.24_0080;nist_800_171_r2_multi_cloud_3_13_2_3.13.2_Employ_architectural_designs_softw_0008;nist_800_53_rev5_multi_cloud_CM-2-a_0366;nist_800_53_rev5_multi_cloud_CM-2-b_0367;nist_800_53_rev5_multi_cloud_CM-2_2_0357;nist_800_53_rev5_multi_cloud_CM-2_2_0358;nist_800_53_rev5_multi_cloud_CM-3-a_0376;nist_800_53_rev5_multi_cloud_CM-3_3_0370;nist_800_53_rev5_multi_cloud_CM-6-b_0398;nist_800_53_rev5_multi_cloud_CM-6-c_0399;nist_800_53_rev5_multi_cloud_CM-6-d_0400;nist_800_53_rev5_multi_cloud_CM-6_1_0393;nist_800_53_rev5_multi_cloud_CM-6_2_0394;nist_800_53_rev5_multi_cloud_CM-6_3_0395;nist_800_53_rev5_multi_cloud_CM-6_4_0396;nist_800_53_rev5_multi_cloud_CM-7-b_0412;nist_800_53_rev5_multi_cloud_CM-8-a_0424;nist_800_53_rev5_multi_cloud_CM-8-b_0425;nist_800_53_rev5_multi_cloud_CM-8_1_0413;nist_800_53_rev5_multi_cloud_CM-8_2_0414;nist_800_53_rev5_multi_cloud_CM-8_2_0415;nist_800_53_rev5_multi_cloud_CM-8_6_0419;nist_800_53_rev5_multi_cloud_CP-10_1_0513;nist_800_53_rev5_multi_cloud_CP-10_2_0514;nist_800_53_rev5_multi_cloud_CP-10_3_0515;nist_800_53_rev5_multi_cloud_CP-10_4_0516;nist_800_53_rev5_multi_cloud_CP-10_5_0517;nist_800_53_rev5_multi_cloud_CP-10_6_0518;nist_800_53_rev5_multi_cloud_CP-2-a_0462;nist_800_53_rev5_multi_cloud_CP-2-d_0465;nist_800_53_rev5_multi_cloud_CP-2-e_0466;nist_800_53_rev5_multi_cloud_CP-2_5_0457;nist_800_53_rev5_multi_cloud_CP-2_6_0458;nist_800_53_rev5_multi_cloud_CP-6-a_0485;nist_800_53_rev5_multi_cloud_CP-6_1_0482;nist_800_53_rev5_multi_cloud_CP-6_2_0483;nist_800_53_rev5_multi_cloud_CP-9-a_0509;nist_800_53_rev5_multi_cloud_CP-9-b_0510;nist_800_53_rev5_multi_cloud_CP-9-c_0511;nist_800_53_rev5_multi_cloud_SC-22_1268;nist_800_53_rev5_multi_cloud_SC-36_1_1302;nist_800_53_rev5_multi_cloud_SC-36_2_1303;nist_800_53_rev5_multi_cloud_SC-36_6_1304;nist_800_53_rev5_multi_cloud_SC-5_2_1189;nist_800_53_rev5_multi_cloud_SC-6_1193;nist_800_53_rev5_multi_cloud_SC-7_5_1219;nist_800_53_rev5_multi_cloud_SI-13_5_1426;nist_800_53_rev5_multi_cloud_SI-2-c_1344;nist_800_53_rev5_multi_cloud_SI-2-d_1345;nist_800_53_rev5_multi_cloud_SI-2_2_1337;nist_800_53_rev5_multi_cloud_SI-2_5_1340;pci_dss_v4_multi_cloud_3.5.1.3_0043;rbi_bank_multi_cloud_12.1_0005;rbi_bank_multi_cloud_6.1_0021;rbi_bank_multi_cloud_6.2_0022;rbi_nbfc_multi_cloud_2.10_0014;rbi_nbfc_multi_cloud_2.11_0015;rbi_nbfc_multi_cloud_3.4_0020;rbi_nbfc_multi_cloud_5.3_0027;rbi_nbfc_multi_cloud_7.3_0035;rbi_nbfc_multi_cloud_7.5_0037;soc2_multi_cloud_a1_2_0025
ibm,ibm.cloud.backup_backup_plan.resilience_recovery_backup_coverage_unprotected_assets_alerting_enabled,ibm.cloud.backup_backup_plan.resilience_recovery_backup_coverage_unprotected_assets_alerting_enabled,cloud,,ibm-cloud-sdk-core,,
ibm,ibm.cloud.backup_backup_plan.resilience_recovery_backup_health_job_success_rate_minimum,ibm.cloud.backup_backup_plan.resilience_recovery_backup_health_job_success_rate_minimum,cloud,,ibm-cloud-sdk-core,,
ibm,ibm.cloud.backup_backup_plan.resilience_recovery_backup_health_last_backup_recency_within_days,ibm.cloud.backup_backup_plan.resilience_recovery_backup_health_last_backup_recency_within_days,cloud,,ibm-cloud-sdk-core,,
ibm,ibm.cloud.backup_backup_plan.resilience_recovery_backup_health_failed_jobs_alerting_enabled,ibm.cloud.backup_backup_plan.resilience_recovery_backup_health_failed_jobs_alerting_enabled,cloud,,ibm-cloud-sdk-core,,
ibm,ibm.cloud.backup_backup_plan.resilience_recovery_backup_inventory_resource_discovery_synced,ibm.cloud.backup_backup_plan.resilience_recovery_backup_inventory_resource_discovery_synced,cloud,,ibm-cloud-sdk-core,,
ibm,ibm.cloud.backup_backup_job.backup_monitoring_alert_rules_for_job_failures_configured,ibm.cloud.backup_backup_job.backup_monitoring_alert_rules_for_job_failures_configured,cloud,,ibm-cloud-sdk-core,,
ibm,ibm.cloud.backup_backup_job.backup_monitoring_alert_rules_for_sla_breach_configured,ibm.cloud.backup_backup_job.backup_monitoring_alert_rules_for_sla_breach_configured,cloud,,ibm-cloud-sdk-core,,
ibm,ibm.cloud.backup_backup_job.backup_monitoring_alert_destinations_configured,ibm.cloud.backup_backup_job.backup_monitoring_alert_destinations_configured,cloud,,ibm-cloud-sdk-core,,
ibm,ibm.cloud.backup_backup_job.backup_monitoring_metrics_export_enabled,ibm.cloud.backup_backup_job.backup_monitoring_metrics_export_enabled,cloud,,ibm-cloud-sdk-core,,
ibm,ibm.cloud.backup_backup_plan.backup_access_backup_vault_rbac_least_privilege,ibm.cloud.backup_backup_plan.backup_access_backup_vault_rbac_least_privilege,cloud,,ibm-cloud-sdk-core,,
ibm,ibm.cloud.backup_backup_plan.backup_access_no_public_access_to_backup_vault,ibm.cloud.backup_backup_plan.backup_access_no_public_access_to_backup_vault,cloud,,ibm-cloud-sdk-core,,
ibm,ibm.cloud.backup_backup_plan.backup_access_backup_admins_mfa_required,ibm.cloud.backup_backup_plan.backup_access_backup_admins_mfa_required,cloud,,ibm-cloud-sdk-core,,
ibm,ibm.cloud.backup_backup_plan.backup_access_backup_keys_access_least_privilege,ibm.cloud.backup_backup_plan.backup_access_backup_keys_access_least_privilege,cloud,,ibm-cloud-sdk-core,,
ibm,ibm.cloud.backup_backup_vault.backup_encryption_encryption_at_rest_enabled,ibm.cloud.backup_backup_vault.backup_encryption_encryption_at_rest_enabled,cloud,,ibm-cloud-sdk-core,,
ibm,ibm.cloud.backup_backup_vault.backup_encryption_encryption_in_transit_tls_min_1_2,ibm.cloud.backup_backup_vault.backup_encryption_encryption_in_transit_tls_min_1_2,cloud,,ibm-cloud-sdk-core,,
ibm,ibm.cloud.backup_backup_vault.backup_encryption_cmk_cmek_key_configured,ibm.cloud.backup_backup_vault.backup_encryption_cmk_cmek_key_configured,cloud,,ibm-cloud-sdk-core,,
ibm,ibm.cloud.backup_backup_vault.backup_encryption_key_rotation_enabled,ibm.cloud.backup_backup_vault.backup_encryption_key_rotation_enabled,cloud,,ibm-cloud-sdk-core,,
