catalog_rule_id,service,category,provider_service,catalog_compliance_ids,has_compliance_ids,config_covered,config_rule_count,config_best_confidence,config_rule_ids,ciem_via_yaml_covered,ciem_via_yaml_count,ciem_via_yaml_best_conf,ciem_via_yaml_rule_ids,ciem_direct_covered,ciem_direct_count,ciem_direct_best_comp_j,ciem_direct_best_tok_j,ciem_direct_rule_ids,coverage_status,covered,ciem_ai_gap_rule_id,ciem_ai_gap_confidence,ciem_ai_gap_reasoning,ciem_ai_gap_title,review_decision_note
s3.bucket.server.access.logging.enabled,bucket,security,"boto3.client(""bucket"")",hipaa_multi_cloud_164_308_a_1_ii_d_0003;hipaa_multi_cloud_164_308_a_3_ii_a_0005;hipaa_multi_cloud_164_308_a_6_ii_0016;hipaa_multi_cloud_164_312_b_0026;hipaa_multi_cloud_164_312_e_2_i_0031,yes,no,0,none,,no,0,none,,no,0,0.0,0.0,,ciem_ai_match,yes,aws.threat.correlation.cloudtrail.disable_s3_logging,high,"This CIEM rule directly detects the disabling of S3 server access logging, which is the exact violation of the catalog requirement that S3 bucket server access logging must be enabled.",Threat: Disable S3 Logging,
"s3.bucket.server.access.logging.enabled,.cloudtrail.s3.dataevents.read.enabled,.cloudtrail.multi.region.enabled,.cloudtrail.cloudwatch.logging.enabled,.redshift.cluster.audit.logging",bucket,security,"boto3.client(""bucket"")",pci_dss_v4_multi_cloud_10.2.1_0143;pci_dss_v4_multi_cloud_10.3.1_0151;pci_dss_v4_multi_cloud_10.3.2_0152;pci_dss_v4_multi_cloud_10.3.3_0153;pci_dss_v4_multi_cloud_10.3.4_0154,yes,no,0,none,,no,0,none,,no,0,0.0,0.0,,ciem_ai_match,yes,aws.threat.correlation.cloudtrail.disable_s3_logging,medium,"This CIEM rule detects disabling of S3 logging events, which partially addresses the catalog requirement for S3 bucket server access logging to be enabled.",Threat: Disable S3 Logging,
"s3.bucket.server.access.logging.enabled,.cloudtrail.s3.dataevents.read.enabled,.cloudtrail.multi.region.enabled,.cloudtrail.cloudwatch.logging.enabled,.redshift.cluster.audit.logging,.config.recorder.all.regions.enabled,.s3.bucket.object.versioning,.cloudtrail.log.file.validation.enabled,.s3.bucket.cross.region.replication",bucket,security,"boto3.client(""bucket"")",pci_dss_v4_multi_cloud_10.5.1_0157,yes,no,0,none,,no,0,none,,no,0,0.0,0.0,,ciem_ai_match,yes,aws.threat.correlation.cloudtrail.disable_s3_logging,medium,"This CIEM rule detects disabling of S3 logging, which directly addresses the catalog requirement for S3 bucket server access logging to be enabled.",Threat: Disable S3 Logging,
redshift.cluster.public.access,cluster,security,"boto3.client(""cluster"")",hipaa_multi_cloud_164_308_a_1_ii_b_0002;hipaa_multi_cloud_164_308_a_3_i_0004;hipaa_multi_cloud_164_312_a_1_0022,yes,no,0,none,,no,0,none,,no,0,0.0,0.0,,ciem_ai_match,yes,aws.storage.cloudtrail.redshift_modify_cluster_public,high,"This CIEM rule specifically detects Redshift cluster public access modification events, which directly addresses the same security control as the catalog rule requiring Redshift clusters not to have public access.",Storage: Redshift Modify Cluster Public,
kms.cmk.rotation.enabled,cmk,security,"boto3.client(""cmk"")",gdpr_multi_cloud_Article_25_Data_protection_by_design_and_by_defaul_0001;gdpr_multi_cloud_Article_30_Records_of_processing_activities_0002;hipaa_multi_cloud_164_312_a_2_iv_0025,yes,no,0,none,,no,0,none,,no,0,0.0,0.0,,ciem_ai_match,yes,aws.secsvc.cloudtrail.kms_disable_key_rotation,high,"This CIEM rule directly detects the event when KMS key rotation is disabled, which corresponds to the catalog requirement for CMK rotation to be enabled.",Security Services: KMS Disable Key Rotation,
aws.control_tower.enrollment.block_leave_org_by_policy,control_tower,governance,"boto3.client(""control_tower"")",,no,no,0,none,,no,0,none,,no,0,0.0,0.0,,ciem_ai_match,yes,aws.iam.cloudtrail.org_leave_organization,high,"This CIEM rule directly detects the event of leaving an AWS organization, which is the exact action the catalog rule aims to block via policy.",IAM: Org Leave Organization,
aws.control_tower.landing_zone.block_leave_org_by_policy,control_tower,governance,"boto3.client(""control_tower"")",,no,no,0,none,,no,0,none,,no,0,0.0,0.0,,ciem_ai_match,yes,aws.iam.cloudtrail.org_leave_organization,high,"This CIEM rule directly detects the event of leaving an AWS organization, which is the exact action the catalog rule aims to prevent through policy enforcement.",IAM: Org Leave Organization,
aws.cost_explorer.cost_category.billing_admins_mfa_required,cost_explorer,cost,"boto3.client(""cost_explorer"")",,no,no,0,none,,no,0,none,,no,0,0.0,0.0,,ciem_ai_match,yes,aws.threat.correlation.cloudtrail.console_login_no_mfa,high,"This CIEM rule detects console logins without MFA, which directly addresses the requirement for billing admins to use MFA by identifying when they violate it.",Threat: Console Login No MFA,
"ec2.ebs.public.snapshot,.rds.instance.no.public.access,.awslambda.function.not.publicly.accessible,.rds.snapshots.public.access,.opensearch.service.domains.not.publicly.accessible,.redshift.cluster.public.access,.s3.bucket.policy.public.write.access,.awslambda.function.inside.vpc,.ec2.securitygroup.allow.ingress.from.internet.to.tcp.port.22,.s3.bucket.public.write.acl,.dms.instance.no.public.access,.sagemaker.notebook.instance.without.direct.internet.access.configured",ebs,security,"boto3.client(""ebs"")",pci_dss_v4_multi_cloud_1.3.1_0009,yes,no,0,none,,no,0,none,,no,0,0.0,0.0,,ciem_ai_match,yes,aws.storage.cloudtrail.ebs_modify_snapshot_attribute_public,high,"This CIEM rule detects when EBS snapshot attributes are modified to make them publicly accessible, directly addressing the catalog requirement for EBS snapshots not to have public access.",Storage: EBS Modify Snapshot Attribute Public,
"ec2.ebs.public.snapshot,.rds.instance.no.public.access,.ec2.securitygroup.default.restrict.traffic,.ec2.securitygroup.allow.ingress.from.internet.to.all.ports,.ec2.networkacl.allow.ingress.tcp.port.22,.awslambda.function.not.publicly.accessible,.rds.snapshots.public.access,.opensearch.service.domains.not.publicly.accessible,.redshift.cluster.public.access,.s3.bucket.policy.public.write.access,.awslambda.function.inside.vpc,.ec2.securitygroup.allow.ingress.from.internet.to.tcp.port.22,.s3.bucket.public.write.acl,.dms.instance.no.public.access,.sagemaker.notebook.instance.without.direct.internet.access.configured,.ec2.networkacl.allow.ingress.tcp.port.3389",ebs,security,"boto3.client(""ebs"")",pci_dss_v4_multi_cloud_1.2.1_0003;pci_dss_v4_multi_cloud_1.2.5_0005;pci_dss_v4_multi_cloud_1.2.6_0006;pci_dss_v4_multi_cloud_1.2.7_0007;pci_dss_v4_multi_cloud_1.2.8_0008,yes,no,0,none,,no,0,none,,no,0,0.0,0.0,,ciem_ai_match,yes,aws.storage.cloudtrail.ebs_modify_snapshot_attribute_public,high,"This CIEM rule detects when EBS snapshot attributes are modified to make snapshots public, directly covering the catalog requirement for EBS public snapshots.",Storage: EBS Modify Snapshot Attribute Public,
"ec2.ebs.public.snapshot,.rds.instance.no.public.access,.eks.endpoints.not.publicly.accessible,.s3.account.level.public.access.blocks,.awslambda.function.not.publicly.accessible,.emr.cluster.master.nodes.no.public.ip,.ec2.instance.public.ip,.cloudwatch.log.metric.filter.root.usage,.rds.snapshots.public.access,.opensearch.service.domains.not.publicly.accessible,.redshift.cluster.public.access,.s3.bucket.policy.public.write.access,.s3.bucket.public.write.acl,.dms.instance.no.public.access,.sagemaker.notebook.instance.without.direct.internet.access.configured",ebs,security,"boto3.client(""ebs"")",pci_dss_v4_multi_cloud_7.2.1_0091;pci_dss_v4_multi_cloud_7.2.2_0092;pci_dss_v4_multi_cloud_7.2.3_0093;pci_dss_v4_multi_cloud_7.2.5_0094,yes,no,0,none,,no,0,none,,no,0,0.0,0.0,,ciem_ai_match,yes,aws.storage.cloudtrail.ebs_modify_snapshot_attribute_public,high,"This CIEM rule detects when EBS snapshot attributes are modified to make snapshots publicly accessible, directly covering the catalog requirement for preventing public EBS snapshots.",Storage: EBS Modify Snapshot Attribute Public,
"ec2.ebs.public.snapshot,.rds.instance.no.public.access,.eks.endpoints.not.publicly.accessible,.vpc.endpoint.for.ec2.enabled,.s3.account.level.public.access.blocks,.awslambda.function.not.publicly.accessible,.emr.cluster.master.nodes.no.public.ip,.ec2.instance.public.ip,.rds.snapshots.public.access,.opensearch.service.domains.not.publicly.accessible,.redshift.cluster.public.access,.awslambda.function.inside.vpc,.dms.instance.no.public.access,.sagemaker.notebook.instance.without.direct.internet.access.configured,.s3.bucket.policy.public.write.access,.ec2.securitygroup.allow.ingress.from.internet.to.tcp.port.22,.s3.bucket.public.write.acl,.ec2.securitygroup.allow.ingress.from.internet.to.all.ports,.ec2.networkacl.allow.ingress.tcp.port.22,.ec2.networkacl.allow.ingress.tcp.port.3389,.ec2.securitygroup.default.restrict.traffic",ebs,security,"boto3.client(""ebs"")",pci_dss_v4_multi_cloud_1.3.3_0011,yes,no,0,none,,no,0,none,,no,0,0.0,0.0,,ciem_ai_match,yes,aws.storage.cloudtrail.ebs_modify_snapshot_attribute_public,high,"This CIEM rule detects the event of making an EBS snapshot public, which directly addresses the catalog requirement for EBS snapshots not to have public access.",Storage: EBS Modify Snapshot Attribute Public,
"ec2.ebs.public.snapshot,.rds.instance.no.public.access,.eks.endpoints.not.publicly.accessible,.vpc.endpoint.for.ec2.enabled,.s3.account.level.public.access.blocks,.awslambda.function.not.publicly.accessible,.emr.cluster.master.nodes.no.public.ip,.ec2.instance.public.ip,.rds.snapshots.public.access,.opensearch.service.domains.not.publicly.accessible,.redshift.cluster.public.access,.awslambda.function.inside.vpc,.ec2.securitygroup.allow.ingress.from.internet.to.tcp.port.22,.dms.instance.no.public.access,.sagemaker.notebook.instance.without.direct.internet.access.configured",ebs,security,"boto3.client(""ebs"")",pci_dss_v4_multi_cloud_2.2.2_0021,yes,no,0,none,,no,0,none,,no,0,0.0,0.0,,ciem_ai_match,yes,aws.storage.cloudtrail.ebs_modify_snapshot_attribute_public,high,"This CIEM rule detects when an EBS snapshot is made publicly accessible via the ModifySnapshotAttribute API call, which directly addresses the catalog requirement for EBS snapshots not to have public access.",Storage: EBS Modify Snapshot Attribute Public,
aws.efs.file_system.encryption_at_rest_enabled,efs,data_protection_storage,"boto3.client(""efs"")",nist_800_171_r2_multi_cloud_3_13_11_3.13.11_Employ_FIPS-validated_cryptograph_0005;nist_800_171_r2_multi_cloud_3_13_16_3.13.16_Protect_the_confidentiality_of_CU_0007,yes,yes,3,medium,aws.efs.encryption.at_rest_enabled;aws.efs.filesystem.encryption_at_rest_enabled;aws.efs.resource.encryption_at_rest_enabled,no,0,none,,no,0,0.0,0.0,,config+ciem,yes,aws.datasec.correlation.cloudtrail.encryption_disabled;aws.datasec.correlation.cloudtrail.encryption_disabled,medium,"This CIEM rule detects when encryption is disabled on cloud resources, which could include EFS file systems losing encryption-at-rest protection.",Data Security: Encryption Disabled,Three EFS config rules cover this + generic encryption-disabled CIEM
vpc.flow.logs.enabled,flow,security,"boto3.client(""flow"")",gdpr_multi_cloud_Article_25_Data_protection_by_design_and_by_defaul_0001;gdpr_multi_cloud_Article_30_Records_of_processing_activities_0002;hipaa_multi_cloud_164_308_a_1_ii_d_0003;hipaa_multi_cloud_164_308_a_3_ii_a_0005;hipaa_multi_cloud_164_308_a_6_ii_0016;hipaa_multi_cloud_164_312_b_0026;hipaa_multi_cloud_164_312_c_2_0028,yes,no,0,none,,no,0,none,,no,0,0.0,0.0,,ciem_ai_match,yes,aws.vpc.cloudtrail.flow_logs_deleted,high,"This CIEM rule detects when VPC flow logs are deleted, which directly addresses the catalog requirement for flow logs to be enabled by alerting when they are disabled/removed.",VPC: Flow Logs Deleted,
awslambda.function.not.publicly.accessible,function,security,"boto3.client(""function"")",hipaa_multi_cloud_164_308_a_1_ii_b_0002;hipaa_multi_cloud_164_308_a_3_i_0004;hipaa_multi_cloud_164_312_a_1_0022;hipaa_multi_cloud_164_312_e_1_0030,yes,no,0,none,,no,0,none,,no,0,0.0,0.0,,ciem_ai_match,yes,aws.lambda.cloudtrail.function_url_public,high,"This CIEM rule detects when a Lambda function URL is made public, which directly addresses the catalog requirement that Lambda functions should not be publicly accessible.",Lambda: Function URL Public,
aws.identity_center.permission_set.attached_policies_not_admin_star,identity_center,identity_access,"boto3.client(""identity_center"")",,no,no,0,none,,no,0,none,,no,0,0.0,0.0,,ciem_multi,yes,aws.threat.correlation.cloudtrail.attach_admin_policy;aws.threat.correlation.cloudtrail.attach_admin_policy;aws.ciem.correlation.cloudtrail.policy_attached,medium,"The catalog rule checks for attached policies that are overly permissive (admin/*), and this CIEM rule specifically detects the attachment of admin policies, which aligns with the same security concern of excessive privilege assignment.",Threat: Attach Admin Policy,No Identity Center config rule; two CIEM rules detect admin policy attachment
rds.instance.no.public.access,instance,security,"boto3.client(""instance"")",hipaa_multi_cloud_164_308_a_3_i_0004;hipaa_multi_cloud_164_312_a_1_0022,yes,no,0,none,,no,0,none,,no,0,0.0,0.0,,ciem_ai_match,yes,aws.storage.cloudtrail.rds_modify_db_instance_public,high,"This CIEM rule directly detects the RDS ModifyDBInstance API call that can enable public access, which is the exact event that would violate the catalog rule requiring RDS instances to have no public access.",Storage: RDS Modify Db Instance Public,
"rds.instance.no.public.access,.ec2.securitygroup.allow.ingress.from.internet.to.all.ports,.ec2.networkacl.allow.ingress.tcp.port.22,.awslambda.function.not.publicly.accessible,.ec2.networkacl.allow.ingress.tcp.port.3389,.redshift.cluster.public.access,.opensearch.service.domains.not.publicly.accessible,.s3.bucket.policy.public.write.access,.awslambda.function.inside.vpc,.s3.bucket.public.write.acl,.dms.instance.no.public.access,.sagemaker.notebook.instance.without.direct.internet.access.configured",instance,security,"boto3.client(""instance"")",pci_dss_v4_multi_cloud_1.3.2_0010,yes,no,0,none,,no,0,none,,no,0,0.0,0.0,,ciem_ai_match,yes,aws.storage.cloudtrail.rds_modify_db_instance_public,high,"This CIEM rule directly detects when RDS instances are modified to become publicly accessible, which matches the catalog requirement for RDS instances to have no public access.",Storage: RDS Modify Db Instance Public,
aws.k8s.api.anonymous_auth_disabled,k8s,k8s,"boto3.client(""k8s"")",,no,no,0,none,,no,0,none,,no,0,0.0,0.0,,ciem_ai_match,yes,aws.container.eks_audit.anonymous_access,high,"This CIEM rule directly detects anonymous access to Kubernetes clusters, which is the exact security concern addressed by the catalog rule requiring anonymous authentication to be disabled.",Container: Anonymous Access,
aws.k8s.api.default_deny_ingress_per_namespace,k8s,containers_kubernetes,"boto3.client(""k8s"")",,no,no,0,none,,no,0,none,,no,0,0.0,0.0,,ciem_multi,yes,aws.eks.audit_log.audit.ingress_modify;aws.eks.audit_log.audit.networkpolicy_modify;aws.eks.audit_log.audit.ingress_modify,medium,"The CIEM rule detects modifications to EKS Ingress resources, which could indicate a violation of the default-deny ingress policy requirement by allowing unauthorized ingress changes.",EKS: Ingress Modify,NetworkPolicy modify (primary) + Ingress modify (secondary) CIEM rules
aws.k8s.api.host_network_pid_ipc_disabled,k8s,containers_kubernetes,"boto3.client(""k8s"")",,no,no,0,none,,no,0,none,,no,0,0.0,0.0,,ciem_ai_match,yes,aws.container.cloudtrail.ecs_task_def_host_network,medium,"This CIEM rule detects ECS tasks configured with host network mode, which is conceptually similar to the Kubernetes pod security control requiring hostNetwork, hostPID, and hostIPC to be disabled.",Container: ECS Task Def Host Network,
aws.k8s.api.kube_system_services_not_public,k8s,containers_kubernetes,"boto3.client(""k8s"")",,no,no,0,none,,no,0,none,,no,0,0.0,0.0,,ciem_ai_match,yes,aws.container.cloudtrail.eks_cluster_public_endpoint,high,"This CIEM rule detects when an EKS cluster endpoint is made publicly accessible, which directly corresponds to the catalog rule's requirement that kube-system services should not be public.",Container: EKS Cluster Public Endpoint,
aws.k8s.api.no_hostpath_mounts,k8s,containers_kubernetes,"boto3.client(""k8s"")",,no,no,0,none,,no,0,none,,no,0,0.0,0.0,,ciem_ai_match,yes,aws.container.eks_audit.hostpath_mount,high,"This CIEM rule directly detects hostPath mount events in EKS audit logs, which corresponds to the catalog rule's requirement to prevent hostPath mounts in Kubernetes configurations.",Container: Hostpath Mount,
aws.k8s.api.no_privileged_containers,k8s,containers_kubernetes,"boto3.client(""k8s"")",,no,no,0,none,,no,0,none,,no,0,0.0,0.0,,ciem_ai_match,yes,aws.container.eks_audit.privileged_pod,high,"This CIEM rule directly detects the creation of privileged Kubernetes pods, which is the exact security violation the catalog rule aims to prevent.",Container: Privileged Pod,
aws.k8s.api.pod_security_level_restricted,k8s,containers_kubernetes,"boto3.client(""k8s"")",,no,no,0,none,,no,0,none,,no,0,0.0,0.0,,ciem_multi,yes,aws.eks.audit_log.audit.privileged_pod;aws.eks.audit_log.audit.privileged_pod;aws.container.eks_audit.hostpath_mount;aws.eks.audit_log.audit.networkpolicy_modify,medium,"The catalog rule 'aws.k8s.api.pod_security_level_restricted' appears to check for restricted pod security standards, which is directly related to detecting privileged pod creation events that violate those standards.",EKS: Privileged Pod,"Three CIEM rules cover no-privileged, no-hostPath, policy enforcement"
aws.k8s.api.service_account_token_signing_enabled,k8s,k8s,"boto3.client(""k8s"")",,no,no,0,none,,no,0,none,,no,0,0.0,0.0,,ciem_ai_match,yes,aws.eks.audit_log.audit.token_request,medium,"This CIEM rule detects token request events in EKS audit logs, which could indicate service account token usage that might be related to signing configuration violations.",EKS: Token Request,
aws.kafka.cluster.encryption_at_rest_uses_cmk:nan,kafka,,"boto3.client(""kafka"")",,no,no,0,none,,no,0,none,,no,0,0.0,0.0,,ciem_ai_match,yes,aws.datasec.correlation.cloudtrail.encryption_disabled,medium,"This CIEM rule detects when encryption is disabled on AWS resources, which could cover the Kafka cluster encryption requirement if it monitors CreateCluster or UpdateClusterConfiguration API calls for MSK.",Data Security: Encryption Disabled,
aws.kms.cmk_not_deleted_unintentionally:aws.kms.alias.alias_points_to_active_key,kms,,"boto3.client(""kms"")","canada_pbmm_moderate_multi_cloud_CCCS_CM-6_0046,canada_pbmm_moderate_multi_cloud_CCCS_CM-9_0049,canada_pbmm_moderate_multi_cloud_CCCS_CP-9_0059,canada_pbmm_moderate_multi_cloud_CCCS_SC-12_0135,canada_pbmm_moderate_multi_cloud_CCCS_SC-13_0136,canada_pbmm_moderate_multi_cloud_CCCS_SC-28_0144,cis_aws_aws_2.2.1_0040,cis_aws_aws_2.3.1_0147,cis_aws_aws_3.3.1_0169,cis_aws_aws_3.5_0047,cis_aws_aws_3.6_0048,cis_aws_aws_4.5_0024,cis_aws_aws_4.6_0025,cis_aws_aws_5.3.1_0186,cis_aws_aws_6.1.1_0174,cisa_ce_v1_multi_cloud_Your_Data-2_0018,fedramp_moderate_multi_cloud_CM-6_0116,fedramp_moderate_multi_cloud_CM-6_1_0117,fedramp_moderate_multi_cloud_CM-6_2_0118,fedramp_moderate_multi_cloud_CM-9_0128,fedramp_moderate_multi_cloud_CP-9_0160,fedramp_moderate_multi_cloud_CP-9_1_0161,fedramp_moderate_multi_cloud_CP-9_2_0162,fedramp_moderate_multi_cloud_CP-9_3_0163,fedramp_moderate_multi_cloud_CP-9_5_0164,fedramp_moderate_multi_cloud_CP-9_8_0165,fedramp_moderate_multi_cloud_SC-12_0346,fedramp_moderate_multi_cloud_SC-13_0348,fedramp_moderate_multi_cloud_SC-28_0357,gdpr_multi_cloud_Article_25_Data_protection_by_design_and_by_defaul_0001,gdpr_multi_cloud_Article_30_Records_of_processing_activities_0002,gdpr_multi_cloud_Article_32_Security_of_processing_0003,hipaa_multi_cloud_164_308_a_1_ii_b_0002,hipaa_multi_cloud_164_308_a_1_ii_d_0003,hipaa_multi_cloud_164_308_a_4_ii_a_0009,hipaa_multi_cloud_164_312_a_2_iv_0025,hipaa_multi_cloud_164_312_c_1_0027,hipaa_multi_cloud_164_312_c_2_0028,hipaa_multi_cloud_164_312_e_2_ii_0032,iso27001_2022_multi_cloud_A.10.1_0001,iso27001_2022_multi_cloud_A.8.11_0066,iso27001_2022_multi_cloud_A.8.12_0067,iso27001_2022_multi_cloud_A.8.13_0068,iso27001_2022_multi_cloud_A.8.15_0070,iso27001_2022_multi_cloud_A.8.16_0071,iso27001_2022_multi_cloud_A.8.24_0080,iso27001_2022_multi_cloud_A.8.3_0085,iso27001_2022_multi_cloud_A.8.5_0092,nist_800_171_r2_multi_cloud_3_13_11_3.13.11_Employ_FIPS-validated_cryptograph_0005,nist_800_171_r2_multi_cloud_3_13_16_3.13.16_Protect_the_confidentiality_of_CU_0007,nist_800_171_r2_multi_cloud_3_3_8_3.3.8_Protect_audit_information_and_audit_l_0036,nist_800_171_r2_multi_cloud_3_5_10_3.5.10_Store_and_transmit_only_cryptograph_0042,nist_800_53_rev5_multi_cloud_AU-9_3_0261,nist_800_53_rev5_multi_cloud_CM-6-a_0397,nist_800_53_rev5_multi_cloud_CM-9-b_0428,nist_800_53_rev5_multi_cloud_CP-9-d_0512,nist_800_53_rev5_multi_cloud_CP-9_8_0508,nist_800_53_rev5_multi_cloud_PM-11-b_0867,nist_800_53_rev5_multi_cloud_SA-9_6_1118,nist_800_53_rev5_multi_cloud_SC-12_1_1236,nist_800_53_rev5_multi_cloud_SC-12_2_1237,nist_800_53_rev5_multi_cloud_SC-12_3_1238,nist_800_53_rev5_multi_cloud_SC-12_3_1239,nist_800_53_rev5_multi_cloud_SC-12_3_1240,nist_800_53_rev5_multi_cloud_SC-12_4_1241,nist_800_53_rev5_multi_cloud_SC-12_5_1242,nist_800_53_rev5_multi_cloud_SC-12_6_1243,nist_800_53_rev5_multi_cloud_SC-13-a_1248,nist_800_53_rev5_multi_cloud_SC-16_1_1256,nist_800_53_rev5_multi_cloud_SC-28_1_1280,nist_800_53_rev5_multi_cloud_SC-8_3_1229,nist_800_53_rev5_multi_cloud_SC-8_4_1230,nist_800_53_rev5_multi_cloud_SI-19_4_1445,pci_dss_v4_multi_cloud_3.4.1_0039,pci_dss_v4_multi_cloud_3.4.2_0040,pci_dss_v4_multi_cloud_3.5.1.2_0042,pci_dss_v4_multi_cloud_3.5.1.3_0043,pci_dss_v4_multi_cloud_8.2.1_0101,pci_dss_v4_multi_cloud_8.2.6_0104,pci_dss_v4_multi_cloud_8.2.7_0105,pci_dss_v4_multi_cloud_8.2.8_0106,rbi_bank_multi_cloud_11.1_0004,rbi_bank_multi_cloud_3.3_0016,rbi_bank_multi_cloud_8.1_0024,rbi_nbfc_multi_cloud_2.9_0013,soc2_multi_cloud_a1_2_0025,soc2_multi_cloud_cc_6_7_0013,soc2_multi_cloud_cc_7_3_0017,soc2_multi_cloud_cc_7_5_0019;iso27001_2022_multi_cloud_A.8.11_0066;iso27001_2022_multi_cloud_A.8.24_0080",yes,no,0,none,,no,0,none,,no,0,0.0,0.0,,ciem_ai_match,yes,aws.secsvc.cloudtrail.kms_schedule_key_deletion,high,"This CIEM rule detects KMS key deletion scheduling events, which directly addresses the catalog rule's concern about CMKs not being deleted unintentionally by alerting on the deletion action.",Security Services: KMS Schedule Key Deletion,
aws.kms.cmk_rotation_enabled:aws.kms.key.rotation_enabled,kms,,"boto3.client(""kms"")","canada_pbmm_moderate_multi_cloud_CCCS_SC-12_0135;canada_pbmm_moderate_multi_cloud_CCCS_SC-12_0135,cis_aws_aws_3.6_0048,cis_aws_aws_4.6_0025,fedramp_moderate_multi_cloud_SC-12_0346,gdpr_multi_cloud_Article_25_Data_protection_by_design_and_by_defaul_0001,gdpr_multi_cloud_Article_30_Records_of_processing_activities_0002,hipaa_multi_cloud_164_312_a_2_iv_0025,iso27001_2022_multi_cloud_A.8.11_0066,iso27001_2022_multi_cloud_A.8.24_0080,iso27001_2022_multi_cloud_A.8.5_0092,nist_800_53_rev5_multi_cloud_SA-9_6_1118,nist_800_53_rev5_multi_cloud_SC-12_1_1236,nist_800_53_rev5_multi_cloud_SC-12_2_1237,nist_800_53_rev5_multi_cloud_SC-12_3_1238,nist_800_53_rev5_multi_cloud_SC-12_3_1239,nist_800_53_rev5_multi_cloud_SC-12_3_1240,nist_800_53_rev5_multi_cloud_SC-12_4_1241,nist_800_53_rev5_multi_cloud_SC-12_5_1242,nist_800_53_rev5_multi_cloud_SC-12_6_1243,rbi_bank_multi_cloud_11.1_0004,rbi_bank_multi_cloud_3.3_0016,rbi_nbfc_multi_cloud_2.9_0013;cis_aws_aws_3.6_0048;cis_aws_aws_4.6_0025;fedramp_moderate_multi_cloud_SC-12_0346;iso27001_2022_multi_cloud_A.8.11_0066;iso27001_2022_multi_cloud_A.8.24_0080;iso27001_2022_multi_cloud_A.8.5_0092;nist_800_53_rev5_multi_cloud_SA-9_6_1118;nist_800_53_rev5_multi_cloud_SC-12_1_1236;nist_800_53_rev5_multi_cloud_SC-12_2_1237;nist_800_53_rev5_multi_cloud_SC-12_3_1238;nist_800_53_rev5_multi_cloud_SC-12_3_1239;nist_800_53_rev5_multi_cloud_SC-12_3_1240;nist_800_53_rev5_multi_cloud_SC-12_4_1241;nist_800_53_rev5_multi_cloud_SC-12_5_1242;nist_800_53_rev5_multi_cloud_SC-12_6_1243;rbi_bank_multi_cloud_11.1_0004;rbi_bank_multi_cloud_3.3_0016;rbi_nbfc_multi_cloud_2.9_0013",yes,no,0,none,,no,0,none,,no,0,0.0,0.0,,ciem_ai_match,yes,aws.secsvc.cloudtrail.kms_disable_key_rotation,high,"This CIEM rule directly detects the disabling of KMS key rotation via CloudTrail events, which is the operational violation of the catalog requirement for CMK rotation to be enabled.",Security Services: KMS Disable Key Rotation,
cloudtrail.kms.encryption.enabled,kms,security,"boto3.client(""kms"")",gdpr_multi_cloud_Article_25_Data_protection_by_design_and_by_defaul_0001;gdpr_multi_cloud_Article_30_Records_of_processing_activities_0002;gdpr_multi_cloud_Article_32_Security_of_processing_0003;hipaa_multi_cloud_164_308_a_1_ii_b_0002;hipaa_multi_cloud_164_308_a_1_ii_d_0003;hipaa_multi_cloud_164_308_a_4_ii_a_0009;hipaa_multi_cloud_164_312_a_2_iv_0025;hipaa_multi_cloud_164_312_c_1_0027;hipaa_multi_cloud_164_312_c_2_0028;hipaa_multi_cloud_164_312_e_2_ii_0032,yes,no,0,none,,no,0,none,,no,0,0.0,0.0,,ciem_ai_match,yes,aws.datasec.correlation.cloudtrail.encryption_disabled,high,"This CIEM rule detects when encryption is disabled via CloudTrail events, directly addressing the catalog requirement for KMS encryption to be enabled by monitoring for disabling actions.",Data Security: Encryption Disabled,
cloudwatch.log.metric.filter.authentication.failures,log,security,"boto3.client(""log"")",gdpr_multi_cloud_Article_25_Data_protection_by_design_and_by_defaul_0001;hipaa_multi_cloud_164_308_a_5_ii_c_0013;hipaa_multi_cloud_164_308_a_6_i_0015;hipaa_multi_cloud_164_308_a_6_ii_0016,yes,no,0,none,,no,0,none,,no,0,0.0,0.0,,ciem_ai_match,yes,aws.threat.correlation.cloudtrail.console_login_failure,high,"This CIEM rule directly detects authentication failures (console login failures) via CloudTrail, which matches the catalog rule's requirement for monitoring authentication failures.",Threat: Console Login Failure,
elb.logging.enabled,logging,security,"boto3.client(""logging"")",gdpr_multi_cloud_Article_30_Records_of_processing_activities_0002;hipaa_multi_cloud_164_308_a_1_ii_d_0003;hipaa_multi_cloud_164_308_a_3_ii_a_0005;hipaa_multi_cloud_164_308_a_6_ii_0016;hipaa_multi_cloud_164_312_b_0026,yes,no,0,none,,no,0,none,,no,0,0.0,0.0,,ciem_ai_match,yes,aws.network.cloudtrail.elb_access_log_disabled,high,"This CIEM rule directly detects when ELB access logging is disabled via API events, which corresponds to the catalog requirement for ELB logging to be enabled for compliance with GDPR Article 30 and HIPAA logging requirements.",Network: Elb Access Log Disabled,
