rule_id,yaml_service,yaml_resource_kind,domain,severity,scope,assertion_id
aws.identitycenter.group.identitycenter_membership_review_enabled_if_supported,identitycenter,group,configuration_and_change_management,medium,identitycenter.group.configuration,security.configuration.identitycenter_group_identitycenter_membership_review_enabled_if_supported
aws.identitycenter.group.identitycenter_no_inline_policies_configured,identitycenter,group,configuration_and_change_management,medium,identitycenter.group.configuration,security.configuration.identitycenter_group_identitycenter_no_inline_policies_configured
aws.identitycenter.permissionset.identitycenter_no_inline_policies_configured,identitycenter,permissionset,configuration_and_change_management,medium,identitycenter.permissionset.configuration,security.configuration.identitycenter_permissionset_identitycenter_no_inline_policies_configured
aws.identitycenter.permissionset.identitycenter_trust_external_id_or_audience_required,identitycenter,permissionset,configuration_and_change_management,medium,identitycenter.permissionset.configuration,security.configuration.identitycenter_permissionset_identitycenter_trust_external_id_or_audience_required
aws.identitycenter.permissionset.identitycenter_trust_principals_allowlist_only_configured,identitycenter,permissionset,configuration_and_change_management,medium,identitycenter.permissionset.configuration,security.configuration.identitycenter_permissionset_identitycenter_trust_principals_allowlist_only_configured
aws.identitycenter.permissionset.max_session_duration_configured,identitycenter,permissionset,configuration_and_change_management,medium,identitycenter.permissionset.configuration,security.configuration.identitycenter_permissionset_max_session_duration_configured
aws.identitycenter.permissionset.scopes_or_roles_least_privilege,identitycenter,permissionset,identity_and_access_management,high,identitycenter.permissionset.access_control,identity_access.least_privilege.identitycenter_permissionset_scopes_or_roles_least_privilege
aws.identitycenter.permissionset.session_duration_reasonable_if_applicable_configured,identitycenter,permissionset,configuration_and_change_management,medium,identitycenter.permissionset.configuration,security.configuration.identitycenter_permissionset_session_duration_reasonable_if_applicable_configured
aws.identitycenter.user.console_password_present_only_if_required,identitycenter,user,identity_and_access_management,critical,identitycenter.user.access_control,identity_access.authentication.identitycenter_user_console_password_present_only_if_required
aws.identitycenter.user.identitycenter_inactive_90_days_disabled,identitycenter,user,configuration_and_change_management,medium,identitycenter.user.configuration,security.configuration.identitycenter_user_identitycenter_inactive_90_days_disabled
aws.identitycenter.user.identitycenter_no_inline_policies_enabled,identitycenter,user,configuration_and_change_management,medium,identitycenter.user.configuration,security.configuration.identitycenter_user_identitycenter_no_inline_policies_enabled
aws.kinesisanalytics.application.network_private_only_configured,kinesisanalytics,application,network_security_and_connectivity,high,kinesisanalytics.application.network,network_security.network_access.kinesisanalytics_application_network_private_only_configured
aws.kinesisvideostreams.stream.retention_days_minimum_configured,kinesisvideostreams,stream,data_protection_and_privacy,low,kinesisvideostreams.stream.data_protection,data_protection.data_lifecycle.kinesisvideostreams_stream_retention_days_minimum_configured
aws.lakeformation.data_lake_settings.change_audit_logging_enabled,lakeformation,data_lake_settings,logging_monitoring_and_alerting,medium,lakeformation.data_lake_settings.logging,logging_monitoring.logging.lakeformation_data_lake_settings_change_audit_logging_enabled
aws.lakeformation.data_lake_settings.mfa_required,lakeformation,data_lake_settings,identity_and_access_management,critical,lakeformation.data_lake_settings.access_control,identity_access.authentication.lakeformation_data_lake_settings_mfa_required
aws.lakeformation.data_lake_settings.rbac_least_privilege,lakeformation,data_lake_settings,identity_and_access_management,high,lakeformation.data_lake_settings.access_control,identity_access.least_privilege.lakeformation_data_lake_settings_rbac_least_privilege
aws.parameterstore.parameter.rbac_least_privilege,parameterstore,parameter,identity_and_access_management,high,parameterstore.parameter.access_control,identity_access.least_privilege.parameterstore_parameter_rbac_least_privilege
aws.parameterstore.parameter.rotation_enabled_for_rotatable_secrets,parameterstore,parameter,configuration_and_change_management,medium,parameterstore.parameter.configuration,security.configuration.parameterstore_parameter_rotation_enabled_for_rotatable_secrets
aws.savingsplans.savingsplan.billing_admins_mfa_required,savingsplans,savingsplan,identity_and_access_management,critical,savingsplans.savingsplan.access_control,identity_access.authentication.savingsplans_savingsplan_billing_admins_mfa_required
aws.savingsplans.savingsplan.purchase_permissions_restricted,savingsplans,savingsplan,identity_and_access_management,high,savingsplans.savingsplan.access_control,identity_access.least_privilege.savingsplans_savingsplan_purchase_permissions_restricted
aws.savingsplans.savingsplan.savingsplans_approval_workflow_required,savingsplans,savingsplan,configuration_and_change_management,medium,savingsplans.savingsplan.configuration,security.configuration.savingsplans_savingsplan_savingsplans_approval_workflow_required
aws.servicecatalog.portfolio.servicecatalog_shared_within_organization_only_configured,servicecatalog,portfolio,logging_monitoring_and_alerting,medium,servicecatalog.portfolio.logging,logging_monitoring.logging.servicecatalog_portfolio_servicecatalog_shared_within_organization_only_configured
aws.ssm.automation.change_audit_logging_enabled,ssm,automation,logging_monitoring_and_alerting,medium,ssm.automation.logging,logging_monitoring.logging.ssm_automation_change_audit_logging_enabled
aws.ssm.automation.ssm_artifacts_encrypted_and_private,ssm,automation,data_protection_and_privacy,high,ssm.automation.encryption,data_protection.encryption_rest.ssm_automation_ssm_artifacts_encrypted_and_private
aws.ssm.automation.versioning_and_immutability_enabled,ssm,automation,data_protection_and_privacy,low,ssm.automation.data_protection,data_protection.data_lifecycle.ssm_automation_versioning_and_immutability_enabled
aws.ssm.baseline.ssm_conformance_pack_deployed_configured,ssm,baseline,configuration_and_change_management,medium,ssm.baseline.configuration,security.configuration.ssm_baseline_ssm_conformance_pack_deployed_configured
aws.ssm.document.change_audit_logging_enabled,ssm,document,logging_monitoring_and_alerting,medium,ssm.document.logging,logging_monitoring.logging.ssm_document_change_audit_logging_enabled
aws.ssm.restapi.public_access_restricted,ssm,restapi,network_security_and_connectivity,high,ssm.restapi.network,network_security.network_access.ssm_restapi_public_access_restricted
aws.sso.permissionset.no_inline_policy,sso,permissionset,identity_and_access_management,medium,sso.permissionset.policy,iam.access_control.sso_permissionset_no_inline_policy
aws.sso.permissionset.session_duration_max_1_hour,sso,permissionset,identity_and_access_management,medium,sso.permissionset.session,iam.access_control.sso_permissionset_session_duration_max_1_hour
aws.transfer.resource.server_in_transit_encryption_enabled,transfer,resource,data_protection_and_privacy,high,transfer.resource.encryption,data_protection.encryption_rest.transfer_resource_server_in_transit_encryption_enabled
aws.vpcflowlogs.flowlog.alert_destinations_configured,vpcflowlogs,flowlog,configuration_and_change_management,medium,vpcflowlogs.flowlog.configuration,security.configuration.vpcflowlogs_flowlog_alert_destinations_configured
aws.vpcflowlogs.flowlog.alerts_for_anomalies_configured,vpcflowlogs,flowlog,configuration_and_change_management,medium,vpcflowlogs.flowlog.configuration,security.configuration.vpcflowlogs_flowlog_alerts_for_anomalies_configured
aws.vpcflowlogs.flowlog.log_ids_ips_enabled_if_supported,vpcflowlogs,flowlog,logging_monitoring_and_alerting,medium,vpcflowlogs.flowlog.logging,logging_monitoring.logging.vpcflowlogs_flowlog_log_ids_ips_enabled_if_supported
aws.vpcflowlogs.flowlog.log_s_enabled,vpcflowlogs,flowlog,logging_monitoring_and_alerting,medium,vpcflowlogs.flowlog.logging,logging_monitoring.logging.vpcflowlogs_flowlog_log_s_enabled
aws.workspaces.restapi.public_access_restricted,workspaces,restapi,network_security_and_connectivity,high,workspaces.restapi.network,network_security.network_access.workspaces_restapi_public_access_restricted
