cloud_provider,rule_id,uniform_rule_format,service,category,provider_service,oci_mapped_compliance_functions,oci_mapped_compliance_ids
oci,oci.oci_data_integration.ai_services_security_data_pipeline_private_networking_enforced,oci.data_integration.ai_services_security_data_pipeline_private_networking_enforced,,ai_services,OCI Data Integration,,
oci,oci.oci_service_connector_hub.ai_services_security_data_pipeline_access_controls_least_privilege,oci.service_connector_hub.ai_services_security_data_pipeline_access_controls_least_privilege,,ai_services,OCI Service Connector Hub,,
oci,oci.oci_service_connector_hub.ai_services_security_data_pipeline_private_networking_enforced,oci.service_connector_hub.ai_services_security_data_pipeline_private_networking_enforced,,ai_services,OCI Service Connector Hub,,
oci,oci.oci_data_science_model_catalog.ai_services_security_model_registry_access_rbac_least_privilege,oci.data_science_model_catalog.ai_services_security_model_registry_access_rbac_least_privilege,,ai_services,OCI Data Science - Model Catalog,,
oci,oci.oci_data_science_model_versions.ai_services_supply_chain_model_artifact_signed_and_verified,oci.data_science_model_versions.ai_services_supply_chain_model_artifact_signed_and_verified,,ai_services,OCI Data Science - Model Versions,,
oci,oci.oci_data_science_model_versions.ai_services_supply_chain_model_artifact_sbom_present,oci.data_science_model_versions.ai_services_supply_chain_model_artifact_sbom_present,,ai_services,OCI Data Science - Model Versions,,
oci,oci.oci_data_science_model_versions.ai_services_supply_chain_model_artifact_image_scanned_no_critical,oci.data_science_model_versions.ai_services_supply_chain_model_artifact_image_scanned_no_critical,,ai_services,OCI Data Science - Model Versions,,
oci,oci.oci_data_science_model_versions.ai_services_security_model_artifact_encrypted_at_rest_cmek,oci.data_science_model_versions.ai_services_security_model_artifact_encrypted_at_rest_cmek,,ai_services,OCI Data Science - Model Versions,,
oci,oci.oci_data_science_project.ai_services_security_secrets_vault_kms_encryption_and_rotation_enabled,oci.data_science_project.ai_services_security_secrets_vault_kms_encryption_and_rotation_enabled,,ai_services,OCI Data Science Project,,
oci,oci.oci_data_science_project.ai_services_security_secrets_vault_no_plaintext_secrets_in_config,oci.data_science_project.ai_services_security_secrets_vault_no_plaintext_secrets_in_config,,ai_services,OCI Data Science Project,,
oci,oci.oci_data_science_project.ai_services_security_secrets_vault_access_rbac_least_privilege,oci.data_science_project.ai_services_security_secrets_vault_access_rbac_least_privilege,,ai_services,OCI Data Science Project,,
oci,oci.oci_data_science_custom_feature_store_pattern.ai_services_security_feature_store_rbac_least_privilege,oci.data_science_custom_feature_store_pattern.ai_services_security_feature_store_rbac_least_privilege,,ai_services,OCI Data Science (custom feature store pattern),,
oci,oci.oci_data_science_custom_feature_store_pattern.ai_services_security_feature_store_private_networking_enforced,oci.data_science_custom_feature_store_pattern.ai_services_security_feature_store_private_networking_enforced,,ai_services,OCI Data Science (custom feature store pattern),,
oci,oci.oci_data_integration_pipelines.ai_services_security_agent_orchestrator_tool_use_allowlist_enforced,oci.data_integration_pipelines.ai_services_security_agent_orchestrator_tool_use_allowlist_enforced,,ai_services,OCI Data Integration Pipelines,,
oci,oci.oci_data_integration_pipelines.ai_services_security_agent_orchestrator_secrets_isolation_enabled,oci.data_integration_pipelines.ai_services_security_agent_orchestrator_secrets_isolation_enabled,,ai_services,OCI Data Integration Pipelines,,
oci,oci.oci_data_integration_pipelines.ai_services_security_agent_orchestrator_data_exfiltration_policies_enforced,oci.data_integration_pipelines.ai_services_security_agent_orchestrator_data_exfiltration_policies_enforced,,ai_services,OCI Data Integration Pipelines,,
oci,oci.oci_data_science_pipelines.ai_services_security_agent_orchestrator_tool_use_allowlist_enforced,oci.data_science_pipelines.ai_services_security_agent_orchestrator_tool_use_allowlist_enforced,,ai_services,OCI Data Science Pipelines,,
oci,oci.oci_data_science_pipelines.ai_services_security_agent_orchestrator_secrets_isolation_enabled,oci.data_science_pipelines.ai_services_security_agent_orchestrator_secrets_isolation_enabled,,ai_services,OCI Data Science Pipelines,,
oci,oci.oci_data_science_pipelines.ai_services_security_agent_orchestrator_data_exfiltration_policies_enforced,oci.data_science_pipelines.ai_services_security_agent_orchestrator_data_exfiltration_policies_enforced,,ai_services,OCI Data Science Pipelines,,
oci,oci.oci_data_catalog_dataset_metadata.ai_services_security_ai_dataset_encrypted_at_rest_cmek,oci.data_catalog_dataset_metadata.ai_services_security_ai_dataset_encrypted_at_rest_cmek,,ai_services,OCI Data Catalog (dataset metadata),,
oci,oci.oci_data_catalog_dataset_metadata.ai_services_security_ai_dataset_public_access_blocked,oci.data_catalog_dataset_metadata.ai_services_security_ai_dataset_public_access_blocked,,ai_services,OCI Data Catalog (dataset metadata),,
oci,oci.oci_object_storage_datasets.ai_services_security_ai_dataset_encrypted_at_rest_cmek,oci.object_storage_datasets.ai_services_security_ai_dataset_encrypted_at_rest_cmek,,ai_services,OCI Object Storage (datasets),,
oci,oci.oci_object_storage_datasets.ai_services_security_ai_dataset_public_access_blocked,oci.object_storage_datasets.ai_services_security_ai_dataset_public_access_blocked,,ai_services,OCI Object Storage (datasets),,
oci,oci.oci_logging_analytics.api_security_monitoring_api_access_logging_enabled,oci.logging_analytics.api_security_monitoring_api_access_logging_enabled,,api_security,OCI Logging Analytics,,
oci,oci.oci_logging_analytics.api_security_monitoring_api_access_log_sink_configured,oci.logging_analytics.api_security_monitoring_api_access_log_sink_configured,,api_security,OCI Logging Analytics,,
oci,oci.oci_logging_analytics.api_security_monitoring_api_access_log_fields_identity_present,oci.logging_analytics.api_security_monitoring_api_access_log_fields_identity_present,,api_security,OCI Logging Analytics,,
oci,oci.oci_logging_analytics.api_security_monitoring_api_execution_logging_level_minimum_error,oci.logging_analytics.api_security_monitoring_api_execution_logging_level_minimum_error,,api_security,OCI Logging Analytics,,
oci,oci.oci_logging_analytics.api_security_monitoring_api_logs_retention_days_minimum,oci.logging_analytics.api_security_monitoring_api_logs_retention_days_minimum,,api_security,OCI Logging Analytics,,
oci,oci.oci_monitoring_alarms.api_security_monitoring_api_access_logging_enabled,oci.monitoring_alarms.api_security_monitoring_api_access_logging_enabled,,api_security,OCI Monitoring (alarms),,
oci,oci.oci_monitoring_alarms.api_security_monitoring_api_access_log_sink_configured,oci.monitoring_alarms.api_security_monitoring_api_access_log_sink_configured,,api_security,OCI Monitoring (alarms),,
oci,oci.oci_monitoring_alarms.api_security_monitoring_api_access_log_fields_identity_present,oci.monitoring_alarms.api_security_monitoring_api_access_log_fields_identity_present,,api_security,OCI Monitoring (alarms),,
oci,oci.oci_monitoring_alarms.api_security_monitoring_api_execution_logging_level_minimum_error,oci.monitoring_alarms.api_security_monitoring_api_execution_logging_level_minimum_error,,api_security,OCI Monitoring (alarms),,
oci,oci.oci_monitoring_alarms.api_security_monitoring_api_logs_retention_days_minimum,oci.monitoring_alarms.api_security_monitoring_api_logs_retention_days_minimum,,api_security,OCI Monitoring (alarms),,
oci,oci.oci_api_gateway_throttling_rate_limits.api_security_rate_limiting_api_stage_burst_limit_configured,oci.api_gateway_throttling_rate_limits.api_security_rate_limiting_api_stage_burst_limit_configured,,api_security,OCI API Gateway - Throttling/Rate Limits,,
oci,oci.oci_api_gateway_throttling_rate_limits.api_security_rate_limiting_api_stage_rate_limit_configured,oci.api_gateway_throttling_rate_limits.api_security_rate_limiting_api_stage_rate_limit_configured,,api_security,OCI API Gateway - Throttling/Rate Limits,,
oci,oci.oci_api_gateway_throttling_rate_limits.api_security_rate_limiting_api_usage_plan_required_for_api_keys,oci.api_gateway_throttling_rate_limits.api_security_rate_limiting_api_usage_plan_required_for_api_keys,,api_security,OCI API Gateway - Throttling/Rate Limits,,
oci,oci.oci_api_gateway_throttling_rate_limits.api_security_rate_limiting_api_quota_limit_configured,oci.api_gateway_throttling_rate_limits.api_security_rate_limiting_api_quota_limit_configured,,api_security,OCI API Gateway - Throttling/Rate Limits,,
oci,oci.oci_api_gateway_throttling_rate_limits.api_security_rate_limiting_api_stage_throttle_overrides_not_unbounded,oci.api_gateway_throttling_rate_limits.api_security_rate_limiting_api_stage_throttle_overrides_not_unbounded,,api_security,OCI API Gateway - Throttling/Rate Limits,,
oci,oci.oci_api_gateway_request_response_validation_openapi.api_security_validation_api_request_schema_validation_enabled,oci.api_gateway_request_response_validation_openapi.api_security_validation_api_request_schema_validation_enabled,,api_security,OCI API Gateway - Request/Response Validation (OpenAPI),,
oci,oci.oci_api_gateway_request_response_validation_openapi.api_security_validation_api_response_schema_validation_enabled,oci.api_gateway_request_response_validation_openapi.api_security_validation_api_response_schema_validation_enabled,,api_security,OCI API Gateway - Request/Response Validation (OpenAPI),,
oci,oci.oci_api_gateway_request_response_validation_openapi.api_security_validation_api_parameters_validation_enabled,oci.api_gateway_request_response_validation_openapi.api_security_validation_api_parameters_validation_enabled,,api_security,OCI API Gateway - Request/Response Validation (OpenAPI),,
oci,oci.oci_api_gateway_request_response_validation_openapi.api_security_validation_api_content_type_whitelist_enforced,oci.api_gateway_request_response_validation_openapi.api_security_validation_api_content_type_whitelist_enforced,,api_security,OCI API Gateway - Request/Response Validation (OpenAPI),,
oci,oci.oci_api_gateway_request_response_validation_openapi.api_security_validation_api_request_body_size_limit_configured,oci.api_gateway_request_response_validation_openapi.api_security_validation_api_request_body_size_limit_configured,,api_security,OCI API Gateway - Request/Response Validation (OpenAPI),,
oci,oci.oci_api_gateway_request_response_validation_openapi.api_security_validation_api_required_security_headers_enforced,oci.api_gateway_request_response_validation_openapi.api_security_validation_api_required_security_headers_enforced,,api_security,OCI API Gateway - Request/Response Validation (OpenAPI),,
oci,oci.oci_backup_policies_scheduled.resilience_recovery_backup_coverage_policy_assignment_complete,oci.backup_policies_scheduled.resilience_recovery_backup_coverage_policy_assignment_complete,,resilience_recovery,OCI Backup Policies (Scheduled),,
oci,oci.oci_backup_policies_scheduled.resilience_recovery_backup_coverage_unprotected_assets_alerting_enabled,oci.backup_policies_scheduled.resilience_recovery_backup_coverage_unprotected_assets_alerting_enabled,,resilience_recovery,OCI Backup Policies (Scheduled),,
oci,oci.oci_backup_policies_scheduled.resilience_recovery_backup_health_job_success_rate_minimum,oci.backup_policies_scheduled.resilience_recovery_backup_health_job_success_rate_minimum,,resilience_recovery,OCI Backup Policies (Scheduled),,
oci,oci.oci_backup_policies_scheduled.resilience_recovery_backup_health_last_backup_recency_within_days,oci.backup_policies_scheduled.resilience_recovery_backup_health_last_backup_recency_within_days,,resilience_recovery,OCI Backup Policies (Scheduled),,
oci,oci.oci_backup_policies_scheduled.resilience_recovery_backup_health_failed_jobs_alerting_enabled,oci.backup_policies_scheduled.resilience_recovery_backup_health_failed_jobs_alerting_enabled,,resilience_recovery,OCI Backup Policies (Scheduled),,
oci,oci.oci_backup_policies_scheduled.resilience_recovery_backup_inventory_resource_discovery_synced,oci.backup_policies_scheduled.resilience_recovery_backup_inventory_resource_discovery_synced,,resilience_recovery,OCI Backup Policies (Scheduled),,
oci,oci.oci_backup_block_volume_boot_volume_jobs.backup_security_monitoring_alert_rules_for_job_failures_configured,oci.backup_block_volume_boot_volume_jobs.backup_security_monitoring_alert_rules_for_job_failures_configured,,backup,OCI Backup (Block Volume/Boot Volume Jobs),,
oci,oci.oci_backup_block_volume_boot_volume_jobs.backup_security_monitoring_alert_rules_for_sla_breach_configured,oci.backup_block_volume_boot_volume_jobs.backup_security_monitoring_alert_rules_for_sla_breach_configured,,backup,OCI Backup (Block Volume/Boot Volume Jobs),,
oci,oci.oci_backup_block_volume_boot_volume_jobs.backup_security_monitoring_alert_destinations_configured,oci.backup_block_volume_boot_volume_jobs.backup_security_monitoring_alert_destinations_configured,,backup,OCI Backup (Block Volume/Boot Volume Jobs),,
oci,oci.oci_backup_block_volume_boot_volume_jobs.backup_security_monitoring_metrics_export_enabled,oci.backup_block_volume_boot_volume_jobs.backup_security_monitoring_metrics_export_enabled,,backup,OCI Backup (Block Volume/Boot Volume Jobs),,
oci,oci.oci_backup_policies_scheduled.backup_security_access_backup_vault_rbac_least_privilege,oci.backup_policies_scheduled.backup_security_access_backup_vault_rbac_least_privilege,,backup,OCI Backup Policies (Scheduled),,
oci,oci.oci_backup_policies_scheduled.backup_security_access_no_public_access_to_backup_vault,oci.backup_policies_scheduled.backup_security_access_no_public_access_to_backup_vault,,backup,OCI Backup Policies (Scheduled),,
oci,oci.oci_backup_policies_scheduled.backup_security_access_backup_admins_mfa_required,oci.backup_policies_scheduled.backup_security_access_backup_admins_mfa_required,,backup,OCI Backup Policies (Scheduled),,
oci,oci.oci_backup_policies_scheduled.backup_security_access_backup_keys_access_least_privilege,oci.backup_policies_scheduled.backup_security_access_backup_keys_access_least_privilege,,backup,OCI Backup Policies (Scheduled),,
oci,oci.oci_object_storage_backup_buckets.backup_security_encryption_encryption_at_rest_enabled,oci.object_storage_backup_buckets.backup_security_encryption_encryption_at_rest_enabled,,backup,OCI Object Storage (backup buckets),,
oci,oci.oci_object_storage_backup_buckets.backup_security_encryption_encryption_in_transit_tls_min_1_2,oci.object_storage_backup_buckets.backup_security_encryption_encryption_in_transit_tls_min_1_2,,backup,OCI Object Storage (backup buckets),,
oci,oci.oci_object_storage_backup_buckets.backup_security_encryption_cmk_cmek_key_configured,oci.object_storage_backup_buckets.backup_security_encryption_cmk_cmek_key_configured,,backup,OCI Object Storage (backup buckets),,
oci,oci.oci_object_storage_backup_buckets.backup_security_encryption_key_rotation_enabled,oci.object_storage_backup_buckets.backup_security_encryption_key_rotation_enabled,,backup,OCI Object Storage (backup buckets),,
oci,oci.oci_object_storage_backup_buckets.backup_security_encryption_key_policy_least_privilege,oci.object_storage_backup_buckets.backup_security_encryption_key_policy_least_privilege,,backup,OCI Object Storage (backup buckets),,
oci,oci.oci_object_storage_backup_buckets.backup_security_encryption_backup_storage_immutability_enabled,oci.object_storage_backup_buckets.backup_security_encryption_backup_storage_immutability_enabled,,backup,OCI Object Storage (backup buckets),,
oci,oci.oci_recovery_service_db_backups_vault_like.backup_security_encryption_encryption_at_rest_enabled,oci.recovery_service_db_backups_vault_like.backup_security_encryption_encryption_at_rest_enabled,,backup,OCI Recovery Service (DB backups vault-like),,
oci,oci.oci_recovery_service_db_backups_vault_like.backup_security_encryption_encryption_in_transit_tls_min_1_2,oci.recovery_service_db_backups_vault_like.backup_security_encryption_encryption_in_transit_tls_min_1_2,,backup,OCI Recovery Service (DB backups vault-like),,
oci,oci.oci_recovery_service_db_backups_vault_like.backup_security_encryption_cmk_cmek_key_configured,oci.recovery_service_db_backups_vault_like.backup_security_encryption_cmk_cmek_key_configured,,backup,OCI Recovery Service (DB backups vault-like),,
oci,oci.oci_recovery_service_db_backups_vault_like.backup_security_encryption_key_rotation_enabled,oci.recovery_service_db_backups_vault_like.backup_security_encryption_key_rotation_enabled,,backup,OCI Recovery Service (DB backups vault-like),,
oci,oci.oci_recovery_service_db_backups_vault_like.backup_security_encryption_key_policy_least_privilege,oci.recovery_service_db_backups_vault_like.backup_security_encryption_key_policy_least_privilege,,backup,OCI Recovery Service (DB backups vault-like),,
oci,oci.oci_recovery_service_db_backups_vault_like.backup_security_encryption_backup_storage_immutability_enabled,oci.recovery_service_db_backups_vault_like.backup_security_encryption_backup_storage_immutability_enabled,,backup,OCI Recovery Service (DB backups vault-like),,
oci,oci.oci_compute_instances_vm_bm_flex.compute_security_vm_ssh_password_auth_disabled,oci.compute_instances_vm_bm_flex.compute_security_vm_ssh_password_auth_disabled,,compute_host_security,OCI Compute Instances (VM/BM/Flex),,
oci,oci.oci_compute_instances_vm_bm_flex.compute_security_vm_ssh_key_based_auth_required,oci.compute_instances_vm_bm_flex.compute_security_vm_ssh_key_based_auth_required,,compute_host_security,OCI Compute Instances (VM/BM/Flex),,
oci,oci.oci_compute_instances_vm_bm_flex.compute_security_vm_imds_hardened,oci.compute_instances_vm_bm_flex.compute_security_vm_imds_hardened,,compute_host_security,OCI Compute Instances (VM/BM/Flex),,
oci,oci.oci_compute_instances_vm_bm_flex.compute_security_vm_no_public_ip_assigned,oci.compute_instances_vm_bm_flex.compute_security_vm_no_public_ip_assigned,,compute_host_security,OCI Compute Instances (VM/BM/Flex),,
oci,oci.oci_compute_instances_vm_bm_flex.compute_security_vm_security_group_inbound_restricted,oci.compute_instances_vm_bm_flex.compute_security_vm_security_group_inbound_restricted,,compute_host_security,OCI Compute Instances (VM/BM/Flex),,
oci,oci.oci_compute_instances_vm_bm_flex.compute_security_vm_root_volume_encrypted_cmek,oci.compute_instances_vm_bm_flex.compute_security_vm_root_volume_encrypted_cmek,,compute_host_security,OCI Compute Instances (VM/BM/Flex),,
oci,oci.oci_compute_instances_vm_bm_flex.compute_security_vm_data_volumes_encrypted_cmek,oci.compute_instances_vm_bm_flex.compute_security_vm_data_volumes_encrypted_cmek,,compute_host_security,OCI Compute Instances (VM/BM/Flex),,
oci,oci.oci_compute_instances_vm_bm_flex.compute_security_vm_secure_boot_enabled,oci.compute_instances_vm_bm_flex.compute_security_vm_secure_boot_enabled,,compute_host_security,OCI Compute Instances (VM/BM/Flex),,
oci,oci.oci_compute_instances_vm_bm_flex.compute_security_vm_vtpm_enabled,oci.compute_instances_vm_bm_flex.compute_security_vm_vtpm_enabled,,compute_host_security,OCI Compute Instances (VM/BM/Flex),,
oci,oci.oci_compute_instances_vm_bm_flex.compute_security_vm_serial_console_access_restricted,oci.compute_instances_vm_bm_flex.compute_security_vm_serial_console_access_restricted,,compute_host_security,OCI Compute Instances (VM/BM/Flex),,
oci,oci.oci_compute_instances_vm_bm_flex.compute_security_vm_user_data_no_secrets,oci.compute_instances_vm_bm_flex.compute_security_vm_user_data_no_secrets,,compute_host_security,OCI Compute Instances (VM/BM/Flex),,
oci,oci.oci_block_volumes_bv_boot_volume.compute_security_disk_encryption_at_rest_enabled,oci.block_volumes_bv_boot_volume.compute_security_disk_encryption_at_rest_enabled,,compute_host_security,OCI Block Volumes (BV/Boot Volume),,
oci,oci.oci_block_volumes_bv_boot_volume.compute_security_disk_cmk_cmek_configured,oci.block_volumes_bv_boot_volume.compute_security_disk_cmk_cmek_configured,,compute_host_security,OCI Block Volumes (BV/Boot Volume),,
oci,oci.oci_block_volumes_bv_boot_volume.compute_security_disk_snapshots_encrypted,oci.block_volumes_bv_boot_volume.compute_security_disk_snapshots_encrypted,,compute_host_security,OCI Block Volumes (BV/Boot Volume),,
oci,oci.oci_block_volumes_bv_boot_volume.compute_security_disk_snapshots_not_public,oci.block_volumes_bv_boot_volume.compute_security_disk_snapshots_not_public,,compute_host_security,OCI Block Volumes (BV/Boot Volume),,
oci,oci.oci_custom_images_boot_volume_backups.compute_security_image_approved_image_allowlist_enforced,oci.custom_images_boot_volume_backups.compute_security_image_approved_image_allowlist_enforced,,compute_host_security,OCI Custom Images/Boot Volume Backups,,
oci,oci.oci_custom_images_boot_volume_backups.compute_security_image_image_signed_and_verified,oci.custom_images_boot_volume_backups.compute_security_image_image_signed_and_verified,,compute_host_security,OCI Custom Images/Boot Volume Backups,,
oci,oci.oci_custom_images_boot_volume_backups.compute_security_image_vuln_scanned_no_critical,oci.custom_images_boot_volume_backups.compute_security_image_vuln_scanned_no_critical,,compute_host_security,OCI Custom Images/Boot Volume Backups,,
oci,oci.oci_custom_images_boot_volume_backups.compute_security_image_not_publicly_shared,oci.custom_images_boot_volume_backups.compute_security_image_not_publicly_shared,,compute_host_security,OCI Custom Images/Boot Volume Backups,,
oci,oci.oci_custom_images_boot_volume_backups.compute_security_image_encrypted_cmek,oci.custom_images_boot_volume_backups.compute_security_image_encrypted_cmek,,compute_host_security,OCI Custom Images/Boot Volume Backups,,
oci,oci.oci_instance_configuration.compute_security_launch_template_no_public_ip_default,oci.instance_configuration.compute_security_launch_template_no_public_ip_default,,compute_host_security,OCI Instance Configuration,,
oci,oci.oci_instance_configuration.compute_security_launch_template_imds_hardened,oci.instance_configuration.compute_security_launch_template_imds_hardened,,compute_host_security,OCI Instance Configuration,,
oci,oci.oci_instance_configuration.compute_security_launch_template_root_volume_encrypted_by_default,oci.instance_configuration.compute_security_launch_template_root_volume_encrypted_by_default,,compute_host_security,OCI Instance Configuration,,
oci,oci.oci_instance_configuration.compute_security_launch_template_security_groups_restrictive,oci.instance_configuration.compute_security_launch_template_security_groups_restrictive,,compute_host_security,OCI Instance Configuration,,
oci,oci.oci_instance_configuration.compute_security_launch_template_user_data_no_secrets,oci.instance_configuration.compute_security_launch_template_user_data_no_secrets,,compute_host_security,OCI Instance Configuration,,
oci,oci.oci_instance_configuration.compute_security_launch_template_instance_profile_least_privilege,oci.instance_configuration.compute_security_launch_template_instance_profile_least_privilege,,compute_host_security,OCI Instance Configuration,,
oci,oci.oci_instance_pools.compute_security_instance_group_uses_approved_launch_template,oci.instance_pools.compute_security_instance_group_uses_approved_launch_template,,compute_host_security,OCI Instance Pools,,
oci,oci.oci_instance_pools.compute_security_instance_group_no_public_ip_assigned,oci.instance_pools.compute_security_instance_group_no_public_ip_assigned,,compute_host_security,OCI Instance Pools,,
oci,oci.oci_instance_pools.compute_security_instance_group_instance_profile_least_privilege,oci.instance_pools.compute_security_instance_group_instance_profile_least_privilege,,compute_host_security,OCI Instance Pools,,
oci,oci.oci_instance_pools.compute_security_instance_group_volumes_encrypted,oci.instance_pools.compute_security_instance_group_volumes_encrypted,,compute_host_security,OCI Instance Pools,,
oci,oci.compute_ssh_keys_metadata.compute_security_key_pair_max_age_days,oci.compute_ssh_keys_metadata.compute_security_key_pair_max_age_days,,compute_host_security,Compute SSH Keys (metadata),,
oci,oci.compute_ssh_keys_metadata.compute_security_key_pair_disable_unused_keys,oci.compute_ssh_keys_metadata.compute_security_key_pair_disable_unused_keys,,compute_host_security,Compute SSH Keys (metadata),,
oci,oci.oci_preemptible_instances.compute_security_spot_instance_uses_approved_launch_template,oci.preemptible_instances.compute_security_spot_instance_uses_approved_launch_template,,compute_host_security,OCI Preemptible Instances,,
oci,oci.oci_preemptible_instances.compute_security_spot_instance_no_public_ip_assigned,oci.preemptible_instances.compute_security_spot_instance_no_public_ip_assigned,,compute_host_security,OCI Preemptible Instances,,
oci,oci.oci_preemptible_instances.compute_security_spot_instance_instance_profile_least_privilege,oci.preemptible_instances.compute_security_spot_instance_instance_profile_least_privilege,,compute_host_security,OCI Preemptible Instances,,
oci,oci.oci_dedicated_vm_hosts.compute_security_dedicated_host_host_sharing_restricted,oci.dedicated_vm_hosts.compute_security_dedicated_host_host_sharing_restricted,,compute_host_security,OCI Dedicated VM Hosts,,
oci,oci.oci_dedicated_vm_hosts.compute_security_dedicated_host_instance_auto_placement_controlled,oci.dedicated_vm_hosts.compute_security_dedicated_host_instance_auto_placement_controlled,,compute_host_security,OCI Dedicated VM Hosts,,
oci,oci.oci_audit_control_plane_source.configuration_management_security_config_recorder_enabled,oci.audit_control_plane_source.configuration_management_security_config_recorder_enabled,,configuration_management,OCI Audit (control plane source),,
oci,oci.oci_audit_control_plane_source.configuration_management_security_config_recorder_global_resource_types_tracked,oci.audit_control_plane_source.configuration_management_security_config_recorder_global_resource_types_tracked,,configuration_management,OCI Audit (control plane source),,
oci,oci.oci_audit_control_plane_source.configuration_management_security_config_delivery_secure_destination_configured,oci.audit_control_plane_source.configuration_management_security_config_delivery_secure_destination_configured,,configuration_management,OCI Audit (control plane source),,
oci,oci.oci_cloud_guard_targets_compartments_tenancy.configuration_management_security_config_aggregation_org_aggregator_enabled,oci.cloud_guard_targets_compartments_tenancy.configuration_management_security_config_aggregation_org_aggregator_enabled,,configuration_management,OCI Cloud Guard (targets/compartments/tenancy),,
oci,oci.oci_cloud_guard_targets_compartments_tenancy.configuration_management_security_config_aggregation_auto_enroll_new_accounts,oci.cloud_guard_targets_compartments_tenancy.configuration_management_security_config_aggregation_auto_enroll_new_accounts,,configuration_management,OCI Cloud Guard (targets/compartments/tenancy),,
oci,oci.oci_cloud_guard_detector_rules.configuration_management_security_config_rule_required_rules_present,oci.cloud_guard_detector_rules.configuration_management_security_config_rule_required_rules_present,,configuration_management,OCI Cloud Guard Detector Rules,,
oci,oci.oci_cloud_guard_detector_rules.configuration_management_security_config_rule_rules_enabled,oci.cloud_guard_detector_rules.configuration_management_security_config_rule_rules_enabled,,configuration_management,OCI Cloud Guard Detector Rules,,
