cloud_provider,rule_id,uniform_rule_format,service,category,provider_service,azure_mapped_compliance_functions,azure_mapped_compliance_ids
azure,azure.machine.learning_pipeline.ai_services_data_pipeline_access_controls_least_privilege,azure.machine.learning_pipeline.ai_services_data_pipeline_access_controls_least_privilege,machine,ai_services,azure-mgmt-machine,,
azure,azure.machine.learning_pipeline.ai_services_data_pipeline_private_networking_enforced,azure.machine.learning_pipeline.ai_services_data_pipeline_private_networking_enforced,machine,ai_services,azure-mgmt-machine,,
azure,azure.machine.learning_model.ai_services_model_registry_access_rbac_least_privilege,azure.machine.learning_model.ai_services_model_registry_access_rbac_least_privilege,machine,ai_services,azure-mgmt-machine,,
azure,azure.machine.learning_model_version.ai_services_supply_chain_model_artifact_signed_and_verified,azure.machine.learning_model_version.ai_services_supply_chain_model_artifact_signed_and_verified,machine,ai_services,azure-mgmt-machine,,
azure,azure.machine.learning_model_version.ai_services_supply_chain_model_artifact_sbom_present,azure.machine.learning_model_version.ai_services_supply_chain_model_artifact_sbom_present,machine,ai_services,azure-mgmt-machine,,
azure,azure.machine.learning_model_version.ai_services_supply_chain_model_artifact_image_scanned_no_critical,azure.machine.learning_model_version.ai_services_supply_chain_model_artifact_image_scanned_no_critical,machine,ai_services,azure-mgmt-machine,,
azure,azure.machine.learning_model_version.ai_services_model_artifact_encrypted_at_rest_cmek,azure.machine.learning_model_version.ai_services_model_artifact_encrypted_at_rest_cmek,machine,ai_services,azure-mgmt-machine,,
azure,azure.machine.learning_workspace.ai_services_secrets_vault_kms_encryption_and_rotation_enabled,azure.machine.learning_workspace.ai_services_secrets_vault_kms_encryption_and_rotation_enabled,machine,ai_services,azure-mgmt-machine,,
azure,azure.machine.learning_workspace.ai_services_secrets_vault_no_plaintext_secrets_in_config,azure.machine.learning_workspace.ai_services_secrets_vault_no_plaintext_secrets_in_config,machine,ai_services,azure-mgmt-machine,,
azure,azure.machine.learning_workspace.ai_services_secrets_vault_access_rbac_least_privilege,azure.machine.learning_workspace.ai_services_secrets_vault_access_rbac_least_privilege,machine,ai_services,azure-mgmt-machine,,
azure,azure.machine.learning_feature_store.ai_services_feature_store_rbac_least_privilege,azure.machine.learning_feature_store.ai_services_feature_store_rbac_least_privilege,machine,ai_services,azure-mgmt-machine,,
azure,azure.machine.learning_feature_store.ai_services_feature_store_private_networking_enforced,azure.machine.learning_feature_store.ai_services_feature_store_private_networking_enforced,machine,ai_services,azure-mgmt-machine,,
azure,azure.machine.learning_pipeline.ai_services_agent_orchestrator_tool_use_allowlist_enforced,azure.machine.learning_pipeline.ai_services_agent_orchestrator_tool_use_allowlist_enforced,machine,ai_services,azure-mgmt-machine,,
azure,azure.machine.learning_pipeline.ai_services_agent_orchestrator_secrets_isolation_enabled,azure.machine.learning_pipeline.ai_services_agent_orchestrator_secrets_isolation_enabled,machine,ai_services,azure-mgmt-machine,,
azure,azure.machine.learning_pipeline.ai_services_agent_orchestrator_data_exfiltration_policies_enforced,azure.machine.learning_pipeline.ai_services_agent_orchestrator_data_exfiltration_policies_enforced,machine,ai_services,azure-mgmt-machine,,
azure,azure.machine.learning_dataset.ai_services_ai_dataset_encrypted_at_rest_cmek,azure.machine.learning_dataset.ai_services_ai_dataset_encrypted_at_rest_cmek,machine,ai_services,azure-mgmt-machine,,
azure,azure.machine.learning_dataset.ai_services_ai_dataset_public_access_blocked,azure.machine.learning_dataset.ai_services_ai_dataset_public_access_blocked,machine,ai_services,azure-mgmt-machine,,
azure,azure.api.management_monitoring.monitoring_api_access_logging_enabled,azure.api.management_monitoring.monitoring_api_access_logging_enabled,api,api_security,azure-mgmt-api,,
azure,azure.api.management_monitoring.monitoring_api_access_log_sink_configured,azure.api.management_monitoring.monitoring_api_access_log_sink_configured,api,api_security,azure-mgmt-api,,
azure,azure.api.management_monitoring.monitoring_api_access_log_fields_identity_present,azure.api.management_monitoring.monitoring_api_access_log_fields_identity_present,api,api_security,azure-mgmt-api,,
azure,azure.api.management_monitoring.monitoring_api_execution_logging_level_minimum_error,azure.api.management_monitoring.monitoring_api_execution_logging_level_minimum_error,api,api_security,azure-mgmt-api,,
azure,azure.api.management_monitoring.monitoring_api_logs_retention_days_minimum,azure.api.management_monitoring.monitoring_api_logs_retention_days_minimum,api,api_security,azure-mgmt-api,,
azure,azure.api.management_rate_limit_policy.rate_limiting_api_stage_burst_limit_configured,azure.api.management_rate_limit_policy.rate_limiting_api_stage_burst_limit_configured,api,api_security,azure-mgmt-api,,
azure,azure.api.management_rate_limit_policy.rate_limiting_api_stage_rate_limit_configured,azure.api.management_rate_limit_policy.rate_limiting_api_stage_rate_limit_configured,api,api_security,azure-mgmt-api,,
azure,azure.api.management_rate_limit_policy.rate_limiting_api_usage_plan_required_for_api_keys,azure.api.management_rate_limit_policy.rate_limiting_api_usage_plan_required_for_api_keys,api,api_security,azure-mgmt-api,,
azure,azure.api.management_rate_limit_policy.rate_limiting_api_quota_limit_configured,azure.api.management_rate_limit_policy.rate_limiting_api_quota_limit_configured,api,api_security,azure-mgmt-api,,
azure,azure.api.management_rate_limit_policy.rate_limiting_api_stage_throttle_overrides_not_unbounded,azure.api.management_rate_limit_policy.rate_limiting_api_stage_throttle_overrides_not_unbounded,api,api_security,azure-mgmt-api,,
azure,azure.api.management_validation_policy.validation_api_request_schema_validation_enabled,azure.api.management_validation_policy.validation_api_request_schema_validation_enabled,api,api_security,azure-mgmt-api,,
azure,azure.api.management_validation_policy.validation_api_response_schema_validation_enabled,azure.api.management_validation_policy.validation_api_response_schema_validation_enabled,api,api_security,azure-mgmt-api,,
azure,azure.api.management_validation_policy.validation_api_parameters_validation_enabled,azure.api.management_validation_policy.validation_api_parameters_validation_enabled,api,api_security,azure-mgmt-api,,
azure,azure.api.management_validation_policy.validation_api_content_type_whitelist_enforced,azure.api.management_validation_policy.validation_api_content_type_whitelist_enforced,api,api_security,azure-mgmt-api,,
azure,azure.api.management_validation_policy.validation_api_request_body_size_limit_configured,azure.api.management_validation_policy.validation_api_request_body_size_limit_configured,api,api_security,azure-mgmt-api,,
azure,azure.api.management_validation_policy.validation_api_required_security_headers_enforced,azure.api.management_validation_policy.validation_api_required_security_headers_enforced,api,api_security,azure-mgmt-api,,
azure,azure.backup.policy.resilience_recovery_coverage_assignment_complete,azure.backup.policy.resilience_recovery_coverage_assignment_complete,backup,backup,azure-mgmt-recoveryservices,,
azure,azure.backup.policy.resilience_recovery_coverage_unprotected_assets_alerting_enabled,azure.backup.policy.resilience_recovery_coverage_unprotected_assets_alerting_enabled,backup,backup,azure-mgmt-recoveryservices,,
azure,azure.backup.policy.resilience_recovery_health_job_success_rate_minimum,azure.backup.policy.resilience_recovery_health_job_success_rate_minimum,backup,backup,azure-mgmt-recoveryservices,,
azure,azure.backup.policy.resilience_recovery_health_last_backup_recency_within_days,azure.backup.policy.resilience_recovery_health_last_backup_recency_within_days,backup,backup,azure-mgmt-recoveryservices,,
azure,azure.backup.policy.resilience_recovery_health_failed_jobs_alerting_enabled,azure.backup.policy.resilience_recovery_health_failed_jobs_alerting_enabled,backup,backup,azure-mgmt-recoveryservices,,
azure,azure.backup.policy.resilience_recovery_inventory_resource_discovery_synced,azure.backup.policy.resilience_recovery_inventory_resource_discovery_synced,backup,backup,azure-mgmt-recoveryservices,,
azure,azure.backup.job.monitoring_alert_rules_for_failures_configured,azure.backup.job.monitoring_alert_rules_for_failures_configured,backup,backup,azure-mgmt-recoveryservices,,
azure,azure.backup.job.monitoring_alert_rules_for_sla_breach_configured,azure.backup.job.monitoring_alert_rules_for_sla_breach_configured,backup,backup,azure-mgmt-recoveryservices,,
azure,azure.backup.job.monitoring_alert_destinations_configured,azure.backup.job.monitoring_alert_destinations_configured,backup,backup,azure-mgmt-recoveryservices,,
azure,azure.backup.job.monitoring_metrics_export_enabled,azure.backup.job.monitoring_metrics_export_enabled,backup,backup,azure-mgmt-recoveryservices,,
azure,azure.backup.policy.access_backup_vault_rbac_least_privilege,azure.backup.policy.access_backup_vault_rbac_least_privilege,backup,backup,azure-mgmt-recoveryservices,,
azure,azure.backup.policy.access_no_public_access_to_backup_vault,azure.backup.policy.access_no_public_access_to_backup_vault,backup,backup,azure-mgmt-recoveryservices,,
azure,azure.backup.policy.access_backup_admins_mfa_required,azure.backup.policy.access_backup_admins_mfa_required,backup,backup,azure-mgmt-recoveryservices,,
azure,azure.backup.policy.access_backup_keys_access_least_privilege,azure.backup.policy.access_backup_keys_access_least_privilege,backup,backup,azure-mgmt-recoveryservices,,
azure,azure.backup.vault.encryption_encryption_at_rest_enabled,azure.backup.vault.encryption_encryption_at_rest_enabled,backup,backup,azure-mgmt-recoveryservices,,
azure,azure.backup.vault.encryption_encryption_in_transit_tls_min_1_2,azure.backup.vault.encryption_encryption_in_transit_tls_min_1_2,backup,backup,azure-mgmt-recoveryservices,,
azure,azure.backup.vault.encryption_cmk_cmek_key_configured,azure.backup.vault.encryption_cmk_cmek_key_configured,backup,backup,azure-mgmt-recoveryservices,,
azure,azure.backup.vault.encryption_key_rotation_enabled,azure.backup.vault.encryption_key_rotation_enabled,backup,backup,azure-mgmt-recoveryservices,,
azure,azure.backup.vault.encryption_key_policy_least_privilege,azure.backup.vault.encryption_key_policy_least_privilege,backup,backup,azure-mgmt-recoveryservices,azure.ad.attached.policy.no.administrative.privileges;azure.ad.custom.role.no.administrative.privileges;azure.ad.customer.attached.policy.no.administrative.privileges;azure.ad.inline.policy.no.administrative.privileges;azure.ad.no.root.access.key;azure.ad.policy.attached.only.to.group.or.roles;azure.ad.policy.no.administrative.privileges;azure.ad.policy.overly.permissive;azure.ad.role.no.administrative.privileges;azure.ad.rotate.access.key.90.days;azure.ad.user.accesskey.unused;azure.ad.user.console.access.unused;azure.api.management.restapi.tracing.enabled;azure.apigatewayv2.api.access.logging.enabled;azure.app.function.access.keys.configured;azure.appsync.field.level.logging.enabled;azure.compute.instance.imdsv2.enabled;azure.entra.attached.policy.no.administrative.privileges;azure.entra.customer.attached.policy.no.administrative.privileges;azure.entra.global.admin.in.less.than.five.users;azure.entra.group.has.users;azure.entra.inline.policy.no.administrative.privileges;azure.entra.no.admin.policy;azure.entra.policy.default.users.cannot.create.security.groups;azure.entra.policy.ensure.default.user.cannot.create.apps;azure.entra.policy.ensure.default.user.cannot.create.tenants;azure.entra.policy.guest.invite.only.for.admin.roles;azure.entra.policy.guest.users.access.restrictions;azure.entra.policy.restricts.user.consent.for.apps;azure.entra.policy.user.consent.for.verified.apps;azure.entra.rotate.access.key.90.days;azure.entra.security.defaults.enabled;azure.entra.user.in.group;azure.entra.user.no.inline.policies;azure.entra.user.unused.credentials;azure.entra.users.cannot.create.microsoft.365.groups;azure.iam.attached.policy.no.administrative.privileges;azure.iam.customer.attached.policy.no.administrative.privileges;azure.iam.inline.policy.no.administrative.privileges;azure.iam.no.root.access.key;azure.iam.rotate.access.key.90.days;azure.iam.support.role.created;azure.iam.user.accesskey.unused;azure.iam.user.console.access.unused;azure.load.balancer.logging.enabled;azure.load.balancer.v2.logging.enabled;azure.monitor.log.metric.filter.for.storage.bucket.policy.changes;azure.monitor.log.metric.filter.policy.changes;azure.monitor.logs.storage.access.logging.enabled;azure.monitor.s3.dataevents.read.enabled;azure.monitor.s3.dataevents.write.enabled;azure.network.flow.logs.enabled;azure.network.security.group.allow.ingress.any.port;azure.sql.instance.integration.monitoring.enabled;azure.storage.account.logging.enabled;azure.storage.blob.server.access.logging.enabled;azure.storage.bucket.server.access.logging.enabled;azure.storage.ensure.azure.services.are.trusted.to.access.is.enabled;azure.storage.ensure.minimum.tls.version.12;azure.storage.secure.transfer.required.is.enabled;azure.storage.server.access.logging.enabled;azure.virtual.machine.identity.attached;azure.vm.identity.attached;azure.vm.securitygroup.default.restricted;azure.vm.securitygroup.rdp.restricted;azure.vm.ssl.enabled,canada_pbmm_moderate_multi_cloud_CCCS_AC-2_0002;canada_pbmm_moderate_multi_cloud_CCCS_AC-5_0005;canada_pbmm_moderate_multi_cloud_CCCS_AC-6_0006;canada_pbmm_moderate_multi_cloud_CCCS_AU-12_0033;canada_pbmm_moderate_multi_cloud_CCCS_AU-2_0024;canada_pbmm_moderate_multi_cloud_CCCS_AU-3_0025;canada_pbmm_moderate_multi_cloud_CCCS_AU-8_0030;canada_pbmm_moderate_multi_cloud_CCCS_CM-9_0049;canada_pbmm_moderate_multi_cloud_CCCS_IA-4_0064;cisa_ce_v1_multi_cloud_Your_Data-1_0017;cisa_ce_v1_multi_cloud_Your_Surroundings-2_0014;cisa_ce_v1_multi_cloud_Your_Surroundings-4_0016;cisa_ce_v1_multi_cloud_Your_Systems-2_0007;fedramp_moderate_multi_cloud_AC-2_0002;fedramp_moderate_multi_cloud_AC-2_11_0010;fedramp_moderate_multi_cloud_AC-2_12_0011;fedramp_moderate_multi_cloud_AC-2_13_0012;fedramp_moderate_multi_cloud_AC-2_1_0003;fedramp_moderate_multi_cloud_AC-2_2_0004;fedramp_moderate_multi_cloud_AC-2_3_0005;fedramp_moderate_multi_cloud_AC-2_4_0006;fedramp_moderate_multi_cloud_AC-2_5_0007;fedramp_moderate_multi_cloud_AC-2_7_0008;fedramp_moderate_multi_cloud_AC-2_9_0009;fedramp_moderate_multi_cloud_AC-5_0017;fedramp_moderate_multi_cloud_AC-6_0018;fedramp_moderate_multi_cloud_AU-12_0081;fedramp_moderate_multi_cloud_AU-12_1_0082;fedramp_moderate_multi_cloud_AU-12_3_0083;fedramp_moderate_multi_cloud_AU-2_0058;fedramp_moderate_multi_cloud_AU-3_0059;fedramp_moderate_multi_cloud_AU-3_1_0060;fedramp_moderate_multi_cloud_AU-8_0074;fedramp_moderate_multi_cloud_CM-9_0128;fedramp_moderate_multi_cloud_IA-4_0178;fedramp_moderate_multi_cloud_IA-4_4_0179;gdpr_multi_cloud_Article_25_Data_protection_by_design_and_by_defaul_0001;gdpr_multi_cloud_Article_30_Records_of_processing_activities_0002;hipaa_multi_cloud_164_308_a_3_i_0004;hipaa_multi_cloud_164_308_a_3_ii_a_0005;hipaa_multi_cloud_164_308_a_3_ii_b_0006;hipaa_multi_cloud_164_308_a_3_ii_c_0007;hipaa_multi_cloud_164_308_a_4_i_0008;hipaa_multi_cloud_164_308_a_4_ii_b_0010;hipaa_multi_cloud_164_308_a_4_ii_c_0011;hipaa_multi_cloud_164_308_a_6_ii_0016;hipaa_multi_cloud_164_312_a_2_i_0023;hipaa_multi_cloud_164_312_b_0026;hipaa_multi_cloud_164_312_e_2_i_0031;iso27001_2022_multi_cloud_A.5.15_0011;iso27001_2022_multi_cloud_A.5.16_0012;iso27001_2022_multi_cloud_A.5.18_0014;iso27001_2022_multi_cloud_A.5.1_0005;iso27001_2022_multi_cloud_A.5.22_0019;iso27001_2022_multi_cloud_A.5.2_0016;iso27001_2022_multi_cloud_A.8.12_0067;iso27001_2022_multi_cloud_A.8.14_0069;iso27001_2022_multi_cloud_A.8.24_0080;iso27001_2022_multi_cloud_A.8.2_0075;iso27001_2022_multi_cloud_A.8.3_0085;nist_800_171_r2_multi_cloud_3_13_1_3.13.1_Monitor_control_and_protect_commu_0004;nist_800_171_r2_multi_cloud_3_13_8_3.13.8_Implement_cryptographic_mechanisms_0013;nist_800_171_r2_multi_cloud_3_14_6_3.14.6_Monitor_organizational_systems_inc_0018;nist_800_171_r2_multi_cloud_3_14_7_3.14.7_Identify_unauthorized_use_of_organi_0019;nist_800_171_r2_multi_cloud_3_1_12_3.1.12_Monitor_and_control_remote_access_s_0021;nist_800_171_r2_multi_cloud_3_1_13_3.1.13_Employ_cryptographic_mechanisms_to_0022;nist_800_171_r2_multi_cloud_3_1_1_3.1.1_Limit_system_access_to_authorized_use_0020;nist_800_171_r2_multi_cloud_3_1_2_3.1.2_Limit_system_access_to_the_types_of_t_0024;nist_800_171_r2_multi_cloud_3_1_4_3.1.4_Separate_the_duties_of_individuals_to_0027;nist_800_171_r2_multi_cloud_3_3_1_3.3.1_Create_and_retain_system_audit_logs_a_0031;nist_800_171_r2_multi_cloud_3_3_2_3.3.2_Ensure_that_the_actions_of_individual_0032;nist_800_171_r2_multi_cloud_3_3_3_3.3.3_Review_and_update_logged_events_0033;nist_800_171_r2_multi_cloud_3_4_6_3.4.6_Employ_the_principle_of_least_functio_0039;nist_800_53_rev5_multi_cloud_AC-2-g_0023;nist_800_53_rev5_multi_cloud_AC-2-j_0026;nist_800_53_rev5_multi_cloud_AC-24_2_0188;nist_800_53_rev5_multi_cloud_AC-2_1_0004;nist_800_53_rev5_multi_cloud_AC-2_3_0010;nist_800_53_rev5_multi_cloud_AC-2_4_0011;nist_800_53_rev5_multi_cloud_AC-2_6_0013;nist_800_53_rev5_multi_cloud_AC-3_10_0031;nist_800_53_rev5_multi_cloud_AC-3_11_0032;nist_800_53_rev5_multi_cloud_AC-3_12_0033;nist_800_53_rev5_multi_cloud_AC-3_13_0034;nist_800_53_rev5_multi_cloud_AC-3_14_0035;nist_800_53_rev5_multi_cloud_AC-3_15_0036;nist_800_53_rev5_multi_cloud_AC-3_15_0037;nist_800_53_rev5_multi_cloud_AC-3_1_0029;nist_800_53_rev5_multi_cloud_AC-3_1_0030;nist_800_53_rev5_multi_cloud_AC-3_3_0040;nist_800_53_rev5_multi_cloud_AC-3_3_0041;nist_800_53_rev5_multi_cloud_AC-3_3_0042;nist_800_53_rev5_multi_cloud_AC-3_3_0043;nist_800_53_rev5_multi_cloud_AC-3_3_0044;nist_800_53_rev5_multi_cloud_AC-3_3_0045;nist_800_53_rev5_multi_cloud_AC-3_4_0046;nist_800_53_rev5_multi_cloud_AC-3_4_0047;nist_800_53_rev5_multi_cloud_AC-3_4_0048;nist_800_53_rev5_multi_cloud_AC-3_4_0049;nist_800_53_rev5_multi_cloud_AC-3_4_0050;nist_800_53_rev5_multi_cloud_AC-3_5_0051;nist_800_53_rev5_multi_cloud_AC-3_5_0052;nist_800_53_rev5_multi_cloud_AC-3_6_0053;nist_800_53_rev5_multi_cloud_AC-3_7_0054;nist_800_53_rev5_multi_cloud_AC-3_8_0055;nist_800_53_rev5_multi_cloud_AC-3_9_0056;nist_800_53_rev5_multi_cloud_AC-4_26_0075;nist_800_53_rev5_multi_cloud_AC-4_28_0077;nist_800_53_rev5_multi_cloud_AC-5-b_0090;nist_800_53_rev5_multi_cloud_AC-6_10_0092;nist_800_53_rev5_multi_cloud_AC-6_1_0091;nist_800_53_rev5_multi_cloud_AC-6_2_0093;nist_800_53_rev5_multi_cloud_AC-6_3_0094;nist_800_53_rev5_multi_cloud_AC-6_4_0095;nist_800_53_rev5_multi_cloud_AC-6_5_0096;nist_800_53_rev5_multi_cloud_AC-6_6_0097;nist_800_53_rev5_multi_cloud_AC-6_7_0098;nist_800_53_rev5_multi_cloud_AC-6_8_0099;nist_800_53_rev5_multi_cloud_AC-6_9_0100;nist_800_53_rev5_multi_cloud_AU-10_1_0268;nist_800_53_rev5_multi_cloud_AU-10_2_0269;nist_800_53_rev5_multi_cloud_AU-10_3_0270;nist_800_53_rev5_multi_cloud_AU-10_4_0271;nist_800_53_rev5_multi_cloud_AU-10_5_0272;nist_800_53_rev5_multi_cloud_AU-12-a_0278;nist_800_53_rev5_multi_cloud_AU-12-c_0280;nist_800_53_rev5_multi_cloud_AU-12_1_0274;nist_800_53_rev5_multi_cloud_AU-12_2_0275;nist_800_53_rev5_multi_cloud_AU-12_4_0277;nist_800_53_rev5_multi_cloud_AU-14_3_0288;nist_800_53_rev5_multi_cloud_AU-2-b_0224;nist_800_53_rev5_multi_cloud_AU-3-a_0231;nist_800_53_rev5_multi_cloud_AU-3-b_0232;nist_800_53_rev5_multi_cloud_AU-3-c_0233;nist_800_53_rev5_multi_cloud_AU-3-d_0234;nist_800_53_rev5_multi_cloud_AU-3-e_0235;nist_800_53_rev5_multi_cloud_AU-3-f_0236;nist_800_53_rev5_multi_cloud_AU-8-b_0258;nist_800_53_rev5_multi_cloud_CM-9-b_0428;nist_800_53_rev5_multi_cloud_IA-4-b_0543;nist_800_53_rev5_multi_cloud_IA-4_4_0535;nist_800_53_rev5_multi_cloud_IA-4_4_0536;nist_800_53_rev5_multi_cloud_IA-4_8_0540;nist_800_53_rev5_multi_cloud_IA-5_8_0570;nist_800_53_rev5_multi_cloud_MP-2_1_0704;nist_800_53_rev5_multi_cloud_MP-2_1_0705;nist_800_53_rev5_multi_cloud_MP-2_2_0706;nist_800_53_rev5_multi_cloud_MP-2_2_0707;nist_800_53_rev5_multi_cloud_SC-23_3_1272;nist_800_53_rev5_multi_cloud_SC-23_3_1273;nist_800_53_rev5_multi_cloud_SC-25_1277;nist_800_53_rev5_multi_cloud_SI-4_17_1373;nist_800_53_rev5_multi_cloud_SI-4_20_1377;nist_800_53_rev5_multi_cloud_SI-4_2_1376;pci_dss_v4_multi_cloud_10.2.1.1_0144;pci_dss_v4_multi_cloud_10.2.1.3_0146;pci_dss_v4_multi_cloud_10.2.1.4_0147;pci_dss_v4_multi_cloud_10.2.1.7_0150;pci_dss_v4_multi_cloud_10.4.1.1_0155;pci_dss_v4_multi_cloud_8.1.2_0100;rbi_bank_multi_cloud_3.2_0015;rbi_bank_multi_cloud_4.3_0018;rbi_bank_multi_cloud_5.1_0019;rbi_bank_multi_cloud_5.2_0020;rbi_bank_multi_cloud_9.3_0027;rbi_nbfc_multi_cloud_2.5_0009;rbi_nbfc_multi_cloud_2.8_0012;rbi_nbfc_multi_cloud_3.5_0021;rbi_nbfc_multi_cloud_7.5_0037;soc2_multi_cloud_cc_1_3_0001;soc2_multi_cloud_cc_6_2_0010;soc2_multi_cloud_cc_6_6_0012;soc2_multi_cloud_cc_6_7_0013
azure,azure.backup.vault.encryption_backup_storage_immutability_enabled,azure.backup.vault.encryption_backup_storage_immutability_enabled,backup,backup,azure-mgmt-recoveryservices,,
azure,azure.compute.virtual_machine.vm_ssh_password_auth_disabled,azure.compute.virtual_machine.vm_ssh_password_auth_disabled,compute,compute_host_security,azure-mgmt-compute,,
azure,azure.compute.virtual_machine.vm_ssh_key_based_auth_required,azure.compute.virtual_machine.vm_ssh_key_based_auth_required,compute,compute_host_security,azure-mgmt-compute,,
azure,azure.compute.virtual_machine.vm_imds_hardened,azure.compute.virtual_machine.vm_imds_hardened,compute,compute_host_security,azure-mgmt-compute,,
azure,azure.compute.virtual_machine.vm_no_public_ip_assigned,azure.compute.virtual_machine.vm_no_public_ip_assigned,compute,compute_host_security,azure-mgmt-compute,,
azure,azure.compute.virtual_machine.vm_security_group_inbound_restricted,azure.compute.virtual_machine.vm_security_group_inbound_restricted,compute,compute_host_security,azure-mgmt-compute,,
azure,azure.compute.virtual_machine.vm_root_volume_encrypted_cmek,azure.compute.virtual_machine.vm_root_volume_encrypted_cmek,compute,compute_host_security,azure-mgmt-compute,,
azure,azure.compute.virtual_machine.vm_data_volumes_encrypted_cmek,azure.compute.virtual_machine.vm_data_volumes_encrypted_cmek,compute,compute_host_security,azure-mgmt-compute,,
azure,azure.compute.virtual_machine.vm_secure_boot_enabled,azure.compute.virtual_machine.vm_secure_boot_enabled,compute,compute_host_security,azure-mgmt-compute,,
azure,azure.compute.virtual_machine.vm_vtpm_enabled,azure.compute.virtual_machine.vm_vtpm_enabled,compute,compute_host_security,azure-mgmt-compute,,
azure,azure.compute.virtual_machine.vm_serial_console_access_restricted,azure.compute.virtual_machine.vm_serial_console_access_restricted,compute,compute_host_security,azure-mgmt-compute,,
azure,azure.compute.virtual_machine.vm_user_data_no_secrets,azure.compute.virtual_machine.vm_user_data_no_secrets,compute,compute_host_security,azure-mgmt-compute,,
azure,azure.compute.disk.encryption_at_rest_enabled,azure.compute.disk.encryption_at_rest_enabled,compute,compute_host_security,azure-mgmt-compute,,
azure,azure.compute.disk.cmk_cmek_configured,azure.compute.disk.cmk_cmek_configured,compute,compute_host_security,azure-mgmt-compute,,
azure,azure.compute.disk.snapshots_encrypted,azure.compute.disk.snapshots_encrypted,compute,compute_host_security,azure-mgmt-compute,,
azure,azure.compute.disk.snapshots_not_public,azure.compute.disk.snapshots_not_public,compute,compute_host_security,azure-mgmt-compute,,
azure,azure.compute.image.approved_image_allowlist_enforced,azure.compute.image.approved_image_allowlist_enforced,compute,compute_host_security,azure-mgmt-compute,,
azure,azure.compute.image.image_signed_and_verified,azure.compute.image.image_signed_and_verified,compute,compute_host_security,azure-mgmt-compute,,
azure,azure.compute.image.vuln_scanned_no_critical,azure.compute.image.vuln_scanned_no_critical,compute,compute_host_security,azure-mgmt-compute,,
azure,azure.compute.image.not_publicly_shared,azure.compute.image.not_publicly_shared,compute,compute_host_security,azure-mgmt-compute,,
azure,azure.compute.image.encrypted_cmek,azure.compute.image.encrypted_cmek,compute,compute_host_security,azure-mgmt-compute,,
azure,azure.compute.virtual_machine_template.launch_template_no_public_ip_default,azure.compute.virtual_machine_template.launch_template_no_public_ip_default,compute,compute_host_security,azure-mgmt-compute,,
azure,azure.compute.virtual_machine_template.launch_template_imds_hardened,azure.compute.virtual_machine_template.launch_template_imds_hardened,compute,compute_host_security,azure-mgmt-compute,,
