csp,catalog_rule_id,service,category,compliance_ids,compliance_frameworks,gap_reason,suggested_rule_type,priority,notes
ibm,ibm.emr.cluster.publicly_accesible,emr,,iso27001_2022_multi_cloud_A.8.1_0064,iso27001_2022_multi,No config or CIEM rule found for ibm emr service,config,medium,
ibm,ibm.entra.global_admin_in_less_than_five_users,entra,,"iso27001_2022_multi_cloud_A.5.15_0011;iso27001_2022_multi_cloud_A.5.15_0011,iso27001_2022_multi_cloud_A.5.2_0016,soc2_multi_cloud_cc_1_3_0001;iso27001_2022_multi_cloud_A.5.2_0016;soc2_multi_cloud_cc_1_3_0001",iso27001_2022_multi;soc2_multi_cloud,No config or CIEM rule found for ibm entra service,config,medium,
ibm,ibm.entra.policy.default_users_cannot_create_security_groups,entra,,"iso27001_2022_multi_cloud_A.5.15_0011;iso27001_2022_multi_cloud_A.5.15_0011,iso27001_2022_multi_cloud_A.5.18_0014,iso27001_2022_multi_cloud_A.5.2_0016,iso27001_2022_multi_cloud_A.8.2_0075,soc2_multi_cloud_cc_1_3_0001;iso27001_2022_multi_cloud_A.5.18_0014;iso27001_2022_multi_cloud_A.5.2_0016;iso27001_2022_multi_cloud_A.8.2_0075;soc2_multi_cloud_cc_1_3_0001",iso27001_2022_multi;soc2_multi_cloud,No config or CIEM rule found for ibm entra service,config,medium,
ibm,ibm.entra.policy.ensure_default_user_cannot_create_apps,entra,,"iso27001_2022_multi_cloud_A.5.15_0011;iso27001_2022_multi_cloud_A.5.15_0011,iso27001_2022_multi_cloud_A.5.18_0014,iso27001_2022_multi_cloud_A.5.2_0016,iso27001_2022_multi_cloud_A.8.2_0075,soc2_multi_cloud_cc_1_3_0001;iso27001_2022_multi_cloud_A.5.18_0014;iso27001_2022_multi_cloud_A.5.2_0016;iso27001_2022_multi_cloud_A.8.2_0075;soc2_multi_cloud_cc_1_3_0001",iso27001_2022_multi;soc2_multi_cloud,No config or CIEM rule found for ibm entra service,config,medium,
ibm,ibm.entra.policy.ensure_default_user_cannot_create_tenants,entra,,"iso27001_2022_multi_cloud_A.5.15_0011;iso27001_2022_multi_cloud_A.5.15_0011,iso27001_2022_multi_cloud_A.5.18_0014,iso27001_2022_multi_cloud_A.5.2_0016,iso27001_2022_multi_cloud_A.8.2_0075,soc2_multi_cloud_cc_1_3_0001;iso27001_2022_multi_cloud_A.5.18_0014;iso27001_2022_multi_cloud_A.5.2_0016;iso27001_2022_multi_cloud_A.8.2_0075;soc2_multi_cloud_cc_1_3_0001",iso27001_2022_multi;soc2_multi_cloud,No config or CIEM rule found for ibm entra service,config,medium,
ibm,ibm.entra.policy.guest_invite_only_for_admin_roles,entra,,"iso27001_2022_multi_cloud_A.5.15_0011;iso27001_2022_multi_cloud_A.5.15_0011,iso27001_2022_multi_cloud_A.5.18_0014,iso27001_2022_multi_cloud_A.5.2_0016,iso27001_2022_multi_cloud_A.8.2_0075,soc2_multi_cloud_cc_1_3_0001;iso27001_2022_multi_cloud_A.5.18_0014;iso27001_2022_multi_cloud_A.5.2_0016;iso27001_2022_multi_cloud_A.8.2_0075;soc2_multi_cloud_cc_1_3_0001",iso27001_2022_multi;soc2_multi_cloud,No config or CIEM rule found for ibm entra service,config,medium,
ibm,ibm.entra.policy.guest_users_access_restrictions,entra,,"iso27001_2022_multi_cloud_A.5.15_0011;iso27001_2022_multi_cloud_A.5.15_0011,iso27001_2022_multi_cloud_A.5.16_0012,iso27001_2022_multi_cloud_A.5.18_0014,iso27001_2022_multi_cloud_A.5.22_0019,iso27001_2022_multi_cloud_A.5.2_0016,iso27001_2022_multi_cloud_A.8.2_0075,iso27001_2022_multi_cloud_A.8.3_0085,soc2_multi_cloud_cc_1_3_0001;iso27001_2022_multi_cloud_A.5.16_0012;iso27001_2022_multi_cloud_A.5.18_0014;iso27001_2022_multi_cloud_A.5.22_0019;iso27001_2022_multi_cloud_A.5.2_0016;iso27001_2022_multi_cloud_A.8.2_0075;iso27001_2022_multi_cloud_A.8.3_0085;soc2_multi_cloud_cc_1_3_0001",iso27001_2022_multi;soc2_multi_cloud,No config or CIEM rule found for ibm entra service,config,medium,
ibm,ibm.entra.policy.require_mfa_for_management_api,entra,,"iso27001_2022_multi_cloud_A.5.17_0013;iso27001_2022_multi_cloud_A.5.17_0013,iso27001_2022_multi_cloud_A.5.2_0016,soc2_multi_cloud_cc_1_3_0001;iso27001_2022_multi_cloud_A.5.2_0016;soc2_multi_cloud_cc_1_3_0001",iso27001_2022_multi;soc2_multi_cloud,No config or CIEM rule found for ibm entra service,config,medium,
ibm,ibm.entra.policy.require_mfa_for_management_app,entra,,iso27001_2022_multi_cloud_A.8.5_0092,iso27001_2022_multi,No config or CIEM rule found for ibm entra service,config,medium,
ibm,ibm.entra.policy.restricts_user_consent_for_apps,entra,,"iso27001_2022_multi_cloud_A.5.15_0011;iso27001_2022_multi_cloud_A.5.15_0011,iso27001_2022_multi_cloud_A.5.16_0012,iso27001_2022_multi_cloud_A.5.18_0014,iso27001_2022_multi_cloud_A.5.22_0019,iso27001_2022_multi_cloud_A.5.2_0016,iso27001_2022_multi_cloud_A.8.2_0075,soc2_multi_cloud_cc_1_3_0001;iso27001_2022_multi_cloud_A.5.16_0012;iso27001_2022_multi_cloud_A.5.18_0014;iso27001_2022_multi_cloud_A.5.22_0019;iso27001_2022_multi_cloud_A.5.2_0016;iso27001_2022_multi_cloud_A.8.2_0075;soc2_multi_cloud_cc_1_3_0001",iso27001_2022_multi;soc2_multi_cloud,No config or CIEM rule found for ibm entra service,config,medium,
ibm,ibm.entra.policy.user_consent_for_verified_apps,entra,,"iso27001_2022_multi_cloud_A.5.15_0011;iso27001_2022_multi_cloud_A.5.15_0011,iso27001_2022_multi_cloud_A.5.18_0014,iso27001_2022_multi_cloud_A.5.2_0016,soc2_multi_cloud_cc_1_3_0001;iso27001_2022_multi_cloud_A.5.18_0014;iso27001_2022_multi_cloud_A.5.2_0016;soc2_multi_cloud_cc_1_3_0001",iso27001_2022_multi;soc2_multi_cloud,No config or CIEM rule found for ibm entra service,config,medium,
ibm,ibm.entra.policy.user_consent_for_verified_apps storage_blob_public_access_level_is_disabled storage_ensure_ibm_services_are_trusted_to_access_is_enabled,entra,,iso27001_2022_multi_cloud_A.8.2_0075,iso27001_2022_multi,No config or CIEM rule found for ibm entra service,config,medium,
ibm,ibm.entra.security_defaults_enabled,entra,,"iso27001_2022_multi_cloud_A.5.15_0011;iso27001_2022_multi_cloud_A.5.15_0011,iso27001_2022_multi_cloud_A.5.1_0005,iso27001_2022_multi_cloud_A.5.2_0016,soc2_multi_cloud_cc_1_3_0001;iso27001_2022_multi_cloud_A.5.1_0005;iso27001_2022_multi_cloud_A.5.2_0016;soc2_multi_cloud_cc_1_3_0001",iso27001_2022_multi;soc2_multi_cloud,No config or CIEM rule found for ibm entra service,config,medium,
ibm,ibm.entra.trusted_named_locations_exists,entra,,"iso27001_2022_multi_cloud_A.5.15_0011;iso27001_2022_multi_cloud_A.5.15_0011,soc2_multi_cloud_cc_1_3_0001;soc2_multi_cloud_cc_1_3_0001",iso27001_2022_multi;soc2_multi_cloud,No config or CIEM rule found for ibm entra service,config,medium,
ibm,ibm.entra.user.has_mfa,entra,,"iso27001_2022_multi_cloud_A.5.17_0013;iso27001_2022_multi_cloud_A.5.17_0013,iso27001_2022_multi_cloud_A.5.2_0016,soc2_multi_cloud_cc_1_3_0001,soc2_multi_cloud_cc_3_3_0005,soc2_multi_cloud_cc_6_3_0011;iso27001_2022_multi_cloud_A.5.2_0016;soc2_multi_cloud_cc_1_3_0001;soc2_multi_cloud_cc_3_3_0005;soc2_multi_cloud_cc_6_3_0011",iso27001_2022_multi;soc2_multi_cloud,No config or CIEM rule found for ibm entra service,config,medium,
ibm,ibm.entra.user.has_mfa entra_privileged_user_has_mfa,entra,,iso27001_2022_multi_cloud_A.8.5_0092,iso27001_2022_multi,No config or CIEM rule found for ibm entra service,config,medium,
ibm,ibm.entra.user.with_vm_access_has_mfa,entra,,"iso27001_2022_multi_cloud_A.5.17_0013;iso27001_2022_multi_cloud_A.5.17_0013,iso27001_2022_multi_cloud_A.5.2_0016,iso27001_2022_multi_cloud_A.8.5_0092,soc2_multi_cloud_cc_1_3_0001,soc2_multi_cloud_cc_3_3_0005,soc2_multi_cloud_cc_6_3_0011;iso27001_2022_multi_cloud_A.5.2_0016;iso27001_2022_multi_cloud_A.8.5_0092;soc2_multi_cloud_cc_1_3_0001;soc2_multi_cloud_cc_3_3_0005;soc2_multi_cloud_cc_6_3_0011",iso27001_2022_multi;soc2_multi_cloud,No config or CIEM rule found for ibm entra service,config,medium,
ibm,ibm.entra.users_cannot_create_microsoft_365_groups,entra,,"iso27001_2022_multi_cloud_A.5.15_0011;iso27001_2022_multi_cloud_A.5.15_0011,iso27001_2022_multi_cloud_A.5.16_0012,iso27001_2022_multi_cloud_A.5.22_0019,iso27001_2022_multi_cloud_A.5.2_0016,soc2_multi_cloud_cc_1_3_0001;iso27001_2022_multi_cloud_A.5.16_0012;iso27001_2022_multi_cloud_A.5.22_0019;iso27001_2022_multi_cloud_A.5.2_0016;soc2_multi_cloud_cc_1_3_0001",iso27001_2022_multi;soc2_multi_cloud,No config or CIEM rule found for ibm entra service,config,medium,
ibm,ibm.event.notifications_topic_subscription_configured,event,security,rbi_bank_multi_cloud_14.1_0007;rbi_nbfc_multi_cloud_3.3_0019,rbi_bank_multi;rbi_nbfc_multi,No config or CIEM rule found for ibm event service,config,medium,
ibm,ibm.event.streams_firehose.streaming_firehose_destination_encrypted,event,,iso27001_2022_multi_cloud_A.8.24_0080,iso27001_2022_multi,No config or CIEM rule found for ibm event service,config,medium,
ibm,ibm.event.streams_topic.data_protection_storage_stream_encryption_at_rest_enabled,event,,iso27001_2022_multi_cloud_A.8.11_0066; iso27001_2022_multi_cloud_A.8.12_0067; iso27001_2022_multi_cloud_A.8.24_0080; rbi_bank_multi_cloud_14.1_0007; rbi_nbfc_multi_cloud_3.3_0019; soc2_multi_cloud_cc_6_7_0013,iso27001_2022_multi;rbi_bank_multi;rbi_nbfc_multi;soc2_multi_cloud,No config or CIEM rule found for ibm event service,config,medium,
ibm,ibm.eventbridge.global_endpoint_event_replication_enabled,eventbridge,,iso27001_2022_multi_cloud_A.8.14_0069,iso27001_2022_multi,No config or CIEM rule found for ibm eventbridge service,config,medium,
ibm,ibm.file.storage_share.data_protection_storage_fileshare_private_network_only,file,,canada_pbmm_moderate_multi_cloud_CCCS_CP-6_0056; canada_pbmm_moderate_multi_cloud_CCCS_CP-9_0059; canada_pbmm_moderate_multi_cloud_CCCS_SC-13_0136; fedramp_moderate_multi_cloud_CP-6_0146; fedramp_moderate_multi_cloud_CP-6_1_0147; fedramp_moderate_multi_cloud_CP-6_2_0148; fedramp_moderate_multi_cloud_CP-6_3_0149; fedramp_moderate_multi_cloud_CP-9_0160; fedramp_moderate_multi_cloud_CP-9_1_0161; fedramp_moderate_multi_cloud_CP-9_2_0162; fedramp_moderate_multi_cloud_CP-9_3_0163; fedramp_moderate_multi_cloud_CP-9_5_0164; fedramp_moderate_multi_cloud_CP-9_8_0165; fedramp_moderate_multi_cloud_SC-13_0348; nist_800_53_rev5_multi_cloud_AU-9_3_0261; nist_800_53_rev5_multi_cloud_CP-10_1_0513; nist_800_53_rev5_multi_cloud_CP-10_2_0514; nist_800_53_rev5_multi_cloud_CP-10_3_0515; nist_800_53_rev5_multi_cloud_CP-10_4_0516; nist_800_53_rev5_multi_cloud_CP-10_5_0517; nist_800_53_rev5_multi_cloud_CP-10_6_0518; nist_800_53_rev5_multi_cloud_CP-2_5_0457; nist_800_53_rev5_multi_cloud_CP-6-a_0485; nist_800_53_rev5_multi_cloud_CP-6_1_0482; nist_800_53_rev5_multi_cloud_CP-6_2_0483; nist_800_53_rev5_multi_cloud_CP-9-a_0509; nist_800_53_rev5_multi_cloud_CP-9-b_0510; nist_800_53_rev5_multi_cloud_CP-9-c_0511; nist_800_53_rev5_multi_cloud_CP-9-d_0512; nist_800_53_rev5_multi_cloud_SC-13-a_1248; nist_800_53_rev5_multi_cloud_SC-28_1_1280; nist_800_53_rev5_multi_cloud_SC-5_2_1189; nist_800_53_rev5_multi_cloud_SC-8_3_1229; nist_800_53_rev5_multi_cloud_SC-8_4_1230; nist_800_53_rev5_multi_cloud_SI-13_5_1426; nist_800_53_rev5_multi_cloud_SI-19_4_1445,canada_pbmm_moderate;fedramp_moderate_multi;nist_800_53,No config or CIEM rule found for ibm file service,config,medium,
ibm,ibm.floating.ip_attached,floating,,rbi_bank_multi_cloud_4.2_0017,rbi_bank_multi,No config or CIEM rule found for ibm floating service,config,medium,
ibm,ibm.fsx.file_system_copy_tags_to_backups_enabled,fsx,,iso27001_2022_multi_cloud_A.5.13_0009,iso27001_2022_multi,No config or CIEM rule found for ibm fsx service,config,medium,
ibm,ibm.fsx.file_system_copy_tags_to_volumes_enabled,fsx,,iso27001_2022_multi_cloud_A.5.13_0009,iso27001_2022_multi,No config or CIEM rule found for ibm fsx service,config,medium,
ibm,ibm.fsx.windows_file_system_multi_az_enabled,fsx,,iso27001_2022_multi_cloud_A.8.14_0069,iso27001_2022_multi,No config or CIEM rule found for ibm fsx service,config,medium,
ibm,ibm.gcr.container_scanning_enabled,gcr,,"soc2_multi_cloud_cc_3_1_0003;soc2_multi_cloud_cc_3_1_0003,soc2_multi_cloud_cc_3_2_0004;soc2_multi_cloud_cc_3_2_0004",soc2_multi_cloud,No config or CIEM rule found for ibm gcr service,config,medium,
ibm,ibm.glacier.policy.public_access,glacier,,iso27001_2022_multi_cloud_A.8.1_0064,iso27001_2022_multi,No config or CIEM rule found for ibm glacier service,config,medium,
ibm,ibm.glue.data_catalogs_connection_passwodatabase_encryption_enabled,glue,,"iso27001_2022_multi_cloud_A.8.11_0066;iso27001_2022_multi_cloud_A.8.11_0066,iso27001_2022_multi_cloud_A.8.15_0070,iso27001_2022_multi_cloud_A.8.24_0080;iso27001_2022_multi_cloud_A.8.15_0070;iso27001_2022_multi_cloud_A.8.24_0080",iso27001_2022_multi,No config or CIEM rule found for ibm glue service,config,medium,
ibm,ibm.glue.data_catalogs_metadata_encryption_enabled,glue,,"iso27001_2022_multi_cloud_A.8.11_0066;iso27001_2022_multi_cloud_A.8.11_0066,iso27001_2022_multi_cloud_A.8.15_0070,iso27001_2022_multi_cloud_A.8.24_0080;iso27001_2022_multi_cloud_A.8.15_0070;iso27001_2022_multi_cloud_A.8.24_0080",iso27001_2022_multi,No config or CIEM rule found for ibm glue service,config,medium,
ibm,ibm.glue.development_endpoints_cos_encryption_enabled,glue,,"iso27001_2022_multi_cloud_A.8.11_0066;iso27001_2022_multi_cloud_A.8.11_0066,iso27001_2022_multi_cloud_A.8.24_0080;iso27001_2022_multi_cloud_A.8.24_0080",iso27001_2022_multi,No config or CIEM rule found for ibm glue service,config,medium,
ibm,ibm.glue.development_endpoints_job_bookmark_encryption_enabled,glue,,"iso27001_2022_multi_cloud_A.8.11_0066;iso27001_2022_multi_cloud_A.8.11_0066,iso27001_2022_multi_cloud_A.8.24_0080;iso27001_2022_multi_cloud_A.8.24_0080",iso27001_2022_multi,No config or CIEM rule found for ibm glue service,config,medium,
ibm,ibm.glue.development_endpoints_monitoring_logs_encryption_enabled,glue,,"iso27001_2022_multi_cloud_A.8.11_0066;iso27001_2022_multi_cloud_A.8.11_0066,iso27001_2022_multi_cloud_A.8.15_0070,iso27001_2022_multi_cloud_A.8.24_0080;iso27001_2022_multi_cloud_A.8.15_0070;iso27001_2022_multi_cloud_A.8.24_0080",iso27001_2022_multi,No config or CIEM rule found for ibm glue service,config,medium,
ibm,ibm.glue.etl_jobs_amazon_cos_encryption_enabled,glue,,"iso27001_2022_multi_cloud_A.8.11_0066;iso27001_2022_multi_cloud_A.8.11_0066,iso27001_2022_multi_cloud_A.8.24_0080;iso27001_2022_multi_cloud_A.8.24_0080",iso27001_2022_multi,No config or CIEM rule found for ibm glue service,config,medium,
ibm,ibm.glue.etl_jobs_job_bookmark_encryption_enabled,glue,,"iso27001_2022_multi_cloud_A.8.11_0066;iso27001_2022_multi_cloud_A.8.11_0066,iso27001_2022_multi_cloud_A.8.24_0080;iso27001_2022_multi_cloud_A.8.24_0080",iso27001_2022_multi,No config or CIEM rule found for ibm glue service,config,medium,
ibm,ibm.glue.etl_jobs_logging_enabled,glue,,"iso27001_2022_multi_cloud_A.8.15_0070;iso27001_2022_multi_cloud_A.8.15_0070,soc2_multi_cloud_cc_a_1_1_0021;soc2_multi_cloud_cc_a_1_1_0021",iso27001_2022_multi;soc2_multi_cloud,No config or CIEM rule found for ibm glue service,config,medium,
ibm,ibm.glue.etl_jobs_monitoring_logs_encryption_enabled,glue,,"iso27001_2022_multi_cloud_A.8.11_0066;iso27001_2022_multi_cloud_A.8.11_0066,iso27001_2022_multi_cloud_A.8.15_0070,iso27001_2022_multi_cloud_A.8.24_0080;iso27001_2022_multi_cloud_A.8.15_0070;iso27001_2022_multi_cloud_A.8.24_0080",iso27001_2022_multi,No config or CIEM rule found for ibm glue service,config,medium,
ibm,ibm.glue.ml_transform_encrypted_at_rest,glue,,iso27001_2022_multi_cloud_A.8.24_0080,iso27001_2022_multi,No config or CIEM rule found for ibm glue service,config,medium,
ibm,ibm.guardduty.is_enabled,guardduty,,"soc2_multi_cloud_cc_3_1_0003;soc2_multi_cloud_cc_3_1_0003,soc2_multi_cloud_cc_3_2_0004,soc2_multi_cloud_cc_4_2_0007,soc2_multi_cloud_cc_6_8_0014,soc2_multi_cloud_cc_7_1_0015,soc2_multi_cloud_cc_7_2_0016,soc2_multi_cloud_cc_7_3_0017,soc2_multi_cloud_cc_7_4_0018;soc2_multi_cloud_cc_3_2_0004;soc2_multi_cloud_cc_4_2_0007;soc2_multi_cloud_cc_6_8_0014;soc2_multi_cloud_cc_7_1_0015;soc2_multi_cloud_cc_7_2_0016;soc2_multi_cloud_cc_7_3_0017;soc2_multi_cloud_cc_7_4_0018",soc2_multi_cloud,No config or CIEM rule found for ibm guardduty service,config,medium,
ibm,ibm.guardduty.no_high_severity_findings,guardduty,,"canada_pbmm_moderate_multi_cloud_CCCS_IR-4_0072;fedramp_moderate_multi_cloud_IR-4_0205;fedramp_moderate_multi_cloud_IR-4_11_0210;fedramp_moderate_multi_cloud_IR-4_1_0206;fedramp_moderate_multi_cloud_IR-4_2_0207;fedramp_moderate_multi_cloud_IR-4_4_0208;fedramp_moderate_multi_cloud_IR-4_6_0209;hipaa_multi_cloud_164_308_a_6_ii_0016;nist_800_171_r2_multi_cloud_3_11_2_3.11.2_Scan_for_vulnerabilities_in_organiz_0001;nist_800_171_r2_multi_cloud_3_11_3_3.11.3_Remediate_vulnerabilities_in_accord_0002;nist_800_171_r2_multi_cloud_3_6_1_3.6.1_Establish_an_operational_incident-han_0049;nist_800_171_r2_multi_cloud_3_6_2_3.6.2_Track_document_and_report_incidents_0050;nist_800_53_rev5_multi_cloud_IR-4-a_0625;soc2_multi_cloud_cc_3_2_0004;soc2_multi_cloud_cc_3_2_0004,soc2_multi_cloud_cc_4_2_0007,soc2_multi_cloud_cc_7_3_0017,soc2_multi_cloud_cc_7_4_0018;soc2_multi_cloud_cc_4_2_0007;soc2_multi_cloud_cc_7_3_0017;soc2_multi_cloud_cc_7_4_0018",canada_pbmm_moderate;fedramp_moderate_multi;hipaa_multi_cloud;nist_800_171;nist_800_53;soc2_multi_cloud,No config or CIEM rule found for ibm guardduty service,config,medium,
