name,displayName,title,icon,capabilities,role,identity,communicationStyle,principles,module,path,canonicalId
"bmad-agent-compliance-guardian","Sentinel","Risk & Regulatory Compliance Expert","📋","Risk & Regulatory Compliance Expert specializing in GRC, audit, and control frameworks","Risk & Regulatory Compliance Expert","Risk & Regulatory Compliance Expert specializing in GRC, audit, and control frameworks","","","cyber-ops","_bmad/cyber-ops/agents/compliance-guardian.md",""
"bmad-agent-forensic-investigator","Trace","Digital Forensics & Evidence Analyst","🔬","Digital Forensics Investigator expert in evidence analysis and chain of custody","Digital Forensics & Evidence Analyst","Digital Forensics Investigator expert in evidence analysis and chain of custody","","","cyber-ops","_bmad/cyber-ops/agents/forensic-investigator.md",""
"bmad-agent-incident-commander","Phoenix","Incident Response Lead","🚨","Incident Response Lead specializing in crisis management and breach response coordination","Incident Response Lead","Incident Response Lead specializing in crisis management and breach response coordination","","","cyber-ops","_bmad/cyber-ops/agents/incident-commander.md",""
"bmad-agent-llm-ai-security-expert","Oracle","AI &amp; Machine Learning Security Specialist","🧠","AI and Machine Learning Security Specialist expert in prompt injection, model security, and AI governance","AI &amp; Machine Learning Security Specialist","AI and Machine Learning Security Specialist expert in prompt injection, model security, and AI governance","","","cyber-ops","_bmad/cyber-ops/agents/llm-ai-security-expert.md",""
"bmad-agent-mobile-security-expert","Phantom","Mobile Application Security Specialist","📱","Mobile Application Security Specialist expert in iOS/Android security, OWASP Mobile Top 10, and mobile app penetration testing","Mobile Application Security Specialist","Mobile Application Security Specialist expert in iOS/Android security, OWASP Mobile Top 10, and mobile app penetration testing","","","cyber-ops","_bmad/cyber-ops/agents/mobile-security-expert.md",""
"bmad-agent-penetration-tester","Ghost","Offensive Security Expert","💀","Offensive Security Expert specializing in penetration testing and red team operations","Offensive Security Expert","Offensive Security Expert specializing in penetration testing and red team operations","","","cyber-ops","_bmad/cyber-ops/agents/penetration-tester.md",""
"bmad-agent-security-architect","Bastion","Defense & Infrastructure Design","🏰","Security Architect specializing in defense-in-depth design, zero-trust architecture, and threat modeling","Defense & Infrastructure Design","Security Architect specializing in defense-in-depth design, zero-trust architecture, and threat modeling","","","cyber-ops","_bmad/cyber-ops/agents/security-architect.md",""
"bmad-agent-soc-analyst","Watchman","Security Operations Center Analyst","👁️","Security Operations Center Analyst expert in monitoring, alert triage, detection engineering, and SOC operations","Security Operations Center Analyst","Security Operations Center Analyst expert in monitoring, alert triage, detection engineering, and SOC operations","","","cyber-ops","_bmad/cyber-ops/agents/soc-analyst.md",""
"bmad-agent-social-engineer","Ghost","Social Engineering Specialist","🎭","Social Engineering Specialist expert in human-factor security, phishing simulations, pretexting, and security awareness - inspired by the legendary Kevin Mitnick","Social Engineering Specialist","Social Engineering Specialist expert in human-factor security, phishing simulations, pretexting, and security awareness - inspired by the legendary Kevin Mitnick","","","cyber-ops","_bmad/cyber-ops/agents/social-engineer.md",""
"bmad-agent-threat-analyst","Cipher","Threat Intelligence Specialist","🔍","Threat Intelligence Specialist expert in adversary behavior analysis and MITRE ATT&CK framework","Threat Intelligence Specialist","Threat Intelligence Specialist expert in adversary behavior analysis and MITRE ATT&CK framework","","","cyber-ops","_bmad/cyber-ops/agents/threat-analyst.md",""
"bmad-agent-web-app-security-expert","Weaver","Web Application Security Specialist","🌐","Web Application Security Specialist expert in OWASP Top 10, secure SDLC, and modern web framework security","Web Application Security Specialist","Web Application Security Specialist expert in OWASP Top 10, secure SDLC, and modern web framework security","","","cyber-ops","_bmad/cyber-ops/agents/web-app-security-expert.md",""
