rule_id,service,resource,scope,template_id
aws.sagemaker.notebook_instance.iam_role_least_privileged,sagemaker,notebook_instance,ai.workspace,ai_services.workspace.iam_role_least_privileged
aws.sagemaker.notebook_instance.private_networking_enforced,sagemaker,notebook_instance,ai.workspace,ai_services.workspace.private_networking_enforced
aws.sagemaker.notebook_instance.encryption_at_rest_enabled,sagemaker,notebook_instance,ai.workspace,ai_services.workspace.encryption_at_rest_enabled
aws.sagemaker.feature_group.offline_store_block_public_access,sagemaker,feature_group,ai.feature_store,ai_services.feature_store.offline_store_block_public_access
aws.sagemaker.feature_group.offline_store_s3_encrypted,sagemaker,feature_group,ai.feature_store,ai_services.feature_store.offline_store_s3_encrypted
aws.sagemaker.feature_group.online_store_kms_encryption_enabled,sagemaker,feature_group,ai.feature_store,ai_services.feature_store.online_store_kms_encryption_enabled
aws.glue.table.lifecycle_policy_configured,glue,table,ai.dataset,ai_services.dataset.lifecycle_policy_configured
aws.s3.bucket.lifecycle_policy_configured,s3,bucket,ai.dataset,ai_services.dataset.lifecycle_policy_configured
aws.glue.table.access_logging_enabled,glue,table,ai.dataset,ai_services.dataset.access_logging_enabled
aws.glue.table.s3_block_public_access,glue,table,ai.dataset,ai_services.dataset.s3_block_public_access
aws.s3.bucket.s3_block_public_access,s3,bucket,ai.dataset,ai_services.dataset.s3_block_public_access
aws.glue.table.s3_encrypted_at_rest,glue,table,ai.dataset,ai_services.dataset.s3_encrypted_at_rest
aws.s3.bucket.s3_encrypted_at_rest,s3,bucket,ai.dataset,ai_services.dataset.s3_encrypted_at_rest
aws.stepfunctions.state_machine.iam_role_least_privileged,stepfunctions,state_machine,ai.data_pipeline,ai_services.pipeline.iam_role_least_privileged
aws.sagemaker.pipeline.iam_role_least_privileged,sagemaker,pipeline,ai.pipeline,ai_services.pipeline.iam_role_least_privileged
aws.sagemaker.training_job.vpc_configured,sagemaker,training_job,ai.training_job,ai_services.training_job.vpc_configured
aws.sagemaker.training_job.inter_container_traffic_encryption_enabled,sagemaker,training_job,ai.training_job,ai_services.training_job.inter_container_traffic_encryption_enabled
aws.sagemaker.training_job.output_encryption_enabled,sagemaker,training_job,ai.training_job,ai_services.training_job.output_encryption_enabled
aws.sagemaker.training_job.volume_encryption_enabled,sagemaker,training_job,ai.training_job,ai_services.training_job.volume_encryption_enabled
aws.sagemaker.training_job.network_isolation_enabled,sagemaker,training_job,ai.training_job,ai_services.training_job.network_isolation_enabled
aws.sagemaker.endpoint.data_capture_s3_encrypted,sagemaker,endpoint,ai.inference_endpoint,ai_services.inference_endpoint.data_capture_s3_encrypted
aws.sagemaker.endpoint.security_group_restrictive,sagemaker,endpoint,ai.inference_endpoint,ai_services.inference_endpoint.security_group_restrictive
aws.sagemaker.endpoint_configuration.logging_enabled,sagemaker,endpoint_configuration,ai.model_deployment,ai_services.model_deployment.logging_enabled
aws.sagemaker.endpoint_configuration.kms_encryption_enabled,sagemaker,endpoint_configuration,ai.model_deployment,ai_services.model_deployment.kms_encryption_enabled
aws.sagemaker.endpoint_configuration.endpoint_in_vpc,sagemaker,endpoint_configuration,ai.model_deployment,ai_services.model_deployment.endpoint_in_vpc
aws.sagemaker.endpoint.endpoint_in_vpc,sagemaker,endpoint,ai.model_deployment,ai_services.model_deployment.endpoint_in_vpc
aws.sagemaker.model_package.image_scan_passed,sagemaker,model_package,ai.model_version,ai_services.model_version.image_scan_passed
aws.bedrock.model.package_approved,bedrock,model,ai.model_version,ai_services.model_version.package_approved
aws.sagemaker.model_package.package_approved,sagemaker,model_package,ai.model_version,ai_services.model_version.package_approved
aws.bedrock.model.kms_encryption_enabled,bedrock,model,ai.model_version,ai_services.model_version.kms_encryption_enabled
aws.sagemaker.model_package.kms_encryption_enabled,sagemaker,model_package,ai.model_version,ai_services.model_version.kms_encryption_enabled
aws.bedrock.model.image_scan_passed,bedrock,model,ai.model,ai_services.model.image_scan_passed
aws.sagemaker.model.image_scan_passed,sagemaker,model,ai.model,ai_services.model.image_scan_passed
aws.bedrock.model.execution_role_least_privilege,bedrock,model,ai.model,ai_services.model.execution_role_least_privilege
aws.sagemaker.model.execution_role_least_privilege,sagemaker,model,ai.model,ai_services.model.execution_role_least_privilege
aws.bedrock.model.kms_cmk_used,bedrock,model,ai.model,ai_services.model.kms_cmk_used
aws.sagemaker.model.kms_cmk_used,sagemaker,model,ai.model,ai_services.model.kms_cmk_used
aws.bedrock.model.artifact_encrypted_at_rest,bedrock,model,ai.model,ai_services.model.artifact_encrypted_at_rest
aws.sagemaker.model.artifact_encrypted_at_rest,sagemaker,model,ai.model,ai_services.model.artifact_encrypted_at_rest
aws.systems_manager.maintenance_window.execution_roles_least_privilege,systems_manager,maintenance_window,vulnerability.maintenance,vuln.security.maintenance.execution_roles_least_privilege
aws.systems_manager.maintenance_window.window_defined,systems_manager,maintenance_window,vulnerability.maintenance,vuln.security.maintenance.window_defined
aws.systems_manager.patch_baseline.exemptions_have_expiry_and_owner,systems_manager,patch_baseline,vulnerability.baseline,vuln.security.baseline.exemptions_have_expiry_and_owner
aws.systems_manager.patch_baseline.required_controls_present,systems_manager,patch_baseline,vulnerability.baseline,vuln.security.baseline.required_controls_present
aws.systems_manager.automation.change_audit_logging_enabled,systems_manager,automation,vulnerability.automation,vuln.security.automation.change_audit_logging_enabled
aws.systems_manager.automation.execution_roles_least_privilege,systems_manager,automation,vulnerability.automation,vuln.security.automation.execution_roles_least_privilege
aws.inspector.assessment.roles_least_privilege,inspector,assessment,vulnerability.assessment,vuln.security.assessment.roles_least_privilege
aws.inspector.assessment.policy_store_encrypted,inspector,assessment,vulnerability.assessment,vuln.security.assessment.policy_store_encrypted
aws.systems_manager.patch_group.maintenance_windows_configured,systems_manager,patch_group,vulnerability.patch,vuln.security.patch.maintenance_windows_configured
aws.systems_manager.patch_baseline.maintenance_windows_configured,systems_manager,patch_baseline,vulnerability.patch,vuln.security.patch.maintenance_windows_configured
aws.systems_manager.patch_group.approval_rules_defined,systems_manager,patch_group,vulnerability.patch,vuln.security.patch.approval_rules_defined
aws.systems_manager.patch_baseline.approval_rules_defined,systems_manager,patch_baseline,vulnerability.patch,vuln.security.patch.approval_rules_defined
aws.systems_manager.patch_group.baseline_defined_for_os_families,systems_manager,patch_group,vulnerability.patch,vuln.security.patch.baseline_defined_for_os_families
aws.systems_manager.patch_baseline.baseline_defined_for_os_families,systems_manager,patch_baseline,vulnerability.patch,vuln.security.patch.baseline_defined_for_os_families
aws.inspector.assessment.results_export_destination_encrypted,inspector,assessment,vulnerability.scan,vuln.security.scan.results_export_destination_encrypted
aws.ecr.image_scan.results_export_destination_encrypted,ecr,image_scan,vulnerability.scan,vuln.security.scan.results_export_destination_encrypted
aws.inspector.assessment.scope_includes_all_asset_groups,inspector,assessment,vulnerability.scan,vuln.security.scan.scope_includes_all_asset_groups
aws.ecr.image_scan.scope_includes_all_asset_groups,ecr,image_scan,vulnerability.scan,vuln.security.scan.scope_includes_all_asset_groups
aws.inspector.assessment.agents_or_scanners_deployed,inspector,assessment,vulnerability.scan,vuln.security.scan.agents_or_scanners_deployed
aws.ecr.image_scan.agents_or_scanners_deployed,ecr,image_scan,vulnerability.scan,vuln.security.scan.agents_or_scanners_deployed
aws.security_hub.finding.suppression_rules_documented_and_scoped,security_hub,finding,threat.finding,threat.security.finding.suppression_rules_documented_and_scoped
aws.inspector.finding.suppression_rules_documented_and_scoped,inspector,finding,threat.finding,threat.security.finding.suppression_rules_documented_and_scoped
aws.guardduty.finding.suppression_rules_documented_and_scoped,guardduty,finding,threat.finding,threat.security.finding.suppression_rules_documented_and_scoped
aws.security_hub.finding.archival_export_encrypted,security_hub,finding,threat.finding,threat.security.finding.archival_export_encrypted
aws.inspector.finding.archival_export_encrypted,inspector,finding,threat.finding,threat.security.finding.archival_export_encrypted
aws.guardduty.finding.archival_export_encrypted,guardduty,finding,threat.finding,threat.security.finding.archival_export_encrypted
aws.security_hub.finding.alert_destinations_configured,security_hub,finding,threat.finding,threat.security.finding.alert_destinations_configured
aws.inspector.finding.alert_destinations_configured,inspector,finding,threat.finding,threat.security.finding.alert_destinations_configured
aws.guardduty.finding.alert_destinations_configured,guardduty,finding,threat.finding,threat.security.finding.alert_destinations_configured
aws.guardduty.custom_identifier.storage_encrypted,guardduty,custom_identifier,threat.custom_identifier,threat.security.custom_identifier.storage_encrypted
aws.guardduty.custom_identifier.source_trusted,guardduty,custom_identifier,threat.custom_identifier,threat.security.custom_identifier.source_trusted
aws.waf.ip_set.used_by_detectors,waf,ip_set,threat.ip_set,threat.security.ip_set.used_by_detectors
aws.guardduty.ip_set.used_by_detectors,guardduty,ip_set,threat.ip_set,threat.security.ip_set.used_by_detectors
aws.waf.ip_set.storage_encrypted,waf,ip_set,threat.ip_set,threat.security.ip_set.storage_encrypted
aws.guardduty.ip_set.storage_encrypted,guardduty,ip_set,threat.ip_set,threat.security.ip_set.storage_encrypted
aws.waf.ip_set.sources_trusted,waf,ip_set,threat.ip_set,threat.security.ip_set.sources_trusted
aws.guardduty.ip_set.sources_trusted,guardduty,ip_set,threat.ip_set,threat.security.ip_set.sources_trusted
aws.security_hub.hub.auto_enroll_new_accounts,security_hub,hub,threat.hub,threat.security.hub.auto_enroll_new_accounts
aws.security_hub.hub.master_member_configured,security_hub,hub,threat.hub,threat.security.hub.master_member_configured
aws.security_hub.hub.finding_export_encrypted_destination,security_hub,hub,threat.detector,threat.security.detector.finding_export_encrypted_destination
aws.guardduty.detector.finding_export_encrypted_destination,guardduty,detector,threat.detector,threat.security.detector.finding_export_encrypted_destination
aws.detective.member.finding_export_encrypted_destination,detective,member,threat.detector,threat.security.detector.finding_export_encrypted_destination
aws.detective.graph.finding_export_encrypted_destination,detective,graph,threat.detector,threat.security.detector.finding_export_encrypted_destination
aws.security_hub.hub.enabled_in_all_regions,security_hub,hub,threat.detector,threat.security.detector.enabled_in_all_regions
aws.guardduty.detector.enabled_in_all_regions,guardduty,detector,threat.detector,threat.security.detector.enabled_in_all_regions
aws.detective.member.enabled_in_all_regions,detective,member,threat.detector,threat.security.detector.enabled_in_all_regions
aws.detective.graph.enabled_in_all_regions,detective,graph,threat.detector,threat.security.detector.enabled_in_all_regions
aws.ecr.lifecycle_policy.policy_storage_encrypted,ecr,lifecycle_policy,registry.lifecycle_policy,supply_chain.security.lifecycle_policy.policy_storage_encrypted
aws.ecr.lifecycle_policy.unused_or_old_tags_expire,ecr,lifecycle_policy,registry.lifecycle_policy,supply_chain.security.lifecycle_policy.unused_or_old_tags_expire
aws.ecr.replication_configuration.destinations_least_privilege,ecr,replication_configuration,registry.replication_config,supply_chain.security.registry_replication.destinations_least_privilege
aws.ecr.replication_configuration.cross_region_encrypted,ecr,replication_configuration,registry.replication_config,supply_chain.security.registry_replication.cross_region_encrypted
aws.ecr.repository_policy.no_wildcard_admin,ecr,repository_policy,registry.policy,supply_chain.security.registry_policy.no_wildcard_admin
aws.ecr.repository_policy.no_public_pull_push,ecr,repository_policy,registry.policy,supply_chain.security.registry_policy.no_public_pull_push
aws.ecr.repository.immutable_tags_or_signing_enforced,ecr,repository,registry.repo,supply_chain.security.registry.immutable_tags_or_signing_enforced
aws.ecr.repository.image_scanning_enabled,ecr,repository,registry.repo,supply_chain.security.registry.image_scanning_enabled
aws.ecr.repository.repo_private_or_access_restricted,ecr,repository,registry.repo,supply_chain.security.registry.repo_private_or_access_restricted
aws.kinesis_video_streams.stream.retention_days_minimum_configured,kinesis_video_streams,stream,streaming.video_stream,streaming.security.video.retention_days_minimum_configured
aws.kinesis_video_streams.stream.encryption_in_transit_required,kinesis_video_streams,stream,streaming.video_stream,streaming.security.video.encryption_in_transit_required
aws.kinesis_video_streams.stream.encryption_at_rest_enabled,kinesis_video_streams,stream,streaming.video_stream,streaming.security.video.encryption_at_rest_enabled
aws.kinesis.consumer.access_least_privilege,kinesis,consumer,streaming.stream_consumer,streaming.security.consumer.access_least_privilege
aws.kinesis.consumer.auth_required,kinesis,consumer,streaming.stream_consumer,streaming.security.consumer.auth_required
aws.kinesis_analytics.application.checkpoints_and_outputs_encrypted,kinesis_analytics,application,streaming.analytics_application,streaming.security.analytics.checkpoints_and_outputs_encrypted
aws.kinesis_analytics.application.network_private_only,kinesis_analytics,application,streaming.analytics_application,streaming.security.analytics.network_private_only
aws.kinesis_analytics.application.role_least_privilege,kinesis_analytics,application,streaming.analytics_application,streaming.security.analytics.role_least_privilege
aws.kinesis_firehose.delivery_stream.logging_enabled,kinesis_firehose,delivery_stream,streaming.firehose,streaming.security.firehose.logging_enabled
aws.kinesis_firehose.delivery_stream.destination_least_privilege,kinesis_firehose,delivery_stream,streaming.firehose,streaming.security.firehose.destination_least_privilege
aws.kinesis_firehose.delivery_stream.destination_encrypted,kinesis_firehose,delivery_stream,streaming.firehose,streaming.security.firehose.destination_encrypted
aws.kinesis_firehose.delivery_stream.private_network_only_where_supported,kinesis_firehose,delivery_stream,streaming.stream,streaming.security.stream.private_network_only_where_supported
aws.kinesis.stream.private_network_only_where_supported,kinesis,stream,streaming.stream,streaming.security.stream.private_network_only_where_supported
aws.kinesis_firehose.delivery_stream.consumer_auth_required,kinesis_firehose,delivery_stream,streaming.stream,streaming.security.stream.consumer_auth_required
aws.kinesis.stream.consumer_auth_required,kinesis,stream,streaming.stream,streaming.security.stream.consumer_auth_required
aws.kinesis_firehose.delivery_stream.encryption_at_rest_enabled,kinesis_firehose,delivery_stream,streaming.stream,streaming.security.stream.encryption_at_rest_enabled
aws.kinesis.stream.encryption_at_rest_enabled,kinesis,stream,streaming.stream,streaming.security.stream.encryption_at_rest_enabled
aws.lambda.provisioned_concurrency.execution_role_least_privilege,lambda,provisioned_concurrency,serverless.provisioned_concurrency,serverless.security.prov_conc.execution_role_least_privilege
aws.lambda.version.rollforward_rollback_controls_present,lambda,version,serverless.version,serverless.security.version.rollforward_rollback_controls_present
aws.lambda.version.published_and_immutable,lambda,version,serverless.version,serverless.security.version.published_and_immutable
aws.lambda.layer.version_immutable,lambda,layer,serverless.layer,serverless.security.layer.version_immutable
aws.lambda.layer.source_trusted,lambda,layer,serverless.layer,serverless.security.layer.source_trusted
aws.lambda.event_source_mapping.permissions_least_privilege,lambda,event_source_mapping,serverless.event_source,serverless.security.event_source.permissions_least_privilege
aws.lambda.event_source_mapping.source_authenticated,lambda,event_source_mapping,serverless.event_source,serverless.security.event_source.source_authenticated
aws.lambda.function.dead_letter_queue_configured,lambda,function,serverless.function,serverless.security.function.dead_letter_queue_configured
aws.fargate.task.dead_letter_queue_configured,fargate,task,serverless.function,serverless.security.function.dead_letter_queue_configured
aws.fargate.service.dead_letter_queue_configured,fargate,service,serverless.function,serverless.security.function.dead_letter_queue_configured
aws.lambda.function.logging_and_tracing_enabled,lambda,function,serverless.function,serverless.security.function.logging_and_tracing_enabled
aws.fargate.task.logging_and_tracing_enabled,fargate,task,serverless.function,serverless.security.function.logging_and_tracing_enabled
aws.fargate.service.logging_and_tracing_enabled,fargate,service,serverless.function,serverless.security.function.logging_and_tracing_enabled
aws.lambda.function.env_no_plaintext_secrets,lambda,function,serverless.function,serverless.security.function.env_no_plaintext_secrets
aws.fargate.task.env_no_plaintext_secrets,fargate,task,serverless.function,serverless.security.function.env_no_plaintext_secrets
aws.fargate.service.env_no_plaintext_secrets,fargate,service,serverless.function,serverless.security.function.env_no_plaintext_secrets
aws.lambda.function.vpc_private_networking_enabled,lambda,function,serverless.function,serverless.security.function.vpc_private_networking_enabled
aws.fargate.task.vpc_private_networking_enabled,fargate,task,serverless.function,serverless.security.function.vpc_private_networking_enabled
aws.fargate.service.vpc_private_networking_enabled,fargate,service,serverless.function,serverless.security.function.vpc_private_networking_enabled
aws.lambda.function.role_least_privilege,lambda,function,serverless.function,serverless.security.function.role_least_privilege
aws.fargate.task.role_least_privilege,fargate,task,serverless.function,serverless.security.function.role_least_privilege
aws.fargate.service.role_least_privilege,fargate,service,serverless.function,serverless.security.function.role_least_privilege
aws.parameter_store.parameter.access_rbac_least_privilege,parameter_store,parameter,secrets.parameter,secrets.security.parameter.access_rbac_least_privilege
aws.parameter_store.parameter.kms_key_configured,parameter_store,parameter,secrets.parameter,secrets.security.parameter.kms_key_configured
aws.parameter_store.parameter.secure_string_type_for_sensitive,parameter_store,parameter,secrets.parameter,secrets.security.parameter.secure_string_type_for_sensitive
aws.secretsmanager.secret.no_plaintext_exposed_in_policy_or_tags,secretsmanager,secret,secrets.secret,secrets.security.secret.no_plaintext_exposed_in_policy_or_tags
aws.secretsmanager.secret.rotation_configured_where_applicable,secretsmanager,secret,secrets.secret,secrets.security.secret.rotation_configured_where_applicable
aws.secretsmanager.secret.kms_key_configured,secretsmanager,secret,secrets.secret,secrets.security.secret.kms_key_configured
aws.secretsmanager.secret.rotation_enabled_for_rotatable_secrets,secretsmanager,secret,secrets.store,secrets.security.store.rotation_enabled_for_rotatable_secrets
aws.parameter_store.parameter.rotation_enabled_for_rotatable_secrets,parameter_store,parameter,secrets.store,secrets.security.store.rotation_enabled_for_rotatable_secrets
aws.secretsmanager.secret.access_rbac_least_privilege,secretsmanager,secret,secrets.store,secrets.security.store.access_rbac_least_privilege
aws.parameter_store.parameter.access_rbac_least_privilege,parameter_store,parameter,secrets.store,secrets.security.store.access_rbac_least_privilege
aws.secretsmanager.secret.kms_encryption_enabled,secretsmanager,secret,secrets.store,secrets.security.store.kms_encryption_enabled
aws.parameter_store.parameter.kms_encryption_enabled,parameter_store,parameter,secrets.store,secrets.security.store.kms_encryption_enabled
aws.acm.private_ca.trusted_issuer,acm,private_ca,crypto.certificate,secrets.security.certificate.trusted_issuer
aws.acm.certificate.trusted_issuer,acm,certificate,crypto.certificate,secrets.security.certificate.trusted_issuer
aws.acm.private_ca.key_length_minimum,acm,private_ca,crypto.certificate,secrets.security.certificate.key_length_minimum
aws.acm.certificate.key_length_minimum,acm,certificate,crypto.certificate,secrets.security.certificate.key_length_minimum
aws.acm.private_ca.not_expired,acm,private_ca,crypto.certificate,secrets.security.certificate.not_expired
aws.acm.certificate.not_expired,acm,certificate,crypto.certificate,secrets.security.certificate.not_expired
aws.acm.private_ca.ca_access_rbac_least_privilege,acm,private_ca,crypto.private_ca,secrets.security.private_ca.ca_access_rbac_least_privilege
aws.acm.private_ca.crl_or_ocsp_configured,acm,private_ca,crypto.private_ca,secrets.security.private_ca.crl_or_ocsp_configured
aws.acm.private_ca.path_length_constraints_set,acm,private_ca,crypto.private_ca,secrets.security.private_ca.path_length_constraints_set
aws.acm.private_ca.ca_key_in_hsm_where_supported,acm,private_ca,crypto.private_ca,secrets.security.private_ca.ca_key_in_hsm_where_supported
aws.kms.alias.alias_points_to_active_key,kms,alias,crypto.alias,secrets.security.alias.alias_points_to_active_key
aws.kms.alias.key_has_alias,kms,alias,crypto.alias,secrets.security.alias.key_has_alias
aws.kms.grant.grantee_principal_valid,kms,grant,crypto.grant,secrets.security.kms_grant.grantee_principal_valid
aws.kms.grant.lessthan_wildcard_permissions,kms,grant,crypto.grant,secrets.security.kms_grant.lessthan_wildcard_permissions
aws.kms.grant.constraints_present,kms,grant,crypto.grant,secrets.security.kms_grant.constraints_present
aws.kms.key.logging_enabled,kms,key,crypto.kms,secrets.security.kms.logging_enabled
aws.kms.alias.logging_enabled,kms,alias,crypto.kms,secrets.security.kms.logging_enabled
aws.kms.key.default_keys_disabled_where_cmek_required,kms,key,crypto.kms,secrets.security.kms.default_keys_disabled_where_cmek_required
aws.kms.alias.default_keys_disabled_where_cmek_required,kms,alias,crypto.kms,secrets.security.kms.default_keys_disabled_where_cmek_required
aws.kms.key.key_not_publicly_accessible,kms,key,crypto.kms.key,secrets.security.kms.key_not_publicly_accessible
aws.kms.key.key_deletion_requires_waiting_period,kms,key,crypto.kms.key,secrets.security.kms.key_deletion_requires_waiting_period
aws.kms.key.key_policy_least_privilege,kms,key,crypto.kms.key,secrets.security.kms.key_policy_least_privilege
aws.kms.key.key_rotation_enabled,kms,key,crypto.kms.key,secrets.security.kms.key_rotation_enabled
aws.backup.recovery_point.security_groups_restrictive,backup,recovery_point,dr.recovery_instance,resilience.security.recovery_instance.security_groups_restrictive
aws.backup.recovery_point.volumes_encrypted,backup,recovery_point,dr.recovery_instance,resilience.security.recovery_instance.volumes_encrypted
aws.backup.recovery_point.private_network_only,backup,recovery_point,dr.recovery_instance,resilience.security.recovery_instance.private_network_only
aws.backup.recovery_point.encryption_at_rest_cmek_where_supported,backup,recovery_point,dr.source_server,resilience.security.dr_source.encryption_at_rest_cmek_where_supported
aws.backup.recovery_point.min_telemtry_required_no_pii,backup,recovery_point,dr.source_server,resilience.security.dr_source.min_telemtry_required_no_pii
aws.backup.recovery_point.agent_to_service_tls_required,backup,recovery_point,dr.source_server,resilience.security.dr_source.agent_to_service_tls_required
aws.backup.backup_job.logs_enabled,backup,backup_job,dr.job,resilience.security.dr_job.logs_enabled
aws.backup.backup_job.network_private_only,backup,backup_job,dr.job,resilience.security.dr_job.network_private_only
aws.backup.backup_job.roles_least_privilege,backup,backup_job,dr.job,resilience.security.dr_job.roles_least_privilege
aws.cloudformation.stack.approvals_required_for_changes,cloudformation,stack,dr.plan,resilience.security.dr_plan.approvals_required_for_changes
aws.backup.backup_plan.approvals_required_for_changes,backup,backup_plan,dr.plan,resilience.security.dr_plan.approvals_required_for_changes
aws.cloudformation.stack.change_audit_logging_enabled,cloudformation,stack,dr.plan,resilience.security.dr_plan.change_audit_logging_enabled
aws.backup.backup_plan.change_audit_logging_enabled,backup,backup_plan,dr.plan,resilience.security.dr_plan.change_audit_logging_enabled
aws.cloudformation.stack.storage_encrypted_and_private,cloudformation,stack,dr.plan,resilience.security.dr_plan.storage_encrypted_and_private
aws.backup.backup_plan.storage_encrypted_and_private,backup,backup_plan,dr.plan,resilience.security.dr_plan.storage_encrypted_and_private
aws.iam.policy.execution_roles_least_privilege,iam,policy,privacy.rights,privacy.security.rights.execution_roles_least_privilege
aws.cognito.user_pool.execution_roles_least_privilege,cognito,user_pool,privacy.rights,privacy.security.rights.execution_roles_least_privilege
aws.iam.policy.workflow_storage_encrypted,iam,policy,privacy.rights,privacy.security.rights.workflow_storage_encrypted
aws.cognito.user_pool.workflow_storage_encrypted,cognito,user_pool,privacy.rights,privacy.security.rights.workflow_storage_encrypted
aws.cognito.user_pool.access_rbac_least_privilege,cognito,user_pool,privacy.consent,privacy.security.consent.access_rbac_least_privilege
aws.cognito.user_pool.store_encrypted,cognito,user_pool,privacy.consent,privacy.security.consent.store_encrypted
aws.macie.findings.alert_destinations_configured,macie,findings,privacy.breach_detection,privacy.security.breach_detection.alert_destinations_configured
aws.macie.findings.integrations_authenticated,macie,findings,privacy.breach_detection,privacy.security.breach_detection.integrations_authenticated
aws.macie.findings.retention_days_minimum,macie,findings,privacy.audit,privacy.security.audit.retention_days_minimum
aws.cloudtrail.trail.retention_days_minimum,cloudtrail,trail,privacy.audit,privacy.security.audit.retention_days_minimum
aws.macie.findings.logs_centralized_and_encrypted,macie,findings,privacy.audit,privacy.security.audit.logs_centralized_and_encrypted
aws.cloudtrail.trail.logs_centralized_and_encrypted,cloudtrail,trail,privacy.audit,privacy.security.audit.logs_centralized_and_encrypted
aws.lambda.function.outputs_encrypted,lambda,function,privacy.anonymization,privacy.security.anonymization.outputs_encrypted
aws.glue.job.outputs_encrypted,glue,job,privacy.anonymization,privacy.security.anonymization.outputs_encrypted
aws.lambda.function.jobs_private_networking,lambda,function,privacy.anonymization,privacy.security.anonymization.jobs_private_networking
aws.glue.job.jobs_private_networking,glue,job,privacy.anonymization,privacy.security.anonymization.jobs_private_networking
aws.lambda.function.execution_roles_least_privilege,lambda,function,privacy.masking,privacy.security.masking.execution_roles_least_privilege
aws.glue.job.execution_roles_least_privilege,glue,job,privacy.masking,privacy.security.masking.execution_roles_least_privilege
aws.lambda.function.policies_present_for_sensitive_fields,lambda,function,privacy.masking,privacy.security.masking.policies_present_for_sensitive_fields
aws.glue.job.policies_present_for_sensitive_fields,glue,job,privacy.masking,privacy.security.masking.policies_present_for_sensitive_fields
