csp,rule_id,rule_type,intent,frameworks,compliance_ids,framework_applicable,framework_detail,control_text_excerpt,catalog_candidates,auto_category
alicloud,alicloud.actiontrail.chain.replay_anomaly,ciem,Detect replay attempts in RAM audit logs and anomalous chains of authentication actions.,NIST_800_171,NIST_800_171/3.5.4,APPLIES,NIST_800_171 is cross-CSP,,,GENUINELY_NEW
alicloud,alicloud.actiontrail.chain.tamper_pattern,ciem,Monitor RAM policy alterations and multi-step tampering patterns in ActionTrail logs,CIS,CIS/2.4,APPLIES,CIS control CIS/2.4 found in CIS-alicloud,[CIS-alicloud 2.4] Ensure that the --peer-cert-file and --peer-key-file arguments are set as approp — etcd	should	be	configured	to	make	use	of	TLS	encryption	for	peer	connections.,,GENUINELY_NEW
alicloud,alicloud.actiontrail.chain.trail_deletion,ciem,Detect disabling of Security Center anti-malware audit features or deletion of ActionTrail trails that log malware-related events.,PCI_DSS,PCI_DSS/5.3.4,APPLIES,PCI_DSS is cross-CSP,,,GENUINELY_NEW
alicloud,alicloud.actiontrail.chain.trail_tampering_evasion,ciem,Detect modifications to ActionTrail trail settings (max file size/rotation) and multi-step attempts to disrupt logging.,CIS,CIS/1.2.23,APPLIES,CIS control CIS/1.2.23 found in CIS-alicloud,[CIS-alicloud 1.2.23] Ensure that the --audit-log-maxsize argument is set to 100 or as appropriate — Rotate	log	files	on	reaching	100	MB	or	as	appropriate.,,GENUINELY_NEW
alicloud,alicloud.actiontrail.chain.uninstall_and_stop,ciem,Detect uninstalling CloudMonitor agent or chaining uninstall with instance stop to evade monitoring,CANADA_PBMM,CANADA_PBMM/SI-3(2),APPLIES,CANADA_PBMM is cross-CSP,,,GENUINELY_NEW
alicloud,alicloud.actiontrail.chain.trail_stop_privilege,ciem,Identify ActionTrail trail stops/deletions or delivery failures correlated with subsequent sensitive RAM/OSS actions.,CANADA_PBMM,CANADA_PBMM/AU-7(1),APPLIES,CANADA_PBMM is cross-CSP,,alicloud.actiontrail.threat_detection.privilege_escalation_detected (shared:privilege); alicloud.actiontrail.threat.detection_privilege_escalation (shared:privilege); alicloud.actiontrail.delivery.channel_destination_access_least_privilege (shared:privilege); alicloud.actiontrail.configuration.config_delivery_destination_access_least_privilege (shared:privilege),GENUINELY_NEW
alicloud,alicloud.ecs.activity_log.auditd_kill,ciem,Detect ECS instance auditd process kill events and OOS executions that modify or stop auditd service,CIS,CIS/5.7.2,MISMATCH,"CIS control CIS/5.7.2 found in ['gcp', 'k8s'] but not alicloud",,,FRAMEWORK_MISMATCH
alicloud,alicloud.ecs.activity_log.modify_instance_attributes,ciem,Detect ECS instance attribute modifications disabling trusted execution or RunInstance calls bypassing security enhancements.,CIS,CIS/5.1,MISMATCH,"CIS control CIS/5.1 found in ['aws', 'gcp', 'ibm'] but not alicloud",,"alicloud.ecs.ram_role.instance_profile_role_policies_least_privilege (shared:instance); alicloud.ecs.ram_role.instance_profile_no_instance_profile_with_admin_star (shared:instance); alicloud.ecs.networkacl.allow_ingress_tcp_port_22, alicloud_ecs_securitygroup_allow_ingress_from_internet_to_all_ports, alicloud_ecs_networkacl_allow_ingress_tcp_port_3389, alicloud_pai_notebook_instance_without_direct_internet_access_configured (shared:instance); alicloud.ecs.launch_template.instance_profile_least_privilege (shared:instance); alicloud.ecs.instance.internet_facing_instance_profile_least_privilege (",FRAMEWORK_MISMATCH
alicloud,alicloud.ecs.activity_log.modify_security_group,ciem,Detect attempts to stop ActionTrail logging or modify security group rules to prevent scanner ingress.; Detect attempts to stop ActionTrail logging or,CANADA_PBMM,CANADA_PBMM/RA-5(3);CANADA_PBMM/RA-5(5);CANADA_PBMM/RA-5(6);CANADA_PBMM/RA-5(8),APPLIES,CANADA_PBMM is cross-CSP,,"alicloud.ecs.security_group.launch_wizard_security_group_audit (shared:group,security); alicloud.ecs.compute_service.vm_security_group_inbound_restricted (shared:group,security); alicloud.ecs.security_group.unused_security_groups_identified (shared:security); alicloud.ecs.launch_template.security_groups_restrictive (shared:security); alicloud.ecs.instance.shielded_vm_security_features_enabled (shared:security)",AMBIGUOUS
alicloud,alicloud.ecs.activity_log.modify_time_service,ciem,Detect actions that disable or modify time services on ECS instances and disabling or pausing ActionTrail trails that could affect audit timestamp gen,NIST_800_171,NIST_800_171/3.3.7,APPLIES,NIST_800_171 is cross-CSP,,alicloud.ecs.instance.least_privilege_service_account (shared:service); alicloud.ecs.instance.default_service_account_in_use_with_full_api_access (shared:service); alicloud.ecs.ebs.public_snapshot_alicloud_rds_instance_no_public_access_alicloud_awslambda_function_not_publicly_accessible_alicloud_rds_snapshots_public_access_alicloud_elasticsearch_service_domains_not_publicly_accessible_alicloud_analyticdb_cluster_pub (shared:service),GENUINELY_NEW
alicloud,alicloud.ecs.activity_log.run_instances,ciem,Detect ECS instance launches and OOS template executions to enforce software whitelisting/blacklisting policies.,NIST_800_171,NIST_800_171/3.4.8,APPLIES,NIST_800_171 is cross-CSP,,,GENUINELY_NEW
alicloud,alicloud.ecs.activity_log.sendcommand,ciem,Detect remote command execution via ECS SendCommand and modifications to RAM user login profiles for remote access.,NIST_800_171,NIST_800_171/3.1.15,APPLIES,NIST_800_171 is cross-CSP,,,GENUINELY_NEW
alicloud,alicloud.ecs.audit.create_image,ciem,Monitor ECS custom image creation and OOS template executions that could introduce untested diagnostic programs.,NIST_800_171,NIST_800_171/3.7.4,APPLIES,NIST_800_171 is cross-CSP,,alicloud.ecs.custom_image.image_vuln_scanned_no_critical (shared:image); alicloud.ecs.custom_image.image_not_publicly_shared (shared:image); alicloud.ecs.custom_image.image_image_signed_and_verified (shared:image); alicloud.ecs.custom_image.image_encrypted_cmek (shared:image); alicloud.ecs.custom_image.image_approved_image_allowlist_enforced (shared:image),GENUINELY_NEW
alicloud,alicloud.ecs.audit.delete_disk,ciem,Detect disk deletion and OSS bucket deletion events indicating media disposal.,NIST_800_171,NIST_800_171/3.8.3,APPLIES,NIST_800_171 is cross-CSP,,,GENUINELY_NEW
alicloud,alicloud.ecs.audit.enable_nested_virtualization,ciem,Track ECS instance type modifications or explicit actions enabling nested virtualization.,CIS,CIS/6.1,MISMATCH,"CIS control CIS/6.1 found in ['aws', 'azure'] but not alicloud",,,FRAMEWORK_MISMATCH
alicloud,alicloud.ecs.audit.patch_override,ciem,Detect ECS instance patch state tampering or OOS template executions designed to circumvent patching.,CIS,CIS/10.7,MISMATCH,"CIS control CIS/10.7 found in ['aws', 'azure'] but not alicloud",,,FRAMEWORK_MISMATCH
alicloud,alicloud.ecs.audit.stop_security_agent,ciem,Detect stopping of Security Center agents and chained deletion of ActionTrail logs related to malware alerts.,CANADA_PBMM,CANADA_PBMM/SI-3(7),APPLIES,CANADA_PBMM is cross-CSP,,"alicloud.ecs.instance.security_center_agent_installed_and_active (shared:agent,security); alicloud.ecs.security_group.unused_security_groups_identified (shared:security); alicloud.ecs.security_group.launch_wizard_security_group_audit (shared:security); alicloud.ecs.launch_template.security_groups_restrictive (shared:security); alicloud.ecs.instance.shielded_vm_security_features_enabled (shared:security)",AMBIGUOUS
alicloud,alicloud.ecs.audit.uninstall_cloudmonitor,ciem,Detect uninstalling CloudMonitor agent or chaining uninstall with instance stop to evade monitoring,CANADA_PBMM,CANADA_PBMM/SI-3(2),APPLIES,CANADA_PBMM is cross-CSP,,,GENUINELY_NEW
alicloud,alicloud.ecs.chain.privileged_login_session,ciem,Detect AccessKey creation for privileged RAM user and chained ECS privileged login,CANADA_PBMM,CANADA_PBMM/IA-2(1),APPLIES,CANADA_PBMM is cross-CSP,,alicloud.ecs.project.os_login_mfa_enabled (shared:login); alicloud.ecs.instance.no_privileged_containers (shared:privileged),GENUINELY_NEW
alicloud,alicloud.ecs.chain.ssh_tunnel_activity,ciem,Detect MFA device unbinding and SSH tunnel chains used to maintain persistent access.,NIST_800_171,NIST_800_171/3.1.10,APPLIES,NIST_800_171 is cross-CSP,,alicloud.ecs.security_group.ssh_rdp_access_restricted_to_trusted_ips (shared:ssh); alicloud.ecs.security_group.ssh_access_restricted_to_whitelist (shared:ssh); alicloud.ecs.networkacl.ssh_port_22_ingress_restricted (shared:ssh); alicloud.ecs.instance.ssh_port_internet_blocked (shared:ssh); alicloud.ecs.instance.ssh_key_authentication_mandatory (shared:ssh),GENUINELY_NEW
alicloud,alicloud.fc.activity_log.assume_role,ciem,Detect RAM policy attachments to Function Compute roles with broad permissions and role assumption attempts from unexpected contexts.,CIS,CIS/12.4,MISMATCH,CIS control CIS/12.4 found in ['aws'] but not alicloud,,alicloud.fc.provisioned_concurrency.prov_conc_execution_role_least_privilege (shared:role),FRAMEWORK_MISMATCH
alicloud,alicloud.fc.audit.create_service,ciem,Detect new Function Compute services or function code updates as potential unauthorized mobile code deployment.,NIST_800_171,NIST_800_171/3.13.13,APPLIES,NIST_800_171 is cross-CSP,,,GENUINELY_NEW
alicloud,alicloud.log.audit.disable_project,ciem,Detect deletion of ActionTrail trails or disabling of Log Service projects for ACK audit logs.,CIS,CIS/2.2.1,MISMATCH,"CIS control CIS/2.2.1 found in ['aws', 'azure', 'k8s', 'oracle'] but not alicloud",,,FRAMEWORK_MISMATCH
alicloud,alicloud.oos.audit.execute_template,ciem,Detect ECS instance launches and OOS template executions to enforce software whitelisting/blacklisting policies.,NIST_800_171,NIST_800_171/3.4.8,APPLIES,NIST_800_171 is cross-CSP,,,GENUINELY_NEW
alicloud,alicloud.oos.audit.template_execution,ciem,Monitor ECS custom image creation and OOS template executions that could introduce untested diagnostic programs.,NIST_800_171,NIST_800_171/3.7.4,APPLIES,NIST_800_171 is cross-CSP,,,GENUINELY_NEW
alicloud,alicloud.oos.chain.auditd_modify,ciem,Detect ECS instance auditd process kill events and OOS executions that modify or stop auditd service,CIS,CIS/5.7.2,MISMATCH,"CIS control CIS/5.7.2 found in ['gcp', 'k8s'] but not alicloud",,,FRAMEWORK_MISMATCH
alicloud,alicloud.oos.chain.patch_bypass,ciem,Detect ECS instance patch state tampering or OOS template executions designed to circumvent patching.,CIS,CIS/10.7,MISMATCH,"CIS control CIS/10.7 found in ['aws', 'azure'] but not alicloud",,,FRAMEWORK_MISMATCH
alicloud,alicloud.oss.activity_log.delete_bucket,ciem,Detect disk deletion and OSS bucket deletion events indicating media disposal.,NIST_800_171,NIST_800_171/3.8.3,APPLIES,NIST_800_171 is cross-CSP,,,GENUINELY_NEW
alicloud,alicloud.oss.chain.log_lifecycle,ciem,Detect ActionTrail trail deletions or OSS lifecycle rules targeting audit logs to prevent audit record loss,CANADA_PBMM,CANADA_PBMM/AU-3(1),APPLIES,CANADA_PBMM is cross-CSP,,,GENUINELY_NEW
alicloud,alicloud.oss.chain.log_tamper,ciem,"Detect ActionTrail trail deletion or OSS bucket modifications (deletion, encryption changes) that impact audit log storage.; Detect ActionTrail trail ",CANADA_PBMM;CIS,CANADA_PBMM/AU-9(2);CIS/2.1.2,APPLIES,CANADA_PBMM is cross-CSP,,,GENUINELY_NEW
alicloud,alicloud.ram.activity_log.access_key,ciem,Detect RAM access key creation for admin and ActionTrail deletion to evade detection; Detect RAM access key creation and ActionTrail deletion to evade,CANADA_PBMM,CANADA_PBMM/IR-4(1);CANADA_PBMM/IR-6(1);CANADA_PBMM/IR-7(1),APPLIES,CANADA_PBMM is cross-CSP,,,GENUINELY_NEW
alicloud,alicloud.ram.activity_log.console_login_inactive_user,ciem,"Detect console login by RAM user inactive >90 days, and chained policy attachment to dormant account",CIS,CIS/1.5,MISMATCH,"CIS control CIS/1.5 found in ['aws', 'gcp', 'ibm'] but not alicloud",,,FRAMEWORK_MISMATCH
alicloud,alicloud.ram.activity_log.delete_policy_version,ciem,Detect deletion of RAM policy versions that enforce controls and deletion of ActionTrail trails to evade detection of corrective action failures.,NIST_800_171,NIST_800_171/3.12.2,APPLIES,NIST_800_171 is cross-CSP,,,GENUINELY_NEW
alicloud,alicloud.ram.activity_log.login_attempt_limit,ciem,Detect when RAM user login failures exceed a defined threshold within a monitoring window.,NIST_800_171,NIST_800_171/3.1.8,APPLIES,NIST_800_171 is cross-CSP,,,GENUINELY_NEW
alicloud,alicloud.ram.activity_log.replay_detection,ciem,Detect replay attempts in RAM audit logs and anomalous chains of authentication actions.,NIST_800_171,NIST_800_171/3.5.4,APPLIES,NIST_800_171 is cross-CSP,,,GENUINELY_NEW
alicloud,alicloud.ram.activity_log.unbind_mfa,ciem,Detect MFA device unbinding and SSH tunnel chains used to maintain persistent access.,NIST_800_171,NIST_800_171/3.1.10,APPLIES,NIST_800_171 is cross-CSP,,,GENUINELY_NEW
alicloud,alicloud.ram.activity_log.user_creation,ciem,Detect creation of RAM users with external email and immediate attachment of privileged policies.,CIS,CIS/5.3.2,APPLIES,CIS control CIS/5.3.2 found in CIS-alicloud,[CIS-alicloud 5.3.2] Ensure that all Namespaces have Network Policies defined — Kubernetes	supports	mounting	secrets	as	data	volumes	or	as	environment	variables. Minimize	the	use	of	environment	variable	secrets.,,GENUINELY_NEW
alicloud,alicloud.ram.audit.login_profile_modify,ciem,Detect remote command execution via ECS SendCommand and modifications to RAM user login profiles for remote access.,NIST_800_171,NIST_800_171/3.1.15,APPLIES,NIST_800_171 is cross-CSP,,,GENUINELY_NEW
alicloud,alicloud.ram.audit.policy_alter,ciem,Monitor RAM policy alterations and multi-step tampering patterns in ActionTrail logs,CIS,CIS/2.4,APPLIES,CIS control CIS/2.4 found in CIS-alicloud,[CIS-alicloud 2.4] Ensure that the --peer-cert-file and --peer-key-file arguments are set as approp — etcd	should	be	configured	to	make	use	of	TLS	encryption	for	peer	connections.,,GENUINELY_NEW
alicloud,alicloud.ram.audit.privileged_anomaly,ciem,Detect critical event gaps in ActionTrail and anomalous RAM privileged actions,PCI_DSS,PCI_DSS/10.2.2,APPLIES,PCI_DSS is cross-CSP,,,GENUINELY_NEW
alicloud,alicloud.ram.audit.user_login_profile_reactivate,ciem,Detect RAM user login profile reactivation after review disable and chained RAM policy updates to retain privileges,PCI_DSS,PCI_DSS/7.2.4,APPLIES,PCI_DSS is cross-CSP,,,GENUINELY_NEW
alicloud,alicloud.ram.chain.attach_policy,ciem,Detect creation of RAM users with external email and immediate attachment of privileged policies.,CIS,CIS/5.3.2,APPLIES,CIS control CIS/5.3.2 found in CIS-alicloud,[CIS-alicloud 5.3.2] Ensure that all Namespaces have Network Policies defined — Kubernetes	supports	mounting	secrets	as	data	volumes	or	as	environment	variables. Minimize	the	use	of	environment	variable	secrets.,,GENUINELY_NEW
alicloud,alicloud.ram.chain.attach_policy_evasion,ciem,Monitor RAM policy attachment events and suspicious chains evading periodic review,CIS,CIS/5.3.7,AMBIGUOUS,"generic CIS, control CIS/5.3.7 not found in any CIS benchmark",,,GENUINELY_NEW
alicloud,alicloud.ram.chain.audit_role_strip,ciem,Detect stopping of ActionTrail trails or chained RAM role modifications to remove audit capabilities.,CANADA_PBMM,CANADA_PBMM/IR-3(2),APPLIES,CANADA_PBMM is cross-CSP,,,GENUINELY_NEW
alicloud,alicloud.ram.chain.delete_malware_policy,ciem,Detect stopping of Anti-Bot Service or RAM policy deletions that remove malware protection entitlements.,CANADA_PBMM,CANADA_PBMM/SI-3(1),APPLIES,CANADA_PBMM is cross-CSP,,,GENUINELY_NEW
alicloud,alicloud.ram.chain.inactive_user_policy_attach,ciem,"Detect console login by RAM user inactive >90 days, and chained policy attachment to dormant account",CIS,CIS/1.5,MISMATCH,"CIS control CIS/1.5 found in ['aws', 'gcp', 'ibm'] but not alicloud",,,FRAMEWORK_MISMATCH
alicloud,alicloud.ram.chain.log_tamper,ciem,Monitor ActionTrail trail configuration modifications and RAM role assumption chains to manipulate logging,CIS,CIS/3.1.13,MISMATCH,CIS control CIS/3.1.13 found in ['k8s'] but not alicloud,,,FRAMEWORK_MISMATCH
alicloud,alicloud.ram.chain.privilege_escalation,ciem,Detect disabling of Security Center (SAS) or RAM privilege escalation chains aimed at evading external attack surface detection.; Detect deletion of A,CANADA_PBMM;CIS,CANADA_PBMM/IR-7(2);CIS/8.1.16,APPLIES,CANADA_PBMM is cross-CSP,,,GENUINELY_NEW
alicloud,alicloud.resourcemanager.audit.folder_change,ciem,Track RAM (Resource Access Management) policy changes and resource directory folder modifications to log system changes.,NIST_800_171,NIST_800_171/3.4.3,APPLIES,NIST_800_171 is cross-CSP,,,GENUINELY_NEW
alicloud,alicloud.sas.activity_log.backup_policy_delete,ciem,"Detect deletion of Security Center (SAS) vulnerability backup policies or stopping of ActionTrail audit trails, indicating attempts to disrupt vulnera",PCI_DSS,PCI_DSS/6.3.1,APPLIES,PCI_DSS is cross-CSP,[CIS-alicloud 6.3.1] Restrict Access to the Control Plane Endpoint — Enable	Endpoint	Private	Access	to	restrict	access	to	the	cluster's	control	plane	to	only	an allowlist	of	authorized	IPs.,,GENUINELY_NEW
alicloud,alicloud.sas.audit.disable,ciem,Detect disabling of Security Center (SAS) or RAM privilege escalation chains aimed at evading external attack surface detection.,CIS,CIS/8.1.16,AMBIGUOUS,"generic CIS, control CIS/8.1.16 not found in any CIS benchmark",,,GENUINELY_NEW
alicloud,alicloud.sas.audit.alert_configuration_delete,ciem,Detect stopping of ActionTrail logs or deletion of alert configurations in Security Center to suppress notifications.,CIS,CIS/4.15,MISMATCH,CIS control CIS/4.15 found in ['aws'] but not alicloud,,,FRAMEWORK_MISMATCH
alicloud,alicloud.sas.audit.stop_anti_bot,ciem,Detect stopping of Anti-Bot Service or RAM policy deletions that remove malware protection entitlements.,CANADA_PBMM,CANADA_PBMM/SI-3(1),APPLIES,CANADA_PBMM is cross-CSP,,,GENUINELY_NEW
alicloud,alicloud.securitycenter.audit.disable,ciem,Detect disabling of Security Center anti-malware audit features or deletion of ActionTrail trails that log malware-related events.,PCI_DSS,PCI_DSS/5.3.4,APPLIES,PCI_DSS is cross-CSP,,,GENUINELY_NEW
alicloud,alicloud.securitycenter.audit.disable_scan,ciem,Identify actions to disable Security Center vulnerability scanning and modifications to ECS security groups that restrict scanner IPs.,CANADA_PBMM,CANADA_PBMM/RA-5(2),APPLIES,CANADA_PBMM is cross-CSP,,,GENUINELY_NEW
alicloud,alicloud.slb.chain.listener_attribute_modify,ciem,Detect security group rule updates allowing non-SSL traffic and chained modifications to SLB listener attributes that could remove HTTPS/SSL certifica,CIS,CIS/10.3,MISMATCH,"CIS control CIS/10.3 found in ['aws', 'azure'] but not alicloud",,,FRAMEWORK_MISMATCH
alicloud,alicloud.voicenavigator.audit.create_instance,ciem,Monitor security group modifications for SIP/RTP ports and Voice Navigator instance creation,NIST_800_171,NIST_800_171/3.13.14,APPLIES,NIST_800_171 is cross-CSP,,,GENUINELY_NEW
alicloud,alicloud.vpc.activity_log.security_group_update,ciem,Detect security group updates that create overly permissive rules and stopping of ActionTrail logs to obstruct monitoring.,CANADA_PBMM,CANADA_PBMM/RA-5(1),APPLIES,CANADA_PBMM is cross-CSP,,,GENUINELY_NEW
alicloud,alicloud.vpc.audit.modify_security_group_rule,ciem,Detect security group rule updates allowing non-SSL traffic and chained modifications to SLB listener attributes that could remove HTTPS/SSL certifica,CIS,CIS/10.3,MISMATCH,"CIS control CIS/10.3 found in ['aws', 'azure'] but not alicloud",,,FRAMEWORK_MISMATCH
aws,aws.chime.audit.create_meeting,ciem,Detect creation of VPC endpoints for VoIP services and privileged Chime meeting creation,NIST_800_171,NIST_800_171/3.13.14,APPLIES,NIST_800_171 is cross-CSP,,,GENUINELY_NEW
aws,aws.cloudtrail.activity_log.audit_policy_change,ciem,"Detect changes to CloudTrail configuration (e.g., stopped trails, deleted trails) and sequences of actions that may indicate audit suppression (e.g., ",CIS,CIS/3.2.2,APPLIES,CIS control CIS/3.2.2 found in CIS-aws,[CIS-aws 3.2.2] Ensure that the --authorization-mode argument is not set to AlwaysAllow — Do not allow all requests. Enable explicit authorization.,aws.cloudtrail.resource.nacl_change_monitoring_configuration_configured (shared:change); aws.cloudtrail.policy.change_monitoring_configured (shared:change); aws.cloudtrail.network.gateway_change_monitoring_configured (shared:change); aws.cloudtrail.group.change_alerts_configured (shared:change),GENUINELY_NEW
aws,aws.cloudtrail.activity_log.critical_event_missing,ciem,Detect missing critical audit events and anomalous privileged actions in CloudTrail logs,PCI_DSS,PCI_DSS/10.2.2,APPLIES,PCI_DSS is cross-CSP,,aws.cloudtrail.nacl_event_selectors_monitoring.nacl_event_selectors_monitoring_configured (shared:event),GENUINELY_NEW
aws,aws.cloudtrail.activity_log.periodic_review,ciem,Detect missing periodic log reviews and anomalous privileged actions across AWS services.,PCI_DSS,PCI_DSS/10.4.2.1,APPLIES,PCI_DSS is cross-CSP,,,GENUINELY_NEW
aws,aws.cloudtrail.activity_log.timestamp_tampering,ciem,Detect attempts to manipulate or delete CloudTrail timestamps/logs to evade audit trails,CANADA_PBMM,CANADA_PBMM/AU-8(1),APPLIES,CANADA_PBMM is cross-CSP,,,GENUINELY_NEW
aws,aws.cloudtrail.audit.config_deletion,ciem,"Detect deletion of critical logging/security configs (Config, CloudTrail, GuardDuty) and chained actions to disable monitoring before an attack.",PCI_DSS,PCI_DSS/10.7.1,APPLIES,PCI_DSS is cross-CSP,,aws.cloudtrail.config_changes_monitoring.config_changes_monitoring_configured (shared:config); aws.cloudtrail.account.usage_monitoring_config_configured (shared:config),GENUINELY_NEW
aws,aws.cloudtrail.audit.console_login_root,ciem,Detect privileged actions without MFA and root console logins violating least privilege,CANADA_PBMM,CANADA_PBMM/AC-6(2),APPLIES,CANADA_PBMM is cross-CSP,,aws.cloudtrail.console_auth_failures_monitoring.console_auth_failures_monitoring_configured (shared:console); aws.cloudtrail.cloudwatch_monitor_no_mfa_console_signin.cloudwatch_monitor_no_mfa_console_signin_configured (shared:console),GENUINELY_NEW
aws,aws.cloudtrail.audit.console_signin_failure,ciem,Detect multiple failed IAM authentication attempts and console sign-in failures within a short timeframe.,NIST_800_171,NIST_800_171/3.1.8,APPLIES,NIST_800_171 is cross-CSP,,"aws.cloudtrail.cloudwatch_monitor_no_mfa_console_signin.cloudwatch_monitor_no_mfa_console_signin_configured (shared:console,signin); aws.cloudtrail.console_auth_failures_monitoring.console_auth_failures_monitoring_configured (shared:console)",AMBIGUOUS
aws,aws.cloudtrail.audit.log_rotation,ciem,Detect CloudTrail log file rotation anomalies and multi-step attempts to disable or bypass audit logging,CIS,CIS/3.1.13,MISMATCH,CIS control CIS/3.1.13 found in ['k8s'] but not aws,,aws.cloudtrail.trail.log_trail_logs_centralized_and_encrypted (shared:log); aws.cloudtrail.resource.trail_cloudtrail_log_file_validation_enabled (shared:log),FRAMEWORK_MISMATCH
aws,aws.cloudtrail.audit.log_rotation_failure,ciem,Detect CloudTrail log file deletion/rotation failure and chained actions to disable or evade logging.,CIS,CIS/1.2.22,MISMATCH,"CIS control CIS/1.2.22 found in ['alicloud', 'k8s'] but not aws",,aws.cloudtrail.trail.log_trail_logs_centralized_and_encrypted (shared:log); aws.cloudtrail.resource.trail_cloudtrail_log_file_validation_enabled (shared:log),FRAMEWORK_MISMATCH
aws,aws.cloudtrail.audit.log_rotation_modified,ciem,Detect changes to CloudTrail log file rotation settings and sequences of log deletion followed by trail update or stop.,CIS,CIS/1.2.23,MISMATCH,"CIS control CIS/1.2.23 found in ['alicloud', 'k8s'] but not aws",,aws.cloudtrail.trail.log_trail_logs_centralized_and_encrypted (shared:log); aws.cloudtrail.resource.trail_cloudtrail_log_file_validation_enabled (shared:log),FRAMEWORK_MISMATCH
aws,aws.cloudtrail.audit.policy_override,ciem,Detect IAM policy changes and CloudTrail log tampering that could affect access policies,CIS,CIS/2.4,APPLIES,CIS control CIS/2.4 found in CIS-aws,[CIS-aws 2.4] Ensure Data in Transit is Encrypted — Use SSL (Secure Sockets Layer) to secure data in transit. Aurora supports SSL- encrypted connections between your application and your DB instance. Here is a step- by-step guide on how to encrypt data,,GENUINELY_NEW
aws,aws.cloudtrail.audit.privileged_action_anomaly,ciem,Detect missing critical audit events and anomalous privileged actions in CloudTrail logs; Detect missing periodic log reviews and anomalous privileged,PCI_DSS,PCI_DSS/10.2.2;PCI_DSS/10.4.2.1,APPLIES,PCI_DSS is cross-CSP,,,GENUINELY_NEW
