yaml_rule_id,yaml_service,yaml_resource_kind,scope,domain,severity,pool_size,best_jaccard_v2,best_match_key,best_match_orig_rid,best_match_has_compliance_ids,best_match_compliance_ids,best_match_compliance_fns,ai_match_rule_id,ai_confidence,ai_reasoning,old_verdict,final_verdict,final_verdict_note,top5_candidates
aws.docdb.cluster.encryption_at_rest_enabled,docdb,cluster,docdb.cluster.encryption,data_protection_and_privacy,high,32,1.0,aws.documentdb.cluster.encryption_at_rest_enabled,aws.documentdb.cluster.encryption_at_rest_enabled,yes,cis_aws_aws_7.3_0090,aws.documentdb.cluster.encryption_at_rest_enabled,aws.documentdb.cluster.encryption_at_rest_enabled,high,"Candidate rule asserts the same encryption-at-rest control for DocumentDB clusters, matching the YAML rule's intent and resource.",ACCEPT,ACCEPT,near-identical match (j=1.0),aws.documentdb.cluster.encryption_at_rest_enabled(1.00); aws.documentdb.cluster.encryption_at_rest_enabled(1.00); aws.documentdb.cluster.encryption_at_rest_enabled:aws.documentdb.cluster.encryption_at_rest_enabled(0.71); aws.documentdb.cluster.encryption_at_rest_cmek(0.67); aws.documentdb.instance.encryption_at_rest_enabled(0.67)
aws.docdb.cluster.private_networking_enforced,docdb,cluster,docdb.cluster.network,network_security_and_connectivity,high,32,1.0,aws.documentdb.cluster.private_networking_enforced,aws.documentdb.cluster.private_networking_enforced,no,,,aws.documentdb.cluster.private_networking_enforced,high,"Candidate rule asserts the same control for private networking on DocumentDB clusters, matching the YAML rule's intent and resource.",ACCEPT,ACCEPT,near-identical match (j=1.0),aws.documentdb.cluster.private_networking_enforced(1.00); aws.documentdb.cluster.storage_encrypted(0.17); aws.docdb.cluster.backup_retention_period_configured(0.14); aws.docdb.cluster.engine_version_check(0.14); aws.docdb.cluster.iam_authentication_enabled(0.14)
aws.docdb.cluster.public_access_disabled,docdb,cluster,docdb.cluster.network,network_security_and_connectivity,high,32,1.0,aws.documentdb.cluster.public_access_disabled,aws.documentdb.cluster.public_access_disabled,no,,,aws.documentdb.cluster.public_access_disabled,high,Candidate rule asserts the same control on the same resource with identical intent.,ACCEPT,ACCEPT,near-identical match (j=1.0),aws.documentdb.cluster.public_access_disabled(1.00); aws.documentdb.instance.public_access_disabled(0.60); aws.documentdb.cluster.storage_encrypted(0.17); aws.docdb.cluster.backup_retention_period_configured(0.14); aws.docdb.cluster.engine_version_check(0.14)
aws.docdb.instance.deletion_protection_enabled,docdb,instance,docdb.instance.configuration,configuration_and_change_management,medium,32,1.0,aws.documentdb.instance.deletion_protection_enabled,aws.documentdb.instance.deletion_protection_enabled,no,,,aws.documentdb.instance.deletion_protection_enabled,high,Both rules check deletion protection on DocumentDB instances with identical intent and resource scope.,ACCEPT,ACCEPT,near-identical match (j=1.0),aws.documentdb.instance.deletion_protection_enabled(1.00); aws.documentdb.cluster.deletion_protection_enabled(0.60); aws.documentdb.instance.encryption_at_rest_enabled(0.29); aws.documentdb.instance.iam_or_managed_identity_auth_enabled_where_supported(0.18); aws.docdb.cluster.iam_authentication_enabled(0.14)
aws.docdb.instance.encryption_at_rest_enabled,docdb,instance,docdb.instance.encryption,data_protection_and_privacy,high,32,1.0,aws.documentdb.instance.encryption_at_rest_enabled,aws.documentdb.instance.encryption_at_rest_enabled,no,,,aws.documentdb.instance.encryption_at_rest_enabled,high,Candidate rule asserts the same encryption-at-rest control on the same DocumentDB instance resource.,ACCEPT,ACCEPT,near-identical match (j=1.0),aws.documentdb.instance.encryption_at_rest_enabled(1.00); aws.documentdb.cluster.encryption_at_rest_enabled(0.67); aws.documentdb.cluster.encryption_at_rest_enabled(0.67); aws.documentdb.cluster.encryption_at_rest_enabled:aws.documentdb.cluster.encryption_at_rest_enabled(0.50); aws.documentdb.cluster.encryption_at_rest_cmek(0.43)
aws.docdb.instance.require_tls_in_transit_configured,docdb,instance,docdb.instance.encryption,data_protection_and_privacy,high,32,1.0,aws.documentdb.instance.require_tls_in_transit,aws.documentdb.instance.require_tls_in_transit,no,,,aws.documentdb.instance.require_tls_in_transit,high,Both rules enforce TLS encryption in transit for DocumentDB instances with identical intent and resource scope.,ACCEPT,ACCEPT,near-identical match (j=1.0),aws.documentdb.instance.require_tls_in_transit(1.00); aws.documentdb.cluster.require_tls_in_transit(0.67); aws.docdb.cluster.encryption_in_transit_enabled(0.25); aws.documentdb.instance.public_access_disabled(0.12); aws.documentdb.instance.deletion_protection_enabled(0.12)
aws.elasticbeanstalk.application.logging_enabled,elasticbeanstalk,application,elasticbeanstalk.application.logging,logging_monitoring_and_alerting,medium,16,1.0,aws.elastic_beanstalk.application.logging_enabled,aws.elastic_beanstalk.application.logging_enabled,no,,,aws.elastic_beanstalk.application.logging_enabled,high,Candidate rule_id matches exactly on resource (application) and control (logging enabled) with minor naming variation.,ACCEPT,ACCEPT,near-identical match (j=1.0),aws.elastic_beanstalk.application.logging_enabled(1.00); aws.elastic_beanstalk.environment.logging_enabled(0.50); aws.elasticbeanstalk.environment_cloudwatch_logging_enabled(0.40); aws.elasticbeanstalk.environment_cloudwatch_logging_enabled(0.40); aws.elasticbeanstalk.managed_updates_enabled(0.20)
aws.elasticbeanstalk.environment.env_secrets_from_vault_only_configured,elasticbeanstalk,environment,elasticbeanstalk.environment.configuration,configuration_and_change_management,medium,16,1.0,aws.elastic_beanstalk.environment.env_secrets_from_vault_only,aws.elastic_beanstalk.environment.env_secrets_from_vault_only,no,,,aws.elastic_beanstalk.environment.env_secrets_from_vault_only,high,"Both rules check that Elastic Beanstalk environment secrets are sourced only from vaults, with identical intent and resource scope.",ACCEPT,ACCEPT,near-identical match (j=1.0),aws.elastic_beanstalk.environment.env_secrets_from_vault_only(1.00); aws.elastic_beanstalk.application.env_secrets_from_vault_only(0.71); aws.elastic_beanstalk.environment.logging_enabled(0.12); aws.elasticbeanstalk.environment_cloudwatch_logging_enabled(0.11); aws.elasticbeanstalk.environment_cloudwatch_logging_enabled:nan(0.11)
aws.elasticbeanstalk.environment.private_networking_enforced,elasticbeanstalk,environment,elasticbeanstalk.environment.network,network_security_and_connectivity,high,16,1.0,aws.elastic_beanstalk.environment.private_networking_enforced,aws.elastic_beanstalk.environment.private_networking_enforced,no,,,aws.elastic_beanstalk.environment.private_networking_enforced,high,Candidate rule_id matches the same control for private networking on Elastic Beanstalk environments with identical intent.,ACCEPT,ACCEPT,near-identical match (j=1.0),aws.elastic_beanstalk.environment.private_networking_enforced(1.00); aws.elastic_beanstalk.application.private_networking_enforced(0.60); aws.elastic_beanstalk.environment.tls_min_1_2_enforced(0.25); aws.elastic_beanstalk.environment.logging_enabled(0.17); aws.elasticbeanstalk.environment_cloudwatch_logging_enabled(0.14)
aws.elasticbeanstalk.environment.tls_min_1_2_enforced,elasticbeanstalk,environment,elasticbeanstalk.environment.encryption,data_protection_and_privacy,high,16,1.0,aws.elastic_beanstalk.environment.tls_min_1_2_enforced,aws.elastic_beanstalk.environment.tls_min_1_2_enforced,no,,,aws.elastic_beanstalk.environment.tls_min_1_2_enforced,high,Exact match on enforcing TLS 1.2 for Elastic Beanstalk environments.,ACCEPT,ACCEPT,near-identical match (j=1.0),aws.elastic_beanstalk.environment.tls_min_1_2_enforced(1.00); aws.elastic_beanstalk.application.tls_min_1_2_enforced(0.71); aws.elastic_beanstalk.environment.private_networking_enforced(0.25); aws.elastic_beanstalk.environment.logging_enabled(0.12); aws.elasticbeanstalk.environment_cloudwatch_logging_enabled(0.11)
aws.securityhub.action.versioning_and_immutability_enabled,securityhub,action,securityhub.action.data_protection,data_protection_and_privacy,low,16,1.0,aws.security_hub.action.versioning_and_immutability_enabled,aws.security_hub.action.versioning_and_immutability_enabled,no,,,aws.security_hub.action.versioning_and_immutability_enabled,high,"Candidate rule_id is identical in meaning to the YAML rule_id, only differing in underscore/hyphen formatting.",ACCEPT,ACCEPT,near-identical match (j=1.0),aws.security_hub.action.versioning_and_immutability_enabled(1.00); aws.security_hub.action.storage_encrypted_and_private(0.25); securityhub.enabled(0.20); aws.security_hub.hub.detectors_enabled(0.14); aws.securityhub.hub_enabled_in_all_regions(0.11)
aws.storagegateway.gateway.encryption_at_rest_enabled,storagegateway,gateway,storagegateway.gateway.encryption,data_protection_and_privacy,high,13,1.0,aws.storage_gateway.gateway.encryption_at_rest_enabled,aws.storage_gateway.gateway.encryption_at_rest_enabled,no,,,aws.storage_gateway.gateway.encryption_at_rest_enabled,high,Both rules assert encryption at rest for Storage Gateway gateways with identical intent and resource focus.,ACCEPT,ACCEPT,near-identical match (j=1.0),aws.storage_gateway.gateway.encryption_at_rest_enabled(1.00); aws.storage_gateway.volume.encryption_at_rest_enabled(0.67); aws.storagegateway.fileshare_encryption_enabled(0.33); aws.storagegateway.fileshare_encryption_enabled(0.33); aws.storage_gateway.gateway.snapshots_enabled(0.33)
aws.storagegateway.gateway.snapshots_enabled,storagegateway,gateway,storagegateway.gateway.backup_recovery,resilience_and_disaster_recovery,medium,13,1.0,aws.storage_gateway.gateway.snapshots_enabled,aws.storage_gateway.gateway.snapshots_enabled,no,,,aws.storage_gateway.gateway.snapshots_enabled,high,Candidate rule_id matches exactly in intent and resource (storage gateway gateway snapshots enabled).,ACCEPT,ACCEPT,near-identical match (j=1.0),aws.storage_gateway.gateway.snapshots_enabled(1.00); aws.storage_gateway.volume.snapshots_enabled(0.50); aws.storage_gateway.gateway.encryption_at_rest_enabled(0.33); aws.storagegateway.fileshare_encryption_enabled(0.20); aws.storagegateway.fileshare_encryption_enabled(0.20)
aws.storagegateway.volume.encryption_at_rest_enabled,storagegateway,volume,storagegateway.volume.encryption,data_protection_and_privacy,high,13,1.0,aws.storage_gateway.volume.encryption_at_rest_enabled,aws.storage_gateway.volume.encryption_at_rest_enabled,no,,,aws.storage_gateway.volume.encryption_at_rest_enabled,high,Both rules assert encryption at rest for Storage Gateway volumes with identical intent and resource focus.,ACCEPT,ACCEPT,near-identical match (j=1.0),aws.storage_gateway.volume.encryption_at_rest_enabled(1.00); aws.storage_gateway.gateway.encryption_at_rest_enabled(0.67); aws.storagegateway.fileshare_encryption_enabled(0.33); aws.storagegateway.fileshare_encryption_enabled(0.33); aws.storage_gateway.volume.snapshots_enabled(0.33)
aws.storagegateway.volume.snapshots_enabled,storagegateway,volume,storagegateway.volume.backup_recovery,resilience_and_disaster_recovery,medium,13,1.0,aws.storage_gateway.volume.snapshots_enabled,aws.storage_gateway.volume.snapshots_enabled,no,,,aws.storage_gateway.volume.snapshots_enabled,high,Both rules check for snapshot enablement on Storage Gateway volumes with identical intent.,ACCEPT,ACCEPT,near-identical match (j=1.0),aws.storage_gateway.volume.snapshots_enabled(1.00); aws.storage_gateway.gateway.snapshots_enabled(0.50); aws.storage_gateway.volume.snapshots_encrypted(0.50); aws.storage_gateway.volume.encryption_at_rest_enabled(0.33); aws.storagegateway.fileshare_encryption_enabled(0.20)
aws.storagegateway.volume.snapshots_encrypted,storagegateway,volume,storagegateway.volume.encryption,data_protection_and_privacy,high,13,1.0,aws.storage_gateway.volume.snapshots_encrypted,aws.storage_gateway.volume.snapshots_encrypted,no,,,aws.storage_gateway.volume.snapshots_encrypted,high,Both rules check encryption of Storage Gateway volume snapshots with identical intent.,ACCEPT,ACCEPT,near-identical match (j=1.0),aws.storage_gateway.volume.snapshots_encrypted(1.00); aws.storage_gateway.volume.snapshots_enabled(0.50); aws.storage_gateway.volume.encryption_at_rest_enabled(0.33); aws.storagegateway.fileshare_encryption_enabled(0.20); aws.storagegateway.fileshare_encryption_enabled:nan(0.20)
aws.cloudtrail.cloudwatch_monitor_no_mfa_console_signin.cloudwatch_monitor_no_mfa_console_signin_configured,cloudtrail,cloudwatch_monitor_no_mfa_console_signin,cloudtrail.cloudwatch_monitor_no_mfa_console_signin.logging,logging_monitoring_and_alerting,medium,70,1.0,aws.cloudtrail.cloudwatch_monitor_no_mfa_console_signin,aws.cloudtrail.cloudwatch_monitor_no_mfa_console_signin:aws.cloudtrail.trail.alert_destinations_configured,yes,cis_aws_aws_5.2_0029,aws.cloudtrail.cloudwatch_monitor_no_mfa_console_signin,aws.cloudtrail.cloudwatch_monitor_no_mfa_console_signin:aws.cloudtrail.trail.alert_destinations_configured,high,Both rules focus on monitoring console sign-in events without MFA via CloudWatch alerts in CloudTrail.,ACCEPT,ACCEPT,near-identical match (j=1.0),aws.cloudtrail.cloudwatch_monitor_no_mfa_console_signin(1.00); aws.cloudtrail.cloudwatch_monitor_no_mfa_console_signin:aws.cloudtrail.trail.alert_destinations_configured(0.45); aws.cloudtrail.cloudwatch_logging_enabled(0.12); cloudtrail.cloudwatch.logging.enabled(0.12); aws.cloudtrail.console_auth_failures_monitoring(0.11)
aws.cloudtrail.console_auth_failures_monitoring.console_auth_failures_monitoring_configured,cloudtrail,console_auth_failures_monitoring,cloudtrail.console_auth_failures_monitoring.logging,logging_monitoring_and_alerting,medium,70,1.0,aws.cloudtrail.console_auth_failures_monitoring,aws.cloudtrail.console_auth_failures_monitoring:aws.cloudtrail.trail.alert_destinations_configured,yes,cis_aws_aws_5.6_0033,aws.cloudtrail.console_auth_failures_monitoring,aws.cloudtrail.cloudwatch_monitor_no_mfa_console_signin:aws.cloudtrail.trail.alert_destinations_configured,medium,"Both rules focus on monitoring console sign-in failures via CloudTrail and CloudWatch alerts, though the candidate is more specific to MFA-related failures.",KEEP_FOR_REVIEW,ACCEPT,near-identical match (j=1.0),aws.cloudtrail.console_auth_failures_monitoring(1.00); aws.cloudtrail.console_auth_failures_monitoring:aws.cloudtrail.trail.alert_destinations_configured(0.33); aws.cloudtrail.policy.change_monitoring(0.17); aws.cloudtrail.config_changes_monitoring(0.17); aws.cloudtrail.unauthorized_api_calls_monitoring_configured(0.14)
aws.cloudtrail.nacl_event_selectors_monitoring.nacl_event_selectors_monitoring_configured,cloudtrail,nacl_event_selectors_monitoring,cloudtrail.nacl_event_selectors_monitoring.logging,logging_monitoring_and_alerting,medium,70,1.0,aws.cloudtrail.nacl_event_selectors_monitoring,aws.cloudtrail.nacl_event_selectors_monitoring:aws.cloudtrail.trail.alert_destinations_configured,yes,cis_aws_aws_5.11_0060,aws.cloudtrail.nacl_event_selectors_monitoring,,none,No candidate rule addresses NACL event selectors monitoring in CloudTrail.,GAP_LIKELY,ACCEPT,near-identical match (j=1.0),aws.cloudtrail.nacl_event_selectors_monitoring(1.00); aws.cloudtrail.nacl_event_selectors_monitoring:aws.cloudtrail.trail.alert_destinations_configured(0.33); aws.cloudtrail.nacl_change_monitoring_configuration_check(0.33); aws.cloudtrail.nacl_change_monitoring_configuration_check:aws.cloudtrail.trail.alert_destinations_configured(0.20); aws.cloudtrail.policy.change_monitoring(0.17)
