yaml_rule_id,scope,domain,best_catalog_match,best_jaccard,verdict,pool_size_same_svc
aws.docdb.cluster.docdb_storage_encrypted,docdb.cluster.encryption,data_protection_and_privacy,aws.docdb.cluster.encryption_in_transit_enabled,0.286,weak-shared-theme,26
aws.docdb.cluster.audit_logging_to_cloudwatch_enabled,docdb.cluster.logging,logging_monitoring_and_alerting,aws.documentdb.cluster.audit_logging_to_cloudwatch_enabled:aws.documentdb.cluster.audit_logging_enabled,0.75,ai-likely-missed,26
aws.docdb.cluster.encryption_at_rest_cmek_configured,docdb.cluster.encryption,data_protection_and_privacy,aws.documentdb.cluster.encryption_at_rest_cmek,1.0,ai-likely-missed,26
aws.docdb.cluster.preferred_backup_window_configured,docdb.cluster.backup_recovery,resilience_and_disaster_recovery,aws.documentdb.cluster.preferred_backup_window_configured:aws.documentdb.cluster.audit_logging_enabled,0.444,borderline-look,26
aws.docdb.cluster.public_access_disabled,docdb.cluster.network,network_security_and_connectivity,aws.documentdb.cluster.public_access_disabled,1.0,ai-likely-missed,26
aws.docdb.cluster.encryption_at_rest_enabled,docdb.cluster.encryption,data_protection_and_privacy,aws.documentdb.cluster.encryption_at_rest_enabled,1.0,ai-likely-missed,26
aws.docdb.instance.deletion_protection_enabled,docdb.instance.configuration,configuration_and_change_management,aws.documentdb.instance.deletion_protection_enabled,1.0,ai-likely-missed,26
aws.docdb.cluster.private_networking_enforced,docdb.cluster.network,network_security_and_connectivity,aws.documentdb.cluster.private_networking_enforced,1.0,ai-likely-missed,26
aws.docdb.instance.encryption_at_rest_enabled,docdb.instance.encryption,data_protection_and_privacy,aws.documentdb.instance.encryption_at_rest_enabled,1.0,ai-likely-missed,26
aws.dynamodb.resource.dynamodb_autoscaling_enabled,dynamodb.resource.configuration,configuration_and_change_management,aws.dynamodb.autoscaling_enabled:aws.dynamodb.stream.encryption_at_rest_enabled,0.375,borderline-look,23
aws.ebs.volume.backup_configured,ebs.volume.backup_recovery,resilience_and_disaster_recovery,aws.ebs.volume.backup_configured:aws.ebs.volume.cmk_cmek_configured,0.333,borderline-look,12
aws.dynamodb.table_protected_by_backup_plan.table_protected_by_backup_plan_configured,dynamodb.table_protected_by_backup_plan.backup_recovery,resilience_and_disaster_recovery,aws.dynamodb.table_protected_by_backup_plan:aws.dynamodb.table.rbac_least_privilege,0.4,borderline-look,23
aws.ec2.account.block_public_access_configured,ec2.account.network,network_security_and_connectivity,aws.ec2.account.block_public_access:aws.ec2.subnet.public_subnets_use_nacl_restrictions,0.3,borderline-look,183
aws.ec2.eip.not_in_use,ec2.eip.configuration,configuration_and_change_management,aws.ec2.snapshot.not_public,0.167,weak-shared-theme,183
aws.ec2.eip.shodan_exposure_detected,ec2.eip.configuration,configuration_and_change_management,aws.ec2.instance.ssh_password_auth_disabled,0.0,real-gap,183
aws.ec2.instance.internet_facing_with_instance_profile_configured,ec2.instance.configuration,configuration_and_change_management,aws.ec2.instance.internet_facing_with_instance_profile:aws.ec2.instance.data_volumes_encrypted_cmek,0.364,borderline-look,183
aws.ec2.instance.paravirtual_type_configured,ec2.instance.configuration,configuration_and_change_management,aws.ec2.instance.paravirtual_type:aws.ec2.instance.data_volumes_encrypted_cmek,0.222,weak-shared-theme,183
aws.ec2.instance.patch_compliance_status_check,ec2.instance.compliance,compliance_and_governance,aws.ec2.patch_compliance:aws.ec2.instance.security_group_inbound_restricted,0.182,weak-shared-theme,183
aws.ec2.instance.port_ldap_exposed_to_internet_configured,ec2.instance.configuration,configuration_and_change_management,aws.ec2.instance.port_ldap_exposed_to_internet:aws.ec2.instance.data_volumes_encrypted_cmek,0.417,borderline-look,183
aws.ec2.instance.port_kafka_exposed_to_internet_configured,ec2.instance.configuration,configuration_and_change_management,aws.ec2.instance.port_kafka_exposed_to_internet:aws.ec2.instance.data_volumes_encrypted_cmek,0.417,borderline-look,183
aws.ec2.instance.port_mysql_exposed_to_internet_configured,ec2.instance.configuration,configuration_and_change_management,aws.ec2.instance.port_mysql_exposed_to_internet:aws.ec2.instance.data_volumes_encrypted_cmek,0.417,borderline-look,183
aws.ec2.instance.port_oracle_exposed_to_internet_configured,ec2.instance.configuration,configuration_and_change_management,aws.ec2.instance.port_oracle_exposed_to_internet:aws.ec2.instance.data_volumes_encrypted_cmek,0.417,borderline-look,183
aws.ec2.instance.port_rdp_exposed_to_internet_configured,ec2.instance.configuration,configuration_and_change_management,aws.ec2.instance.port_rdp_exposed_to_internet:aws.ec2.instance.data_volumes_encrypted_cmek,0.417,borderline-look,183
aws.ec2.instance.stopped_instances_removed,ec2.instance.configuration,configuration_and_change_management,aws.ec2.stopped_instance:aws.ec2.instance.security_group_inbound_restricted,0.222,weak-shared-theme,183
aws.ec2.instance.uses_single_eni_configured,ec2.instance.configuration,configuration_and_change_management,aws.ec2.instance.uses_single_eni:aws.ec2.instance.data_volumes_encrypted_cmek,0.3,borderline-look,183
aws.ec2.networkacl.unused_network_acl_configured,ec2.networkacl.network,network_security_and_connectivity,aws.ec2.network_acl.egress_restricted,0.333,borderline-look,183
aws.ec2.transitgateway.auto_cross_account_attachment_disabled,ec2.transitgateway.configuration,configuration_and_change_management,aws.ec2.transitgateway_auto_accept_vpc_attachments:aws.ec2.instance.security_group_inbound_restricted,0.133,real-gap,183
aws.ec2.volume.in_use_configured,ec2.volume.configuration,configuration_and_change_management,aws.ec2.volume.in_use:aws.ec2.volume.cmk_cmek_configured,0.286,weak-shared-theme,183
aws.ec2.volume.protected_by_backup_plan_configured,ec2.volume.backup_recovery,resilience_and_disaster_recovery,aws.ec2.volume.protected_by_backup_plan:aws.ec2.volume.cmk_cmek_configured,0.444,borderline-look,183
aws.ecr.resource.repository_encryption_enabled,ecr.resource.encryption,data_protection_and_privacy,aws.ecr.repository_encryption_enabled:aws.ecr.repository.image_scanning_enabled,0.429,borderline-look,16
aws.ecs.task_definition_image_source_verification.task_ecs_task_definition_image_source_verification_configured,ecs.task_definition_image_source_verification.configuration,configuration_and_change_management,aws.ecs.task_definition_image_source_verification:aws.ecs.container_instance.read_only_root_filesystem,0.385,borderline-look,8
aws.ecs.task_definitions_logging_block_mode.task_definitions_logging_block_mode_configured,ecs.task_definitions_logging_block_mode.logging,logging_monitoring_and_alerting,aws.ecs.task_definitions_logging_block_mode:aws.ecs.container_instance.no_privileged_containers,0.364,borderline-look,8
aws.efs.resource.multi_az_enabled,efs.resource.configuration,configuration_and_change_management,aws.efs.multi_az_enabled:aws.efs.file_system.snapshots_enabled,0.375,borderline-look,11
aws.efs.user.identity_and_root_directory_enforced,efs.user.configuration,configuration_and_change_management,aws.efs.user.identity_and_root_directory_enforced:aws.efs.file_system.snapshots_enabled,0.417,borderline-look,11
aws.eks.api.cluster_required_allowlist_for_namespace_services,eks.api.configuration,configuration_and_change_management,aws.eks.cluster.default_service_account_automount_disabled,0.182,weak-shared-theme,42
aws.eks.api.default_deny_ingress_per_namespace_configured,eks.api.configuration,configuration_and_change_management,aws.eks.cluster.default_service_account_automount_disabled,0.091,real-gap,42
aws.eip.address.address_enabled,eip.address.configuration,configuration_and_change_management,aws.eip.attached,0.0,real-gap,2
aws.eks.api.default_deny_egress_per_namespace_configured,eks.api.configuration,configuration_and_change_management,aws.eks.cluster.default_service_account_automount_disabled,0.091,real-gap,42
aws.eks.api.drop_net_raw_and_reduce_caps_configured,eks.api.configuration,configuration_and_change_management,aws.eks.addon.version_pinned_and_supported,0.091,real-gap,42
aws.eks.api.dns_and_metrics_from_approved_sources_configured,eks.api.configuration,configuration_and_change_management,aws.eks.addon.from_trusted_channel,0.1,real-gap,42
aws.eks.api.env_no_plaintext_secrets_configured,eks.api.configuration,configuration_and_change_management,aws.eks.addon.no_privileged_permissions,0.125,real-gap,42
aws.eks.api.image_signature_verification_enabled,eks.api.configuration,configuration_and_change_management,aws.eks.cluster.audit_logging_enabled,0.125,real-gap,42
aws.eks.api.host_network_pid_ipc_disabled,eks.api.network,network_security_and_connectivity,aws.eks.cluster.profiling_disabled,0.125,real-gap,42
aws.eks.api.image_registry_allowlist_enforced,eks.api.configuration,configuration_and_change_management,aws.eks.cluster.admission_psa_enforce_mode,0.111,real-gap,42
aws.eks.api.kube_system_services_not_public_configured,eks.api.network,network_security_and_connectivity,aws.eks.node_group.nodes_no_public_ip,0.1,real-gap,42
aws.eks.api.no_cluster_admin_to_authenticated_configured,eks.api.configuration,configuration_and_change_management,aws.eks.cluster.profiling_disabled,0.125,real-gap,42
aws.eks.api.no_hostpath_mounts_configured,eks.api.configuration,configuration_and_change_management,aws.eks.addon.no_privileged_permissions,0.143,real-gap,42
aws.eks.api.read_only_root_filesystem_configured,eks.api.configuration,configuration_and_change_management,aws.eks.node_group.read_only_port_disabled,0.222,weak-shared-theme,42
aws.eks.api.privilege_escalation_denied_configured,eks.api.access_control,identity_and_access_management,aws.eks.fargate_profile.execution_role_least_privilege,0.111,real-gap,42
aws.eks.api.seccomp_profile_runtime_default_configured,eks.api.configuration,configuration_and_change_management,aws.eks.fargate_profile.protect_kernel_defaults_enabled,0.222,weak-shared-theme,42
aws.eks.api.type_loadbalancer_internal_only_where_required,eks.api.configuration,configuration_and_change_management,aws.eks.fargate_profile.private_subnets_only,0.091,real-gap,42
aws.eks.certificate.monitored,eks.certificate.logging,logging_monitoring_and_alerting,aws.eks.certificate.check:aws.eks.cluster.client_cert_auth_enabled,0.111,real-gap,42
aws.elasticache.backupretention.backup_retention_configured,elasticache.backupretention.backup_recovery,resilience_and_disaster_recovery,aws.elasticache.backup_retention:aws.elasticache.cluster.audit_logging_enabled,0.111,real-gap,19
aws.elasticbeanstalk.application_version.elasticbeanstalk_immutability_enabled,elasticbeanstalk.application_version.configuration,configuration_and_change_management,aws.elasticbeanstalk.managed_updates_enabled,0.143,real-gap,4
aws.elasticbeanstalk.environment.private_networking_enforced,elasticbeanstalk.environment.network,network_security_and_connectivity,aws.elasticbeanstalk.environment_cloudwatch_logging_enabled,0.143,real-gap,4
aws.elasticbeanstalk.environment.env_secrets_from_vault_only_configured,elasticbeanstalk.environment.configuration,configuration_and_change_management,aws.elasticbeanstalk.environment_cloudwatch_logging_enabled,0.111,real-gap,4
aws.elasticbeanstalk.environment.tls_min_1_2_enforced,elasticbeanstalk.environment.encryption,data_protection_and_privacy,aws.elasticbeanstalk.environment_cloudwatch_logging_enabled,0.111,real-gap,4
aws.elb.isinmultipleaz.elb_is_in_multiple_az_configured,elb.isinmultipleaz.configuration,configuration_and_change_management,aws.elb.is_in_multiple_az:aws.elb.load_balancer.waf_attached_where_supported,0.308,borderline-look,31
aws.elb.internetfacing.elb_internet_facing_configured,elb.internetfacing.configuration,configuration_and_change_management,aws.elb.internet_facing:aws.elb.load_balancer.waf_attached_where_supported,0.182,weak-shared-theme,31
aws.elbv2.alb_https_redirect.elbv2_alb_https_redirect_configured,elbv2.alb_https_redirect.configuration,configuration_and_change_management,aws.elbv2.alb_https_redirect:aws.elbv2.target_group.targets_in_private_subnets,0.3,borderline-look,31
aws.elbv2.internetfacing.elbv2_internet_facing_configured,elbv2.internetfacing.configuration,configuration_and_change_management,aws.elbv2.internet_facing:aws.elbv2.target_group.targets_in_private_subnets,0.2,weak-shared-theme,31
aws.elbv2.isinmultipleaz.elbv2_is_in_multiple_az_configured,elbv2.isinmultipleaz.configuration,configuration_and_change_management,aws.elbv2.is_in_multiple_az:aws.elbv2.target_group.targets_in_private_subnets,0.364,borderline-look,31
aws.glue.data_catalogs_not_publicly_accessible.data_catalogs_not_publicly_accessible_configured,glue.data_catalogs_not_publicly_accessible.logging,logging_monitoring_and_alerting,aws.glue.data_catalogs_not_publicly_accessible:aws.glue.data_quality_ruleset.run_metadata_logging_enabled,0.308,borderline-look,98
aws.glue.devendpoint.encryption_at_rest_enabled,glue.devendpoint.encryption,data_protection_and_privacy,aws.glue.table.s3_encrypted_at_rest,0.429,borderline-look,98
aws.guardduty.centrally_managed.guardduty_centrally_managed_configured,guardduty.centrally_managed.configuration,configuration_and_change_management,aws.guardduty.centrally_managed:aws.guardduty.custom_identifier.source_trusted,0.25,weak-shared-theme,23
aws.iam.access_analyzer_active_status_all_regions.access_analyzer_active_status_all_regions_configured,iam.access_analyzer_active_status_all_regions.configuration,configuration_and_change_management,aws.iam.access_analyzer_active_status_all_regions:aws.iam.instance_profile.role_policies_least_privilege,0.357,borderline-look,108
aws.iam.avoidrootusage.avoid_root_usage_configured,iam.avoidrootusage.configuration,configuration_and_change_management,aws.iam.avoid_root_usage:aws.iam.instance_profile.role_policies_least_privilege,0.167,weak-shared-theme,108
aws.iam.key.monitored,iam.key.logging,logging_monitoring_and_alerting,iam.no.root.access.key,0.2,weak-shared-theme,108
aws.iam.no_guest_accounts_with_permissions.no_guest_accounts_with_permissions_configured,iam.no_guest_accounts_with_permissions.access_control,identity_and_access_management,aws.iam.no_guest_accounts_with_permissions:aws.iam.instance_profile.no_instance_profile_with_admin_star,0.364,borderline-look,108
aws.iam.policy.monitored,iam.policy.logging,logging_monitoring_and_alerting,aws.iam.policy.resource_constraints_present,0.25,weak-shared-theme,108
aws.iam.policy.policy_enabled,iam.policy.access_control,identity_and_access_management,aws.iam.policy.versioning_and_change_audit_enabled,0.333,borderline-look,108
aws.iam.role.creation_monitored,iam.role.logging,logging_monitoring_and_alerting,iam.support.role.created,0.2,weak-shared-theme,108
aws.iam.user.centralization_monitored,iam.user.logging,logging_monitoring_and_alerting,aws.iam.user.mfa_required,0.2,weak-shared-theme,108
aws.iam.user.policy_elastic_disaster_recovery_configured,iam.user.access_control,identity_and_access_management,aws.iam.user.policy_elastic_disaster_recovery_check:aws.iam.user.access_keys_rotated_90_days_or_less_when_present,0.312,borderline-look,108
aws.iam.user.single_active_access_key_configured,iam.user.configuration,configuration_and_change_management,aws.iam.user.single_active_access_key_audit:aws.iam.user.access_keys_rotated_90_days_or_less_when_present,0.357,borderline-look,108
aws.identitystore.group.admin_group_limited,identitystore.group.membership,identity_and_access_management,,0.0,catalog-empty,0
aws.inspector.resource.inspector_is_enabled,inspector.resource.configuration,configuration_and_change_management,aws.inspector.is_enabled:aws.inspector.assessment.policy_store_encrypted,0.25,weak-shared-theme,9
aws.inspector2.finding.critical_finding_not_open,inspector2.finding.vulnerability,configuration_and_change_management,,0.0,catalog-empty,0
aws.inspector2.organization.scanning_enabled,inspector2.organization.configuration,configuration_and_change_management,,0.0,catalog-empty,0
aws.kinesis.stream_data_retention_period.stream_data_retention_period_configured,kinesis.stream_data_retention_period.data_protection,data_protection_and_privacy,aws.kinesis.stream_data_retention_period:aws.kinesis.stream.consumer_auth_required,0.333,borderline-look,7
aws.kinesisfirehose.deliverystream.encryption_at_rest_enabled,kinesisfirehose.deliverystream.encryption,data_protection_and_privacy,,0.0,catalog-empty,0
aws.kinesisfirehose.deliverystream.logging_enabled,kinesisfirehose.deliverystream.logging,logging_monitoring_and_alerting,,0.0,catalog-empty,0
aws.kms.key.lifecycle_policy_configured,kms.key.access_control,identity_and_access_management,aws.kms.key.lifecycle_policy:aws.kms.key.key_policy_least_privilege,0.429,borderline-look,27
aws.lambda.function.not_publicly_accessible_configured,lambda.function.network,network_security_and_connectivity,aws.lambda.function.outputs_encrypted,0.167,weak-shared-theme,35
aws.lambda.function.reserved_concurrency_configured,lambda.function.configuration,configuration_and_change_management,aws.lambda.function.reserved_concurrency:aws.lambda.function.artifacts_encrypted_and_private,0.222,weak-shared-theme,35
aws.lambda.function.url_cors_policy_configured,lambda.function.access_control,identity_and_access_management,aws.lambda.function.url_cors_policy:aws.lambda.function.artifacts_encrypted_and_private,0.3,borderline-look,35
aws.neptune.security_configuration_review.security_configuration_review_configured,neptune.security_configuration_review.configuration,configuration_and_change_management,aws.neptune.cluster.network_security_audit:aws.neptune.cluster.audit_logging_enabled,0.111,real-gap,26
aws.networkfirewall.firewall.rule_groups_enabled,networkfirewall.firewall.configuration,configuration_and_change_management,aws.networkfirewall.logging_enabled,0.2,weak-shared-theme,6
aws.rds.instance.inside_vpc_configured,rds.instance.network,network_security_and_connectivity,aws.rds.instance.inside_vpc:aws.rds.instance.deletion_protection_enabled,0.25,weak-shared-theme,68
aws.rds.instance.security_configuration_review_configured,rds.instance.configuration,configuration_and_change_management,aws.rds.instance.security_configuration_review:aws.rds.instance.deletion_protection_enabled,0.25,weak-shared-theme,68
aws.redshift.resource.backup_enabled,redshift.resource.backup_recovery,resilience_and_disaster_recovery,aws.redshift.backup_enabled:aws.redshift.cluster.audit_logging_enabled,0.286,weak-shared-theme,55
aws.s3.website_https_only.website_https_only_configured,s3.website_https_only.configuration,configuration_and_change_management,aws.s3.website_https_only:aws.s3.bucket.destination_private_only,0.375,borderline-look,74
aws.s3.macie_classification_jobs_status.macie_classification_jobs_status_configured,s3.macie_classification_jobs_status.configuration,configuration_and_change_management,aws.s3.macie_classification_jobs_status:aws.s3.replication.lag_monitoring_alerts_enabled,0.273,weak-shared-theme,74
aws.sagemaker.endpoint_config_prod_variant_instances.endpoint_config_prod_variant_instances_configured,sagemaker.endpoint_config_prod_variant_instances.configuration,configuration_and_change_management,aws.sagemaker.endpoint_config_prod_variant_instances:aws.sagemaker.endpoint.authn_required,0.444,borderline-look,85
aws.securityhub.action.versioning_and_immutability_enabled,securityhub.action.data_protection,data_protection_and_privacy,securityhub.enabled,0.2,weak-shared-theme,3
aws.securityhub.hub.securityhub_auto_enroll_new_accounts_configured,securityhub.hub.configuration,configuration_and_change_management,aws.securityhub.hub_enabled_in_all_regions,0.1,real-gap,3
aws.securityhub.hub.securityhub_detectors_enabled,securityhub.hub.configuration,configuration_and_change_management,aws.securityhub.hub_enabled_in_all_regions,0.286,weak-shared-theme,3
aws.securityhub.hub.securityhub_finding_export_encrypted_destination,securityhub.hub.encryption,data_protection_and_privacy,aws.securityhub.hub_enabled_in_all_regions,0.1,real-gap,3
aws.securityhub.hub.securityhub_destinations_encrypted,securityhub.hub.encryption,data_protection_and_privacy,aws.securityhub.hub_enabled_in_all_regions,0.125,real-gap,3
aws.securityhub.hub.securityhub_master_member_configured,securityhub.hub.configuration,configuration_and_change_management,aws.securityhub.hub_enabled_in_all_regions,0.125,real-gap,3
aws.ssm.automation.change_audit_logging_enabled,ssm.automation.logging,logging_monitoring_and_alerting,"ssm.managed.compliant.patching,.eks.cluster.uses.a.supported.version,.rds.cluster.minor.version.upgrade.enabled",0.056,real-gap,7
aws.ssm.automation.versioning_and_immutability_enabled,ssm.automation.data_protection,data_protection_and_privacy,"ssm.managed.compliant.patching,.eks.cluster.uses.a.supported.version,.rds.cluster.minor.version.upgrade.enabled",0.056,real-gap,7
aws.ssm.document.change_audit_logging_enabled,ssm.document.logging,logging_monitoring_and_alerting,aws.ssm.document_secrets,0.167,weak-shared-theme,7
aws.ssm.document.rbac_least_privilege,ssm.document.access_control,identity_and_access_management,aws.ssm.document_secrets,0.2,weak-shared-theme,7
aws.ssm.restapi.public_access_restricted,ssm.restapi.network,network_security_and_connectivity,aws.ssm.documents_set_as_public,0.143,real-gap,7
aws.stepfunctions.statemachine.stepfunctions_approval_steps_required_for_destructive_actions,stepfunctions.statemachine.configuration,configuration_and_change_management,aws.step_functions.state_machine.approval_steps_required_for_destructive_actions,0.6,ai-likely-missed,39
aws.storagegateway.gateway.encryption_at_rest_enabled,storagegateway.gateway.encryption,data_protection_and_privacy,aws.storage_gateway.gateway.encryption_at_rest_enabled,1.0,ai-likely-missed,12
aws.storagegateway.volume.encryption_at_rest_enabled,storagegateway.volume.encryption,data_protection_and_privacy,aws.storage_gateway.volume.encryption_at_rest_enabled,1.0,ai-likely-missed,12
aws.storagegateway.volume.snapshots_enabled,storagegateway.volume.backup_recovery,resilience_and_disaster_recovery,aws.storage_gateway.volume.snapshots_enabled,1.0,ai-likely-missed,12
aws.storagegateway.gateway.snapshots_enabled,storagegateway.gateway.backup_recovery,resilience_and_disaster_recovery,aws.storage_gateway.gateway.snapshots_enabled,1.0,ai-likely-missed,12
aws.storagegateway.volume.snapshots_encrypted,storagegateway.volume.encryption,data_protection_and_privacy,aws.storage_gateway.volume.snapshots_encrypted,1.0,ai-likely-missed,12
aws.vpc.endpoint_connections_trust_boundaries.endpoint_connections_trust_boundaries_configured,vpc.endpoint_connections_trust_boundaries.configuration,configuration_and_change_management,aws.vpc.endpoint_connections_trust_boundaries:aws.vpc.security_group.dns_hostnames_and_support_configured,0.25,weak-shared-theme,53
aws.vpc.endpoint_services_allowed_principals_trust_boundaries.endpoint_principals_trust_boundaries_configured,vpc.endpoint_services_allowed_principals_trust_boundaries.configuration,configuration_and_change_management,aws.vpc.endpoint_services_allowed_principals_trust_boundaries:aws.vpc.vpc_endpoint.route_tables_no_unintended_internet_paths,0.357,borderline-look,53
aws.vpc.different_regions.different_regions_configured,vpc.different_regions.configuration,configuration_and_change_management,aws.vpc.different_regions:aws.vpc.security_group.dns_hostnames_and_support_configured,0.1,real-gap,53
aws.vpc.nacl_ingress_restricted_ports_22_3389.nacl_ingress_restricted_ports_22_3389_configured,vpc.nacl_ingress_restricted_ports_22_3389.configuration,configuration_and_change_management,aws.vpc.nacl_ingress_restricted_ports_22_3389:aws.vpc.network_acl.dns_hostnames_and_support_configured,0.357,borderline-look,53
aws.vpc.peering_routing_tables_with_least_privilege.privilege,vpc.peering_routing_tables_with_least_privilege.access_control,identity_and_access_management,aws.vpc.peering_routing_tables_with_least_privilege:aws.vpc.security_group.dns_hostnames_and_support_configured,0.357,borderline-look,53
aws.vpc.subnet_separate_private_public.subnet_separate_private_public_configured,vpc.subnet_separate_private_public.network,network_security_and_connectivity,aws.vpc.subnet_separate_private_public:aws.vpc.security_group.dns_hostnames_and_support_configured,0.25,weak-shared-theme,53
aws.vpc.securitygroup.security_closed_ports_restricted,vpc.securitygroup.configuration,configuration_and_change_management,aws.vpc.nacl_ingress_restricted_ports_22_3389:aws.vpc.network_acl.dns_hostnames_and_support_configured,0.125,real-gap,53
aws.vpc.subnet_no_public_ip_by_default.subnet_no_public_ip_by_default_configured,vpc.subnet_no_public_ip_by_default.network,network_security_and_connectivity,aws.vpc.subnet_no_public_ip_by_default:aws.vpc.security_group.dns_hostnames_and_support_configured,0.357,borderline-look,53
