catalog_rule_id,service,category,provider_service,catalog_compliance_ids,has_compliance_ids,ciem_rule_id,confidence,reasoning,ciem_title,ciem_threat_category,ciem_service,ciem_compliance_ids,candidate_count,error
"ec2.ebs.public.snapshot,.rds.instance.no.public.access,.eks.endpoints.not.publicly.accessible,.s3.account.level.public.access.blocks,.awslambda.function.not.publicly.accessible,.emr.cluster.master.nodes.no.public.ip,.ec2.instance.public.ip,.cloudwatch.log.metric.filter.root.usage,.rds.snapshots.public.access,.opensearch.service.domains.not.publicly.accessible,.redshift.cluster.public.access,.s3.bucket.policy.public.write.access,.s3.bucket.public.write.acl,.dms.instance.no.public.access,.sagemaker.notebook.instance.without.direct.internet.access.configured",ebs,security,"boto3.client(""ebs"")",pci_dss_v4_multi_cloud_7.2.1_0091;pci_dss_v4_multi_cloud_7.2.2_0092;pci_dss_v4_multi_cloud_7.2.3_0093;pci_dss_v4_multi_cloud_7.2.5_0094,yes,aws.storage.cloudtrail.ebs_modify_snapshot_attribute_public,high,"This CIEM rule detects when EBS snapshot attributes are modified to make snapshots publicly accessible, directly covering the catalog requirement for preventing public EBS snapshots.",Storage: EBS Modify Snapshot Attribute Public,data_exfiltration,storage,cis_aws_v3_2.7;cis_aws_v3_3.7;cis_azure_v2_3.1;cis_azure_v2_5.2;nist_800_53_r5_SC-7;nist_800_53_r5_SC-28;nist_800_53_r5_AC-4;pci_dss_v4_3.2;pci_dss_v4_4.1;pci_dss_v4_10.2;iso_27001_2022_A.8.12;iso_270,5,
"ec2.ebs.public.snapshot,.rds.instance.no.public.access,.eks.endpoints.not.publicly.accessible,.vpc.endpoint.for.ec2.enabled,.s3.account.level.public.access.blocks,.awslambda.function.not.publicly.accessible,.emr.cluster.master.nodes.no.public.ip,.ec2.instance.public.ip,.rds.snapshots.public.access,.opensearch.service.domains.not.publicly.accessible,.redshift.cluster.public.access,.awslambda.function.inside.vpc,.dms.instance.no.public.access,.sagemaker.notebook.instance.without.direct.internet.access.configured,.s3.bucket.policy.public.write.access,.ec2.securitygroup.allow.ingress.from.internet.to.tcp.port.22,.s3.bucket.public.write.acl,.ec2.securitygroup.allow.ingress.from.internet.to.all.ports,.ec2.networkacl.allow.ingress.tcp.port.22,.ec2.networkacl.allow.ingress.tcp.port.3389,.ec2.securitygroup.default.restrict.traffic",ebs,security,"boto3.client(""ebs"")",pci_dss_v4_multi_cloud_1.3.3_0011,yes,aws.storage.cloudtrail.ebs_modify_snapshot_attribute_public,high,"This CIEM rule detects the event of making an EBS snapshot public, which directly addresses the catalog requirement for EBS snapshots not to have public access.",Storage: EBS Modify Snapshot Attribute Public,data_exfiltration,storage,cis_aws_v3_2.7;cis_aws_v3_3.7;cis_azure_v2_3.1;cis_azure_v2_5.2;nist_800_53_r5_SC-7;nist_800_53_r5_SC-28;nist_800_53_r5_AC-4;pci_dss_v4_3.2;pci_dss_v4_4.1;pci_dss_v4_10.2;iso_27001_2022_A.8.12;iso_270,5,
"ec2.ebs.public.snapshot,.rds.instance.no.public.access,.eks.endpoints.not.publicly.accessible,.vpc.endpoint.for.ec2.enabled,.s3.account.level.public.access.blocks,.awslambda.function.not.publicly.accessible,.emr.cluster.master.nodes.no.public.ip,.ec2.instance.public.ip,.rds.snapshots.public.access,.opensearch.service.domains.not.publicly.accessible,.redshift.cluster.public.access,.awslambda.function.inside.vpc,.ec2.securitygroup.allow.ingress.from.internet.to.tcp.port.22,.dms.instance.no.public.access,.sagemaker.notebook.instance.without.direct.internet.access.configured",ebs,security,"boto3.client(""ebs"")",pci_dss_v4_multi_cloud_2.2.2_0021,yes,aws.storage.cloudtrail.ebs_modify_snapshot_attribute_public,high,"This CIEM rule detects when an EBS snapshot is made publicly accessible via the ModifySnapshotAttribute API call, which directly addresses the catalog requirement for EBS snapshots not to have public access.",Storage: EBS Modify Snapshot Attribute Public,data_exfiltration,storage,cis_aws_v3_2.7;cis_aws_v3_3.7;cis_azure_v2_3.1;cis_azure_v2_5.2;nist_800_53_r5_SC-7;nist_800_53_r5_SC-28;nist_800_53_r5_AC-4;pci_dss_v4_3.2;pci_dss_v4_4.1;pci_dss_v4_10.2;iso_27001_2022_A.8.12;iso_270,5,
vpc.flow.logs.enabled,flow,security,"boto3.client(""flow"")",gdpr_multi_cloud_Article_25_Data_protection_by_design_and_by_defaul_0001;gdpr_multi_cloud_Article_30_Records_of_processing_activities_0002;hipaa_multi_cloud_164_308_a_1_ii_d_0003;hipaa_multi_cloud_164_308_a_3_ii_a_0005;hipaa_multi_cloud_164_308_a_6_ii_0016;hipaa_multi_cloud_164_312_b_0026;hipaa_multi_cloud_164_312_c_2_0028,yes,aws.vpc.cloudtrail.flow_logs_deleted,high,"This CIEM rule detects when VPC flow logs are deleted, which directly addresses the catalog requirement for flow logs to be enabled by alerting when they are disabled/removed.",VPC: Flow Logs Deleted,defense_evasion,vpc,cis_aws_v3_3.1;cis_aws_v3_3.2;cis_aws_v3_3.3;cis_aws_v3_3.4;cis_azure_v2_5.1;cis_azure_v2_5.2;cis_azure_v2_5.3;nist_800_53_r5_AU-2;nist_800_53_r5_AU-6;nist_800_53_r5_AU-12;nist_800_53_r5_SI-4;pci_dss_,20,
awslambda.function.not.publicly.accessible,function,security,"boto3.client(""function"")",hipaa_multi_cloud_164_308_a_1_ii_b_0002;hipaa_multi_cloud_164_308_a_3_i_0004;hipaa_multi_cloud_164_312_a_1_0022;hipaa_multi_cloud_164_312_e_1_0030,yes,aws.lambda.cloudtrail.function_url_public,high,"This CIEM rule detects when a Lambda function URL is made public, which directly addresses the catalog requirement that Lambda functions should not be publicly accessible.",Lambda: Function URL Public,initial_access,lambda,cis_aws_v3_1.14;cis_aws_v3_2.1;cis_azure_v2_1.2;cis_azure_v2_2.1;nist_800_53_r5_AC-17;nist_800_53_r5_IA-2;nist_800_53_r5_SI-3;pci_dss_v4_8.3;pci_dss_v4_11.5;iso_27001_2022_A.8.5;iso_27001_2022_A.9.4,20,
rds.instance.no.public.access,instance,security,"boto3.client(""instance"")",hipaa_multi_cloud_164_308_a_3_i_0004;hipaa_multi_cloud_164_312_a_1_0022,yes,aws.storage.cloudtrail.rds_modify_db_instance_public,high,"This CIEM rule directly detects the RDS ModifyDBInstance API call that can enable public access, which is the exact event that would violate the catalog rule requiring RDS instances to have no public access.",Storage: RDS Modify Db Instance Public,initial_access,storage,cis_aws_v3_1.14;cis_aws_v3_2.1;cis_azure_v2_1.2;cis_azure_v2_2.1;nist_800_53_r5_AC-17;nist_800_53_r5_IA-2;nist_800_53_r5_SI-3;pci_dss_v4_8.3;pci_dss_v4_11.5;iso_27001_2022_A.8.5;iso_27001_2022_A.9.4,20,
"rds.instance.no.public.access,.ec2.securitygroup.allow.ingress.from.internet.to.all.ports,.ec2.networkacl.allow.ingress.tcp.port.22,.awslambda.function.not.publicly.accessible,.ec2.networkacl.allow.ingress.tcp.port.3389,.redshift.cluster.public.access,.opensearch.service.domains.not.publicly.accessible,.s3.bucket.policy.public.write.access,.awslambda.function.inside.vpc,.s3.bucket.public.write.acl,.dms.instance.no.public.access,.sagemaker.notebook.instance.without.direct.internet.access.configured",instance,security,"boto3.client(""instance"")",pci_dss_v4_multi_cloud_1.3.2_0010,yes,aws.storage.cloudtrail.rds_modify_db_instance_public,high,"This CIEM rule directly detects when RDS instances are modified to become publicly accessible, which matches the catalog requirement for RDS instances to have no public access.",Storage: RDS Modify Db Instance Public,initial_access,storage,cis_aws_v3_1.14;cis_aws_v3_2.1;cis_azure_v2_1.2;cis_azure_v2_2.1;nist_800_53_r5_AC-17;nist_800_53_r5_IA-2;nist_800_53_r5_SI-3;pci_dss_v4_8.3;pci_dss_v4_11.5;iso_27001_2022_A.8.5;iso_27001_2022_A.9.4,20,
aws.k8s.api.anonymous_auth_disabled,k8s,k8s,"boto3.client(""k8s"")",,no,aws.container.eks_audit.anonymous_access,high,"This CIEM rule directly detects anonymous access to Kubernetes clusters, which is the exact security concern addressed by the catalog rule requiring anonymous authentication to be disabled.",Container: Anonymous Access,initial_access,container,cis_aws_v3_1.14;cis_aws_v3_2.1;cis_azure_v2_1.2;cis_azure_v2_2.1;nist_800_53_r5_AC-17;nist_800_53_r5_IA-2;nist_800_53_r5_SI-3;pci_dss_v4_8.3;pci_dss_v4_11.5;iso_27001_2022_A.8.5;iso_27001_2022_A.9.4,20,
aws.k8s.api.kube_system_services_not_public,k8s,containers_kubernetes,"boto3.client(""k8s"")",,no,aws.container.cloudtrail.eks_cluster_public_endpoint,high,"This CIEM rule detects when an EKS cluster endpoint is made publicly accessible, which directly corresponds to the catalog rule's requirement that kube-system services should not be public.",Container: EKS Cluster Public Endpoint,initial_access,container,cis_aws_v3_1.14;cis_aws_v3_2.1;cis_azure_v2_1.2;cis_azure_v2_2.1;nist_800_53_r5_AC-17;nist_800_53_r5_IA-2;nist_800_53_r5_SI-3;pci_dss_v4_8.3;pci_dss_v4_11.5;iso_27001_2022_A.8.5;iso_27001_2022_A.9.4,20,
aws.k8s.api.no_hostpath_mounts,k8s,containers_kubernetes,"boto3.client(""k8s"")",,no,aws.container.eks_audit.hostpath_mount,high,"This CIEM rule directly detects hostPath mount events in EKS audit logs, which corresponds to the catalog rule's requirement to prevent hostPath mounts in Kubernetes configurations.",Container: Hostpath Mount,privilege_escalation,container,cis_aws_v3_1.1;cis_aws_v3_1.16;cis_aws_v3_1.17;cis_azure_v2_1.1;cis_azure_v2_2.1;cis_azure_v2_3.1;nist_800_53_r5_AC-2;nist_800_53_r5_AC-3;nist_800_53_r5_AC-6;nist_800_53_r5_IA-2;pci_dss_v4_7.1;pci_dss,20,
aws.k8s.api.no_privileged_containers,k8s,containers_kubernetes,"boto3.client(""k8s"")",,no,aws.container.eks_audit.privileged_pod,high,"This CIEM rule directly detects the creation of privileged Kubernetes pods, which is the exact security violation the catalog rule aims to prevent.",Container: Privileged Pod,privilege_escalation,container,cis_aws_v3_1.1;cis_aws_v3_1.16;cis_aws_v3_1.17;cis_azure_v2_1.1;cis_azure_v2_2.1;cis_azure_v2_3.1;nist_800_53_r5_AC-2;nist_800_53_r5_AC-3;nist_800_53_r5_AC-6;nist_800_53_r5_IA-2;pci_dss_v4_7.1;pci_dss,20,
aws.kms.cmk_not_deleted_unintentionally:aws.kms.alias.alias_points_to_active_key,kms,,"boto3.client(""kms"")","canada_pbmm_moderate_multi_cloud_CCCS_CM-6_0046,canada_pbmm_moderate_multi_cloud_CCCS_CM-9_0049,canada_pbmm_moderate_multi_cloud_CCCS_CP-9_0059,canada_pbmm_moderate_multi_cloud_CCCS_SC-12_0135,canada_pbmm_moderate_multi_cloud_CCCS_SC-13_0136,canada_pbmm_moderate_multi_cloud_CCCS_SC-28_0144,cis_aws_aws_2.2.1_0040,cis_aws_aws_2.3.1_0147,cis_aws_aws_3.3.1_0169,cis_aws_aws_3.5_0047,cis_aws_aws_3.6_0048,cis_aws_aws_4.5_0024,cis_aws_aws_4.6_0025,cis_aws_aws_5.3.1_0186,cis_aws_aws_6.1.1_0174,cisa_ce_v1_multi_cloud_Your_Data-2_0018,fedramp_moderate_multi_cloud_CM-6_0116,fedramp_moderate_multi_cloud_CM-6_1_0117,fedramp_moderate_multi_cloud_CM-6_2_0118,fedramp_moderate_multi_cloud_CM-9_0128,fedramp_moderate_multi_cloud_CP-9_0160,fedramp_moderate_multi_cloud_CP-9_1_0161,fedramp_moderate_multi_cloud_CP-9_2_0162,fedramp_moderate_multi_cloud_CP-9_3_0163,fedramp_moderate_multi_cloud_CP-9_5_0164,fedramp_moderate_multi_cloud_CP-9_8_0165,fedramp_moderate_multi_cloud_SC-12_0346,fedramp_moderate_multi_cloud_SC-13_0348,fedramp_moderate_multi_cloud_SC-28_0357,gdpr_multi_cloud_Article_25_Data_protection_by_design_and_by_defaul_0001,gdpr_multi_cloud_Article_30_Records_of_processing_activities_0002,gdpr_multi_cloud_Article_32_Security_of_processing_0003,hipaa_multi_cloud_164_308_a_1_ii_b_0002,hipaa_multi_cloud_164_308_a_1_ii_d_0003,hipaa_multi_cloud_164_308_a_4_ii_a_0009,hipaa_multi_cloud_164_312_a_2_iv_0025,hipaa_multi_cloud_164_312_c_1_0027,hipaa_multi_cloud_164_312_c_2_0028,hipaa_multi_cloud_164_312_e_2_ii_0032,iso27001_2022_multi_cloud_A.10.1_0001,iso27001_2022_multi_cloud_A.8.11_0066,iso27001_2022_multi_cloud_A.8.12_0067,iso27001_2022_multi_cloud_A.8.13_0068,iso27001_2022_multi_cloud_A.8.15_0070,iso27001_2022_multi_cloud_A.8.16_0071,iso27001_2022_multi_cloud_A.8.24_0080,iso27001_2022_multi_cloud_A.8.3_0085,iso27001_2022_multi_cloud_A.8.5_0092,nist_800_171_r2_multi_cloud_3_13_11_3.13.11_Employ_FIPS-validated_cryptograph_0005,nist_800_171_r2_multi_cloud_3_13_16_3.13.16_Protect_the_confidentiality_of_CU_0007,nist_800_171_r2_multi_cloud_3_3_8_3.3.8_Protect_audit_information_and_audit_l_0036,nist_800_171_r2_multi_cloud_3_5_10_3.5.10_Store_and_transmit_only_cryptograph_0042,nist_800_53_rev5_multi_cloud_AU-9_3_0261,nist_800_53_rev5_multi_cloud_CM-6-a_0397,nist_800_53_rev5_multi_cloud_CM-9-b_0428,nist_800_53_rev5_multi_cloud_CP-9-d_0512,nist_800_53_rev5_multi_cloud_CP-9_8_0508,nist_800_53_rev5_multi_cloud_PM-11-b_0867,nist_800_53_rev5_multi_cloud_SA-9_6_1118,nist_800_53_rev5_multi_cloud_SC-12_1_1236,nist_800_53_rev5_multi_cloud_SC-12_2_1237,nist_800_53_rev5_multi_cloud_SC-12_3_1238,nist_800_53_rev5_multi_cloud_SC-12_3_1239,nist_800_53_rev5_multi_cloud_SC-12_3_1240,nist_800_53_rev5_multi_cloud_SC-12_4_1241,nist_800_53_rev5_multi_cloud_SC-12_5_1242,nist_800_53_rev5_multi_cloud_SC-12_6_1243,nist_800_53_rev5_multi_cloud_SC-13-a_1248,nist_800_53_rev5_multi_cloud_SC-16_1_1256,nist_800_53_rev5_multi_cloud_SC-28_1_1280,nist_800_53_rev5_multi_cloud_SC-8_3_1229,nist_800_53_rev5_multi_cloud_SC-8_4_1230,nist_800_53_rev5_multi_cloud_SI-19_4_1445,pci_dss_v4_multi_cloud_3.4.1_0039,pci_dss_v4_multi_cloud_3.4.2_0040,pci_dss_v4_multi_cloud_3.5.1.2_0042,pci_dss_v4_multi_cloud_3.5.1.3_0043,pci_dss_v4_multi_cloud_8.2.1_0101,pci_dss_v4_multi_cloud_8.2.6_0104,pci_dss_v4_multi_cloud_8.2.7_0105,pci_dss_v4_multi_cloud_8.2.8_0106,rbi_bank_multi_cloud_11.1_0004,rbi_bank_multi_cloud_3.3_0016,rbi_bank_multi_cloud_8.1_0024,rbi_nbfc_multi_cloud_2.9_0013,soc2_multi_cloud_a1_2_0025,soc2_multi_cloud_cc_6_7_0013,soc2_multi_cloud_cc_7_3_0017,soc2_multi_cloud_cc_7_5_0019;iso27001_2022_multi_cloud_A.8.11_0066;iso27001_2022_multi_cloud_A.8.24_0080",yes,aws.secsvc.cloudtrail.kms_schedule_key_deletion,high,"This CIEM rule detects KMS key deletion scheduling events, which directly addresses the catalog rule's concern about CMKs not being deleted unintentionally by alerting on the deletion action.",Security Services: KMS Schedule Key Deletion,data_destruction,secsvc,cis_aws_v3_2.1;cis_aws_v3_2.6;cis_aws_v3_3.1;cis_azure_v2_3.1;cis_azure_v2_7.5;nist_800_53_r5_CP-9;nist_800_53_r5_CP-10;nist_800_53_r5_SI-12;pci_dss_v4_3.2;pci_dss_v4_3.3;pci_dss_v4_12.3;iso_27001_202,8,
