catalog_rule_id,service,category,provider_service,catalog_compliance_ids,has_compliance_ids,config_covered,config_rule_count,config_best_confidence,config_rule_ids,ciem_via_yaml_covered,ciem_via_yaml_count,ciem_via_yaml_best_conf,ciem_via_yaml_rule_ids,ciem_direct_covered,ciem_direct_count,ciem_direct_best_comp_j,ciem_direct_best_tok_j,ciem_direct_rule_ids,coverage_status,covered
aws.api_gateway.request_validator.api_content_type_whitelist_enforced,api_gateway,api_security,"boto3.client(""api_gateway"")",,no,no,0,none,,no,0,none,,no,0,0.0,0.0,,not_covered,no
aws.api_gateway.request_validator.api_request_body_size_limit_configured,api_gateway,api_security,"boto3.client(""api_gateway"")",,no,no,0,none,,no,0,none,,no,0,0.0,0.0,,not_covered,no
aws.api_gateway.request_validator.api_required_security_headers_enforced,api_gateway,api_security,"boto3.client(""api_gateway"")",,no,no,0,none,,no,0,none,,no,0,0.0,0.0,,not_covered,no
aws.api_gateway.request_validator.api_response_schema_validation_enabled,api_gateway,api_security,"boto3.client(""api_gateway"")",,no,no,0,none,,no,0,none,,no,0,0.0,0.0,,not_covered,no
aws.api_gateway.rest_api.waf_attached,api_gateway,platform,"boto3.client(""api_gateway"")",,no,no,0,none,,no,0,none,,no,0,0.0,0.0,,not_covered,no
aws.api_gateway.stage.api_execution_logging_level_minimum_error,api_gateway,api_security,"boto3.client(""api_gateway"")",,no,no,0,none,,no,0,none,,no,0,0.0,0.0,,not_covered,no
aws.api_gateway.stage.api_logs_retention_days_minimum,api_gateway,api_security,"boto3.client(""api_gateway"")",,no,no,0,none,,no,0,none,,no,0,0.0,0.0,,not_covered,no
aws.api_gateway.usage_plan.quota_limits_configured,api_gateway,platform,"boto3.client(""api_gateway"")",,no,no,0,none,,no,0,none,,no,0,0.0,0.0,,not_covered,no
aws.api_gateway.v2_api.waf_attached,api_gateway,platform,"boto3.client(""api_gateway"")",,no,no,0,none,,no,0,none,,no,0,0.0,0.0,,not_covered,no
aws.api_gatewayv2.stage.api_access_logging_enabled,api_gatewayv2,api_security,"boto3.client(""api_gatewayv2"")",,no,no,0,none,,no,0,none,,no,0,0.0,0.0,,not_covered,no
aws.apigateway.api_gateway_https_required:nan,apigateway,,"boto3.client(""apigateway"")",,no,no,0,none,,no,0,none,,no,0,0.0,0.0,,not_covered,no
aws.apigateway.authorization_enabled:nan,apigateway,,"boto3.client(""apigateway"")",,no,no,0,none,,no,0,none,,no,0,0.0,0.0,,not_covered,no
aws.apigateway.certificate.enabled:nan,apigateway,,"boto3.client(""apigateway"")",,no,no,0,none,,no,0,none,,no,0,0.0,0.0,,not_covered,no
aws.apigateway.restapi_cache_encrypted:nan,apigateway,,"boto3.client(""apigateway"")",,no,no,0,none,,no,0,none,,no,0,0.0,0.0,,not_covered,no
aws.apigateway.restapi_logging_enabled:nan,apigateway,,"boto3.client(""apigateway"")",,no,no,0,none,,no,0,none,,no,0,0.0,0.0,,not_covered,no
aws.apigateway.restapi_public:nan,apigateway,,"boto3.client(""apigateway"")",,no,no,0,none,,no,0,none,,no,0,0.0,0.0,,not_covered,no
aws.apigateway.restapi_waf_acl_attached:nan,apigateway,,"boto3.client(""apigateway"")",,no,no,0,none,,no,0,none,,no,0,0.0,0.0,,not_covered,no
aws.apigatewayv2.api_access_logging_enabled:nan,apigatewayv2,,"boto3.client(""apigatewayv2"")",,no,no,0,none,,no,0,none,,no,0,0.0,0.0,,not_covered,no
aws.appstream.fleet_default_internet_access_disabled:nan,appstream,,"boto3.client(""appstream"")",,no,no,0,none,,no,0,none,,no,0,0.0,0.0,,not_covered,no
aws.appsync.field_level_logging_enabled:nan,appsync,,"boto3.client(""appsync"")",,no,no,0,none,,no,0,none,,no,0,0.0,0.0,,not_covered,no
aws.autoscaling.group.capacity_rebalance_enabled:nan,autoscaling,,"boto3.client(""autoscaling"")",,no,no,0,none,,no,0,none,,no,0,0.0,0.0,,not_covered,no
aws.autoscaling.group.configured:nan,autoscaling,,"boto3.client(""autoscaling"")",,no,no,0,none,,no,0,none,,no,0,0.0,0.0,,not_covered,no
aws.autoscaling.group.health_check_enabled:nan,autoscaling,,"boto3.client(""autoscaling"")",,no,no,0,none,,no,0,none,,no,0,0.0,0.0,,not_covered,no
aws.autoscaling.group.multiple_az:nan,autoscaling,,"boto3.client(""autoscaling"")",,no,no,0,none,,no,0,none,,no,0,0.0,0.0,,not_covered,no
aws.backup.backup_vault.encrypted_at_rest_cmek,backup,dr,"boto3.client(""backup"")",,no,no,0,none,,no,0,none,,no,0,0.0,0.0,,not_covered,no
aws.backup.plans_exist:aws.backup.backup_plan.exists,backup,,"boto3.client(""backup"")","iso27001_2022_multi_cloud_A.8.13_0068;iso27001_2022_multi_cloud_A.8.13_0068,iso27001_2022_multi_cloud_A.8.24_0080,pci_dss_v4_multi_cloud_3.5.1.3_0043,soc2_multi_cloud_a1_2_0025",yes,no,0,none,,no,0,none,,no,0,0.0,0.0,,not_covered,no
"s3.bucket.cross.region.replication,.ec2.ebs.public.snapshot,.rds.instance.no.public.access,.eks.endpoints.not.publicly.accessible,.vpc.endpoint.for.ec2.enabled,.s3.account.level.public.access.blocks,.awslambda.function.not.publicly.accessible,.emr.cluster.master.nodes.no.public.ip,.ec2.instance.public.ip,.rds.snapshots.public.access,.opensearch.service.domains.not.publicly.accessible,.redshift.cluster.public.access,.awslambda.function.inside.vpc,.ec2.securitygroup.allow.ingress.from.internet.to.tcp.port.22,.dms.instance.no.public.access,.sagemaker.notebook.instance.without.direct.internet.access.configured,.ssm.managed.compliant.patching,.rds.cluster.default.admin,.rds.instance.default.admin",bucket,security,"boto3.client(""bucket"")",pci_dss_v4_multi_cloud_2.2.1_0020;pci_dss_v4_multi_cloud_2.2.3_0022;pci_dss_v4_multi_cloud_2.2.6_0025;pci_dss_v4_multi_cloud_2.2.7_0026,yes,no,0,none,,no,0,none,,no,0,0.0,0.0,,not_covered,no
"s3.bucket.lifecycle.enabled,.ec2.ebs.volume.protected.by.backup.plan,.rds.instance.backup.enabled,.rds.instance.protected.by.backup.plan,.dynamodb.table.protected.by.backup.plan,.redshift.cluster.automated.snapshot,.elasticache.redis.cluster.backup.enabled,.dynamodb.tables.pitr.enabled,.s3.bucket.object.versioning,.s3.bucket.cross.region.replication",bucket,security,"boto3.client(""bucket"")",pci_dss_v4_multi_cloud_3.1.1_0032;pci_dss_v4_multi_cloud_3.1.2_0033,yes,no,0,none,,no,0,none,,no,0,0.0,0.0,,not_covered,no
s3.bucket.secure.transport.policy,bucket,security,"boto3.client(""bucket"")",gdpr_multi_cloud_Article_32_Security_of_processing_0003;hipaa_multi_cloud_164_308_a_1_ii_b_0002;hipaa_multi_cloud_164_312_a_2_iv_0025;hipaa_multi_cloud_164_312_c_1_0027;hipaa_multi_cloud_164_312_c_2_0028;hipaa_multi_cloud_164_312_e_1_0030;hipaa_multi_cloud_164_312_e_2_i_0031;hipaa_multi_cloud_164_312_e_2_ii_0032,yes,no,0,none,,no,0,none,,no,0,0.0,0.0,,not_covered,no
s3.bucket.server.access.logging.enabled,bucket,security,"boto3.client(""bucket"")",hipaa_multi_cloud_164_308_a_1_ii_d_0003;hipaa_multi_cloud_164_308_a_3_ii_a_0005;hipaa_multi_cloud_164_308_a_6_ii_0016;hipaa_multi_cloud_164_312_b_0026;hipaa_multi_cloud_164_312_e_2_i_0031,yes,no,0,none,,no,0,none,,no,0,0.0,0.0,,not_covered,no
"s3.bucket.server.access.logging.enabled,.cloudtrail.s3.dataevents.read.enabled,.cloudtrail.multi.region.enabled,.cloudtrail.cloudwatch.logging.enabled,.redshift.cluster.audit.logging",bucket,security,"boto3.client(""bucket"")",pci_dss_v4_multi_cloud_10.2.1_0143;pci_dss_v4_multi_cloud_10.3.1_0151;pci_dss_v4_multi_cloud_10.3.2_0152;pci_dss_v4_multi_cloud_10.3.3_0153;pci_dss_v4_multi_cloud_10.3.4_0154,yes,no,0,none,,no,0,none,,no,0,0.0,0.0,,not_covered,no
"s3.bucket.server.access.logging.enabled,.cloudtrail.s3.dataevents.read.enabled,.cloudtrail.multi.region.enabled,.cloudtrail.cloudwatch.logging.enabled,.redshift.cluster.audit.logging,.config.recorder.all.regions.enabled,.s3.bucket.object.versioning,.cloudtrail.log.file.validation.enabled,.s3.bucket.cross.region.replication",bucket,security,"boto3.client(""bucket"")",pci_dss_v4_multi_cloud_10.5.1_0157,yes,no,0,none,,no,0,none,,no,0,0.0,0.0,,not_covered,no
acm.certificates.expiration.check,certificates,security,"boto3.client(""certificates"")",gdpr_multi_cloud_Article_32_Security_of_processing_0003;hipaa_multi_cloud_164_308_a_4_ii_a_0009;hipaa_multi_cloud_164_312_e_1_0030;pci_dss_v4_multi_cloud_3.6.1.1_0045,yes,no,0,none,,no,0,none,,no,0,0.0,0.0,,not_covered,no
"acm.certificates.expiration.check,.elbv2.ssl.listeners,.elb.ssl.listeners,.cloudfront.distributions.using.deprecated.ssl.protocols",certificates,security,"boto3.client(""certificates"")",pci_dss_v4_multi_cloud_2.3.1_0027;pci_dss_v4_multi_cloud_2.3.2_0028,yes,no,0,none,,no,0,none,,no,0,0.0,0.0,,not_covered,no
"acm.certificates.expiration.check,.s3.bucket.enforces.ssl,.elbv2.ssl.listeners,.opensearch.service.domains.node.to.node.encryption.enabled,.elb.ssl.listeners,.opensearch.service.domains.https.communications.enforced,.cloudfront.distributions.using.deprecated.ssl.protocols,.cloudfront.distributions.origin.traffic.encrypted,.vpc.flow.logs.enabled",certificates,security,"boto3.client(""certificates"")",pci_dss_v4_multi_cloud_4.1.1_0058;pci_dss_v4_multi_cloud_4.1.2_0059;pci_dss_v4_multi_cloud_4.1.4_0060,yes,no,0,none,,no,0,none,,no,0,0.0,0.0,,not_covered,no
cloudwatch.changes.to.vpcs.alarm.configured,changes,security,"boto3.client(""changes"")",hipaa_multi_cloud_164_308_a_6_i_0015,yes,no,0,none,,no,0,none,,no,0,0.0,0.0,,not_covered,no
aws.cloudtrail.group.changes:aws.cloudtrail.trail.alert_destinations_configured,cloudtrail,,"boto3.client(""cloudtrail"")",cis_aws_aws_5.10_0059,yes,no,0,none,,no,0,none,,no,0,0.0,0.0,,not_covered,no
cloudtrail.cloudwatch.logging.enabled,cloudwatch,security,"boto3.client(""cloudwatch"")",gdpr_multi_cloud_Article_25_Data_protection_by_design_and_by_defaul_0001;gdpr_multi_cloud_Article_30_Records_of_processing_activities_0002;hipaa_multi_cloud_164_308_a_1_ii_d_0003;hipaa_multi_cloud_164_308_a_6_ii_0016;hipaa_multi_cloud_164_312_b_0026;hipaa_multi_cloud_164_312_e_2_i_0031,yes,no,0,none,,no,0,none,,no,0,0.0,0.0,,not_covered,no
emr.cluster.master.nodes.no.public.ip,cluster,security,"boto3.client(""cluster"")",hipaa_multi_cloud_164_308_a_1_ii_b_0002;hipaa_multi_cloud_164_312_a_1_0022,yes,no,0,none,,no,0,none,,no,0,0.0,0.0,,not_covered,no
"rds.cluster.default.admin,.rds.instance.default.admin",cluster,security,"boto3.client(""cluster"")",pci_dss_v4_multi_cloud_2.1.1_0018;pci_dss_v4_multi_cloud_2.1.2_0019,yes,no,0,none,,no,0,none,,no,0,0.0,0.0,,not_covered,no
redshift.cluster.audit.logging,cluster,security,"boto3.client(""cluster"")",gdpr_multi_cloud_Article_30_Records_of_processing_activities_0002;gdpr_multi_cloud_Article_32_Security_of_processing_0003;hipaa_multi_cloud_164_308_a_1_ii_b_0002;hipaa_multi_cloud_164_308_a_1_ii_d_0003;hipaa_multi_cloud_164_308_a_3_ii_a_0005;hipaa_multi_cloud_164_308_a_4_ii_a_0009;hipaa_multi_cloud_164_312_a_2_iv_0025;hipaa_multi_cloud_164_312_b_0026;hipaa_multi_cloud_164_312_e_2_ii_0032,yes,no,0,none,,no,0,none,,no,0,0.0,0.0,,not_covered,no
redshift.cluster.automated.snapshot,cluster,security,"boto3.client(""cluster"")",gdpr_multi_cloud_Article_32_Security_of_processing_0003;hipaa_multi_cloud_164_308_a_4_ii_a_0009;hipaa_multi_cloud_164_308_a_7_i_0017;hipaa_multi_cloud_164_308_a_7_ii_a_0018;hipaa_multi_cloud_164_308_a_7_ii_b_0019;hipaa_multi_cloud_164_308_a_7_ii_c_0020;hipaa_multi_cloud_164_312_a_2_ii_0024,yes,no,0,none,,no,0,none,,no,0,0.0,0.0,,not_covered,no
redshift.cluster.public.access,cluster,security,"boto3.client(""cluster"")",hipaa_multi_cloud_164_308_a_1_ii_b_0002;hipaa_multi_cloud_164_308_a_3_i_0004;hipaa_multi_cloud_164_312_a_1_0022,yes,no,0,none,,no,0,none,,no,0,0.0,0.0,,not_covered,no
kms.cmk.rotation.enabled,cmk,security,"boto3.client(""cmk"")",gdpr_multi_cloud_Article_25_Data_protection_by_design_and_by_defaul_0001;gdpr_multi_cloud_Article_30_Records_of_processing_activities_0002;hipaa_multi_cloud_164_312_a_2_iv_0025,yes,no,0,none,,no,0,none,,no,0,0.0,0.0,,not_covered,no
aws.codeartifact.packages_external_public_publishing_disabled:nan,codeartifact,,"boto3.client(""codeartifact"")",,no,no,0,none,,no,0,none,,no,0,0.0,0.0,,not_covered,no
aws.codebuild.group.export_encrypted:nan,codebuild,,"boto3.client(""codebuild"")",,no,no,0,none,,no,0,none,,no,0,0.0,0.0,,not_covered,no
aws.codebuild.project_envvar_awscred_check:nan,codebuild,,"boto3.client(""codebuild"")",,no,no,0,none,,no,0,none,,no,0,0.0,0.0,,not_covered,no
aws.codebuild.project_logging_enabled:nan,codebuild,,"boto3.client(""codebuild"")",,no,no,0,none,,no,0,none,,no,0,0.0,0.0,,not_covered,no
aws.codebuild.project_s3_logs_encrypted:nan,codebuild,,"boto3.client(""codebuild"")",,no,no,0,none,,no,0,none,,no,0,0.0,0.0,,not_covered,no
aws.codebuild.project_source_repo_url_check:nan,codebuild,,"boto3.client(""codebuild"")",,no,no,0,none,,no,0,none,,no,0,0.0,0.0,,not_covered,no
aws.control_tower.enrollment.all_accounts_enrolled_in_org,control_tower,governance,"boto3.client(""control_tower"")",,no,no,0,none,,no,0,none,,no,0,0.0,0.0,,not_covered,no
aws.control_tower.enrollment.block_leave_org_by_policy,control_tower,governance,"boto3.client(""control_tower"")",,no,no,0,none,,no,0,none,,no,0,0.0,0.0,,not_covered,no
aws.control_tower.enrollment.restrict_region_usage_by_policy_where_required,control_tower,governance,"boto3.client(""control_tower"")",,no,no,0,none,,no,0,none,,no,0,0.0,0.0,,not_covered,no
aws.control_tower.enrollment.scps_enabled,control_tower,governance,"boto3.client(""control_tower"")",,no,no,0,none,,no,0,none,,no,0,0.0,0.0,,not_covered,no
aws.control_tower.landing_zone.all_accounts_enrolled_in_org,control_tower,governance,"boto3.client(""control_tower"")",,no,no,0,none,,no,0,none,,no,0,0.0,0.0,,not_covered,no
aws.control_tower.landing_zone.block_leave_org_by_policy,control_tower,governance,"boto3.client(""control_tower"")",,no,no,0,none,,no,0,none,,no,0,0.0,0.0,,not_covered,no
aws.control_tower.landing_zone.restrict_region_usage_by_policy_where_required,control_tower,governance,"boto3.client(""control_tower"")",,no,no,0,none,,no,0,none,,no,0,0.0,0.0,,not_covered,no
aws.control_tower.landing_zone.scps_enabled,control_tower,governance,"boto3.client(""control_tower"")",,no,no,0,none,,no,0,none,,no,0,0.0,0.0,,not_covered,no
aws.cost_explorer.anomaly_detector.alert_destinations_configured,cost_explorer,cost,"boto3.client(""cost_explorer"")",,no,no,0,none,,no,0,none,,no,0,0.0,0.0,,not_covered,no
aws.cost_explorer.anomaly_detector.detectors_enabled,cost_explorer,cost,"boto3.client(""cost_explorer"")",,no,no,0,none,,no,0,none,,no,0,0.0,0.0,,not_covered,no
aws.cost_explorer.anomaly_detector.severity_thresholds_configured,cost_explorer,cost,"boto3.client(""cost_explorer"")",,no,no,0,none,,no,0,none,,no,0,0.0,0.0,,not_covered,no
aws.cost_explorer.cost_allocation_tag.cost_tag_policy_enforced,cost_explorer,cost,"boto3.client(""cost_explorer"")",,no,no,0,none,,no,0,none,,no,0,0.0,0.0,,not_covered,no
aws.cost_explorer.cost_allocation_tag.required_cost_tags_present,cost_explorer,cost,"boto3.client(""cost_explorer"")",,no,no,0,none,,no,0,none,,no,0,0.0,0.0,,not_covered,no
aws.cost_explorer.cost_allocation_tag.untagged_resource_alerts_enabled,cost_explorer,cost,"boto3.client(""cost_explorer"")",,no,no,0,none,,no,0,none,,no,0,0.0,0.0,,not_covered,no
aws.cost_explorer.cost_category.billing_admins_mfa_required,cost_explorer,cost,"boto3.client(""cost_explorer"")",,no,no,0,none,,no,0,none,,no,0,0.0,0.0,,not_covered,no
aws.cost_explorer.cost_category.billing_console_rbac_least_privilege,cost_explorer,cost,"boto3.client(""cost_explorer"")",,no,no,0,none,,no,0,none,,no,0,0.0,0.0,,not_covered,no
aws.cost_explorer.cost_category.cost_data_exports_private_and_encrypted,cost_explorer,cost,"boto3.client(""cost_explorer"")",,no,no,0,none,,no,0,none,,no,0,0.0,0.0,,not_covered,no
aws.cost_explorer.cost_category.cost_export_destinations_least_privilege,cost_explorer,cost,"boto3.client(""cost_explorer"")",,no,no,0,none,,no,0,none,,no,0,0.0,0.0,,not_covered,no
aws.datasync.task_logging_enabled:nan,datasync,,"boto3.client(""datasync"")",,no,no,0,none,,no,0,none,,no,0,0.0,0.0,,not_covered,no
elbv2.deletion.protection,deletion,security,"boto3.client(""deletion"")",hipaa_multi_cloud_164_308_a_1_ii_b_0002,yes,no,0,none,,no,0,none,,no,0,0.0,0.0,,not_covered,no
aws.directoryservice.directory_log_forwarding_enabled:nan,directoryservice,,"boto3.client(""directoryservice"")",,no,no,0,none,,no,0,none,,no,0,0.0,0.0,,not_covered,no
aws.directoryservice.supported_mfa_radius_enabled:nan,directoryservice,,"boto3.client(""directoryservice"")",,no,no,0,none,,no,0,none,,no,0,0.0,0.0,,not_covered,no
cloudfront.distributions.logging.enabled,distributions,security,"boto3.client(""distributions"")",pci_dss_v4_multi_cloud_10.2.1.6_0149,yes,no,0,none,,no,0,none,,no,0,0.0,0.0,,not_covered,no
aws.dms.endpoint_redis_in_transit_encryption_enabled:nan,dms,,"boto3.client(""dms"")",,no,no,0,none,,no,0,none,,no,0,0.0,0.0,,not_covered,no
aws.dms.instance.multi_az_enabled:nan,dms,,"boto3.client(""dms"")",,no,no,0,none,,no,0,none,,no,0,0.0,0.0,,not_covered,no
aws.dms.replication_task_source_logging_enabled:nan,dms,,"boto3.client(""dms"")",,no,no,0,none,,no,0,none,,no,0,0.0,0.0,,not_covered,no
aws.dms.replication_task_target_logging_enabled:nan,dms,,"boto3.client(""dms"")",,no,no,0,none,,no,0,none,,no,0,0.0,0.0,,not_covered,no
aws.documentdb.cluster.encryption_at_rest_enabled:aws.documentdb.cluster.encryption_at_rest_enabled,documentdb,,"boto3.client(""documentdb"")",,no,no,0,none,,no,0,none,,no,0,0.0,0.0,,not_covered,no
"ec2.ebs.public.snapshot,.rds.instance.no.public.access,.awslambda.function.not.publicly.accessible,.rds.snapshots.public.access,.opensearch.service.domains.not.publicly.accessible,.redshift.cluster.public.access,.s3.bucket.policy.public.write.access,.awslambda.function.inside.vpc,.ec2.securitygroup.allow.ingress.from.internet.to.tcp.port.22,.s3.bucket.public.write.acl,.dms.instance.no.public.access,.sagemaker.notebook.instance.without.direct.internet.access.configured",ebs,security,"boto3.client(""ebs"")",pci_dss_v4_multi_cloud_1.3.1_0009,yes,no,0,none,,no,0,none,,no,0,0.0,0.0,,not_covered,no
"ec2.ebs.public.snapshot,.rds.instance.no.public.access,.ec2.securitygroup.default.restrict.traffic,.ec2.securitygroup.allow.ingress.from.internet.to.all.ports,.ec2.networkacl.allow.ingress.tcp.port.22,.awslambda.function.not.publicly.accessible,.rds.snapshots.public.access,.opensearch.service.domains.not.publicly.accessible,.redshift.cluster.public.access,.s3.bucket.policy.public.write.access,.awslambda.function.inside.vpc,.ec2.securitygroup.allow.ingress.from.internet.to.tcp.port.22,.s3.bucket.public.write.acl,.dms.instance.no.public.access,.sagemaker.notebook.instance.without.direct.internet.access.configured,.ec2.networkacl.allow.ingress.tcp.port.3389",ebs,security,"boto3.client(""ebs"")",pci_dss_v4_multi_cloud_1.2.1_0003;pci_dss_v4_multi_cloud_1.2.5_0005;pci_dss_v4_multi_cloud_1.2.6_0006;pci_dss_v4_multi_cloud_1.2.7_0007;pci_dss_v4_multi_cloud_1.2.8_0008,yes,no,0,none,,no,0,none,,no,0,0.0,0.0,,not_covered,no
"ec2.ebs.public.snapshot,.rds.instance.no.public.access,.eks.endpoints.not.publicly.accessible,.s3.account.level.public.access.blocks,.awslambda.function.not.publicly.accessible,.emr.cluster.master.nodes.no.public.ip,.ec2.instance.public.ip,.cloudwatch.log.metric.filter.root.usage,.rds.snapshots.public.access,.opensearch.service.domains.not.publicly.accessible,.redshift.cluster.public.access,.s3.bucket.policy.public.write.access,.s3.bucket.public.write.acl,.dms.instance.no.public.access,.sagemaker.notebook.instance.without.direct.internet.access.configured",ebs,security,"boto3.client(""ebs"")",pci_dss_v4_multi_cloud_7.2.1_0091;pci_dss_v4_multi_cloud_7.2.2_0092;pci_dss_v4_multi_cloud_7.2.3_0093;pci_dss_v4_multi_cloud_7.2.5_0094,yes,no,0,none,,no,0,none,,no,0,0.0,0.0,,not_covered,no
"ec2.ebs.public.snapshot,.rds.instance.no.public.access,.eks.endpoints.not.publicly.accessible,.vpc.endpoint.for.ec2.enabled,.s3.account.level.public.access.blocks,.awslambda.function.not.publicly.accessible,.emr.cluster.master.nodes.no.public.ip,.ec2.instance.public.ip,.rds.snapshots.public.access,.opensearch.service.domains.not.publicly.accessible,.redshift.cluster.public.access,.awslambda.function.inside.vpc,.dms.instance.no.public.access,.sagemaker.notebook.instance.without.direct.internet.access.configured,.s3.bucket.policy.public.write.access,.ec2.securitygroup.allow.ingress.from.internet.to.tcp.port.22,.s3.bucket.public.write.acl,.ec2.securitygroup.allow.ingress.from.internet.to.all.ports,.ec2.networkacl.allow.ingress.tcp.port.22,.ec2.networkacl.allow.ingress.tcp.port.3389,.ec2.securitygroup.default.restrict.traffic",ebs,security,"boto3.client(""ebs"")",pci_dss_v4_multi_cloud_1.3.3_0011,yes,no,0,none,,no,0,none,,no,0,0.0,0.0,,not_covered,no
"ec2.ebs.public.snapshot,.rds.instance.no.public.access,.eks.endpoints.not.publicly.accessible,.vpc.endpoint.for.ec2.enabled,.s3.account.level.public.access.blocks,.awslambda.function.not.publicly.accessible,.emr.cluster.master.nodes.no.public.ip,.ec2.instance.public.ip,.rds.snapshots.public.access,.opensearch.service.domains.not.publicly.accessible,.redshift.cluster.public.access,.awslambda.function.inside.vpc,.ec2.securitygroup.allow.ingress.from.internet.to.tcp.port.22,.dms.instance.no.public.access,.sagemaker.notebook.instance.without.direct.internet.access.configured",ebs,security,"boto3.client(""ebs"")",pci_dss_v4_multi_cloud_2.2.2_0021,yes,no,0,none,,no,0,none,,no,0,0.0,0.0,,not_covered,no
