yaml_rule_id,yaml_service,yaml_resource_kind,domain,severity,scope,assertion_id,candidate_rank,similarity,candidate_strength,csv_rule_id,csv_uniform_rule_format,csv_service,csv_category,csv_provider_service,aws_mapped_compliance_functions,aws_mapped_compliance_ids,review_decision
aws.acm.certificates.certificate_expiration_monitored,acm,certificates,logging_monitoring_and_alerting,medium,acm.certificates.logging,logging_monitoring.monitoring.acm_certificates_certificate_expiration_monitored,2,0.5,weak,acm.certificates.expiration.check,acm.certificates.expiration.check,certificates,security,"boto3.client(""certificates"")",acm.certificates.expiration.check,gdpr_multi_cloud_Article_32_Security_of_processing_0003;hipaa_multi_cloud_164_308_a_4_ii_a_0009;hipaa_multi_cloud_164_312_e_1_0030;pci_dss_v4_multi_cloud_3.6.1.1_0045,
aws.acm.privateca.ca_access_rbac_least_privilege,acm,privateca,identity_and_access_management,high,acm.privateca.access_control,identity_access.least_privilege.acm_privateca_ca_access_rbac_least_privilege,1,0.714,weak,aws.acm.private_ca.ca_access_rbac_least_privilege,aws.acm.private_ca.ca_access_rbac_least_privilege,acm,secrets,"boto3.client(""acm"")",,,
aws.acm.privateca.ca_certificate_crl_or_ocsp_configured,acm,privateca,configuration_and_change_management,medium,acm.privateca.configuration,security.configuration.acm_privateca_ca_certificate_crl_or_ocsp_configured,1,0.571,weak,aws.acm.private_ca.crl_or_ocsp_configured,aws.acm.private_ca.crl_or_ocsp_configured,acm,secrets,"boto3.client(""acm"")",,,
aws.acm.privateca.ca_certificate_path_length_constraints_configured,acm,privateca,configuration_and_change_management,medium,acm.privateca.configuration,security.configuration.acm_privateca_ca_certificate_path_length_constraints_configured,1,0.5,weak,aws.acm.private_ca.path_length_constraints_set,aws.acm.private_ca.path_length_constraints_set,acm,secrets,"boto3.client(""acm"")",,,
aws.acm.privateca.ca_certificate_trusted_issuer_verified,acm,privateca,configuration_and_change_management,medium,acm.privateca.configuration,security.configuration.acm_privateca_ca_certificate_trusted_issuer_verified,1,0.5,weak,aws.acm.certificate.trusted_issuer,aws.acm.certificate.trusted_issuer,acm,secrets,"boto3.client(""acm"")",,,
aws.acm.privateca.ca_key_in_hsm_enabled_if_supported,acm,privateca,configuration_and_change_management,medium,acm.privateca.configuration,security.configuration.acm_privateca_ca_key_in_hsm_enabled_if_supported,1,0.5,weak,aws.acm.private_ca.ca_key_in_hsm_where_supported,aws.acm.private_ca.ca_key_in_hsm_where_supported,acm,secrets,"boto3.client(""acm"")",,,
aws.acm.privateca.key_length_minimum,acm,privateca,configuration_and_change_management,medium,acm.privateca.configuration,security.configuration.acm_privateca_key_length_minimum,1,0.6,weak,aws.acm.certificate.key_length_minimum,aws.acm.certificate.key_length_minimum,acm,secrets,"boto3.client(""acm"")",,,
aws.acm.privateca.key_length_minimum,acm,privateca,configuration_and_change_management,medium,acm.privateca.configuration,security.configuration.acm_privateca_key_length_minimum,2,0.5,weak,aws.acm.private_ca.key_length_minimum,aws.acm.private_ca.key_length_minimum,acm,secrets,"boto3.client(""acm"")",,,
aws.apigateway.certificate.certificate_enabled,apigateway,certificate,configuration_and_change_management,medium,apigateway.certificate.configuration,security.configuration.apigateway_certificate_certificate_enabled,1,1.0,strong,aws.apigateway.certificate.enabled,aws.apigateway.certificate.enabled,apigateway,,"boto3.client(""apigateway"")",aws.apigateway.certificate.enabled;aws.apigateway.restapi.client.certificate.enabled,"canada_pbmm_moderate_multi_cloud_CCCS_CA-9_0040;canada_pbmm_moderate_multi_cloud_CCCS_CA-9_0040,canada_pbmm_moderate_multi_cloud_CCCS_SC-13_0136,fedramp_moderate_multi_cloud_CA-9_0099,fedramp_moderate_multi_cloud_SC-13_0348,nist_800_171_r2_multi_cloud_3_5_10_3.5.10_Store_and_transmit_only_cryptograph_0042,nist_800_53_rev5_multi_cloud_AC-17_2_0143,nist_800_53_rev5_multi_cloud_AC-24_1_0187,nist_800_53_rev5_multi_cloud_AC-4_10_0058,nist_800_53_rev5_multi_cloud_AC-4_11_0059,nist_800_53_rev5_multi_cloud_AC-4_12_0060,nist_800_53_rev5_multi_cloud_AC-4_13_0061,nist_800_53_rev5_multi_cloud_AC-4_14_0062,nist_800_53_rev5_multi_cloud_AC-4_15_0063,nist_800_53_rev5_multi_cloud_AC-4_16_0064,nist_800_53_rev5_multi_cloud_AC-4_17_0065,nist_800_53_rev5_multi_cloud_AC-4_18_0066,nist_800_53_rev5_multi_cloud_AC-4_19_0067,nist_800_53_rev5_multi_cloud_AC-4_1_0057,nist_800_53_rev5_multi_cloud_AC-4_20_0069,nist_800_53_rev5_multi_cloud_AC-4_22_0071,nist_800_53_rev5_multi_cloud_AC-4_23_0072,nist_800_53_rev5_multi_cloud_AC-4_24_0073,nist_800_53_rev5_multi_cloud_AC-4_25_0074,nist_800_53_rev5_multi_cloud_AC-4_27_0076,nist_800_53_rev5_multi_cloud_AC-4_29_0078,nist_800_53_rev5_multi_cloud_AC-4_2_0068,nist_800_53_rev5_multi_cloud_AC-4_30_0080,nist_800_53_rev5_multi_cloud_AC-4_31_0081,nist_800_53_rev5_multi_cloud_AC-4_32_0082,nist_800_53_rev5_multi_cloud_AC-4_3_0079,nist_800_53_rev5_multi_cloud_AC-4_4_0083,nist_800_53_rev5_multi_cloud_AC-4_5_0084,nist_800_53_rev5_multi_cloud_AC-4_6_0085,nist_800_53_rev5_multi_cloud_AC-4_7_0086,nist_800_53_rev5_multi_cloud_AC-4_8_0087,nist_800_53_rev5_multi_cloud_AC-4_9_0088,nist_800_53_rev5_multi_cloud_AU-9_3_0261,nist_800_53_rev5_multi_cloud_CA-9-b_0350,nist_800_53_rev5_multi_cloud_PM-17-b_0876,nist_800_53_rev5_multi_cloud_SC-13-a_1248,nist_800_53_rev5_multi_cloud_SC-23_1_1269,nist_800_53_rev5_multi_cloud_SC-23_1_1270,nist_800_53_rev5_multi_cloud_SC-23_2_1271,nist_800_53_rev5_multi_cloud_SC-23_4_1274,nist_800_53_rev5_multi_cloud_SC-7_5_1219,nist_800_53_rev5_multi_cloud_SC-8_1_1227,nist_800_53_rev5_multi_cloud_SC-8_2_1228,nist_800_53_rev5_multi_cloud_SC-8_3_1229,nist_800_53_rev5_multi_cloud_SC-8_4_1230,nist_800_53_rev5_multi_cloud_SC-8_5_1231,rbi_bank_multi_cloud_12.1_0005,rbi_nbfc_multi_cloud_2.11_0015;canada_pbmm_moderate_multi_cloud_CCCS_SC-13_0136;fedramp_moderate_multi_cloud_CA-9_0099;fedramp_moderate_multi_cloud_SC-13_0348;nist_800_171_r2_multi_cloud_3_5_10_3.5.10_Store_and_transmit_only_cryptograph_0042;nist_800_53_rev5_multi_cloud_AC-17_2_0143;nist_800_53_rev5_multi_cloud_AC-24_1_0187;nist_800_53_rev5_multi_cloud_AC-4_10_0058;nist_800_53_rev5_multi_cloud_AC-4_11_0059;nist_800_53_rev5_multi_cloud_AC-4_12_0060;nist_800_53_rev5_multi_cloud_AC-4_13_0061;nist_800_53_rev5_multi_cloud_AC-4_14_0062;nist_800_53_rev5_multi_cloud_AC-4_15_0063;nist_800_53_rev5_multi_cloud_AC-4_16_0064;nist_800_53_rev5_multi_cloud_AC-4_17_0065;nist_800_53_rev5_multi_cloud_AC-4_18_0066;nist_800_53_rev5_multi_cloud_AC-4_19_0067;nist_800_53_rev5_multi_cloud_AC-4_1_0057;nist_800_53_rev5_multi_cloud_AC-4_20_0069;nist_800_53_rev5_multi_cloud_AC-4_22_0071;nist_800_53_rev5_multi_cloud_AC-4_23_0072;nist_800_53_rev5_multi_cloud_AC-4_24_0073;nist_800_53_rev5_multi_cloud_AC-4_25_0074;nist_800_53_rev5_multi_cloud_AC-4_27_0076;nist_800_53_rev5_multi_cloud_AC-4_29_0078;nist_800_53_rev5_multi_cloud_AC-4_2_0068;nist_800_53_rev5_multi_cloud_AC-4_30_0080;nist_800_53_rev5_multi_cloud_AC-4_31_0081;nist_800_53_rev5_multi_cloud_AC-4_32_0082;nist_800_53_rev5_multi_cloud_AC-4_3_0079;nist_800_53_rev5_multi_cloud_AC-4_4_0083;nist_800_53_rev5_multi_cloud_AC-4_5_0084;nist_800_53_rev5_multi_cloud_AC-4_6_0085;nist_800_53_rev5_multi_cloud_AC-4_7_0086;nist_800_53_rev5_multi_cloud_AC-4_8_0087;nist_800_53_rev5_multi_cloud_AC-4_9_0088;nist_800_53_rev5_multi_cloud_AU-9_3_0261;nist_800_53_rev5_multi_cloud_CA-9-b_0350;nist_800_53_rev5_multi_cloud_PM-17-b_0876;nist_800_53_rev5_multi_cloud_SC-13-a_1248;nist_800_53_rev5_multi_cloud_SC-23_1_1269;nist_800_53_rev5_multi_cloud_SC-23_1_1270;nist_800_53_rev5_multi_cloud_SC-23_2_1271;nist_800_53_rev5_multi_cloud_SC-23_4_1274;nist_800_53_rev5_multi_cloud_SC-7_5_1219;nist_800_53_rev5_multi_cloud_SC-8_1_1227;nist_800_53_rev5_multi_cloud_SC-8_2_1228;nist_800_53_rev5_multi_cloud_SC-8_3_1229;nist_800_53_rev5_multi_cloud_SC-8_4_1230;nist_800_53_rev5_multi_cloud_SC-8_5_1231;rbi_bank_multi_cloud_12.1_0005;rbi_nbfc_multi_cloud_2.11_0015",
aws.apigateway.resource.api_gateway_https_required,apigateway,resource,configuration_and_change_management,medium,apigateway.resource.configuration,security.configuration.apigateway_resource_api_gateway_https_required,1,1.0,strong,aws.apigateway.api_gateway_https_required,aws.apigateway.api_gateway_https_required,apigateway,,"boto3.client(""apigateway"")",aws.apigateway.api_gateway_https_required,canada_pbmm_moderate_multi_cloud_CCCS_SC-8_0133; fedramp_moderate_multi_cloud_SC-8_0343,
aws.apigateway.resource.api_gateway_https_required,apigateway,resource,configuration_and_change_management,medium,apigateway.resource.configuration,security.configuration.apigateway_resource_api_gateway_https_required,2,0.6,weak,aws.apigateway.api_gateway_https_required:nan,aws.apigateway.api_gateway_https_required:nan,apigateway,,"boto3.client(""apigateway"")",,,
aws.apigateway.resource.authorization_enabled,apigateway,resource,configuration_and_change_management,medium,apigateway.resource.configuration,security.configuration.apigateway_resource_authorization_enabled,1,1.0,strong,aws.apigateway.authorization_enabled,aws.apigateway.authorization_enabled,apigateway,,"boto3.client(""apigateway"")",aws.apigateway.authorization_enabled,rbi_bank_multi_cloud_12.1_0005; rbi_nbfc_multi_cloud_2.10_0014; rbi_nbfc_multi_cloud_2.11_0015,
aws.apigateway.resource.restapi_cache_encrypted,apigateway,resource,data_protection_and_privacy,high,apigateway.resource.encryption,data_protection.encryption_rest.apigateway_resource_restapi_cache_encrypted,1,1.0,strong,aws.apigateway.restapi_cache_encrypted,aws.apigateway.restapi_cache_encrypted,apigateway,,"boto3.client(""apigateway"")",aws.apigateway.restapi_cache_encrypted,iso27001_2022_multi_cloud_A.8.24_0080,
aws.apigateway.resource.restapi_cache_encrypted,apigateway,resource,data_protection_and_privacy,high,apigateway.resource.encryption,data_protection.encryption_rest.apigateway_resource_restapi_cache_encrypted,2,0.5,weak,aws.apigateway.restapi_cache_encrypted:nan,aws.apigateway.restapi_cache_encrypted:nan,apigateway,,"boto3.client(""apigateway"")",,,
aws.apigateway.resource.restapi_logging_enabled,apigateway,resource,logging_monitoring_and_alerting,medium,apigateway.resource.logging,logging_monitoring.logging.apigateway_resource_restapi_logging_enabled,1,1.0,strong,aws.apigateway.restapi_logging_enabled,aws.apigateway.restapi_logging_enabled,apigateway,,"boto3.client(""apigateway"")",aws.apigateway.restapi_logging_enabled;aws.apigateway.restapi.logging.enabled,"canada_pbmm_moderate_multi_cloud_CCCS_AU-12_0033;canada_pbmm_moderate_multi_cloud_CCCS_AU-12_0033,canada_pbmm_moderate_multi_cloud_CCCS_AU-2_0024,canada_pbmm_moderate_multi_cloud_CCCS_AU-3_0025,canada_pbmm_moderate_multi_cloud_CCCS_AU-8_0030,canada_pbmm_moderate_multi_cloud_CCCS_CA-7_0039,fedramp_moderate_multi_cloud_AU-12_0081,fedramp_moderate_multi_cloud_AU-12_1_0082,fedramp_moderate_multi_cloud_AU-12_3_0083,fedramp_moderate_multi_cloud_AU-2_0058,fedramp_moderate_multi_cloud_AU-3_0059,fedramp_moderate_multi_cloud_AU-3_1_0060,fedramp_moderate_multi_cloud_AU-8_0074,fedramp_moderate_multi_cloud_CA-7_0093,fedramp_moderate_multi_cloud_CA-7_1_0094,fedramp_moderate_multi_cloud_CA-7_4_0095,hipaa_multi_cloud_164_308_a_1_ii_d_0003,hipaa_multi_cloud_164_308_a_3_ii_a_0005,hipaa_multi_cloud_164_308_a_6_ii_0016,hipaa_multi_cloud_164_312_b_0026,iso27001_2022_multi_cloud_A.8.15_0070,nist_800_171_r2_multi_cloud_3_13_1_3.13.1_Monitor_control_and_protect_commu_0004,nist_800_171_r2_multi_cloud_3_14_6_3.14.6_Monitor_organizational_systems_inc_0018,nist_800_171_r2_multi_cloud_3_14_7_3.14.7_Identify_unauthorized_use_of_organi_0019,nist_800_171_r2_multi_cloud_3_1_12_3.1.12_Monitor_and_control_remote_access_s_0021,nist_800_171_r2_multi_cloud_3_3_1_3.3.1_Create_and_retain_system_audit_logs_a_0031,nist_800_171_r2_multi_cloud_3_3_2_3.3.2_Ensure_that_the_actions_of_individual_0032,nist_800_171_r2_multi_cloud_3_3_3_3.3.3_Review_and_update_logged_events_0033,nist_800_171_r2_multi_cloud_3_6_1_3.6.1_Establish_an_operational_incident-han_0049,nist_800_171_r2_multi_cloud_3_6_2_3.6.2_Track_document_and_report_incidents_0050,nist_800_53_rev5_multi_cloud_AC-4_26_0075,nist_800_53_rev5_multi_cloud_AU-10_1_0268,nist_800_53_rev5_multi_cloud_AU-10_2_0269,nist_800_53_rev5_multi_cloud_AU-10_3_0270,nist_800_53_rev5_multi_cloud_AU-10_4_0271,nist_800_53_rev5_multi_cloud_AU-10_5_0272,nist_800_53_rev5_multi_cloud_AU-12-a_0278,nist_800_53_rev5_multi_cloud_AU-12-c_0280,nist_800_53_rev5_multi_cloud_AU-12_1_0274,nist_800_53_rev5_multi_cloud_AU-12_2_0275,nist_800_53_rev5_multi_cloud_AU-12_3_0276,nist_800_53_rev5_multi_cloud_AU-12_4_0277,nist_800_53_rev5_multi_cloud_AU-14-a_0289,nist_800_53_rev5_multi_cloud_AU-14-b_0290,nist_800_53_rev5_multi_cloud_AU-14_3_0288,nist_800_53_rev5_multi_cloud_AU-2-b_0224,nist_800_53_rev5_multi_cloud_AU-3-a_0231,nist_800_53_rev5_multi_cloud_AU-3-b_0232,nist_800_53_rev5_multi_cloud_AU-3-c_0233,nist_800_53_rev5_multi_cloud_AU-3-d_0234,nist_800_53_rev5_multi_cloud_AU-3-e_0235,nist_800_53_rev5_multi_cloud_AU-3-f_0236,nist_800_53_rev5_multi_cloud_AU-8-b_0258,nist_800_53_rev5_multi_cloud_CA-7-b_0338,nist_800_53_rev5_multi_cloud_PM-31-a_0911,nist_800_53_rev5_multi_cloud_PM-31-b_0912,nist_800_53_rev5_multi_cloud_PM-31-c_0913,nist_800_53_rev5_multi_cloud_PM-31-d_0914,nist_800_53_rev5_multi_cloud_PM-31-e_0915,nist_800_53_rev5_multi_cloud_PM-31-f_0916,nist_800_53_rev5_multi_cloud_SI-4_17_1373,pci_dss_v4_multi_cloud_10.2.1.2_0145,soc2_multi_cloud_cc_7_2_0016,soc2_multi_cloud_cc_7_3_0017,soc2_multi_cloud_cc_a_1_1_0021;canada_pbmm_moderate_multi_cloud_CCCS_AU-2_0024;canada_pbmm_moderate_multi_cloud_CCCS_AU-3_0025;canada_pbmm_moderate_multi_cloud_CCCS_AU-8_0030;canada_pbmm_moderate_multi_cloud_CCCS_CA-7_0039;fedramp_moderate_multi_cloud_AU-12_0081;fedramp_moderate_multi_cloud_AU-12_1_0082;fedramp_moderate_multi_cloud_AU-12_3_0083;fedramp_moderate_multi_cloud_AU-2_0058;fedramp_moderate_multi_cloud_AU-3_0059;fedramp_moderate_multi_cloud_AU-3_1_0060;fedramp_moderate_multi_cloud_AU-8_0074;fedramp_moderate_multi_cloud_CA-7_0093;fedramp_moderate_multi_cloud_CA-7_1_0094;fedramp_moderate_multi_cloud_CA-7_4_0095;iso27001_2022_multi_cloud_A.8.15_0070;nist_800_171_r2_multi_cloud_3_13_1_3.13.1_Monitor_control_and_protect_commu_0004;nist_800_171_r2_multi_cloud_3_14_6_3.14.6_Monitor_organizational_systems_inc_0018;nist_800_171_r2_multi_cloud_3_14_7_3.14.7_Identify_unauthorized_use_of_organi_0019;nist_800_171_r2_multi_cloud_3_1_12_3.1.12_Monitor_and_control_remote_access_s_0021;nist_800_171_r2_multi_cloud_3_3_1_3.3.1_Create_and_retain_system_audit_logs_a_0031;nist_800_171_r2_multi_cloud_3_3_2_3.3.2_Ensure_that_the_actions_of_individual_0032;nist_800_171_r2_multi_cloud_3_3_3_3.3.3_Review_and_update_logged_events_0033;nist_800_171_r2_multi_cloud_3_6_1_3.6.1_Establish_an_operational_incident-han_0049;nist_800_171_r2_multi_cloud_3_6_2_3.6.2_Track_document_and_report_incidents_0050;nist_800_53_rev5_multi_cloud_AC-4_26_0075;nist_800_53_rev5_multi_cloud_AU-10_1_0268;nist_800_53_rev5_multi_cloud_AU-10_2_0269;nist_800_53_rev5_multi_cloud_AU-10_3_0270;nist_800_53_rev5_multi_cloud_AU-10_4_0271;nist_800_53_rev5_multi_cloud_AU-10_5_0272;nist_800_53_rev5_multi_cloud_AU-12-a_0278;nist_800_53_rev5_multi_cloud_AU-12-c_0280;nist_800_53_rev5_multi_cloud_AU-12_1_0274;nist_800_53_rev5_multi_cloud_AU-12_2_0275;nist_800_53_rev5_multi_cloud_AU-12_3_0276;nist_800_53_rev5_multi_cloud_AU-12_4_0277;nist_800_53_rev5_multi_cloud_AU-14-a_0289;nist_800_53_rev5_multi_cloud_AU-14-b_0290;nist_800_53_rev5_multi_cloud_AU-14_3_0288;nist_800_53_rev5_multi_cloud_AU-2-b_0224;nist_800_53_rev5_multi_cloud_AU-3-a_0231;nist_800_53_rev5_multi_cloud_AU-3-b_0232;nist_800_53_rev5_multi_cloud_AU-3-c_0233;nist_800_53_rev5_multi_cloud_AU-3-d_0234;nist_800_53_rev5_multi_cloud_AU-3-e_0235;nist_800_53_rev5_multi_cloud_AU-3-f_0236;nist_800_53_rev5_multi_cloud_AU-8-b_0258;nist_800_53_rev5_multi_cloud_CA-7-b_0338;nist_800_53_rev5_multi_cloud_PM-31-a_0911;nist_800_53_rev5_multi_cloud_PM-31-b_0912;nist_800_53_rev5_multi_cloud_PM-31-c_0913;nist_800_53_rev5_multi_cloud_PM-31-d_0914;nist_800_53_rev5_multi_cloud_PM-31-e_0915;nist_800_53_rev5_multi_cloud_PM-31-f_0916;nist_800_53_rev5_multi_cloud_SI-4_17_1373;soc2_multi_cloud_cc_7_2_0016;soc2_multi_cloud_cc_7_3_0017;soc2_multi_cloud_cc_a_1_1_0021",
aws.apigateway.resource.restapi_logging_enabled,apigateway,resource,logging_monitoring_and_alerting,medium,apigateway.resource.logging,logging_monitoring.logging.apigateway_resource_restapi_logging_enabled,2,1.0,strong,apigateway.restapi.logging.enabled,apigateway.restapi.logging.enabled,restapi,security,"boto3.client(""restapi"")",apigateway.restapi.logging.enabled,hipaa_multi_cloud_164_308_a_1_ii_d_0003;hipaa_multi_cloud_164_308_a_3_ii_a_0005;hipaa_multi_cloud_164_308_a_6_ii_0016;hipaa_multi_cloud_164_312_b_0026;pci_dss_v4_multi_cloud_10.2.1.2_0145,
aws.apigateway.resource.restapi_logging_enabled,apigateway,resource,logging_monitoring_and_alerting,medium,apigateway.resource.logging,logging_monitoring.logging.apigateway_resource_restapi_logging_enabled,3,0.5,weak,aws.apigateway.restapi_logging_enabled:nan,aws.apigateway.restapi_logging_enabled:nan,apigateway,,"boto3.client(""apigateway"")",,,
