rule_id,yaml_service,yaml_resource_kind,csv_service,csv_category,csv_provider_service,domain,severity,scope,assertion_id,python_client,check_client,implementable,mapping_tier,match_count,has_compliance_mapping,aws_mapped_compliance_id_count,aws_mapped_compliance_functions,aws_mapped_compliance_ids
aws.cloudfront.distribution.access_logging_enabled,cloudfront,distribution,cloudfront,edge,"boto3.client(""cloudfront"")",logging_monitoring_and_alerting,medium,cloudfront.distribution.logging,logging_monitoring.logging.cloudfront_distribution_access_logging_enabled,boto3.cloudfront,boto3.cloudfront,SCAN_ABLE,exact,2,no,0,,
aws.cloudfront.distribution.hsts_enabled,cloudfront,distribution,cloudfront,edge,"boto3.client(""cloudfront"")",configuration_and_change_management,medium,cloudfront.distribution.configuration,security.configuration.cloudfront_distribution_hsts_enabled,boto3.cloudfront,boto3.cloudfront,SCAN_ABLE,exact,2,no,0,,
aws.cloudfront.distribution.origin_access_restricted,cloudfront,distribution,cloudfront,edge,"boto3.client(""cloudfront"")",configuration_and_change_management,medium,cloudfront.distribution.configuration,security.configuration.cloudfront_distribution_origin_access_restricted,boto3.cloudfront,boto3.cloudfront,SCAN_ABLE,exact,2,no,0,,
aws.cloudfront.distribution.tls_min_1_2_enforced,cloudfront,distribution,cloudfront,edge,"boto3.client(""cloudfront"")",data_protection_and_privacy,high,cloudfront.distribution.encryption,data_protection.encryption_transit.cloudfront_distribution_tls_min_1_2_enforced,boto3.cloudfront,boto3.cloudfront,SCAN_ABLE,exact,2,no,0,,
aws.cloudtrail.trail.alert_destinations_configured,cloudtrail,trail,cloudtrail,network,"boto3.client(""cloudtrail"")",configuration_and_change_management,medium,cloudtrail.trail.configuration,security.configuration.cloudtrail_trail_alert_destinations_configured,boto3.cloudtrail,boto3.cloudtrail,SCAN_ABLE,exact,2,no,0,,
aws.cloudtrail.trail.alerts_for_anomalies_configured,cloudtrail,trail,cloudtrail,network,"boto3.client(""cloudtrail"")",configuration_and_change_management,medium,cloudtrail.trail.configuration,security.configuration.cloudtrail_trail_alerts_for_anomalies_configured,boto3.cloudtrail,boto3.cloudtrail,SCAN_ABLE,exact,2,no,0,,
aws.cloudtrail.trail.retention_days_minimum,cloudtrail,trail,cloudtrail,privacy,"boto3.client(""cloudtrail"")",data_protection_and_privacy,low,cloudtrail.trail.data_protection,data_protection.data_lifecycle.cloudtrail_trail_retention_days_minimum,boto3.cloudtrail,boto3.cloudtrail,SCAN_ABLE,exact,2,no,0,,
aws.cloudwatch.alarm.alert_destinations_configured,cloudwatch,alarm,cloudwatch,dr,"boto3.client(""cloudwatch"")",configuration_and_change_management,medium,cloudwatch.alarm.configuration,security.configuration.cloudwatch_alarm_alert_destinations_configured,boto3.cloudwatch,boto3.cloudwatch,SCAN_ABLE,exact,2,no,0,,
aws.cloudwatch.alarm.alerts_for_backup_failures_configured,cloudwatch,alarm,cloudwatch,dr,"boto3.client(""cloudwatch"")",resilience_and_disaster_recovery,medium,cloudwatch.alarm.backup_recovery,resilience.backup_recovery.cloudwatch_alarm_alerts_for_backup_failures_configured,boto3.cloudwatch,boto3.cloudwatch,SCAN_ABLE,exact,2,no,0,,
aws.cloudwatch.alarm.alerts_for_replication_lag_configured,cloudwatch,alarm,cloudwatch,dr,"boto3.client(""cloudwatch"")",resilience_and_disaster_recovery,medium,cloudwatch.alarm.backup_recovery,resilience.backup_recovery.cloudwatch_alarm_alerts_for_replication_lag_configured,boto3.cloudwatch,boto3.cloudwatch,SCAN_ABLE,exact,2,no,0,,
aws.cloudwatch.alarm.alerts_for_rpo_rto_breach_configured,cloudwatch,alarm,cloudwatch,dr,"boto3.client(""cloudwatch"")",configuration_and_change_management,medium,cloudwatch.alarm.configuration,security.configuration.cloudwatch_alarm_alerts_for_rpo_rto_breach_configured,boto3.cloudwatch,boto3.cloudwatch,SCAN_ABLE,exact,2,no,0,,
aws.cloudwatch.dashboard.public_embeds_disabled,cloudwatch,dashboard,cloudwatch,monitoring,"boto3.client(""cloudwatch"")",network_security_and_connectivity,high,cloudwatch.dashboard.network,network_security.network_access.cloudwatch_dashboard_public_embeds_disabled,boto3.cloudwatch,boto3.cloudwatch,SCAN_ABLE,exact,2,no,0,,
aws.cloudwatch.destination.iam_policy_least_privilege,cloudwatch,destination,cloudwatch,logging,"boto3.client(""cloudwatch"")",identity_and_access_management,high,cloudwatch.destination.access_control,identity_access.least_privilege.cloudwatch_destination_iam_policy_least_privilege,boto3.cloudwatch,boto3.cloudwatch,SCAN_ABLE,exact,2,no,0,,
aws.cloudwatch.destination.tls_min_1_2_enforced,cloudwatch,destination,cloudwatch,logging,"boto3.client(""cloudwatch"")",data_protection_and_privacy,high,cloudwatch.destination.encryption,data_protection.encryption_transit.cloudwatch_destination_tls_min_1_2_enforced,boto3.cloudwatch,boto3.cloudwatch,SCAN_ABLE,exact,2,no,0,,
aws.cloudwatch.metric.admin_activity_logging_enabled,cloudwatch,metric,cloudwatch,data_analytics,"boto3.client(""cloudwatch"")",application_and_api_security,high,cloudwatch.metric.monitoring,streaming_data.monitoring.stream_monitoring_enabled,boto3.cloudwatch,boto3.cloudwatch,SCAN_ABLE,exact,2,no,0,,
aws.cloudwatch.metric.alerts_for_anomalies_configured,cloudwatch,metric,cloudwatch,network,"boto3.client(""cloudwatch"")",configuration_and_change_management,medium,cloudwatch.metric.configuration,security.configuration.cloudwatch_metric_alerts_for_anomalies_configured,boto3.cloudwatch,boto3.cloudwatch,SCAN_ABLE,exact,2,no,0,,
aws.cloudwatch.metric.api_access_log_sink_configured,cloudwatch,metric,cloudwatch,api_security,"boto3.client(""cloudwatch"")",logging_monitoring_and_alerting,medium,cloudwatch.metric.logging,logging_monitoring.logging.cloudwatch_metric_api_access_log_sink_configured,boto3.cloudwatch,boto3.cloudwatch,SCAN_ABLE,exact,2,no,0,,
aws.cloudwatch.metric.api_access_logging_enabled,cloudwatch,metric,cloudwatch,api_security,"boto3.client(""cloudwatch"")",application_and_api_security,high,cloudwatch.metric.monitoring,streaming_data.monitoring.stream_monitoring_enabled,boto3.cloudwatch,boto3.cloudwatch,SCAN_ABLE,exact,2,no,0,,
aws.cloudwatch.metric.api_logs_retention_days_minimum,cloudwatch,metric,cloudwatch,api_security,"boto3.client(""cloudwatch"")",logging_monitoring_and_alerting,medium,cloudwatch.metric.logging,logging_monitoring.logging.cloudwatch_metric_api_logs_retention_days_minimum,boto3.cloudwatch,boto3.cloudwatch,SCAN_ABLE,exact,2,no,0,,
aws.cloudwatch.metric.logs_retention_days_minimum,cloudwatch,metric,cloudwatch,data_analytics,"boto3.client(""cloudwatch"")",logging_monitoring_and_alerting,medium,cloudwatch.metric.logging,logging_monitoring.logging.cloudwatch_metric_logs_retention_days_minimum,boto3.cloudwatch,boto3.cloudwatch,SCAN_ABLE,exact,2,no,0,,
aws.cloudwatch.metric.query_access_logging_enabled,cloudwatch,metric,cloudwatch,data_analytics,"boto3.client(""cloudwatch"")",application_and_api_security,high,cloudwatch.metric.monitoring,streaming_data.monitoring.stream_monitoring_enabled,boto3.cloudwatch,boto3.cloudwatch,SCAN_ABLE,exact,2,no,0,,
aws.config.remediation_configuration.auto_remediation_enabled_for_high,config,remediation_configuration,config,configuration_management,"boto3.client(""config"")",configuration_and_change_management,medium,config.remediation_configuration.configuration,security.configuration.config_remediation_configuration_auto_remediation_enabled_for_high,boto3.config,boto3.config,SCAN_ABLE,exact,2,no,0,,
aws.directconnect.connection.tunnel_health_monitoring_enabled,directconnect,connection,directconnect,network,"boto3.client(""directconnect"")",logging_monitoring_and_alerting,medium,directconnect.connection.logging,logging_monitoring.monitoring.directconnect_connection_tunnel_health_monitoring_enabled,boto3.directconnect,boto3.directconnect,SCAN_ABLE,exact,2,no,0,,
aws.docdb.cluster.backup_retention_period_configured,docdb,cluster,docdb,,"boto3.client(""docdb"")",resilience_and_disaster_recovery,medium,docdb.cluster.backup_recovery,resilience.backup_recovery.docdb_cluster_backup_retention_period_configured,boto3.docdb,boto3.docdb,SCAN_ABLE,exact,2,yes,2,aws.docdb.cluster.backup_retention_period_configured; aws.dynamodb.tables.pitr.enabled; aws.efs.have.backup.enabled,cis_aws_aws_7.9_0096; nist_800_171_r2_multi_cloud_3_13_2_3.13.2_Employ_architectural_designs_softw_0008
aws.docdb.cluster.encryption_in_transit_enabled,docdb,cluster,docdb,,"boto3.client(""docdb"")",data_protection_and_privacy,high,docdb.cluster.encryption,data_protection.encryption_rest.docdb_cluster_encryption_in_transit_enabled,boto3.docdb,boto3.docdb,SCAN_ABLE,exact,2,yes,1,aws.docdb.cluster.encryption_in_transit_enabled,cis_aws_aws_7.4_0091
aws.docdb.cluster.iam_authentication_enabled,docdb,cluster,docdb,,"boto3.client(""docdb"")",identity_and_access_management,high,docdb.cluster.access_control,identity_access.least_privilege.docdb_cluster_iam_authentication_enabled,boto3.docdb,boto3.docdb,SCAN_ABLE,exact,2,yes,1,aws.docdb.cluster.iam_authentication_enabled,cis_aws_aws_7.5_0092
aws.docdb.cluster.monitoring_and_alerting_configured,docdb,cluster,docdb,,"boto3.client(""docdb"")",logging_monitoring_and_alerting,medium,docdb.cluster.logging,logging_monitoring.monitoring.docdb_cluster_monitoring_and_alerting_configured,boto3.docdb,boto3.docdb,SCAN_ABLE,exact,2,yes,1,aws.docdb.cluster.monitoring_and_alerting_configured,cis_aws_aws_7.8_0095
aws.dynamodb.stream.consumer_auth_required,dynamodb,stream,dynamodb,data_protection_storage,"boto3.client(""dynamodb"")",configuration_and_change_management,medium,dynamodb.stream.configuration,security.configuration.dynamodb_stream_consumer_auth_required,boto3.dynamodb,boto3.dynamodb,SCAN_ABLE,exact,2,no,0,,
aws.dynamodb.stream.encryption_at_rest_enabled,dynamodb,stream,dynamodb,data_protection_storage,"boto3.client(""dynamodb"")",data_protection_and_privacy,high,dynamodb.stream.encryption,data_protection.encryption_rest.dynamodb_stream_encryption_at_rest_enabled,boto3.dynamodb,boto3.dynamodb,SCAN_ABLE,exact,2,no,0,,
aws.dynamodb.table.rbac_least_privilege,dynamodb,table,dynamodb,data_protection_storage,"boto3.client(""dynamodb"")",identity_and_access_management,high,dynamodb.table.access_control,identity_access.least_privilege.dynamodb_table_rbac_least_privilege,boto3.dynamodb,boto3.dynamodb,SCAN_ABLE,exact,2,no,0,,
aws.ebs.snapshot.encryption_at_rest_enabled,ebs,snapshot,ebs,compute,"boto3.client(""ebs"")",data_protection_and_privacy,high,ebs.snapshot.encryption,data_protection.encryption_rest.ebs_snapshot_encryption_at_rest_enabled,boto3.ec2,boto3.ec2,SCAN_ABLE,exact,2,no,0,,
aws.ebs.snapshot.snapshots_encrypted,ebs,snapshot,ebs,compute,"boto3.client(""ebs"")",data_protection_and_privacy,high,ebs.snapshot.encryption,data_protection.encryption_rest.ebs_snapshot_snapshots_encrypted,boto3.ec2,boto3.ec2,SCAN_ABLE,exact,2,no,0,,
aws.ebs.volume.encryption_at_rest_enabled,ebs,volume,ebs,compute; data_protection_storage,"boto3.client(""ebs"")",data_protection_and_privacy,high,ebs.volume.encryption,data_protection.encryption_rest.ebs_volume_encryption_at_rest_enabled,boto3.ec2,boto3.ec2,SCAN_ABLE,exact,4,no,0,,
aws.ebs.volume.snapshots_encrypted,ebs,volume,ebs,compute; data_protection_storage,"boto3.client(""ebs"")",data_protection_and_privacy,high,ebs.volume.encryption,data_protection.encryption_rest.ebs_volume_snapshots_encrypted,boto3.ec2,boto3.ec2,SCAN_ABLE,exact,4,no,0,,
aws.ec2.ami.approved_image_allowlist_enforced,ec2,ami,ec2,compute,"boto3.client(""ec2"")",configuration_and_change_management,medium,ec2.ami.configuration,security.configuration.ec2_ami_approved_image_allowlist_enforced,boto3.ec2,boto3.ec2,SCAN_ABLE,exact,2,no,0,,
aws.ec2.ami.image_signed_and_verified,ec2,ami,ec2,compute,"boto3.client(""ec2"")",configuration_and_change_management,medium,ec2.ami.configuration,security.configuration.ec2_ami_image_signed_and_verified,boto3.ec2,boto3.ec2,SCAN_ABLE,exact,2,no,0,,
aws.ec2.instance.data_volumes_encrypted_cmek,ec2,instance,ec2,compute,"boto3.client(""ec2"")",data_protection_and_privacy,high,ec2.instance.encryption,data_protection.encryption_rest.ec2_instance_data_volumes_encrypted_cmek,boto3.ec2,boto3.ec2,SCAN_ABLE,exact,2,no,0,,
aws.ec2.instance.root_volume_encrypted_cmek,ec2,instance,ec2,compute,"boto3.client(""ec2"")",data_protection_and_privacy,high,ec2.instance.encryption,data_protection.encryption_rest.ec2_instance_root_volume_encrypted_cmek,boto3.ec2,boto3.ec2,SCAN_ABLE,exact,2,no,0,,
aws.ec2.instance.secure_boot_enabled,ec2,instance,ec2,compute,"boto3.client(""ec2"")",configuration_and_change_management,medium,ec2.instance.configuration,security.configuration.ec2_instance_secure_boot_enabled,boto3.ec2,boto3.ec2,SCAN_ABLE,exact,2,no,0,,
aws.ec2.instance.security_group_inbound_restricted,ec2,instance,ec2,compute,"boto3.client(""ec2"")",network_security_and_connectivity,high,ec2.instance.network,network_security.network_access.ec2_instance_security_group_inbound_restricted,boto3.ec2,boto3.ec2,SCAN_ABLE,exact,2,no,0,,
aws.ec2.instance.serial_console_access_restricted,ec2,instance,ec2,compute,"boto3.client(""ec2"")",configuration_and_change_management,medium,ec2.instance.configuration,security.configuration.ec2_instance_serial_console_access_restricted,boto3.ec2,boto3.ec2,SCAN_ABLE,exact,2,no,0,,
aws.ec2.instance.ssh_key_based_auth_required,ec2,instance,ec2,compute,"boto3.client(""ec2"")",configuration_and_change_management,medium,ec2.instance.configuration,security.configuration.ec2_instance_ssh_key_based_auth_required,boto3.ec2,boto3.ec2,SCAN_ABLE,exact,2,no,0,,
aws.ec2.instance.ssh_password_auth_disabled,ec2,instance,ec2,compute,"boto3.client(""ec2"")",identity_and_access_management,critical,ec2.instance.access_control,identity_access.authentication.ec2_instance_ssh_password_auth_disabled,boto3.ec2,boto3.ec2,SCAN_ABLE,exact,2,no,0,,
aws.ec2.instance.vtpm_enabled,ec2,instance,ec2,compute,"boto3.client(""ec2"")",configuration_and_change_management,medium,ec2.instance.configuration,security.configuration.ec2_instance_vtpm_enabled,boto3.ec2,boto3.ec2,SCAN_ABLE,exact,2,yes,1,aws.ec2.instance.imdsv2.enabled,nist_800_171_r2_multi_cloud_3_12_4_3.12.4_Develop_document_and_periodically_0003
aws.ec2.network_interface.security_groups_present,ec2,network_interface,ec2,network,"boto3.client(""ec2"")",network_security_and_connectivity,high,ec2.network_interface.network,network_security.network_access.ec2_network_interface_security_groups_present,boto3.ec2,boto3.ec2,SCAN_ABLE,exact,2,no,0,,
aws.ec2.reserved_instance.billing_admins_mfa_required,ec2,reserved_instance,ec2,cost,"boto3.client(""ec2"")",identity_and_access_management,critical,ec2.reserved_instance.access_control,identity_access.authentication.ec2_reserved_instance_billing_admins_mfa_required,boto3.ec2,boto3.ec2,SCAN_ABLE,exact,2,no,0,,
aws.ec2.reserved_instance.purchase_permissions_restricted,ec2,reserved_instance,ec2,cost,"boto3.client(""ec2"")",identity_and_access_management,high,ec2.reserved_instance.access_control,identity_access.least_privilege.ec2_reserved_instance_purchase_permissions_restricted,boto3.ec2,boto3.ec2,SCAN_ABLE,exact,2,no,0,,
aws.ec2.security_group.exception_approvals_required,ec2,security_group,ec2,network,"boto3.client(""ec2"")",configuration_and_change_management,medium,ec2.security_group.configuration,security.configuration.ec2_security_group_exception_approvals_required,boto3.ec2,boto3.ec2,SCAN_ABLE,exact,2,no,0,,
aws.ec2.snapshot.cross_region_copy_encrypted,ec2,snapshot,ec2,data_protection_storage,"boto3.client(""ec2"")",data_protection_and_privacy,high,ec2.snapshot.encryption,data_protection.encryption_rest.ec2_snapshot_cross_region_copy_encrypted,boto3.ec2,boto3.ec2,SCAN_ABLE,exact,2,no,0,,
aws.ec2.subnet.exception_approvals_required,ec2,subnet,ec2,network,"boto3.client(""ec2"")",configuration_and_change_management,medium,ec2.subnet.configuration,security.configuration.ec2_subnet_exception_approvals_required,boto3.ec2,boto3.ec2,SCAN_ABLE,exact,2,no,0,,
aws.ec2.subnet.route_table_association_present,ec2,subnet,ec2,network,"boto3.client(""ec2"")",configuration_and_change_management,medium,ec2.subnet.configuration,security.configuration.ec2_subnet_route_table_association_present,boto3.ec2,boto3.ec2,SCAN_ABLE,exact,2,no,0,,
aws.ec2.volume.cmk_cmek_configured,ec2,volume,ec2,data_protection_storage,"boto3.client(""ec2"")",configuration_and_change_management,medium,ec2.volume.configuration,security.configuration.ec2_volume_cmk_cmek_configured,boto3.ec2,boto3.ec2,SCAN_ABLE,exact,2,no,0,,
aws.ec2.volume.encryption_at_rest_enabled,ec2,volume,ec2,data_protection_storage,"boto3.client(""ec2"")",data_protection_and_privacy,high,ec2.volume.encryption,data_protection.encryption_rest.ec2_volume_encryption_at_rest_enabled,boto3.ec2,boto3.ec2,SCAN_ABLE,exact,2,no,0,,
aws.ec2.volume.snapshots_encrypted,ec2,volume,ec2,data_protection_storage,"boto3.client(""ec2"")",data_protection_and_privacy,high,ec2.volume.encryption,data_protection.encryption_rest.ec2_volume_snapshots_encrypted,boto3.ec2,boto3.ec2,SCAN_ABLE,exact,2,no,0,,
aws.ec2.vpc.dns_hostnames_and_support_configured,ec2,vpc,ec2,network,"boto3.client(""ec2"")",configuration_and_change_management,medium,ec2.vpc.configuration,security.configuration.ec2_vpc_dns_hostnames_and_support_configured,boto3.ec2,boto3.ec2,SCAN_ABLE,exact,2,no,0,,
aws.ec2.vpc.exception_approvals_required,ec2,vpc,ec2,network,"boto3.client(""ec2"")",configuration_and_change_management,medium,ec2.vpc.configuration,security.configuration.ec2_vpc_exception_approvals_required,boto3.ec2,boto3.ec2,SCAN_ABLE,exact,2,no,0,,
aws.ecr.repository.immutable_tags_or_signing_enforced,ecr,repository,ecr,supply_chain,"boto3.client(""ecr"")",configuration_and_change_management,medium,ecr.repository.configuration,security.configuration.ecr_repository_immutable_tags_or_signing_enforced,boto3.ecr,boto3.ecr,SCAN_ABLE,exact,2,no,0,,
aws.ecr.repository.repo_private_or_access_restricted,ecr,repository,ecr,supply_chain,"boto3.client(""ecr"")",network_security_and_connectivity,high,ecr.repository.network,network_security.network_access.ecr_repository_repo_private_or_access_restricted,boto3.ecr,boto3.ecr,SCAN_ABLE,exact,2,no,0,,
aws.eks.cluster.anonymous_auth_disabled,eks,cluster,eks,k8s,"boto3.client(""eks"")",configuration_and_change_management,medium,eks.cluster.configuration,security.configuration.eks_cluster_anonymous_auth_disabled,boto3.eks,boto3.eks,SCAN_ABLE,exact,2,no,0,,
aws.eks.cluster.audit_logging_enabled,eks,cluster,eks,containers_kubernetes,"boto3.client(""eks"")",container_and_kubernetes_security,medium,eks.cluster.cluster,containers_kubernetes.monitoring.cluster_monitoring_enabled,boto3.eks,boto3.eks,SCAN_ABLE,exact,2,no,0,,
aws.eks.cluster.client_cert_auth_enabled,eks,cluster,eks,k8s,"boto3.client(""eks"")",configuration_and_change_management,medium,eks.cluster.configuration,security.configuration.eks_cluster_client_cert_auth_enabled,boto3.eks,boto3.eks,SCAN_ABLE,exact,2,no,0,,
aws.eks.cluster.default_service_account_automount_disabled,eks,cluster,eks,containers_kubernetes,"boto3.client(""eks"")",configuration_and_change_management,medium,eks.cluster.configuration,security.configuration.eks_cluster_default_service_account_automount_disabled,boto3.eks,boto3.eks,SCAN_ABLE,exact,2,no,0,,
aws.eks.cluster.encryption_at_rest_enabled,eks,cluster,eks,k8s,"boto3.client(""eks"")",data_protection_and_privacy,high,eks.cluster.encryption,data_protection.encryption_rest.eks_cluster_encryption_at_rest_enabled,boto3.eks,boto3.eks,SCAN_ABLE,exact,2,no,0,,
aws.eks.cluster.leader_election_enabled,eks,cluster,eks,k8s,"boto3.client(""eks"")",configuration_and_change_management,medium,eks.cluster.configuration,security.configuration.eks_cluster_leader_election_enabled,boto3.eks,boto3.eks,SCAN_ABLE,exact,2,no,0,,
aws.eks.cluster.private_control_plane_endpoint_enabled,eks,cluster,eks,containers_kubernetes,"boto3.client(""eks"")",network_security_and_connectivity,high,eks.cluster.network,network_security.network_access.eks_cluster_private_control_plane_endpoint_enabled,boto3.eks,boto3.eks,SCAN_ABLE,exact,2,no,0,,
aws.eks.cluster.profiling_disabled,eks,cluster,eks,k8s,"boto3.client(""eks"")",configuration_and_change_management,medium,eks.cluster.configuration,security.configuration.eks_cluster_profiling_disabled,boto3.eks,boto3.eks,SCAN_ABLE,exact,2,no,0,,
aws.eks.cluster.secure_port_enabled,eks,cluster,eks,k8s,"boto3.client(""eks"")",configuration_and_change_management,medium,eks.cluster.configuration,security.configuration.eks_cluster_secure_port_enabled,boto3.eks,boto3.eks,SCAN_ABLE,exact,2,no,0,,
aws.eks.cluster.service_account_token_signing_enabled,eks,cluster,eks,k8s,"boto3.client(""eks"")",configuration_and_change_management,medium,eks.cluster.configuration,security.configuration.eks_cluster_service_account_token_signing_enabled,boto3.eks,boto3.eks,SCAN_ABLE,exact,2,no,0,,
aws.eks.nodegroup.disk_encryption_enabled,eks,nodegroup,eks,containers_kubernetes,"boto3.client(""eks"")",data_protection_and_privacy,high,eks.nodegroup.encryption,data_protection.encryption_rest.eks_nodegroup_disk_encryption_enabled,boto3.eks,boto3.eks,SCAN_ABLE,exact,2,no,0,,
aws.elasticache.cluster.audit_logging_enabled,elasticache,cluster,elasticache,db,"boto3.client(""elasticache"")",logging_monitoring_and_alerting,medium,elasticache.cluster.logging,logging_monitoring.logging.elasticache_cluster_audit_logging_enabled,boto3.elasticache,boto3.elasticache,SCAN_ABLE,exact,2,no,0,,
aws.elasticache.cluster.deletion_protection_enabled,elasticache,cluster,elasticache,db,"boto3.client(""elasticache"")",configuration_and_change_management,medium,elasticache.cluster.configuration,security.configuration.elasticache_cluster_deletion_protection_enabled,boto3.elasticache,boto3.elasticache,SCAN_ABLE,exact,4,no,0,,
aws.elasticache.cluster.encryption_at_rest_enabled,elasticache,cluster,elasticache,db,"boto3.client(""elasticache"")",data_protection_and_privacy,high,elasticache.cluster.encryption,data_protection.encryption_rest.elasticache_cluster_encryption_at_rest_enabled,boto3.elasticache,boto3.elasticache,SCAN_ABLE,exact,2,no,0,,
aws.elasticache.cluster.private_networking_enforced,elasticache,cluster,elasticache,db,"boto3.client(""elasticache"")",network_security_and_connectivity,high,elasticache.cluster.network,network_security.network_access.elasticache_cluster_private_networking_enforced,boto3.elasticache,boto3.elasticache,SCAN_ABLE,exact,2,no,0,,
aws.elasticache.cluster.public_access_disabled,elasticache,cluster,elasticache,db,"boto3.client(""elasticache"")",network_security_and_connectivity,high,elasticache.cluster.network,network_security.network_access.elasticache_cluster_public_access_disabled,boto3.elasticache,boto3.elasticache,SCAN_ABLE,exact,2,no,0,,
aws.elasticache.node.deletion_protection_enabled,elasticache,node,elasticache,db,"boto3.client(""elasticache"")",configuration_and_change_management,medium,elasticache.node.configuration,security.configuration.elasticache_node_deletion_protection_enabled,boto3.elasticache,boto3.elasticache,SCAN_ABLE,exact,2,no,0,,
aws.elasticache.node.encryption_at_rest_enabled,elasticache,node,elasticache,db,"boto3.client(""elasticache"")",data_protection_and_privacy,high,elasticache.node.encryption,data_protection.encryption_rest.elasticache_node_encryption_at_rest_enabled,boto3.elasticache,boto3.elasticache,SCAN_ABLE,exact,2,no,0,,
aws.elasticache.node.public_access_disabled,elasticache,node,elasticache,db,"boto3.client(""elasticache"")",network_security_and_connectivity,high,elasticache.node.network,network_security.network_access.elasticache_node_public_access_disabled,boto3.elasticache,boto3.elasticache,SCAN_ABLE,exact,2,no,0,,
aws.emr.cluster.account_public_block_enabled,emr,cluster,emr,,"boto3.client(""emr"")",network_security_and_connectivity,high,emr.cluster.network,network_security.network_access.emr_cluster_account_public_block_enabled,boto3.emr,boto3.emr,SCAN_ABLE,exact,2,yes,1,aws.emr.cluster.account_public_block_enabled,iso27001_2022_multi_cloud_A.8.1_0064
aws.eventbridge.rule.change_audit_logging_enabled,eventbridge,rule,eventbridge,incident,"boto3.client(""eventbridge"")",threat_detection_and_incident_response,high,eventbridge.rule.threat_detection,incident_response.notification.alerting_configured,boto3.events,boto3.events,SCAN_ABLE,exact,2,no,0,,
aws.eventbridge.rule.execution_roles_least_privilege,eventbridge,rule,eventbridge,data_pipeline,"boto3.client(""eventbridge"")",identity_and_access_management,high,eventbridge.rule.access_control,identity_access.least_privilege.eventbridge_rule_execution_roles_least_privilege,boto3.events,boto3.iam,SCAN_ABLE,exact,2,no,0,,
aws.eventbridge.rule.kms_encryption_enabled,eventbridge,rule,eventbridge,data_pipeline,"boto3.client(""eventbridge"")",data_protection_and_privacy,high,eventbridge.rule.encryption,data_protection.encryption_rest.eventbridge_rule_kms_encryption_enabled,boto3.events,boto3.events,SCAN_ABLE,exact,2,no,0,,
