catalog_rule_id,service,catalog_compliance_ids,best_yaml_jaccard,yaml_config_rules,yaml_top1,yaml_top1_catalog_map,yaml_top1_conf,ciem_rules,ciem_titles,verdict
elbv2.deletion.protection,deletion,hipaa_multi_cloud_164_308_a_1_ii_b_0002,1.0,aws.elbv2.deletion_protection.deletion_protection_configured;aws.rds.instance.deletion_protection_configured;aws.docdb.cluster.deletion_protection_enabled;aws.docdb.instance.deletion_protection_enabled;aws.elasticache.cluster.deletion_protection_enabled,aws.elbv2.deletion_protection.deletion_protection_configured,aws.elbv2.deletion_protection:aws.elbv2.load_balancer.deletion_protection_enabled,high,,,mapped
cloudfront.distributions.logging.enabled,distributions,pci_dss_v4_multi_cloud_10.2.1.6_0149,1.0,aws.cloudfront.distributions.logging_enabled;aws.cloudfront.resource.distributions_logging_enabled;aws.cloudfront.distribution.access_logging_enabled;aws.elb.resource.logging_enabled;aws.elbv2.resource.logging_enabled,aws.cloudfront.distributions.logging_enabled,aws.cloudfront.distributions_logging_enabled:aws.cloudfront.distribution.access_logging_enabled,high,,,mapped
efs.encryption.at.rest.enabled,encryption,gdpr_multi_cloud_Article_32_Security_of_processing_0003;hipaa_multi_cloud_164_308_a_1_ii_b_0002;hipaa_multi_cloud_164_308_a_4_ii_a_0009;hipaa_multi_cloud_164_312_a_2_iv_0025;hipaa_multi_cloud_164_312_,1.0,aws.efs.encryption.at_rest_enabled;aws.efs.resource.encryption_at_rest_enabled;aws.athena.workgroup.encryption_at_rest_enabled;aws.athena.workgroup_encryption.at_rest_enabled;aws.backup.backupvault.encryption_at_rest_enabled,aws.efs.encryption.at_rest_enabled,aws.efs.encryption_at_rest_enabled:aws.efs.file_system.encryption_at_rest_enabled,high,,,mapped
appsync.field.level.logging.enabled,field,pci_dss_v4_multi_cloud_10.2.1.4_0147,1.0,aws.appsync.field.level_logging_enabled;aws.appsync.resource.field_level_logging_enabled;aws.cloudfront.resource.distributions_field_level_encryption_enabled;aws.elb.resource.logging_enabled;aws.elbv2.resource.logging_enabled,aws.appsync.field.level_logging_enabled,aws.appsync.field_level_logging_enabled,high,,,mapped
efs.have.backup.enabled,have,hipaa_multi_cloud_164_308_a_7_i_0017;hipaa_multi_cloud_164_308_a_7_ii_a_0018;hipaa_multi_cloud_164_308_a_7_ii_b_0019;hipaa_multi_cloud_164_308_a_7_ii_c_0020;hipaa_multi_cloud_164_312_a_2_ii_0024,1.0,aws.efs.have.backup_enabled;aws.dynamodb.resource.backup_enabled;aws.ec2.resource.backup_enabled;aws.efs.resource.backup_enabled;aws.fsx.resource.backup_enabled,aws.efs.have.backup_enabled,aws.efs.backup_enabled:aws.efs.file_system.snapshots_enabled,high,,,mapped
ec2.instance.managed.by.ssm,instance,hipaa_multi_cloud_164_308_a_5_ii_b_0012,1.0,aws.ec2.instance.managed_by_ssm_configured,aws.ec2.instance.managed_by_ssm_configured,aws.ec2.instance.managed_by_ssm:aws.ec2.instance.data_volumes_encrypted_cmek,high,,,mapped
ec2.instance.older.than.specific.days,instance,hipaa_multi_cloud_164_308_a_1_ii_b_0002,1.0,aws.ec2.instance.older_than_specific_days_configured,aws.ec2.instance.older_than_specific_days_configured,aws.ec2.instance.older_than_specific_days:aws.ec2.key_pair.max_age_days,high,,,mapped
rds.instance.backup.enabled,instance,gdpr_multi_cloud_Article_32_Security_of_processing_0003;hipaa_multi_cloud_164_308_a_1_ii_b_0002;hipaa_multi_cloud_164_308_a_4_ii_a_0009;hipaa_multi_cloud_164_308_a_7_i_0017;hipaa_multi_cloud_164_308_a,1.0,aws.rds.instance.backup_enabled;aws.dynamodb.resource.backup_enabled;aws.ec2.resource.backup_enabled;aws.efs.resource.backup_enabled;aws.fsx.resource.backup_enabled,aws.rds.instance.backup_enabled,aws.rds.instance.backup_enabled:aws.rds.cluster_snapshot.cross_account_sharing_restricted,high,,,mapped
rds.instance.integration.cloudwatch.logs,instance,gdpr_multi_cloud_Article_32_Security_of_processing_0003;hipaa_multi_cloud_164_308_a_4_ii_a_0009;hipaa_multi_cloud_164_312_b_0026,1.0,aws.rds.instance.integration_cloudwatch_logs_configured;aws.rds.cluster.integration_cloudwatch_logs_configured;aws.neptune.cluster.neptune_integration_cloudwatch_logs_configured;aws.cloudtrail.cloudwatch.logging_enabled;aws.cloudtrail.resource.cloudwatch_logging_enabled,aws.rds.instance.integration_cloudwatch_logs_configured,aws.rds.instance.integration_cloudwatch_logs:aws.rds.instance.deletion_protection_enabled,high,,,mapped
rds.instance.multi.az,instance,hipaa_multi_cloud_164_308_a_1_ii_b_0002;hipaa_multi_cloud_164_308_a_7_i_0017;hipaa_multi_cloud_164_308_a_7_ii_a_0018;hipaa_multi_cloud_164_308_a_7_ii_b_0019;hipaa_multi_cloud_164_308_a_7_ii_c_0020,1.0,aws.rds.instance.multi_az_configured;aws.dms.instance.dms_multi_az_enabled;aws.efs.resource.multi_az_enabled;aws.rds.cluster.multi_az_configured;aws.dynamodb.cluster.dynamodb_multi_az_configured,aws.rds.instance.multi_az_configured,aws.rds.instance.multi_az:aws.rds.instance.deletion_protection_enabled,high,,,mapped
rds.instance.storage.encrypted,instance,gdpr_multi_cloud_Article_32_Security_of_processing_0003;hipaa_multi_cloud_164_308_a_1_ii_b_0002;hipaa_multi_cloud_164_308_a_4_ii_a_0009;hipaa_multi_cloud_164_312_a_2_iv_0025;hipaa_multi_cloud_164_312_,1.0,aws.rds.instance.storage_encrypted;aws.rds.cluster.storage_encrypted;aws.rds.snapshot.storage_encrypted;aws.rds.instance.backup_encrypted;aws.rds.instance.transport_encrypted,aws.rds.instance.storage_encrypted,aws.rds.instance.storage_encrypted:aws.rds.instance.encryption_at_rest_enabled,high,,,mapped
guardduty.is.enabled,is,hipaa_multi_cloud_164_308_a_1_ii_a_0001;hipaa_multi_cloud_164_308_a_1_ii_d_0003;hipaa_multi_cloud_164_308_a_3_ii_a_0005;hipaa_multi_cloud_164_308_a_5_ii_c_0013;hipaa_multi_cloud_164_308_a_6_i_0015;hip,0.667,aws.guardduty.is.guardduty_enabled;aws.inspector.resource.inspector_is_enabled,aws.guardduty.is.guardduty_enabled,aws.guardduty.detector.detectors_enabled,high,,,mapped
cloudtrail.log.file.validation.enabled,log,gdpr_multi_cloud_Article_25_Data_protection_by_design_and_by_defaul_0001;gdpr_multi_cloud_Article_32_Security_of_processing_0003;hipaa_multi_cloud_164_308_a_1_ii_b_0002;hipaa_multi_cloud_164_308_a_1_i,1.0,aws.cloudtrail.log.file_validation_enabled;aws.cloudtrail.resource.trail_cloudtrail_log_file_validation_enabled;aws.elb.resource.logging_enabled;aws.elbv2.resource.logging_enabled;aws.networkfirewall.resource.logging_enabled,aws.cloudtrail.log.file_validation_enabled,aws.cloudtrail.log_file_validation_enabled:aws.cloudtrail.trail.alert_destinations_configured,high,,,mapped
cloudwatch.log.metric.filter.and.alarm.for.aws.config.configuration.changes.enabled,log,gdpr_multi_cloud_Article_25_Data_protection_by_design_and_by_defaul_0001,0.556,aws.cloudwatch.log.metric_log_metric_alarm_aws_config_configuration_changes_configured;aws.cloudwatch.log_metric_filter_alarm_configured.log_metric_log_metric_filter_alarm_configured;aws.cloudwatch.resource.metric_alarm_metric_alarm_aws_config_configuration_changes_configured;aws.cloudwatch.log.metric_filter_for_s3_bucket_policy_changes_configured;aws.glue.job.logs_and_metrics_enabled,aws.cloudwatch.log.metric_log_metric_alarm_aws_config_configuration_changes_configured,aws.cloudwatch.log_metric_filter_and_alarm_for_aws_config_configuration_changes_enabled:aws.cloudwatch.metric.alerts_for_anomalies_configured,high,,,mapped
cloudwatch.log.metric.filter.and.alarm.for.cloudtrail.configuration.changes.enabled,log,gdpr_multi_cloud_Article_25_Data_protection_by_design_and_by_defaul_0001,0.556,aws.cloudwatch.log.metric_log_metric_alarm_cloudtrail_configuration_changes_configured;aws.cloudwatch.log_metric_filter_alarm_configured.log_metric_log_metric_filter_alarm_configured;aws.cloudwatch.resource.metric_alarm_metric_alarm_cloudtrail_configuration_changes_configured;aws.cloudwatch.log.metric_filter_for_s3_bucket_policy_changes_configured;aws.glue.job.logs_and_metrics_enabled,aws.cloudwatch.log.metric_log_metric_alarm_cloudtrail_configuration_changes_configured,aws.cloudwatch.log_metric_filter_and_alarm_for_cloudtrail_configuration_changes_enabled:aws.cloudwatch.alarm.alarm_actions_configured,high,,,mapped
cloudwatch.log.metric.filter.disable.or.scheduled.deletion.of.kms.cmk,log,gdpr_multi_cloud_Article_25_Data_protection_by_design_and_by_defaul_0001,0.909,aws.cloudwatch.log_metric_filter_disable_or_scheduled_deletion_of_kms_cmk.metric_alarm_kms_cmk_deletion_configured;aws.cloudwatch.log.metric_alarm_kms_cmk_deletion_configured,aws.cloudwatch.log_metric_filter_disable_or_scheduled_deletion_of_kms_cmk.metric_alarm_kms_cmk_deletion_configured,aws.cloudwatch.log_metric_filter_disable_or_scheduled_deletion_of_kms_cmk:aws.cloudwatch.alarm.alarm_actions_configured,high,,,mapped
cloudwatch.log.metric.filter.root.usage,log,gdpr_multi_cloud_Article_25_Data_protection_by_design_and_by_defaul_0001;hipaa_multi_cloud_164_308_a_6_i_0015;hipaa_multi_cloud_164_308_a_6_ii_0016,1.0,aws.cloudwatch.log.metric_log_metric_filter_root_usage_configured;aws.cloudwatch.log_metric_filter_root_usage.log_metric_log_metric_filter_root_usage_configured;aws.cloudwatch.log_metric_filter_alarm_configured.log_metric_log_metric_filter_alarm_configured;aws.cloudwatch.log.metric_filter_authentication_failures_configured;aws.cloudwatch.log.metric_filter_policy_changes_configured,aws.cloudwatch.log.metric_log_metric_filter_root_usage_configured,aws.cloudwatch.log_metric_filter_root_usage:aws.cloudtrail.trail.alerts_for_anomalies_configured,high,,,mapped
cloudwatch.log.metric.filter.sign.in.without.mfa,log,gdpr_multi_cloud_Article_25_Data_protection_by_design_and_by_defaul_0001,1.0,aws.cloudwatch.log.metric_filter_sign_in_without_mfa_configured;aws.cloudwatch.log_metric_filter_sign_in_without_mfa.log_metric_filter_sign_in_without_mfa_configured,aws.cloudwatch.log.metric_filter_sign_in_without_mfa_configured,aws.cloudwatch.log_metric_filter_sign_in_without_mfa:aws.cloudwatch.alarm.alarm_actions_configured,high,,,mapped
cloudwatch.log.metric.filter.unauthorized.api.calls,log,gdpr_multi_cloud_Article_25_Data_protection_by_design_and_by_defaul_0001,1.0,aws.cloudwatch.log.metric_filter_unauthorized_api_calls_configured;aws.cloudwatch.log_metric_filter_unauthorized_api_calls.log_metric_filter_unauthorized_api_calls_configured;aws.cloudwatch.log_metric_filter_alarm_configured.log_metric_log_metric_filter_alarm_configured;aws.cloudtrail.unauthorized_api_calls_monitoring_configured.unauthorized_api_calls_monitoring_configured_configured,aws.cloudwatch.log.metric_filter_unauthorized_api_calls_configured,aws.cloudwatch.log_metric_filter_unauthorized_api_calls:aws.cloudwatch.alarm.alarm_actions_configured,high,,,mapped
ssm.managed.compliant.patching,managed,hipaa_multi_cloud_164_308_a_5_ii_b_0012;pci_dss_v4_multi_cloud_11.3.1.2_0167;pci_dss_v4_multi_cloud_2.2.4_0023;pci_dss_v4_multi_cloud_2.2.5_0024;pci_dss_v4_multi_cloud_5.1.1_0065;pci_dss_v4_multi_clou,0.75,aws.ssm.managed.ssm_compliant_patching_configured,aws.ssm.managed.ssm_compliant_patching_configured,aws.ssm.managed_compliant_patching,high,,,mapped
cloudtrail.multi.region.enabled,multi,gdpr_multi_cloud_Article_25_Data_protection_by_design_and_by_defaul_0001;gdpr_multi_cloud_Article_30_Records_of_processing_activities_0002;hipaa_multi_cloud_164_308_a_1_ii_d_0003;hipaa_multi_cloud_164,0.6,aws.cloudtrail.multi.trail_cloudtrail_region_enabled;aws.cloudtrail.resource.trail_cloudtrail_multi_region_enabled;aws.efs.resource.multi_az_enabled;aws.kms.key.multi_region_disabled;aws.redshift.cluster.multi_az_enabled,aws.cloudtrail.multi.trail_cloudtrail_region_enabled,aws.cloudtrail.multi_region_enabled:aws.cloudtrail.trail.flow_logs_enabled,high,,,mapped
ec2.networkacl.allow.ingress.any.port,networkacl,hipaa_multi_cloud_164_308_a_1_ii_b_0002;hipaa_multi_cloud_164_312_e_1_0030,0.833,aws.ec2.networkacl.network_allow_ingress_any_port_configured,aws.ec2.networkacl.network_allow_ingress_any_port_configured,aws.ec2.networkacl_allow_ingress_any_port:aws.ec2.network_acl.no_unrestricted_ingress,high,,,mapped
guardduty.no.high.severity.findings,no,hipaa_multi_cloud_164_308_a_6_ii_0016,0.8,aws.guardduty.no.guardduty_finding_high_severity_findings_configured;aws.guardduty.no_high_severity_findings.guardduty_finding_no_high_severity_findings_configured,aws.guardduty.no.guardduty_finding_high_severity_findings_configured,aws.guardduty.no_high_severity_findings:aws.guardduty.custom_identifier.source_trusted,high,,,mapped
sagemaker.notebook.instance.encryption.enabled,notebook,gdpr_multi_cloud_Article_32_Security_of_processing_0003;hipaa_multi_cloud_164_308_a_1_ii_b_0002;hipaa_multi_cloud_164_308_a_4_ii_a_0009;hipaa_multi_cloud_164_312_a_2_iv_0025;hipaa_multi_cloud_164_312_,1.0,aws.sagemaker.notebook.instance_encryption_enabled;aws.sagemaker.instance.encryption_enabled;aws.sagemaker.notebook_instance.encryption_at_rest_enabled;aws.backup.resource.encryption_enabled;aws.docdb.instance.encryption_at_rest_enabled,aws.sagemaker.notebook.instance_encryption_enabled,aws.sagemaker.notebook_instance.encryption_at_rest_enabled,high,,,mapped
backup.recovery.point.encrypted,recovery,pci_dss_v4_multi_cloud_3.5.1.3_0043,0.75,aws.backup.resource.backup_recovery_point_encrypted;aws.backup.recoverypoint.backup_point_encrypted;aws.backup.recoverypoint.recovery_point_retention_configured,aws.backup.resource.backup_recovery_point_encrypted,aws.backup.recovery_point_encrypted:aws.backup.recovery_point.volumes_encrypted,high,,,mapped
apigateway.restapi.logging.enabled,restapi,hipaa_multi_cloud_164_308_a_1_ii_d_0003;hipaa_multi_cloud_164_308_a_3_ii_a_0005;hipaa_multi_cloud_164_308_a_6_ii_0016;hipaa_multi_cloud_164_312_b_0026;pci_dss_v4_multi_cloud_10.2.1.2_0145,1.0,aws.apigateway.resource.restapi_logging_enabled;aws.apigateway.restapi.logging_enabled;aws.elb.resource.logging_enabled;aws.elbv2.resource.logging_enabled;aws.networkfirewall.resource.logging_enabled,aws.apigateway.resource.restapi_logging_enabled,aws.apigateway.restapi_logging_enabled,high,,,mapped
iam.root.hardware.mfa.enabled,root,gdpr_multi_cloud_Article_25_Data_protection_by_design_and_by_defaul_0001;hipaa_multi_cloud_164_308_a_3_ii_a_0005;hipaa_multi_cloud_164_312_d_0029,1.0,aws.iam.resource.root_hardware_mfa_enabled;aws.iam.root.hardware_mfa_enabled;aws.iam.resource.root_mfa_enabled;aws.iam.root.mfa_enabled;aws.iam.user.hardware_mfa_enabled,aws.iam.resource.root_hardware_mfa_enabled,aws.iam.root_hardware_mfa_enabled:aws.iam.instance_profile.role_policies_least_privilege,high,,,mapped
iam.root.mfa.enabled,root,gdpr_multi_cloud_Article_25_Data_protection_by_design_and_by_defaul_0001;hipaa_multi_cloud_164_308_a_3_ii_a_0005;hipaa_multi_cloud_164_312_d_0029,1.0,aws.iam.resource.root_mfa_enabled;aws.iam.root.mfa_enabled;aws.iam.resource.root_hardware_mfa_enabled;aws.iam.root.hardware_mfa_enabled;aws.iam.resource.console_mfa_enabled,aws.iam.resource.root_mfa_enabled,aws.iam.root_mfa_enabled:aws.iam.instance_profile.role_policies_least_privilege,high,,,mapped
cloudtrail.s3.dataevents.read.enabled,s3,gdpr_multi_cloud_Article_30_Records_of_processing_activities_0002;hipaa_multi_cloud_164_308_a_1_ii_d_0003;hipaa_multi_cloud_164_308_a_3_ii_a_0005;hipaa_multi_cloud_164_308_a_6_ii_0016;hipaa_multi_clou,0.667,aws.cloudtrail.resource.trail_cloudtrail_s3_dataevents_read_enabled;aws.cloudtrail.s3.trail_cloudtrail_dataevents_read_enabled;aws.cloudtrail.resource.trail_cloudtrail_s3_dataevents_write_enabled;aws.cloudtrail.s3.trail_cloudtrail_dataevents_write_enabled,aws.cloudtrail.resource.trail_cloudtrail_s3_dataevents_read_enabled,aws.cloudtrail.s3_dataevents_read_enabled:aws.cloudtrail.trail.flow_logs_enabled,high,,,mapped
cloudtrail.s3.dataevents.write.enabled,s3,gdpr_multi_cloud_Article_30_Records_of_processing_activities_0002;hipaa_multi_cloud_164_308_a_1_ii_d_0003;hipaa_multi_cloud_164_308_a_3_ii_a_0005;hipaa_multi_cloud_164_308_a_6_ii_0016;hipaa_multi_clou,0.667,aws.cloudtrail.resource.trail_cloudtrail_s3_dataevents_write_enabled;aws.cloudtrail.s3.trail_cloudtrail_dataevents_write_enabled;aws.cloudtrail.resource.trail_cloudtrail_s3_dataevents_read_enabled;aws.cloudtrail.s3.trail_cloudtrail_dataevents_read_enabled,aws.cloudtrail.resource.trail_cloudtrail_s3_dataevents_write_enabled,aws.cloudtrail.s3_dataevents_write_enabled:aws.cloudtrail.trail.flow_logs_enabled,high,,,mapped
opensearch.service.domains.encryption.at.rest.enabled,service,gdpr_multi_cloud_Article_32_Security_of_processing_0003;hipaa_multi_cloud_164_308_a_1_ii_b_0002;hipaa_multi_cloud_164_308_a_4_ii_a_0009;hipaa_multi_cloud_164_312_a_2_iv_0025;hipaa_multi_cloud_164_312_,1.0,aws.opensearch.service.domains_encryption_at_rest_enabled;aws.efs.encryption.at_rest_enabled;aws.efs.resource.encryption_at_rest_enabled;aws.athena.workgroup.encryption_at_rest_enabled;aws.athena.workgroup_encryption.at_rest_enabled,aws.opensearch.service.domains_encryption_at_rest_enabled,aws.opensearch.service.domains_encryption_at_rest_enabled,high,,,mapped
opensearch.service.domains.node.to.node.encryption.enabled,service,gdpr_multi_cloud_Article_32_Security_of_processing_0003;hipaa_multi_cloud_164_308_a_4_ii_a_0009;hipaa_multi_cloud_164_312_e_1_0030,1.0,aws.opensearch.service.domains_node_to_node_encryption_enabled;aws.opensearch.service.domains_encryption_at_rest_enabled,aws.opensearch.service.domains_node_to_node_encryption_enabled,aws.opensearch.service.domains_node_to_node_encryption_enabled,high,,,mapped
elb.ssl.listeners,ssl,gdpr_multi_cloud_Article_32_Security_of_processing_0003;hipaa_multi_cloud_164_308_a_1_ii_b_0002;hipaa_multi_cloud_164_308_a_4_ii_a_0009;hipaa_multi_cloud_164_312_e_1_0030;hipaa_multi_cloud_164_312_e_2,0.667,aws.elb.ssllisteners.ssl_listeners_configured;aws.elb.listener.ssl_tls_enforced,aws.elb.ssllisteners.ssl_listeners_configured,aws.elb.ssl_listeners:aws.elb.load_balancer.secure_listener_protocols,high,,,mapped
dynamodb.tables.kms.cmk.encryption.enabled,tables,gdpr_multi_cloud_Article_32_Security_of_processing_0003;hipaa_multi_cloud_164_308_a_4_ii_a_0009;hipaa_multi_cloud_164_312_a_2_iv_0025;hipaa_multi_cloud_164_312_e_2_ii_0032,1.0,aws.dynamodb.resource.tables_kms_cmk_encryption_enabled;aws.dynamodb.tables.kms_cmk_encryption_enabled;aws.cloudtrail.kms.encryption_enabled;aws.cloudtrail.resource.kms_encryption_enabled;aws.rds.resource.dynamodb_table_encryption_enabled,aws.dynamodb.resource.tables_kms_cmk_encryption_enabled,aws.dynamodb.tables_kms_cmk_encryption_enabled:aws.dynamodb.stream.encryption_at_rest_enabled,high,,,mapped
sns.topics.kms.encryption.at.rest.enabled,topics,gdpr_multi_cloud_Article_32_Security_of_processing_0003;hipaa_multi_cloud_164_308_a_1_ii_b_0002;hipaa_multi_cloud_164_308_a_4_ii_a_0009;hipaa_multi_cloud_164_312_a_2_iv_0025;hipaa_multi_cloud_164_312_,1.0,aws.sns.resource.topics_kms_encryption_at_rest_enabled;aws.sns.topics.kms_encryption_at_rest_enabled;aws.efs.encryption.at_rest_enabled;aws.efs.resource.encryption_at_rest_enabled;aws.athena.workgroup.encryption_at_rest_enabled,aws.sns.resource.topics_kms_encryption_at_rest_enabled,aws.sns.topics_kms_encryption_at_rest_enabled:aws.sns.subscription.message_encryption_in_transit,high,,,mapped
iam.user.accesskey.unused,user,gdpr_multi_cloud_Article_25_Data_protection_by_design_and_by_defaul_0001;hipaa_multi_cloud_164_308_a_3_ii_b_0006;hipaa_multi_cloud_164_308_a_4_ii_c_0011;hipaa_multi_cloud_164_308_a_5_ii_d_0014,1.0,aws.iam.user.accesskey_unused_configured;aws.iam.user.console_access_unused_configured,aws.iam.user.accesskey_unused_configured,aws.iam.user.accesskey_unused:aws.iam.user.access_keys_rotated_90_days_or_less_when_present,high,,,mapped
iam.user.console.access.unused,user,gdpr_multi_cloud_Article_25_Data_protection_by_design_and_by_defaul_0001;hipaa_multi_cloud_164_308_a_3_ii_b_0006;hipaa_multi_cloud_164_308_a_4_ii_c_0011;hipaa_multi_cloud_164_308_a_5_ii_d_0014,1.0,aws.iam.user.console_access_unused_configured;aws.iam.user.mfa_enabled_console_access;aws.iam.user.accesskey_unused_configured,aws.iam.user.console_access_unused_configured,aws.iam.user.console_access_unused:aws.iam.user.access_keys_rotated_90_days_or_less_when_present,high,,,mapped
iam.user.mfa.enabled.console.access,user,gdpr_multi_cloud_Article_25_Data_protection_by_design_and_by_defaul_0001;hipaa_multi_cloud_164_308_a_3_ii_a_0005;hipaa_multi_cloud_164_312_a_1_0022;hipaa_multi_cloud_164_312_d_0029;pci_dss_v4_multi_cl,1.0,aws.iam.user.mfa_enabled_console_access;aws.iam.resource.console_mfa_enabled;aws.iam.user.hardware_mfa_enabled;aws.iam.user.console_access_unused_configured,aws.iam.user.mfa_enabled_console_access,aws.iam.user.mfa_enabled_console_access:aws.iam.user.mfa_required,high,,,mapped
