rule_id,yaml_service,yaml_resource_kind,domain,severity,scope,assertion_id,python_client,check_client,implementable
aws.acm-pca.certificateauthority.revocation_configured,acm-pca,certificateauthority,secrets_and_key_management,high,acm-pca.certificateauthority.revocation,key_management.acm_pca_certificateauthority_revocation_configured,boto3.acm-pca,boto3.acm-pca,SCAN_ABLE
aws.apigateway.apikey.key_expiration_required,apigateway,apikey,configuration_and_change_management,medium,apigateway.apikey.configuration,security.configuration.apigateway_apikey_key_expiration_required,boto3.apigateway,boto3.apigateway,SCAN_ABLE
aws.apigateway.authorizer.api_token_audience_restricted,apigateway,authorizer,configuration_and_change_management,medium,apigateway.authorizer.configuration,security.configuration.apigateway_authorizer_api_token_audience_restricted,boto3.apigateway,boto3.apigateway,SCAN_ABLE
aws.apigateway.authorizer.cache_ttl_configured,apigateway,authorizer,configuration_and_change_management,medium,apigateway.authorizer.configuration,security.configuration.apigateway_authorizer_cache_ttl_configured,boto3.apigateway,boto3.apigateway,SCAN_ABLE
aws.apigateway.authorizer.tls_min_1_2_enforced,apigateway,authorizer,data_protection_and_privacy,high,apigateway.authorizer.encryption,data_protection.encryption_transit.apigateway_authorizer_tls_min_1_2_enforced,boto3.apigateway,boto3.apigateway,SCAN_ABLE
aws.apigateway.certificate.certificate_enabled,apigateway,certificate,configuration_and_change_management,medium,apigateway.certificate.configuration,security.configuration.apigateway_certificate_certificate_enabled,boto3.apigateway,boto3.apigateway,SCAN_ABLE
aws.apigateway.requestvalidator.api_parameters_validation_enabled,apigateway,requestvalidator,configuration_and_change_management,medium,apigateway.requestvalidator.configuration,security.configuration.apigateway_requestvalidator_api_parameters_validation_enabled,boto3.apigateway,boto3.apigateway,SCAN_ABLE
aws.apigateway.requestvalidator.api_request_schema_validation_enabled,apigateway,requestvalidator,application_and_api_security,high,apigateway.requestvalidator.validation,api_security.validation.request_validation_enabled,boto3.apigateway,boto3.apigateway,SCAN_ABLE
aws.apigateway.resource.api_gateway_https_required,apigateway,resource,configuration_and_change_management,medium,apigateway.resource.configuration,security.configuration.apigateway_resource_api_gateway_https_required,boto3.apigateway,boto3.apigateway,SCAN_ABLE
aws.apigateway.resource.api_resource_attached_enabled,apigateway,resource,configuration_and_change_management,medium,apigateway.resource.configuration,security.configuration.apigateway_resource_api_resource_attached_enabled,boto3.apigateway,boto3.apigateway,SCAN_ABLE
aws.apigateway.resource.authorization_enabled,apigateway,resource,configuration_and_change_management,medium,apigateway.resource.configuration,security.configuration.apigateway_resource_authorization_enabled,boto3.apigateway,boto3.apigateway,SCAN_ABLE
aws.apigateway.resource.restapi_cache_encrypted,apigateway,resource,data_protection_and_privacy,high,apigateway.resource.encryption,data_protection.encryption_rest.apigateway_resource_restapi_cache_encrypted,boto3.apigateway,boto3.apigateway,SCAN_ABLE
aws.apigateway.resource.restapi_logging_enabled,apigateway,resource,logging_monitoring_and_alerting,medium,apigateway.resource.logging,logging_monitoring.logging.apigateway_resource_restapi_logging_enabled,boto3.apigateway,boto3.apigateway,SCAN_ABLE
aws.apigateway.restapi.authn_required,apigateway,restapi,configuration_and_change_management,medium,apigateway.restapi.configuration,security.configuration.apigateway_restapi_authn_required,boto3.apigateway,boto3.apigateway,SCAN_ABLE
aws.apigateway.restapi.authz_policies_enforced,apigateway,restapi,configuration_and_change_management,medium,apigateway.restapi.configuration,security.configuration.apigateway_restapi_authz_policies_enforced,boto3.apigateway,boto3.apigateway,SCAN_ABLE
aws.apigateway.restapi.logging_enabled,apigateway,restapi,configuration_and_change_management,low,apigateway.restapi.configuration,platform_surfaces_versions.platform_monitoring.service_availability_tracked,boto3.apigateway,boto3.apigateway,SCAN_ABLE
aws.apigateway.restapi.private_networking_enforced,apigateway,restapi,network_security_and_connectivity,high,apigateway.restapi.network,network_security.network_access.apigateway_restapi_private_networking_enforced,boto3.apigateway,boto3.apigateway,SCAN_ABLE
aws.apigateway.restapi.public_access_restricted,apigateway,restapi,network_security_and_connectivity,high,apigateway.restapi.network,network_security.network_access.apigateway_restapi_public_access_restricted,boto3.apigateway,boto3.apigateway,SCAN_ABLE
aws.apigateway.restapi.tracing_enabled,apigateway,restapi,configuration_and_change_management,medium,apigateway.restapi.configuration,security.configuration.apigateway_restapi_tracing_enabled,boto3.apigateway,boto3.apigateway,SCAN_ABLE
aws.apigateway.restapi.waf_enabled,apigateway,restapi,configuration_and_change_management,medium,apigateway.restapi.configuration,security.configuration.apigateway_restapi_waf_enabled,boto3.apigateway,boto3.apigateway,SCAN_ABLE
aws.apigateway.stage.api_access_log_fields_identity_configured,apigateway,stage,logging_monitoring_and_alerting,medium,apigateway.stage.logging,logging_monitoring.logging.apigateway_stage_api_access_log_fields_identity_configured,boto3.apigateway,boto3.apigateway,SCAN_ABLE
aws.apigateway.stage.api_access_log_sink_configured,apigateway,stage,logging_monitoring_and_alerting,medium,apigateway.stage.logging,logging_monitoring.logging.apigateway_stage_api_access_log_sink_configured,boto3.apigateway,boto3.apigateway,SCAN_ABLE
aws.apigateway.stage.api_access_logging_enabled,apigateway,stage,application_and_api_security,high,apigateway.stage.monitoring,api_security.monitoring.api_logging_enabled,boto3.apigateway,boto3.apigateway,SCAN_ABLE
aws.apigateway.stage.logging_enabled,apigateway,stage,application_and_api_security,high,apigateway.stage.monitoring,api_security.monitoring.api_logging_enabled,boto3.apigateway,boto3.apigateway,SCAN_ABLE
aws.apigateway.stage.throttling_enabled,apigateway,stage,configuration_and_change_management,medium,apigateway.stage.configuration,security.configuration.apigateway_stage_throttling_enabled,boto3.apigateway,boto3.apigateway,SCAN_ABLE
aws.apigateway.stage.usage_plan_for_api_keys_required,apigateway,stage,configuration_and_change_management,medium,apigateway.stage.configuration,security.configuration.apigateway_stage_usage_plan_for_api_keys_required,boto3.apigateway,boto3.apigateway,SCAN_ABLE
aws.apigateway.throttle.api_quota_limit_configured,apigateway,throttle,configuration_and_change_management,medium,apigateway.throttle.configuration,security.configuration.apigateway_throttle_api_quota_limit_configured,boto3.apigateway,boto3.apigateway,SCAN_ABLE
aws.apigateway.throttle.api_stage_burst_limit_configured,apigateway,throttle,application_and_api_security,medium,apigateway.throttle.rate_limiting,api_security.rate_limiting.api_throttling_enabled,boto3.apigateway,boto3.apigateway,SCAN_ABLE
aws.apigateway.throttle.api_stage_overrides_bounded,apigateway,throttle,configuration_and_change_management,medium,apigateway.throttle.configuration,security.configuration.apigateway_throttle_api_stage_overrides_bounded,boto3.apigateway,boto3.apigateway,SCAN_ABLE
aws.apigateway.throttle.api_stage_rate_limit_configured,apigateway,throttle,configuration_and_change_management,medium,apigateway.throttle.configuration,security.configuration.apigateway_throttle_api_stage_rate_limit_configured,boto3.apigateway,boto3.apigateway,SCAN_ABLE
aws.apigateway.throttle.api_usage_plan_for_keys_required,apigateway,throttle,configuration_and_change_management,medium,apigateway.throttle.configuration,security.configuration.apigateway_throttle_api_usage_plan_for_keys_required,boto3.apigateway,boto3.apigateway,SCAN_ABLE
aws.apigateway.usageplan.api_keys_required,apigateway,usageplan,configuration_and_change_management,medium,apigateway.usageplan.configuration,security.configuration.apigateway_usageplan_api_keys_required,boto3.apigateway,boto3.apigateway,SCAN_ABLE
aws.apigateway.usageplan.api_quota_limit_configured,apigateway,usageplan,configuration_and_change_management,medium,apigateway.usageplan.configuration,security.configuration.apigateway_usageplan_api_quota_limit_configured,boto3.apigateway,boto3.apigateway,SCAN_ABLE
aws.apigateway.usageplan.api_quota_limits_configured,apigateway,usageplan,configuration_and_change_management,medium,apigateway.usageplan.configuration,security.configuration.apigateway_usageplan_api_quota_limits_configured,boto3.apigateway,boto3.apigateway,SCAN_ABLE
aws.apigateway.usageplan.api_rate_limits_configured,apigateway,usageplan,configuration_and_change_management,medium,apigateway.usageplan.configuration,security.configuration.apigateway_usageplan_api_rate_limits_configured,boto3.apigateway,boto3.apigateway,SCAN_ABLE
aws.apigateway.usageplan.api_stage_burst_limit_configured,apigateway,usageplan,application_and_api_security,medium,apigateway.usageplan.rate_limiting,api_security.rate_limiting.api_throttling_enabled,boto3.apigateway,boto3.apigateway,SCAN_ABLE
aws.apigateway.usageplan.api_stage_rate_limit_configured,apigateway,usageplan,configuration_and_change_management,medium,apigateway.usageplan.configuration,security.configuration.apigateway_usageplan_api_stage_rate_limit_configured,boto3.apigateway,boto3.apigateway,SCAN_ABLE
aws.apigateway.usageplan.api_stage_throttle_overrides_bounded,apigateway,usageplan,configuration_and_change_management,medium,apigateway.usageplan.configuration,security.configuration.apigateway_usageplan_api_stage_throttle_overrides_bounded,boto3.apigateway,boto3.apigateway,SCAN_ABLE
aws.apigateway.v2api.authn_required,apigateway,v2api,configuration_and_change_management,medium,apigateway.v2api.configuration,security.configuration.apigateway_v2api_authn_required,boto3.apigateway,boto3.apigateway,SCAN_ABLE
aws.apigateway.v2api.authz_policies_enforced,apigateway,v2api,configuration_and_change_management,medium,apigateway.v2api.configuration,security.configuration.apigateway_v2api_authz_policies_enforced,boto3.apigateway,boto3.apigateway,SCAN_ABLE
aws.apigateway.v2api.private_networking_enforced,apigateway,v2api,network_security_and_connectivity,high,apigateway.v2api.network,network_security.network_access.apigateway_v2api_private_networking_enforced,boto3.apigateway,boto3.apigateway,SCAN_ABLE
aws.apigateway.v2api.waf_enabled,apigateway,v2api,configuration_and_change_management,medium,apigateway.v2api.configuration,security.configuration.apigateway_v2api_waf_enabled,boto3.apigateway,boto3.apigateway,SCAN_ABLE
aws.apigatewayv2.api.access_logging_enabled,apigatewayv2,api,logging_monitoring_and_alerting,medium,apigatewayv2.api.logging,logging_monitoring.logging.apigatewayv2_api_access_logging_enabled,boto3.apigatewayv2,boto3.apigatewayv2,SCAN_ABLE
aws.apigatewayv2.resource.api_access_logging_enabled,apigatewayv2,resource,logging_monitoring_and_alerting,medium,apigatewayv2.resource.logging,logging_monitoring.logging.apigatewayv2_resource_api_access_logging_enabled,boto3.apigatewayv2,boto3.apigatewayv2,SCAN_ABLE
aws.apigatewayv2.stage.api_access_log_fields_identity_configured,apigatewayv2,stage,logging_monitoring_and_alerting,medium,apigatewayv2.stage.logging,logging_monitoring.logging.apigatewayv2_stage_api_access_log_fields_identity_configured,boto3.apigatewayv2,boto3.apigatewayv2,SCAN_ABLE
aws.apigatewayv2.stage.api_access_log_sink_configured,apigatewayv2,stage,logging_monitoring_and_alerting,medium,apigatewayv2.stage.logging,logging_monitoring.logging.apigatewayv2_stage_api_access_log_sink_configured,boto3.apigatewayv2,boto3.apigatewayv2,SCAN_ABLE
aws.apigatewayv2.stage.api_access_logging_enabled,apigatewayv2,stage,logging_monitoring_and_alerting,medium,apigatewayv2.stage.logging,logging_monitoring.logging.apigatewayv2_stage_api_access_logging_enabled,boto3.apigatewayv2,boto3.apigatewayv2,SCAN_ABLE
aws.apigatewayv2.stage.api_burst_limit_configured,apigatewayv2,stage,configuration_and_change_management,medium,apigatewayv2.stage.configuration,security.configuration.apigatewayv2_stage_api_burst_limit_configured,boto3.apigatewayv2,boto3.apigatewayv2,SCAN_ABLE
aws.apigatewayv2.stage.api_execution_logging_level_minimum_error_configured,apigatewayv2,stage,logging_monitoring_and_alerting,medium,apigatewayv2.stage.logging,logging_monitoring.logging.apigatewayv2_stage_api_execution_logging_level_minimum_error_configured,boto3.apigatewayv2,boto3.apigatewayv2,SCAN_ABLE
aws.apigatewayv2.stage.api_logs_retention_days_minimum,apigatewayv2,stage,logging_monitoring_and_alerting,medium,apigatewayv2.stage.logging,logging_monitoring.logging.apigatewayv2_stage_api_logs_retention_days_minimum,boto3.apigatewayv2,boto3.apigatewayv2,SCAN_ABLE
aws.apigatewayv2.stage.api_quota_limit_configured,apigatewayv2,stage,configuration_and_change_management,medium,apigatewayv2.stage.configuration,security.configuration.apigatewayv2_stage_api_quota_limit_configured,boto3.apigatewayv2,boto3.apigatewayv2,SCAN_ABLE
aws.apigatewayv2.stage.api_rate_limit_configured,apigatewayv2,stage,configuration_and_change_management,medium,apigatewayv2.stage.configuration,security.configuration.apigatewayv2_stage_api_rate_limit_configured,boto3.apigatewayv2,boto3.apigatewayv2,SCAN_ABLE
aws.apigatewayv2.stage.api_throttle_overrides_bounded,apigatewayv2,stage,configuration_and_change_management,medium,apigatewayv2.stage.configuration,security.configuration.apigatewayv2_stage_api_throttle_overrides_bounded,boto3.apigatewayv2,boto3.apigatewayv2,SCAN_ABLE
aws.apigatewayv2.stage.api_usage_plan_required_for_api_keys,apigatewayv2,stage,configuration_and_change_management,medium,apigatewayv2.stage.configuration,security.configuration.apigatewayv2_stage_api_usage_plan_required_for_api_keys,boto3.apigatewayv2,boto3.apigatewayv2,SCAN_ABLE
aws.appstream.resource.fleet_default_internet_access_disabled,appstream,resource,configuration_and_change_management,medium,appstream.resource.configuration,security.configuration.appstream_resource_fleet_default_internet_access_disabled,boto3.appstream,boto3.appstream,SCAN_ABLE
aws.appsync.field.level_logging_enabled,appsync,field,logging_monitoring_and_alerting,medium,appsync.field.logging,logging_monitoring.logging.appsync_field_level_logging_enabled,boto3.appsync,boto3.appsync,SCAN_ABLE
aws.appsync.resource.field_level_logging_enabled,appsync,resource,logging_monitoring_and_alerting,medium,appsync.resource.logging,logging_monitoring.logging.appsync_resource_field_level_logging_enabled,boto3.appsync,boto3.appsync,SCAN_ABLE
aws.athena.resource.workgroup_logging_enabled,athena,resource,logging_monitoring_and_alerting,medium,athena.resource.logging,logging_monitoring.logging.athena_resource_workgroup_logging_enabled,boto3.athena,boto3.athena,SCAN_ABLE
aws.athena.workgroup.admin_activity_logging_enabled,athena,workgroup,data_protection_and_privacy,medium,athena.workgroup.data_protection,data_analytics.monitoring.query_monitoring_enabled,boto3.athena,boto3.athena,SCAN_ABLE
aws.athena.workgroup.athena_allowed_data_sources_allowlist_configured,athena,workgroup,configuration_and_change_management,medium,athena.workgroup.configuration,security.configuration.athena_workgroup_athena_allowed_data_sources_allowlist_configured,boto3.athena,boto3.athena,SCAN_ABLE
aws.athena.workgroup.encryption_at_rest_enabled,athena,workgroup,data_protection_and_privacy,high,athena.workgroup.encryption,data_protection.encryption_rest.athena_workgroup_encryption_at_rest_enabled,boto3.athena,boto3.athena,SCAN_ABLE
aws.athena.workgroup.logs_retention_days_minimum,athena,workgroup,logging_monitoring_and_alerting,medium,athena.workgroup.logging,logging_monitoring.logging.athena_workgroup_logs_retention_days_minimum,boto3.athena,boto3.athena,SCAN_ABLE
aws.athena.workgroup.query_access_logging_enabled,athena,workgroup,data_protection_and_privacy,medium,athena.workgroup.data_protection,data_analytics.monitoring.query_monitoring_enabled,boto3.athena,boto3.athena,SCAN_ABLE
aws.athena.workgroup.query_result_encryption_enabled,athena,workgroup,data_protection_and_privacy,high,athena.workgroup.encryption,data_protection.encryption_rest.athena_workgroup_query_result_encryption_enabled,boto3.athena,boto3.athena,SCAN_ABLE
aws.athena.workgroup_encryption.at_rest_enabled,athena,workgroup_encryption,configuration_and_change_management,medium,athena.workgroup_encryption.configuration,security.configuration.athena_workgroup_encryption_at_rest_enabled,boto3.athena,boto3.athena,SCAN_ABLE
aws.autoscaling.group.auto_scaling_group_configured,autoscaling,group,configuration_and_change_management,medium,autoscaling.group.configuration,security.configuration.autoscaling_group_auto_scaling_group_configured,boto3.autoscaling,boto3.autoscaling,SCAN_ABLE
aws.autoscaling.group.autoscaling_capacity_rebalance_enabled,autoscaling,group,configuration_and_change_management,medium,autoscaling.group.configuration,security.configuration.autoscaling_group_autoscaling_capacity_rebalance_enabled,boto3.autoscaling,boto3.autoscaling,SCAN_ABLE
aws.autoscaling.group.autoscaling_multiple_az_configured,autoscaling,group,configuration_and_change_management,medium,autoscaling.group.configuration,security.configuration.autoscaling_group_autoscaling_multiple_az_configured,boto3.autoscaling,boto3.autoscaling,SCAN_ABLE
aws.autoscaling.group.security_check_health_check_enabled,autoscaling,group,configuration_and_change_management,medium,autoscaling.group.configuration,security.configuration.autoscaling_group_security_check_health_check_enabled,boto3.autoscaling,boto3.autoscaling,SCAN_ABLE
aws.backup.backupjob.alert_destinations_configured,backup,backupjob,configuration_and_change_management,medium,backup.backupjob.configuration,security.configuration.backup_backupjob_alert_destinations_configured,boto3.backup,boto3.backup,SCAN_ABLE
aws.backup.backupjob.alert_rules_for_job_failures_configured,backup,backupjob,configuration_and_change_management,medium,backup.backupjob.configuration,security.configuration.backup_backupjob_alert_rules_for_job_failures_configured,boto3.backup,boto3.backup,SCAN_ABLE
aws.backup.backupjob.alert_rules_for_sla_breach_configured,backup,backupjob,configuration_and_change_management,medium,backup.backupjob.configuration,security.configuration.backup_backupjob_alert_rules_for_sla_breach_configured,boto3.backup,boto3.backup,SCAN_ABLE
aws.backup.backupjob.alerts_for_backup_failures_configured,backup,backupjob,resilience_and_disaster_recovery,medium,backup.backupjob.backup_recovery,resilience.backup_recovery.backup_backupjob_alerts_for_backup_failures_configured,boto3.backup,boto3.backup,SCAN_ABLE
aws.backup.backupjob.alerts_for_replication_lag_configured,backup,backupjob,resilience_and_disaster_recovery,medium,backup.backupjob.backup_recovery,resilience.backup_recovery.backup_backupjob_alerts_for_replication_lag_configured,boto3.backup,boto3.backup,SCAN_ABLE
aws.backup.backupjob.alerts_for_rpo_rto_breach_configured,backup,backupjob,configuration_and_change_management,medium,backup.backupjob.configuration,security.configuration.backup_backupjob_alerts_for_rpo_rto_breach_configured,boto3.backup,boto3.backup,SCAN_ABLE
aws.backup.backupjob.backup_metrics_export_enabled,backup,backupjob,resilience_and_disaster_recovery,medium,backup.backupjob.backup_recovery,resilience.backup_recovery.backup_backupjob_backup_metrics_export_enabled,boto3.backup,boto3.backup,SCAN_ABLE
aws.backup.backupjob.backup_results_storage_encrypted_and_private,backup,backupjob,data_protection_and_privacy,high,backup.backupjob.encryption,data_protection.encryption_rest.backup_backupjob_backup_results_storage_encrypted_and_private,boto3.backup,boto3.backup,SCAN_ABLE
aws.backup.backupjob.execution_roles_least_privilege,backup,backupjob,identity_and_access_management,high,backup.backupjob.access_control,identity_access.least_privilege.backup_backupjob_execution_roles_least_privilege,boto3.backup,boto3.iam,SCAN_ABLE
aws.backup.backupjob.logging_enabled,backup,backupjob,logging_monitoring_and_alerting,medium,backup.backupjob.logging,logging_monitoring.logging.backup_backupjob_logging_enabled,boto3.backup,boto3.backup,SCAN_ABLE
aws.backup.backupjob.network_private_only_configured,backup,backupjob,network_security_and_connectivity,high,backup.backupjob.network,network_security.network_access.backup_backupjob_network_private_only_configured,boto3.backup,boto3.backup,SCAN_ABLE
aws.backup.backupjob.role_least_privilege,backup,backupjob,identity_and_access_management,high,backup.backupjob.access_control,identity_access.least_privilege.backup_backupjob_role_least_privilege,boto3.backup,boto3.backup,SCAN_ABLE
aws.backup.backupplan.auth_roles_least_privilege,backup,backupplan,identity_and_access_management,high,backup.backupplan.access_control,identity_access.least_privilege.backup_backupplan_auth_roles_least_privilege,boto3.backup,boto3.backup,SCAN_ABLE
aws.backup.backupplan.backup_admins_mfa_required,backup,backupplan,resilience_and_disaster_recovery,medium,backup.backupplan.backup_recovery,resilience.backup_recovery.backup_backupplan_backup_admins_mfa_required,boto3.backup,boto3.backup,SCAN_ABLE
aws.backup.backupplan.backup_approvals_required_for_changes,backup,backupplan,resilience_and_disaster_recovery,medium,backup.backupplan.backup_recovery,resilience.backup_recovery.backup_backupplan_backup_approvals_required_for_changes,boto3.backup,boto3.backup,SCAN_ABLE
aws.backup.backupplan.backup_cross_region_replication_encrypted,backup,backupplan,data_protection_and_privacy,high,backup.backupplan.encryption,data_protection.encryption_rest.backup_backupplan_backup_cross_region_replication_encrypted,boto3.backup,boto3.backup,SCAN_ABLE
aws.backup.backupplan.backup_ec2_resources_included_configured,backup,backupplan,resilience_and_disaster_recovery,medium,backup.backupplan.backup_recovery,resilience.backup_recovery.backup_backupplan_backup_ec2_resources_included_configured,boto3.backup,boto3.backup,SCAN_ABLE
aws.backup.backupplan.backup_job_success_rate_minimum,backup,backupplan,resilience_and_disaster_recovery,medium,backup.backupplan.backup_recovery,resilience.backup_recovery.backup_backupplan_backup_job_success_rate_minimum,boto3.backup,boto3.backup,SCAN_ABLE
aws.backup.backupplan.backup_keys_access_least_privilege,backup,backupplan,identity_and_access_management,high,backup.backupplan.access_control,identity_access.least_privilege.backup_backupplan_backup_keys_access_least_privilege,boto3.backup,boto3.backup,SCAN_ABLE
aws.backup.backupplan.backup_plan_configured,backup,backupplan,resilience_and_disaster_recovery,medium,backup.backupplan.backup_recovery,resilience.backup_recovery.backup_backupplan_backup_plan_configured,boto3.backup,boto3.backup,SCAN_ABLE
aws.backup.backupplan.backup_plans_configured,backup,backupplan,resilience_and_disaster_recovery,medium,backup.backupplan.backup_recovery,resilience.backup_recovery.backup_backupplan_backup_plans_configured,boto3.backup,boto3.backup,SCAN_ABLE
aws.backup.backupplan.backup_resource_discovery_synced_configured,backup,backupplan,resilience_and_disaster_recovery,medium,backup.backupplan.backup_recovery,resilience.backup_recovery.backup_backupplan_backup_resource_discovery_synced_configured,boto3.backup,boto3.backup,SCAN_ABLE
aws.backup.backupplan.backup_retention_minimum_configured,backup,backupplan,resilience_and_disaster_recovery,medium,backup.backupplan.backup_recovery,resilience.backup_recovery.backup_backupplan_backup_retention_minimum_configured,boto3.backup,boto3.backup,SCAN_ABLE
aws.backup.backupplan.backup_storage_encrypted_and_private,backup,backupplan,data_protection_and_privacy,high,backup.backupplan.encryption,data_protection.encryption_rest.backup_backupplan_backup_storage_encrypted_and_private,boto3.backup,boto3.backup,SCAN_ABLE
aws.backup.backupplan.backup_vault_rbac_least_privilege,backup,backupplan,identity_and_access_management,high,backup.backupplan.access_control,identity_access.least_privilege.backup_backupplan_backup_vault_rbac_least_privilege,boto3.backup,boto3.backup,SCAN_ABLE
aws.backup.backupplan.change_audit_logging_enabled,backup,backupplan,resilience_and_disaster_recovery,low,backup.backupplan.backup_recovery,resilience_recovery.disaster_recovery.rto_rpo_defined,boto3.backup,boto3.backup,SCAN_ABLE
aws.backup.backupplan.encryption_in_transit_tls_required,backup,backupplan,data_protection_and_privacy,high,backup.backupplan.encryption,data_protection.encryption_rest.backup_backupplan_encryption_in_transit_tls_required,boto3.backup,boto3.backup,SCAN_ABLE
aws.backup.backupplan.failed_jobs_alerting_enabled,backup,backupplan,configuration_and_change_management,medium,backup.backupplan.configuration,security.configuration.backup_backupplan_failed_jobs_alerting_enabled,boto3.backup,boto3.backup,SCAN_ABLE
aws.backup.backupplan.lag_monitoring_alerts_enabled,backup,backupplan,logging_monitoring_and_alerting,medium,backup.backupplan.logging,logging_monitoring.monitoring.backup_backupplan_lag_monitoring_alerts_enabled,boto3.backup,boto3.backup,SCAN_ABLE
aws.backup.backupplan.last_backup_recency_within_days,backup,backupplan,resilience_and_disaster_recovery,medium,backup.backupplan.backup_recovery,resilience.backup_recovery.backup_backupplan_last_backup_recency_within_days,boto3.backup,boto3.backup,SCAN_ABLE
aws.backup.backupplan.no_public_access_to_backup_vault_configured,backup,backupplan,network_security_and_connectivity,high,backup.backupplan.network,network_security.network_access.backup_backupplan_no_public_access_to_backup_vault_configured,boto3.backup,boto3.backup,SCAN_ABLE
aws.backup.backupplan.policy_assignment_complete,backup,backupplan,identity_and_access_management,high,backup.backupplan.access_control,identity_access.least_privilege.backup_backupplan_policy_assignment_complete,boto3.backup,boto3.backup,SCAN_ABLE
