yaml_rule_id,yaml_service,yaml_resource_kind,scope,domain,severity,assertion_id,verdict_bucket,best_jaccard,pool_size,prev_ai_match,prev_ai_confidence,prev_ai_reasoning,new_ai_match,new_ai_confidence,new_ai_reasoning,top5_candidates,manual_review_decision,manual_review_notes
aws.docdb.cluster.audit_logging_to_cloudwatch_enabled,docdb,cluster,docdb.cluster.logging,logging_monitoring_and_alerting,medium,logging_monitoring.logging.docdb_cluster_audit_logging_to_cloudwatch_enabled,ai-likely-missed,0.75,26,,none,"None of the candidate rules address audit logging to CloudWatch for DocumentDB clusters, focusing instead on IAM authentication, encryption, backups, engine versions, monitoring, or VPC security.",aws.documentdb.cluster.audit_logging_to_cloudwatch_enabled:aws.documentdb.cluster.audit_logging_enabled,high,Both rules target audit logging to CloudWatch for DocumentDB clusters with identical intent.,aws.documentdb.cluster.audit_logging_to_cloudwatch_enabled:aws.documentdb.cluster.audit_logging_enabled(0.75); aws.documentdb.cluster.audit_logging_enabled(0.67); aws.documentdb.cluster.cloudwatch_log_export:aws.documentdb.cluster.audit_logging_enabled(0.62); aws.documentdb.cluster.storage_encrypted:aws.documentdb.cluster.audit_logging_enabled(0.44); aws.documentdb.cluster.multi_az_enabled:aws.documentdb.cluster.audit_logging_enabled(0.40),,
aws.docdb.cluster.deletion_protection_enabled,docdb,cluster,docdb.cluster.configuration,configuration_and_change_management,medium,security.configuration.docdb_cluster_deletion_protection_enabled,ai-likely-missed,1.0,26,,none,None of the candidate rules address deletion protection for DocumentDB clusters; they cover different security and operational aspects.,aws.documentdb.cluster.deletion_protection_enabled,high,"Both rules check for deletion protection on DocumentDB clusters, with identical intent and resource scope.",aws.documentdb.cluster.deletion_protection_enabled(1.00); aws.documentdb.instance.deletion_protection_enabled(0.60); aws.docdb.cluster.iam_authentication_enabled(0.33); aws.documentdb.cluster.audit_logging_enabled(0.33); aws.docdb.cluster.encryption_in_transit_enabled(0.29),,
aws.docdb.cluster.docdb_minor_version_auto_upgrade_enabled,docdb,cluster,docdb.cluster.data_protection,data_protection_and_privacy,low,data_protection.data_lifecycle.docdb_cluster_docdb_minor_version_auto_upgrade_enabled,ai-likely-missed,0.857,26,aws.docdb.cluster.engine_version_check,medium,"Both rules focus on DocumentDB cluster version management, with the config rule specifically checking for auto-upgrade of minor versions and the candidate likely checking version compliance.",aws.documentdb.cluster.minor_version_auto_upgrade_enabled,high,"Both rules check for auto-upgrade of minor versions on DocumentDB clusters, with only minor service alias differences (docdb vs documentdb).",aws.documentdb.cluster.minor_version_auto_upgrade_enabled(0.86); aws.docdb.cluster.engine_version_check(0.22); aws.docdb.cluster.iam_authentication_enabled(0.22); aws.documentdb.cluster.deletion_protection_enabled(0.22); aws.documentdb.cluster.audit_logging_enabled(0.22),,
aws.docdb.cluster.encryption_at_rest_cmek_configured,docdb,cluster,docdb.cluster.encryption,data_protection_and_privacy,high,data_protection.encryption_rest.docdb_cluster_encryption_at_rest_cmek_configured,ai-likely-missed,1.0,26,,none,No candidate rule addresses encryption at rest with customer-managed keys (CMEK) for DocumentDB clusters.,aws.documentdb.cluster.encryption_at_rest_cmek,high,"Both rules check for encryption at rest with customer-managed keys (CMEK) on DocumentDB clusters, with identical intent and resource.",aws.documentdb.cluster.encryption_at_rest_cmek(1.00); aws.documentdb.cluster.encryption_at_rest_enabled(0.67); aws.documentdb.cluster.encryption_at_rest_enabled:aws.documentdb.cluster.encryption_at_rest_enabled(0.50); aws.documentdb.instance.encryption_at_rest_enabled(0.43); aws.docdb.cluster.encryption_in_transit_enabled(0.25),,
aws.docdb.cluster.encryption_at_rest_enabled,docdb,cluster,docdb.cluster.encryption,data_protection_and_privacy,high,data_protection.encryption_rest.docdb_cluster_encryption_at_rest_enabled,ai-likely-missed,1.0,26,,none,"The config rule checks encryption at rest for DocumentDB clusters, but all candidates cover different controls like encryption in transit, IAM authentication, backup, monitoring, or VPC security.",aws.documentdb.cluster.encryption_at_rest_enabled,high,"Candidate rule asserts the same encryption-at-rest control for DocumentDB clusters, matching the YAML rule's intent and resource.",aws.documentdb.cluster.encryption_at_rest_enabled(1.00); aws.documentdb.cluster.encryption_at_rest_enabled:aws.documentdb.cluster.encryption_at_rest_enabled(0.71); aws.documentdb.cluster.encryption_at_rest_cmek(0.67); aws.documentdb.instance.encryption_at_rest_enabled(0.67); aws.docdb.cluster.encryption_in_transit_enabled(0.43),,
aws.docdb.cluster.private_networking_enforced,docdb,cluster,docdb.cluster.network,network_security_and_connectivity,high,network_security.network_access.docdb_cluster_private_networking_enforced,ai-likely-missed,1.0,26,,none,"None of the candidate rules address private networking enforcement for DocumentDB clusters, which is the specific control in the YAML rule.",aws.documentdb.cluster.private_networking_enforced,high,"Candidate rule asserts the same control for private networking on DocumentDB clusters, matching the YAML rule's intent and resource.",aws.documentdb.cluster.private_networking_enforced(1.00); aws.docdb.cluster.backup_retention_period_configured(0.14); aws.docdb.cluster.engine_version_check(0.14); aws.docdb.cluster.iam_authentication_enabled(0.14); aws.docdb.cluster.monitoring_and_alerting_configured(0.14),,
aws.docdb.cluster.public_access_disabled,docdb,cluster,docdb.cluster.network,network_security_and_connectivity,high,network_security.network_access.docdb_cluster_public_access_disabled,ai-likely-missed,1.0,26,,none,"None of the candidate rules address public access control for DocumentDB clusters, which is the specific network security focus of the given rule.",aws.documentdb.cluster.public_access_disabled,high,Candidate rule asserts the same control on the same resource with identical intent.,aws.documentdb.cluster.public_access_disabled(1.00); aws.documentdb.instance.public_access_disabled(0.60); aws.docdb.cluster.backup_retention_period_configured(0.14); aws.docdb.cluster.engine_version_check(0.14); aws.docdb.cluster.iam_authentication_enabled(0.14),,
aws.docdb.instance.deletion_protection_enabled,docdb,instance,docdb.instance.configuration,configuration_and_change_management,medium,security.configuration.docdb_instance_deletion_protection_enabled,ai-likely-missed,1.0,26,,none,No candidate rule addresses deletion protection for DocumentDB instances or clusters.,aws.documentdb.instance.deletion_protection_enabled,high,Both rules check deletion protection on DocumentDB instances with identical intent and resource scope.,aws.documentdb.instance.deletion_protection_enabled(1.00); aws.documentdb.cluster.deletion_protection_enabled(0.60); aws.documentdb.instance.encryption_at_rest_enabled(0.29); aws.documentdb.instance.iam_or_managed_identity_auth_enabled_where_supported(0.18); aws.docdb.cluster.iam_authentication_enabled(0.14),,
aws.docdb.instance.encryption_at_rest_enabled,docdb,instance,docdb.instance.encryption,data_protection_and_privacy,high,data_protection.encryption_rest.docdb_instance_encryption_at_rest_enabled,ai-likely-missed,1.0,26,,none,"The config rule checks encryption at rest for DocumentDB instances, but all candidates focus on different controls like encryption in transit, IAM authentication, backups, or monitoring.",aws.documentdb.instance.encryption_at_rest_enabled,high,Candidate rule asserts the same encryption-at-rest control on the same DocumentDB instance resource.,aws.documentdb.instance.encryption_at_rest_enabled(1.00); aws.documentdb.cluster.encryption_at_rest_enabled(0.67); aws.documentdb.cluster.encryption_at_rest_enabled:aws.documentdb.cluster.encryption_at_rest_enabled(0.50); aws.documentdb.cluster.encryption_at_rest_cmek(0.43); aws.documentdb.instance.deletion_protection_enabled(0.29),,
aws.docdb.instance.iam_or_managed_identity_auth_enabled_if_supported,docdb,instance,docdb.instance.access_control,identity_and_access_management,high,identity_access.least_privilege.docdb_instance_iam_or_managed_identity_auth_enabled_if_supported,ai-likely-missed,0.8,26,aws.docdb.cluster.iam_authentication_enabled,medium,"Both rules enforce IAM authentication for DocumentDB, but the config rule targets instances while the catalog rule targets clusters, representing a slight granularity difference.",aws.documentdb.instance.iam_or_managed_identity_auth_enabled_where_supported,high,"Both rules enforce IAM or managed identity authentication for DocumentDB instances where supported, with identical intent and resource scope.",aws.documentdb.instance.iam_or_managed_identity_auth_enabled_where_supported(0.80); aws.documentdb.cluster.iam_or_managed_identity_auth_enabled_where_supported(0.64); aws.docdb.cluster.iam_authentication_enabled(0.18); aws.documentdb.instance.deletion_protection_enabled(0.18); aws.documentdb.instance.encryption_at_rest_enabled(0.17),,
aws.docdb.instance.require_tls_in_transit_configured,docdb,instance,docdb.instance.encryption,data_protection_and_privacy,high,data_protection.encryption_transit.docdb_instance_require_tls_in_transit_configured,ai-likely-missed,1.0,26,aws.docdb.cluster.encryption_in_transit_enabled,medium,"Both rules enforce TLS/encryption in transit for DocumentDB, but the config rule targets instances while the catalog rule targets clusters, representing a resource granularity difference.",aws.documentdb.instance.require_tls_in_transit,high,Both rules enforce TLS encryption in transit for DocumentDB instances with identical intent and resource scope.,aws.documentdb.instance.require_tls_in_transit(1.00); aws.documentdb.cluster.require_tls_in_transit(0.67); aws.docdb.cluster.encryption_in_transit_enabled(0.25); aws.documentdb.instance.public_access_disabled(0.12); aws.documentdb.instance.deletion_protection_enabled(0.12),,
aws.elasticbeanstalk.application.logging_enabled,elasticbeanstalk,application,elasticbeanstalk.application.logging,logging_monitoring_and_alerting,medium,logging_monitoring.logging.elasticbeanstalk_application_logging_enabled,ai-likely-missed,1.0,14,aws.elasticbeanstalk.environment_cloudwatch_logging_enabled,medium,"Both rules enforce logging for Elastic Beanstalk, but the candidate targets environment-level CloudWatch logging while the input targets application-level logging.",aws.elastic_beanstalk.application.logging_enabled,high,Candidate rule_id matches exactly on resource (application) and control (logging enabled) with minor naming variation.,aws.elastic_beanstalk.application.logging_enabled(1.00); aws.elastic_beanstalk.environment.logging_enabled(0.50); aws.elasticbeanstalk.environment_cloudwatch_logging_enabled(0.40); aws.elasticbeanstalk.managed_updates_enabled(0.20); aws.elastic_beanstalk.application_version.immutable(0.20),,
aws.elasticbeanstalk.environment.env_secrets_from_vault_only_configured,elasticbeanstalk,environment,elasticbeanstalk.environment.configuration,configuration_and_change_management,medium,security.configuration.elasticbeanstalk_environment_env_secrets_from_vault_only_configured,ai-likely-missed,1.0,14,,none,"The config rule focuses on secrets management from a vault, while all candidates are about logging or managed updates, with no semantic overlap.",aws.elastic_beanstalk.environment.env_secrets_from_vault_only,high,"Both rules check that Elastic Beanstalk environment secrets are sourced only from vaults, with identical intent and resource scope.",aws.elastic_beanstalk.environment.env_secrets_from_vault_only(1.00); aws.elastic_beanstalk.application.env_secrets_from_vault_only(0.71); aws.elastic_beanstalk.environment.logging_enabled(0.12); aws.elasticbeanstalk.environment_cloudwatch_logging_enabled(0.11); aws.elasticbeanstalk.environment_cloudwatch_logging_enabled:nan(0.11),,
aws.elasticbeanstalk.environment.private_networking_enforced,elasticbeanstalk,environment,elasticbeanstalk.environment.network,network_security_and_connectivity,high,network_security.network_access.elasticbeanstalk_environment_private_networking_enforced,ai-likely-missed,1.0,14,,none,None of the candidate rules address network security or private networking for Elastic Beanstalk environments.,aws.elastic_beanstalk.environment.private_networking_enforced,high,Candidate rule_id matches the same control for private networking on Elastic Beanstalk environments with identical intent.,aws.elastic_beanstalk.environment.private_networking_enforced(1.00); aws.elastic_beanstalk.application.private_networking_enforced(0.60); aws.elastic_beanstalk.environment.tls_min_1_2_enforced(0.25); aws.elastic_beanstalk.environment.logging_enabled(0.17); aws.elasticbeanstalk.environment_cloudwatch_logging_enabled(0.14),,
aws.elasticbeanstalk.environment.tls_min_1_2_enforced,elasticbeanstalk,environment,elasticbeanstalk.environment.encryption,data_protection_and_privacy,high,data_protection.encryption_transit.elasticbeanstalk_environment_tls_min_1_2_enforced,ai-likely-missed,1.0,14,,none,"The config rule enforces TLS 1.2+ for Elastic Beanstalk environments, but all candidates only cover CloudWatch logging or managed updates, which are unrelated to TLS encryption.",aws.elastic_beanstalk.environment.tls_min_1_2_enforced,high,Exact match on enforcing TLS 1.2 for Elastic Beanstalk environments.,aws.elastic_beanstalk.environment.tls_min_1_2_enforced(1.00); aws.elastic_beanstalk.application.tls_min_1_2_enforced(0.71); aws.elastic_beanstalk.environment.private_networking_enforced(0.25); aws.elastic_beanstalk.environment.logging_enabled(0.12); aws.elasticbeanstalk.environment_cloudwatch_logging_enabled(0.11),,
aws.kinesisfirehose.deliverystream.encryption_at_rest_enabled,kinesisfirehose,deliverystream,kinesisfirehose.deliverystream.encryption,data_protection_and_privacy,high,data_protection.encryption_rest.kinesisfirehose_deliverystream_encryption_at_rest_enabled,ai-likely-missed,0.571,8,,none,No candidate rule matches the Kinesis Firehose Delivery Stream service and resource type for encryption at rest.,aws.kinesis_firehose.delivery_stream.encryption_at_rest_enabled,high,Both rules check for encryption at rest on Kinesis Firehose delivery streams with identical intent.,aws.kinesis_firehose.delivery_stream.encryption_at_rest_enabled(0.57); aws.firehose.stream_encrypted_at_rest(0.50); aws.firehose.stream_encrypted_at_rest:nan(0.29); aws.kinesis_firehose.delivery_stream.destination_encrypted(0.12); aws.kinesis_firehose.delivery_stream.logging_enabled(0.12),,
aws.securityhub.action.versioning_and_immutability_enabled,securityhub,action,securityhub.action.data_protection,data_protection_and_privacy,low,data_protection.data_lifecycle.securityhub_action_versioning_and_immutability_enabled,ai-likely-missed,1.0,15,,none,"The config rule checks for versioning and immutability on Security Hub actions, while all candidates only check if Security Hub is enabled or enabled in all regions, with no overlap on data protection controls.",aws.security_hub.action.versioning_and_immutability_enabled,high,"Candidate rule_id is identical in meaning to the YAML rule_id, only differing in underscore/hyphen formatting.",aws.security_hub.action.versioning_and_immutability_enabled(1.00); aws.security_hub.action.storage_encrypted_and_private(0.25); securityhub.enabled(0.20); aws.security_hub.hub.detectors_enabled(0.14); aws.securityhub.hub_enabled_in_all_regions(0.11),,
aws.securityhub.hub.securityhub_auto_enroll_new_accounts_configured,securityhub,hub,securityhub.hub.configuration,configuration_and_change_management,medium,security.configuration.securityhub_hub_securityhub_auto_enroll_new_accounts_configured,ai-likely-missed,0.833,15,,none,"The config rule checks for auto-enrollment of new accounts in Security Hub, while all candidates only check if Security Hub is enabled, which is a different control.",aws.security_hub.hub.auto_enroll_new_accounts,high,Both rules specifically check for auto-enrollment of new accounts in AWS Security Hub.,aws.security_hub.hub.auto_enroll_new_accounts(0.83); aws.security_hub.hub.detectors_enabled(0.12); aws.security_hub.hub.destinations_encrypted(0.12); aws.security_hub.hub.master_member_configured(0.12); aws.securityhub.hub_enabled_in_all_regions(0.10),,
aws.securityhub.hub.securityhub_destinations_encrypted,securityhub,hub,securityhub.hub.encryption,data_protection_and_privacy,high,data_protection.encryption_rest.securityhub_hub_securityhub_destinations_encrypted,ai-likely-missed,0.75,15,,none,"The config rule checks encryption for Security Hub destinations, but all candidates only check if Security Hub is enabled, with no overlap in control intent.",aws.security_hub.hub.destinations_encrypted,high,"Both rules assert encryption for Security Hub destinations, with identical intent and resource focus.",aws.security_hub.hub.destinations_encrypted(0.75); aws.security_hub.hub.finding_export_encrypted_destination(0.50); aws.security_hub.hub.detectors_enabled(0.17); aws.security_hub.hub.master_member_configured(0.17); aws.security_hub.finding.alert_destinations_configured(0.17),,
aws.securityhub.hub.securityhub_detectors_enabled,securityhub,hub,securityhub.hub.configuration,configuration_and_change_management,medium,security.configuration.securityhub_hub_securityhub_detectors_enabled,ai-likely-missed,0.75,15,,none,"The config rule checks if SecurityHub detectors are enabled, while all candidates only check if SecurityHub itself is enabled, which are different controls.",aws.security_hub.hub.detectors_enabled,high,"Both rules check if Security Hub detectors are enabled, covering the same control on the same resource.",aws.security_hub.hub.detectors_enabled(0.75); aws.securityhub.hub_enabled_in_all_regions(0.29); aws.securityhub.hub_enabled_in_all_regions:nan(0.29); aws.security_hub.hub.enabled_in_all_regions(0.29); securityhub.enabled(0.25),,
aws.securityhub.hub.securityhub_finding_export_encrypted_destination,securityhub,hub,securityhub.hub.encryption,data_protection_and_privacy,high,data_protection.encryption_rest.securityhub_hub_securityhub_finding_export_encrypted_destination,ai-likely-missed,0.833,15,,none,"The config rule checks encryption for Security Hub finding exports, but all candidates only check if Security Hub is enabled, with no encryption-related coverage.",aws.security_hub.hub.finding_export_encrypted_destination,high,"Both rules assert encryption for Security Hub finding export destinations, with identical intent and resource focus.",aws.security_hub.hub.finding_export_encrypted_destination(0.83); aws.security_hub.hub.destinations_encrypted(0.50); aws.security_hub.finding.archival_export_encrypted(0.43); aws.security_hub.finding.alert_destinations_configured(0.29); aws.security_hub.hub.detectors_enabled(0.12),,
aws.securityhub.hub.securityhub_master_member_configured,securityhub,hub,securityhub.hub.configuration,configuration_and_change_management,medium,security.configuration.securityhub_hub_securityhub_master_member_configured,ai-likely-missed,0.75,15,,none,"The config rule checks for SecurityHub master-member configuration, while all candidates only check if SecurityHub is enabled, which is a different control.",aws.security_hub.hub.master_member_configured,high,Both rules check for the configuration of a master member in AWS Security Hub.,aws.security_hub.hub.master_member_configured(0.75); aws.security_hub.hub.detectors_enabled(0.17); aws.security_hub.hub.destinations_encrypted(0.17); aws.securityhub.hub_enabled_in_all_regions(0.12); aws.securityhub.hub_enabled_in_all_regions:nan(0.12),,
aws.stepfunctions.statemachine.change_audit_logging_enabled,stepfunctions,statemachine,stepfunctions.statemachine.logging,logging_monitoring_and_alerting,medium,logging_monitoring.logging.stepfunctions_statemachine_change_audit_logging_enabled,ai-likely-missed,0.571,39,aws.stepfunctions.statemachine_logging_enabled:aws.stepfunctions.state_machine.logging_enabled,medium,"Both rules enforce logging on Step Functions state machines, though the config rule specifies 'change audit logging' while the catalog rule is more general.",aws.step_functions.state_machine.change_audit_logging_enabled,high,Candidate rule_id directly matches the control for change audit logging on Step Functions state machines with minor naming variation.,aws.step_functions.state_machine.change_audit_logging_enabled(0.57); aws.stepfunctions.statemachine_logging_enabled:aws.stepfunctions.state_machine.logging_enabled(0.33); aws.stepfunctions.state_machine.logging_enabled(0.29); aws.stepfunctions.state_machine.logs_and_metrics_enabled(0.22); aws.stepfunctions.state_machine.kms_encryption_enabled(0.11),,
aws.stepfunctions.statemachine.stepfunctions_approval_steps_required_for_destructive_actions,stepfunctions,statemachine,stepfunctions.statemachine.configuration,configuration_and_change_management,medium,security.configuration.stepfunctions_statemachine_stepfunctions_approval_steps_required_for_destructive_actions,ai-likely-missed,0.6,39,,none,"The config rule requires approval steps for destructive actions, but all candidate rules focus on logging, encryption, networking, or least privilege without addressing approval workflows.",aws.step_functions.state_machine.approval_steps_required_for_destructive_actions,high,Candidate rule_id directly matches the intent and resource for requiring approval steps in destructive actions on Step Functions state machines.,aws.step_functions.state_machine.approval_steps_required_for_destructive_actions(0.60); aws.stepfunctions.statemachine_logging_enabled:aws.stepfunctions.state_machine.logging_enabled(0.15); aws.stepfunctions.state_machine.sensitive_keys_require_secret_type(0.07); aws.stepfunctions.state_machine.kms_encryption_enabled(0.00); aws.stepfunctions.state_machine.execution_roles_least_privilege(0.00),,
aws.storagegateway.gateway.encryption_at_rest_enabled,storagegateway,gateway,storagegateway.gateway.encryption,data_protection_and_privacy,high,data_protection.encryption_rest.storagegateway_gateway_encryption_at_rest_enabled,ai-likely-missed,1.0,12,,none,"The config rule checks encryption at rest for Storage Gateway gateways, while the candidates only address encryption for file shares, which are different resources.",aws.storage_gateway.gateway.encryption_at_rest_enabled,high,Both rules assert encryption at rest for Storage Gateway gateways with identical intent and resource focus.,aws.storage_gateway.gateway.encryption_at_rest_enabled(1.00); aws.storage_gateway.volume.encryption_at_rest_enabled(0.67); aws.storagegateway.fileshare_encryption_enabled(0.33); aws.storage_gateway.gateway.snapshots_enabled(0.33); aws.storagegateway.fileshare_encryption_enabled:nan(0.14),,
