rule_id,source_category,service,severity,check_type,title,description,threat_category,aws_mapped_compliance_ids,compliance_frameworks_list,source_file
aws.compute.cloudtrail.batch_register_job_definition,compute,compute,low,log,Compute: Batch Register Job Definition,Batch job definition registered — cloud execution template created.,execution,cis_aws_v3_3.1;cis_aws_v3_5.1;cis_azure_v2_5.1;cis_azure_v2_6.1;nist_800_53_r5_CM-7;nist_800_53_r5_SI-3;nist_800_53_r5_AU-12;pci_dss_v4_6.3;pci_dss_v4_10.2;iso_27001_2022_A.8.19;iso_27001_2022_A.8.8,cis_aws_v3;cis_azure_v2;nist_800_53_r5;pci_dss_v4;iso_27001_2022,compute/aws.compute.cloudtrail.batch_register_job_definition.yaml
aws.compute.cloudtrail.batch_submit_job,compute,compute,medium,log,Compute: Batch Submit Job,AWS Batch job submitted — cloud-managed workload execution triggered.,execution,cis_aws_v3_3.1;cis_aws_v3_5.1;cis_azure_v2_5.1;cis_azure_v2_6.1;nist_800_53_r5_CM-7;nist_800_53_r5_SI-3;nist_800_53_r5_AU-12;pci_dss_v4_6.3;pci_dss_v4_10.2;iso_27001_2022_A.8.19;iso_27001_2022_A.8.8,cis_aws_v3;cis_azure_v2;nist_800_53_r5;pci_dss_v4;iso_27001_2022,compute/aws.compute.cloudtrail.batch_submit_job.yaml
aws.compute.cloudtrail.ec2_create_image,compute,compute,medium,log,Compute: EC2 Create Image,EC2 AMI created from running instance — snapshot of instance state captured.,persistence,cis_aws_v3_1.1;cis_aws_v3_1.4;cis_aws_v3_1.16;cis_azure_v2_1.1;cis_azure_v2_2.1;cis_azure_v2_2.9;nist_800_53_r5_AC-2;nist_800_53_r5_AC-6;nist_800_53_r5_IA-2;nist_800_53_r5_SC-7;pci_dss_v4_7.1;pci_dss_v4_8.2;pci_dss_v4_10.2;iso_27001_2022_A.8.2;iso_27001_2022_A.9.2;iso_27001_2022_A.5.18,cis_aws_v3;cis_azure_v2;nist_800_53_r5;pci_dss_v4;iso_27001_2022,compute/aws.compute.cloudtrail.ec2_create_image.yaml
aws.compute.cloudtrail.ec2_create_key_pair,compute,compute,high,log,Compute: EC2 Create Key Pair,EC2 key pair created — SSH credentials established for persistent instance access.,persistence,cis_aws_v3_1.1;cis_aws_v3_1.4;cis_aws_v3_1.16;cis_azure_v2_1.1;cis_azure_v2_2.1;cis_azure_v2_2.9;nist_800_53_r5_AC-2;nist_800_53_r5_AC-6;nist_800_53_r5_IA-2;nist_800_53_r5_SC-7;pci_dss_v4_7.1;pci_dss_v4_8.2;pci_dss_v4_10.2;iso_27001_2022_A.8.2;iso_27001_2022_A.9.2;iso_27001_2022_A.5.18,cis_aws_v3;cis_azure_v2;nist_800_53_r5;pci_dss_v4;iso_27001_2022,compute/aws.compute.cloudtrail.ec2_create_key_pair.yaml
aws.compute.cloudtrail.ec2_get_console_screenshot,compute,compute,high,log,Compute: EC2 Get Console Screenshot,EC2 console screenshot captured — may expose credentials or sensitive data displayed on screen.,credential_access,cis_aws_v3_1.14;cis_aws_v3_1.19;cis_aws_v3_2.1;cis_azure_v2_1.3;cis_azure_v2_1.4;cis_azure_v2_8.1;nist_800_53_r5_IA-5;nist_800_53_r5_IA-8;nist_800_53_r5_SC-28;pci_dss_v4_8.2;pci_dss_v4_8.3;pci_dss_v4_8.6;iso_27001_2022_A.8.5;iso_27001_2022_A.9.4;iso_27001_2022_A.9.2,cis_aws_v3;cis_azure_v2;nist_800_53_r5;pci_dss_v4;iso_27001_2022,compute/aws.compute.cloudtrail.ec2_get_console_screenshot.yaml
aws.compute.cloudtrail.ec2_get_password_data,compute,compute,high,log,Compute: EC2 Get Password Data,Windows EC2 instance password retrieved — attacker obtained encrypted password data for decryption.,credential_access,cis_aws_v3_1.14;cis_aws_v3_1.19;cis_aws_v3_2.1;cis_azure_v2_1.3;cis_azure_v2_1.4;cis_azure_v2_8.1;nist_800_53_r5_IA-5;nist_800_53_r5_IA-8;nist_800_53_r5_SC-28;pci_dss_v4_8.2;pci_dss_v4_8.3;pci_dss_v4_8.6;iso_27001_2022_A.8.5;iso_27001_2022_A.9.4;iso_27001_2022_A.9.2,cis_aws_v3;cis_azure_v2;nist_800_53_r5;pci_dss_v4;iso_27001_2022,compute/aws.compute.cloudtrail.ec2_get_password_data.yaml
aws.compute.cloudtrail.ec2_import_key_pair,compute,compute,high,log,Compute: EC2 Import Key Pair,EC2 key pair imported — externally-controlled SSH credential added to account.,persistence,cis_aws_v3_1.1;cis_aws_v3_1.4;cis_aws_v3_1.16;cis_azure_v2_1.1;cis_azure_v2_2.1;cis_azure_v2_2.9;nist_800_53_r5_AC-2;nist_800_53_r5_AC-6;nist_800_53_r5_IA-2;nist_800_53_r5_SC-7;pci_dss_v4_7.1;pci_dss_v4_8.2;pci_dss_v4_10.2;iso_27001_2022_A.8.2;iso_27001_2022_A.9.2;iso_27001_2022_A.5.18,cis_aws_v3;cis_azure_v2;nist_800_53_r5;pci_dss_v4;iso_27001_2022,compute/aws.compute.cloudtrail.ec2_import_key_pair.yaml
aws.compute.cloudtrail.ec2_modify_image_attribute,compute,compute,high,log,Compute: EC2 Modify Image Attribute,EC2 AMI attribute modified — launch permissions or description changed.,defense_evasion,cis_aws_v3_3.1;cis_aws_v3_3.2;cis_aws_v3_3.3;cis_aws_v3_3.4;cis_azure_v2_5.1;cis_azure_v2_5.2;cis_azure_v2_5.3;nist_800_53_r5_AU-2;nist_800_53_r5_AU-6;nist_800_53_r5_AU-12;nist_800_53_r5_SI-4;pci_dss_v4_10.1;pci_dss_v4_10.2;pci_dss_v4_10.3;iso_27001_2022_A.8.15;iso_27001_2022_A.8.16;iso_27001_2022_A.5.28,cis_aws_v3;cis_azure_v2;nist_800_53_r5;pci_dss_v4;iso_27001_2022,compute/aws.compute.cloudtrail.ec2_modify_image_attribute.yaml
aws.compute.cloudtrail.ec2_modify_instance_attribute,compute,compute,medium,log,Compute: EC2 Modify Instance Attribute,EC2 instance attribute modified — instance configuration changed.,defense_evasion,cis_aws_v3_3.1;cis_aws_v3_3.2;cis_aws_v3_3.3;cis_aws_v3_3.4;cis_azure_v2_5.1;cis_azure_v2_5.2;cis_azure_v2_5.3;nist_800_53_r5_AU-2;nist_800_53_r5_AU-6;nist_800_53_r5_AU-12;nist_800_53_r5_SI-4;pci_dss_v4_10.1;pci_dss_v4_10.2;pci_dss_v4_10.3;iso_27001_2022_A.8.15;iso_27001_2022_A.8.16;iso_27001_2022_A.5.28,cis_aws_v3;cis_azure_v2;nist_800_53_r5;pci_dss_v4;iso_27001_2022,compute/aws.compute.cloudtrail.ec2_modify_instance_attribute.yaml
aws.compute.cloudtrail.ec2_run_instances,compute,compute,high,log,Compute: EC2 Run Instances,EC2 instances launched — new compute resources provisioned.,execution,cis_aws_v3_3.1;cis_aws_v3_5.1;cis_azure_v2_5.1;cis_azure_v2_6.1;nist_800_53_r5_CM-7;nist_800_53_r5_SI-3;nist_800_53_r5_AU-12;pci_dss_v4_6.3;pci_dss_v4_10.2;iso_27001_2022_A.8.19;iso_27001_2022_A.8.8,cis_aws_v3;cis_azure_v2;nist_800_53_r5;pci_dss_v4;iso_27001_2022,compute/aws.compute.cloudtrail.ec2_run_instances.yaml
aws.compute.cloudtrail.ecs_create_service,compute,compute,medium,log,Compute: ECS Create Service,ECS service created — containerized workload deployed.,execution,cis_aws_v3_3.1;cis_aws_v3_5.1;cis_azure_v2_5.1;cis_azure_v2_6.1;nist_800_53_r5_CM-7;nist_800_53_r5_SI-3;nist_800_53_r5_AU-12;pci_dss_v4_6.3;pci_dss_v4_10.2;iso_27001_2022_A.8.19;iso_27001_2022_A.8.8,cis_aws_v3;cis_azure_v2;nist_800_53_r5;pci_dss_v4;iso_27001_2022,compute/aws.compute.cloudtrail.ecs_create_service.yaml
aws.compute.cloudtrail.ecs_delete_service,compute,compute,medium,log,Compute: ECS Delete Service,ECS service deleted — containerized workload stopped.,data_destruction,cis_aws_v3_2.1;cis_aws_v3_2.6;cis_aws_v3_3.1;cis_azure_v2_3.1;cis_azure_v2_7.5;nist_800_53_r5_CP-9;nist_800_53_r5_CP-10;nist_800_53_r5_SI-12;pci_dss_v4_3.2;pci_dss_v4_3.3;pci_dss_v4_12.3;iso_27001_2022_A.8.13;iso_27001_2022_A.8.14;iso_27001_2022_A.5.33,cis_aws_v3;cis_azure_v2;nist_800_53_r5;pci_dss_v4;iso_27001_2022,compute/aws.compute.cloudtrail.ecs_delete_service.yaml
aws.compute.cloudtrail.ecs_execute_command,compute,compute,high,log,Compute: ECS Execute Command,ECS Exec command — shell access via container CLI/API obtained.,execution,cis_aws_v3_3.1;cis_aws_v3_5.1;cis_azure_v2_5.1;cis_azure_v2_6.1;nist_800_53_r5_CM-7;nist_800_53_r5_SI-3;nist_800_53_r5_AU-12;pci_dss_v4_6.3;pci_dss_v4_10.2;iso_27001_2022_A.8.19;iso_27001_2022_A.8.8,cis_aws_v3;cis_azure_v2;nist_800_53_r5;pci_dss_v4;iso_27001_2022,compute/aws.compute.cloudtrail.ecs_execute_command.yaml
aws.compute.cloudtrail.ecs_run_task,compute,compute,medium,log,Compute: ECS Run Task,ECS task run — container workload deployed and executed.,execution,cis_aws_v3_3.1;cis_aws_v3_5.1;cis_azure_v2_5.1;cis_azure_v2_6.1;nist_800_53_r5_CM-7;nist_800_53_r5_SI-3;nist_800_53_r5_AU-12;pci_dss_v4_6.3;pci_dss_v4_10.2;iso_27001_2022_A.8.19;iso_27001_2022_A.8.8,cis_aws_v3;cis_azure_v2;nist_800_53_r5;pci_dss_v4;iso_27001_2022,compute/aws.compute.cloudtrail.ecs_run_task.yaml
aws.compute.cloudtrail.ecs_update_service,compute,compute,medium,log,Compute: ECS Update Service,ECS service updated — running container configuration changed.,execution,cis_aws_v3_3.1;cis_aws_v3_5.1;cis_azure_v2_5.1;cis_azure_v2_6.1;nist_800_53_r5_CM-7;nist_800_53_r5_SI-3;nist_800_53_r5_AU-12;pci_dss_v4_6.3;pci_dss_v4_10.2;iso_27001_2022_A.8.19;iso_27001_2022_A.8.8,cis_aws_v3;cis_azure_v2;nist_800_53_r5;pci_dss_v4;iso_27001_2022,compute/aws.compute.cloudtrail.ecs_update_service.yaml
aws.compute.cloudtrail.eks_associate_access_policy,compute,compute,medium,log,Compute: EKS Associate Access Policy,EKS access policy associated — Kubernetes access permissions granted.,privilege_escalation,cis_aws_v3_1.1;cis_aws_v3_1.16;cis_aws_v3_1.17;cis_azure_v2_1.1;cis_azure_v2_2.1;cis_azure_v2_3.1;nist_800_53_r5_AC-2;nist_800_53_r5_AC-3;nist_800_53_r5_AC-6;nist_800_53_r5_IA-2;pci_dss_v4_7.1;pci_dss_v4_7.2;pci_dss_v4_8.2;iso_27001_2022_A.5.18;iso_27001_2022_A.8.2;iso_27001_2022_A.8.3,cis_aws_v3;cis_azure_v2;nist_800_53_r5;pci_dss_v4;iso_27001_2022,compute/aws.compute.cloudtrail.eks_associate_access_policy.yaml
aws.compute.cloudtrail.eks_create_cluster,compute,compute,medium,log,Compute: EKS Create Cluster,EKS/ECS cluster created — new container orchestration environment provisioned.,execution,cis_aws_v3_3.1;cis_aws_v3_5.1;cis_azure_v2_5.1;cis_azure_v2_6.1;nist_800_53_r5_CM-7;nist_800_53_r5_SI-3;nist_800_53_r5_AU-12;pci_dss_v4_6.3;pci_dss_v4_10.2;iso_27001_2022_A.8.19;iso_27001_2022_A.8.8,cis_aws_v3;cis_azure_v2;nist_800_53_r5;pci_dss_v4;iso_27001_2022,compute/aws.compute.cloudtrail.eks_create_cluster.yaml
aws.compute.cloudtrail.eks_create_nodegroup,compute,compute,medium,log,Compute: EKS Create Nodegroup,EKS node group created — new compute capacity added to cluster.,execution,cis_aws_v3_3.1;cis_aws_v3_5.1;cis_azure_v2_5.1;cis_azure_v2_6.1;nist_800_53_r5_CM-7;nist_800_53_r5_SI-3;nist_800_53_r5_AU-12;pci_dss_v4_6.3;pci_dss_v4_10.2;iso_27001_2022_A.8.19;iso_27001_2022_A.8.8,cis_aws_v3;cis_azure_v2;nist_800_53_r5;pci_dss_v4;iso_27001_2022,compute/aws.compute.cloudtrail.eks_create_nodegroup.yaml
aws.compute.cloudtrail.eks_delete_cluster,compute,compute,high,log,Compute: EKS Delete Cluster,Kubernetes cluster deleted — container orchestration environment destroyed.,data_destruction,cis_aws_v3_2.1;cis_aws_v3_2.6;cis_aws_v3_3.1;cis_azure_v2_3.1;cis_azure_v2_7.5;nist_800_53_r5_CP-9;nist_800_53_r5_CP-10;nist_800_53_r5_SI-12;pci_dss_v4_3.2;pci_dss_v4_3.3;pci_dss_v4_12.3;iso_27001_2022_A.8.13;iso_27001_2022_A.8.14;iso_27001_2022_A.5.33,cis_aws_v3;cis_azure_v2;nist_800_53_r5;pci_dss_v4;iso_27001_2022,compute/aws.compute.cloudtrail.eks_delete_cluster.yaml
aws.compute.cloudtrail.eks_update_cluster_config,compute,compute,medium,log,Compute: EKS Update Cluster Config,EKS cluster configuration updated — cluster settings changed.,defense_evasion,cis_aws_v3_3.1;cis_aws_v3_3.2;cis_aws_v3_3.3;cis_aws_v3_3.4;cis_azure_v2_5.1;cis_azure_v2_5.2;cis_azure_v2_5.3;nist_800_53_r5_AU-2;nist_800_53_r5_AU-6;nist_800_53_r5_AU-12;nist_800_53_r5_SI-4;pci_dss_v4_10.1;pci_dss_v4_10.2;pci_dss_v4_10.3;iso_27001_2022_A.8.15;iso_27001_2022_A.8.16;iso_27001_2022_A.5.28,cis_aws_v3;cis_azure_v2;nist_800_53_r5;pci_dss_v4;iso_27001_2022,compute/aws.compute.cloudtrail.eks_update_cluster_config.yaml
aws.compute.cloudtrail.lambda_add_layer_permission,compute,compute,medium,log,Compute: Lambda Add Layer Permission,Lambda layer permission added — sharing configuration changed via cloud admin API.,persistence,cis_aws_v3_1.1;cis_aws_v3_1.4;cis_aws_v3_1.16;cis_azure_v2_1.1;cis_azure_v2_2.1;cis_azure_v2_2.9;nist_800_53_r5_AC-2;nist_800_53_r5_AC-6;nist_800_53_r5_IA-2;nist_800_53_r5_SC-7;pci_dss_v4_7.1;pci_dss_v4_8.2;pci_dss_v4_10.2;iso_27001_2022_A.8.2;iso_27001_2022_A.9.2;iso_27001_2022_A.5.18,cis_aws_v3;cis_azure_v2;nist_800_53_r5;pci_dss_v4;iso_27001_2022,compute/aws.compute.cloudtrail.lambda_add_layer_permission.yaml
aws.compute.cloudtrail.lambda_add_permission,compute,compute,medium,log,Compute: Lambda Add Permission,Lambda function permission added — resource-based policy granting invocation rights.,execution,cis_aws_v3_3.1;cis_aws_v3_5.1;cis_azure_v2_5.1;cis_azure_v2_6.1;nist_800_53_r5_CM-7;nist_800_53_r5_SI-3;nist_800_53_r5_AU-12;pci_dss_v4_6.3;pci_dss_v4_10.2;iso_27001_2022_A.8.19;iso_27001_2022_A.8.8,cis_aws_v3;cis_azure_v2;nist_800_53_r5;pci_dss_v4;iso_27001_2022,compute/aws.compute.cloudtrail.lambda_add_permission.yaml
