yaml_rule_id,yaml_service,yaml_resource_kind,domain,severity,scope,assertion_id,ai_confidence,ai_reasoning,top_candidate_pool
aws.apigatewayv2.stage.api_throttle_overrides_bounded,apigatewayv2,stage,configuration_and_change_management,medium,apigatewayv2.stage.configuration,security.configuration.apigatewayv2_stage_api_throttle_overrides_bounded,none,"The config rule checks for bounded throttle overrides in API Gateway V2 stages, while all candidates only address access logging, which is unrelated to throttling controls.",aws.apigatewayv2.api_access_logging_enabled(0.125); aws.apigatewayv2.api_access_logging_enabled:nan(0.125); apigatewayv2.api.access.logging.enabled(0.125)
aws.apigatewayv2.stage.api_usage_plan_required_for_api_keys,apigatewayv2,stage,configuration_and_change_management,medium,apigatewayv2.stage.configuration,security.configuration.apigatewayv2_stage_api_usage_plan_required_for_api_keys,none,"The config rule enforces usage plans for API keys on API Gateway v2 stages, while all candidates only check for access logging, which is unrelated to API key management.",aws.apigatewayv2.api_access_logging_enabled(0.1); aws.apigatewayv2.api_access_logging_enabled:nan(0.1); apigatewayv2.api.access.logging.enabled(0.1)
aws.cloudtrail.config_changes_monitoring.config_changes_monitoring_configured,cloudtrail,config_changes_monitoring,logging_monitoring_and_alerting,medium,cloudtrail.config_changes_monitoring.logging,logging_monitoring.monitoring.cloudtrail_config_changes_monitoring_config_changes_monitoring_configured,none,"The YAML rule focuses on monitoring configuration changes via CloudTrail, but all candidates either target specific resource changes (e.g., NACL, VPC) or alert destinations, not the general config changes monitoring intent.",aws.cloudtrail.config_changes_monitoring:aws.cloudtrail.trail.alert_destinations_configured(0.25); aws.cloudtrail.nacl_change_monitoring_configuration_check:aws.cloudtrail.trail.alert_destinations_configured(0.222); aws.cloudtrail.organizations_changes_monitoring_setup:aws.cloudtrail.trail.alert_destinations_configured(0.222); aws.cloudtrail.vpc_changes_monitoring_enabled:aws.cloudtrail.trail.flow_logs_enabled(0.2); aws.cloudtrail.policy.change_monitoring:aws.cloudtrail.trail.alert_destinations_configured(0.111)
aws.cloudtrail.console_auth_failures_monitoring.console_auth_failures_monitoring_configured,cloudtrail,console_auth_failures_monitoring,logging_monitoring_and_alerting,medium,cloudtrail.console_auth_failures_monitoring.logging,logging_monitoring.monitoring.cloudtrail_console_auth_failures_monitoring_console_auth_failures_monitoring_configured,none,"The config rule specifically monitors console authentication failures, but none of the candidate rules address this exact monitoring control for CloudTrail.",aws.cloudtrail.console_auth_failures_monitoring:aws.cloudtrail.trail.alert_destinations_configured(0.333); aws.cloudtrail.account.usage_monitoring_config:aws.cloudtrail.trail.alert_destinations_configured(0.091); aws.cloudtrail.nacl_change_monitoring_configuration_check:aws.cloudtrail.trail.alert_destinations_configured(0.091); aws.cloudtrail.organizations_changes_monitoring_setup:aws.cloudtrail.trail.alert_destinations_configured(0.091); aws.cloudtrail.vpc_changes_monitoring_enabled:aws.cloudtrail.trail.flow_logs_enabled(0.083)
aws.cloudtrail.nacl_event_selectors_monitoring.nacl_event_selectors_monitoring_configured,cloudtrail,nacl_event_selectors_monitoring,logging_monitoring_and_alerting,medium,cloudtrail.nacl_event_selectors_monitoring.logging,logging_monitoring.monitoring.cloudtrail_nacl_event_selectors_monitoring_nacl_event_selectors_monitoring_configured,none,"The YAML rule focuses on NACL event selectors monitoring in CloudTrail, but none of the candidate rules address NACL-specific monitoring or event selectors configuration.",aws.cloudtrail.nacl_event_selectors_monitoring:aws.cloudtrail.trail.alert_destinations_configured(0.333); aws.cloudtrail.nacl_change_monitoring_configuration_check:aws.cloudtrail.trail.alert_destinations_configured(0.2); aws.cloudtrail.account.usage_monitoring_config:aws.cloudtrail.trail.alert_destinations_configured(0.091); aws.cloudtrail.organizations_changes_monitoring_setup:aws.cloudtrail.trail.alert_destinations_configured(0.091); aws.cloudtrail.vpc_changes_monitoring_enabled:aws.cloudtrail.trail.flow_logs_enabled(0.083)
aws.cloudtrail.route_table_changes_metric_filter_alarm_monitoring.route_table_changes_monitored,cloudtrail,route_table_changes_metric_filter_alarm_monitoring,logging_monitoring_and_alerting,medium,cloudtrail.route_table_changes_metric_filter_alarm_monitoring.logging,logging_monitoring.monitoring.cloudtrail_route_table_changes_metric_filter_alarm_monitoring_route_table_changes_monitored,none,"The config rule specifically monitors route table changes via CloudTrail metric filters and alarms, but all candidates focus on alert destinations, flow logs, or unrelated monitoring types without addressing route table changes.",aws.cloudtrail.route_table_changes_metric_filter_alarm_monitoring:aws.cloudtrail.trail.alert_destinations_configured(0.462); aws.cloudtrail.route_table_changes_metric_filter_alarm:aws.cloudtrail.trail.alert_destinations_configured(0.385); aws.cloudtrail.nacl_change_monitoring_configuration_check:aws.cloudtrail.trail.alert_destinations_configured(0.143); aws.cloudtrail.organizations_changes_monitoring_setup:aws.cloudtrail.trail.alert_destinations_configured(0.143); aws.cloudtrail.vpc_changes_monitoring_enabled:aws.cloudtrail.trail.flow_logs_enabled(0.133)
aws.cloudwatch.alarm_cpu_utilization_configured.alarm_cloudwatch_alarm_cpu_utilization_configured,cloudwatch,alarm_cpu_utilization_configured,configuration_and_change_management,medium,cloudwatch.alarm_cpu_utilization_configured.configuration,security.configuration.cloudwatch_alarm_cpu_utilization_configured_alarm_cloudwatch_alarm_cpu_utilization_configured,none,"The config rule is about CPU utilization alarms, but none of the candidates specifically address CPU utilization or general alarm configuration for CPU metrics.",aws.cloudwatch.alarm_cpu_utilization_configured:aws.cloudwatch.alarm.alerts_for_rpo_rto_breach_configured(0.4); aws.cloudwatch.alarm_memory_utilization_configured:aws.cloudwatch.alarm.alerts_for_rpo_rto_breach_configured(0.273); aws.cloudwatch.alarm_configured:aws.cloudwatch.metric.flow_logs_enabled(0.222); aws.cloudwatch.group.not_publicly_accessible:aws.cloudwatch.alarm.alarm_actions_configured(0.222); aws.cloudwatch.log_metric_filter_alarm_configured:aws.cloudwatch.alarm.alarm_actions_configured(0.222)
aws.cloudwatch.alarm_memory_utilization_configured.alarm_cloudwatch_alarm_memory_utilization_configured,cloudwatch,alarm_memory_utilization_configured,configuration_and_change_management,medium,cloudwatch.alarm_memory_utilization_configured.configuration,security.configuration.cloudwatch_alarm_memory_utilization_configured_alarm_cloudwatch_alarm_memory_utilization_configured,none,"The YAML rule specifically checks for memory utilization alarms, but none of the candidate rules address memory utilization or similar resource-specific monitoring.",aws.cloudwatch.alarm_memory_utilization_configured:aws.cloudwatch.alarm.alerts_for_rpo_rto_breach_configured(0.4); aws.cloudwatch.alarm_cpu_utilization_configured:aws.cloudwatch.alarm.alerts_for_rpo_rto_breach_configured(0.273); aws.cloudwatch.alarm_configured:aws.cloudwatch.metric.flow_logs_enabled(0.222); aws.cloudwatch.group.not_publicly_accessible:aws.cloudwatch.alarm.alarm_actions_configured(0.222); aws.cloudwatch.log_metric_filter_alarm_configured:aws.cloudwatch.alarm.alarm_actions_configured(0.222)
aws.directconnect.connection_redundancy.directconnect_connection_redundancy_configured,directconnect,connection_redundancy,configuration_and_change_management,medium,directconnect.connection_redundancy.configuration,security.configuration.directconnect_connection_redundancy_directconnect_connection_redundancy_configured,none,"The config rule checks for connection redundancy configuration, while all candidates focus on encryption, tunnel monitoring, or key rotation aspects unrelated to redundancy.",aws.directconnect.connection_redundancy:aws.directconnect.connection.ike_phase_encryption_strong(0.25); aws.directconnect.virtual_interface_redundancy:aws.directconnect.connection.ike_phase_encryption_strong(0.2); aws.directconnect.connection.ike_phase_encryption_strong(0.143); aws.directconnect.connection.tunnel_health_monitoring_enabled(0.143); aws.directconnect.connection.pre_shared_keys_rotation_policy_defined(0.111)
aws.directconnect.virtual_interface_redundancy.directconnect_virtual_interface_redundancy_configured,directconnect,virtual_interface_redundancy,configuration_and_change_management,medium,directconnect.virtual_interface_redundancy.configuration,security.configuration.directconnect_virtual_interface_redundancy_directconnect_virtual_interface_redundancy_configured,none,"The config rule checks for virtual interface redundancy configuration, while all candidates focus on encryption, tunnel monitoring, or key rotation for connections, with no overlap in control intent.",aws.directconnect.virtual_interface_redundancy:aws.directconnect.connection.ike_phase_encryption_strong(0.3); aws.directconnect.connection_redundancy:aws.directconnect.connection.ike_phase_encryption_strong(0.1); aws.directconnect.connection.ike_phase_encryption_strong(0.0); aws.directconnect.connection.tunnel_health_monitoring_enabled(0.0); aws.directconnect.connection.pre_shared_keys_rotation_policy_defined(0.0)
aws.docdb.cluster.audit_logging_enabled,docdb,cluster,logging_monitoring_and_alerting,medium,docdb.cluster.logging,logging_monitoring.logging.docdb_cluster_audit_logging_enabled,none,"None of the candidate rules address audit logging for DocumentDB clusters, which is the specific control in the YAML config rule.",aws.docdb.cluster.iam_authentication_enabled(0.333); aws.docdb.cluster.encryption_in_transit_enabled(0.286); aws.docdb.cluster.backup_retention_period_configured(0.143); aws.docdb.cluster.engine_version_check(0.143); aws.docdb.cluster.monitoring_and_alerting_configured(0.143)
aws.docdb.cluster.audit_logging_to_cloudwatch_enabled,docdb,cluster,logging_monitoring_and_alerting,medium,docdb.cluster.logging,logging_monitoring.logging.docdb_cluster_audit_logging_to_cloudwatch_enabled,none,"None of the candidate rules address audit logging to CloudWatch for DocumentDB clusters, focusing instead on IAM authentication, encryption, backups, engine versions, monitoring, or VPC security.",aws.docdb.cluster.iam_authentication_enabled(0.25); aws.docdb.cluster.encryption_in_transit_enabled(0.222); aws.docdb.cluster.backup_retention_period_configured(0.111); aws.docdb.cluster.engine_version_check(0.111); aws.docdb.cluster.monitoring_and_alerting_configured(0.111)
aws.docdb.cluster.deletion_protection_enabled,docdb,cluster,configuration_and_change_management,medium,docdb.cluster.configuration,security.configuration.docdb_cluster_deletion_protection_enabled,none,None of the candidate rules address deletion protection for DocumentDB clusters; they cover different security and operational aspects.,aws.docdb.cluster.iam_authentication_enabled(0.333); aws.docdb.cluster.encryption_in_transit_enabled(0.286); aws.docdb.cluster.backup_retention_period_configured(0.143); aws.docdb.cluster.engine_version_check(0.143); aws.docdb.cluster.monitoring_and_alerting_configured(0.143)
aws.docdb.cluster.docdb_multi_az_enabled,docdb,cluster,configuration_and_change_management,medium,docdb.cluster.configuration,security.configuration.docdb_cluster_docdb_multi_az_enabled,none,None of the candidate rules address multi-AZ availability configuration for DocumentDB clusters.,aws.docdb.cluster.iam_authentication_enabled(0.286); aws.docdb.cluster.encryption_in_transit_enabled(0.25); aws.docdb.cluster.backup_retention_period_configured(0.125); aws.docdb.cluster.engine_version_check(0.125); aws.docdb.cluster.monitoring_and_alerting_configured(0.125)
aws.docdb.cluster.docdb_storage_encrypted,docdb,cluster,data_protection_and_privacy,high,docdb.cluster.encryption,data_protection.encryption_rest.docdb_cluster_docdb_storage_encrypted,none,"The config rule checks for storage encryption at rest, but none of the candidates address encryption at rest for DocumentDB clusters.",aws.docdb.cluster.encryption_in_transit_enabled(0.286); aws.docdb.cluster.backup_retention_period_configured(0.143); aws.docdb.cluster.engine_version_check(0.143); aws.docdb.cluster.iam_authentication_enabled(0.143); aws.docdb.cluster.monitoring_and_alerting_configured(0.143)
aws.docdb.cluster.encryption_at_rest_cmek_configured,docdb,cluster,data_protection_and_privacy,high,docdb.cluster.encryption,data_protection.encryption_rest.docdb_cluster_encryption_at_rest_cmek_configured,none,No candidate rule addresses encryption at rest with customer-managed keys (CMEK) for DocumentDB clusters.,aws.docdb.cluster.encryption_in_transit_enabled(0.25); aws.docdb.cluster.backup_retention_period_configured(0.125); aws.docdb.cluster.engine_version_check(0.125); aws.docdb.cluster.iam_authentication_enabled(0.125); aws.docdb.cluster.monitoring_and_alerting_configured(0.125)
aws.docdb.cluster.encryption_at_rest_enabled,docdb,cluster,data_protection_and_privacy,high,docdb.cluster.encryption,data_protection.encryption_rest.docdb_cluster_encryption_at_rest_enabled,none,"The config rule checks encryption at rest for DocumentDB clusters, but all candidates cover different controls like encryption in transit, IAM authentication, backup, monitoring, or VPC security.",aws.docdb.cluster.encryption_in_transit_enabled(0.429); aws.docdb.cluster.iam_authentication_enabled(0.286); aws.docdb.cluster.backup_retention_period_configured(0.125); aws.docdb.cluster.engine_version_check(0.125); aws.docdb.cluster.monitoring_and_alerting_configured(0.125)
aws.docdb.cluster.preferred_backup_window_configured,docdb,cluster,resilience_and_disaster_recovery,medium,docdb.cluster.backup_recovery,resilience.backup_recovery.docdb_cluster_preferred_backup_window_configured,none,"None of the candidate rules address backup window configuration, which is a distinct control from backup retention period or other listed aspects.",aws.docdb.cluster.backup_retention_period_configured(0.333); aws.docdb.cluster.engine_version_check(0.143); aws.docdb.cluster.iam_authentication_enabled(0.143); aws.docdb.cluster.monitoring_and_alerting_configured(0.143); aws.docdb.cluster.encryption_in_transit_enabled(0.125)
aws.docdb.cluster.private_networking_enforced,docdb,cluster,network_security_and_connectivity,high,docdb.cluster.network,network_security.network_access.docdb_cluster_private_networking_enforced,none,"None of the candidate rules address private networking enforcement for DocumentDB clusters, which is the specific control in the YAML rule.",aws.docdb.cluster.backup_retention_period_configured(0.143); aws.docdb.cluster.engine_version_check(0.143); aws.docdb.cluster.iam_authentication_enabled(0.143); aws.docdb.cluster.monitoring_and_alerting_configured(0.143); aws.docdb.cluster.encryption_in_transit_enabled(0.125)
aws.docdb.cluster.public_access_disabled,docdb,cluster,network_security_and_connectivity,high,docdb.cluster.network,network_security.network_access.docdb_cluster_public_access_disabled,none,"None of the candidate rules address public access control for DocumentDB clusters, which is the specific network security focus of the given rule.",aws.docdb.cluster.backup_retention_period_configured(0.143); aws.docdb.cluster.engine_version_check(0.143); aws.docdb.cluster.iam_authentication_enabled(0.143); aws.docdb.cluster.monitoring_and_alerting_configured(0.143); aws.docdb.cluster.encryption_in_transit_enabled(0.125)
aws.docdb.instance.deletion_protection_enabled,docdb,instance,configuration_and_change_management,medium,docdb.instance.configuration,security.configuration.docdb_instance_deletion_protection_enabled,none,No candidate rule addresses deletion protection for DocumentDB instances or clusters.,aws.docdb.cluster.iam_authentication_enabled(0.143); aws.docdb.cluster.encryption_in_transit_enabled(0.125); aws.docdb.cluster.backup_retention_period_configured(0.0); aws.docdb.cluster.engine_version_check(0.0); aws.docdb.cluster.monitoring_and_alerting_configured(0.0)
aws.docdb.instance.encryption_at_rest_enabled,docdb,instance,data_protection_and_privacy,high,docdb.instance.encryption,data_protection.encryption_rest.docdb_instance_encryption_at_rest_enabled,none,"The config rule checks encryption at rest for DocumentDB instances, but all candidates focus on different controls like encryption in transit, IAM authentication, backups, or monitoring.",aws.docdb.cluster.encryption_in_transit_enabled(0.25); aws.docdb.cluster.iam_authentication_enabled(0.125); aws.docdb.cluster.backup_retention_period_configured(0.0); aws.docdb.cluster.engine_version_check(0.0); aws.docdb.cluster.monitoring_and_alerting_configured(0.0)
aws.dynamodb.resource.dynamodb_autoscaling_enabled,dynamodb,resource,configuration_and_change_management,medium,dynamodb.resource.configuration,security.configuration.dynamodb_resource_dynamodb_autoscaling_enabled,none,"The config rule checks for DynamoDB autoscaling enabled, but all candidate rules focus on encryption, backup, PITR, or other unrelated controls.",aws.dynamodb.autoscaling_enabled:aws.dynamodb.stream.encryption_at_rest_enabled(0.375); aws.dynamodb.encryption_enabled:aws.dynamodb.stream.encryption_at_rest_enabled(0.25); aws.dynamodb.pitr_enabled:aws.dynamodb.global_table.pitr_enabled_where_supported(0.222); aws.dynamodb.cluster.encryption_enabled:aws.dynamodb.stream.encryption_at_rest_enabled(0.222); aws.dynamodb.backup_enabled:aws.dynamodb.stream.encryption_at_rest_enabled(0.222)
aws.dynamodb.table_protected_by_backup_plan.table_protected_by_backup_plan_configured,dynamodb,table_protected_by_backup_plan,resilience_and_disaster_recovery,medium,dynamodb.table_protected_by_backup_plan.backup_recovery,resilience.backup_recovery.dynamodb_table_protected_by_backup_plan_table_protected_by_backup_plan_configured,none,"No candidate rule addresses DynamoDB table backup plan protection, focusing instead on unrelated controls like encryption, PITR, RBAC, or network isolation.",aws.dynamodb.table_protected_by_backup_plan:aws.dynamodb.table.rbac_least_privilege(0.4); dynamodb.tables.pitr.enabled(0.143); aws.dynamodb.table.rbac_least_privilege(0.125); dynamodb.tables.kms.cmk.encryption.enabled(0.111); aws.dynamodb.table.private_network_only_where_supported(0.1)
aws.ebs.volume.backup_configured,ebs,volume,resilience_and_disaster_recovery,medium,ebs.volume.backup_recovery,resilience.backup_recovery.ebs_volume_backup_configured,none,"The config rule checks for EBS volume backup configuration, but all candidate rules focus on encryption, key management, or snapshot privacy rather than backup configuration.",aws.ebs.volume.backup_configured:aws.ebs.volume.cmk_cmek_configured(0.333); aws.ebs.volume.cmk_cmek_configured(0.25); aws.ebs.volume.snapshots_encrypted(0.25); aws.ebs.volume.snapshots_not_public(0.2); aws.ebs.volume.encryption_at_rest_enabled(0.167)
aws.ec2.account.block_public_access_configured,ec2,account,network_security_and_connectivity,high,ec2.account.network,network_security.network_access.ec2_account_block_public_access_configured,none,"The config rule checks EC2 account-level block public access configuration, while all candidates focus on specific resource-level public access controls like instances, snapshots, or subnets.",aws.ec2.account.block_public_access:aws.ec2.subnet.public_subnets_use_nacl_restrictions(0.3); aws.ec2.snapshot.not_public(0.167); ec2.instance.public.ip(0.167); ec2.ebs.public.snapshot(0.167); aws.ec2.instance.no_public_ip_assigned(0.125)
aws.ec2.eip.not_in_use,ec2,eip,configuration_and_change_management,medium,ec2.eip.configuration,security.configuration.ec2_eip_not_in_use,none,"The config rule checks for unused Elastic IPs (EIPs), while all candidate rules focus on public access restrictions, encryption, launch templates, or other unrelated EC2 controls.",aws.ec2.snapshot.not_public(0.167); aws.ec2.ami.not_publicly_shared(0.143); aws.ec2.launch_template.uses_approved_launch_template(0.143); aws.ec2.subnet.public_subnets_use_nacl_restrictions(0.125); aws.ec2.ebs_public_snapshot:aws.ebs.snapshot.snapshots_not_public(0.125)
aws.ec2.eip.shodan_exposure_detected,ec2,eip,configuration_and_change_management,medium,ec2.eip.configuration,security.configuration.ec2_eip_shodan_exposure_detected,none,"The config rule detects EC2 EIP exposure via Shodan, while all candidates are about CloudWatch metric filters or API Gateway logging, which are unrelated to EC2 EIP security monitoring.",aws.cloudwatch.metric_filter.console_root_login_detected_filter_present(0.1); aws.cloudwatch.metric_filter.iam_policy_change_detected_filter_present(0.1); aws.cloudwatch.metric_filter.kms_key_deletion_or_disable_detected_filter_present(0.083); aws.cloudwatch.metric_filter.network_acl_or_sg_change_detected_filter_present(0.083); aws.api_gateway.stage.api_access_logging_enabled(0.0)
aws.ec2.instance.internet_facing_with_instance_profile_configured,ec2,instance,configuration_and_change_management,medium,ec2.instance.configuration,security.configuration.ec2_instance_internet_facing_with_instance_profile_configured,none,No candidate rule addresses the specific combination of internet-facing EC2 instances with attached instance profiles.,aws.ec2.instance.internet_facing_with_instance_profile:aws.ec2.instance.data_volumes_encrypted_cmek(0.364); aws.ec2.spot_instance.instance_profile_least_privilege(0.25); aws.ec2.launch_template.instance_profile_least_privilege(0.222); aws.ec2.auto_scaling_group.instance_profile_least_privilege(0.2); aws.ec2.instance.profile_attached:aws.ec2.instance.data_volumes_encrypted_cmek(0.182)
aws.ec2.instance.paravirtual_type_configured,ec2,instance,configuration_and_change_management,medium,ec2.instance.configuration,security.configuration.ec2_instance_paravirtual_type_configured,none,No candidate rule addresses paravirtual type configuration for EC2 instances.,aws.ec2.instance.paravirtual_type:aws.ec2.instance.data_volumes_encrypted_cmek(0.222); aws.ec2.instance.imds_hardened(0.2); aws.ec2.instance.vtpm_enabled(0.2); ec2.instance.public.ip(0.2); aws.ec2.instance.secure_boot_enabled(0.167)
aws.ec2.instance.patch_compliance_status_check,ec2,instance,compliance_and_governance,medium,ec2.instance.compliance,compliance.policy_enforcement.ec2_instance_patch_compliance_status_check,none,"None of the candidate rules address patch compliance for EC2 instances, which is the specific control in the YAML config rule.",aws.ec2.patch_compliance:aws.ec2.instance.security_group_inbound_restricted(0.182); aws.ec2.instance.iam_role_compliance_check:aws.ec2.instance.data_volumes_encrypted_cmek(0.154); aws.ec2.instance.imds_hardened(0.143); aws.ec2.instance.vtpm_enabled(0.143); ec2.instance.public.ip(0.143)
aws.ec2.instance.port_kafka_exposed_to_internet_configured,ec2,instance,configuration_and_change_management,medium,ec2.instance.configuration,security.configuration.ec2_instance_port_kafka_exposed_to_internet_configured,none,"The config rule checks for Kafka ports exposed to internet, but all candidate rules are about data volume encryption with CMEK, which is completely unrelated to port exposure controls.",aws.ec2.instance.port_kafka_exposed_to_internet:aws.ec2.instance.data_volumes_encrypted_cmek(0.417); aws.ec2.instance.port_oracle_exposed_to_internet:aws.ec2.instance.data_volumes_encrypted_cmek(0.308); aws.ec2.instance.port_cassandra_exposed_to_internet:aws.ec2.instance.data_volumes_encrypted_cmek(0.308); aws.ec2.instance.port_cifs_exposed_to_internet:aws.ec2.instance.data_volumes_encrypted_cmek(0.308); aws.ec2.instance.port_rdp_exposed_to_internet:aws.ec2.instance.data_volumes_encrypted_cmek(0.308)
aws.ec2.instance.port_ldap_exposed_to_internet_configured,ec2,instance,configuration_and_change_management,medium,ec2.instance.configuration,security.configuration.ec2_instance_port_ldap_exposed_to_internet_configured,none,None of the candidate rules address LDAP port exposure; they all reference data volume encryption instead.,aws.ec2.instance.port_ldap_exposed_to_internet:aws.ec2.instance.data_volumes_encrypted_cmek(0.417); aws.ec2.instance.port_oracle_exposed_to_internet:aws.ec2.instance.data_volumes_encrypted_cmek(0.308); aws.ec2.instance.port_kafka_exposed_to_internet:aws.ec2.instance.data_volumes_encrypted_cmek(0.308); aws.ec2.instance.port_cassandra_exposed_to_internet:aws.ec2.instance.data_volumes_encrypted_cmek(0.308); aws.ec2.instance.port_cifs_exposed_to_internet:aws.ec2.instance.data_volumes_encrypted_cmek(0.308)
aws.ec2.instance.port_mysql_exposed_to_internet_configured,ec2,instance,configuration_and_change_management,medium,ec2.instance.configuration,security.configuration.ec2_instance_port_mysql_exposed_to_internet_configured,none,None of the candidate rules address MySQL port exposure; they all reference data volume encryption instead.,aws.ec2.instance.port_mysql_exposed_to_internet:aws.ec2.instance.data_volumes_encrypted_cmek(0.417); aws.ec2.instance.port_oracle_exposed_to_internet:aws.ec2.instance.data_volumes_encrypted_cmek(0.308); aws.ec2.instance.port_kafka_exposed_to_internet:aws.ec2.instance.data_volumes_encrypted_cmek(0.308); aws.ec2.instance.port_cassandra_exposed_to_internet:aws.ec2.instance.data_volumes_encrypted_cmek(0.308); aws.ec2.instance.port_cifs_exposed_to_internet:aws.ec2.instance.data_volumes_encrypted_cmek(0.308)
