rule_id,provider,service,category,severity,title,description,check_type,complexity,threat_category,mitre_tactics,mitre_techniques,risk_score,domain,action_category,posture_category,frameworks,compliance_ids,source_file
ibm.functions.activity_log.create_action,ibm,functions,activity_log,MEDIUM,"Monitor creation or modification of IBM Cloud Functions actions, representing serverless mobile code.","Monitor creation or modification of IBM Cloud Functions actions, representing serverless mobile code.",log,L6_CIEM_EVENT,persistence,persistence,T1098,55,security_posture,create,security_posture,NIST_800_171,NIST_800_171/3.13.13,ibm_rule_ciem/functions/ibm.functions.activity_log.create_action.yaml
ibm.iam.activity_log.account_invite,ibm,iam,activity_log,MEDIUM,Monitor invitations of external users to the account and subsequent API key generation for them.,Monitor invitations of external users to the account and subsequent API key generation for them.,log,L6_CIEM_EVENT,persistence,persistence,T1098,55,identity_and_access_management,create,security_posture,CIS_IBM,CIS_IBM/1.4,ibm_rule_ciem/iam/ibm.iam.activity_log.account_invite.yaml
ibm.iam.activity_log.api_key_activity,ibm,iam,activity_log,MEDIUM,Detect API key usage for privileged account and virtual server login by privileged identity,Detect API key usage for privileged account and virtual server login by privileged identity,log,L6_CIEM_EVENT,credential_access,credential_access,T1552,55,identity_and_access_management,read,security_posture,CANADA_PBMM,CANADA_PBMM/IA-2(1),ibm_rule_ciem/iam/ibm.iam.activity_log.api_key_activity.yaml
ibm.iam.activity_log.excessive_failed_logins,ibm,iam,activity_log,MEDIUM,Alert on an abnormal count of failed login attempts for a user or service ID.,Alert on an abnormal count of failed login attempts for a user or service ID.,log,L6_CIEM_EVENT,reconnaissance,discovery,T1580,55,identity_and_access_management,read,security_posture,NIST_800_171,NIST_800_171/3.1.8,ibm_rule_ciem/iam/ibm.iam.activity_log.excessive_failed_logins.yaml
ibm.iam.activity_log.login_after_inactivity,ibm,iam,activity_log,MEDIUM,"Monitor for login after >90 day inactivity, and user disable immediately following account reactivation","Monitor for login after >90 day inactivity, and user disable immediately following account reactivation",log,L6_CIEM_EVENT,reconnaissance,discovery,T1580,55,identity_and_access_management,read,security_posture,CIS,CIS/1.5,ibm_rule_ciem/iam/ibm.iam.activity_log.login_after_inactivity.yaml
ibm.iam.activity_log.replay_auth,ibm,iam,activity_log,MEDIUM,Detect authentication replay events and suspicious sequences indicating potential replay attacks.,Detect authentication replay events and suspicious sequences indicating potential replay attacks.,log,L6_CIEM_EVENT,reconnaissance,discovery,T1580,55,identity_and_access_management,read,security_posture,NIST_800_171,NIST_800_171/3.5.4,ibm_rule_ciem/iam/ibm.iam.activity_log.replay_auth.yaml
ibm.iam.activity_log.serviceid_to_api_key,ibm,iam,activity_log,MEDIUM,Detect service ID conversions to API keys and management key rotation evasion,Detect service ID conversions to API keys and management key rotation evasion,log,L6_CIEM_EVENT,credential_access,credential_access,T1552,55,identity_and_access_management,read,security_posture,CANADA_PBMM,CANADA_PBMM/AC-6(2),ibm_rule_ciem/iam/ibm.iam.activity_log.serviceid_to_api_key.yaml
ibm.iam.audit.disable_after_reactivation,ibm,iam,audit,HIGH,"Monitor for login after >90 day inactivity, and user disable immediately following account reactivation","Monitor for login after >90 day inactivity, and user disable immediately following account reactivation",log,L6_CIEM_EVENT,defense_evasion,defense_evasion,T1562,75,identity_and_access_management,delete,security_posture,CIS,CIS/1.5,ibm_rule_ciem/iam/ibm.iam.audit.disable_after_reactivation.yaml
ibm.iam.audit.serviceid_privilege_reversion,ibm,iam,audit,MEDIUM,Detect service ID privilege reversion post-review and chained access group modifications to evade entitlement removal,Detect service ID privilege reversion post-review and chained access group modifications to evade entitlement removal,log,L6_CIEM_EVENT,privilege_escalation,privilege_escalation,T1078,55,identity_and_access_management,create,security_posture,PCI_DSS,PCI_DSS/7.2.4,ibm_rule_ciem/iam/ibm.iam.audit.serviceid_privilege_reversion.yaml
ibm.iam.chain.api_key_abuse,ibm,iam,chain,HIGH,Detect disabling of IBM Security Advisor or API key abuse chains that could disrupt external threat monitoring.,Detect disabling of IBM Security Advisor or API key abuse chains that could disrupt external threat monitoring.,log_correlation,L7_CIEM_CHAIN,credential_access,credential_access,T1552,75,identity_and_access_management,read,security_posture,CIS_IBM,CIS_IBM/1.2,ibm_rule_ciem/iam/ibm.iam.chain.api_key_abuse.yaml
ibm.iam.chain.evade_malware_monitoring,ibm,iam,chain,HIGH,Detect disabling of security group flow logging or IAM changes to evade IBM Security Advisor malware monitoring.,Detect disabling of security group flow logging or IAM changes to evade IBM Security Advisor malware monitoring.,log_correlation,L7_CIEM_CHAIN,reconnaissance,discovery,T1580,75,identity_and_access_management,read,security_posture,CANADA_PBMM,CANADA_PBMM/SI-3(7),ibm_rule_ciem/iam/ibm.iam.chain.evade_malware_monitoring.yaml
ibm.iam.chain.modify_shield_rules,ibm,iam,chain,HIGH,Detect disabling of security group logging or IAM modifications that could bypass IBM Cloud Security & Compliance Center malware rules.,Detect disabling of security group logging or IAM modifications that could bypass IBM Cloud Security & Compliance Center malware rules.,log_correlation,L7_CIEM_CHAIN,defense_evasion,defense_evasion,T1562,75,identity_and_access_management,modify,security_posture,CANADA_PBMM,CANADA_PBMM/SI-3(1),ibm_rule_ciem/iam/ibm.iam.chain.modify_shield_rules.yaml
ibm.is.audit.virtual_server_login,ibm,is,audit,MEDIUM,Detect API key usage for privileged account and virtual server login by privileged identity,Detect API key usage for privileged account and virtual server login by privileged identity,log,L6_CIEM_EVENT,reconnaissance,discovery,T1580,55,logging_monitoring_and_alerting,read,security_posture,CANADA_PBMM,CANADA_PBMM/IA-2(1),ibm_rule_ciem/is/ibm.is.audit.virtual_server_login.yaml
ibm.is.instance.audit_delete_volume,ibm,is,instance,HIGH,Detect block storage volume deletion and Cloud Object Storage bucket deletion as disposal actions.,Detect block storage volume deletion and Cloud Object Storage bucket deletion as disposal actions.,log,L6_CIEM_EVENT,defense_evasion,defense_evasion,T1562,75,logging_monitoring_and_alerting,delete,security_posture,NIST_800_171,NIST_800_171/3.8.3,ibm_rule_ciem/is/ibm.is.instance.audit_delete_volume.yaml
ibm.is.vpc.audit_instance_ssh,ibm,is,vpc,MEDIUM,Detect creation of IAM API keys for remote auth and SSH/RDP sessions to VPC instances for command execution.,Detect creation of IAM API keys for remote auth and SSH/RDP sessions to VPC instances for command execution.,log,L6_CIEM_EVENT,reconnaissance,discovery,T1580,55,logging_monitoring_and_alerting,read,security_posture,NIST_800_171,NIST_800_171/3.1.15,ibm_rule_ciem/is/ibm.is.vpc.audit_instance_ssh.yaml
ibm.resource.audit.management_key_rotation_bypass,ibm,resource,audit,HIGH,Detect service ID conversions to API keys and management key rotation evasion,Detect service ID conversions to API keys and management key rotation evasion,log,L6_CIEM_EVENT,defense_evasion,defense_evasion,T1562,75,logging_monitoring_and_alerting,delete,security_posture,CANADA_PBMM,CANADA_PBMM/AC-6(2),ibm_rule_ciem/resource/ibm.resource.audit.management_key_rotation_bypass.yaml
ibm.schematics.audit.workspace_action,ibm,schematics,audit,MEDIUM,Detect custom image creation in VPC and execution of Schematics workspace actions that may deploy unverified diagnostic code.,Detect custom image creation in VPC and execution of Schematics workspace actions that may deploy unverified diagnostic code.,log,L6_CIEM_EVENT,reconnaissance,discovery,T1580,55,logging_monitoring_and_alerting,read,security_posture,NIST_800_171,NIST_800_171/3.7.4,ibm_rule_ciem/schematics/ibm.schematics.audit.workspace_action.yaml
ibm.schematics.audit.workspace_apply,ibm,schematics,audit,MEDIUM,Monitor VPC instance creation and Schematics workspace applies to detect unauthorized software deployment.,Monitor VPC instance creation and Schematics workspace applies to detect unauthorized software deployment.,log,L6_CIEM_EVENT,reconnaissance,discovery,T1580,55,logging_monitoring_and_alerting,read,security_posture,NIST_800_171,NIST_800_171/3.4.8,ibm_rule_ciem/schematics/ibm.schematics.audit.workspace_apply.yaml
ibm.schematics.audit.workspace_variable_modify,ibm,schematics,audit,MEDIUM,Detect security group rule changes permitting unencrypted traffic and Infrastructure-as-Code variable modifications that could disable TLS in deployme,Detect security group rule changes permitting unencrypted traffic and Infrastructure-as-Code variable modifications that could disable TLS in deployme,log,L6_CIEM_EVENT,defense_evasion,defense_evasion,T1562,55,logging_monitoring_and_alerting,modify,security_posture,CSPM_BEST_PRACTICE,CSPM_BEST_PRACTICE,ibm_rule_ciem/schematics/ibm.schematics.audit.workspace_variable_modify.yaml
ibm.schematics.chain.auditd_tamper,ibm,schematics,chain,HIGH,Detect VPC instance auditd package removal and Schematics actions that alter or disable Linux audit logging,Detect VPC instance auditd package removal and Schematics actions that alter or disable Linux audit logging,log_correlation,L7_CIEM_CHAIN,defense_evasion,defense_evasion,T1562,75,logging_monitoring_and_alerting,delete,security_posture,CSPM_BEST_PRACTICE,CSPM_BEST_PRACTICE,ibm_rule_ciem/schematics/ibm.schematics.chain.auditd_tamper.yaml
ibm.schematics.chain.patch_evasion,ibm,schematics,chain,HIGH,Flag VSI patch compliance overrides or Schematics workspace runs that manipulate patch states.,Flag VSI patch compliance overrides or Schematics workspace runs that manipulate patch states.,log_correlation,L7_CIEM_CHAIN,defense_evasion,defense_evasion,T1562,75,security_posture,delete,security_posture,CSPM_BEST_PRACTICE,CSPM_BEST_PRACTICE,ibm_rule_ciem/schematics/ibm.schematics.chain.patch_evasion.yaml
ibm.security_advisor.audit.disable_va,ibm,security_advisor,audit,HIGH,Detect disabling of IBM Cloud Security and Compliance Center vulnerability scans and changes to VPC security groups that impede scanning.,Detect disabling of IBM Cloud Security and Compliance Center vulnerability scans and changes to VPC security groups that impede scanning.,log,L6_CIEM_EVENT,defense_evasion,defense_evasion,T1562,75,logging_monitoring_and_alerting,delete,security_posture,CANADA_PBMM,CANADA_PBMM/RA-5(2),ibm_rule_ciem/security_advisor/ibm.security_advisor.audit.disable_va.yaml
ibm.security_advisor.audit.disable,ibm,security_advisor,audit,HIGH,Detect disabling of IBM Security Advisor or API key abuse chains that could disrupt external threat monitoring.,Detect disabling of IBM Security Advisor or API key abuse chains that could disrupt external threat monitoring.,log,L6_CIEM_EVENT,defense_evasion,defense_evasion,T1562,75,logging_monitoring_and_alerting,delete,security_posture,CIS,CIS/8.1.16,ibm_rule_ciem/security_advisor/ibm.security_advisor.audit.disable.yaml
ibm.security_advisor.activity_log.note_creation,ibm,security_advisor,activity_log,MEDIUM,"Detect creation of ""false positive"" notes on IBM Security Advisor findings or configuration changes to IBM Activity Tracker that could suppress vulner","Detect creation of ""false positive"" notes on IBM Security Advisor findings or configuration changes to IBM Activity Tracker that could suppress vulner",log,L6_CIEM_EVENT,reconnaissance,discovery,T1580,55,security_posture,read,security_posture,PCI_DSS,PCI_DSS/6.3.1,ibm_rule_ciem/security_advisor/ibm.security_advisor.activity_log.note_creation.yaml
ibm.vpc.activity_log.auditd_removal,ibm,vpc,activity_log,MEDIUM,Detect VPC instance auditd package removal and Schematics actions that alter or disable Linux audit logging,Detect VPC instance auditd package removal and Schematics actions that alter or disable Linux audit logging,log,L6_CIEM_EVENT,reconnaissance,discovery,T1580,55,logging_monitoring_and_alerting,read,security_posture,CSPM_BEST_PRACTICE,CSPM_BEST_PRACTICE,ibm_rule_ciem/vpc/ibm.vpc.activity_log.auditd_removal.yaml
ibm.vpc.activity_log.create_image,ibm,vpc,activity_log,MEDIUM,Detect custom image creation in VPC and execution of Schematics workspace actions that may deploy unverified diagnostic code.,Detect custom image creation in VPC and execution of Schematics workspace actions that may deploy unverified diagnostic code.,log,L6_CIEM_EVENT,persistence,persistence,T1098,55,network_security,create,security_posture,NIST_800_171,NIST_800_171/3.7.4,ibm_rule_ciem/vpc/ibm.vpc.activity_log.create_image.yaml
ibm.vpc.audit.instance_console_activity,ibm,vpc,audit,MEDIUM,Detect MFA requirement removal and anomalous continuous instance console activity.,Detect MFA requirement removal and anomalous continuous instance console activity.,log,L6_CIEM_EVENT,reconnaissance,discovery,T1580,55,logging_monitoring_and_alerting,read,security_posture,NIST_800_171,NIST_800_171/3.1.10,ibm_rule_ciem/vpc/ibm.vpc.audit.instance_console_activity.yaml
ibm.vpc.audit.patch_override,ibm,vpc,audit,MEDIUM,Flag VSI patch compliance overrides or Schematics workspace runs that manipulate patch states.,Flag VSI patch compliance overrides or Schematics workspace runs that manipulate patch states.,log,L6_CIEM_EVENT,reconnaissance,discovery,T1580,55,logging_monitoring_and_alerting,read,security_posture,CSPM_BEST_PRACTICE,CSPM_BEST_PRACTICE,ibm_rule_ciem/vpc/ibm.vpc.audit.patch_override.yaml
ibm.vpc.chain.nested_virtualization_bypass,ibm,vpc,chain,HIGH,Monitor instance profile updates for nested virtualization settings and detect multi-step attempts to enable it.,Monitor instance profile updates for nested virtualization settings and detect multi-step attempts to enable it.,log_correlation,L7_CIEM_CHAIN,defense_evasion,defense_evasion,T1562,75,network_security,delete,security_posture,CSPM_BEST_PRACTICE,CSPM_BEST_PRACTICE,ibm_rule_ciem/vpc/ibm.vpc.chain.nested_virtualization_bypass.yaml
ibm.vpc.chain.profile_template_modification,ibm,vpc,chain,HIGH,"Detect trusted execution disablement in instance defaults, profiles, or templates via API/log events.","Detect trusted execution disablement in instance defaults, profiles, or templates via API/log events.",log_correlation,L7_CIEM_CHAIN,reconnaissance,discovery,T1580,75,network_security,read,security_posture,CIS,CIS/5.1,ibm_rule_ciem/vpc/ibm.vpc.chain.profile_template_modification.yaml
ibm.watson.audit.create_voice_gateway,ibm,watson,audit,MEDIUM,Detect security group rule changes for VoIP traffic and Watson Voice Gateway deployment,Detect security group rule changes for VoIP traffic and Watson Voice Gateway deployment,log,L6_CIEM_EVENT,persistence,persistence,T1098,55,logging_monitoring_and_alerting,create,security_posture,NIST_800_171,NIST_800_171/3.13.14,ibm_rule_ciem/watson/ibm.watson.audit.create_voice_gateway.yaml
ibm.iam.audit.logs_enabled,ibm,iam,audit,MEDIUM,"A1.2 The entity authorizes, designs, develops or acquires, implements, operates,","A1.2 The entity authorizes, designs, develops or acquires, implements, operates,",log,L6_CIEM_EVENT,reconnaissance,discovery,T1580,55,identity_and_access_management,read,security_posture,ISO27001_2022;SOC2,iso27001_2022_A.8.16;soc2_cc_7_2;soc2_cc_7_3;soc2_cc_a_1_1,ibm_rule_ciem/iam/ibm.iam.audit.logs_enabled.yaml
