rule_id,provider,service,category,severity,title,description,rule_type,check_type,complexity,frameworks,compliance_ids,threat_category,action_category,mitre_tactics,mitre_techniques,risk_score,domain,posture_category,source_file
alicloud.ram.activity_log.console_login_inactive_user,alicloud,ram,activity_log,MEDIUM,"Detect console login by RAM user inactive >90 days, and chained policy attachment to dormant account","Detect console login by RAM user inactive >90 days, and chained policy attachment to dormant account",ciem,log,L6_CIEM_EVENT,CSPM_BEST_PRACTICE,CSPM_BEST_PRACTICE,reconnaissance,read,discovery,T1580,55,identity_and_access_management,security_posture,alicloud_rule_ciem/ram/alicloud.ram.activity_log.console_login_inactive_user.yaml
alicloud.ram.activity_log.login_attempt_limit,alicloud,ram,activity_log,MEDIUM,Detect when RAM user login failures exceed a defined threshold within a monitoring window.,Detect when RAM user login failures exceed a defined threshold within a monitoring window.,ciem,log,L6_CIEM_EVENT,NIST_800_171,NIST_800_171/3.1.8,reconnaissance,read,discovery,T1580,55,identity_and_access_management,security_posture,alicloud_rule_ciem/ram/alicloud.ram.activity_log.login_attempt_limit.yaml
alicloud.ram.activity_log.replay_detection,alicloud,ram,activity_log,MEDIUM,Detect replay attempts in RAM audit logs and anomalous chains of authentication actions.,Detect replay attempts in RAM audit logs and anomalous chains of authentication actions.,ciem,log,L6_CIEM_EVENT,NIST_800_171,NIST_800_171/3.5.4,reconnaissance,read,discovery,T1580,55,identity_and_access_management,security_posture,alicloud_rule_ciem/ram/alicloud.ram.activity_log.replay_detection.yaml
alicloud.ram.audit.privileged_anomaly,alicloud,ram,audit,MEDIUM,Detect critical event gaps in ActionTrail and anomalous RAM privileged actions,Detect critical event gaps in ActionTrail and anomalous RAM privileged actions,ciem,log,L6_CIEM_EVENT,PCI_DSS,PCI_DSS/10.2.2,privilege_escalation,create,privilege_escalation,T1078,55,identity_and_access_management,security_posture,alicloud_rule_ciem/ram/alicloud.ram.audit.privileged_anomaly.yaml
alicloud.ram.audit.user_login_profile_reactivate,alicloud,ram,audit,MEDIUM,Detect RAM user login profile reactivation after review disable and chained RAM policy updates to retain privileges,Detect RAM user login profile reactivation after review disable and chained RAM policy updates to retain privileges,ciem,log,L6_CIEM_EVENT,PCI_DSS,PCI_DSS/7.2.4,reconnaissance,read,discovery,T1580,55,identity_and_access_management,security_posture,alicloud_rule_ciem/ram/alicloud.ram.audit.user_login_profile_reactivate.yaml
alicloud.resourcemanager.audit.folder_change,alicloud,resourcemanager,audit,MEDIUM,Track RAM (Resource Access Management) policy changes and resource directory folder modifications to log system changes.,Track RAM (Resource Access Management) policy changes and resource directory folder modifications to log system changes.,ciem,log,L6_CIEM_EVENT,NIST_800_171,NIST_800_171/3.4.3,defense_evasion,modify,defense_evasion,T1562,55,logging_monitoring_and_alerting,security_posture,alicloud_rule_ciem/resourcemanager/alicloud.resourcemanager.audit.folder_change.yaml
alicloud.sas.activity_log.backup_policy_delete,alicloud,sas,activity_log,HIGH,"Detect deletion of Security Center (SAS) vulnerability backup policies or stopping of ActionTrail audit trails, indicating attempts to disrupt vulnera","Detect deletion of Security Center (SAS) vulnerability backup policies or stopping of ActionTrail audit trails, indicating attempts to disrupt vulnera",ciem,log,L6_CIEM_EVENT,PCI_DSS,PCI_DSS/6.3.1,defense_evasion,delete,defense_evasion,T1562,75,security_posture,security_posture,alicloud_rule_ciem/sas/alicloud.sas.activity_log.backup_policy_delete.yaml
alicloud.sas.audit.disable,alicloud,sas,audit,HIGH,Detect disabling of Security Center (SAS) or RAM privilege escalation chains aimed at evading external attack surface detection.,Detect disabling of Security Center (SAS) or RAM privilege escalation chains aimed at evading external attack surface detection.,ciem,log,L6_CIEM_EVENT,CIS,CIS/8.1.16,defense_evasion,delete,defense_evasion,T1562,75,logging_monitoring_and_alerting,security_posture,alicloud_rule_ciem/sas/alicloud.sas.audit.disable.yaml
alicloud.sas.audit.stop_anti_bot,alicloud,sas,audit,MEDIUM,Detect stopping of Anti-Bot Service or RAM policy deletions that remove malware protection entitlements.,Detect stopping of Anti-Bot Service or RAM policy deletions that remove malware protection entitlements.,ciem,log,L6_CIEM_EVENT,CANADA_PBMM,CANADA_PBMM/SI-3(1),defense_evasion,delete,defense_evasion,T1562,55,logging_monitoring_and_alerting,security_posture,alicloud_rule_ciem/sas/alicloud.sas.audit.stop_anti_bot.yaml
alicloud.securitycenter.audit.disable_scan,alicloud,securitycenter,audit,HIGH,Identify actions to disable Security Center vulnerability scanning and modifications to ECS security groups that restrict scanner IPs.,Identify actions to disable Security Center vulnerability scanning and modifications to ECS security groups that restrict scanner IPs.,ciem,log,L6_CIEM_EVENT,CANADA_PBMM,CANADA_PBMM/RA-5(2),defense_evasion,delete,defense_evasion,T1562,75,logging_monitoring_and_alerting,security_posture,alicloud_rule_ciem/securitycenter/alicloud.securitycenter.audit.disable_scan.yaml
alicloud.slb.chain.listener_attribute_modify,alicloud,slb,chain,HIGH,Detect security group rule updates allowing non-SSL traffic and chained modifications to SLB listener attributes that could remove HTTPS/SSL certifica,Detect security group rule updates allowing non-SSL traffic and chained modifications to SLB listener attributes that could remove HTTPS/SSL certifica,ciem,log_correlation,L7_CIEM_CHAIN,CIS_ALICLOUD,CIS_ALICLOUD/6.3.5,defense_evasion,modify,defense_evasion,T1562,75,security_posture,security_posture,alicloud_rule_ciem/slb/alicloud.slb.chain.listener_attribute_modify.yaml
alicloud.voicenavigator.audit.create_instance,alicloud,voicenavigator,audit,MEDIUM,Monitor security group modifications for SIP/RTP ports and Voice Navigator instance creation,Monitor security group modifications for SIP/RTP ports and Voice Navigator instance creation,ciem,log,L6_CIEM_EVENT,NIST_800_171,NIST_800_171/3.13.14,persistence,create,persistence,T1098,55,logging_monitoring_and_alerting,security_posture,alicloud_rule_ciem/voicenavigator/alicloud.voicenavigator.audit.create_instance.yaml
aws.chime.audit.create_meeting,aws,chime,audit,MEDIUM,Detect creation of VPC endpoints for VoIP services and privileged Chime meeting creation,Detect creation of VPC endpoints for VoIP services and privileged Chime meeting creation,ciem,log,L6_CIEM_EVENT,NIST_800_171,NIST_800_171/3.13.14,persistence,create,persistence,T1098,55,logging_monitoring_and_alerting,security_posture,aws_rule_ciem/chime/aws.chime.audit.create_meeting.yaml
aws.cloudtrail.activity_log.critical_event_missing,aws,cloudtrail,activity_log,MEDIUM,Detect missing critical audit events and anomalous privileged actions in CloudTrail logs,Detect missing critical audit events and anomalous privileged actions in CloudTrail logs,ciem,log,L6_CIEM_EVENT,PCI_DSS,PCI_DSS/10.2.2,reconnaissance,read,discovery,T1580,55,security_posture,security_posture,aws_rule_ciem/cloudtrail/aws.cloudtrail.activity_log.critical_event_missing.yaml
aws.cloudtrail.activity_log.periodic_review,aws,cloudtrail,activity_log,MEDIUM,Detect missing periodic log reviews and anomalous privileged actions across AWS services.,Detect missing periodic log reviews and anomalous privileged actions across AWS services.,ciem,log,L6_CIEM_EVENT,PCI_DSS,PCI_DSS/10.4.2.1,reconnaissance,read,discovery,T1580,55,security_posture,security_posture,aws_rule_ciem/cloudtrail/aws.cloudtrail.activity_log.periodic_review.yaml
aws.cloudtrail.chain.replay_auth_anomaly,aws,cloudtrail,chain,HIGH,Detect replay attempts via duplicate or out-of-sequence authentication events and anomalous multi-step authentication chains.,Detect replay attempts via duplicate or out-of-sequence authentication events and anomalous multi-step authentication chains.,ciem,log_correlation,L7_CIEM_CHAIN,NIST_800_171,NIST_800_171/3.5.4,reconnaissance,read,discovery,T1580,75,security_posture,security_posture,aws_rule_ciem/cloudtrail/aws.cloudtrail.chain.replay_auth_anomaly.yaml
aws.ec2.activity_log.auditd_disable,aws,ec2,activity_log,HIGH,Detect EC2 auditd service stop/deletion and SSM commands that disable or tamper with Linux audit logging,Detect EC2 auditd service stop/deletion and SSM commands that disable or tamper with Linux audit logging,ciem,log,L6_CIEM_EVENT,CSPM_BEST_PRACTICE,CSPM_BEST_PRACTICE,defense_evasion,delete,defense_evasion,T1562,75,logging_monitoring_and_alerting,security_posture,aws_rule_ciem/ec2/aws.ec2.activity_log.auditd_disable.yaml
aws.ec2.activity_log.delete_volume,aws,ec2,activity_log,HIGH,Detect volume deletion without prior sanitization and snapshot creation from deleted volumes as potential data retention evasion.,Detect volume deletion without prior sanitization and snapshot creation from deleted volumes as potential data retention evasion.,ciem,log,L6_CIEM_EVENT,NIST_800_171,NIST_800_171/3.8.3,defense_evasion,delete,defense_evasion,T1562,75,security_posture,security_posture,aws_rule_ciem/ec2/aws.ec2.activity_log.delete_volume.yaml
aws.ec2.activity_log.import_image,aws,ec2,activity_log,MEDIUM,Detect import of VM images or execution of diagnostic commands that could introduce untested code into EC2 instances.,Detect import of VM images or execution of diagnostic commands that could introduce untested code into EC2 instances.,ciem,log,L6_CIEM_EVENT,NIST_800_171,NIST_800_171/3.4.7,reconnaissance,read,discovery,T1580,55,security_posture,security_posture,aws_rule_ciem/ec2/aws.ec2.activity_log.import_image.yaml
aws.ec2.activity_log.modify_time_sync,aws,ec2,activity_log,MEDIUM,"Detect attempts to disable or interfere with time synchronization services (e.g., EC2 instance time sync) and CloudTrail logging disruptions that coul","Detect attempts to disable or interfere with time synchronization services (e.g., EC2 instance time sync) and CloudTrail logging disruptions that coul",ciem,log,L6_CIEM_EVENT,NIST_800_171;PCI_DSS,NIST_800_171/3.3.7;PCI_DSS/10.6.1,defense_evasion,modify,defense_evasion,T1562,55,security_posture,security_posture,aws_rule_ciem/ec2/aws.ec2.activity_log.modify_time_sync.yaml
aws.iam.activity_log.console_login_followed_by_disable,aws,iam,activity_log,HIGH,"Detect console login after 90+ day inactivity, then immediate disable (defense evasion) or reactivation of long-dormant users","Detect console login after 90+ day inactivity, then immediate disable (defense evasion) or reactivation of long-dormant users",ciem,log,L6_CIEM_EVENT,CIS_AWS,CIS_AWS/1.12,defense_evasion,delete,defense_evasion,T1562,75,identity_and_access_management,security_posture,aws_rule_ciem/iam/aws.iam.activity_log.console_login_followed_by_disable.yaml
aws.iam.activity_log.replay_attempt,aws,iam,activity_log,MEDIUM,Detect replay attempts via duplicate or out-of-sequence authentication events and anomalous multi-step authentication chains.,Detect replay attempts via duplicate or out-of-sequence authentication events and anomalous multi-step authentication chains.,ciem,log,L6_CIEM_EVENT,NIST_800_171,NIST_800_171/3.5.4,reconnaissance,read,discovery,T1580,55,identity_and_access_management,security_posture,aws_rule_ciem/iam/aws.iam.activity_log.replay_attempt.yaml
aws.iam.audit.user_access_review_override,aws,iam,audit,MEDIUM,Detect IAM user access review overrides and chained actions to evade privilege removal after review deadlines,Detect IAM user access review overrides and chained actions to evade privilege removal after review deadlines,ciem,log,L6_CIEM_EVENT,PCI_DSS,PCI_DSS/7.2.4,reconnaissance,read,discovery,T1580,55,identity_and_access_management,security_posture,aws_rule_ciem/iam/aws.iam.audit.user_access_review_override.yaml
aws.iam.audit.user_inactivity_reactivation,aws,iam,audit,MEDIUM,"Detect console login after 90+ day inactivity, then immediate disable (defense evasion) or reactivation of long-dormant users","Detect console login after 90+ day inactivity, then immediate disable (defense evasion) or reactivation of long-dormant users",ciem,log,L6_CIEM_EVENT,CIS,CIS/1.5,reconnaissance,read,discovery,T1580,55,identity_and_access_management,security_posture,aws_rule_ciem/iam/aws.iam.audit.user_inactivity_reactivation.yaml
aws.ssm.chain.auditd_tamper,aws,ssm,chain,HIGH,Detect EC2 auditd service stop/deletion and SSM commands that disable or tamper with Linux audit logging,Detect EC2 auditd service stop/deletion and SSM commands that disable or tamper with Linux audit logging,ciem,log_correlation,L7_CIEM_CHAIN,CSPM_BEST_PRACTICE,CSPM_BEST_PRACTICE,defense_evasion,delete,defense_evasion,T1562,75,logging_monitoring_and_alerting,security_posture,aws_rule_ciem/ssm/aws.ssm.chain.auditd_tamper.yaml
aws.ssm.chain.patch_evasion,aws,ssm,chain,HIGH,Detect privileged actions that override patch states or orchestrate patch evasion via SSM command chaining.,Detect privileged actions that override patch states or orchestrate patch evasion via SSM command chaining.,ciem,log_correlation,L7_CIEM_CHAIN,CSPM_BEST_PRACTICE,CSPM_BEST_PRACTICE,defense_evasion,delete,defense_evasion,T1562,75,security_posture,security_posture,aws_rule_ciem/ssm/aws.ssm.chain.patch_evasion.yaml
azure.aad.activity_log.replay_token,azure,aad,activity_log,MEDIUM,Detect replay of authentication tokens and anomalous sequences of authentication actions from unusual locations/times.,Detect replay of authentication tokens and anomalous sequences of authentication actions from unusual locations/times.,ciem,log,L6_CIEM_EVENT,NIST_800_171,NIST_800_171/3.5.4,credential_access,read,credential_access,T1552,55,security_posture,security_posture,azure_rule_ciem/aad/azure.aad.activity_log.replay_token.yaml
azure.aad.activity_log.signin_after_inactivity,azure,aad,activity_log,MEDIUM,"Alert on sign-in for accounts inactive >90 days, and chain where inactive account is re-enabled then quickly disabled","Alert on sign-in for accounts inactive >90 days, and chain where inactive account is re-enabled then quickly disabled",ciem,log,L6_CIEM_EVENT,CSPM_BEST_PRACTICE,CSPM_BEST_PRACTICE,reconnaissance,read,discovery,T1580,55,security_posture,security_posture,azure_rule_ciem/aad/azure.aad.activity_log.signin_after_inactivity.yaml
azure.aad.activity_log.signin_failure_series,azure,aad,activity_log,MEDIUM,"Identify rapid sequences of failed sign-ins from same principal or IP, indicating credential brute force.","Identify rapid sequences of failed sign-ins from same principal or IP, indicating credential brute force.",ciem,log,L6_CIEM_EVENT,NIST_800_171,NIST_800_171/3.1.8,reconnaissance,read,discovery,T1580,55,security_posture,security_posture,azure_rule_ciem/aad/azure.aad.activity_log.signin_failure_series.yaml
azure.communication.audit.create_voip_resource,azure,communication,audit,MEDIUM,Monitor creation of Azure Communication Services VoIP resources and NSG changes affecting VoIP ports,Monitor creation of Azure Communication Services VoIP resources and NSG changes affecting VoIP ports,ciem,log,L6_CIEM_EVENT,NIST_800_171,NIST_800_171/3.13.14,persistence,create,persistence,T1098,55,logging_monitoring_and_alerting,security_posture,azure_rule_ciem/communication/azure.communication.audit.create_voip_resource.yaml
azure.compute.audit.rdp_session_anomaly,azure,compute,audit,MEDIUM,Detect MFA policy disablement and anomalous RDP session patterns indicating lack of session lock.,Detect MFA policy disablement and anomalous RDP session patterns indicating lack of session lock.,ciem,log,L6_CIEM_EVENT,NIST_800_171,NIST_800_171/3.1.10,reconnaissance,read,discovery,T1580,55,logging_monitoring_and_alerting,security_posture,azure_rule_ciem/compute/azure.compute.audit.rdp_session_anomaly.yaml
azure.compute.chain.nested_hypervisor_enable,azure,compute,chain,HIGH,Monitor VM updates for enabling nested virtualization and detect chained actions that bypass default hypervisor restrictions.,Monitor VM updates for enabling nested virtualization and detect chained actions that bypass default hypervisor restrictions.,ciem,log_correlation,L7_CIEM_CHAIN,CIS,CIS/6.1,reconnaissance,read,discovery,T1580,75,security_posture,security_posture,azure_rule_ciem/compute/azure.compute.chain.nested_hypervisor_enable.yaml
azure.monitor.activity_log.timestamp_anomaly,azure,monitor,activity_log,MEDIUM,Identify log timestamp discrepancies or unauthorized log workspace deletions,Identify log timestamp discrepancies or unauthorized log workspace deletions,ciem,log,L6_CIEM_EVENT,CANADA_PBMM,CANADA_PBMM/AU-8(1),reconnaissance,read,discovery,T1580,55,security_posture,security_posture,azure_rule_ciem/monitor/azure.monitor.activity_log.timestamp_anomaly.yaml
azure.monitor.audit.brute_force_pattern,azure,monitor,audit,MEDIUM,"Identify rapid sequences of failed sign-ins from same principal or IP, indicating credential brute force.","Identify rapid sequences of failed sign-ins from same principal or IP, indicating credential brute force.",ciem,log,L6_CIEM_EVENT,NIST_800_171,NIST_800_171/3.1.8,reconnaissance,read,discovery,T1580,55,logging_monitoring_and_alerting,security_posture,azure_rule_ciem/monitor/azure.monitor.audit.brute_force_pattern.yaml
azure.vm.activity_log.auditd_modify,azure,vm,activity_log,MEDIUM,Detect VM auditd configuration changes and Automation runbooks that disable or circumvent Linux audit logging,Detect VM auditd configuration changes and Automation runbooks that disable or circumvent Linux audit logging,ciem,log,L6_CIEM_EVENT,CSPM_BEST_PRACTICE,CSPM_BEST_PRACTICE,defense_evasion,modify,defense_evasion,T1562,55,logging_monitoring_and_alerting,security_posture,azure_rule_ciem/vm/azure.vm.activity_log.auditd_modify.yaml
azure.vm.activity_log.modify_time_config,azure,vm,activity_log,MEDIUM,Detect modifications to VM time synchronization settings or disabling of log profiles that could disrupt time-correlated security monitoring.,Detect modifications to VM time synchronization settings or disabling of log profiles that could disrupt time-correlated security monitoring.; Detect,ciem,log,L6_CIEM_EVENT,NIST_800_171;PCI_DSS,NIST_800_171/3.3.7;PCI_DSS/10.6.1,defense_evasion,modify,defense_evasion,T1562,55,security_posture,security_posture,azure_rule_ciem/vm/azure.vm.activity_log.modify_time_config.yaml
azure.vm.audit.patch_override,azure,vm,audit,MEDIUM,Identify VM patch state tampering or automated runbook sequences designed to bypass update compliance.,Identify VM patch state tampering or automated runbook sequences designed to bypass update compliance.,ciem,log,L6_CIEM_EVENT,CIS,CIS/10.7,reconnaissance,read,discovery,T1580,55,logging_monitoring_and_alerting,security_posture,azure_rule_ciem/vm/azure.vm.audit.patch_override.yaml
gcp.cloudaudit.audit.authentication_anomaly,gcp,cloudaudit,audit,MEDIUM,Monitor for repeated failed authentication events in IAM and Admin Activity audit logs.,Monitor for repeated failed authentication events in IAM and Admin Activity audit logs.,ciem,log,L6_CIEM_EVENT,NIST_800_171,NIST_800_171/3.1.8,reconnaissance,read,discovery,T1580,55,logging_monitoring_and_alerting,security_posture,gcp_rule_ciem/cloudaudit/gcp.cloudaudit.audit.authentication_anomaly.yaml
gcp.compute.activity_log.auditd_alter,gcp,compute,activity_log,MEDIUM,Detect Compute Engine auditd service manipulation and OS Config patch deployments that modify or disable auditd,Detect Compute Engine auditd service manipulation and OS Config patch deployments that modify or disable auditd,ciem,log,L6_CIEM_EVENT,CIS,CIS/5.7.2,defense_evasion,modify,defense_evasion,T1562,55,logging_monitoring_and_alerting,security_posture,gcp_rule_ciem/compute/gcp.compute.activity_log.auditd_alter.yaml
gcp.compute.activity_log.create_image,gcp,compute,activity_log,MEDIUM,Flag custom image creation from external sources and OS patch/package operations that could deploy untested diagnostic programs.,Flag custom image creation from external sources and OS patch/package operations that could deploy untested diagnostic programs.,ciem,log,L6_CIEM_EVENT,NIST_800_171,NIST_800_171/3.4.7,persistence,create,persistence,T1098,55,security_posture,security_posture,gcp_rule_ciem/compute/gcp.compute.activity_log.create_image.yaml
gcp.compute.activity_log.delete_disk,gcp,compute,activity_log,HIGH,Detect persistent disk deletion and snapshot creation from deleted disks as possible unsanitized reuse or backup.,Detect persistent disk deletion and snapshot creation from deleted disks as possible unsanitized reuse or backup.,ciem,log,L6_CIEM_EVENT,NIST_800_171,NIST_800_171/3.8.3,defense_evasion,delete,defense_evasion,T1562,75,security_posture,security_posture,gcp_rule_ciem/compute/gcp.compute.activity_log.delete_disk.yaml
gcp.compute.activity_log.disable_osconfig_malware,gcp,compute,activity_log,HIGH,Detect disabling of OS Config malware scanning or IAM role modifications to bypass Cloud Security Scanner.,Detect disabling of OS Config malware scanning or IAM role modifications to bypass Cloud Security Scanner.,ciem,log,L6_CIEM_EVENT,CANADA_PBMM,CANADA_PBMM/SI-3(7),defense_evasion,delete,defense_evasion,T1562,75,security_posture,security_posture,gcp_rule_ciem/compute/gcp.compute.activity_log.disable_osconfig_malware.yaml
gcp.compute.activity_log.set_nested_virtualization,gcp,compute,activity_log,MEDIUM,Alert on API calls enabling nested virtualization on Compute Engine VMs or creating VMs with nested virtualization enabled.,Alert on API calls enabling nested virtualization on Compute Engine VMs or creating VMs with nested virtualization enabled.,ciem,log,L6_CIEM_EVENT,CSPM_BEST_PRACTICE,CSPM_BEST_PRACTICE,reconnaissance,read,discovery,T1580,55,security_posture,security_posture,gcp_rule_ciem/compute/gcp.compute.activity_log.set_nested_virtualization.yaml
gcp.compute.audit.instance_creation_without_integrity,gcp,compute,audit,MEDIUM,Detect shielded VM policy modifications disabling vTPM/Integrity Monitoring or instance creations without integrity features.,Detect shielded VM policy modifications disabling vTPM/Integrity Monitoring or instance creations without integrity features.,ciem,log,L6_CIEM_EVENT,CIS,CIS/5.1,reconnaissance,read,discovery,T1580,55,logging_monitoring_and_alerting,security_posture,gcp_rule_ciem/compute/gcp.compute.audit.instance_creation_without_integrity.yaml
gcp.compute.audit.patch_override,gcp,compute,audit,MEDIUM,Monitor for instance patch policy overrides or OS Config agent manipulations to evade patching.,Monitor for instance patch policy overrides or OS Config agent manipulations to evade patching.,ciem,log,L6_CIEM_EVENT,CIS_GCP,CIS_GCP/4.12,reconnaissance,read,discovery,T1580,55,logging_monitoring_and_alerting,security_posture,gcp_rule_ciem/compute/gcp.compute.audit.patch_override.yaml
gcp.compute.audit.ssh_session_chain,gcp,compute,audit,MEDIUM,Detect two-step verification disablement and chained SSH sessions bypassing inactivity timeouts.,Detect two-step verification disablement and chained SSH sessions bypassing inactivity timeouts.,ciem,log,L6_CIEM_EVENT,NIST_800_171,NIST_800_171/3.1.10,reconnaissance,read,discovery,T1580,55,logging_monitoring_and_alerting,security_posture,gcp_rule_ciem/compute/gcp.compute.audit.ssh_session_chain.yaml
gcp.contactcenterinsights.audit.create_analysis,gcp,contactcenterinsights,audit,MEDIUM,Detect firewall rule creation for VoIP traffic patterns and Contact Center AI analysis initiation,Detect firewall rule creation for VoIP traffic patterns and Contact Center AI analysis initiation,ciem,log,L6_CIEM_EVENT,NIST_800_171,NIST_800_171/3.13.14,persistence,create,persistence,T1098,55,logging_monitoring_and_alerting,security_posture,gcp_rule_ciem/contactcenterinsights/gcp.contactcenterinsights.audit.create_analysis.yaml
gcp.iam.activity_log.disable_2sv,gcp,iam,activity_log,HIGH,Detect two-step verification disablement and chained SSH sessions bypassing inactivity timeouts.,Detect two-step verification disablement and chained SSH sessions bypassing inactivity timeouts.,ciem,log,L6_CIEM_EVENT,NIST_800_171,NIST_800_171/3.1.10,defense_evasion,delete,defense_evasion,T1562,75,identity_and_access_management,security_posture,gcp_rule_ciem/iam/gcp.iam.activity_log.disable_2sv.yaml
gcp.iam.activity_log.replay_detection,gcp,iam,activity_log,MEDIUM,Detect replay attempts in IAM audit logs and behavioral chains indicating stolen credential reuse.,Detect replay attempts in IAM audit logs and behavioral chains indicating stolen credential reuse.,ciem,log,L6_CIEM_EVENT,NIST_800_171,NIST_800_171/3.5.4,reconnaissance,read,discovery,T1580,55,identity_and_access_management,security_posture,gcp_rule_ciem/iam/gcp.iam.activity_log.replay_detection.yaml
gcp.iam.audit.dormant_user_console_access,gcp,iam,audit,MEDIUM,Detect use of dormant service account keys (>90d) or console login by long-inactive human user,Detect use of dormant service account keys (>90d) or console login by long-inactive human user,ciem,log,L6_CIEM_EVENT,CIS,CIS/1.5,reconnaissance,read,discovery,T1580,55,identity_and_access_management,security_posture,gcp_rule_ciem/iam/gcp.iam.audit.dormant_user_console_access.yaml
