check_name,matched_rule_ids,method,confidence,reasoning
k8s_api_server_etcd_cafile_validity_check,k8s.apiserver.server.etcd_cafile_validity_check,token_match_high,0.71,Jaccard=0.71
k8s_api_server_etcd_tls_certificates_configured,k8s.federation.server.etcd_tls_certificates_configured,token_match_high,0.71,Jaccard=0.71
k8s_api_server_image_policy_webhook_enabled,k8s.apiserver.server.image_policy_webhook_enabled,token_match_high,0.71,Jaccard=0.71
k8s_api_server_insecure_port_disabled,k8s.apiserver.server.insecure_port_disabled,token_match_high,0.71,Jaccard=0.71
k8s_api_server_kubelet_auth_certificates_configured,k8s.apiserver.server.kubelet_auth_certificates_configured,token_match_high,0.71,Jaccard=0.71
k8s_api_server_kubelet_certificate_authority_validity_check,k8s.apiserver.server.kubelet_client_cert_key_verification,ai_verified,medium,"The check name focuses on kubelet certificate authority validity for the API server, which aligns with verifying kubelet client certificates, though it may not be an exact match."
k8s_api_server_kubelet_certificate_authority_verification,k8s.apiserver.server.kubelet_client_cert_key_verification,ai_verified,medium,"The check name focuses on kubelet certificate authority verification for the API server, which aligns with verifying kubelet client certificate and key authentication."
k8s_api_server_kubelet_client_cert_key_verification,k8s.apiserver.server.kubelet_client_cert_key_verification,token_match_high,0.78,Jaccard=0.78
k8s_api_server_pod_anonymous_auth_disabled,k8s.apiserver.server.pod_anonymous_auth_disabled,token_match_high,0.75,Jaccard=0.75
k8s_api_server_pod_authorization_mode_rbac_enabled,k8s.apiserver.server.pod_authorization_mode_rbac_enabled,token_match_high,0.75,Jaccard=0.75
k8s_api_server_request_timeout_check,k8s.apiserver.server.request_timeout_check,token_match_high,0.67,Jaccard=0.67
k8s_api_server_secure_port_not_zero,k8s.apiserver.server.secure_port_not_zero,token_match_high,0.71,Jaccard=0.71
k8s_api_server_secure_port_validation,k8s.apiserver.server.secure_port_not_zero,ai_verified,high,The check name directly matches the rule's focus on validating that the Kubernetes API server's secure port is set to a non-zero value.
k8s_api_server_service_account_key_file_check,k8s.apiserver.server.service_account_key_file_check,token_match_high,0.75,Jaccard=0.75
k8s_api_server_service_account_key_file_configured,k8s.apiserver.server.service_account_key_file_check,token_match_high,0.75,Jaccard=0.75
k8s_api_server_service_account_lookup_enabled,k8s.apiserver.service.account_lookup_enabled,ai_verified,high,"The rule ID directly matches the check name in service (k8s API server), action (service account lookup), and target resource (enabled status), indicating it implements the same security check."
k8s_api_server_tls_cert_file_check,k8s.apiserver.server.tls_cert_file_check,token_match_high,0.71,Jaccard=0.71
k8s_api_server_tls_certificates_configured,k8s.apiserver.server.tls_certificates_configured,token_match_high,0.67,Jaccard=0.67
k8s_api_server_tls_cipher_suites_strong_check,k8s.apiserver.server.tls_cipher_suites_strong_check,token_match_high,0.75,Jaccard=0.75
k8s_api_server_token_auth_file_not_set,k8s.apiserver.server.token_auth_file_not_set,token_match_high,0.75,Jaccard=0.75
k8s_apiserver_admission_plugin_serviceaccount_check,k8s.apiserver.admission.plugin_serviceaccount_check,token_match_high,1.00,Jaccard=1.00
k8s_apiserver_audit_log_maxsize_check,k8s.apiserver.log.maxsize_check,token_match_high,0.80,Jaccard=0.80
k8s_apiserver_authorization_mode_check,k8s.apiserver.authorization.mode_check,token_match_high,1.00,Jaccard=1.00
k8s_apiserver_encryption_config_check,k8s.apiserver.encryption.config_check,token_match_high,1.00,Jaccard=1.00
k8s_etcd_apiserver_ca_check,k8s.etcd.etcd.apiserver_ca_configured,token_match_high,1.00,Jaccard=1.00
k8s_etcd_auto_tls_check,k8s.etcd.auto.tls_check,token_match_high,1.00,Jaccard=1.00
k8s_etcd_ca_uniqueness_check,k8s.etcd.ca.uniqueness_check,token_match_high,1.00,Jaccard=1.00
k8s_etcd_peer_client_cert_auth_in_transit_enabled,k8s.etcd.etcd.peer_client_cert_auth_in_transit_enabled,token_match_high,1.00,Jaccard=1.00
k8s_etcd_peer_tls_configuration_check,k8s.etcd.peer.tls_configuration_check,token_match_high,1.00,Jaccard=1.00
k8s_etcd_peer_tls_in_transit_configuration,k8s.etcd.peer.tls_in_transit_configuration,token_match_high,1.00,Jaccard=1.00
k8s_etcd_pod_auto_tls_check,k8s.etcd.pod.auto_tls_check,token_match_high,1.00,Jaccard=1.00
k8s_etcd_pod_client_cert_auth_enabled,k8s.etcd.pod.client_cert_auth_enabled,token_match_high,1.00,Jaccard=1.00
k8s_etcd_pod_peer_auto_tls_disabled,k8s.etcd.pod.peer_auto_tls_disabled,token_match_high,1.00,Jaccard=1.00
k8s_etcd_pod_tls_encryption_configuration_check,k8s.etcd.etcd.pod_tls_encryption_configuration_configured,token_match_high,1.00,Jaccard=1.00
k8s_etcd_tls_encryption_in_transit_check,k8s.etcd.tls.encryption_in_transit_check,token_match_high,1.00,Jaccard=1.00
k8s_etcd_unique_ca_certificate_check,k8s.etcd.unique.ca_certificate_check,token_match_high,1.00,Jaccard=1.00
k8s_federation_api_server_tls_configuration_check,k8s.federation.api.server_tls_configuration_check,token_match_high,1.00,Jaccard=1.00
k8s_federation_apiserver_audit_log_path_check,k8s.apiserver.server.audit_log_path_check,token_match_high,0.71,Jaccard=0.71
k8s_federation_apiserver_basic_auth_disabled,k8s.federation.server.basic_auth_disabled,token_match_high,0.71,Jaccard=0.71
k8s_federation_apiserver_etcd_tls_certificates_configured,k8s.federation.server.etcd_tls_certificates_configured,token_match_high,0.71,Jaccard=0.71
k8s_federation_apiserver_insecure_allow_any_token_disabled,k8s.federation.server.insecure_allow_any_token_disabled,token_match_high,0.78,Jaccard=0.78
k8s_federation_apiserver_insecure_bind_address_check,k8s.federation.server.insecure_bind_address_check,token_match_high,0.71,Jaccard=0.71
k8s_federation_apiserver_profiling_disabled,k8s.federation.server.profiling_disabled,token_match_high,0.67,Jaccard=0.67
k8s_gatekeeper_net_raw_capability_restricted,k8s.policy.net.raw_capability_restricted,token_match_high,0.71,Jaccard=0.71
k8s_kube_apiserver_audit_log_maxage_check,k8s.apiserver.server.audit_log_maxage_compliance_check,token_match_high,0.62,Jaccard=0.62
k8s_kube_apiserver_service_account_key_file_set,k8s.apiserver.server.service_account_key_file_check,token_match_high,0.67,Jaccard=0.67
k8s_kube_controller_manager_args_profiling_disabled,k8s.controlplane.controller.manager_args_profiling_disabled,token_match_high,0.75,Jaccard=0.75
k8s_kube_controller_manager_bind_address_localhost_check,k8s.controlplane.controller.manager_bind_address_localhost_check,token_match_high,0.75,Jaccard=0.75
k8s_kube_controller_manager_root_ca_file_verification,k8s.controlplane.controller.manager_root_ca_file_verification,token_match_high,0.78,Jaccard=0.78
k8s_kube_controller_manager_rotate_kubelet_server_certificate_enabled,k8s.controlplane.controller.manager_rotate_kubelet_server_certificate_enabled,token_match_high,0.78,Jaccard=0.78
k8s_kube_controller_manager_service_account_private_key_file_check,k8s.controlplane.controller.manager_service_account_private_key_file_check,token_match_high,0.80,Jaccard=0.80
k8s_kube_controller_manager_terminated_pod_gc_threshold_check,k8s.controlplane.controller.manager_terminated_pod_gc_threshold_check,token_match_high,0.78,Jaccard=0.78
k8s_kube_controller_manager_use_service_account_credentials_enabled,k8s.controlplane.controller.manager_service_account_private_key_file_check,ai_verified,high,"This rule specifically targets the kube-controller-manager's service account credential configuration, matching both the service component and security check objective."
k8s_kube_proxy_metrics_bind_address_localhost,k8s.controlplane.proxy.metrics_bind_address_localhost,token_match_high,0.75,Jaccard=0.75
k8s_kube_scheduler_profiling_disabled,k8s.controlplane.scheduler.profiling_disabled,token_match_high,0.67,Jaccard=0.67
k8s_kubelet_anonymous_auth_disabled,k8s.kubelet.anonymous.auth_disabled,token_match_high,1.00,Jaccard=1.00
k8s_kubelet_authorization_mode_not_always_allow,k8s.kubelet.authorization.mode_not_always_allow,token_match_high,1.00,Jaccard=1.00
k8s_kubelet_config_file_permissions_check,k8s.kubelet.configmap.file_permissions_check,token_match_high,0.67,Jaccard=0.67
k8s_kubelet_read_only_port_disabled,k8s.kubelet.read.only_port_disabled,token_match_high,1.00,Jaccard=1.00
k8s_kubelet_seccomp_default_enabled,k8s.kubelet.seccomp.default_enabled,token_match_high,1.00,Jaccard=1.00
k8s_namespace_default_no_user_resources,k8s.namespace.default.no_user_resources,token_match_high,1.00,Jaccard=1.00
k8s_namespace_default_user_resources_check,k8s.namespace.default.no_user_resources,token_match_high,1.00,Jaccard=1.00
k8s_namespace_existence_and_management_check,k8s.namespace.existence.and_management_check,token_match_high,1.00,Jaccard=1.00
k8s_namespace_isolation_check,k8s.namespace.isolation.check,token_match_high,1.00,Jaccard=1.00
k8s_namespace_isolation_configured,k8s.namespace.isolation.check,token_match_high,1.00,Jaccard=1.00
k8s_network_policy_default_deny_ingress_check,k8s.network.policy.default_deny_ingress_check,token_match_high,1.00,Jaccard=1.00
k8s_network_policy_namespace_compliance_check,k8s.network.policy.namespace_compliance_check,token_match_high,1.00,Jaccard=1.00
k8s_pod_container_seccomp_profile_docker_default,k8s.pod.container.seccomp_profile_docker_default,token_match_high,1.00,Jaccard=1.00
k8s_pod_container_seccomp_profile_runtime_default,k8s.pod.seccomp.profile_runtime_default_check,token_match_high,0.86,Jaccard=0.86
k8s_pod_seccomp_profile_runtime_default_check,k8s.pod.seccomp.profile_runtime_default_check,token_match_high,1.00,Jaccard=1.00
k8s_pod_security_admission_hostpid_restrictions,k8s.pod.security.admission_hostpid_restrictions,token_match_high,1.00,Jaccard=1.00
k8s_pod_security_admission_hostport_restrictions,k8s.pod.security.admission_hostpid_restrictions,token_match_high,0.71,Jaccard=0.71
k8s_pod_security_allow_privilege_escalation_restricted,k8s.pod.security.allow_privilege_escalation_restricted,token_match_high,1.00,Jaccard=1.00
k8s_pod_security_capabilities_enforcement,k8s.pod.security.capabilities_enforcement,token_match_high,1.00,Jaccard=1.00
k8s_pod_security_context_verification,k8s.pod.security.security_context_verification,token_match_high,1.00,Jaccard=1.00
k8s_pod_security_host_network_policy_check,k8s.pod.security.host_network_policy_check,token_match_high,1.00,Jaccard=1.00
k8s_pod_security_policy_configuration_check,k8s.pod.security.policy_configuration_check,token_match_high,1.00,Jaccard=1.00
k8s_pod_security_privileged_containers_check,k8s.pod.security.privileged_containers_check,token_match_high,1.00,Jaccard=1.00
k8s_pod_security_security_context_verification,k8s.pod.security.security_context_verification,token_match_high,1.00,Jaccard=1.00
k8s_pod_service_account_automount_check,k8s.pod.service.account_automount_configured,token_match_high,1.00,Jaccard=1.00
k8s_policy_capabilities_restriction_check,k8s.policy.capabilities.restriction_check,token_match_high,1.00,Jaccard=1.00
k8s_policy_control_mechanisms_check,k8s.policy.control.mechanisms_check,token_match_high,1.00,Jaccard=1.00
k8s_psa_root_containers_restricted,k8s.pod_security.root.containers_restricted,ai_verified,high,"The rule ID directly matches the check name in service (k8s/pod_security), action (root containers restricted), and target resource alignment."
k8s_rbac_cluster_admin_role_access_review,k8s.rbac.cluster.admin_role_access_review,token_match_high,1.00,Jaccard=1.00
k8s_rbac_cluster_admin_role_usage_check,k8s.rbac.cluster.admin_role_usage_check,token_match_high,1.00,Jaccard=1.00
k8s_rbac_csr_approval_access_control_check,k8s.rbac.csr.approval_access_control_check,token_match_high,1.00,Jaccard=1.00
k8s_rbac_default_service_account_audit,k8s.rbac.default.service_account_audit,token_match_high,1.00,Jaccard=1.00
k8s_rbac_impersonate_bind_escalate_permissions_check,k8s.rbac.impersonate.bind_escalate_permissions_check,token_match_high,1.00,Jaccard=1.00
k8s_rbac_nodes_proxy_access_check,k8s.rbac.nodes.proxy_access_check,token_match_high,1.00,Jaccard=1.00
k8s_rbac_persistent_volume_creation_access_check,k8s.rbac.persistentvolume.creation_access_check,ai_verified,high,"The rule ID exactly matches the check name in service (k8s/rbac), action (creation_access_check), and target resource (persistentvolume)."
k8s_rbac_pod_creation_access_check,k8s.rbac.pod.creation_access_check,token_match_high,1.00,Jaccard=1.00
k8s_rbac_roles_no_wildcard_in_rules,k8s.rbac.roles.no_wildcard_in_rules,token_match_high,1.00,Jaccard=1.00
k8s_rbac_secrets_access_review,k8s.rbac.secrets.access_review,token_match_high,1.00,Jaccard=1.00
k8s_rbac_service_account_token_creation_access_check,k8s.rbac.serviceaccount.token_creation_access_check,token_match_high,0.62,Jaccard=0.62
k8s_rbac_system_masters_group_usage_check,k8s.rbac.system.masters_group_usage_check,token_match_high,1.00,Jaccard=1.00
k8s_rbac_webhook_configuration_access_review,k8s.rbac.webhook.configuration_access_review,token_match_high,1.00,Jaccard=1.00
k8s_scheduler_bind_address_check,k8s.scheduler.bind.address_check,token_match_high,1.00,Jaccard=1.00
k8s_scheduler_conf_file_permissions_check,k8s.scheduler.conf.file_permissions_check,token_match_high,1.00,Jaccard=1.00
