id,title,description,rationale,audit,remediation,profile_applicability,impact,references,source_file,original_filename
1.1.11,Ensure that the etcd data directory permissions are set to 700 or more restrictive,Automated,Ensure that the etcd data directory has permissions of 700 or more restrictive.,etcd is a highly-available key-value store used by Kubernetes deployments for persistent storage of all of its REST API objects. This data directory should be protected from any unauthorized reads or writes. It should not be readable or writable by any group members or the world. Impact: None,"On the etcd server node, get the etcd data directory, passed as an argument --data- dir, from the below command: ps -ef | grep etcd Run the below command (based on the etcd data directory found above). For example, stat -c %a /var/lib/etcd Verify that the permissions are 700 or more restrictive.","On the etcd server node, get the etcd data directory, passed as an argument --data- dir, from the below command: ps -ef | grep etcd Run the below command (based on the etcd data directory found above). For example, chmod 700 /var/lib/etcd Default Value: By default, etcd data directory has permissions of 755. References: 1. https://coreos.com/etcd/docs/latest/op-guide/configuration.html#data-dir 2. https://kubernetes.io/docs/admin/etcd/",etcd_data_directory_permissions_700_or_more_restrictive; etcd_data_directory_permissions_restrictive; etcd_directory_permissions_secure; etcd_data_directory_permissions_compliant; etcd_directory_permissions_700_or_stricter,• Level 1 - Master Node,None,1. https://coreos.com/etcd/docs/latest/op-guide/configuration.html#data-dir 2. https://kubernetes.io/docs/admin/etcd/
1.1.12,Ensure that the etcd data directory ownership is set to etcd:etcd,Automated,Ensure that the etcd data directory ownership is set to etcd:etcd.,etcd is a highly-available key-value store used by Kubernetes deployments for persistent storage of all of its REST API objects. This data directory should be protected from any unauthorized reads or writes. It should be owned by etcd:etcd. Impact: None,"On the etcd server node, get the etcd data directory, passed as an argument --data- dir, from the below command: ps -ef | grep etcd Run the below command (based on the etcd data directory found above). For example, stat -c %U:%G /var/lib/etcd Verify that the ownership is set to etcd:etcd.","On the etcd server node, get the etcd data directory, passed as an argument --data- dir, from the below command: ps -ef | grep etcd Run the below command (based on the etcd data directory found above). For example, chown etcd:etcd /var/lib/etcd Default Value: By default, etcd data directory ownership is set to etcd:etcd. References: 1. https://coreos.com/etcd/docs/latest/op-guide/configuration.html#data-dir 2. https://kubernetes.io/docs/admin/etcd/",etcd_data_directory_ownership_etcd_etcd; etcd_directory_permissions_etcd_etcd; etcd_data_directory_secure_ownership; etcd_data_directory_correct_ownership; etcd_directory_ownership_valid,• Level 1 - Master Node,None,1. https://coreos.com/etcd/docs/latest/op-guide/configuration.html#data-dir 2. https://kubernetes.io/docs/admin/etcd/
1.1.13,Ensure that the default administrative credential file permissions are set to 600,Automated,"Ensure that the admin.conf file (and super-admin.conf file, where it exists) have permissions of 600.","As part of initial cluster setup, default kubeconfig files are created to be used by the administrator of the cluster. These files contain private keys and certificates which allow for privileged access to the cluster. You should restrict their file permissions to maintain the integrity and confidentiality of the file(s). The file(s) should be readable and writable by only the administrators on the system. Impact: None.","Run the following command (based on the file location on your system) on the Control Plane node. For example, stat -c %a /etc/kubernetes/admin.conf On Kubernetes version 1.29 and higher run the following command as well :- stat -c %a /etc/kubernetes/super-admin.conf Verify that the permissions are 600 or more restrictive.","Run the below command (based on the file location on your system) on the Control Plane node. For example, chmod 600 /etc/kubernetes/admin.conf On Kubernetes 1.29+ the super-admin.conf file should also be modified, if present. For example, chmod 600 /etc/kubernetes/super-admin.conf Default Value: By default, admin.conf and super-admin.conf have permissions of 600. References: 1. https://kubernetes.io/docs/setup/independent/create-cluster-kubeadm/ 2. https://raesene.github.io/blog/2024/01/06/when-is-admin-not-admin/",kubernetes_admin_credential_file_permissions_600; kubernetes_admin_conf_file_permissions_600; kubernetes_super_admin_conf_file_permissions_600; kubernetes_credential_file_permissions_restricted; kubernetes_admin_file_permissions_secure,• Level 1 - Master Node,None.,1. https://kubernetes.io/docs/setup/independent/create-cluster-kubeadm/ 2. https://raesene.github.io/blog/2024/01/06/when-is-admin-not-admin/
1.1.14,Ensure that the default administrative credential file ownership is set to root:root,Automated,"Ensure that the admin.conf (and super-admin.conf file, where it exists) file ownership is set to root:root.","As part of initial cluster setup, default kubeconfig files are created to be used by the administrator of the cluster. These files contain private keys and certificates which allow for privileged access to the cluster. You should set their file ownership to maintain the integrity and confidentiality of the file. The file(s) should be owned by root:root. Impact: None.","Run the below command (based on the file location on your system) on the Control Plane node. For example, stat -c %U:%G /etc/kubernetes/admin.conf On Kubernetes version 1.29 and higher run the following command as well :- stat -c %a /etc/kubernetes/super-admin.conf Verify that the ownership is set to root:root.","Run the below command (based on the file location on your system) on the Control Plane node. For example, chown root:root /etc/kubernetes/admin.conf On Kubernetes 1.29+ the super-admin.conf file should also be modified, if present. For example, chown root:root /etc/kubernetes/super-admin.conf Default Value: By default, admin.conf and super-admin.conf file ownership is set to root:root. References: 1. https://kubernetes.io/docs/admin/kubeadm/ 2. https://raesene.github.io/blog/2024/01/06/when-is-admin-not-admin/",compute_admin_credential_file_owner_root; compute_admin_credential_file_group_root; compute_super_admin_credential_file_owner_root; compute_super_admin_credential_file_group_root,• Level 1 - Master Node,None.,1. https://kubernetes.io/docs/admin/kubeadm/ 2. https://raesene.github.io/blog/2024/01/06/when-is-admin-not-admin/
1.1.15,Ensure that the scheduler.conf file permissions are set to 600 or more restrictive,Automated,Ensure that the scheduler.conf file has permissions of 600 or more restrictive.,The scheduler.conf file is the kubeconfig file for the Scheduler. You should restrict its file permissions to maintain the integrity of the file. The file should be writable by only the administrators on the system. Impact: None,"Run the following command (based on the file location on your system) on the Control Plane node. For example, stat -c %a /etc/kubernetes/scheduler.conf Verify that the permissions are 600 or more restrictive.","Run the below command (based on the file location on your system) on the Control Plane node. For example, chmod 600 /etc/kubernetes/scheduler.conf Default Value: By default, scheduler.conf has permissions of 640. References: 1. https://kubernetes.io/docs/setup/independent/create-cluster-kubeadm/",scheduler_file_permissions_restrictive; scheduler_conf_file_permissions_600; scheduler_conf_file_permissions_restricted; scheduler_file_permissions_secure; scheduler_conf_file_permissions_secure,• Level 1 - Master Node,None,1. https://kubernetes.io/docs/setup/independent/create-cluster-kubeadm/
1.1.16,Ensure that the scheduler.conf file ownership is set to root:root,Automated,Ensure that the scheduler.conf file ownership is set to root:root.,The scheduler.conf file is the kubeconfig file for the Scheduler. You should set its file ownership to maintain the integrity of the file. The file should be owned by root:root. Impact: None,"Run the below command (based on the file location on your system) on the Control Plane node. For example, stat -c %U:%G /etc/kubernetes/scheduler.conf Verify that the ownership is set to root:root.","Run the below command (based on the file location on your system) on the Control Plane node. For example, chown root:root /etc/kubernetes/scheduler.conf Default Value: By default, scheduler.conf file ownership is set to root:root. References: 1. https://kubernetes.io/docs/admin/kubeadm/",scheduler_file_root_ownership; scheduler_conf_root_ownership; scheduler_config_root_ownership; scheduler_file_ownership_root; scheduler_conf_ownership_root; scheduler_config_ownership_root,• Level 1 - Master Node,None,1. https://kubernetes.io/docs/admin/kubeadm/
1.1.17,Ensure that the controller-manager.conf file permissions are set to 600 or more restrictive,Automated,Ensure that the controller-manager.conf file has permissions of 600 or more restrictive.,The controller-manager.conf file is the kubeconfig file for the Controller Manager. You should restrict its file permissions to maintain the integrity of the file. The file should be writable by only the administrators on the system. Impact: None,"Run the following command (based on the file location on your system) on the Control Plane node. For example, stat -c %a /etc/kubernetes/controller-manager.conf Verify that the permissions are 600 or more restrictive.","Run the below command (based on the file location on your system) on the Control Plane node. For example, chmod 600 /etc/kubernetes/controller-manager.conf Default Value: By default, controller-manager.conf has permissions of 640. References: 1. https://kubernetes.io/docs/admin/kube-controller-manager/",kubernetes_controller_manager_conf_file_permissions_600_or_stricter; kubernetes_controller_manager_conf_file_permissions_restrictive; kubernetes_controller_manager_conf_file_permissions_secure; kubernetes_controller_manager_conf_file_permissions_compliant; kubernetes_controller_manager_conf_file_permissions_cis_benchmark,• Level 1 - Master Node,None,1. https://kubernetes.io/docs/admin/kube-controller-manager/
1.1.18,Ensure that the controller-manager.conf file ownership is set to root:root,Automated,Ensure that the controller-manager.conf file ownership is set to root:root.,The controller-manager.conf file is the kubeconfig file for the Controller Manager. You should set its file ownership to maintain the integrity of the file. The file should be owned by root:root. Impact: None,"Run the below command (based on the file location on your system) on the Control Plane node. For example, stat -c %U:%G /etc/kubernetes/controller-manager.conf Verify that the ownership is set to root:root.","Run the below command (based on the file location on your system) on the Control Plane node. For example, chown root:root /etc/kubernetes/controller-manager.conf Default Value: By default, controller-manager.conf file ownership is set to root:root. References: 1. https://kubernetes.io/docs/admin/kube-controller-manager/",kubernetes_controller_manager_conf_file_ownership_root; kubernetes_controller_manager_conf_file_group_ownership_root; kubernetes_controller_manager_conf_file_permissions_secure; kubernetes_controller_manager_conf_file_ownership_root_root; kubernetes_controller_manager_conf_file_ownership_correct,• Level 1 - Master Node,None,1. https://kubernetes.io/docs/admin/kube-controller-manager/
1.1.19,Ensure that the Kubernetes PKI directory and file ownership is set to root:root,Automated,Ensure that the Kubernetes PKI directory and file ownership is set to root:root.,Kubernetes makes use of a number of certificates as part of its operation. You should set the ownership of the directory containing the PKI information and all files in that directory to maintain their integrity. The directory and files should be owned by root:root. Impact: None,"Run the below command (based on the file location on your system) on the Control Plane node. For example, ls -laR /etc/kubernetes/pki/ Verify that the ownership of all files and directories in this hierarchy is set to root:root.","Run the below command (based on the file location on your system) on the Control Plane node. For example, chown -R root:root /etc/kubernetes/pki/ Default Value: By default, the /etc/kubernetes/pki/ directory and all of the files and directories contained within it, are set to be owned by the root user. References: 1. https://kubernetes.io/docs/admin/kube-apiserver/",kubernetes_pki_directory_ownership_root; kubernetes_pki_file_ownership_root; kubernetes_pki_directory_permissions_root; kubernetes_pki_file_permissions_root; kubernetes_pki_directory_and_file_ownership_root,• Level 1 - Master Node,None,1. https://kubernetes.io/docs/admin/kube-apiserver/
1.1.20,Ensure that the Kubernetes PKI certificate file permissions are set to 600 or more restrictive,Manual,Ensure that Kubernetes PKI certificate files have permissions of 600 or more restrictive.,Kubernetes makes use of a number of certificate files as part of the operation of its components. The permissions on these files should be set to 600 or more restrictive to protect their integrity. Impact: None,"Run the below command (based on the file location on your system) on the Control Plane node. For example, stat -c '%a' /etc/kubernetes/pki/*.crt Verify that the permissions are 600 or more restrictive. or ls -l /etc/kubernetes/pki/*.crt Verify -rw------","Run the below command (based on the file location on your system) on the Control Plane node. For example, chmod -R 600 /etc/kubernetes/pki/*.crt Default Value: By default, the certificates used by Kubernetes are set to have permissions of 644 References: 1. https://kubernetes.io/docs/admin/kube-apiserver/",kubernetes_pki_certificate_file_permissions_restrictive; kubernetes_pki_certificate_file_permissions_600_or_stricter; kubernetes_certificate_file_permissions_restrictive; kubernetes_certificate_file_permissions_600_or_stricter; kubernetes_pki_certificate_file_permissions_secure,• Level 1 - Master Node,None,1. https://kubernetes.io/docs/admin/kube-apiserver/
1.1.21,Ensure that the Kubernetes PKI key file permissions are set to 600,Manual,Ensure that Kubernetes PKI key files have permissions of 600.,Kubernetes makes use of a number of key files as part of the operation of its components. The permissions on these files should be set to 600 to protect their integrity and confidentiality. Impact: None,"Run the below command (based on the file location on your system) on the Control Plane node. For example, stat -c '%a' /etc/kubernetes/pki/*.key Verify that the permissions are 600 or more restrictive. or ls -l /etc/kubernetes/pki/*.key Verify -rw------","Run the below command (based on the file location on your system) on the Control Plane node. For example, chmod -R 600 /etc/kubernetes/pki/*.key Default Value: By default, the keys used by Kubernetes are set to have permissions of 600 References: 1. https://kubernetes.io/docs/admin/kube-apiserver/",kubernetes_pki_key_file_permissions_600; kubernetes_pki_key_file_permissions_restricted; kubernetes_pki_key_file_permissions_secure; kubernetes_pki_key_file_permissions_strict; kubernetes_pki_key_file_permissions_protected,• Level 1 - Master Node,None,1. https://kubernetes.io/docs/admin/kube-apiserver/
1.2.1,Ensure that the --anonymous-auth argument is set to false,Manual,Disable anonymous requests to the API server.,"When enabled, requests that are not rejected by other configured authentication methods are treated as anonymous requests. These requests are then served by the API server. You should rely on authentication to authorize access and disallow anonymous requests. If you are using RBAC authorization, it is generally considered reasonable to allow anonymous access to the API Server for health checks and discovery purposes, and hence this recommendation is not scored. However, you should consider whether anonymous discovery is an acceptable risk for your purposes. Impact: Anonymous requests will be rejected.","Run the following command on the Control Plane node: ps -ef | grep kube-apiserver Verify that the --anonymous-auth argument is set to false. Alternative Audit kubectl get pod -nkube-system -lcomponent=kube-apiserver -o=jsonpath='{range .items[ ]}{.spec.containers[ ].command} {'\n'}{end}' | grep '--anonymous-auth' | grep -i false If the exit code is '1', then the control isn't present / failed","Edit the API server pod specification file /etc/kubernetes/manifests/kube- apiserver.yaml on the Control Plane node and set the below parameter. --anonymous-auth=false Default Value: By default, anonymous access is enabled. References: 1. https://kubernetes.io/docs/admin/kube-apiserver/ 2. https://kubernetes.io/docs/admin/authentication/#anonymous-requests",kubernetes_api_server_anonymous_auth_disabled; kubernetes_api_server_no_anonymous_auth; kubernetes_api_server_auth_enabled; kubernetes_api_server_secure_auth; kubernetes_api_server_anonymous_access_disabled,• Level 1 - Master Node,Anonymous requests will be rejected.,1. https://kubernetes.io/docs/admin/kube-apiserver/ 2. https://kubernetes.io/docs/admin/authentication/#anonymous-requests
1.2.2,Ensure that the --token-auth-file parameter is not set,Automated,Do not use token based authentication.,"The token-based authentication utilizes static tokens to authenticate requests to the apiserver. The tokens are stored in clear-text in a file on the apiserver, and cannot be revoked or rotated without restarting the apiserver. Hence, do not use static token- based authentication. Impact: You will have to configure and use alternate authentication mechanisms such as certificates. Static token based authentication could not be used.","Run the following command on the Control Plane node: ps -ef | grep kube-apiserver Verify that the --token-auth-file argument does not exist. Alternative Audit Method kubectl get pod -nkube-system -lcomponent=kube-apiserver -o=jsonpath='{range .items[ ]}{.spec.containers[ ].command} {'\n'}{end}' | grep '--token-auth-file' | grep -i false If the exit code is '1', then the control isn't present / failed","Follow the documentation and configure alternate mechanisms for authentication. Then, edit the API server pod specification file /etc/kubernetes/manifests/kube- apiserver.yaml on the master node and remove the --token-auth-file=<filename> parameter. Default Value: By default, --token-auth-file argument is not set. References: 1. https://kubernetes.io/docs/admin/authentication/#static-token-file 2. https://kubernetes.io/docs/admin/kube-apiserver/",kubernetes_api_server_token_auth_disabled; kubernetes_api_server_no_token_auth_file; kubernetes_auth_token_file_unset; kubernetes_api_server_token_auth_removed; kubernetes_auth_token_file_disabled,• Level 1 - Master Node,You will have to configure and use alternate authentication mechanisms such as certificates. Static token based authentication could not be used.,1. https://kubernetes.io/docs/admin/authentication/#static-token-file 2. https://kubernetes.io/docs/admin/kube-apiserver/
1.2.3,Ensure that the DenyServiceExternalIPs is set,Manual,This admission controller rejects all net-new usage of the Service field externalIPs.,"Most users do not need the ability to set the externalIPs field for a Service at all, and cluster admins should consider disabling this functionality by enabling the DenyServiceExternalIPs admission controller. Clusters that do need to allow this functionality should consider using some custom policy to manage its usage. Impact: When enabled, users of the cluster may not create new Services which use externalIPs and may not add new values to externalIPs on existing Service objects.",Run the following command on the Control Plane node: ps -ef | grep kube-apiserver Verify that the `DenyServiceExternalIPs' argument exist as a string value in --disable- admission-plugins.,"Edit the API server pod specification file /etc/kubernetes/manifests/kube- apiserver.yaml on the master node and remove the `-- DenyServiceExternalIPs'parameter or The Kubernetes API server flag disable-admission-plugins takes a comma-delimited list of admission control plugins to be disabled, even if they are in the list of plugins enabled by default. kube-apiserver --disable-admission-plugins=DenyServiceExternalIPs,AlwaysDeny ... Default Value: By default, --disable-admission-plugins=DenyServiceExternalIP argument is not set. References: 1. https://kubernetes.io/docs/reference/access-authn-authz/admission-controllers/ 2. https://kubernetes.io/docs/admin/kube-apiserver/",kubernetes_service_external_ips_denied; kubernetes_service_external_ips_restricted; admission_controller_external_ips_denied; admission_controller_service_external_ips_blocked; kubernetes_admission_external_ips_disabled,• Level 1 - Master Node,"When enabled, users of the cluster may not create new Services which use externalIPs and may not add new values to externalIPs on existing Service objects.",1. https://kubernetes.io/docs/reference/access-authn-authz/admission-controllers/ 2. https://kubernetes.io/docs/admin/kube-apiserver/
1.2.4,Ensure that the --kubelet-client-certificate and --kubelet- client-key arguments are set as appropriate,Automated,Enable certificate based kubelet authentication.,"The apiserver, by default, does not authenticate itself to the kubelet's HTTPS endpoints. The requests from the apiserver are treated anonymously. You should set up certificate- based kubelet authentication to ensure that the apiserver authenticates itself to kubelets when submitting requests. Impact: You require TLS to be configured on apiserver as well as kubelets.","Run the following command on the Control Plane node: ps -ef | grep kube-apiserver Verify that the --kubelet-client-certificate and --kubelet-client-key arguments exist and they are set as appropriate. Alternative Audit kubectl get pod -nkube-system -lcomponent=kube-apiserver -o=jsonpath='{range .items[]}{.spec.containers[].command} {'\n'}{end}' | grep '--kubelet-client-certificate' | grep -i false If the exit code is '1', then the control isn't present / failed","Follow the Kubernetes documentation and set up the TLS connection between the apiserver and kubelets. Then, edit API server pod specification file /etc/kubernetes/manifests/kube-apiserver.yaml on the Control Plane node and set the kubelet client certificate and key parameters as below. --kubelet-client-certificate=<path/to/client-certificate-file> --kubelet-client-key=<path/to/client-key-file> Default Value: By default, certificate-based kubelet authentication is not set. References: 1. https://kubernetes.io/docs/admin/kube-apiserver/ 2. https://kubernetes.io/docs/admin/kubelet-authentication-authorization/ 3. https://kubernetes.io/docs/concepts/cluster-administration/master-node- communication/#apiserver---kubelet",kubernetes_kubelet_certificate_authentication_enabled; kubernetes_kubelet_client_certificate_configured; kubernetes_kubelet_client_key_configured; kubernetes_kubelet_authentication_certificates_valid; kubernetes_kubelet_tls_authentication_required,• Level 1 - Master Node,You require TLS to be configured on apiserver as well as kubelets.,1. https://kubernetes.io/docs/admin/kube-apiserver/ 2. https://kubernetes.io/docs/admin/kubelet-authentication-authorization/ 3. https://kubernetes.io/docs/concepts/cluster-administration/master-node- communication/#apiserver---kubelet
