Requirement_ID,Family_Code,Family_Name,Requirement_Title,Status,NIST_800-53_Mapping,Description
03.07.06,MA,Maintenance,Maintenance Personnel,active,MA-5,Supervise maintenance personnel without required access authorization
03.08.01,MP,Media Protection,Media Storage,active,MP-4,Physically control and securely store system media
03.08.02,MP,Media Protection,Media Access,active,MP-2,Restrict access to CUI on system media to authorized users
03.08.03,MP,Media Protection,Media Sanitization,active,MP-6,Sanitize or destroy system media before disposal or reuse
03.08.04,MP,Media Protection,Media Marking,active,MP-3,Mark system media indicating distribution limitations
03.08.05,MP,Media Protection,Media Transport,active,MP-5,Protect and control system media during transport outside controlled areas
03.08.06,MP,Media Protection,Withdrawn,withdrawn,-,Control withdrawn in Rev 3
03.08.07,MP,Media Protection,Media Use,active,MP-7,Prohibit use of portable storage devices when such devices cannot be identified
03.08.08,MP,Media Protection,Withdrawn,withdrawn,-,Control withdrawn in Rev 3
03.08.09,MP,Media Protection,System Backup – Cryptographic Protection,active,CP-9(8),Protect confidentiality of system backup information using cryptographic mechanisms
03.09.01,PS,Personnel Security,Personnel Screening,active,PS-3,Screen individuals prior to authorizing access
03.09.02,PS,Personnel Security,Personnel Termination and Transfer,active,PS-4 PS-5,Terminate or transfer information system access upon personnel termination or transfer
03.10.01,PE,Physical Protection,Physical Access Authorizations,active,PE-2,Authorize and manage physical access to facilities
03.10.02,PE,Physical Protection,Monitoring Physical Access,active,PE-6,Monitor physical access to detect and respond to incidents
03.10.03,PE,Physical Protection,Withdrawn,withdrawn,-,Control withdrawn in Rev 3
03.10.04,PE,Physical Protection,Withdrawn,withdrawn,-,Control withdrawn in Rev 3
03.10.05,PE,Physical Protection,Withdrawn,withdrawn,-,Control withdrawn in Rev 3
03.10.06,PE,Physical Protection,Alternate Work Site,active,PE-17,Employ controls at alternate work sites
03.10.07,PE,Physical Protection,Physical Access Control,active,PE-3,Enforce physical access authorizations at entry and exit points
03.10.08,PE,Physical Protection,Access Control for Transmission,active,PE-4,Control physical access to information system transmission lines
03.11.01,RA,Risk Assessment,Risk Assessment,active,RA-3,Conduct risk assessments of operational risk arising from adversarial threat
03.11.02,RA,Risk Assessment,Vulnerability Monitoring and Scanning,active,RA-5,Monitor and scan for vulnerabilities and remediate within defined timeframes
03.11.03,RA,Risk Assessment,Withdrawn,withdrawn,-,Control withdrawn in Rev 3
03.11.04,RA,Risk Assessment,Risk Response,active,PM-9,Respond to findings from security assessments and monitoring activities
03.12.01,CA,Security Assessment and Monitoring,Security Assessment,active,CA-2,Assess security controls to determine extent to which controls are implemented correctly
03.12.02,CA,Security Assessment and Monitoring,Plan of Action and Milestones,active,CA-5,Develop and maintain plan of action and milestones for organization to document planned actions
03.12.03,CA,Security Assessment and Monitoring,Continuous Monitoring,active,CA-7,Develop and implement strategy for continuous monitoring of security controls
03.12.04,CA,Security Assessment and Monitoring,Withdrawn,withdrawn,-,Control withdrawn in Rev 3
03.12.05,CA,Security Assessment and Monitoring,Information Exchange,active,CA-3,Approve and monitor security agreements with external parties
03.13.01,SC,System and Communications Protection,Boundary Protection,active,SC-7,Monitor and control communications at external boundary and key internal boundaries
03.13.02,SC,System and Communications Protection,Withdrawn,withdrawn,-,Control withdrawn in Rev 3
03.13.03,SC,System and Communications Protection,Withdrawn,withdrawn,-,Control withdrawn in Rev 3
03.13.04,SC,System and Communications Protection,Information in Shared System Resources,active,SC-4,Prevent unauthorized information transfer via shared system resources
03.13.05,SC,System and Communications Protection,Withdrawn,withdrawn,-,Control withdrawn in Rev 3
03.13.06,SC,System and Communications Protection,Network Communications – Deny by Default – Allow by Exception,active,SC-7(5),Deny network communications by default and allow by exception
03.13.07,SC,System and Communications Protection,Withdrawn,withdrawn,-,Control withdrawn in Rev 3
03.13.08,SC,System and Communications Protection,Transmission and Storage Confidentiality,active,SC-8 SC-28,Protect confidentiality of CUI during transmission and while at rest
03.13.09,SC,System and Communications Protection,Network Disconnect,active,SC-10,Terminate network connection at end of session or after defined period
03.13.10,SC,System and Communications Protection,Cryptographic Key Establishment and Management,active,SC-12,Establish and manage cryptographic keys when cryptography is employed
03.13.11,SC,System and Communications Protection,Cryptographic Protection,active,SC-13,Employ FIPS-validated cryptography when used to protect confidentiality of CUI
03.13.12,SC,System and Communications Protection,Collaborative Computing Devices and Applications,active,SC-15,Prohibit remote activation of collaborative computing devices
03.13.13,SC,System and Communications Protection,Mobile Code,active,SC-18,Control and monitor use of mobile code
03.13.14,SC,System and Communications Protection,Withdrawn,withdrawn,-,Control withdrawn in Rev 3
03.13.15,SC,System and Communications Protection,Session Authenticity,active,SC-23,Protect authenticity of communications sessions
03.13.16,SC,System and Communications Protection,Withdrawn,withdrawn,-,Control withdrawn in Rev 3
03.14.01,SI,System and Information Integrity,Flaw Remediation,active,SI-2,Identify report and correct system flaws
03.14.02,SI,System and Information Integrity,Malicious Code Protection,active,SI-3,Implement malicious code protection mechanisms
03.14.03,SI,System and Information Integrity,Security Alerts Advisories and Directives,active,SI-5,Receive security alerts advisories and directives and take action
03.14.04,SI,System and Information Integrity,Withdrawn,withdrawn,-,Control withdrawn in Rev 3
03.14.05,SI,System and Information Integrity,Withdrawn,withdrawn,-,Control withdrawn in Rev 3
03.14.06,SI,System and Information Integrity,System Monitoring,active,SI-4,Monitor system to detect attacks and indicators of potential attacks
03.14.07,SI,System and Information Integrity,Withdrawn,withdrawn,-,Control withdrawn in Rev 3
03.14.08,SI,System and Information Integrity,Information Management and Retention,active,SI-12,Manage and retain information within system in accordance with laws and policies
03.15.01,PL,Planning,Policy and Procedures,active,PL-1,-1,Develop disseminate and review/update security policies and procedures
03.15.02,PL,Planning,System Security Plan,active,PL-2,Develop and maintain security plan that describes security controls
03.15.03,PL,Planning,Rules of Behavior,active,PL-4,Establish and make available rules describing responsibilities and expected behavior
03.16.01,SA,System and Services Acquisition,Security Engineering Principles,active,SA-8,Apply security engineering principles in specification design and implementation
03.16.02,SA,System and Services Acquisition,Unsupported System Components,active,SA-22,Replace system components when support is no longer available
03.16.03,SA,System and Services Acquisition,External System Services,active,SA-9,Require external service providers to comply with security requirements
03.17.01,SR,Supply Chain Risk Management,Supply Chain Risk Management Plan,active,SR-2,Develop and implement supply chain risk management plan
03.17.02,SR,Supply Chain Risk Management,Acquisition Strategies Tools and Methods,active,SR-3,Employ acquisition strategies tools and methods to protect against counterfeit components
03.17.03,SR,Supply Chain Risk Management,Supply Chain Requirements and Processes,active,SR-5,Define and document supply chain requirements and processes


