Control_ID,Title,Automation_Type,AWS_Checks,Azure_Checks,GCP_Checks,Oracle_Checks,IBM_Checks,Alicloud_Checks,Total_Checks
A.7.5,Protecting Against Physical and Environmental Threats,manual,,,,,,,0
A.7.6,Working In Secure Areas,manual,,,,,,,0
A.7.7,Clear Desk And Clear Screen,manual,,,,,,,0
A.7.8,Equipment Siting And Protection,manual,,,,,,,0
A.7.9,Security Of Assets Off-Premises,manual,,,,,,,0
A.8.1,User Endpoint Devices,automated,aws_opensearch_service_domains_not_publicly_accessible; aws_ecr_repositories_not_publicly_accessible; aws_rds_instance_no_public_access; aws_rds_snapshots_public_access; aws_emr_cluster_master_nodes_no_public_ip; aws_sqs_queues_not_publicly_accessible; aws_ec2_ami_public; aws_glacier_vaults_policy_public_access; aws_eks_cluster_not_publicly_accessible; aws_ec2_ebs_public_snapshot; aws_emr_cluster_account_public_block_enabled; aws_s3_bucket_public_access; aws_elbv2_internet_facing; aws_ec2_securitygroup_allow_wide_open_public_ipv4; aws_cloudtrail_logs_s3_bucket_is_not_publicly_accessible; aws_kms_key_not_publicly_accessible; aws_codeartifact_packages_external_public_publishing_disabled; aws_sns_topics_not_publicly_accessible; aws_awslambda_function_url_public; aws_elb_internet_facing; aws_apigateway_restapi_public; aws_s3_account_level_public_access_blocks; aws_awslambda_function_url_cors_policy; aws_redshift_cluster_public_access; aws_ec2_instance_public_ip; aws_appstream_fleet_default_internet_access_disabled; aws_efs_not_publicly_accessible; aws_ssm_documents_set_as_public; aws_sagemaker_notebook_instance_without_direct_internet_access_configured; aws_awslambda_function_not_publicly_accessible; aws_s3_bucket_policy_public_write_access; aws_emr_cluster_publicly_accesible,azure_aisearch_service_not_publicly_accessible; azure_aks_clusters_public_access_disabled; azure_containerregistry_not_publicly_accessible; azure_monitor_alert_create_update_public_ip_address_rule; azure_storage_blob_public_access_level_is_disabled; azure_app_function_not_publicly_accessible; azure_network_public_ip_shodan; azure_monitor_alert_delete_public_ip_address_rule,gcp_bigquery_dataset_public_access; gcp_cloudsql_instance_public_ip; gcp_cloudsql_instance_public_access; gcp_compute_instance_public_ip; gcp_cloudstorage_bucket_public_access; gcp_compute_public_address_shodan; gcp_kms_key_not_publicly_accessible,oracle_opensearch_service_domains_not_publicly_accessible; oracle_ecr_repositories_not_publicly_accessible; oracle_cloudsql_instance_public_access; oracle_compute_ami_public; oracle_bigquery_dataset_public_access; oracle_emr_cluster_master_nodes_no_public_ip; oracle_database_instance_no_public_access; oracle_app_function_not_publicly_accessible; oracle_sqs_queues_not_publicly_accessible; oracle_compute_securitygroup_allow_wide_open_public_ipv4; oracle_glacier_vaults_policy_public_access; oracle_object_storage_bucket_public_access; oracle_monitor_alert_delete_public_ip_address_rule; oracle_object_storage_bucket_policy_public_write_access; oracle_eks_cluster_not_publicly_accessible; oracle_emr_cluster_account_public_block_enabled; oracle_monitor_alert_create_update_public_ip_address_rule; oracle_object_storage_account_level_public_access_blocks; oracle_compute_ebs_public_snapshot; oracle_compute_instance_public_ip; oracle_elbv2_internet_facing; oracle_aks_clusters_public_access_disabled; oracle_containerregistry_not_publicly_accessible; oracle_codeartifact_packages_external_public_publishing_disabled; oracle_sns_topics_not_publicly_accessible; oracle_cloudsql_instance_public_ip; oracle_cloudstorage_bucket_public_access; oracle_aisearch_service_not_publicly_accessible; oracle_network_public_ip_shodan; oracle_awslambda_function_url_public; oracle_elb_internet_facing; oracle_storage_blob_public_access_level_is_disabled; oracle_apigateway_restapi_public; oracle_awslambda_function_url_cors_policy; oracle_cloudtrail_logs_object_storage_bucket_is_not_publicly_accessible; oracle_redshift_cluster_public_access; oracle_vault_key_not_publicly_accessible; oracle_compute_public_address_shodan; oracle_appstream_fleet_default_internet_access_disabled; oracle_database_snapshots_public_access; oracle_efs_not_publicly_accessible; oracle_ssm_documents_set_as_public; oracle_sagemaker_notebook_instance_without_direct_internet_access_configured; oracle_compute_instance_public_ip; oracle_awslambda_function_not_publicly_accessible; oracle_emr_cluster_publicly_accesible; oracle_kms_key_not_publicly_accessible,ibm_opensearch_service_domains_not_publicly_accessible; ibm_ecr_repositories_not_publicly_accessible; ibm_monitor_alert_create_update_public_ip_address_rule; ibm_cos_account_level_public_access_blocks; ibm_cos_bucket_public_access; ibm_emr_cluster_master_nodes_no_public_ip; ibm_database_instance_no_public_access; ibm_sqs_queues_not_publicly_accessible; ibm_vsi_ami_public; ibm_glacier_vaults_policy_public_access; ibm_monitor_alert_delete_public_ip_address_rule; ibm_eks_cluster_not_publicly_accessible; ibm_network_public_ip_shodan; ibm_emr_cluster_account_public_block_enabled; ibm_bigquery_dataset_public_access; ibm_vsi_ebs_public_snapshot; ibm_elbv2_internet_facing; ibm_containerregistry_not_publicly_accessible; ibm_vsi_securitygroup_allow_wide_open_public_ipv4; ibm_vsi_instance_public_ip; ibm_codeartifact_packages_external_public_publishing_disabled; ibm_sns_topics_not_publicly_accessible; ibm_cloudstorage_bucket_public_access; ibm_aisearch_service_not_publicly_accessible; ibm_compute_instance_public_ip; ibm_cloudtrail_logs_cos_bucket_is_not_publicly_accessible; ibm_cos_bucket_policy_public_write_access; ibm_kms_key_not_publicly_accessible; ibm_awslambda_function_url_public; ibm_elb_internet_facing; ibm_storage_blob_public_access_level_is_disabled; ibm_cloudsql_instance_public_access; ibm_apigateway_restapi_public; ibm_awslambda_function_url_cors_policy; ibm_redshift_cluster_public_access; ibm_aks_clusters_public_access_disabled; ibm_appstream_fleet_default_internet_access_disabled; ibm_cloudsql_instance_public_ip; ibm_database_snapshots_public_access; ibm_efs_not_publicly_accessible; ibm_ssm_documents_set_as_public; ibm_sagemaker_notebook_instance_without_direct_internet_access_configured; ibm_compute_public_address_shodan; ibm_awslambda_function_not_publicly_accessible; ibm_app_function_not_publicly_accessible; ibm_emr_cluster_publicly_accesible; ibm_key_protect_key_not_publicly_accessible,alicloud_opensearch_service_domains_not_publicly_accessible; alicloud_monitor_alert_create_update_public_ip_address_rule; alicloud_cloudsql_instance_public_ip; alicloud_ecr_repositories_not_publicly_accessible; alicloud_ecs_ebs_public_snapshot; alicloud_rds_instance_no_public_access; alicloud_ecs_securitygroup_allow_wide_open_public_ipv4; alicloud_rds_snapshots_public_access; alicloud_emr_cluster_master_nodes_no_public_ip; alicloud_network_public_ip_shodan; alicloud_sqs_queues_not_publicly_accessible; alicloud_containerregistry_not_publicly_accessible; alicloud_glacier_vaults_policy_public_access; alicloud_eks_cluster_not_publicly_accessible; alicloud_cloudtrail_logs_oss_bucket_is_not_publicly_accessible; alicloud_emr_cluster_account_public_block_enabled; alicloud_storage_blob_public_access_level_is_disabled; alicloud_cloudstorage_bucket_public_access; alicloud_aisearch_service_not_publicly_accessible; alicloud_aks_clusters_public_access_disabled; alicloud_elbv2_internet_facing; alicloud_ecs_ami_public; alicloud_kms_key_not_publicly_accessible; alicloud_codeartifact_packages_external_public_publishing_disabled; alicloud_sns_topics_not_publicly_accessible; alicloud_awslambda_function_url_public; alicloud_elb_internet_facing; alicloud_app_function_not_publicly_accessible; alicloud_compute_public_address_shodan; alicloud_apigateway_restapi_public; alicloud_bigquery_dataset_public_access; alicloud_cloudsql_instance_public_access; alicloud_awslambda_function_url_cors_policy; alicloud_oss_bucket_policy_public_write_access; alicloud_redshift_cluster_public_access; alicloud_monitor_alert_delete_public_ip_address_rule; alicloud_appstream_fleet_default_internet_access_disabled; alicloud_efs_not_publicly_accessible; alicloud_oss_bucket_public_access; alicloud_ssm_documents_set_as_public; alicloud_oss_account_level_public_access_blocks; alicloud_sagemaker_notebook_instance_without_direct_internet_access_configured; alicloud_compute_instance_public_ip; alicloud_kms_key_not_publicly_accessible; alicloud_awslambda_function_not_publicly_accessible; alicloud_emr_cluster_publicly_accesible; alicloud_ecs_instance_public_ip,188
A.8.10,Information Deletion,automated,aws_s3_bucket_object_versioning; aws_ec2_instance_older_than_specific_days; aws_s3_bucket_lifecycle_enabled,azure_storage_ensure_soft_delete_is_enabled,gcp_cloudstorage_bucket_log_retention_policy_lock,oracle_object_storage_bucket_lifecycle_enabled; oracle_storage_ensure_soft_delete_is_enabled; oracle_compute_instance_older_than_specific_days; oracle_object_storage_bucket_object_versioning; oracle_cloudstorage_bucket_log_retention_policy_lock,ibm_storage_ensure_soft_delete_is_enabled; ibm_vsi_instance_older_than_specific_days; ibm_cloudstorage_bucket_log_retention_policy_lock; ibm_cos_bucket_lifecycle_enabled; ibm_cos_bucket_object_versioning,alicloud_cloudstorage_bucket_log_retention_policy_lock; alicloud_storage_ensure_soft_delete_is_enabled; alicloud_oss_bucket_lifecycle_enabled; alicloud_ecs_instance_older_than_specific_days; alicloud_oss_bucket_object_versioning,20
A.8.11,Data Masking,automated,aws_sagemaker_notebook_instance_encryption_enabled; aws_cloudwatch_log_group_kms_encryption_enabled; aws_glue_development_endpoints_job_bookmark_encryption_enabled; aws_elasticache_redis_cluster_in_transit_encryption_enabled; aws_rds_instance_storage_encrypted; aws_rds_snapshots_encrypted; aws_glue_development_endpoints_cloudwatch_logs_encryption_enabled; aws_rds_cluster_storage_encrypted; aws_kms_cmk_not_multi_region; aws_eks_cluster_kms_cmk_encryption_in_secrets_enabled; aws_cloudtrail_kms_encryption_enabled; aws_s3_bucket_default_encryption; aws_athena_workgroup_encryption; aws_sqs_queues_server_side_encryption_enabled; aws_kms_cmk_not_deleted_unintentionally; aws_glue_etl_jobs_amazon_s3_encryption_enabled; aws_bedrock_model_invocation_logs_encryption_enabled; aws_cloudfront_distributions_field_level_encryption_enabled; aws_glue_etl_jobs_job_bookmark_encryption_enabled; aws_sns_topics_kms_encryption_at_rest_enabled; aws_workspaces_volume_encryption_enabled; aws_glue_etl_jobs_cloudwatch_logs_encryption_enabled; aws_kms_cmk_are_used; aws_elasticache_redis_cluster_rest_encryption_enabled; aws_ec2_ebs_default_encryption; aws_ec2_ebs_volume_encryption; aws_sagemaker_training_jobs_intercontainer_encryption_enabled; aws_kafka_cluster_encryption_at_rest_uses_cmk; aws_dms_endpoint_redis_in_transit_encryption_enabled; aws_opensearch_service_domains_encryption_at_rest_enabled; aws_dynamodb_accelerator_cluster_encryption_enabled; aws_glue_development_endpoints_s3_encryption_enabled; aws_glue_data_catalogs_metadata_encryption_enabled; aws_kafka_connector_in_transit_encryption_enabled; aws_s3_bucket_kms_encryption; aws_dynamodb_tables_kms_cmk_encryption_enabled; aws_storagegateway_fileshare_encryption_enabled; aws_sagemaker_training_jobs_volume_and_output_encryption_enabled; aws_efs_encryption_at_rest_enabled; aws_glue_data_catalogs_connection_passwords_encryption_enabled; aws_kms_cmk_rotation_enabled,azure_storage_ensure_encryption_with_customer_managed_keys; azure_vm_ensure_attached_disks_encrypted_with_cmk; azure_storage_infrastructure_encryption_is_enabled; azure_vm_ensure_unattached_disks_encrypted_with_cmk; azure_monitor_storage_account_with_activity_logs_cmk_encrypted,gcp_bigquery_table_cmk_encryption; gcp_bigquery_dataset_cmk_encryption; gcp_compute_instance_encryption_with_csek_enabled; gcp_dataproc_encrypted_with_cmks_disabled,oracle_sagemaker_notebook_instance_encryption_enabled; oracle_vault_cmk_are_used; oracle_glue_development_endpoints_job_bookmark_encryption_enabled; oracle_elasticache_redis_cluster_in_transit_encryption_enabled; oracle_dataproc_encrypted_with_cmks_disabled; oracle_storage_ensure_encryption_with_customer_managed_keys; oracle_vault_cmk_rotation_enabled; oracle_storage_infrastructure_encryption_is_enabled; oracle_vault_cmk_not_deleted_unintentionally; oracle_sns_topics_vault_encryption_at_rest_enabled; oracle_database_instance_storage_encrypted; oracle_object_storage_bucket_kms_encryption; oracle_athena_workgroup_encryption; oracle_sqs_queues_server_side_encryption_enabled; oracle_monitor_storage_account_with_activity_logs_cmk_encrypted; oracle_cloudwatch_log_group_vault_encryption_enabled; oracle_glue_development_endpoints_object_storage_encryption_enabled; oracle_bedrock_model_invocation_logs_encryption_enabled; oracle_glue_etl_jobs_amazon_object_storage_encryption_enabled; oracle_compute_ebs_default_encryption; oracle_cloudfront_distributions_field_level_encryption_enabled; oracle_glue_etl_jobs_job_bookmark_encryption_enabled; oracle_workspaces_volume_encryption_enabled; oracle_vault_cmk_not_multi_region; oracle_dynamodb_tables_vault_cmk_encryption_enabled; oracle_elasticache_redis_cluster_rest_encryption_enabled; oracle_vm_ensure_attached_disks_encrypted_with_cmk; oracle_vm_ensure_unattached_disks_encrypted_with_cmk; oracle_sagemaker_training_jobs_intercontainer_encryption_enabled; oracle_kafka_cluster_encryption_at_rest_uses_cmk; oracle_dms_endpoint_redis_in_transit_encryption_enabled; oracle_opensearch_service_domains_encryption_at_rest_enabled; oracle_dynamodb_accelerator_cluster_encryption_enabled; oracle_database_snapshots_encrypted; oracle_glue_data_catalogs_metadata_encryption_enabled; oracle_kafka_connector_in_transit_encryption_enabled; oracle_storagegateway_fileshare_encryption_enabled; oracle_object_storage_bucket_default_encryption; oracle_bigquery_dataset_cmk_encryption; oracle_compute_instance_encryption_with_csek_enabled; oracle_sagemaker_training_jobs_volume_and_output_encryption_enabled; oracle_efs_encryption_at_rest_enabled; oracle_database_cluster_storage_encrypted; oracle_glue_development_endpoints_monitoring_logs_encryption_enabled; oracle_bigquery_table_cmk_encryption; oracle_compute_ebs_volume_encryption; oracle_cloudtrail_vault_encryption_enabled; oracle_eks_cluster_vault_cmk_encryption_in_secrets_enabled; oracle_glue_data_catalogs_connection_passwodatabase_encryption_enabled; oracle_glue_etl_jobs_monitoring_logs_encryption_enabled,ibm_sagemaker_notebook_instance_encryption_enabled; ibm_glue_development_endpoints_job_bookmark_encryption_enabled; ibm_elasticache_redis_cluster_in_transit_encryption_enabled; ibm_bigquery_dataset_cmk_encryption; ibm_glue_etl_jobs_amazon_cos_encryption_enabled; ibm_dataproc_encrypted_with_cmks_disabled; ibm_vm_ensure_unattached_disks_encrypted_with_cmk; ibm_bigquery_table_cmk_encryption; ibm_database_instance_storage_encrypted; ibm_athena_workgroup_encryption; ibm_sqs_queues_server_side_encryption_enabled; ibm_key_protect_cmk_not_multi_region; ibm_cloudtrail_key_protect_encryption_enabled; ibm_eks_cluster_key_protect_cmk_encryption_in_secrets_enabled; ibm_vsi_ebs_volume_encryption; ibm_bedrock_model_invocation_logs_encryption_enabled; ibm_cloudfront_distributions_field_level_encryption_enabled; ibm_sns_topics_key_protect_encryption_at_rest_enabled; ibm_glue_etl_jobs_job_bookmark_encryption_enabled; ibm_workspaces_volume_encryption_enabled; ibm_dynamodb_tables_key_protect_cmk_encryption_enabled; ibm_key_protect_cmk_are_used; ibm_vsi_ebs_default_encryption; ibm_cloudwatch_log_group_key_protect_encryption_enabled; ibm_cos_bucket_default_encryption; ibm_compute_instance_encryption_with_csek_enabled; ibm_elasticache_redis_cluster_rest_encryption_enabled; ibm_sagemaker_training_jobs_intercontainer_encryption_enabled; ibm_key_protect_cmk_not_deleted_unintentionally; ibm_kafka_cluster_encryption_at_rest_uses_cmk; ibm_dms_endpoint_redis_in_transit_encryption_enabled; ibm_opensearch_service_domains_encryption_at_rest_enabled; ibm_dynamodb_accelerator_cluster_encryption_enabled; ibm_database_snapshots_encrypted; ibm_glue_data_catalogs_metadata_encryption_enabled; ibm_kafka_connector_in_transit_encryption_enabled; ibm_cos_bucket_kms_encryption; ibm_storagegateway_fileshare_encryption_enabled; ibm_key_protect_cmk_rotation_enabled; ibm_storage_ensure_encryption_with_customer_managed_keys; ibm_vm_ensure_attached_disks_encrypted_with_cmk; ibm_sagemaker_training_jobs_volume_and_output_encryption_enabled; ibm_efs_encryption_at_rest_enabled; ibm_database_cluster_storage_encrypted; ibm_glue_development_endpoints_monitoring_logs_encryption_enabled; ibm_glue_development_endpoints_cos_encryption_enabled; ibm_monitor_storage_account_with_activity_logs_cmk_encrypted; ibm_glue_data_catalogs_connection_passwodatabase_encryption_enabled; ibm_glue_etl_jobs_monitoring_logs_encryption_enabled; ibm_storage_infrastructure_encryption_is_enabled,alicloud_sagemaker_notebook_instance_encryption_enabled; alicloud_cloudwatch_log_group_kms_encryption_enabled; alicloud_glue_development_endpoints_job_bookmark_encryption_enabled; alicloud_elasticache_redis_cluster_in_transit_encryption_enabled; alicloud_rds_instance_storage_encrypted; alicloud_rds_snapshots_encrypted; alicloud_oss_bucket_default_encryption; alicloud_rds_cluster_storage_encrypted; alicloud_oss_bucket_kms_encryption; alicloud_kms_cmk_not_multi_region; alicloud_bigquery_dataset_cmk_encryption; alicloud_eks_cluster_kms_cmk_encryption_in_secrets_enabled; alicloud_cloudtrail_kms_encryption_enabled; alicloud_bigquery_table_cmk_encryption; alicloud_athena_workgroup_encryption; alicloud_storage_ensure_encryption_with_customer_managed_keys; alicloud_sqs_queues_server_side_encryption_enabled; alicloud_monitor_storage_account_with_activity_logs_cmk_encrypted; alicloud_kms_cmk_not_deleted_unintentionally; alicloud_ecs_ebs_volume_encryption; alicloud_bedrock_model_invocation_logs_encryption_enabled; alicloud_storage_infrastructure_encryption_is_enabled; alicloud_vm_ensure_unattached_disks_encrypted_with_cmk; alicloud_cloudfront_distributions_field_level_encryption_enabled; alicloud_glue_development_endpoints_cloudmonitor_logs_encryption_enabled; alicloud_dataproc_encrypted_with_cmks_disabled; alicloud_glue_etl_jobs_job_bookmark_encryption_enabled; alicloud_sns_topics_kms_encryption_at_rest_enabled; alicloud_workspaces_volume_encryption_enabled; alicloud_glue_etl_jobs_amazon_oss_encryption_enabled; alicloud_kms_cmk_are_used; alicloud_elasticache_redis_cluster_rest_encryption_enabled; alicloud_sagemaker_training_jobs_intercontainer_encryption_enabled; alicloud_kafka_cluster_encryption_at_rest_uses_cmk; alicloud_dms_endpoint_redis_in_transit_encryption_enabled; alicloud_ecs_ebs_default_encryption; alicloud_dynamodb_accelerator_cluster_encryption_enabled; alicloud_kafka_connector_in_transit_encryption_enabled; alicloud_glue_data_catalogs_metadata_encryption_enabled; alicloud_glue_development_endpoints_oss_encryption_enabled; alicloud_opensearch_service_domains_encryption_at_rest_enabled; alicloud_dynamodb_tables_kms_cmk_encryption_enabled; alicloud_storagegateway_fileshare_encryption_enabled; alicloud_compute_instance_encryption_with_csek_enabled; alicloud_sagemaker_training_jobs_volume_and_output_encryption_enabled; alicloud_efs_encryption_at_rest_enabled; alicloud_glue_data_catalogs_connection_passwords_encryption_enabled; alicloud_glue_etl_jobs_cloudmonitor_logs_encryption_enabled; alicloud_kms_cmk_rotation_enabled; alicloud_vm_ensure_attached_disks_encrypted_with_cmk,200
A.8.12,Data Leakage Prevention,automated,aws_redshift_cluster_in_transit_encryption_enabled; aws_kafka_cluster_in_transit_encryption_enabled; aws_transfer_server_in_transit_encryption_enabled; aws_dynamodb_accelerator_cluster_in_transit_encryption_enabled; aws_opensearch_service_domains_node_to_node_encryption_enabled,azure_app_minimum_tls_version_12; azure_sqlserver_tde_encryption_enabled; azure_sqlserver_tde_encrypted_with_cmk; azure_storage_secure_transfer_required_is_enabled,gcp_cloudsql_instance_ssl_connections; gcp_kms_key_not_publicly_accessible; gcp_cloudstorage_bucket_public_access; gcp_compute_instance_encryption_with_csek_enabled; gcp_apikeys_key_rotated_in_90_days; gcp_kms_key_rotation_enabled; gcp_apikeys_api_restrictions_configured,oracle_cloudstorage_bucket_public_access; oracle_sqlserver_tde_encryption_enabled; oracle_compute_instance_encryption_with_csek_enabled; oracle_redshift_cluster_in_transit_encryption_enabled; oracle_kafka_cluster_in_transit_encryption_enabled; oracle_sqlserver_tde_encrypted_with_cmk; oracle_storage_secure_transfer_required_is_enabled; oracle_kms_key_rotation_enabled; oracle_app_minimum_tls_version_12; oracle_apikeys_key_rotated_in_90_days; oracle_cloudsql_instance_ssl_connections; oracle_kms_key_not_publicly_accessible; oracle_transfer_server_in_transit_encryption_enabled; oracle_dynamodb_accelerator_cluster_in_transit_encryption_enabled; oracle_opensearch_service_domains_node_to_node_encryption_enabled; oracle_apikeys_api_restrictions_configured,ibm_cloudstorage_bucket_public_access; ibm_sqlserver_tde_encrypted_with_cmk; ibm_redshift_cluster_in_transit_encryption_enabled; ibm_kms_key_rotation_enabled; ibm_kafka_cluster_in_transit_encryption_enabled; ibm_apikeys_api_restrictions_configured; ibm_kms_key_not_publicly_accessible; ibm_cloudsql_instance_ssl_connections; ibm_storage_secure_transfer_required_is_enabled; ibm_compute_instance_encryption_with_csek_enabled; ibm_sqlserver_tde_encryption_enabled; ibm_app_minimum_tls_version_12; ibm_apikeys_key_rotated_in_90_days; ibm_transfer_server_in_transit_encryption_enabled; ibm_dynamodb_accelerator_cluster_in_transit_encryption_enabled; ibm_opensearch_service_domains_node_to_node_encryption_enabled,alicloud_cloudsql_instance_ssl_connections; alicloud_apikeys_api_restrictions_configured; alicloud_redshift_cluster_in_transit_encryption_enabled; alicloud_app_minimum_tls_version_12; alicloud_kafka_cluster_in_transit_encryption_enabled; alicloud_sqlserver_tde_encrypted_with_cmk; alicloud_apikeys_key_rotated_in_90_days; alicloud_cloudstorage_bucket_public_access; alicloud_compute_instance_encryption_with_csek_enabled; alicloud_kms_key_rotation_enabled; alicloud_storage_secure_transfer_required_is_enabled; alicloud_kms_key_not_publicly_accessible; alicloud_sqlserver_tde_encryption_enabled; alicloud_transfer_server_in_transit_encryption_enabled; alicloud_dynamodb_accelerator_cluster_in_transit_encryption_enabled; alicloud_opensearch_service_domains_node_to_node_encryption_enabled,64
A.8.13,Information Backup,automated,aws_backup_reportplans_exist; aws_backup_plans_exist; aws_backup_vaults_exist; aws_backup_recovery_point_encrypted,,gcp_cloudsql_instance_automated_backups,oracle_backup_reportplans_exist; oracle_backup_recovery_point_encrypted; oracle_backup_vaults_exist; oracle_backup_plans_exist; oracle_cloudsql_instance_automated_backups,ibm_backup_reportplans_exist; ibm_backup_recovery_point_encrypted; ibm_cloudsql_instance_automated_backups; ibm_backup_vaults_exist; ibm_backup_plans_exist,alicloud_backup_reportplans_exist; alicloud_cloudsql_instance_automated_backups; alicloud_backup_recovery_point_encrypted; alicloud_backup_vaults_exist; alicloud_backup_plans_exist,20
