compliance,section,id,title
CIS AWS Compute Services Benchmark v1.1.0,12 Section,12.3,Ensure AWS Secrets manager is configured and being used by Lambda for databases
CIS AWS Compute Services Benchmark v1.1.0,12 Section,12.4,Ensure least privilege is used with Lambda function access
CIS AWS Compute Services Benchmark v1.1.0,12 Section,12.5,Ensure every Lambda function has its own IAM Role
CIS AWS Compute Services Benchmark v1.1.0,12 Section,12.6,Ensure Lambda functions are not exposed to everyone.
CIS AWS Compute Services Benchmark v1.1.0,12 Section,12.7,Ensure Lambda functions are referencing active execution roles.
CIS AWS Compute Services Benchmark v1.1.0,12 Section,12.8,Ensure that Code Signing is enabled for Lambda functions.
CIS AWS Compute Services Benchmark v1.1.0,12 Section,12.9,Ensure there are no Lambda functions with admin privileges within your AWS account
CIS AWS Compute Services Benchmark v1.1.0,12 Section,12.10,Ensure Lambda functions do not allow unknown cross account access via permission policies.
CIS AWS Compute Services Benchmark v1.1.0,12 Section,12.11,Ensure that the runtime environment versions used for your Lambda functions do not have end of support dates.
CIS AWS Compute Services Benchmark v1.1.0,12 Section,12.12,Ensure encryption in transit is enabled for Lambda environment variables
CIS AWS Compute Services Benchmark v1.1.0,16 Section,16.1,Ensure communications between your applications and clients is encrypted.
CIS AWS Database Services Benchmark v1.0.0,2 Section,2.1,Ensure Amazon VPC (Virtual Private Cloud) has been created
CIS AWS Database Services Benchmark v1.0.0,2 Section,2.2,Ensure the Use of Security Groups
CIS AWS Database Services Benchmark v1.0.0,2 Section,2.3,Ensure Data at Rest is Encrypted
CIS AWS Database Services Benchmark v1.0.0,2 Section,2.4,Ensure Data in Transit is Encrypted
CIS AWS Database Services Benchmark v1.0.0,2 Section,2.5,Ensure IAM Roles and Policies are Created
CIS AWS Database Services Benchmark v1.0.0,2 Section,2.6,Ensure Database Audit Logging is Enabled
CIS AWS Database Services Benchmark v1.0.0,2 Section,2.7,Ensure Passwords are Regularly Rotated
CIS AWS Database Services Benchmark v1.0.0,2 Section,2.8,Ensure Access Keys are Regularly Rotated
CIS AWS Database Services Benchmark v1.0.0,2 Section,2.9,Ensure Least Privilege Access
CIS AWS Database Services Benchmark v1.0.0,2 Section,2.10,Ensure Automatic Backups and Retention Policies are configured
CIS AWS Database Services Benchmark v1.0.0,2 Section,2.11,Ensure Multi-Factor Authentication (MFA) is in use
CIS AWS Database Services Benchmark v1.0.0,3 Section,3.1,Ensure to Choose the Appropriate Database Engine
CIS AWS Database Services Benchmark v1.0.0,3 Section,3.2,Ensure to Create The Appropriate Deployment Configuration
CIS AWS Database Services Benchmark v1.0.0,3 Section,3.3,Ensure to Create a Virtual Private Cloud (VPC)
CIS AWS Database Services Benchmark v1.0.0,3 Section,3.4,Ensure to Configure Security Groups
CIS AWS Database Services Benchmark v1.0.0,3 Section,3.7,Ensure to Implement Access Control and Authentication
CIS AWS Database Services Benchmark v1.0.0,3 Section,3.8,Ensure to Regularly Patch Systems
CIS AWS Database Services Benchmark v1.0.0,3 Section,3.9,Ensure Monitoring and Logging is Enabled
CIS AWS Database Services Benchmark v1.0.0,3 Section,3.10,Ensure to Enable Backup and Recovery
CIS AWS Database Services Benchmark v1.0.0,3 Section,3.11,Ensure to Regularly Review Security Configuration
CIS AWS Database Services Benchmark v1.0.0,4 Section,4.1,Ensure AWS Identity and Access Management (IAM) is in use
CIS AWS Database Services Benchmark v1.0.0,4 Section,4.2,Ensure Fine-Grained Access Control is implemented
CIS AWS Database Services Benchmark v1.0.0,4 Section,4.3,Ensure DynamoDB Encryption at Rest
CIS AWS Database Services Benchmark v1.0.0,4 Section,4.4,Ensure DynamoDB Encryption in Transit
CIS AWS Database Services Benchmark v1.0.0,4 Section,4.5,Ensure VPC Endpoints are configured
CIS AWS Database Services Benchmark v1.0.0,4 Section,4.6,Ensure DynamoDB Streams and AWS Lambda for Automated Compliance Checking is Enabled
CIS AWS Database Services Benchmark v1.0.0,4 Section,4.7,Ensure Monitor and Audit Activity is enabled
CIS AWS Database Services Benchmark v1.0.0,5 Section,5.1,Ensure Secure Access to ElastiCache
CIS AWS Database Services Benchmark v1.0.0,5 Section,5.2,Ensure Network Security is Enabled
CIS AWS Database Services Benchmark v1.0.0,5 Section,5.3,Ensure Encryption at Rest and in Transit is configured
CIS AWS Database Services Benchmark v1.0.0,5 Section,5.4,Ensure Automatic Updates and Patching are Enabled
CIS AWS Database Services Benchmark v1.0.0,5 Section,5.5,Ensure Virtual Private Cloud (VPC) is Enabled
CIS AWS Database Services Benchmark v1.0.0,5 Section,5.6,Ensure Monitoring and Logging is Enabled
CIS AWS Database Services Benchmark v1.0.0,5 Section,5.7,Ensure Security Configurations are Reviewed Regularly
CIS AWS Database Services Benchmark v1.0.0,5 Section,5.8,Ensure Authentication and Access Control is Enabled
CIS AWS Database Services Benchmark v1.0.0,5 Section,5.9,Ensure Audit Logging is Enabled
CIS AWS Database Services Benchmark v1.0.0,5 Section,5.10,Ensure Security Configurations are Reviewed Regularly
CIS AWS Database Services Benchmark v1.0.0,6 Section,6.1,Ensure Network Security is Enabled
CIS AWS Database Services Benchmark v1.0.0,6 Section,6.2,Ensure Data at Rest and in Transit is Encrypted
CIS AWS Database Services Benchmark v1.0.0,6 Section,6.3,Ensure Authentication and Access Control is Enabled
CIS AWS Database Services Benchmark v1.0.0,6 Section,6.4,Ensure Audit Logging is Enabled
CIS AWS Database Services Benchmark v1.0.0,6 Section,6.5,Ensure Security Configurations are Reviewed Regularly
CIS AWS Database Services Benchmark v1.0.0,6 Section,6.6,Ensure Monitoring and Alerting is Enabled
CIS AWS Database Services Benchmark v1.0.0,7 Section,7.1,Ensure Network Architecture Planning
CIS AWS Database Services Benchmark v1.0.0,7 Section,7.2,Ensure VPC Security is Configured
CIS AWS Database Services Benchmark v1.0.0,7 Section,7.3,Ensure Encryption at Rest is Enabled
CIS AWS Database Services Benchmark v1.0.0,7 Section,7.4,Ensure Encryption in Transit is Enabled
CIS AWS Database Services Benchmark v1.0.0,7 Section,7.5,Ensure to Implement Access Control and Authentication
CIS AWS Database Services Benchmark v1.0.0,7 Section,7.6,Ensure Audit Logging is Enabled
CIS AWS Database Services Benchmark v1.0.0,7 Section,7.7,Ensure Regular Updates and Patches
CIS AWS Database Services Benchmark v1.0.0,7 Section,7.8,Ensure to Implement Monitoring and Alerting
CIS AWS Database Services Benchmark v1.0.0,7 Section,7.9,Ensure to Implement Backup and Disaster Recovery
CIS AWS Database Services Benchmark v1.0.0,7 Section,7.10,Ensure to Configure Backup Window
CIS AWS Database Services Benchmark v1.0.0,7 Section,7.11,Ensure to Conduct Security Assessments
CIS AWS Database Services Benchmark v1.0.0,8 Section,8.1,Ensure Keyspace Security is Configured
CIS AWS Database Services Benchmark v1.0.0,8 Section,8.2,Ensure Network Security is Enabled
CIS AWS Database Services Benchmark v1.0.0,8 Section,8.3,Ensure Data at Rest and in Transit is Encrypted
CIS AWS Database Services Benchmark v1.0.0,9 Section,9.1,Ensure Network Security is Enabled
CIS AWS Database Services Benchmark v1.0.0,9 Section,9.2,Ensure Data at Rest is Encrypted
CIS AWS Database Services Benchmark v1.0.0,9 Section,9.3,Ensure Data in Transit is Encrypted
CIS AWS Database Services Benchmark v1.0.0,9 Section,9.4,Ensure Authentication and Access Control is Enabled
CIS AWS Database Services Benchmark v1.0.0,9 Section,9.5,Ensure Audit Logging is Enabled
CIS AWS Database Services Benchmark v1.0.0,9 Section,9.6,Ensure Security Configurations are Reviewed Regularly
CIS AWS Database Services Benchmark v1.0.0,9 Section,9.7,Ensure Monitoring and Alerting is Enabled
CIS AWS Database Services Benchmark v1.0.0,10 Section,10.1,Ensure Data Ingestion is Secure
CIS AWS Database Services Benchmark v1.0.0,10 Section,10.2,Ensure Data at Rest is Encrypted
CIS AWS Database Services Benchmark v1.0.0,10 Section,10.3,Ensure Encryption in Transit is Configured
CIS AWS Database Services Benchmark v1.0.0,10 Section,10.4,Ensure Access Control and Authentication is Enabled
CIS AWS Database Services Benchmark v1.0.0,10 Section,10.5,Ensure Fine-Grained Access Control is Enabled
CIS AWS Database Services Benchmark v1.0.0,10 Section,10.6,Ensure Audit Logging is Enabled
CIS AWS Database Services Benchmark v1.0.0,10 Section,10.7,Ensure Regular Updates and Patches are Installed
CIS AWS Database Services Benchmark v1.0.0,10 Section,10.8,Ensure Monitoring and Alerting is Enabled
CIS AWS Database Services Benchmark v1.0.0,10 Section,10.9,Ensure to Review and Update the Security Configuration
CIS AWS Database Services Benchmark v1.0.0,11 Section,11.1,Ensure to Implement Identity and Access Management (IAM)
CIS AWS Database Services Benchmark v1.0.0,11 Section,11.2,Ensure Network Access is Secure
CIS AWS Database Services Benchmark v1.0.0,11 Section,11.3,Ensure Data at Rest is Encrypted
CIS AWS Database Services Benchmark v1.0.0,11 Section,11.4,Ensure Data in Transit is Encrypted
CIS AWS Database Services Benchmark v1.0.0,11 Section,11.5,Ensure to Implement Access Control and Authentication
CIS AWS Database Services Benchmark v1.0.0,11 Section,11.6,Ensure Monitoring and Logging is Enabled
CIS AWS Database Services Benchmark v1.0.0,11 Section,11.7,Ensure to Enable Backup and Recovery
CIS AWS End User Compute Services Benchmark v1.1.0,2 Section,2.1,Ensure Administration of WorkSpaces is defined using IAM
CIS AWS End User Compute Services Benchmark v1.1.0,2 Section,2.2,Ensure MFA is enabled for WorkSpaces users
CIS AWS End User Compute Services Benchmark v1.1.0,2 Section,2.3,Ensure WorkSpace volumes are encrypted.
CIS AWS End User Compute Services Benchmark v1.1.0,2 Section,2.4,Ensure WorkSpaces are deployed in their own virtual private cloud (VPC)
CIS AWS End User Compute Services Benchmark v1.1.0,2 Section,2.5,Ensure WorkSpaces traffic is controlled and routed through a NAT Gateway.
CIS AWS End User Compute Services Benchmark v1.1.0,2 Section,2.6,Ensure Web Access to Workspaces is Disabled
CIS AWS End User Compute Services Benchmark v1.1.0,2 Section,2.7,Ensure access is limited to trusted devices
CIS AWS End User Compute Services Benchmark v1.1.0,2 Section,2.8,Ensure the default IP access control group is disassociated.
CIS AWS End User Compute Services Benchmark v1.1.0,2 Section,2.9,Ensure CloudWatch is set up for WorkSpaces
CIS AWS End User Compute Services Benchmark v1.1.0,2 Section,2.10,Ensure that patches and updates are performed on the operating system for Workstations
CIS AWS End User Compute Services Benchmark v1.1.0,2 Section,2.11,Ensure your WorkSpaces image has the appropriate CIS Operating System Benchmark applied
CIS AWS End User Compute Services Benchmark v1.1.0,2 Section,2.13,Ensure Workspaces images are not older than 90 days.
CIS AWS End User Compute Services Benchmark v1.1.0,2 Section,2.14,Ensure WorkSpaces that are not being utilized are removed.
CIS AWS End User Compute Services Benchmark v1.1.0,2 Section,2.15,Ensure primary interface ports for Workspaces are not open to all inbound traffic.
CIS AWS End User Compute Services Benchmark v1.1.0,2 Section,2.16,Ensure FIPS Endpoint encryption is enabled for WorkSpaces.
CIS AWS End User Compute Services Benchmark v1.1.0,2 Section,2.17,Ensure WorkSpaces API requests flow through a VPC Endpoint
CIS AWS End User Compute Services Benchmark v1.1.0,2 Section,2.18,Ensure Radius server is using the recommended security protocol
CIS AWS End User Compute Services Benchmark v1.1.0,3 Section,3.1,Ensure User Access Logging is enabled
CIS AWS End User Compute Services Benchmark v1.1.0,4 Section,4.1,Ensure Administrators of WorkDocs is defined using IAM
CIS AWS End User Compute Services Benchmark v1.1.0,4 Section,4.2,Ensure MFA is enabled for WorkDoc users
CIS AWS End User Compute Services Benchmark v1.1.0,4 Section,4.3,Ensure Workdocs access is limited to a range of allowable IP addresses
CIS AWS End User Compute Services Benchmark v1.1.0,4 Section,4.5,Ensure new users can only be invited from allowed domains.
CIS AWS End User Compute Services Benchmark v1.1.0,4 Section,4.6,Ensure only specific users are allowed to invite external users
CIS AWS End User Compute Services Benchmark v1.1.0,4 Section,4.7,Ensure publicly shareable links is not allowed in WorkDocs
CIS AWS End User Compute Services Benchmark v1.1.0,4 Section,4.8,Ensure any user that has not accessed WorkDocs in 30 days is set to inactive.
CIS AWS End User Compute Services Benchmark v1.1.0,5 Section,5.1,Ensure AppStream is utilizing its own virtual private cloud (VPC)
CIS AWS End User Compute Services Benchmark v1.1.0,5 Section,5.2,Ensure a VPC Endpoint is set for AppStream
CIS AWS End User Compute Services Benchmark v1.1.0,5 Section,5.3,Ensure maximum session duration is no longer than 10 hours
CIS AWS End User Compute Services Benchmark v1.1.0,5 Section,5.4,Ensure session disconnect timeout is set to 5 minutes or less
CIS AWS End User Compute Services Benchmark v1.1.0,5 Section,5.5,Ensure session Idle disconnect timeout is set to 10 minutes or less
CIS AWS End User Compute Services Benchmark v1.1.0,5 Section,5.6,Ensure internet access is granted and managed through your VPC
CIS AWS End User Compute Services Benchmark v1.1.0,5 Section,5.7,Ensure Operating system updates are applied to your base image every 30 days.
CIS AWS End User Compute Services Benchmark v1.2.0,2 Section,2.1,Ensure Administration of WorkSpaces is defined using IAM
CIS AWS End User Compute Services Benchmark v1.2.0,2 Section,2.2,Ensure MFA is enabled for WorkSpaces users
CIS AWS End User Compute Services Benchmark v1.2.0,2 Section,2.3,Ensure WorkSpace volumes are encrypted.
CIS AWS End User Compute Services Benchmark v1.2.0,2 Section,2.4,Ensure WorkSpaces are deployed in their own virtual private cloud (VPC)
CIS AWS End User Compute Services Benchmark v1.2.0,2 Section,2.5,Ensure WorkSpaces traffic is controlled and routed through a NAT Gateway.
CIS AWS End User Compute Services Benchmark v1.2.0,2 Section,2.6,Ensure Web Access to Workspaces is Disabled
CIS AWS End User Compute Services Benchmark v1.2.0,2 Section,2.7,Ensure access is limited to trusted devices
CIS AWS End User Compute Services Benchmark v1.2.0,2 Section,2.8,Ensure the default IP access control group is disassociated.
CIS AWS End User Compute Services Benchmark v1.2.0,2 Section,2.9,Ensure CloudWatch is set up for WorkSpaces
CIS AWS End User Compute Services Benchmark v1.2.0,2 Section,2.10,Ensure that patches and updates are performed on the operating system for Workstations
CIS AWS End User Compute Services Benchmark v1.2.0,2 Section,2.11,Ensure your WorkSpaces image has the appropriate CIS Operating System Benchmark applied
CIS AWS End User Compute Services Benchmark v1.2.0,2 Section,2.13,Ensure Workspaces images are not older than 90 days.
CIS AWS End User Compute Services Benchmark v1.2.0,2 Section,2.14,Ensure WorkSpaces that are not being utilized are removed.
CIS AWS End User Compute Services Benchmark v1.2.0,2 Section,2.15,Ensure primary interface ports for Workspaces are not open to all inbound traffic.
CIS AWS End User Compute Services Benchmark v1.2.0,2 Section,2.16,Ensure FIPS Endpoint encryption is enabled for WorkSpaces.
CIS AWS End User Compute Services Benchmark v1.2.0,2 Section,2.17,Ensure WorkSpaces API requests flow through a VPC Endpoint
CIS AWS End User Compute Services Benchmark v1.2.0,2 Section,2.18,Ensure Radius server is using the recommended security protocol
CIS AWS End User Compute Services Benchmark v1.2.0,3 Section,3.1,Ensure User Access Logging is enabled
CIS AWS End User Compute Services Benchmark v1.2.0,4 Section,4.1,Ensure Administrators of WorkDocs is defined using IAM
CIS AWS End User Compute Services Benchmark v1.2.0,4 Section,4.2,Ensure MFA is enabled for WorkDoc users
CIS AWS End User Compute Services Benchmark v1.2.0,4 Section,4.3,Ensure Workdocs access is limited to a range of allowable IP addresses
CIS AWS End User Compute Services Benchmark v1.2.0,4 Section,4.5,Ensure new users can only be invited from allowed domains.
CIS AWS End User Compute Services Benchmark v1.2.0,4 Section,4.6,Ensure only specific users are allowed to invite external users
CIS AWS End User Compute Services Benchmark v1.2.0,4 Section,4.7,Ensure publicly shareable links is not allowed in WorkDocs
CIS AWS End User Compute Services Benchmark v1.2.0,4 Section,4.8,Ensure any user that has not accessed WorkDocs in 30 days is set to inactive.
CIS AWS End User Compute Services Benchmark v1.2.0,5 Section,5.1,Ensure AppStream is utilizing its own virtual private cloud (VPC)
CIS AWS End User Compute Services Benchmark v1.2.0,5 Section,5.2,Ensure a VPC Endpoint is set for AppStream
CIS AWS End User Compute Services Benchmark v1.2.0,5 Section,5.3,Ensure maximum session duration is no longer than 10 hours
CIS AWS End User Compute Services Benchmark v1.2.0,5 Section,5.4,Ensure session disconnect timeout is set to 5 minutes or less
CIS AWS End User Compute Services Benchmark v1.2.0,5 Section,5.5,Ensure session Idle disconnect timeout is set to 10 minutes or less
CIS AWS End User Compute Services Benchmark v1.2.0,5 Section,5.6,Ensure internet access is granted and managed through your VPC
CIS AWS End User Compute Services Benchmark v1.2.0,5 Section,5.7,Ensure Operating system updates are applied to your base image every 30 days.
CIS AWS Storage Services Benchmark v1.0.0,1 Section,1.2,Ensure securing AWS Backups
CIS AWS Storage Services Benchmark v1.0.0,1 Section,1.3,Ensure to create backup template and name
CIS AWS Storage Services Benchmark v1.0.0,1 Section,1.4,Ensure to create AWS IAM Policies
CIS AWS Storage Services Benchmark v1.0.0,1 Section,1.5,Ensure to create IAM roles for Backup
CIS AWS Storage Services Benchmark v1.0.0,1 Section,1.6,Ensure AWS Backup with Service Linked Roles
CIS AWS Storage Services Benchmark v1.0.0,2 Section,2.1,Ensure creating EC2 instance with EBS
CIS AWS Storage Services Benchmark v1.0.0,2 Section,2.2,Ensure configuring Security Groups
CIS AWS Storage Services Benchmark v1.0.0,2 Section,2.3,Ensure the proper configuration of EBS storage
CIS AWS Storage Services Benchmark v1.0.0,2 Section,2.4,Ensure the creation of a new volume
CIS AWS Storage Services Benchmark v1.0.0,2 Section,2.5,Ensure creating snapshots of EBS volumes
CIS AWS Storage Services Benchmark v1.0.0,2 Section,2.6,Ensure Proper IAM Configuration for EC2 Instances
CIS AWS Storage Services Benchmark v1.0.0,2 Section,2.7,Ensure creating IAM User
CIS AWS Storage Services Benchmark v1.0.0,2 Section,2.8,Ensure the Creation of IAM Groups
CIS AWS Storage Services Benchmark v1.0.0,2 Section,2.9,Ensure Granular Policy Creation
CIS AWS Storage Services Benchmark v1.0.0,2 Section,2.10,Ensure Resource Access via Tag-based Policies
CIS AWS Storage Services Benchmark v1.0.0,2 Section,2.11,Ensure Secure Password Policy Implementation
CIS AWS Storage Services Benchmark v1.0.0,2 Section,2.12,Ensure Monitoring EC2 and EBS with CloudWatch
CIS AWS Storage Services Benchmark v1.0.0,2 Section,2.13,Ensure creating an SNS subscription
CIS AWS Storage Services Benchmark v1.0.0,3 Section,3.2,Ensure Implementation of EFS
CIS AWS Storage Services Benchmark v1.0.0,3 Section,3.3,Ensure EFS and VPC Integration
CIS AWS Storage Services Benchmark v1.0.0,3 Section,3.4,Ensure controlling Network access to EFS Services
CIS AWS Storage Services Benchmark v1.0.0,3 Section,3.5,Ensure using Security Groups for VPC
CIS AWS Storage Services Benchmark v1.0.0,3 Section,3.6,Ensure Secure Ports
CIS AWS Storage Services Benchmark v1.0.0,3 Section,3.7,Ensure File-Level Access Control with Mount Targets
CIS AWS Storage Services Benchmark v1.0.0,3 Section,3.8,Ensure managing mount target security groups
CIS AWS Storage Services Benchmark v1.0.0,3 Section,3.9,Ensure using VPC endpoints - EFS
CIS AWS Storage Services Benchmark v1.0.0,3 Section,3.10,Ensure managing AWS EFS access points
CIS AWS Storage Services Benchmark v1.0.0,3 Section,3.11,Ensure accessing Points and IAM Policies
CIS AWS Storage Services Benchmark v1.0.0,3 Section,3.12,Ensure configuring IAM for AWS Elastic Disaster Recovery
CIS AWS Storage Services Benchmark v1.0.0,4 Section,4.3,Ensure the creation of an FSX Bucket
CIS AWS Storage Services Benchmark v1.0.0,4 Section,4.4,Ensure the creation of Elastic File Cache
CIS AWS Storage Services Benchmark v1.0.0,4 Section,4.5,Ensure installation and configuration of Lustre Client
CIS AWS Storage Services Benchmark v1.0.0,4 Section,4.6,Ensure EC2 Kernel compatibility with Lustre
CIS AWS Storage Services Benchmark v1.0.0,4 Section,4.7,Ensure mounting FSx cache
CIS AWS Storage Services Benchmark v1.0.0,4 Section,4.8,Ensure exporting cache to S3
CIS AWS Storage Services Benchmark v1.0.0,4 Section,4.9,Ensure cleaning up FSx Resources
CIS AWS Storage Services Benchmark v1.0.0,5 Section,5.2,Ensure direct data addition to S3
CIS AWS Storage Services Benchmark v1.0.0,5 Section,5.3,Ensure Storage Classes are Configured
CIS AWS Storage Services Benchmark v1.0.0,6 Section,6.1,Ensure Elastic Disaster Recovery is Configured
CIS AWS Storage Services Benchmark v1.0.0,6 Section,6.2,Ensure AWS Disaster Recovery Configuration
CIS AWS Storage Services Benchmark v1.0.0,6 Section,6.3,Ensure functionality of Endpoint Detection and Response (EDR)
CIS AWS Storage Services Benchmark v1.0.0,6 Section,6.4,Ensure configuration of replication settings
CIS AWS Storage Services Benchmark v1.0.0,6 Section,6.5,Ensure proper IAM configuration for AWS Elastic Disaster Recovery
CIS AWS Storage Services Benchmark v1.0.0,6 Section,6.6,Ensure installation of the AWS Replication Agent
CIS AWS Storage Services Benchmark v1.0.0,6 Section,6.7,Ensure proper configuration of the Launch Settings
CIS AWS Storage Services Benchmark v1.0.0,6 Section,6.8,Ensure execution of a recovery drill
CIS AWS Storage Services Benchmark v1.0.0,6 Section,6.9,Ensure Continuous Disaster Recovery Operations
CIS AWS Storage Services Benchmark v1.0.0,6 Section,6.10,Ensure execution of a Disaster Recovery Failover
CIS AWS Storage Services Benchmark v1.0.0,6 Section,6.11,Ensure execution of a failback
CIS AWS Storage Services Benchmark v1.0.0,6 Section,6.12,Ensure CloudWatch Metrics for AWS EDR
CIS AWS Storage Services Benchmark v1.0.0,6 Section,6.13,Ensure working of EDR
CIS Amazon Web Services Foundations Benchmark v4.0.1,1 Section,1.2,Ensure security contact information is registered
CIS Amazon Web Services Foundations Benchmark v4.0.1,1 Section,1.3,Ensure security questions are registered in the AWS account
CIS Amazon Web Services Foundations Benchmark v4.0.1,1 Section,1.4,Ensure no 'root' user account access key exists
CIS Amazon Web Services Foundations Benchmark v4.0.1,1 Section,1.5,Ensure MFA is enabled for the 'root' user account
CIS Amazon Web Services Foundations Benchmark v4.0.1,1 Section,1.6,Ensure hardware MFA is enabled for the 'root' user account
CIS Amazon Web Services Foundations Benchmark v4.0.1,1 Section,1.8,Ensure IAM password policy requires minimum length of 14 or greater
