unique_compliance_id,framework,framework_version,control_id,section,title,description,automation_type,aws_checks,azure_checks,gcp_checks,oracle_checks,ibm_checks,alicloud_checks,k8s_checks,source_file
canada_pbmm_moderate_CCCS_AC_21,CANADA_PBMM,Moderate,CCCS AC-21,,CCCS AC-21: Information Sharing,,manual,,,,,,,,canada_pbmm/CANADA_PBMM_controls_with_checks.csv
canada_pbmm_moderate_CCCS_AC_22,CANADA_PBMM,Moderate,CCCS AC-22,,CCCS AC-22: Publicly Accessible Content,,manual,,,,,,,,canada_pbmm/CANADA_PBMM_controls_with_checks.csv
canada_pbmm_moderate_CCCS_AC_3,CANADA_PBMM,Moderate,CCCS AC-3,,CCCS AC-3: Access Enforcement,,manual,,,,,,,,canada_pbmm/CANADA_PBMM_controls_with_checks.csv
canada_pbmm_moderate_CCCS_AC_4,CANADA_PBMM,Moderate,CCCS AC-4,,CCCS AC-4: Information Flow Enforcement,,manual,,,,,,,,canada_pbmm/CANADA_PBMM_controls_with_checks.csv
canada_pbmm_moderate_CCCS_AC_5,CANADA_PBMM,Moderate,CCCS AC-5,,CCCS AC-5: Separation of Duties,,automated,aws_iam_aws_attached_policy_no_administrative_privileges;aws_iam_customer_attached_policy_no_administrative_privileges;aws_iam_inline_policy_no_administrative_privileges,azure_active_directory_aws_attached_policy_no_administrative_privileges;azure_active_directory_customer_attached_policy_no_administrative_privileges;azure_active_directory_inline_policy_no_administrative_privileges,gcp_iam_aws_attached_policy_no_administrative_privileges;gcp_iam_customer_attached_policy_no_administrative_privileges;gcp_iam_inline_policy_no_administrative_privileges,oracle_identity_aws_attached_policy_no_administrative_privileges;oracle_identity_customer_attached_policy_no_administrative_privileges;oracle_identity_inline_policy_no_administrative_privileges,ibm_iam_aws_attached_policy_no_administrative_privileges;ibm_iam_customer_attached_policy_no_administrative_privileges;ibm_iam_inline_policy_no_administrative_privileges,alicloud_ram_aws_attached_policy_no_administrative_privileges;alicloud_ram_customer_attached_policy_no_administrative_privileges;alicloud_ram_inline_policy_no_administrative_privileges,,canada_pbmm/CANADA_PBMM_controls_with_checks.csv
canada_pbmm_moderate_CCCS_AC_6,CANADA_PBMM,Moderate,CCCS AC-6,,CCCS AC-6: Least Privilege,,automated,aws_iam_policy_no_administrative_privileges;aws_iam_role_least_privilege;aws_iam_policy_overly_permissive,azure_active_directory_policy_no_administrative_privileges;azure_active_directory_role_least_privilege;azure_active_directory_policy_overly_permissive,gcp_iam_policy_no_administrative_privileges;gcp_iam_role_least_privilege;gcp_iam_policy_overly_permissive,oracle_identity_policy_no_administrative_privileges;oracle_identity_role_least_privilege;oracle_identity_policy_overly_permissive,ibm_iam_policy_no_administrative_privileges;ibm_iam_role_least_privilege;ibm_iam_policy_overly_permissive,alicloud_ram_policy_no_administrative_privileges;alicloud_ram_role_least_privilege;alicloud_ram_policy_overly_permissive,,canada_pbmm/CANADA_PBMM_controls_with_checks.csv
canada_pbmm_moderate_CCCS_AC_7,CANADA_PBMM,Moderate,CCCS AC-7,,CCCS AC-7: Unsuccessful Logon Attempts,,manual,,,,,,,,canada_pbmm/CANADA_PBMM_controls_with_checks.csv
canada_pbmm_moderate_CCCS_AC_8,CANADA_PBMM,Moderate,CCCS AC-8,,CCCS AC-8: System Use Notification,,manual,,,,,,,,canada_pbmm/CANADA_PBMM_controls_with_checks.csv
canada_pbmm_moderate_CCCS_AT_1,CANADA_PBMM,Moderate,CCCS AT-1,,CCCS AT-1: Policy and Procedures,,manual,,,,,,,,canada_pbmm/CANADA_PBMM_controls_with_checks.csv
canada_pbmm_moderate_CCCS_AT_2,CANADA_PBMM,Moderate,CCCS AT-2,,CCCS AT-2: Literacy Training and Awareness,,manual,,,,,,,,canada_pbmm/CANADA_PBMM_controls_with_checks.csv
canada_pbmm_moderate_CCCS_AT_3,CANADA_PBMM,Moderate,CCCS AT-3,,CCCS AT-3: Role-based Training,,manual,,,,,,,,canada_pbmm/CANADA_PBMM_controls_with_checks.csv
canada_pbmm_moderate_CCCS_AT_4,CANADA_PBMM,Moderate,CCCS AT-4,,CCCS AT-4: Training Records,,manual,,,,,,,,canada_pbmm/CANADA_PBMM_controls_with_checks.csv
canada_pbmm_moderate_CCCS_AU_1,CANADA_PBMM,Moderate,CCCS AU-1,,CCCS AU-1: Policy and Procedures,,manual,,,,,,,,canada_pbmm/CANADA_PBMM_controls_with_checks.csv
canada_pbmm_moderate_CCCS_AU_11,CANADA_PBMM,Moderate,CCCS AU-11,,CCCS AU-11: Audit Record Retention,,manual,,,,,,,,canada_pbmm/CANADA_PBMM_controls_with_checks.csv
canada_pbmm_moderate_CCCS_AU_12,CANADA_PBMM,Moderate,CCCS AU-12,,CCCS AU-12: Audit Record Generation,,automated,aws_apigateway_restapi_logging_enabled;aws_cloudtrail_multi_region_enabled;aws_cloudtrail_s3_dataevents_read_enabled;aws_cloudtrail_s3_dataevents_write_enabled;aws_cloudtrail_cloudwatch_logging_enabled;aws_elbv2_logging_enabled;aws_elb_logging_enabled;aws_rds_instance_integration_cloudwatch_logs;aws_redshift_cluster_audit_logging;aws_s3_bucket_server_access_logging_enabled,azure_api_management_restapi_logging_enabled;azure_monitor_multi_region_enabled;azure_monitor_s3_dataevents_read_enabled;azure_monitor_s3_dataevents_write_enabled;azure_monitor_cloudwatch_logging_enabled;azure_load_balancer_logging_enabled;azure_sql_instance_integration_cloudwatch_logs;azure_synapse_cluster_audit_logging;azure_storage_bucket_server_access_logging_enabled,gcp_api_gateway_restapi_logging_enabled;gcp_logging_multi_region_enabled;gcp_logging_s3_dataevents_read_enabled;gcp_logging_s3_dataevents_write_enabled;gcp_logging_cloudwatch_logging_enabled;gcp_load_balancing_logging_enabled;gcp_sql_instance_integration_cloudwatch_logs;gcp_bigquery_cluster_audit_logging;gcp_storage_bucket_server_access_logging_enabled,oracle_api_gateway_restapi_logging_enabled;oracle_audit_multi_region_enabled;oracle_audit_s3_dataevents_read_enabled;oracle_audit_s3_dataevents_write_enabled;oracle_audit_cloudwatch_logging_enabled;oracle_load_balancer_logging_enabled;oracle_database_instance_integration_cloudwatch_logs;oracle_autonomous_dw_cluster_audit_logging;oracle_object_storage_bucket_server_access_logging_enabled,ibm_api_connect_restapi_logging_enabled;ibm_activity_tracker_multi_region_enabled;ibm_activity_tracker_s3_dataevents_read_enabled;ibm_activity_tracker_s3_dataevents_write_enabled;ibm_activity_tracker_cloudwatch_logging_enabled;ibm_load_balancer_logging_enabled;ibm_databases_instance_integration_cloudwatch_logs;ibm_db2_warehouse_cluster_audit_logging;ibm_cos_bucket_server_access_logging_enabled,alicloud_api_gateway_restapi_logging_enabled;alicloud_actiontrail_multi_region_enabled;alicloud_actiontrail_s3_dataevents_read_enabled;alicloud_actiontrail_s3_dataevents_write_enabled;alicloud_actiontrail_cloudwatch_logging_enabled;alicloud_alb_logging_enabled;alicloud_slb_logging_enabled;alicloud_rds_instance_integration_cloudwatch_logs;alicloud_analyticdb_cluster_audit_logging;alicloud_oss_bucket_server_access_logging_enabled,,canada_pbmm/CANADA_PBMM_controls_with_checks.csv
canada_pbmm_moderate_CCCS_AU_2,CANADA_PBMM,Moderate,CCCS AU-2,,CCCS AU-2: Event Logging,,automated,aws_apigateway_restapi_logging_enabled;aws_cloudtrail_multi_region_enabled;aws_cloudtrail_s3_dataevents_read_enabled;aws_cloudtrail_s3_dataevents_write_enabled;aws_cloudtrail_cloudwatch_logging_enabled;aws_elbv2_logging_enabled;aws_elb_logging_enabled;aws_rds_instance_integration_cloudwatch_logs;aws_redshift_cluster_audit_logging;aws_s3_bucket_server_access_logging_enabled,azure_api_management_restapi_logging_enabled;azure_monitor_multi_region_enabled;azure_monitor_s3_dataevents_read_enabled;azure_monitor_s3_dataevents_write_enabled;azure_monitor_cloudwatch_logging_enabled;azure_load_balancer_logging_enabled;azure_sql_instance_integration_cloudwatch_logs;azure_synapse_cluster_audit_logging;azure_storage_bucket_server_access_logging_enabled,gcp_api_gateway_restapi_logging_enabled;gcp_logging_multi_region_enabled;gcp_logging_s3_dataevents_read_enabled;gcp_logging_s3_dataevents_write_enabled;gcp_logging_cloudwatch_logging_enabled;gcp_load_balancing_logging_enabled;gcp_sql_instance_integration_cloudwatch_logs;gcp_bigquery_cluster_audit_logging;gcp_storage_bucket_server_access_logging_enabled,oracle_api_gateway_restapi_logging_enabled;oracle_audit_multi_region_enabled;oracle_audit_s3_dataevents_read_enabled;oracle_audit_s3_dataevents_write_enabled;oracle_audit_cloudwatch_logging_enabled;oracle_load_balancer_logging_enabled;oracle_database_instance_integration_cloudwatch_logs;oracle_autonomous_dw_cluster_audit_logging;oracle_object_storage_bucket_server_access_logging_enabled,ibm_api_connect_restapi_logging_enabled;ibm_activity_tracker_multi_region_enabled;ibm_activity_tracker_s3_dataevents_read_enabled;ibm_activity_tracker_s3_dataevents_write_enabled;ibm_activity_tracker_cloudwatch_logging_enabled;ibm_load_balancer_logging_enabled;ibm_databases_instance_integration_cloudwatch_logs;ibm_db2_warehouse_cluster_audit_logging;ibm_cos_bucket_server_access_logging_enabled,alicloud_api_gateway_restapi_logging_enabled;alicloud_actiontrail_multi_region_enabled;alicloud_actiontrail_s3_dataevents_read_enabled;alicloud_actiontrail_s3_dataevents_write_enabled;alicloud_actiontrail_cloudwatch_logging_enabled;alicloud_alb_logging_enabled;alicloud_slb_logging_enabled;alicloud_rds_instance_integration_cloudwatch_logs;alicloud_analyticdb_cluster_audit_logging;alicloud_oss_bucket_server_access_logging_enabled,,canada_pbmm/CANADA_PBMM_controls_with_checks.csv
canada_pbmm_moderate_CCCS_AU_3,CANADA_PBMM,Moderate,CCCS AU-3,,CCCS AU-3: Content of Audit Records,,automated,aws_apigateway_restapi_logging_enabled;aws_cloudtrail_multi_region_enabled;aws_cloudtrail_s3_dataevents_read_enabled;aws_cloudtrail_s3_dataevents_write_enabled;aws_cloudtrail_cloudwatch_logging_enabled;aws_elbv2_logging_enabled;aws_elb_logging_enabled;aws_rds_instance_integration_cloudwatch_logs;aws_redshift_cluster_audit_logging;aws_s3_bucket_server_access_logging_enabled,azure_api_management_restapi_logging_enabled;azure_monitor_multi_region_enabled;azure_monitor_s3_dataevents_read_enabled;azure_monitor_s3_dataevents_write_enabled;azure_monitor_cloudwatch_logging_enabled;azure_load_balancer_logging_enabled;azure_sql_instance_integration_cloudwatch_logs;azure_synapse_cluster_audit_logging;azure_storage_bucket_server_access_logging_enabled,gcp_api_gateway_restapi_logging_enabled;gcp_logging_multi_region_enabled;gcp_logging_s3_dataevents_read_enabled;gcp_logging_s3_dataevents_write_enabled;gcp_logging_cloudwatch_logging_enabled;gcp_load_balancing_logging_enabled;gcp_sql_instance_integration_cloudwatch_logs;gcp_bigquery_cluster_audit_logging;gcp_storage_bucket_server_access_logging_enabled,oracle_api_gateway_restapi_logging_enabled;oracle_audit_multi_region_enabled;oracle_audit_s3_dataevents_read_enabled;oracle_audit_s3_dataevents_write_enabled;oracle_audit_cloudwatch_logging_enabled;oracle_load_balancer_logging_enabled;oracle_database_instance_integration_cloudwatch_logs;oracle_autonomous_dw_cluster_audit_logging;oracle_object_storage_bucket_server_access_logging_enabled,ibm_api_connect_restapi_logging_enabled;ibm_activity_tracker_multi_region_enabled;ibm_activity_tracker_s3_dataevents_read_enabled;ibm_activity_tracker_s3_dataevents_write_enabled;ibm_activity_tracker_cloudwatch_logging_enabled;ibm_load_balancer_logging_enabled;ibm_databases_instance_integration_cloudwatch_logs;ibm_db2_warehouse_cluster_audit_logging;ibm_cos_bucket_server_access_logging_enabled,alicloud_api_gateway_restapi_logging_enabled;alicloud_actiontrail_multi_region_enabled;alicloud_actiontrail_s3_dataevents_read_enabled;alicloud_actiontrail_s3_dataevents_write_enabled;alicloud_actiontrail_cloudwatch_logging_enabled;alicloud_alb_logging_enabled;alicloud_slb_logging_enabled;alicloud_rds_instance_integration_cloudwatch_logs;alicloud_analyticdb_cluster_audit_logging;alicloud_oss_bucket_server_access_logging_enabled,,canada_pbmm/CANADA_PBMM_controls_with_checks.csv
canada_pbmm_moderate_CCCS_AU_4,CANADA_PBMM,Moderate,CCCS AU-4,,CCCS AU-4: Audit Log Storage Capacity,,manual,,,,,,,,canada_pbmm/CANADA_PBMM_controls_with_checks.csv
canada_pbmm_moderate_CCCS_AU_5,CANADA_PBMM,Moderate,CCCS AU-5,,CCCS AU-5: Response to Audit Logging Process Failures,,manual,,,,,,,,canada_pbmm/CANADA_PBMM_controls_with_checks.csv
canada_pbmm_moderate_CCCS_AU_6,CANADA_PBMM,Moderate,CCCS AU-6,,"CCCS AU-6: Audit Record Review, Analysis, and Reporting",,automated,aws_cloudwatch_log_metric_filter_alarm_configured;aws_cloudwatch_log_analysis_enabled,azure_monitor_log_metric_filter_alarm_configured;azure_monitor_log_analysis_enabled,gcp_logging_log_metric_filter_alarm_configured;gcp_logging_log_analysis_enabled,oracle_logging_log_metric_filter_alarm_configured;oracle_logging_log_analysis_enabled,ibm_log_analysis_log_metric_filter_alarm_configured;ibm_log_analysis_log_analysis_enabled,alicloud_sls_log_metric_filter_alarm_configured;alicloud_sls_log_analysis_enabled,,canada_pbmm/CANADA_PBMM_controls_with_checks.csv
canada_pbmm_moderate_CCCS_AU_7,CANADA_PBMM,Moderate,CCCS AU-7,,CCCS AU-7: Audit Record Reduction and Report Generation,,manual,,,,,,,,canada_pbmm/CANADA_PBMM_controls_with_checks.csv
canada_pbmm_moderate_CCCS_AU_8,CANADA_PBMM,Moderate,CCCS AU-8,,CCCS AU-8: Time Stamps,,automated,aws_apigateway_restapi_logging_enabled;aws_cloudtrail_multi_region_enabled;aws_cloudtrail_s3_dataevents_read_enabled;aws_cloudtrail_s3_dataevents_write_enabled;aws_cloudtrail_cloudwatch_logging_enabled;aws_elbv2_logging_enabled;aws_elb_logging_enabled;aws_rds_instance_integration_cloudwatch_logs;aws_redshift_cluster_audit_logging;aws_s3_bucket_server_access_logging_enabled,azure_api_management_restapi_logging_enabled;azure_monitor_multi_region_enabled;azure_monitor_s3_dataevents_read_enabled;azure_monitor_s3_dataevents_write_enabled;azure_monitor_cloudwatch_logging_enabled;azure_load_balancer_logging_enabled;azure_sql_instance_integration_cloudwatch_logs;azure_synapse_cluster_audit_logging;azure_storage_bucket_server_access_logging_enabled,gcp_api_gateway_restapi_logging_enabled;gcp_logging_multi_region_enabled;gcp_logging_s3_dataevents_read_enabled;gcp_logging_s3_dataevents_write_enabled;gcp_logging_cloudwatch_logging_enabled;gcp_load_balancing_logging_enabled;gcp_sql_instance_integration_cloudwatch_logs;gcp_bigquery_cluster_audit_logging;gcp_storage_bucket_server_access_logging_enabled,oracle_api_gateway_restapi_logging_enabled;oracle_audit_multi_region_enabled;oracle_audit_s3_dataevents_read_enabled;oracle_audit_s3_dataevents_write_enabled;oracle_audit_cloudwatch_logging_enabled;oracle_load_balancer_logging_enabled;oracle_database_instance_integration_cloudwatch_logs;oracle_autonomous_dw_cluster_audit_logging;oracle_object_storage_bucket_server_access_logging_enabled,ibm_api_connect_restapi_logging_enabled;ibm_activity_tracker_multi_region_enabled;ibm_activity_tracker_s3_dataevents_read_enabled;ibm_activity_tracker_s3_dataevents_write_enabled;ibm_activity_tracker_cloudwatch_logging_enabled;ibm_load_balancer_logging_enabled;ibm_databases_instance_integration_cloudwatch_logs;ibm_db2_warehouse_cluster_audit_logging;ibm_cos_bucket_server_access_logging_enabled,alicloud_api_gateway_restapi_logging_enabled;alicloud_actiontrail_multi_region_enabled;alicloud_actiontrail_s3_dataevents_read_enabled;alicloud_actiontrail_s3_dataevents_write_enabled;alicloud_actiontrail_cloudwatch_logging_enabled;alicloud_alb_logging_enabled;alicloud_slb_logging_enabled;alicloud_rds_instance_integration_cloudwatch_logs;alicloud_analyticdb_cluster_audit_logging;alicloud_oss_bucket_server_access_logging_enabled,,canada_pbmm/CANADA_PBMM_controls_with_checks.csv
canada_pbmm_moderate_CCCS_AU_9,CANADA_PBMM,Moderate,CCCS AU-9,,CCCS AU-9: Protection of Audit Information,,automated,aws_cloudtrail_log_file_validation_enabled,azure_monitor_log_file_validation_enabled,gcp_logging_log_file_validation_enabled,oracle_audit_log_file_validation_enabled,ibm_activity_tracker_log_file_validation_enabled,alicloud_actiontrail_log_file_validation_enabled,,canada_pbmm/CANADA_PBMM_controls_with_checks.csv
canada_pbmm_moderate_CCCS_CA_1,CANADA_PBMM,Moderate,CCCS CA-1,,CCCS CA-1: Policy and Procedures,,manual,,,,,,,,canada_pbmm/CANADA_PBMM_controls_with_checks.csv
canada_pbmm_moderate_CCCS_CA_2,CANADA_PBMM,Moderate,CCCS CA-2,,CCCS CA-2: Control Assessments,,automated,aws_guardduty_is_enabled;aws_securityhub_enabled,azure_security_center_is_enabled;azure_security_center_enabled,gcp_security_command_center_is_enabled;gcp_security_command_center_enabled,oracle_cloud_guard_is_enabled;oracle_cloud_guard_enabled,ibm_security_advisor_is_enabled;ibm_security_advisor_enabled,alicloud_threat_detection_is_enabled;alicloud_security_center_enabled,,canada_pbmm/CANADA_PBMM_controls_with_checks.csv
canada_pbmm_moderate_CCCS_CA_3,CANADA_PBMM,Moderate,CCCS CA-3,,CCCS CA-3: Information Exchange,,manual,,,,,,,,canada_pbmm/CANADA_PBMM_controls_with_checks.csv
canada_pbmm_moderate_CCCS_CA_5,CANADA_PBMM,Moderate,CCCS CA-5,,CCCS CA-5: Plan of Action and Milestones,,manual,,,,,,,,canada_pbmm/CANADA_PBMM_controls_with_checks.csv
canada_pbmm_moderate_CCCS_CA_6,CANADA_PBMM,Moderate,CCCS CA-6,,CCCS CA-6: Authorization,,manual,,,,,,,,canada_pbmm/CANADA_PBMM_controls_with_checks.csv
canada_pbmm_moderate_CCCS_CA_7,CANADA_PBMM,Moderate,CCCS CA-7,,CCCS CA-7: Continuous Monitoring,,automated,aws_cloudwatch_changes_to_network_acls_alarm_configured;aws_cloudwatch_changes_to_network_gateways_alarm_configured;aws_cloudwatch_changes_to_network_route_tables_alarm_configured;aws_cloudwatch_changes_to_vpcs_alarm_configured;aws_guardduty_is_enabled;aws_rds_instance_enhanced_monitoring_enabled;aws_securityhub_enabled;aws_apigateway_restapi_logging_enabled;aws_cloudtrail_multi_region_enabled;aws_cloudtrail_s3_dataevents_read_enabled;aws_cloudtrail_s3_dataevents_write_enabled;aws_cloudtrail_cloudwatch_logging_enabled;aws_cloudwatch_log_group_retention_policy_specific_days_enabled,azure_monitor_changes_to_network_acls_alarm_configured;azure_monitor_changes_to_network_gateways_alarm_configured;azure_monitor_changes_to_network_route_tables_alarm_configured;azure_monitor_changes_to_vpcs_alarm_configured;azure_security_center_is_enabled;azure_sql_instance_enhanced_monitoring_enabled;azure_security_center_enabled;azure_api_management_restapi_logging_enabled;azure_monitor_multi_region_enabled;azure_monitor_s3_dataevents_read_enabled;azure_monitor_s3_dataevents_write_enabled;azure_monitor_cloudwatch_logging_enabled;azure_monitor_log_group_retention_policy_specific_days_enabled,gcp_monitoring_changes_to_network_acls_alarm_configured;gcp_monitoring_changes_to_network_gateways_alarm_configured;gcp_monitoring_changes_to_network_route_tables_alarm_configured;gcp_monitoring_changes_to_vpcs_alarm_configured;gcp_security_command_center_is_enabled;gcp_sql_instance_enhanced_monitoring_enabled;gcp_security_command_center_enabled;gcp_api_gateway_restapi_logging_enabled;gcp_logging_multi_region_enabled;gcp_logging_s3_dataevents_read_enabled;gcp_logging_s3_dataevents_write_enabled;gcp_logging_cloudwatch_logging_enabled;gcp_monitoring_log_group_retention_policy_specific_days_enabled,oracle_monitoring_changes_to_network_acls_alarm_configured;oracle_monitoring_changes_to_network_gateways_alarm_configured;oracle_monitoring_changes_to_network_route_tables_alarm_configured;oracle_monitoring_changes_to_vpcs_alarm_configured;oracle_cloud_guard_is_enabled;oracle_database_instance_enhanced_monitoring_enabled;oracle_cloud_guard_enabled;oracle_api_gateway_restapi_logging_enabled;oracle_audit_multi_region_enabled;oracle_audit_s3_dataevents_read_enabled;oracle_audit_s3_dataevents_write_enabled;oracle_audit_cloudwatch_logging_enabled;oracle_monitoring_log_group_retention_policy_specific_days_enabled,ibm_monitoring_changes_to_network_acls_alarm_configured;ibm_monitoring_changes_to_network_gateways_alarm_configured;ibm_monitoring_changes_to_network_route_tables_alarm_configured;ibm_monitoring_changes_to_vpcs_alarm_configured;ibm_security_advisor_is_enabled;ibm_databases_instance_enhanced_monitoring_enabled;ibm_security_advisor_enabled;ibm_api_connect_restapi_logging_enabled;ibm_activity_tracker_multi_region_enabled;ibm_activity_tracker_s3_dataevents_read_enabled;ibm_activity_tracker_s3_dataevents_write_enabled;ibm_activity_tracker_cloudwatch_logging_enabled;ibm_monitoring_log_group_retention_policy_specific_days_enabled,alicloud_cms_changes_to_network_acls_alarm_configured;alicloud_cms_changes_to_network_gateways_alarm_configured;alicloud_cms_changes_to_network_route_tables_alarm_configured;alicloud_cms_changes_to_vpcs_alarm_configured;alicloud_threat_detection_is_enabled;alicloud_rds_instance_enhanced_monitoring_enabled;alicloud_security_center_enabled;alicloud_api_gateway_restapi_logging_enabled;alicloud_actiontrail_multi_region_enabled;alicloud_actiontrail_s3_dataevents_read_enabled;alicloud_actiontrail_s3_dataevents_write_enabled;alicloud_actiontrail_cloudwatch_logging_enabled;alicloud_cms_log_group_retention_policy_specific_days_enabled,,canada_pbmm/CANADA_PBMM_controls_with_checks.csv
canada_pbmm_moderate_CCCS_CA_9,CANADA_PBMM,Moderate,CCCS CA-9,,CCCS CA-9: Internal System Connections,,automated,aws_apigateway_restapi_client_certificate_enabled;aws_elb_ssl_listeners;aws_opensearch_service_domains_node_to_node_encryption_enabled;aws_s3_bucket_secure_transport_policy,azure_api_management_restapi_client_certificate_enabled;azure_load_balancer_ssl_listeners;azure_search_service_domains_node_to_node_encryption_enabled;azure_storage_bucket_secure_transport_policy,gcp_api_gateway_restapi_client_certificate_enabled;gcp_load_balancing_ssl_listeners;gcp_elasticsearch_service_domains_node_to_node_encryption_enabled;gcp_storage_bucket_secure_transport_policy,oracle_api_gateway_restapi_client_certificate_enabled;oracle_load_balancer_ssl_listeners;oracle_opensearch_service_domains_node_to_node_encryption_enabled;oracle_object_storage_bucket_secure_transport_policy,ibm_api_connect_restapi_client_certificate_enabled;ibm_load_balancer_ssl_listeners;ibm_databases_service_domains_node_to_node_encryption_enabled;ibm_cos_bucket_secure_transport_policy,alicloud_api_gateway_restapi_client_certificate_enabled;alicloud_slb_ssl_listeners;alicloud_elasticsearch_service_domains_node_to_node_encryption_enabled;alicloud_oss_bucket_secure_transport_policy,,canada_pbmm/CANADA_PBMM_controls_with_checks.csv
canada_pbmm_moderate_CCCS_CM_1,CANADA_PBMM,Moderate,CCCS CM-1,,CCCS CM-1: Policy and Procedures,,manual,,,,,,,,canada_pbmm/CANADA_PBMM_controls_with_checks.csv
canada_pbmm_moderate_CCCS_CM_10,CANADA_PBMM,Moderate,CCCS CM-10,,CCCS CM-10: Software Usage Restrictions,,manual,,,,,,,,canada_pbmm/CANADA_PBMM_controls_with_checks.csv
