Control_ID,Title,FedRAMP_Baseline,Automation_Type,AWS_Checks,Azure_Checks,GCP_Checks,Oracle_Checks,IBM_Checks,Alicloud_Checks,Total_Checks
AC-4,Information Flow Enforcement,High,manual,,,,,,,0
AC-4 (4),Information Flow Enforcement | Flow Control of Encrypted Information,High,manual,,,,,,,0
AC-4 (21),Information Flow Enforcement | Physical or Logical Separation of Information Flows,High,manual,,,,,,,0
AC-5,Separation of Duties,High,automated,aws_iam_aws_attached_policy_no_administrative_privileges; aws_iam_customer_attached_policy_no_administrative_privileges; aws_iam_inline_policy_no_administrative_privileges,azure_active_directory_aws_attached_policy_no_administrative_privileges; azure_active_directory_customer_attached_policy_no_administrative_privileges; azure_active_directory_inline_policy_no_administrative_privileges,gcp_iam_aws_attached_policy_no_administrative_privileges; gcp_iam_customer_attached_policy_no_administrative_privileges; gcp_iam_inline_policy_no_administrative_privileges,oracle_identity_aws_attached_policy_no_administrative_privileges; oracle_identity_customer_attached_policy_no_administrative_privileges; oracle_identity_inline_policy_no_administrative_privileges,ibm_iam_aws_attached_policy_no_administrative_privileges; ibm_iam_customer_attached_policy_no_administrative_privileges; ibm_iam_inline_policy_no_administrative_privileges,alicloud_ram_aws_attached_policy_no_administrative_privileges; alicloud_ram_customer_attached_policy_no_administrative_privileges; alicloud_ram_inline_policy_no_administrative_privileges,18
AC-6,Least Privilege,High,automated,aws_iam_policy_no_administrative_privileges; aws_iam_role_least_privilege; aws_iam_policy_overly_permissive,azure_active_directory_policy_no_administrative_privileges; azure_active_directory_role_least_privilege; azure_active_directory_policy_overly_permissive,gcp_iam_policy_no_administrative_privileges; gcp_iam_role_least_privilege; gcp_iam_policy_overly_permissive,oracle_identity_policy_no_administrative_privileges; oracle_identity_role_least_privilege; oracle_identity_policy_overly_permissive,ibm_iam_policy_no_administrative_privileges; ibm_iam_role_least_privilege; ibm_iam_policy_overly_permissive,alicloud_ram_policy_no_administrative_privileges; alicloud_ram_role_least_privilege; alicloud_ram_policy_overly_permissive,18
AC-6 (1),Least Privilege | Authorize Access to Security Functions,High,manual,,,,,,,0
AC-6 (2),Least Privilege | Non-privileged Access for Nonsecurity Functions,High,manual,,,,,,,0
AC-6 (3),Least Privilege | Network Access to Privileged Commands,High,manual,,,,,,,0
AC-6 (5),Least Privilege | Privileged Accounts,High,manual,,,,,,,0
AC-6 (7),Least Privilege | Review of User Privileges,High,manual,,,,,,,0
AC-6 (8),Least Privilege | Privilege Levels for Code Execution,High,manual,,,,,,,0
AC-6 (9),Least Privilege | Log Use of Privileged Functions,High,manual,,,,,,,0
AC-6 (10),Least Privilege | Prohibit Non-privileged Users from Executing Privileged Functions,High,manual,,,,,,,0
AC-7,Unsuccessful Logon Attempts,High,manual,,,,,,,0
AC-8,System Use Notification,High,manual,,,,,,,0
AC-10,Concurrent Session Control,High,manual,,,,,,,0
AC-11,Device Lock,High,manual,,,,,,,0
AC-11 (1),Device Lock | Pattern-hiding Displays,High,manual,,,,,,,0
AC-12,Session Termination,High,manual,,,,,,,0
AC-14,Permitted Actions Without Identification or Authentication,High,manual,,,,,,,0
AC-17,Remote Access,High,automated,aws_ec2_ebs_public_snapshot; aws_ec2_instance_public_ip; aws_emr_cluster_master_nodes_no_public_ip; aws_awslambda_function_not_publicly_accessible; aws_awslambda_function_url_public; aws_rds_instance_no_public_access; aws_rds_snapshots_public_access; aws_redshift_cluster_public_access; aws_s3_bucket_public_access; aws_s3_bucket_policy_public_write_access,azure_compute_ebs_public_snapshot; azure_compute_instance_public_ip; azure_hdinsight_cluster_master_nodes_no_public_ip; azure_functions_function_not_publicly_accessible; azure_functions_function_url_public; azure_sql_instance_no_public_access; azure_sql_snapshots_public_access; azure_synapse_cluster_public_access; azure_storage_bucket_public_access; azure_storage_bucket_policy_public_write_access,gcp_compute_ebs_public_snapshot; gcp_compute_instance_public_ip; gcp_dataproc_cluster_master_nodes_no_public_ip; gcp_functions_function_not_publicly_accessible; gcp_functions_function_url_public; gcp_sql_instance_no_public_access; gcp_sql_snapshots_public_access; gcp_bigquery_cluster_public_access; gcp_storage_bucket_public_access; gcp_storage_bucket_policy_public_write_access,oracle_compute_ebs_public_snapshot; oracle_compute_instance_public_ip; oracle_big_data_cluster_master_nodes_no_public_ip; oracle_functions_function_not_publicly_accessible; oracle_functions_function_url_public; oracle_database_instance_no_public_access; oracle_database_snapshots_public_access; oracle_autonomous_dw_cluster_public_access; oracle_object_storage_bucket_public_access; oracle_object_storage_bucket_policy_public_write_access,ibm_vpc_ebs_public_snapshot; ibm_vpc_instance_public_ip; ibm_analytics_engine_cluster_master_nodes_no_public_ip; ibm_functions_function_not_publicly_accessible; ibm_functions_function_url_public; ibm_databases_instance_no_public_access; ibm_databases_snapshots_public_access; ibm_db2_warehouse_cluster_public_access; ibm_cos_bucket_public_access; ibm_cos_bucket_policy_public_write_access,alicloud_ecs_ebs_public_snapshot; alicloud_ecs_instance_public_ip; alicloud_emr_cluster_master_nodes_no_public_ip; alicloud_function_compute_function_not_publicly_accessible; alicloud_function_compute_function_url_public; alicloud_rds_instance_no_public_access; alicloud_rds_snapshots_public_access; alicloud_analyticdb_cluster_public_access; alicloud_oss_bucket_public_access; alicloud_oss_bucket_policy_public_write_access,60
AC-17 (1),Remote Access | Monitoring and Control,High,automated,aws_ec2_ebs_public_snapshot; aws_ec2_instance_public_ip; aws_emr_cluster_master_nodes_no_public_ip; aws_awslambda_function_not_publicly_accessible; aws_awslambda_function_url_public; aws_rds_instance_no_public_access; aws_rds_snapshots_public_access; aws_redshift_cluster_public_access; aws_s3_bucket_public_access; aws_s3_bucket_policy_public_write_access,azure_compute_ebs_public_snapshot; azure_compute_instance_public_ip; azure_hdinsight_cluster_master_nodes_no_public_ip; azure_functions_function_not_publicly_accessible; azure_functions_function_url_public; azure_sql_instance_no_public_access; azure_sql_snapshots_public_access; azure_synapse_cluster_public_access; azure_storage_bucket_public_access; azure_storage_bucket_policy_public_write_access,gcp_compute_ebs_public_snapshot; gcp_compute_instance_public_ip; gcp_dataproc_cluster_master_nodes_no_public_ip; gcp_functions_function_not_publicly_accessible; gcp_functions_function_url_public; gcp_sql_instance_no_public_access; gcp_sql_snapshots_public_access; gcp_bigquery_cluster_public_access; gcp_storage_bucket_public_access; gcp_storage_bucket_policy_public_write_access,oracle_compute_ebs_public_snapshot; oracle_compute_instance_public_ip; oracle_big_data_cluster_master_nodes_no_public_ip; oracle_functions_function_not_publicly_accessible; oracle_functions_function_url_public; oracle_database_instance_no_public_access; oracle_database_snapshots_public_access; oracle_autonomous_dw_cluster_public_access; oracle_object_storage_bucket_public_access; oracle_object_storage_bucket_policy_public_write_access,ibm_vpc_ebs_public_snapshot; ibm_vpc_instance_public_ip; ibm_analytics_engine_cluster_master_nodes_no_public_ip; ibm_functions_function_not_publicly_accessible; ibm_functions_function_url_public; ibm_databases_instance_no_public_access; ibm_databases_snapshots_public_access; ibm_db2_warehouse_cluster_public_access; ibm_cos_bucket_public_access; ibm_cos_bucket_policy_public_write_access,alicloud_ecs_ebs_public_snapshot; alicloud_ecs_instance_public_ip; alicloud_emr_cluster_master_nodes_no_public_ip; alicloud_function_compute_function_not_publicly_accessible; alicloud_function_compute_function_url_public; alicloud_rds_instance_no_public_access; alicloud_rds_snapshots_public_access; alicloud_analyticdb_cluster_public_access; alicloud_oss_bucket_public_access; alicloud_oss_bucket_policy_public_write_access,60
AC-17 (2),Remote Access | Protection of Confidentiality and Integrity Using Encryption,High,automated,aws_ec2_ebs_public_snapshot; aws_ec2_instance_public_ip; aws_emr_cluster_master_nodes_no_public_ip; aws_awslambda_function_not_publicly_accessible; aws_awslambda_function_url_public; aws_rds_instance_no_public_access; aws_rds_snapshots_public_access; aws_redshift_cluster_public_access; aws_s3_bucket_public_access; aws_s3_bucket_policy_public_write_access,azure_compute_ebs_public_snapshot; azure_compute_instance_public_ip; azure_hdinsight_cluster_master_nodes_no_public_ip; azure_functions_function_not_publicly_accessible; azure_functions_function_url_public; azure_sql_instance_no_public_access; azure_sql_snapshots_public_access; azure_synapse_cluster_public_access; azure_storage_bucket_public_access; azure_storage_bucket_policy_public_write_access,gcp_compute_ebs_public_snapshot; gcp_compute_instance_public_ip; gcp_dataproc_cluster_master_nodes_no_public_ip; gcp_functions_function_not_publicly_accessible; gcp_functions_function_url_public; gcp_sql_instance_no_public_access; gcp_sql_snapshots_public_access; gcp_bigquery_cluster_public_access; gcp_storage_bucket_public_access; gcp_storage_bucket_policy_public_write_access,oracle_compute_ebs_public_snapshot; oracle_compute_instance_public_ip; oracle_big_data_cluster_master_nodes_no_public_ip; oracle_functions_function_not_publicly_accessible; oracle_functions_function_url_public; oracle_database_instance_no_public_access; oracle_database_snapshots_public_access; oracle_autonomous_dw_cluster_public_access; oracle_object_storage_bucket_public_access; oracle_object_storage_bucket_policy_public_write_access,ibm_vpc_ebs_public_snapshot; ibm_vpc_instance_public_ip; ibm_analytics_engine_cluster_master_nodes_no_public_ip; ibm_functions_function_not_publicly_accessible; ibm_functions_function_url_public; ibm_databases_instance_no_public_access; ibm_databases_snapshots_public_access; ibm_db2_warehouse_cluster_public_access; ibm_cos_bucket_public_access; ibm_cos_bucket_policy_public_write_access,alicloud_ecs_ebs_public_snapshot; alicloud_ecs_instance_public_ip; alicloud_emr_cluster_master_nodes_no_public_ip; alicloud_function_compute_function_not_publicly_accessible; alicloud_function_compute_function_url_public; alicloud_rds_instance_no_public_access; alicloud_rds_snapshots_public_access; alicloud_analyticdb_cluster_public_access; alicloud_oss_bucket_public_access; alicloud_oss_bucket_policy_public_write_access,60
AC-17 (3),Remote Access | Managed Access Control Points,High,automated,aws_ec2_ebs_public_snapshot; aws_ec2_instance_public_ip; aws_emr_cluster_master_nodes_no_public_ip; aws_awslambda_function_not_publicly_accessible; aws_awslambda_function_url_public; aws_rds_instance_no_public_access; aws_rds_snapshots_public_access; aws_redshift_cluster_public_access; aws_s3_bucket_public_access; aws_s3_bucket_policy_public_write_access,azure_compute_ebs_public_snapshot; azure_compute_instance_public_ip; azure_hdinsight_cluster_master_nodes_no_public_ip; azure_functions_function_not_publicly_accessible; azure_functions_function_url_public; azure_sql_instance_no_public_access; azure_sql_snapshots_public_access; azure_synapse_cluster_public_access; azure_storage_bucket_public_access; azure_storage_bucket_policy_public_write_access,gcp_compute_ebs_public_snapshot; gcp_compute_instance_public_ip; gcp_dataproc_cluster_master_nodes_no_public_ip; gcp_functions_function_not_publicly_accessible; gcp_functions_function_url_public; gcp_sql_instance_no_public_access; gcp_sql_snapshots_public_access; gcp_bigquery_cluster_public_access; gcp_storage_bucket_public_access; gcp_storage_bucket_policy_public_write_access,oracle_compute_ebs_public_snapshot; oracle_compute_instance_public_ip; oracle_big_data_cluster_master_nodes_no_public_ip; oracle_functions_function_not_publicly_accessible; oracle_functions_function_url_public; oracle_database_instance_no_public_access; oracle_database_snapshots_public_access; oracle_autonomous_dw_cluster_public_access; oracle_object_storage_bucket_public_access; oracle_object_storage_bucket_policy_public_write_access,ibm_vpc_ebs_public_snapshot; ibm_vpc_instance_public_ip; ibm_analytics_engine_cluster_master_nodes_no_public_ip; ibm_functions_function_not_publicly_accessible; ibm_functions_function_url_public; ibm_databases_instance_no_public_access; ibm_databases_snapshots_public_access; ibm_db2_warehouse_cluster_public_access; ibm_cos_bucket_public_access; ibm_cos_bucket_policy_public_write_access,alicloud_ecs_ebs_public_snapshot; alicloud_ecs_instance_public_ip; alicloud_emr_cluster_master_nodes_no_public_ip; alicloud_function_compute_function_not_publicly_accessible; alicloud_function_compute_function_url_public; alicloud_rds_instance_no_public_access; alicloud_rds_snapshots_public_access; alicloud_analyticdb_cluster_public_access; alicloud_oss_bucket_public_access; alicloud_oss_bucket_policy_public_write_access,60
AC-17 (4),Remote Access | Privileged Commands and Access,High,automated,aws_ec2_ebs_public_snapshot; aws_ec2_instance_public_ip; aws_emr_cluster_master_nodes_no_public_ip; aws_awslambda_function_not_publicly_accessible; aws_awslambda_function_url_public; aws_rds_instance_no_public_access; aws_rds_snapshots_public_access; aws_redshift_cluster_public_access; aws_s3_bucket_public_access; aws_s3_bucket_policy_public_write_access,azure_compute_ebs_public_snapshot; azure_compute_instance_public_ip; azure_hdinsight_cluster_master_nodes_no_public_ip; azure_functions_function_not_publicly_accessible; azure_functions_function_url_public; azure_sql_instance_no_public_access; azure_sql_snapshots_public_access; azure_synapse_cluster_public_access; azure_storage_bucket_public_access; azure_storage_bucket_policy_public_write_access,gcp_compute_ebs_public_snapshot; gcp_compute_instance_public_ip; gcp_dataproc_cluster_master_nodes_no_public_ip; gcp_functions_function_not_publicly_accessible; gcp_functions_function_url_public; gcp_sql_instance_no_public_access; gcp_sql_snapshots_public_access; gcp_bigquery_cluster_public_access; gcp_storage_bucket_public_access; gcp_storage_bucket_policy_public_write_access,oracle_compute_ebs_public_snapshot; oracle_compute_instance_public_ip; oracle_big_data_cluster_master_nodes_no_public_ip; oracle_functions_function_not_publicly_accessible; oracle_functions_function_url_public; oracle_database_instance_no_public_access; oracle_database_snapshots_public_access; oracle_autonomous_dw_cluster_public_access; oracle_object_storage_bucket_public_access; oracle_object_storage_bucket_policy_public_write_access,ibm_vpc_ebs_public_snapshot; ibm_vpc_instance_public_ip; ibm_analytics_engine_cluster_master_nodes_no_public_ip; ibm_functions_function_not_publicly_accessible; ibm_functions_function_url_public; ibm_databases_instance_no_public_access; ibm_databases_snapshots_public_access; ibm_db2_warehouse_cluster_public_access; ibm_cos_bucket_public_access; ibm_cos_bucket_policy_public_write_access,alicloud_ecs_ebs_public_snapshot; alicloud_ecs_instance_public_ip; alicloud_emr_cluster_master_nodes_no_public_ip; alicloud_function_compute_function_not_publicly_accessible; alicloud_function_compute_function_url_public; alicloud_rds_instance_no_public_access; alicloud_rds_snapshots_public_access; alicloud_analyticdb_cluster_public_access; alicloud_oss_bucket_public_access; alicloud_oss_bucket_policy_public_write_access,60
AC-18,Wireless Access,High,manual,,,,,,,0
AC-18 (1),Wireless Access | Authentication and Encryption,High,manual,,,,,,,0
AC-18 (3),Wireless Access | Disable Wireless Networking,High,manual,,,,,,,0
AC-18 (4),Wireless Access | Restrict Configurations by Users,High,manual,,,,,,,0
AC-18 (5),Wireless Access | Antennas and Transmission Power Levels,High,manual,,,,,,,0
AC-19,Access Control for Mobile Devices,High,manual,,,,,,,0
AC-19 (5),Access Control for Mobile Devices | Full Device or Container-based Encryption,High,manual,,,,,,,0
AC-20,Use of External Systems,High,manual,,,,,,,0
AC-20 (1),Use of External Systems | Limits on Authorized Use,High,manual,,,,,,,0
AC-20 (2),Use of External Systems | Portable Storage Devices — Restricted Use,High,manual,,,,,,,0
AC-21,Information Sharing,High,manual,,,,,,,0
AC-22,Publicly Accessible Content,High,manual,,,,,,,0
AT-1,Policy and Procedures,High,manual,,,,,,,0
AT-2,Literacy Training and Awareness,High,manual,,,,,,,0
AT-2 (2),Literacy Training and Awareness | Insider Threat,High,manual,,,,,,,0
AT-2 (3),Literacy Training and Awareness | Social Engineering and Mining,High,manual,,,,,,,0
AT-3,Role-based Training,High,manual,,,,,,,0
AT-4,Training Records,High,manual,,,,,,,0
AU-1,Policy and Procedures,High,manual,,,,,,,0
AU-2,Event Logging,High,automated,aws_apigateway_restapi_logging_enabled; aws_cloudtrail_multi_region_enabled; aws_cloudtrail_s3_dataevents_read_enabled; aws_cloudtrail_s3_dataevents_write_enabled; aws_cloudtrail_cloudwatch_logging_enabled; aws_elbv2_logging_enabled; aws_elb_logging_enabled; aws_rds_instance_integration_cloudwatch_logs; aws_redshift_cluster_audit_logging; aws_s3_bucket_server_access_logging_enabled,azure_api_management_restapi_logging_enabled; azure_monitor_multi_region_enabled; azure_monitor_s3_dataevents_read_enabled; azure_monitor_s3_dataevents_write_enabled; azure_monitor_cloudwatch_logging_enabled; azure_load_balancer_logging_enabled; azure_load_balancer_logging_enabled; azure_sql_instance_integration_cloudwatch_logs; azure_synapse_cluster_audit_logging; azure_storage_bucket_server_access_logging_enabled,gcp_api_gateway_restapi_logging_enabled; gcp_logging_multi_region_enabled; gcp_logging_s3_dataevents_read_enabled; gcp_logging_s3_dataevents_write_enabled; gcp_logging_cloudwatch_logging_enabled; gcp_load_balancing_logging_enabled; gcp_load_balancing_logging_enabled; gcp_sql_instance_integration_cloudwatch_logs; gcp_bigquery_cluster_audit_logging; gcp_storage_bucket_server_access_logging_enabled,oracle_api_gateway_restapi_logging_enabled; oracle_audit_multi_region_enabled; oracle_audit_s3_dataevents_read_enabled; oracle_audit_s3_dataevents_write_enabled; oracle_audit_cloudwatch_logging_enabled; oracle_load_balancer_logging_enabled; oracle_load_balancer_logging_enabled; oracle_database_instance_integration_cloudwatch_logs; oracle_autonomous_dw_cluster_audit_logging; oracle_object_storage_bucket_server_access_logging_enabled,ibm_api_connect_restapi_logging_enabled; ibm_activity_tracker_multi_region_enabled; ibm_activity_tracker_s3_dataevents_read_enabled; ibm_activity_tracker_s3_dataevents_write_enabled; ibm_activity_tracker_cloudwatch_logging_enabled; ibm_load_balancer_logging_enabled; ibm_load_balancer_logging_enabled; ibm_databases_instance_integration_cloudwatch_logs; ibm_db2_warehouse_cluster_audit_logging; ibm_cos_bucket_server_access_logging_enabled,alicloud_api_gateway_restapi_logging_enabled; alicloud_actiontrail_multi_region_enabled; alicloud_actiontrail_s3_dataevents_read_enabled; alicloud_actiontrail_s3_dataevents_write_enabled; alicloud_actiontrail_cloudwatch_logging_enabled; alicloud_alb_logging_enabled; alicloud_slb_logging_enabled; alicloud_rds_instance_integration_cloudwatch_logs; alicloud_analyticdb_cluster_audit_logging; alicloud_oss_bucket_server_access_logging_enabled,60
AU-3,Content of Audit Records,High,automated,aws_apigateway_restapi_logging_enabled; aws_cloudtrail_multi_region_enabled; aws_cloudtrail_s3_dataevents_read_enabled; aws_cloudtrail_s3_dataevents_write_enabled; aws_cloudtrail_cloudwatch_logging_enabled; aws_elbv2_logging_enabled; aws_elb_logging_enabled; aws_rds_instance_integration_cloudwatch_logs; aws_redshift_cluster_audit_logging; aws_s3_bucket_server_access_logging_enabled,azure_api_management_restapi_logging_enabled; azure_monitor_multi_region_enabled; azure_monitor_s3_dataevents_read_enabled; azure_monitor_s3_dataevents_write_enabled; azure_monitor_cloudwatch_logging_enabled; azure_load_balancer_logging_enabled; azure_load_balancer_logging_enabled; azure_sql_instance_integration_cloudwatch_logs; azure_synapse_cluster_audit_logging; azure_storage_bucket_server_access_logging_enabled,gcp_api_gateway_restapi_logging_enabled; gcp_logging_multi_region_enabled; gcp_logging_s3_dataevents_read_enabled; gcp_logging_s3_dataevents_write_enabled; gcp_logging_cloudwatch_logging_enabled; gcp_load_balancing_logging_enabled; gcp_load_balancing_logging_enabled; gcp_sql_instance_integration_cloudwatch_logs; gcp_bigquery_cluster_audit_logging; gcp_storage_bucket_server_access_logging_enabled,oracle_api_gateway_restapi_logging_enabled; oracle_audit_multi_region_enabled; oracle_audit_s3_dataevents_read_enabled; oracle_audit_s3_dataevents_write_enabled; oracle_audit_cloudwatch_logging_enabled; oracle_load_balancer_logging_enabled; oracle_load_balancer_logging_enabled; oracle_database_instance_integration_cloudwatch_logs; oracle_autonomous_dw_cluster_audit_logging; oracle_object_storage_bucket_server_access_logging_enabled,ibm_api_connect_restapi_logging_enabled; ibm_activity_tracker_multi_region_enabled; ibm_activity_tracker_s3_dataevents_read_enabled; ibm_activity_tracker_s3_dataevents_write_enabled; ibm_activity_tracker_cloudwatch_logging_enabled; ibm_load_balancer_logging_enabled; ibm_load_balancer_logging_enabled; ibm_databases_instance_integration_cloudwatch_logs; ibm_db2_warehouse_cluster_audit_logging; ibm_cos_bucket_server_access_logging_enabled,alicloud_api_gateway_restapi_logging_enabled; alicloud_actiontrail_multi_region_enabled; alicloud_actiontrail_s3_dataevents_read_enabled; alicloud_actiontrail_s3_dataevents_write_enabled; alicloud_actiontrail_cloudwatch_logging_enabled; alicloud_alb_logging_enabled; alicloud_slb_logging_enabled; alicloud_rds_instance_integration_cloudwatch_logs; alicloud_analyticdb_cluster_audit_logging; alicloud_oss_bucket_server_access_logging_enabled,60
