csp,total_mapped_functions,total_needs_development
cis_alicloud_alicloud_6.2_0179,0000003,0000000
cis_alicloud_alicloud_6.3.1_0115,0000003,0000000
cis_alicloud_alicloud_6.3.2_0116,0000003,0000000
cis_alicloud_alicloud_6.3.3_0117,0000001,0000000
cis_alicloud_alicloud_6.3.4_0118,0000003,0000000
cis_alicloud_alicloud_6.3.5_0119,0000001,0000000
cis_alicloud_alicloud_6.3_0180,0000003,0000000
cis_alicloud_alicloud_6.4.1_0120,0000003,0000000
cis_alicloud_alicloud_6.4_0181,0000003,0000000
cis_alicloud_alicloud_6.5.1_0121,0000001,0000000
cis_alicloud_alicloud_6.5_0182,0000003,0000000
cis_alicloud_alicloud_6.6.1_0122,0000003,0000000
cis_alicloud_alicloud_6.6.2_0123,0000003,0000000
cis_alicloud_alicloud_6.6.4_0125,0000003,0000000
cis_alicloud_alicloud_6.6_0183,0000003,0000000
cis_alicloud_alicloud_6.7_0184,0000003,0000000
cis_alicloud_alicloud_6.8_0185,0000003,0000000
cis_alicloud_alicloud_6.9_0186,0000003,0000000
cis_alicloud_alicloud_7.1_0187,0000003,0000000
cis_alicloud_alicloud_7.2_0188,0000003,0000000
cis_alicloud_alicloud_7.3_0189,0000003,0000000
cis_alicloud_alicloud_7.4_0190,0000003,0000000
cis_alicloud_alicloud_7.5_0191,0000003,0000000
cis_alicloud_alicloud_7.6_0192,0000003,0000000
cis_alicloud_alicloud_7.7_0193,0000003,0000000
cis_alicloud_alicloud_7.8_0194,0000003,0000000
cis_alicloud_alicloud_7.9_0195,0000003,0000000
cis_alicloud_alicloud_8.1_0196,0000003,0000000
cis_alicloud_alicloud_8.2_0197,0000003,0000000
cis_alicloud_alicloud_8.3_0198,0000003,0000000
cis_alicloud_alicloud_8.4_0199,0000003,0000000
cis_alicloud_alicloud_8.5_0200,0000003,0000000
cis_alicloud_alicloud_8.6_0201,0000003,0000000
cis_alicloud_alicloud_8.7_0202,0000003,0000000
cis_alicloud_alicloud_8.8_0203,0000003,0000000
cis_aws_aws_1.10_0135,1000000,68000000
cis_aws_aws_1.11_0136,3000000,5000000
cis_aws_aws_1.12_0137,3000000,5000000
cis_aws_aws_1.13_0138,2000000,0000000
cis_aws_aws_1.14_0139,1000000,36000000
cis_aws_aws_1.15_0140,4000000,3000000
cis_aws_aws_1.16_0141,2000000,0000000
cis_aws_aws_1.17_0142,2000000,0000000
cis_aws_aws_1.18_0143,2000000,0000000
cis_aws_aws_1.19_0144,2000000,0000000
cis_aws_aws_1.20_0145,4000000,0000000
cis_aws_aws_1.21_0146,2000000,0000000
cis_aws_aws_1.22_0157,2000000,0000000
cis_aws_aws_1.2_0119,0000000,1000000
cis_aws_aws_1.4_0121,1000000,73000000
cis_aws_aws_1.5_0122,3000000,69000000
cis_aws_aws_1.6_0123,3000000,58000000
cis_aws_aws_1.7_0132,1000000,45000000
cis_aws_aws_1.8_0133,1000000,45000000
cis_aws_aws_1.9_0134,1000000,45000000
cis_aws_aws_10.1_0065,2000000,0000000
cis_aws_aws_10.2_0066,2000000,0000000
cis_aws_aws_10.4_0068,2000000,0000000
cis_aws_aws_10.5_0107,2000000,0000000
cis_aws_aws_10.6_0108,2000000,0000000
cis_aws_aws_10.8_0110,2000000,0000000
cis_aws_aws_10.9_0111,2000000,0000000
cis_aws_aws_11.1_0069,2000000,0000000
cis_aws_aws_11.2_0112,0000000,1000000
cis_aws_aws_11.3_0113,0000000,1000000
cis_aws_aws_11.5_0115,0000000,1000000
cis_aws_aws_11.6_0116,0000000,1000000
cis_aws_aws_11.7_0117,0000000,1000000
cis_aws_aws_12.10_0079,2000000,0000000
cis_aws_aws_12.11_0080,2000000,0000000
cis_aws_aws_12.12_0081,2000000,0000000
cis_aws_aws_12.1_0070,2000000,0000000
cis_aws_aws_12.2_0071,2000000,0000000
cis_aws_aws_12.5_0074,2000000,0000000
cis_aws_aws_12.6_0075,1000000,80000000
cis_aws_aws_12.7_0076,2000000,0000000
cis_aws_aws_12.8_0077,2000000,0000000
cis_aws_aws_12.9_0078,2000000,0000000
cis_aws_aws_2.1.1_0035,1000000,66000000
cis_aws_aws_2.1.3_0037,2000000,0000000
cis_aws_aws_2.1.4_0038,1000000,80000000
cis_aws_aws_2.1.5_0039,2000000,0000000
cis_aws_aws_2.10_0010,0000000,1000000
cis_aws_aws_2.11_0011,3000000,5000000
cis_aws_aws_2.12_0012,2000000,0000000
cis_aws_aws_2.13_0013,1000000,36000000
cis_aws_aws_2.14_0014,4000000,3000000
cis_aws_aws_2.15_0015,2000000,0000000
cis_aws_aws_2.16_0016,2000000,0000000
cis_aws_aws_2.17_0017,2000000,0000000
cis_aws_aws_2.18_0018,2000000,0000000
cis_aws_aws_2.19_0158,4000000,0000000
cis_aws_aws_2.1_0001,2000000,0000000
cis_aws_aws_2.2.1_0040,1000000,108000000
cis_aws_aws_2.2.2_0041,1000000,4000000
cis_aws_aws_2.2.3_0042,1000000,77000000
cis_aws_aws_2.2.4_0043,1000000,80000000
cis_aws_aws_2.20_0159,2000000,0000000
cis_aws_aws_2.21_0160,2000000,0000000
cis_aws_aws_2.2_0002,0000000,1000000
cis_aws_aws_2.3.1_0147,1000000,101000000
cis_aws_aws_2.3_0003,1000000,73000000
cis_aws_aws_2.4_0004,3000000,69000000
cis_aws_aws_2.5_0005,3000000,58000000
cis_aws_aws_2.6_0006,0000000,1000000
cis_aws_aws_2.7_0007,1000000,45000000
cis_aws_aws_2.8_0008,1000000,45000000
cis_aws_aws_2.9_0009,1000000,68000000
cis_aws_aws_3.10_0052,2000000,0000000
cis_aws_aws_3.11_0053,2000000,0000000
cis_aws_aws_3.12_0054,2000000,0000000
cis_aws_aws_3.13_0055,2000000,0000000
cis_aws_aws_3.14_0056,2000000,0000000
cis_aws_aws_3.1_0019,1000000,135000000
cis_aws_aws_3.2.4_0168,2000000,0000000
cis_aws_aws_3.2.7_0178,2000000,0000000
cis_aws_aws_3.2.8_0179,2000000,0000000
cis_aws_aws_3.2.9_0180,2000000,0000000
cis_aws_aws_3.2_0044,3000000,129000000
cis_aws_aws_3.3.1_0169,1000000,101000000
cis_aws_aws_3.3_0045,1000000,45000000
cis_aws_aws_3.4_0046,2000000,0000000
cis_aws_aws_3.5_0047,1000000,171000000
cis_aws_aws_3.6_0048,0000000,104000000
cis_aws_aws_3.7_0049,2000000,0000000
cis_aws_aws_3.8_0050,1000000,101000000
cis_aws_aws_3.9_0051,1000000,101000000
cis_aws_aws_4.10_0148,4000000,0000000
cis_aws_aws_4.11_0149,4000000,0000000
cis_aws_aws_4.12_0150,4000000,0000000
cis_aws_aws_4.13_0151,4000000,0000000
cis_aws_aws_4.14_0152,3000000,0000000
cis_aws_aws_4.15_0153,4000000,0000000
cis_aws_aws_4.16_0154,0000000,1000000
cis_aws_aws_4.1_0020,1000000,135000000
cis_aws_aws_4.2_0021,3000000,129000000
cis_aws_aws_4.3_0022,1000000,45000000
cis_aws_aws_4.4_0023,2000000,0000000
cis_aws_aws_4.5_0024,1000000,171000000
cis_aws_aws_4.6_0025,0000000,104000000
cis_aws_aws_4.7_0026,2000000,0000000
cis_aws_aws_4.8_0027,2000000,0000000
cis_aws_aws_4.9_0124,1000000,101000000
cis_aws_aws_5.1.1_0155,2000000,0000000
cis_aws_aws_5.1.2_0156,2000000,0000000
cis_aws_aws_5.10_0059,4000000,0000000
cis_aws_aws_5.11_0060,4000000,0000000
cis_aws_aws_5.12_0061,4000000,0000000
cis_aws_aws_5.13_0170,4000000,0000000
cis_aws_aws_5.14_0171,3000000,0000000
cis_aws_aws_5.15_0172,4000000,0000000
cis_aws_aws_5.16_0173,0000000,1000000
cis_aws_aws_5.1_0028,2000000,0000000
cis_aws_aws_5.2_0029,4000000,0000000
cis_aws_aws_5.3.1_0186,1000000,83000000
cis_aws_aws_5.3_0030,4000000,0000000
cis_aws_aws_5.4.2_0187,1000000,50000000
cis_aws_aws_5.4.3_0188,2000000,0000000
cis_aws_aws_5.4_0031,4000000,0000000
cis_aws_aws_5.5_0032,4000000,0000000
cis_aws_aws_5.6_0033,4000000,0000000
cis_aws_aws_5.7_0034,2000000,0000000
cis_aws_aws_5.8_0057,4000000,0000000
cis_aws_aws_5.9_0058,4000000,0000000
cis_aws_aws_6.1.1_0174,1000000,120000000
cis_aws_aws_6.1.2_0175,2000000,0000000
cis_aws_aws_6.10_0128,0000000,1000000
cis_aws_aws_6.12_0130,2000000,0000000
cis_aws_aws_6.13_0131,0000000,1000000
cis_aws_aws_6.2_0083,4000000,0000000
cis_aws_aws_6.3_0084,1000000,148000000
cis_aws_aws_6.4_0085,2000000,0000000
cis_aws_aws_6.5_0086,1000000,115000000
cis_aws_aws_6.6_0087,2000000,0000000
cis_aws_aws_6.7_0125,1000000,105000000
cis_aws_aws_6.8_0126,0000000,1000000
cis_aws_aws_6.9_0127,1000000,0000000
cis_aws_aws_7.10_0097,2000000,0000000
cis_aws_aws_7.2_0089,0000000,1000000
cis_aws_aws_7.3_0090,2000000,0000000
cis_aws_aws_7.4_0091,0000000,1000000
cis_aws_aws_7.5_0092,0000000,1000000
cis_aws_aws_7.6_0093,2000000,0000000
cis_aws_aws_7.7_0094,0000000,1000000
cis_aws_aws_7.8_0095,0000000,1000000
cis_aws_aws_7.9_0096,0000000,1000000
cis_aws_aws_8.1_0063,0000000,1000000
cis_aws_aws_8.2_0064,2000000,0000000
cis_aws_aws_8.3_0099,0000000,1000000
cis_aws_aws_9.1_0100,2000000,0000000
cis_aws_aws_9.2_0101,2000000,0000000
cis_aws_aws_9.3_0102,2000000,0000000
cis_aws_aws_9.4_0103,2000000,0000000
cis_aws_aws_9.5_0104,2000000,0000000
cis_aws_aws_9.6_0105,2000000,0000000
cis_aws_aws_9.7_0106,2000000,0000000
cis_azure_azure_10.1_0138,0100000,0000000
cis_azure_azure_10.2_0139,0100000,0000000
cis_azure_azure_10.3_0140,0100000,0000000
cis_azure_azure_10.4_0141,0100000,0000000
cis_azure_azure_10.5_0142,0100000,0000000
cis_azure_azure_10.6_0143,0100000,0000000
cis_azure_azure_10.7_0144,0100000,0000000
cis_azure_azure_11.2_0293,0000000,0100000
cis_azure_azure_11.3_0294,0100000,0000000
cis_azure_azure_11.5_0296,0100000,0000000
cis_azure_azure_11.6_0297,0100000,0000000
cis_azure_azure_15.1_0105,0100000,0000000
cis_azure_azure_15.2_0106,0100000,0000000
cis_azure_azure_15.3_0107,0100000,0000000
cis_azure_azure_15.4_0108,0100000,0000000
cis_azure_azure_15.5_0109,0100000,0000000
cis_azure_azure_15.6_0110,0100000,0000000
cis_azure_azure_15.7_0111,0100000,0000000
cis_azure_azure_16.1_0299,0100000,0000000
cis_azure_azure_16.2_0300,0100000,0000000
cis_azure_azure_16.3_0301,0100000,0000000
cis_azure_azure_17.1.1_0302,0100000,0000000
cis_azure_azure_17.1.2_0303,0100000,0000000
cis_azure_azure_17.1.3_0304,0100000,0000000
cis_azure_azure_17.1.5_0306,0100000,0000000
cis_azure_azure_17.1.6_0307,0100000,0000000
cis_azure_azure_17.10_0317,0100000,0000000
cis_azure_azure_17.11_0318,0100000,0000000
cis_azure_azure_17.12_0319,0100000,0000000
cis_azure_azure_17.13_0320,0100000,0000000
cis_azure_azure_17.14_0321,0100000,0000000
cis_azure_azure_17.15_0322,0100000,0000000
cis_azure_azure_17.16_0323,0100000,0000000
cis_azure_azure_17.2.1_0308,0100000,0000000
cis_azure_azure_17.2.2_0309,0100000,0000000
cis_azure_azure_17.2.3_0310,0100000,0000000
cis_azure_azure_17.4_0311,0100000,0000000
cis_azure_azure_17.5_0312,0100000,0000000
cis_azure_azure_17.6_0313,0100000,0000000
cis_azure_azure_17.7_0314,0100000,0000000
cis_azure_azure_17.8_0315,0100000,0000000
cis_azure_azure_17.9_0316,0100000,0000000
cis_azure_azure_18.1_0324,0100000,0000000
cis_azure_azure_18.2_0325,0000000,0100000
cis_azure_azure_2.1.1.1_0277,0000000,0100000
cis_azure_azure_2.1.1.3_0279,0100000,0000000
cis_azure_azure_2.1.10_0033,0100000,0000000
cis_azure_azure_2.1.11_0034,0100000,0000000
cis_azure_azure_2.1.12_0035,0100000,0000000
cis_azure_azure_2.1.13_0036,0100000,0000000
cis_azure_azure_2.1.14_0037,0100000,0000000
cis_azure_azure_2.1.15_0038,0100000,0000000
cis_azure_azure_2.1.16_0039,0100000,0000000
cis_azure_azure_2.1.17_0040,0100000,0000000
cis_azure_azure_2.1.18_0041,0100000,0000000
cis_azure_azure_2.1.19_0042,0100000,0000000
cis_azure_azure_2.1.1_0024,0100000,0000000
cis_azure_azure_2.1.2.1.1_0280,0100000,0000000
cis_azure_azure_2.1.2.2.1_0281,0100000,0000000
cis_azure_azure_2.1.20_0043,0100000,0000000
cis_azure_azure_2.1.21_0044,0100000,0000000
cis_azure_azure_2.1.2_0025,0100000,0000000
cis_azure_azure_2.1.4_0027,0100000,0000000
cis_azure_azure_2.1.6_0029,0100000,0000000
cis_azure_azure_2.1.7_0030,0100000,0000000
cis_azure_azure_2.1.8_0031,0100000,0000000
cis_azure_azure_2.1.9_0032,0100000,0000000
cis_azure_azure_2.10_0100,0100000,0000000
cis_azure_azure_2.1_0122,0100000,0000000
cis_azure_azure_2.2.1.1_0282,0100000,0000000
cis_azure_azure_2.2.1.2_0283,0100000,0000000
cis_azure_azure_2.2.10_0054,0100000,0000000
cis_azure_azure_2.2.11_0055,0100000,0000000
cis_azure_azure_2.2.12_0056,0100000,0000000
cis_azure_azure_2.2.13_0057,0100000,0000000
cis_azure_azure_2.2.14_0058,0100000,0000000
cis_azure_azure_2.2.15_0059,0100000,0000000
cis_azure_azure_2.2.16_0060,0100000,0000000
cis_azure_azure_2.2.17_0061,0100000,0000000
cis_azure_azure_2.2.1_0045,0100000,0000000
cis_azure_azure_2.2.2.1_0284,0100000,0000000
cis_azure_azure_2.2.2_0046,0100000,0000000
cis_azure_azure_2.2.3_0047,0100000,0000000
cis_azure_azure_2.2.4_0048,0100000,0000000
cis_azure_azure_2.2.6_0050,0100000,0000000
cis_azure_azure_2.2.7_0051,0100000,0000000
cis_azure_azure_2.2.8_0052,0100000,0000000
cis_azure_azure_2.2.9_0053,0100000,0000000
cis_azure_azure_2.2_0123,0100000,0000000
cis_azure_azure_2.3.10_0071,0100000,0000000
cis_azure_azure_2.3.11_0072,0100000,0000000
cis_azure_azure_2.3.12_0073,0100000,0000000
cis_azure_azure_2.3.13_0074,0000000,0100000
cis_azure_azure_2.3.14_0075,0100000,0000000
cis_azure_azure_2.3.15_0076,0100000,0000000
cis_azure_azure_2.3.16_0077,0100000,0000000
cis_azure_azure_2.3.17_0078,0100000,0000000
cis_azure_azure_2.3.1_0062,0100000,0000000
cis_azure_azure_2.3.2_0063,0100000,0000000
cis_azure_azure_2.3.3_0064,0100000,0000000
cis_azure_azure_2.3.4_0065,0100000,0000000
cis_azure_azure_2.3.5_0066,0100000,0000000
cis_azure_azure_2.3.6_0067,0100000,0000000
cis_azure_azure_2.3.7_0068,0100000,0000000
cis_azure_azure_2.3.8_0069,0100000,0000000
cis_azure_azure_2.3.9_0070,0100000,0000000
cis_azure_azure_2.3_0124,0100000,0000000
cis_azure_azure_2.4.10_0088,0100000,0000000
cis_azure_azure_2.4.11_0089,0100000,0000000
cis_azure_azure_2.4.12_0090,0100000,0000000
cis_azure_azure_2.4.13_0091,0100000,0000000
cis_azure_azure_2.4.14_0092,0100000,0000000
cis_azure_azure_2.4.15_0093,0100000,0000000
cis_azure_azure_2.4.16_0094,0100000,0000000
cis_azure_azure_2.4.1_0079,0100000,0000000
cis_azure_azure_2.4.2_0080,0100000,0000000
cis_azure_azure_2.4.3_0081,0100000,0000000
cis_azure_azure_2.4.4_0082,0100000,0000000
cis_azure_azure_2.4.5_0083,0100000,0000000
cis_azure_azure_2.4.6_0084,0100000,0000000
cis_azure_azure_2.4.7_0085,0100000,0000000
cis_azure_azure_2.4.8_0086,0100000,0000000
cis_azure_azure_2.4.9_0087,0100000,0000000
cis_azure_azure_2.4_0125,0000000,0100000
cis_azure_azure_2.5_0095,0100000,0000000
cis_azure_azure_2.6_0096,0100000,0000000
cis_azure_azure_2.7_0097,0100000,0000000
cis_azure_azure_2.8_0098,0100000,0000000
cis_azure_azure_2.9_0099,0100000,0000000
cis_azure_azure_20.10_0120,0100000,0000000
cis_azure_azure_20.11_0121,0100000,0000000
cis_azure_azure_20.1_0112,0100000,0000000
cis_azure_azure_20.2_0113,0100000,0000000
cis_azure_azure_20.3_0114,0100000,0000000
cis_azure_azure_20.4_0115,0100000,0000000
cis_azure_azure_20.5_0116,0100000,0000000
cis_azure_azure_20.6_0117,0100000,0000000
cis_azure_azure_20.7_0118,0100000,0000000
cis_azure_azure_20.9_0119,0100000,0000000
cis_azure_azure_3.1.1_0001,0100000,0000000
cis_azure_azure_3.1_0101,0100000,0000000
cis_azure_azure_3.2.2_0006,0100000,0000000
cis_azure_azure_3.2.5_0009,0100000,0000000
cis_azure_azure_3.2.6_0010,0000000,0100000
cis_azure_azure_3.2.7_0011,0000000,0100000
cis_azure_azure_3.2.8_0012,0100000,0000000
cis_azure_azure_3.2.9_0013,0100000,0000000
cis_azure_azure_3.2_0102,0100000,0000000
cis_azure_azure_3.3_0103,0100000,0000000
cis_azure_azure_4.1.1_0014,0100000,0000000
cis_azure_azure_4.1.5_0015,0100000,0000000
cis_azure_azure_4.1.6_0016,0100000,0000000
cis_azure_azure_4.1_0104,0100000,0000000
cis_azure_azure_4.4.1_0017,0100000,0000000
cis_azure_azure_4.4.2_0018,0100000,0000000
cis_azure_azure_5.1.1_0019,0100000,0000000
cis_azure_azure_5.1.2_0145,0100000,0000000
cis_azure_azure_5.1.3_0146,0100000,0000000
cis_azure_azure_5.1.4_0285,0100000,0000000
cis_azure_azure_5.1.5_0286,0100000,0000000
cis_azure_azure_5.1.6_0287,0100000,0000000
cis_azure_azure_5.11_0168,0100000,0000000
cis_azure_azure_5.12_0169,0100000,0000000
cis_azure_azure_5.13_0170,0100000,0000000
cis_azure_azure_5.14_0171,0100000,0000000
cis_azure_azure_5.15_0172,0100000,0000000
cis_azure_azure_5.16_0173,0100000,0000000
cis_azure_azure_5.18_0175,0000000,0100000
cis_azure_azure_5.19_0176,0100000,0000000
cis_azure_azure_5.2.1_0147,0100000,0000000
cis_azure_azure_5.2.2_0148,0100000,0000000
cis_azure_azure_5.2.3_0149,0100000,0000000
cis_azure_azure_5.2.4_0150,0100000,0000000
cis_azure_azure_5.2.5_0151,0100000,0000000
cis_azure_azure_5.2.6_0152,0100000,0000000
cis_azure_azure_5.2.7_0153,0100000,0000000
cis_azure_azure_5.2.8_0154,0100000,0000000
cis_azure_azure_5.20_0177,0100000,0000000
cis_azure_azure_5.21_0178,0100000,0000000
cis_azure_azure_5.22_0179,0100000,0000000
cis_azure_azure_5.23_0180,0100000,0000000
cis_azure_azure_5.24_0181,0100000,0000000
cis_azure_azure_5.25_0182,0000000,0100000
cis_azure_azure_5.26_0183,0100000,0000000
cis_azure_azure_5.27_0184,0100000,0000000
cis_azure_azure_5.28_0185,0100000,0000000
cis_azure_azure_5.3.1_0020,0100000,0000000
cis_azure_azure_5.3.3_0156,0100000,0000000
cis_azure_azure_5.3.4_0157,0100000,0000000
cis_azure_azure_5.3.5_0158,0100000,0000000
cis_azure_azure_5.3.6_0159,0100000,0000000
cis_azure_azure_5.3.7_0160,0000000,0100000
cis_azure_azure_5.4.2_0021,0100000,0000000
cis_azure_azure_5.4.3_0022,0100000,0000000
cis_azure_azure_5.4_0161,0100000,0000000
cis_azure_azure_5.5_0162,0100000,0000000
cis_azure_azure_5.6_0163,0100000,0000000
cis_azure_azure_5.7_0164,0100000,0000000
cis_azure_azure_5.8_0165,0100000,0000000
cis_azure_azure_5.9_0166,0100000,0000000
cis_azure_azure_6.1.1.10_0195,0100000,0000000
cis_azure_azure_6.1.1.1_0186,0100000,0000000
cis_azure_azure_6.1.1.2_0187,0100000,0000000
cis_azure_azure_6.1.1.3_0188,0100000,0000000
cis_azure_azure_6.1.1.4_0189,0100000,0000000
cis_azure_azure_6.1.1.5_0190,0100000,0000000
cis_azure_azure_6.1.1.6_0191,0100000,0000000
cis_azure_azure_6.1.1.7_0192,0100000,0000000
cis_azure_azure_6.1.1.8_0193,0100000,0000000
cis_azure_azure_6.1.1.9_0194,0100000,0000000
cis_azure_azure_6.1.2.10_0205,0100000,0000000
cis_azure_azure_6.1.2.11_0206,0100000,0000000
cis_azure_azure_6.1.2.1_0196,0100000,0000000
cis_azure_azure_6.1.2.2_0197,0100000,0000000
cis_azure_azure_6.1.2.3_0198,0100000,0000000
