id,title,program_name,final_confidence,automation_summary,source
4.2.5,Minimize the admission of containers with allowPrivilegeEscalation,azure_aks_pod_security_allow_privilege_escalation_check,HIGH,Resource: ** AKS Clusters | API: ** `kubectl get pods --all-namespaces -o json | jq -r '.items[] | select(any(.spec.containers[]; .securityContext.allowPrivilegeEscalation == true))'`,CIS AZURE KUBERNETES SERVICE (AKS) BENCHMARK V1.7.0 PDF_updated_20250825_190647.json
4.4.1,Ensure latest CNI version is used,azure_aks_cni_version_check,HIGH,"Resource: AKS Clusters | API: `az aks show --resource-group ${RESOURCE_GROUP} --name ${CLUSTER_NAME} --query ""networkProfile""`",CIS AZURE KUBERNETES SERVICE (AKS) BENCHMARK V1.7.0 PDF_updated_20250825_190647.json
4.4.2,Ensure that all Namespaces have Network Policies defined,azure_aks_network_policy_defined,HIGH,Resource: ** AKS Clusters | API: ** Use `az aks command invoke` to run `kubectl get networkpolicy --all-namespaces` directly on the AKS cluster.,CIS AZURE KUBERNETES SERVICE (AKS) BENCHMARK V1.7.0 PDF_updated_20250825_190647.json
4.5.1,Prefer using secrets as files over secrets as environment variables,azure_aks_secrets_preference_verified,HIGH,"Resource: AKS Clusters | API: `kubectl get all -o jsonpath='{range .items[?(@..secretKeyRef)]} {.kind} {.metadata.name} {""\n""}{end}' -A`",CIS AZURE KUBERNETES SERVICE (AKS) BENCHMARK V1.7.0 PDF_updated_20250825_190647.json
4.5.2,Consider external secret storage,azure_keyvault_secret_management_verification,HIGH,"Resource: ** Key Vaults, AKS Clusters | API: ** `az keyvault show`, `Get-AzKeyVault`, Azure Resource Graph queries",CIS AZURE KUBERNETES SERVICE (AKS) BENCHMARK V1.7.0 PDF_updated_20250825_190647.json
4.6.1,Create administrative boundaries between resources using namespaces,azure_aks_namespace_isolation_verified,HIGH,Resource: ** AKS Clusters | API: **,CIS AZURE KUBERNETES SERVICE (AKS) BENCHMARK V1.7.0 PDF_updated_20250825_190647.json
4.6.2,Apply Security Context to Your Pods and Containers,azure_aks_pod_security_context_check,HIGH,Resource: AKS Clusters | API: Use `kubectl get pods --all-namespaces -o jsonpath='{.items[*].spec.securityContext}'` to retrieve security contexts.,CIS AZURE KUBERNETES SERVICE (AKS) BENCHMARK V1.7.0 PDF_updated_20250825_190647.json
4.6.3,The default namespace should not be used,azure_aks_namespace_segregation_check,HIGH,Resource: ** AKS Clusters | API: ** `kubectl get all -n default --no-headers`,CIS AZURE KUBERNETES SERVICE (AKS) BENCHMARK V1.7.0 PDF_updated_20250825_190647.json
5.1.1,Ensure Image Vulnerability Scanning using Microsoft Defender for Cloud (MDC) image scanning or a third party provider,azure_backup_vault_soft_delete_enabled,HIGH,Resource: Backup Vaults | API: `az dataprotection backup-vault show`,CIS AZURE KUBERNETES SERVICE (AKS) BENCHMARK V1.7.0 PDF_updated_20250825_190647.json
5.1.2,Minimize user access to Azure Container Registry (ACR),azure_dataprotection_backup_vault_immutability_enabled,HIGH,Resource: ** Backup Vaults | API: ** `az dataprotection backup-vault list` and `az dataprotection backup-vault show`,CIS AZURE KUBERNETES SERVICE (AKS) BENCHMARK V1.7.0 PDF_updated_20250825_190647.json
5.1.3,Minimize cluster access to read-only for Azure Container Registry (ACR),azure_aks_acr_readonly_access_check,HIGH,"Resource: ** AKS Clusters, Azure Container Registry | API: ** `az role assignment list`, `az aks show`",CIS AZURE KUBERNETES SERVICE (AKS) BENCHMARK V1.7.0 PDF_updated_20250825_190647.json
5.1.4,Minimize Container Registries to only those approved,azure_aks_container_registry_approved,HIGH,Resource: ** AKS Clusters | API: ** Azure Policy,CIS AZURE KUBERNETES SERVICE (AKS) BENCHMARK V1.7.0 PDF_updated_20250825_190647.json
5.2.1,Prefer using dedicated AKS Service Accounts,azure_aks_service_accounts_dedicated_usage_verified,HIGH,Resource: ** AKS Clusters | API: ** Use `kubectl get rolebindings` and `kubectl get clusterrolebindings` to list and verify role assignments for service accounts.,CIS AZURE KUBERNETES SERVICE (AKS) BENCHMARK V1.7.0 PDF_updated_20250825_190647.json
5.3.1,Ensure Kubernetes Secrets are encrypted,azure_aks_kubernetes_secrets_encryption_enabled,HIGH,Resource: AKS Clusters | API: Use Azure CLI command `az aks show` or equivalent Azure Resource Manager API to retrieve cluster configurations.,CIS AZURE KUBERNETES SERVICE (AKS) BENCHMARK V1.7.0 PDF_updated_20250825_190647.json
5.4.1,Restrict Access to the Control Plane Endpoint,azure_policy_vm_password_compliance_check,HIGH,Resource: ** Azure Virtual Machines | API: ** Azure Policy and Azure Automation,CIS AZURE KUBERNETES SERVICE (AKS) BENCHMARK V1.7.0 PDF_updated_20250825_190647.json
5.4.2,Ensure clusters are created with Private Endpoint Enabled and Public Access Disabled,azure_aks_private_endpoint_enabled_public_access_disabled,HIGH,Resource: ** AKS Clusters | API: ** `az aks show`,CIS AZURE KUBERNETES SERVICE (AKS) BENCHMARK V1.7.0 PDF_updated_20250825_190647.json
5.4.3,Ensure clusters are created with Private Nodes,azure_aks_private_nodes_enabled,HIGH,Resource: AKS Clusters | API: `az aks show`,CIS AZURE KUBERNETES SERVICE (AKS) BENCHMARK V1.7.0 PDF_updated_20250825_190647.json
5.4.4,Ensure Network Policy is Enabled and set as appropriate,azure_ad_password_policy_check,HIGH,Resource: Azure Active Directory | API: Use the Azure AD PowerShell module with `Get-AzureADPolicy` cmdlet or Microsoft Graph API endpoints to retrieve password policy settings.,CIS AZURE KUBERNETES SERVICE (AKS) BENCHMARK V1.7.0 PDF_updated_20250825_190647.json
5.4.5,Encrypt traffic to HTTPS load balancers with TLS certificates,azure_aks_load_balancer_tls_encryption_check,HIGH,"Resource: AKS Clusters, Load Balancers | API: Azure Resource Manager API, az network lb show",CIS AZURE KUBERNETES SERVICE (AKS) BENCHMARK V1.7.0 PDF_updated_20250825_190647.json
5.5.1,Manage Kubernetes RBAC users with Azure AD,azure_aks_rbac_azure_ad_configuration_verified,HIGH,Resource: AKS Clusters | API: `az aks show`,CIS AZURE KUBERNETES SERVICE (AKS) BENCHMARK V1.7.0 PDF_updated_20250825_190647.json
5.5.2,Use Azure RBAC for Kubernetes Authorization,azure_aks_node_account_security,HIGH,Resource: ** AKS Clusters | API: ** Azure CLI with `az aks nodepool list` and SSH command execution,CIS AZURE KUBERNETES SERVICE (AKS) BENCHMARK V1.7.0 PDF_updated_20250825_190647.json
,,azure_aks_cluster_security_configuration_check,HIGH,Resource: AKS Clusters | API: `az aks show`,CIS AZURE KUBERNETES SERVICE (AKS) BENCHMARK V1.7.0 PDF_updated_20250825_190647.json
1.1.1.1,Ensure mounting of cramfs filesystems is disabled,azure_vm_linux_verify_disable_cramfs,HIGH,Resource: Virtual Machines | API: `az vm run-command invoke`,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
1.1.2.1,Ensure /tmp is a separate partition,azure_aks_node_configuration_check_tmp_partition,HIGH,Resource: ** AKS Clusters | API: ** Use Azure CLI to list node pools and SSH into nodes to execute necessary commands.,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
1.1.2.2,Ensure nodev option set on /tmp partition,azure_aks_node_mount_option_check,HIGH,Resource: ** AKS Clusters | API: ** Use Azure Policy to audit node configurations and a Kubernetes DaemonSet to run verification scripts on each node.,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
1.1.3.1,Ensure nodev option set on /dev/shm partition,azure_aks_node_mount_option_check,HIGH,"Resource: AKS Clusters | API: Azure Policy with custom policy definitions, Azure CLI for verification",CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
1.1.4,Disable Automounting,azure_aks_node_autofs_disable,HIGH,Resource: ** AKS Clusters | API: ** Use Azure CLI to execute scripts on AKS nodes,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
1.2.2,Ensure TDNF gpgcheck is globally activated,azure_aks_node_tdnf_gpgcheck_verification,HIGH,Resource: AKS Clusters | API: Azure Automation Runbooks with PowerShell or Bash scripts,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
1.3.1,Ensure core dump storage is disabled,azure_aks_cluster_core_dump_storage_check,HIGH,Resource: ** AKS Clusters | API: ** Use Azure CLI commands to retrieve node configurations and Azure Policy to enforce and audit settings.,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
1.3.2,Ensure core dump backtraces are disabled,azure_aks_node_coredump_check,HIGH,Resource: ** AKS Clusters | API: ** Use Azure CLI to connect to AKS nodes and execute remote commands,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
1.3.3,Ensure address space layout randomization (ASLR) is enabled,azure_vm_linux_check_aslr,HIGH,Resource: Virtual Machines | API: Azure CLI with SSH command execution,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
1.4.4,Ensure permissions on /etc/issue are configured,azure_aks_node_check_file_permissions,HIGH,Resource: ** AKS Clusters | API: ** `az vm run-command invoke`,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
1.4.5,Ensure permissions on /etc/issue.net are configured,azure_aks_node_check_issue_net_permissions,HIGH,Resource: ** AKS Clusters | API: ** Use Azure CLI to connect to AKS and execute a script on nodes,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
2.1.1,Ensure time synchronization is in use,azure_aks_control_plane_diagnostics_audit_logs_enabled,HIGH,Resource: ** AKS Clusters | API: ** `az aks show` and `az monitor diagnostic-settings list`,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
2.1.2,Ensure chrony is configured,azure_app_service_python_version_supported,HIGH,"Resource: ** Azure App Services | API: ** `az webapp list-runtimes`, `az webapp config show`",CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
2.2.1,Ensure xinetd is not installed,azure_aks_node_package_audit,HIGH,Resource: ** AKS Clusters | API: ** Azure Policy and Azure Monitor,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
2.2.2,Ensure xorg-x11-server-common is not installed,azure_automation_vm_check_xorg_package,HIGH,Resource: Virtual Machines | API: Azure Automation Runbooks or Azure CLI with SSH,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
2.2.3,Ensure avahi is not installed,azure_aks_node_check_avahi_installation,HIGH,Resource: ** AKS Clusters | API: ** Use Azure CLI to execute scripts on AKS nodes,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
2.2.4,Ensure a print server is not installed,azure_aks_nodes_check_cups_installation,HIGH,Resource: AKS Clusters | API: Azure Automation with custom scripts or Azure Policy,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
2.2.5,Ensure a dhcp server is not installed,azure_aks_node_package_check,HIGH,Resource: ** AKS Clusters | API: ** `az vm run-command invoke`,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
2.2.6,Ensure a dns server is not installed,azure_aks_node_check_dns_server,HIGH,Resource: ** AKS Clusters | API: ** Use Azure CLI with `az aks nodepool list` to get node details and leverage Azure Monitor or custom scripts to check installed packages.,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
2.2.7,Ensure FTP client is not installed,azure_app_service_https_only_enabled,HIGH,"Resource: App Services | API: `az webapp show --name <app-name> --resource-group <resource-group-name> --query ""httpsOnly""`",CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
2.2.8,Ensure an ftp server is not installed,azure_aks_node_package_compliance_check,HIGH,Resource: ** AKS Clusters | API: ** Use Azure Policy to define a policy that audits the presence of the `vsftpd` package on AKS nodes.,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
2.2.9,Ensure a tftp server is not installed,azure_aks_node_check_tftp_server,HIGH,Resource: ** AKS Clusters | API: ** `az vm run-command invoke`,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
2.2.10,Ensure a web server is not installed,azure_appservice_remote_debugging_disabled,HIGH,Resource: ** Azure App Services | API: ** `az webapp show`,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
2.2.11,Ensure IMAP and POP3 server is not installed,azure_aks_node_package_check,HIGH,"Resource: ** AKS Clusters | API: ** Use `az aks get-credentials` to configure access to the cluster, then use `kubectl exec` to run package checks on nodes.",CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
2.2.12,Ensure Samba is not installed,azure_app_service_deployment_slot_managed_identity_configured,HIGH,Resource: ** Azure App Service Deployment Slots | API: ** `az webapp deployment slot show --resource-group <resource_group> --name <app_service_name> --slot <slot_name> --query identity`,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
2.2.13,Ensure HTTP Proxy Server is not installed,azure_app_service_deployment_slot_public_network_access_disabled,HIGH,"Resource: ** App Services Deployment Slots | API: ** `az resource show --resource-group <resource-group-name> --name <app-name>/slots/<deployment-slot-name> --resource-type ""Microsoft.Web/sites""`",CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
2.2.14,Ensure net-snmp is not installed or the snmpd service is not enabled,azure_app_service_deployment_slot_vnet_integration_verified,HIGH,"Resource: App Services | API: `az webapp deployment slot list`, `az webapp deployment slot show`",CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
2.2.15,Ensure NIS server is not installed,azure_aks_node_package_verification,HIGH,Resource: ** AKS Clusters | API: ** Use Azure CLI with `az aks nodepool list` to retrieve node information and `az vm run-command invoke` to execute commands on nodes.,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
2.2.16,Ensure telnet-server is not installed,azure_aks_node_package_audit,HIGH,Resource: ** AKS Clusters | API: ** Use Azure Policy to define a custom policy that audits installed packages on AKS nodes. Azure CLI can be used to retrieve node information and check for the presence of the telnet-server package.,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
2.2.18,Ensure nfs-utils is not installed or the nfs-server service is masked,azure_aks_node_nfs_check,HIGH,Resource: ** AKS Clusters | API: ** `az aks command invoke`,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
2.2.19,Ensure rsync-daemon is not installed or the rsyncd service is masked,azure_aks_node_rsyncd_check,HIGH,Resource: ** AKS Clusters | API: ** Use Azure CLI to connect to AKS and execute commands on nodes,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
2.3.1,Ensure NIS Client is not installed,azure_vm_nis_client_check,HIGH,Resource: Virtual Machines | API: `az vm run-command invoke`,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
2.3.2,Ensure rsh client is not installed,azure_aks_node_package_audit,HIGH,"Resource: ** AKS Clusters | API: ** Azure Policy for compliance auditing, Azure CLI for node inspection",CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
2.3.3,Ensure talk client is not installed,azure_aks_node_package_audit,HIGH,Resource: ** AKS Clusters | API: ** Azure Policy and Azure Automation,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
2.3.4,Ensure telnet client is not installed,azure_aks_node_telnet_check,HIGH,Resource: ** AKS Clusters | API: ** Azure Policy or Azure CLI with VM extensions,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
2.3.5,Ensure LDAP client is not installed,azure_functionapp_http_version_set_to_,HIGH,Resource: Function Apps | API: `az functionapp config show`,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
2.3.6,Ensure TFTP client is not installed,azure_app_service_https_only_enabled,HIGH,Resource: ** App Services and Function Apps | API: ** `az functionapp show --resource-group <resource-group-name> --name <function-app-name> --query properties.httpsOnly`,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
3.1.1,Ensure IPv6 is enabled,azure_aks_node_kubeconfig_permission_check,HIGH,Resource: ** AKS Clusters | API: ** `az vm run-command invoke`,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
3.2.1,Ensure packet redirect sending is disabled,azure_aks_kubelet_anonymous_auth_check,HIGH,Resource: ** AKS Clusters | API: ** Use Azure CLI with `az aks show` to retrieve the AKS cluster configuration.,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
3.3.1,Ensure source routed packets are not accepted,azure_vm_kernel_parameters_check,HIGH,Resource: Virtual Machines | API: Azure Run Command via Azure CLI,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
3.3.5,Ensure broadcast ICMP requests are ignored,azure_vm_kernel_parameter_check,HIGH,Resource: Virtual Machines | API: Azure Run Command via Azure CLI or PowerShell,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
3.3.6,Ensure bogus ICMP responses are ignored,azure_aks_node_kernel_parameter_check,HIGH,Resource: ** AKS Clusters | API: ** Azure Policy with custom policy definitions,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
3.3.7,Ensure Reverse Path Filtering is enabled,azure_aks_node_sysctl_rp_filter_check,HIGH,Resource: ** AKS Clusters | API: ** Azure Policy and Azure Automation,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
3.3.8,Ensure TCP SYN Cookies is enabled,azure_aks_vmss_tcp_syncookies_check,HIGH,"Resource: AKS Clusters (specifically the VMSS backing the nodes) | API: Azure Policy and Azure Monitor, or Azure CLI to execute remote commands",CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
3.3.9,Ensure IPv6 router advertisements are not accepted,azure_aks_node_ipv,HIGH,Resource: ** AKS Clusters | API: ** Azure CLI using `az aks nodepool list` to get node details and Azure Run Command to execute scripts on nodes,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
3.4.3.1.1,Ensure iptables package is installed,azure_aks_node_verify_iptables_installation,HIGH,Resource: AKS Clusters | API: `az aks command invoke`,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
3.4.3.1.2,Ensure nftables is not installed with iptables,azure_aks_node_check_nftables,HIGH,Resource: AKS Clusters | API: Azure Policy and Azure Monitor/Log Analytics,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
4.1.1.2,Ensure rsyslog service is enabled,azure_policy_vm_audit_rsyslog_enabled,HIGH,Resource: ** Virtual Machines | API: ** Azure Policy and Azure Automation,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
4.1.1.3,Ensure rsyslog default file permissions are configured,azure_aks_node_rsyslog_file_permissions_check,HIGH,Resource: ** AKS Clusters | API: ** Azure CLI or Azure PowerShell scripts to automate SSH and configuration checks,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
4.1.2,Ensure all logfiles have appropriate access configured,azure_aks_secrets_access_minimized,HIGH,"Resource: AKS Clusters | API: `kubectl get rolebinding --all-namespaces`, `kubectl get clusterrolebinding`",CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
5.1.1,Ensure cron daemon is enabled,azure_backup_vault_soft_delete_enabled,HIGH,Resource: Backup Vaults | API: `az dataprotection backup-vault show`,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
