id,title,final_approach,program_name,source
4.2.5,Minimize the admission of containers with allowPrivilegeEscalation,Automated,azure_aks_pod_security_allow_privilege_escalation_check,CIS AZURE KUBERNETES SERVICE (AKS) BENCHMARK V1.7.0 PDF_updated_20250825_190647.json
4.4.1,Ensure latest CNI version is used,Automated,azure_aks_cni_version_check,CIS AZURE KUBERNETES SERVICE (AKS) BENCHMARK V1.7.0 PDF_updated_20250825_190647.json
4.4.2,Ensure that all Namespaces have Network Policies defined,Automated,azure_aks_network_policy_defined,CIS AZURE KUBERNETES SERVICE (AKS) BENCHMARK V1.7.0 PDF_updated_20250825_190647.json
4.5.1,Prefer using secrets as files over secrets as environment variables,Automated,azure_aks_secrets_preference_verified,CIS AZURE KUBERNETES SERVICE (AKS) BENCHMARK V1.7.0 PDF_updated_20250825_190647.json
4.5.2,Consider external secret storage,Automated,azure_keyvault_secret_management_verification,CIS AZURE KUBERNETES SERVICE (AKS) BENCHMARK V1.7.0 PDF_updated_20250825_190647.json
4.6.1,Create administrative boundaries between resources using namespaces,Automated,azure_aks_namespace_isolation_verified,CIS AZURE KUBERNETES SERVICE (AKS) BENCHMARK V1.7.0 PDF_updated_20250825_190647.json
4.6.2,Apply Security Context to Your Pods and Containers,Automated,azure_aks_pod_security_context_check,CIS AZURE KUBERNETES SERVICE (AKS) BENCHMARK V1.7.0 PDF_updated_20250825_190647.json
4.6.3,The default namespace should not be used,Automated,azure_aks_namespace_segregation_check,CIS AZURE KUBERNETES SERVICE (AKS) BENCHMARK V1.7.0 PDF_updated_20250825_190647.json
5.1.1,Ensure Image Vulnerability Scanning using Microsoft Defender for Cloud (MDC) image scanning or a third party provider,Automated,azure_backup_vault_soft_delete_enabled,CIS AZURE KUBERNETES SERVICE (AKS) BENCHMARK V1.7.0 PDF_updated_20250825_190647.json
5.1.2,Minimize user access to Azure Container Registry (ACR),Automated,azure_dataprotection_backup_vault_immutability_enabled,CIS AZURE KUBERNETES SERVICE (AKS) BENCHMARK V1.7.0 PDF_updated_20250825_190647.json
5.1.3,Minimize cluster access to read-only for Azure Container Registry (ACR),Automated,azure_aks_acr_readonly_access_check,CIS AZURE KUBERNETES SERVICE (AKS) BENCHMARK V1.7.0 PDF_updated_20250825_190647.json
5.1.4,Minimize Container Registries to only those approved,Automated,azure_aks_container_registry_approved,CIS AZURE KUBERNETES SERVICE (AKS) BENCHMARK V1.7.0 PDF_updated_20250825_190647.json
5.2.1,Prefer using dedicated AKS Service Accounts,Automated,azure_aks_service_accounts_dedicated_usage_verified,CIS AZURE KUBERNETES SERVICE (AKS) BENCHMARK V1.7.0 PDF_updated_20250825_190647.json
5.3.1,Ensure Kubernetes Secrets are encrypted,Automated,azure_aks_kubernetes_secrets_encryption_enabled,CIS AZURE KUBERNETES SERVICE (AKS) BENCHMARK V1.7.0 PDF_updated_20250825_190647.json
5.4.1,Restrict Access to the Control Plane Endpoint,Automated,azure_policy_vm_password_compliance_check,CIS AZURE KUBERNETES SERVICE (AKS) BENCHMARK V1.7.0 PDF_updated_20250825_190647.json
5.4.2,Ensure clusters are created with Private Endpoint Enabled and Public Access Disabled,Automated,azure_aks_private_endpoint_enabled_public_access_disabled,CIS AZURE KUBERNETES SERVICE (AKS) BENCHMARK V1.7.0 PDF_updated_20250825_190647.json
5.4.3,Ensure clusters are created with Private Nodes,Automated,azure_aks_private_nodes_enabled,CIS AZURE KUBERNETES SERVICE (AKS) BENCHMARK V1.7.0 PDF_updated_20250825_190647.json
5.4.4,Ensure Network Policy is Enabled and set as appropriate,Automated,azure_ad_password_policy_check,CIS AZURE KUBERNETES SERVICE (AKS) BENCHMARK V1.7.0 PDF_updated_20250825_190647.json
5.4.5,Encrypt traffic to HTTPS load balancers with TLS certificates,Automated,azure_aks_load_balancer_tls_encryption_check,CIS AZURE KUBERNETES SERVICE (AKS) BENCHMARK V1.7.0 PDF_updated_20250825_190647.json
5.5.1,Manage Kubernetes RBAC users with Azure AD,Automated,azure_aks_rbac_azure_ad_configuration_verified,CIS AZURE KUBERNETES SERVICE (AKS) BENCHMARK V1.7.0 PDF_updated_20250825_190647.json
5.5.2,Use Azure RBAC for Kubernetes Authorization,Automated,azure_aks_node_account_security,CIS AZURE KUBERNETES SERVICE (AKS) BENCHMARK V1.7.0 PDF_updated_20250825_190647.json
,,Automated,azure_aks_cluster_security_configuration_check,CIS AZURE KUBERNETES SERVICE (AKS) BENCHMARK V1.7.0 PDF_updated_20250825_190647.json
1.1.1.1,Ensure mounting of cramfs filesystems is disabled,Automated,azure_vm_linux_verify_disable_cramfs,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
1.1.2.1,Ensure /tmp is a separate partition,Automated,azure_aks_node_configuration_check_tmp_partition,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
1.1.2.2,Ensure nodev option set on /tmp partition,Automated,azure_aks_node_mount_option_check,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
1.1.3.1,Ensure nodev option set on /dev/shm partition,Automated,azure_aks_node_mount_option_check,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
1.1.3.2,Ensure nosuid option set on /dev/shm partition,Manual,,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
1.1.4,Disable Automounting,Automated,azure_aks_node_autofs_disable,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
1.2.1,Ensure DNF gpgcheck is globally activated,Manual,,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
1.2.2,Ensure TDNF gpgcheck is globally activated,Automated,azure_aks_node_tdnf_gpgcheck_verification,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
1.3.1,Ensure core dump storage is disabled,Automated,azure_aks_cluster_core_dump_storage_check,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
1.3.2,Ensure core dump backtraces are disabled,Automated,azure_aks_node_coredump_check,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
1.3.3,Ensure address space layout randomization (ASLR) is enabled,Automated,azure_vm_linux_check_aslr,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
1.4.1,Ensure local login warning banner is configured properly,Manual,,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
1.4.2,Ensure remote login warning banner is configured properly,Manual,,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
1.4.3,Ensure permissions on /etc/motd are configured,Manual,,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
1.4.4,Ensure permissions on /etc/issue are configured,Automated,azure_aks_node_check_file_permissions,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
1.4.5,Ensure permissions on /etc/issue.net are configured,Automated,azure_aks_node_check_issue_net_permissions,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
2.1.1,Ensure time synchronization is in use,Automated,azure_aks_control_plane_diagnostics_audit_logs_enabled,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
2.1.2,Ensure chrony is configured,Automated,azure_app_service_python_version_supported,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
2.2.1,Ensure xinetd is not installed,Automated,azure_aks_node_package_audit,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
2.2.2,Ensure xorg-x11-server-common is not installed,Automated,azure_automation_vm_check_xorg_package,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
2.2.3,Ensure avahi is not installed,Automated,azure_aks_node_check_avahi_installation,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
2.2.4,Ensure a print server is not installed,Automated,azure_aks_nodes_check_cups_installation,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
2.2.5,Ensure a dhcp server is not installed,Automated,azure_aks_node_package_check,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
2.2.6,Ensure a dns server is not installed,Automated,azure_aks_node_check_dns_server,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
2.2.7,Ensure FTP client is not installed,Automated,azure_app_service_https_only_enabled,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
2.2.8,Ensure an ftp server is not installed,Automated,azure_aks_node_package_compliance_check,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
2.2.9,Ensure a tftp server is not installed,Automated,azure_aks_node_check_tftp_server,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
2.2.10,Ensure a web server is not installed,Automated,azure_appservice_remote_debugging_disabled,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
2.2.11,Ensure IMAP and POP3 server is not installed,Automated,azure_aks_node_package_check,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
2.2.12,Ensure Samba is not installed,Automated,azure_app_service_deployment_slot_managed_identity_configured,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
2.2.13,Ensure HTTP Proxy Server is not installed,Automated,azure_app_service_deployment_slot_public_network_access_disabled,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
2.2.14,Ensure net-snmp is not installed or the snmpd service is not enabled,Automated,azure_app_service_deployment_slot_vnet_integration_verified,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
2.2.15,Ensure NIS server is not installed,Automated,azure_aks_node_package_verification,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
2.2.16,Ensure telnet-server is not installed,Automated,azure_aks_node_package_audit,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
2.2.17,Ensure mail transfer agent is configured for local-only mode,Manual,,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
2.2.18,Ensure nfs-utils is not installed or the nfs-server service is masked,Automated,azure_aks_node_nfs_check,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
2.2.19,Ensure rsync-daemon is not installed or the rsyncd service is masked,Automated,azure_aks_node_rsyncd_check,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
2.3.1,Ensure NIS Client is not installed,Automated,azure_vm_nis_client_check,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
2.3.2,Ensure rsh client is not installed,Automated,azure_aks_node_package_audit,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
2.3.3,Ensure talk client is not installed,Automated,azure_aks_node_package_audit,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
2.3.4,Ensure telnet client is not installed,Automated,azure_aks_node_telnet_check,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
2.3.5,Ensure LDAP client is not installed,Automated,azure_functionapp_http_version_set_to_,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
2.3.6,Ensure TFTP client is not installed,Automated,azure_app_service_https_only_enabled,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
3.1.1,Ensure IPv6 is enabled,Automated,azure_aks_node_kubeconfig_permission_check,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
3.2.1,Ensure packet redirect sending is disabled,Automated,azure_aks_kubelet_anonymous_auth_check,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
3.3.1,Ensure source routed packets are not accepted,Automated,azure_vm_kernel_parameters_check,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
3.3.2,Ensure ICMP redirects are not accepted,Manual,,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
3.3.3,Ensure secure ICMP redirects are not accepted,Manual,,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
3.3.4,Ensure suspicious packets are logged,Manual,,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
3.3.5,Ensure broadcast ICMP requests are ignored,Automated,azure_vm_kernel_parameter_check,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
3.3.6,Ensure bogus ICMP responses are ignored,Automated,azure_aks_node_kernel_parameter_check,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
3.3.7,Ensure Reverse Path Filtering is enabled,Automated,azure_aks_node_sysctl_rp_filter_check,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
3.3.8,Ensure TCP SYN Cookies is enabled,Automated,azure_aks_vmss_tcp_syncookies_check,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
3.3.9,Ensure IPv6 router advertisements are not accepted,Automated,azure_aks_node_ipv,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
3.4.3.1.1,Ensure iptables package is installed,Automated,azure_aks_node_verify_iptables_installation,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
3.4.3.1.2,Ensure nftables is not installed with iptables,Automated,azure_aks_node_check_nftables,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
3.4.3.1.3,Ensure firewalld is either not installed or masked with iptables,Manual,,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
4.1.1.1,Ensure rsyslog is installed,Manual,,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
4.1.1.2,Ensure rsyslog service is enabled,Automated,azure_policy_vm_audit_rsyslog_enabled,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
4.1.1.3,Ensure rsyslog default file permissions are configured,Automated,azure_aks_node_rsyslog_file_permissions_check,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
4.1.1.4,Ensure rsyslog is not configured to receive logs from a remote client,Manual,,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
4.1.2,Ensure all logfiles have appropriate access configured,Automated,azure_aks_secrets_access_minimized,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
4.2,Ensure logrotate is configured,Manual,,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
5.1.1,Ensure cron daemon is enabled,Automated,azure_backup_vault_soft_delete_enabled,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
5.1.2,Ensure permissions on /etc/crontab are configured,Automated,azure_dataprotection_backup_vault_immutability_enabled,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
5.1.3,Ensure permissions on /etc/cron.hourly are configured,Automated,azure_aks_acr_readonly_access_check,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
5.1.4,Ensure permissions on /etc/cron.daily are configured,Automated,azure_aks_container_registry_approved,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
5.1.5,Ensure permissions on /etc/cron.weekly are configured,Manual,,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
5.1.6,Ensure permissions on /etc/cron.monthly are configured,Automated,azure_dataprotection_backup_vault_cross_subscription_restore_disabled,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
5.1.7,Ensure permissions on /etc/cron.d are configured,Automated,azure_aks_node_permission_check,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
5.1.8,Ensure cron is restricted to authorized users,Manual,,
5.1.9,Ensure at is restricted to authorized users,Manual,,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
5.2.1,Ensure permissions on /etc/ssh/sshd_config are configured,Automated,azure_aks_service_accounts_dedicated_usage_verified,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
5.2.2,Ensure permissions on SSH private host key files are configured,Automated,azure_vm_ssh_key_permissions_check,1. NIST SP 800-53 Rev. 5: AC-3. MP-2
5.2.3,Ensure permissions on SSH public host key files are configured,Manual,,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
5.2.4,Ensure SSH access is limited,Automated,azure_backup_recovery_services_vault_infrastructure_encryption_enabled,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
5.2.5,Ensure SSH LogLevel is appropriate,Automated,azure_backup_recovery_services_vault_public_network_access_disabled,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
5.2.6,Ensure SSH PAM is enabled,Automated,azure_recovery_services_vault_cross_region_restore_enabled,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
5.2.7,Ensure SSH root login is disabled,Automated,azure_backup_vault_cross_subscription_restore_disabled,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
5.2.8,Ensure SSH HostbasedAuthentication is disabled,Manual,,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
5.2.9,Ensure SSH PermitEmptyPasswords is disabled,Automated,azure_aks_node_ssh_permit_empty_passwords_check,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
5.2.10,Ensure SSH PermitUserEnvironment is disabled,Automated,azure_vm_ssh_permituserenvironment_check,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
5.2.11,Ensure SSH IgnoreRhosts is enabled,Automated,azure_policy_vm_ssh_ignorerhosts_enabled,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
5.2.12,Ensure only strong Ciphers are used,Automated,azure_automation_vm_ssh_cipher_check,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
5.2.13,Ensure only strong MAC algorithms are used,Manual,,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
5.2.14,Ensure only strong Key Exchange algorithms are used,Automated,azure_aks_cluster_ssh_kex_algorithm_check,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
5.2.15,Ensure SSH warning banner is configured,Manual,,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
5.2.16,Ensure SSH MaxAuthTries is set to 4 or less,Automated,azure_aks_node_ssh_maxauthtries_check,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
5.2.17,Ensure SSH MaxStartups is configured,Manual,,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
5.2.18,Ensure SSH LoginGraceTime is set to one minute or less,Manual,,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
5.2.19,Ensure SSH MaxSessions is set to 10 or less,Manual,,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
5.2.20,Ensure SSH Idle Timeout Interval is configured,Automated,azure_aks_cluster_ssh_idle_timeout_check,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
5.3.1,Ensure sudo is installed,Automated,azure_aks_kubernetes_secrets_encryption_enabled,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
5.3.2,Ensure re-authentication for privilege escalation is not disabled globally,Manual,,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
5.3.3,Ensure sudo authentication timeout is configured correctly,Manual,,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
5.4.1,Ensure password creation requirements are configured,Automated,azure_policy_vm_password_compliance_check,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
5.4.2,Ensure lockout for failed password attempts is configured,Automated,azure_aks_private_endpoint_enabled_public_access_disabled,"1. https://access.redhat.com/documentation/en- us/red_hat_enterprise_linux/7/html/security_guide 2. NIST SP 800-53 Rev. 5: AC-1, AC-2"
