id,title,manual_summary,final_confidence,source
3.3.4,Ensure suspicious packets are logged,"The kernel parameters required for this compliance check are not accessible through Azure's APIs, CLI, or PowerShell, necessitating direct SSH access to each VM for verification and configuration.",HIGH,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
3.4.3.1.3,Ensure firewalld is either not installed or masked with iptables,"Azure does not provide APIs to directly check the status of services like `firewalld` on AKS nodes. This requires SSH access to each node, which is a manual process.",HIGH,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
4.1.1.1,Ensure rsyslog is installed,"The verification of rsyslog installation requires direct access to the underlying VM nodes of the AKS cluster, which is not feasible through Azure's APIs or CLI due to the managed nature of the servic",HIGH,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
4.1.1.4,Ensure rsyslog is not configured to receive logs from a remote client,"Direct file system access is required to verify the rsyslog configuration, which is not possible through Azure's APIs or CLI. Azure services can monitor and alert on log patterns but cannot directly i",HIGH,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
4.2,Ensure logrotate is configured,"The specific requirement to review and verify configuration files on the node's file system cannot be automated through Azure APIs, CLI, or PowerShell, as these tools do not provide access to the inte",HIGH,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
5.1.5,Ensure permissions on /etc/cron.weekly are configured,"Azure does not provide APIs to directly check or modify file permissions on the OS level of AKS nodes. This requires SSH access, which is not typically automated due to security and management practic",HIGH,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
5.1.8,Ensure cron is restricted to authorized users,"Azure does not provide APIs to directly access or modify Linux file permissions and ownership, which are necessary for this compliance check. SSH access is required to perform these checks manually.",HIGH,
5.1.9,Ensure at is restricted to authorized users,Azure does not provide direct APIs to check file permissions or existence on AKS cluster nodes. The task requires manual verification of file system properties that are not exposed through Azure's sta,HIGH,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
5.2.3,Ensure permissions on SSH public host key files are configured,"Azure does not provide APIs to directly check or modify file permissions on AKS cluster nodes. The process requires direct access to the file system on each node, which is beyond the current capabilit",HIGH,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
5.2.8,Ensure SSH HostbasedAuthentication is disabled,"Azure APIs do not provide direct access to SSH configuration details on AKS nodes, necessitating manual verification of configuration files.",HIGH,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
5.2.13,Ensure only strong MAC algorithms are used,"The SSH configuration files on AKS nodes are not accessible via Azure APIs, and direct inspection is required to ensure compliance with the specified MAC algorithms.",HIGH,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
5.2.15,Ensure SSH warning banner is configured,"The SSH configuration on AKS nodes is not exposed through Azure APIs or CLI commands, necessitating direct node access for verification and configuration, which is inherently a manual process.",HIGH,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
5.2.17,Ensure SSH MaxStartups is configured,The specific requirement to verify SSH daemon settings directly on AKS nodes cannot be automated through Azure APIs or CLI without direct node access. This process requires manual inspection and confi,HIGH,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
5.2.18,Ensure SSH LoginGraceTime is set to one minute or less,"Azure APIs do not provide direct access to SSH configuration settings on AKS nodes, necessitating manual verification through SSH access to the nodes.",HIGH,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
5.2.19,Ensure SSH MaxSessions is set to 10 or less,"Azure does not provide direct API or CLI access to SSH configuration files on AKS nodes, necessitating manual verification through SSH access to each node.",HIGH,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
5.3.2,Ensure re-authentication for privilege escalation is not disabled globally,"The inspection of the `/etc/sudoers` file requires direct access to the node's file system, which is not exposed via Azure APIs or CLI. This necessitates manual SSH access to perform the checks and po",HIGH,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
5.3.3,Ensure sudo authentication timeout is configured correctly,"The configuration of `sudo` timeout is an OS-level setting that requires direct access to the system files, which is not accessible through Azure's standard APIs or CLI tools. Azure's capabilities do ",HIGH,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
5.5.3,Ensure default group for the root account is GID 0,"Azure's APIs and CLI tools do not provide direct access to the file system of AKS nodes, which is necessary to check the GID of the root account. This requires manual verification through SSH access.",HIGH,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
5.5.4,Ensure default user umask is 027 or more restrictive,"Azure does not provide APIs or CLI commands to directly check or modify umask settings on AKS nodes. This requires manual inspection and modification of configuration files on each node, which cannot ",HIGH,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
6.1.3,Ensure permissions on /etc/group are configured,"The specific setting for allowing users to remember MFA on trusted devices is not exposed via Azure CLI, PowerShell, or any other API, necessitating a manual check through the Azure Portal.",HIGH,1. NIST SP 800-53 Rev. 5: AC-3. MP-2
6.1.6,Ensure permissions on /etc/shadow- are configured,"Azure does not provide direct APIs or CLI commands to check file permissions on a VM's filesystem. This requires SSH access to the VM, which is a manual process.",HIGH,1. NIST SP 800-53 Rev. 5: AC-3. MP-2
6.1.7,Ensure permissions on /etc/gshadow are configured,"Azure does not provide direct APIs or CLI commands to check file permissions within VMs or AKS nodes. The verification requires SSH access to each node, which is a manual process.",HIGH,1. NIST SP 800-53 Rev. 5: AC-3. MP-2
6.2.2,Ensure all groups in /etc/passwd exist in /etc/group,"The operation requires direct access to the node's file system, which is not feasible through Azure's standard APIs or CLI tools. Automation would require custom scripts executed within the node envir",HIGH,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
6.2.10,Ensure users own their home directories,"The specific requirement to verify file system ownership directly on the nodes is not feasible through Azure APIs or CLI tools, which do not provide direct access to node-level file system details.",HIGH,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
6.2.11,Ensure users' home directories permissions are 750 or more restrictive,"This task cannot be automated via Azure APIs because it requires direct file system access to check and modify directory permissions, which is outside the scope of Azure's cloud management capabilitie",HIGH,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
6.2.12,Ensure users' dot files are not group or world writable,"The task requires direct inspection of file permissions on the OS level of AKS nodes, which is not exposed through Azure APIs or CLI tools. SSH access is necessary, making full automation infeasible.",HIGH,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
3.2.5,Ensure that the --streaming-connection-idle-timeout argument is not set to 0,"The specific kubelet configuration settings required for this compliance check are not exposed through Azure's APIs or CLI tools, necessitating direct inspection on the node itself.",HIGH,1. https://kubernetes.io/docs/admin/kubelet/ 2. https://github.com/kubernetes/kubernetes/pull/18552 3. https://docs.microsoft.com/security/benchmark/azure/security-controls-v2- posture-vulnerability-management#pv-3-establish-secure-configurations-for- compute-resources
3.2.6,Ensure that the --make-iptables-util-chains argument is set to true,"The specific configuration setting `makeIPTablesUtilChains` is not accessible via Azure's standard APIs or CLI tools, requiring manual file inspection on each node.",HIGH,1. https://kubernetes.io/docs/admin/kubelet/ 2. https://kubernetes.io/docs/tasks/administer-cluster/reconfigure-kubelet/ 3. https://docs.microsoft.com/security/benchmark/azure/security-controls-v2- network-security#ns-1-implement-security-for-internal-traffic
2.2.17,Ensure cross-origin resource sharing does not allow all origins,"The MTA configuration is not exposed via Azure APIs, requiring direct node access and command execution to verify settings, which cannot be automated through Azure's existing capabilities.",HIGH,
20.5,Ensure that 'Enable Data Access Authentication Mode' is 'Checked',"The specific property mentioned does not exist, and there is no direct API or CLI command to verify a non-existent setting. Manual inspection is required to ensure the correct security configurations ",MEDIUM,CIS_MICROSOFT_AZURE_COMPUTE_SERVICES_BENCHMARK_V2.0.0_updated_20250825_190920.json
7.5,Ensure server parameter 'connection_throttling' is set to 'ON' for PostgreSQL Database Server,"The specific parameter `connection_throttling` does not exist in Azure PostgreSQL configurations, and thus cannot be checked or set via Azure CLI, PowerShell, or APIs. Manual verification is necessary",HIGH,CIS_MICROSOFT_AZURE_DATABASE_SERVICES_BENCHMARK_V1.0.0_updated_20250825_190935.json
6.1.3,Ensure that 'Allow users to remember multifactor authentication on devices they trust' is disabled,"The specific setting for allowing users to remember MFA on trusted devices is not exposed via Azure CLI, PowerShell, or any other API, necessitating a manual check through the Azure Portal.",HIGH,CIS_MICROSOFT_AZURE_FOUNDATIONS_BENCHMARK_V4.0.0_updated_20250825_190952.json
6.2.2,Ensure that an exclusionary geographic Conditional Access policy is considered,"The operation requires direct access to the node's file system, which is not feasible through Azure's standard APIs or CLI tools. Automation would require custom scripts executed within the node envir",HIGH,CIS_MICROSOFT_AZURE_FOUNDATIONS_BENCHMARK_V4.0.0_updated_20250825_190952.json
6.3.2,Ensure that guest users are reviewed on a regular basis,The necessity and activity status of guest users involve contextual understanding and potential business impacts that require human evaluation. Automation can list users but cannot assess their ongoin,HIGH,CIS_MICROSOFT_AZURE_FOUNDATIONS_BENCHMARK_V4.0.0_updated_20250825_190952.json
6.22,Ensure that 'Require Multifactor Authentication to register or join devices with Microsoft Entra' is set to 'Yes',"The specific setting for requiring MFA during device registration or joining is not directly exposed through Azure APIs, making it necessary to manually verify this configuration through the Azure Por",HIGH,CIS_MICROSOFT_AZURE_FOUNDATIONS_BENCHMARK_V4.0.0_updated_20250825_190952.json
6.25,Ensure that 'Subscription leaving Microsoft Entra tenant' and 'Subscription entering Microsoft Entra tenant' is set to 'Permit no one',"The specific subscription movement settings are not exposed through Azure APIs, CLI, or PowerShell, making it necessary to verify and configure these settings manually through the Azure Portal.",HIGH,CIS_MICROSOFT_AZURE_FOUNDATIONS_BENCHMARK_V4.0.0_updated_20250825_190952.json
5.1.5,Ensure 'Cross Region Restore' is set to 'Enabled' on Backup vaults,"Azure does not provide APIs to directly check or modify file permissions on the OS level of AKS nodes. This requires SSH access, which is not typically automated due to security and management practic",HIGH,CIS_MICROSOFT_AZURE_STORAGE_SERVICES_BENCHMARK_V1.0.0_updated_20250825_191043.json
5.2.3,Ensure backup data in Recovery Services vaults is encrypted using customer-managed keys (CMK),"Azure does not provide APIs to directly check or modify file permissions on AKS cluster nodes. The process requires direct access to the file system on each node, which is beyond the current capabilit",HIGH,CIS_MICROSOFT_AZURE_STORAGE_SERVICES_BENCHMARK_V1.0.0_updated_20250825_191043.json
18.3,Ensure Storage Explorer is using the latest version,Azure does not provide APIs or CLI commands to directly query the version of Storage Explorer installed on user machines. This task requires access to the local environment where the application is in,HIGH,CIS_MICROSOFT_AZURE_STORAGE_SERVICES_BENCHMARK_V1.0.0_updated_20250825_191043.json
