control_id,family,family_name,cspm_scope,title,aws_checks,aws_match_confidence,azure_checks,azure_match_confidence,gcp_checks,gcp_match_confidence,oracle_checks,oracle_match_confidence,ibm_checks,ibm_match_confidence,alicloud_checks,alicloud_match_confidence,k8s_checks,k8s_match_confidence,aws_ciem_checks,azure_ciem_checks,gcp_ciem_checks,oracle_ciem_checks,ibm_ciem_checks,alicloud_ciem_checks,k8s_ciem_checks
3.1.22,3.1,Access Control,yes,Control CUI posted or processed on publicly accessible systems.,aws.storage.cloudtrail.redshift_modify_cluster_public;aws.storage.cloudtrail.rds_modify_db_instance_public;aws.container.cloudtrail.eks_cluster_public_endpoint,0.38,azure.container.registry.not_publicly_accessible;azure.aisearch.service.not_publicly_accessible,0.40,gcp.storage.bucket.not_publicly_accessible;gcp.sql.instance.not_publicly_accessible;gcp.compute.instance.not_publicly_accessible,refined,oci.objectstorage.bucket.not_publicly_accessible;oci.database.autonomous.not_publicly_accessible;oci.compute.instance.not_publicly_accessible,refined,ibm.vpc.image.not_publicly_accessible,0.40,alicloud.cr.not.publicly_accessible;alicloud.efs.not.publicly_accessible;alicloud.cr.repository.not_publicly_accessible,0.67,PARTIAL: k8s.service.not_external_ip | verifies service config lacks external IP but cannot assess data classification (CUI) or pod-level network policies,0.00,,,,,,,
3.3.6,3.3,Audit and Accountability,yes,Provide audit record reduction and report generation to support on-demand analysis and reporting.,aws.cloudtrail.trail.log_trail_logs_centralized_and_encrypted;aws.cloudtrail.trail.flow_logging_enabled;aws.cloudtrail.logs.s3_bucket_access_logging_enabled,0.57,azure.purview.audit_log.logs_centralized_and_encrypted;azure.synapse.cluster.audit_logging;azure.monitor.log.logging_enabled,0.50,gcp.logging.sink.logs_centralized;gcp.iam.audit.logs_enabled;gcp.bigquery.dataset.audit_logging,refined,oci.logging.log_group.log_analysis_enabled;oci.audit.configuration.logging_enabled;oci.audit.configuration.logs_s3_bucket_access_logging_enabled,0.43,ibm.activity_tracker.route.logs_centralized;ibm.cloud_iam.audit.logs_enabled,refined,alicloud.ims.audit.logs_enabled;alicloud.analyticdb.cluster.audit_logging;alicloud.actiontrail.trail.logging_enabled,0.40,k8s.audit.log.analysis_mechanism;k8s.audit.log.analysis_configured;k8s.audit.log.enabled,0.60,NEW: aws.cloudtrail.audit.reduction;aws.cloudtrail.chain.anomaly,NEW: azure.monitor.activity_log.reduction;azure.security.chain.defense_evasion,NEW: gcp.logging.audit.sink_tamper;gcp.iam.activity_log.anomaly,NEW: oci.audit.activity_log.tamper;oci.iam.chain.privilege_escalation,NEW: ibm.activitytracker.audit.reduction;ibm.iam.activity_log.anomaly,NEW: alicloud.actiontrail.audit.tamper;alicloud.ram.chain.defense_evasion,NEW: k8s.audit.activity_log.suppression;k8s.rbac.chain.privilege_abuse
3.3.7,3.3,Audit and Accountability,yes,Provide a system capability that compares and synchronizes internal system clocks with an authoritative source to generate time stamps for audit records.,aws.cloudtrail.trail.log_trail_logs_centralized_and_encrypted;aws.cloudtrail.trail.flow_logging_enabled,refined,azure.purview.audit_log.logs_centralized_and_encrypted;azure.synapse.cluster.audit_logging;azure.monitor.activity_log.logs_centralized,refined,NEW: gcp.compute.instance.os_config.time_sync,0.00,oci.audit.configuration.logging_enabled;oci.audit.configuration.logs_s3_bucket_access_logging_enabled,refined,PARTIAL: ibm.activity_tracker.configuration.enabled | verifies audit log generation but not the underlying time sync mechanism for stamps,0.00,alicloud.ims.audit.logs_enabled;alicloud.analyticdb.cluster.audit_logging;alicloud.actiontrail.trail.logging_enabled,refined,k8s.audit.log.enabled;k8s.audit.log.timestamps_configured;k8s.audit.log.retention_configured,refined,NEW: aws.ec2.activity_log.modify_time_sync;aws.cloudtrail.audit.logging_disruption,NEW: azure.vm.activity_log.modify_time_config;azure.monitor.audit.diagnostic_disable,NEW: gcp.compute.activity_log.modify_guest_time;gcp.logging.audit.sink_disable,NEW: oci.compute.activity_log.modify_instance_time;oci.audit.audit.config_change,NEW: ibm.vpc.activity_log.modify_instance_time;ibm.activity_tracker.audit.route_disable,NEW: alicloud.ecs.activity_log.modify_time_service;alicloud.actiontrail.audit.trail_disable,NEW: k8s.node.chain.time_sync_tamper
3.3.9,3.3,Audit and Accountability,yes,Limit management of audit logging functionality to a subset of privileged users.,aws.cloudtrail.trail.log_trail_logs_centralized_and_encrypted;aws.cloudtrail.trail.flow_logging_enabled;aws.timestream.resource.cloudtrail_management_and_data_logging_enabled,0.57,azure.purview.audit_log.logs_centralized_and_encrypted;azure.synapse.cluster.audit_logging;azure.monitor.log.logging_enabled,0.50,NEW: gcp.iam.policy.binding.audit_log_admin,0.00,oci.audit.configuration.logging_enabled;oci.audit.configuration.logs_s3_bucket_access_logging_enabled,0.40,PARTIAL: ibm.iam.policy.audit_log_admin | verifies IAM policy binding for audit log management roles but may not cover all logging services,0.00,alicloud.ims.audit.logs_enabled;alicloud.analyticdb.cluster.audit_logging;alicloud.actiontrail.trail.logging_enabled,0.40,k8s.audit.log.enabled;k8s.audit.change.management_logging_enabled;k8s.audit.log.timestamps_configured,0.50,NEW: aws.cloudtrail.audit.disable;aws.cloudtrail.chain.audit_evasion,NEW: azure.monitor.audit.disable;azure.activitylog.chain.suppress,NEW: gcp.logging.audit.sink_modify;gcp.iam.chain.log_bypass,NEW: oci.audit.config_modify;oci.audit.chain.event_rule_disable,NEW: ibm.activitytracker.audit.disable;ibm.iam.chain.tracker_access,NEW: alicloud.actiontrail.audit.delete;alicloud.actiontrail.chain.trail_stop,NEW: k8s.audit.logging.disable;k8s.rbac.chain.audit_policy
3.4.3,3.4,Configuration Management,yes,"Track, review, approve or disapprove, and log changes to organizational systems.",aws.cloudtrail.trail.log_trail_logs_centralized_and_encrypted;aws.cloudtrail.trail.flow_logging_enabled;aws.cloudtrail.logs.s3_bucket_access_logging_enabled,0.57,azure.purview.audit_log.logs_centralized_and_encrypted;azure.synapse.cluster.audit_logging;azure.monitor.log.logging_enabled,0.50,NEW: gcp.logging.sink.destination_and_filter,0.00,oci.audit.configuration.logging_enabled;oci.logging.log_group.role_changes_enabled;oci.logging.log_group.network_changes_enabled,0.40,ibm.activity_tracker.route.configured;ibm.iam.access_group.rule.logging_enabled,refined,alicloud.ims.audit.logs_enabled;alicloud.analyticdb.cluster.audit_logging;alicloud.actiontrail.trail.logging_enabled,0.40,k8s.audit.log.access_review;k8s.audit.log.network_policy_changes;k8s.audit.log.enabled,0.60,NEW: aws.cloudtrail.activity_log.config_change;aws.iam.audit.privileged_action,NEW: azure.monitor.activity_log.policy_change;azure.aad.audit.directory_change,NEW: gcp.cloudaudit.activity_log.iam_change;gcp.resourcemanager.audit.project_change,NEW: oci.audit.activity_log.compartment_change;oci.identity.audit.policy_change,NEW: ibm.activitytracker.activity_log.iam_change;ibm.resourcecontroller.audit.resource_change,NEW: alicloud.actiontrail.activity_log.ram_change;alicloud.resourcemanager.audit.folder_change,NEW: k8s.audit.chain.config_change
3.4.4,3.4,Configuration Management,yes,Analyze the security impact of changes prior to implementation.,NEW: aws.iam.policy.change_approval,0.00,NEW: azure.policy.policy_assignment,0.00,NEW: gcp.organization_policy.constraint,0.00,NEW: oci.identity.policy,0.00,NEW: ibm.iam.access_group_policy,0.00,NEW: alicloud.ram.policy,0.00,PARTIAL: k8s.rbac.role | verifies RBAC role configuration exists but cannot verify change analysis process execution,0.00,,,,,,,
3.4.5,3.4,Configuration Management,yes,"Define, document, approve, and enforce physical and logical access restrictions associated with changes to organizational systems.",aws.iam.role.least_privilege;aws.iam.policy.editors_rbac_least_privilege;aws.ssm.document.rbac_least_privilege,0.75,azure.ad.role.least_privilege;azure.backup.policy.access_backup_vault_rbac_least_privilege;azure.monitor.trace.access_rbac_least_privilege,0.67,gcp.trace.trace.trace_access_rbac_least_privilege;gcp.iam.policy.rbac_policy_conditions_used_where_applicable;gcp.trace.trace.monitoring_access_rbac_least_privilege,0.60,oci.identity.policy.policy_editors_rbac_least_privilege_required;oci.identity.policy.policy_admin_rbac_least_privilege_required;oci.monitoring.alarm.policy_changes,0.43,ibm.iam.policy.rbac_least_privilege;ibm.iam.role.least_privilege,refined,alicloud.dataworks.lineage.access_rbac_least_privilege;alicloud.dataworks.lineage_data.lineage_access_rbac_least_privilege;alicloud.cas.cas_private_ca.private_ca_ca_access_rbac_least_privilege,0.50,k8s.rbac.role.least_privilege_enforced;k8s.role.permission.secrets_access_restricted;k8s.rbac.serviceaccount.least_privilege,0.60,,,,,,,
3.4.8,3.4,Configuration Management,yes,"Apply deny-by-exception (blacklisting) policy to prevent the use of unauthorized software or deny-all, permit-by-exception (whitelisting) policy to allow the execution of authorized software.",aws.iam.role.least_privilege;aws.iam.policy.execution_roles_least_privilege;aws.iam.policy.editors_rbac_least_privilege,0.75,azure.ad.role.least_privilege;azure.backup.policy.access_backup_vault_rbac_least_privilege;azure.monitor.trace.access_rbac_least_privilege,0.67,gcp.trace.trace.trace_access_rbac_least_privilege;gcp.iam.policy.rbac_policy_conditions_used_where_applicable;gcp.trace.trace.monitoring_access_rbac_least_privilege,0.60,oci.identity.policy.policy_editors_rbac_least_privilege_required;oci.identity.policy.policy_admin_rbac_least_privilege_required;oci.database.database.database_policy_least_privilege_required,0.43,ibm.iam.policy.rbac_least_privilege;ibm.iam.role.least_privilege_enforced,refined,alicloud.dataworks.workflow.execution_role_least_privilege;alicloud.dataworks.lineage.access_rbac_least_privilege;alicloud.cfw.policy.access_control_no_permit_all,0.50,k8s.rbac.role.least_privilege_enforced;k8s.role.permission.secrets_access_restricted;k8s.rbac.serviceaccount.least_privilege,0.60,NEW: aws.ec2.activity_log.run_instances;aws.ssm.audit.send_command,NEW: azure.compute.activity_log.create_vm;azure.automation.audit.runbook_start,NEW: gcp.compute.activity_log.insert;gcp.osconfig.audit.patch_execution,NEW: oci.compute.activity_log.launch_instance;oci.osmanagement.audit.software_install,NEW: ibm.vpc.activity_log.create_instance;ibm.schematics.audit.workspace_apply,NEW: alicloud.ecs.activity_log.run_instances;alicloud.oos.audit.execute_template,NEW: k8s.pods.audit.create;k8s.jobs.audit.create
3.5.1,3.5,Identification and Authentication,yes,"Identify system users, processes acting on behalf of users, and devices.",NEW: aws.iam.user.user_name,0.00,NEW: azure.aad.user.user_principal_name,0.00,NEW: gcp.iam.service_account.email,0.00,NEW: oci.iam.user.name,0.00,PARTIAL: ibm.iam.user.email | verifies IAM user identity but not federated/SSO identities,0.00,NEW: alicloud.ram.user.user_name,0.00,NEW: k8s.core.service_account.name,0.00,,,,,,,
3.5.4,3.5,Identification and Authentication,yes,Employ replay-resistant authentication mechanisms for network access to privileged and non- privileged accounts.,aws.iam.role.least_privilege;aws.iam.policy.editors_rbac_least_privilege;aws.iam.role.scopes_or_s_least_privilege,0.75,azure.ad.role.least_privilege;azure.network.endpoint.policy_least_privilege;azure.network.vnet.subnet.nsg.association.check,0.67,gcp.trace.trace.trace_access_rbac_least_privilege;gcp.iam.policy.rbac_policy_conditions_used_where_applicable;gcp.trace.trace.monitoring_access_rbac_least_privilege,0.60,oci.identity.policy.policy_editors_rbac_least_privilege_required;oci.identity.policy.policy_admin_rbac_least_privilege_required;oci.network_firewall.network_firewall.multi_az,0.43,ibm.vpc.subnet.not_using_default_network_acl;ibm.vpc.security_group.no_unrestricted_ssh_access;ibm.vpc.security_group.no_unrestricted_rdp_access,0.50,alicloud.dataworks.lineage.access_rbac_least_privilege;alicloud.dataworks.lineage_data.lineage_access_rbac_least_privilege;alicloud.cr.instance.access_policy_and_network_restriction_audit,0.50,k8s.rbac.role.least_privilege_enforced;k8s.role.permission.secrets_access_restricted;k8s.rbac.serviceaccount.least_privilege,0.60,NEW: aws.iam.activity_log.replay_attempt;aws.cloudtrail.chain.replay_auth_anomaly,NEW: azure.aad.activity_log.replay_token;azure.monitor.chain.replay_sequence,NEW: gcp.iam.activity_log.replay_detection;gcp.cloudaudit.chain.replay_behavior,NEW: oci.identity.audit.replay_attempt;oci.audit.chain.auth_replay_pattern,NEW: ibm.iam.activity_log.replay_auth;ibm.activity_tracker.chain.replay_sequence,NEW: alicloud.ram.activity_log.replay_detection;alicloud.actiontrail.chain.replay_anomaly,NEW: k8s.audit.chain.replay_credential_use
3.5.9,3.5,Identification and Authentication,yes,Allow temporary password use for system logons with an immediate change to a permanent password.,"SKIP: Control pertains to user authentication workflow, not a static cloud IAM resource configuration.",0.00,"SKIP: Control pertains to user authentication workflow, not a static cloud IAM resource configuration.",0.00,"SKIP: Control pertains to user authentication workflow, not a static cloud IAM resource configuration.",0.00,"SKIP: Control pertains to user authentication workflow, not a static cloud IAM resource configuration.",0.00,"SKIP: Control pertains to user authentication workflow, not a static cloud IAM resource configuration.",0.00,"SKIP: Control pertains to user authentication workflow, not a static cloud IAM resource configuration.",0.00,"SKIP: Control pertains to user authentication workflow, not a static cloud IAM resource configuration.",0.00,,,,,,,
3.5.11,3.5,Identification and Authentication,yes,Obscure feedback of authentication information.,NEW: aws.iam.password_policy.hide_password_feedback,0.00,NEW: azure.aad.password_policy.hide_feedback,0.00,NEW: gcp.iam.password_policy.hide_feedback,0.00,NEW: oci.identity.password_policy.hide_feedback,0.00,NEW: ibm.iam.password_policy.hide_feedback,0.00,NEW: alicloud.ram.password_policy.hide_feedback,0.00,SKIP: <Kubernetes does not manage user password policies or authentication feedback; it relies on external identity providers.>,0.00,,,,,,,
3.6.3,3.6,Incident Response,partial,Test the organizational incident response capability.,"SKIP: Control is a test of human/process capability, not a static cloud resource configuration.",0.00,"SKIP: Control is a test of human/process capability, not a static cloud resource configuration.",0.00,"SKIP: Control is a test of human/process capability, not a static cloud resource configuration.",0.00,"SKIP: Control is a test of human/process capability, not a static cloud resource configuration.",0.00,"SKIP: Control is a test of human/process capability, not a static cloud resource configuration.",0.00,"SKIP: Control is a test of human/process capability, not a static cloud resource configuration.",0.00,"SKIP: Control is a test of human/process capability, not a static cloud resource configuration.",0.00,NEW: aws.cloudtrail.activity_log.DeleteTrail;aws.cloudtrail.audit.StopLogging,NEW: azure.monitor.activity_log.DeleteDiagnosticSetting;azure.security.chain.DisableASCAlerts,NEW: gcp.logging.audit.sinkDelete;gcp.iam.chain.ServiceAccountKeyCreate,NEW: oci.audit.activity_log.ConfigurationChange;oci.events.chain.RuleDeactivate,NEW: ibm.activity_tracker.activity_log.DeleteRoute;ibm.iam.chain.AccessPolicyUpdate,NEW: alicloud.actiontrail.activity_log.DeleteTrail;alicloud.ram.chain.DetachPolicy,NEW: k8s.audit.chain.RBACDeletePodLogs
3.7.1,3.7,Maintenance,partial,Perform maintenance on organizational systems. ,"SKIP: Control is a procedural maintenance process, not a specific resource configuration.",0.00,"SKIP: Control is a procedural maintenance process, not a specific resource configuration.",0.00,"SKIP: Control is a procedural maintenance process, not a specific resource configuration.",0.00,"SKIP: Control is a procedural maintenance process, not a specific resource configuration.",0.00,"SKIP: Control is a procedural maintenance process, not a specific resource configuration.",0.00,"SKIP: Control is a procedural maintenance process, not a specific resource configuration.",0.00,"SKIP: Control is a procedural maintenance process, not a specific resource configuration.",0.00,,,,,,,
3.7.2,3.7,Maintenance,partial,"Provide controls on the tools, techniques, mechanisms, and personnel used to conduct system maintenance.","SKIP: Control is about personnel and process for maintenance tools, not a specific cloud resource configuration.",0.00,"SKIP: Control is about personnel and process for maintenance tools, not a specific cloud resource configuration.",0.00,"SKIP: Control is about personnel and process for maintenance tools, not a specific cloud resource configuration.",0.00,"SKIP: Control is about personnel and process for maintenance tools, not a specific cloud resource configuration.",0.00,"SKIP: Control is about personnel and process for maintenance tools, not a specific cloud resource configuration.",0.00,"SKIP: Control is about personnel and process for maintenance tools, not a specific cloud resource configuration.",0.00,"SKIP: Control is about personnel and process for maintenance tools, not a specific cloud resource configuration.",0.00,,,,,,,
3.7.3,3.7,Maintenance,partial,Ensure equipment removed for off-site maintenance is sanitized of any CUI.,"SKIP: Physical equipment sanitization is a physical/human process, not a cloud resource configuration.",0.00,"SKIP: Physical equipment sanitization is a physical/human process, not a cloud resource configuration.",0.00,"SKIP: Physical equipment sanitization is a physical/human process, not a cloud resource configuration.",0.00,"SKIP: Physical equipment sanitization is a physical/human process, not a cloud resource configuration.",0.00,"SKIP: Physical equipment sanitization is a physical/human process, not a cloud resource configuration.",0.00,"SKIP: Physical equipment sanitization is a physical/human process, not a cloud resource configuration.",0.00,"SKIP: Physical equipment sanitization is a physical/human process, not a cloud resource configuration.",0.00,,,,,,,
