framework,control_id,title,automation_type_recommended,mapped_csp_count,new_csp_count,skip_csp_count,aws_cspm,aws_ciem,azure_cspm,azure_ciem,gcp_cspm,gcp_ciem,oracle_cspm,oracle_ciem,ibm_cspm,ibm_ciem,alicloud_cspm,alicloud_ciem,k8s_cspm,k8s_ciem
PCI_DSS,3.5.1.1,"Hashes used to render PAN unreadable (per the first bullet of Requirement 3.5.1) are keyed cryptographic hashes of the entire PAN, with associated key management processes and procedures in accordance with Requirements 3",manual,0,0,7,"SKIP: Control pertains to application-level data processing and cryptographic key management, not directly to cloud resource configuration.",,"SKIP: Control pertains to application-level data processing and cryptographic key management, not directly to cloud resource configuration.",,"SKIP: Control pertains to application-level data processing and cryptographic key management, not directly to cloud resource configuration.",,"SKIP: Control pertains to application-level data processing and cryptographic key management, not directly to cloud resource configuration.",,"SKIP: Control pertains to application-level data processing and cryptographic key management, not directly to cloud resource configuration.",,"SKIP: Control pertains to application-level data processing and cryptographic key management, not directly to cloud resource configuration.",,"SKIP: Control pertains to application-level data processing and cryptographic key management, not directly to cloud resource configuration.",
PCI_DSS,3.7.9,"3.7.9 Additional requirement for service providers only: Where a service provider shares cryptographic keys with its customers for transmission or storage of account data, guidance on secure transmission, storage and upd",automated,7,0,0,aws.s3.bucket.storage_encrypted_and_private;aws.s3.bucket.object_versioning_configured;aws.ebs.volume.snapshots_encrypted,,azure.storage.bucket.object.versioning;azure.storage.disk.data_protection_volume_snapshots_encrypted;azure.storage.blob.data_protection_object_not_publicly_readable,,gcp.storage.object.object_not_publicly_readable;gcp.storage.object.object_encrypted_at_rest;gcp.storage.bucket.bucket_versioning_enabled,,oci.object_storage.bucket.storage_bucket_secure_transport_policy;oci.object_storage.bucket.storage_bucket_object_versioning;oci.object_storage.bucket.storage_accounts,,ibm.object_storage.bucket.versioning_enabled;ibm.object_storage.bucket.ssl_enforced;ibm.object_storage.bucket.no_public_access,,alicloud.ecs.ebs.volume_encryption,,k8s.storage.volume.snapshot_enabled;k8s.storage.volume.backup_policy_defined;k8s.storage.volume.backup_enabled,
PCI_DSS,5.2.1,"An anti-malware solution(s) is deployed on all system components, except for those system components identified in periodic evaluations per Requirement 5.2.3 that concludes the system components are not at risk from malw",automated,0,4,0,NEW: aws.ec2.instance.antimalware_agent,,NEW: azure.compute.virtual_machine.antimalware_extension,,NEW: gcp.compute.instance.guest_policy,,"PARTIAL: oci.compute.instance.agent_status | verifies management agent is installed and running, which is a prerequisite for anti-malware, but does not verify the anti-malware solution itself",,"PARTIAL: ibm.vpc.instance.agent_status | verifies VPC instance metadata for agent status, which can indicate security agent presence, but does not directly verify anti-malware",,"PARTIAL: alicloud.ecs.instance.security_agent | verifies the installation status of the Cloud Security Center agent, which provides anti-malware capabilities, but does not verify specific anti-malware configuration or execution",,NEW: k8s.security.pod_security_policy,
PCI_DSS,5.3.2.1,"If periodic malware scans are performed to meet Requirement 5.3.2, the frequency of scans is defined in the entity’s targeted risk analysis, which is performed according to all elements specified in Requirement 12.3.1.",manual,0,0,7,"SKIP: Control defines a process for setting scan frequency, not a specific cloud resource configuration.",,"SKIP: Control defines a process for setting scan frequency, not a specific cloud resource configuration.",,"SKIP: Control defines a process for setting scan frequency, not a specific cloud resource configuration.",,"SKIP: Control defines a process for setting scan frequency, not a specific cloud resource configuration.",,"SKIP: Control defines a process for setting scan frequency, not a specific cloud resource configuration.",,"SKIP: Control defines a process for setting scan frequency, not a specific cloud resource configuration.",,"SKIP: Control defines a process for setting scan frequency, not a specific cloud resource configuration.",
PCI_DSS,5.3.4,Audit logs for the anti-malware solution(s) are enabled and retained in accordance with Requirement 10.5.1.,automated,6,0,0,aws.cloudtrail.trail.flow_logging_enabled;aws.cloudtrail.cloudwatch.logging_enabled;aws.cloudtrail.trail.log_trail_logs_centralized_and_encrypted,NEW: aws.guardduty.audit.disable;aws.cloudtrail.chain.antimalware_log_deletion,azure.monitor.log.logging_enabled;azure.security.defender.enabled;azure.purview.catalog.data_catalog_audit_logging_enabled,NEW: azure.securitycenter.audit.disable;azure.monitor.chain.log_removal,gcp.datacatalog.catalog.catalog_catalog_audit_logging_enabled;gcp.datacatalog.entry.catalog_audit_logging_enabled;gcp.datacatalog.catalog.lineage_catalog_audit_logging_enabled,NEW: gcp.securitycenter.audit.disable;gcp.logging.chain.sink_deletion,oci.audit.configuration.logging_enabled;oci.identity.user.audit_logs_enabled;oci.data_catalog.catalog.catalog_audit_logging_enabled,NEW: oci.events.audit.log_disable;oci.logging.chain.log_group_deletion,PARTIAL: ibm.activity_tracker.tracker.logging_enabled | verifies platform audit logging exists but not host-based anti-malware agent logs,NEW: ibm.securityadvisor.audit.disable;ibm.activitytracker.chain.log_export_delete,alicloud.ims.audit.logs_enabled;alicloud.actiontrail.trail.logging_enabled;alicloud.hologres.parameter.audit_logging_enabled,NEW: alicloud.securitycenter.audit.disable;alicloud.actiontrail.chain.trail_deletion,k8s.audit.log.enabled;k8s.audit.log.integrity_enabled;k8s.apiserver.audit.logging_enabled,NEW: k8s.falco.audit.disable;k8s.fluentd.chain.log_evasion
PCI_DSS,6.3.1,"Security vulnerabilities are identified and managed as follows: • New security vulnerabilities are identified using industry-recognized sources for security vulnerability information, including alerts from international ",automated,3,2,1,NEW: aws.ec2.instance.vulnerability_scan,NEW: aws.securityhub.activity_log.finding_import;aws.guardduty.activity_log.finding_creation,azure.security.vulnerability_maintenance.vuln_maintenance_window_defined,NEW: azure.securitycenter.activity_log.alert_suppression;azure.policy.activity_log.exemption_creation,gcp.osconfig.patch_deployment.managed_compliant_patching,NEW: gcp.securitycenter.activity_log.finding_state_change;gcp.cloudasset.activity_log.export_delete,NEW: oci.vulnerability_scanning.host_scan_target,NEW: oci.vulnerabilityscanning.activity_log.host_scan_disable;oci.events.audit.rule_deactivation,PARTIAL: ibm.vpc.instance.vulnerability_scan | verifies scan target configuration exists but not the external intelligence source or human process,NEW: ibm.securityadvisor.activity_log.note_creation;ibm.activitytracker.audit.config_change,alicloud.cms.alerts.create_update_security_solution;alicloud.bss.managed.compliant_patching;alicloud.cloudmonitor.alerts.security_solution_creation_update_monitored,NEW: alicloud.sas.activity_log.backup_policy_delete;alicloud.actiontrail.audit.trail_stop,"SKIP: Control is about external vulnerability identification processes and industry alerts, not a verifiable configuration of Kubernetes resources.",NEW: k8s.admission.audit.webhook_bypass;k8s.rbac.chain.clusterrole_escalation
PCI_DSS,6.3.3,All system components are protected from known vulnerabilities by installing applicable security patches/updates as follows: • Patches/updates for critical vulnerabilities (identified according to the risk ranking proces,automated,7,0,0,aws.ec2.instance.patches_applied;aws.ssm.patch_compliance_status,,azure.security.defender.system_updates_applied,,gcp.compute.instance.patches_applied;gcp.osconfig.patch_compliance_status,,oci.compute.instance.patches_applied;oci.osmanagement.managed_instance_compliance,,ibm.vpc.instance.patches_applied;ibm.schematics.workspace_compliance,,alicloud.cr.image.critical_vulnerabilities_blocked,,k8s.pod.security.patches_applied,
PCI_DSS,6.5.2,"6.5.2 Upon completion of a significant change, all applicable PCI DSS requirements are confirmed to be in place on all new or changed systems and networks, and documentation is updated as applicable.",manual,0,0,7,"SKIP: Requires checking human change process and documentation, not a static resource configuration.",,"SKIP: Requires checking human change process and documentation, not a static resource configuration.",,"SKIP: Requires checking human change process and documentation, not a static resource configuration.",,"SKIP: Requires checking human change process and documentation, not a static resource configuration.",,"SKIP: Requires checking human change process and documentation, not a static resource configuration.",,"SKIP: Requires checking human change process and documentation, not a static resource configuration.",,"SKIP: Requires checking human change process and documentation, not a static resource configuration.",
PCI_DSS,7.2.4,"All user accounts and related access privileges, including third-party/vendor accounts, are reviewed as follows:   • At least once every six months.   • To ensure user accounts and access remain appropriate based on job ",automated,7,0,0,aws.iam.role.least_privilege;aws.iam.policy.editors_rbac_least_privilege;aws.iam.role.scopes_or_s_least_privilege,NEW: aws.iam.audit.user_access_review_override;aws.cloudtrail.chain.privilege_retention_evasion,azure.ad.role.least_privilege;azure.policy.definition.identity_access_rbac_conditions_used_where_applicable;azure.backup.policy.access_backup_vault_rbac_least_privilege,NEW: azure.aad.audit.user_access_review_bypass;azure.monitor.chain.role_assignment_persistence,gcp.trace.trace.trace_access_rbac_least_privilege;gcp.iam.policy.rbac_policy_conditions_used_where_applicable;gcp.dataproc.job.job_role_least_privilege,NEW: gcp.iam.audit.service_account_key_after_review;gcp.cloudaudit.chain.project_role_evasion,oci.identity.user.policy;oci.identity.user.role_least_privilege_required;oci.identity.user.policy_no_administrative_privileges,NEW: oci.identity.audit.user_capability_reactivation;oci.audit.chain.compartment_policy_evasion,ibm.iam_identity.account.access_token_expiration_configured,NEW: ibm.iam.audit.serviceid_privilege_reversion;ibm.activitytracker.chain.access_group_evasion,alicloud.dataworks.job.role_least_privilege;alicloud.dlf.job.least_privilege;alicloud.dataworks.lineage.access_rbac_least_privilege,NEW: alicloud.ram.audit.user_login_profile_reactivate;alicloud.actiontrail.chain.ram_policy_evasion,k8s.rbac.role.least_privilege_enforced;k8s.rbac.user.access_review_policy_implemented;k8s.role.permission.secrets_access_restricted,NEW: k8s.rbac.audit.rolebinding_after_review;k8s.audit.chain.serviceaccount_privilege_escalation
PCI_DSS,7.2.6,"All user access to query repositories of stored cardholder data is restricted as follows:   • Via applications or other programmatic methods, with access and allowed actions based on user roles and least privileges.   • ",automated,7,0,0,aws.iam.role.least_privilege;aws.iam.policy.execution_roles_least_privilege;aws.iam.policy.editors_rbac_least_privilege,,azure.ad.role.least_privilege;azure.policy.definition.identity_access_rbac_conditions_used_where_applicable;azure.backup.policy.access_backup_vault_rbac_least_privilege,,gcp.trace.trace.trace_access_rbac_least_privilege;gcp.iam.policy.rbac_policy_conditions_used_where_applicable;gcp.trace.trace.monitoring_access_rbac_least_privilege,,oci.identity.user.policy;oci.identity.user.role_least_privilege_required;oci.identity.user.policy_no_administrative_privileges,,ibm.iam_policy_management.policy.no_wildcard_actions;ibm.iam_identity.account.service_id_creation_restricted;ibm.iam_identity.account.api_key_creation_restricted,,alicloud.dataworks.lineage.access_rbac_least_privilege;alicloud.emr.cluster.iam_roles_least_privilege_enforced;alicloud.dataworks.lineage_data.lineage_access_rbac_least_privilege,,k8s.role.permission.secrets_access_restricted;k8s.role.permission.exec_restricted;k8s.rbac.serviceaccount.restricted_roles,
PCI_DSS,8.2.2,"Group, shared, or generic IDs, or other shared authentication credentials are only used when necessary on an exception basis, and are managed as follows: • ID use is prevented unless needed for an exceptional circumstanc",automated,0,4,0,NEW: aws.iam.user.password_policy.hard_expiry,,NEW: azure.aad.user.password_policy.enforce_change,,NEW: gcp.iam.service_account.key_rotation,,PARTIAL: oci.identity.user.password_policy.enforce_change | verifies password policy for IAM users exists but does not directly enforce shared credential use on an exception basis,,PARTIAL: ibm.iam.user.password_policy.enforce_change | verifies password policy for IAM users exists but does not directly enforce shared credential use on an exception basis,,PARTIAL: alicloud.ram.user.password_policy.enforce_change | verifies password policy for RAM users exists but does not directly enforce shared credential use on an exception basis,,NEW: k8s.core.service_account.automount_token,
PCI_DSS,8.2.3,Additional requirement for service providers only: Service providers with remote access to customer premises use unique authentication factors for each customer premises.,automated,7,0,0,aws.iam.role.least_privilege;aws.iam.policy.editors_rbac_least_privilege;aws.iam.role.scopes_or_s_least_privilege,,azure.ad.role.least_privilege;azure.backup.policy.access_backup_vault_rbac_least_privilege;azure.monitor.trace.access_rbac_least_privilege,,gcp.trace.trace.trace_access_rbac_least_privilege;gcp.iam.policy.rbac_policy_conditions_used_where_applicable;gcp.trace.trace.monitoring_access_rbac_least_privilege,,oci.identity.policy.policy_editors_rbac_least_privilege_required;oci.identity.policy.policy_admin_rbac_least_privilege_required;oci.compute.instance.instance_default_service_account_in_use_access,,ibm.iam.activity.service_id_locked;ibm.iam_policy_management.policy.service_level_scope_defined,,alicloud.dataworks.lineage.access_rbac_least_privilege;alicloud.dataworks.lineage_data.lineage_access_rbac_least_privilege;alicloud.cas.cas_private_ca.private_ca_ca_access_rbac_least_privilege,,k8s.rbac.unique.service_account_per_user;k8s.rbac.role.least_privilege_enforced;k8s.role.permission.secrets_access_restricted,
PCI_DSS,8.3.1,"All user access to system components for users and administrators is authenticated via at least one of the following authentication factors: • Something you know, such as a password or passphrase. • Something you have, s",automated,7,0,0,aws.iam.role.least_privilege;aws.iam.policy.editors_rbac_least_privilege;aws.secretsmanager.secret.rbac_least_privilege,,azure.keyvault.secret.access_rbac_least_privilege;azure.ad.role.least_privilege;azure.policy.definition.identity_access_rbac_conditions_used_where_applicable,,gcp.trace.trace.trace_access_rbac_least_privilege;gcp.iam.policy.rbac_policy_conditions_used_where_applicable;gcp.trace.trace.monitoring_access_rbac_least_privilege,,oci.identity.user.policy;oci.identity.user.role_least_privilege_required;oci.identity.user.password_policy_uppercase,,ibm.iam_identity.account.access_token_expiration_configured,,alicloud.dataworks.lineage.access_rbac_least_privilege;alicloud.dataworks.lineage_data.lineage_access_rbac_least_privilege;alicloud.cas.cas_private_ca.private_ca_ca_access_rbac_least_privilege,,k8s.rbac.role.least_privilege_enforced;k8s.rbac.user.access_review_policy_implemented;k8s.role.permission.secrets_access_restricted,
PCI_DSS,8.3.2,Strong cryptography is used to render all authentication factors unreadable during transmission and storage on all system components.,automated,7,0,0,aws.s3.bucket.storage_encrypted_and_private;aws.s3.bucket.object_versioning_configured;aws.ebs.volume.snapshots_encrypted,,azure.storage.bucket.object.versioning;azure.storage.disk.data_protection_volume_snapshots_encrypted;azure.storage.blob.data_protection_object_not_publicly_readable,,gcp.storage.object.object_not_publicly_readable;gcp.storage.object.object_encrypted_at_rest;gcp.storage.bucket.bucket_versioning_enabled,,oci.object_storage.bucket.storage_bucket_object_versioning;oci.object_storage.bucket.storage_accounts;oci.object_storage.storage.bucket_lifecycle_enabled,,ibm.object_storage.bucket.versioning_enabled;ibm.object_storage.bucket.ssl_enforced;ibm.object_storage.bucket.no_public_access,,alicloud.ecs.ebs.volume_encryption,,k8s.storage.volume.snapshot_enabled;k8s.storage.volume.backup_policy_defined;k8s.storage.volume.backup_enabled,
PCI_DSS,8.3.5,"If passwords/passphrases are used as authentication factors to meet Requirement 8.3.1, they are set and reset for each user as follows: • Set to a unique value for first-time use and upon reset. • Forced to be changed im",automated,7,0,0,aws.iam.user.password_policy_exists;aws.iam.user.password_requires_change,,azure.aad.user.password_policy_exists;azure.aad.user.force_password_change,,gcp.iam.user.password_policy_exists;gcp.iam.user.password_requires_reset,,oci.identity.user.user_in_group;oci.identity.user.user_has_mfa;oci.identity.user.storage_is_on,,ibm.iam.user.password_policy_exists;ibm.iam.user.force_password_reset,,alicloud.ram.user.password_policy_exists;alicloud.ram.user.password_requires_change,,k8s.rbac.user.unique_identifiers;k8s.rbac.unique.service_account_per_user,
PCI_DSS,8.3.6,"If passwords/passphrases are used as authentication factors to meet Requirement 8.3.1, they meet the following minimum level of complexity: • A minimum length of 12 characters (or if the system does not support 12 charac",manual,0,0,7,"SKIP: Password complexity is an identity provider or directory service setting, not a cloud resource configuration checkable by CSPM.",,"SKIP: Password complexity is an identity provider or directory service setting, not a cloud resource configuration checkable by CSPM.",,"SKIP: Password complexity is an identity provider or directory service setting, not a cloud resource configuration checkable by CSPM.",,"SKIP: Password complexity is an identity provider or directory service setting, not a cloud resource configuration checkable by CSPM.",,"SKIP: Password complexity is an identity provider or directory service setting, not a cloud resource configuration checkable by CSPM.",,"SKIP: Password complexity is an identity provider or directory service setting, not a cloud resource configuration checkable by CSPM.",,"SKIP: Password complexity is managed by an external identity provider or system, not a Kubernetes resource configuration.",
PCI_DSS,8.3.10.1,"Additional requirement for service providers only: If passwords/passphrases are used as the only authentication factor for customer user access, then either: • Passwords/passphrases are changed at least once every 90 day",automated,7,0,0,aws.iam.role.least_privilege;aws.iam.policy.editors_rbac_least_privilege;aws.iam.role.scopes_or_s_least_privilege,,azure.ad.role.least_privilege;azure.policy.definition.identity_access_rbac_conditions_used_where_applicable;azure.backup.policy.access_backup_vault_rbac_least_privilege,,gcp.trace.trace.trace_access_rbac_least_privilege;gcp.iam.policy.rbac_policy_conditions_used_where_applicable;gcp.trace.trace.monitoring_access_rbac_least_privilege,,oci.identity.user.policy;oci.identity.user.role_least_privilege_required;oci.identity.user.user_with_vm_access_has_mfa,,ibm.iam_identity.account.service_id_creation_restricted;ibm.iam.activity.service_id_locked;ibm.iam_policy_management.policy.service_level_scope_defined,,alicloud.dataworks.lineage.access_rbac_least_privilege;alicloud.dataworks.lineage_data.lineage_access_rbac_least_privilege;alicloud.cas.cas_private_ca.private_ca_ca_access_rbac_least_privilege,,k8s.rbac.unique.service_account_per_user;k8s.rbac.role.least_privilege_enforced;k8s.rbac.user.access_review_policy_implemented,
PCI_DSS,8.6.2,"Passwords/passphrases for any application and system accounts that can be used for interactive login must not be hard coded in scripts, configuration/property files, or bespoke/custom source code.",manual,0,0,7,"SKIP: Control targets application/system account secrets in code/scripts, not a directly checkable cloud IAM or resource configuration.",,"SKIP: Control targets application/system account secrets in code/scripts, not a directly checkable cloud IAM or resource configuration.",,"SKIP: Control targets application/system account secrets in code/scripts, not a directly checkable cloud IAM or resource configuration.",,"SKIP: Control targets application/system account secrets in code/scripts, not a directly checkable cloud IAM or resource configuration.",,"SKIP: Control targets application/system account secrets in code/scripts, not a directly checkable cloud IAM or resource configuration.",,"SKIP: Control targets application/system account secrets in code/scripts, not a directly checkable cloud IAM or resource configuration.",,"SKIP: Control targets application/system account secrets in code/scripts, not a directly checkable cloud IAM or resource configuration.",
PCI_DSS,10.2.2,"Audit logs record the following details for each auditable event: user identification, type of event, date and time, success and failure indication, origination of event, identity or name of affected data, system compone",automated,6,1,0,aws.cloudtrail.trail.log_trail_logs_centralized_and_encrypted;aws.cloudtrail.trail.flow_logging_enabled;aws.cloudtrail.logs.s3_bucket_access_logging_enabled,NEW: aws.cloudtrail.activity_log.critical_event_missing;aws.cloudtrail.audit.privileged_action_anomaly,azure.purview.audit_log.logs_centralized_and_encrypted;azure.synapse.cluster.audit_logging;azure.monitor.log.logging_enabled,NEW: azure.monitor.activity_log.audit_gap_detection;azure.aad.audit.signin_chain_evasion,NEW: gcp.logging.sink.filter_attributes,NEW: gcp.audit_log.activity_log.integrity_check;gcp.iam.chain.privilege_escalation_pattern,oci.identity.user.audit_logs_enabled;oci.identity.user.user_in_group;oci.identity.user.user_has_mfa,NEW: oci.audit.service.retention_breach;oci.iam.audit.admin_bypass,ibm.iam.user.audit_logs_enabled;ibm.activity_tracker.trail.logs_centralized_and_encrypted;ibm.cos.bucket.logging_enabled,NEW: ibm.activity_tracker.audit.log_tampering;ibm.iam.chain.defense_evasion,alicloud.ims.audit.logs_enabled;alicloud.analyticdb.cluster.audit_logging;alicloud.actiontrail.trail.logging_enabled,NEW: alicloud.actiontrail.activity_log.critical_gap;alicloud.ram.audit.privileged_anomaly,k8s.rbac.user.identity_audit_enabled;k8s.audit.user.activity_logging_enabled;k8s.audit.policy.system_level_event_logging,NEW: k8s.audit_log.activity_log.cluster_admin_evasion;k8s.rbac.chain.persistence_pattern
