rule_id,csp,reality,type,dedup,winner_rule,note
alicloud.cs.kubernetes.node_pool.pki_key_permissions,alicloud,REAL,config,UNIQUE,,Checks node pool PKI key file permissions.
alicloud.cs.kubernetes.pki_ownership,alicloud,REAL,config,UNIQUE,,Checks PKI directory/file ownership.
alicloud.cs.kubernetes.pod_security_policy.allow_privilege_escalation,alicloud,REAL,config,UNIQUE,,Checks PSP enforces no privilege escalation.
alicloud.cs.network_policy_enabled,alicloud,REAL,config,UNIQUE,,Verifies network policy is enabled.
alicloud.cs.node_pool.kubelet_config_ownership,alicloud,NONSENSE,config,UNIQUE,,Rule name is garbled; intent unclear.
alicloud.cs.node_pool.kubelet_config_permissions,alicloud,NONSENSE,config,UNIQUE,,Rule name is garbled; intent unclear.
alicloud.cs.pod.security_context,alicloud,NONSENSE,config,UNIQUE,,Rule name is vague; intent unclear.
alicloud.ecs.activity_log.auditd_kill,alicloud,REAL,ciem,UNIQUE,,Detects auditd kill and OOS executions modifying/stopping audit.
alicloud.ecs.activity_log.modify_instance_attributes,alicloud,REAL,ciem,UNIQUE,,Detects instance attribute modifications disabling trusted execution.
alicloud.ecs.activity_log.modify_instance_type,alicloud,REAL,ciem,DUP,alicloud.ecs.audit.enable_nested_virtualization,Same as rule 12 (enable_nested_virtualization).
alicloud.ecs.activity_log.modify_security_group,alicloud,REAL,ciem,UNIQUE,,Detects attempts to stop ActionTrail or modify security group rules.
alicloud.ecs.activity_log.modify_sg,alicloud,REAL,ciem,DUP,alicloud.ecs.activity_log.modify_security_group,Semantically same as rule 4 (modify_security_group).
alicloud.ecs.activity_log.modify_time_service,alicloud,REAL,ciem,UNIQUE,,Detects disabling/modifying time services on ECS instances.
alicloud.ecs.activity_log.privileged_container_launch,alicloud,REAL,ciem,UNIQUE,,Monitors privileged container launch events on ACK/ECS.
alicloud.ecs.activity_log.run_instances,alicloud,REAL,ciem,UNIQUE,,Detects instance launches and OOS executions for software whitelisting.
alicloud.ecs.activity_log.sendcommand,alicloud,REAL,ciem,UNIQUE,,Detects remote command execution and RAM user login modifications.
alicloud.ecs.audit.create_image,alicloud,REAL,ciem,UNIQUE,,Monitors custom image creation and OOS executions.
alicloud.ecs.audit.delete_disk,alicloud,REAL,ciem,UNIQUE,,Detects disk deletion and OSS bucket deletion events.
alicloud.ecs.audit.enable_nested_virtualization,alicloud,REAL,ciem,UNIQUE,,Tracks actions enabling nested virtualization.
alicloud.ecs.audit.patch_override,alicloud,REAL,ciem,UNIQUE,,Detects patch state tampering or OOS executions to circumvent.
alicloud.ecs.audit.run_instance_without_security,alicloud,REAL,ciem,DUP,alicloud.ecs.activity_log.modify_instance_attributes,Semantically same as rule 2 (modify_instance_attributes).
alicloud.ecs.audit.stop_security_agent,alicloud,REAL,ciem,UNIQUE,,Detects stopping Security Center agents and ActionTrail log deletion.
alicloud.ecs.audit.uninstall_cloudmonitor,alicloud,REAL,ciem,UNIQUE,,Detects uninstalling CloudMonitor agent or evasion via instance stop.
alicloud.ecs.chain.privileged_login_session,alicloud,REAL,ciem,UNIQUE,,Detects AccessKey creation for privileged user chained with ECS privileged login.
alicloud.ecs.chain.ssh_tunnel_activity,alicloud,REAL,ciem,UNIQUE,,Detects MFA unbinding chained with SSH tunnel activity for persistence.
alicloud.ecs.auto_provisioning_group.multi_zone,alicloud,REAL,config,UNIQUE,,Checks auto provisioning groups are configured across multiple zones.
alicloud.ecs.auto_provisioning_groups.strategy,alicloud,REAL,config,DUP,alicloud.ecs.auto_provisioning_group.multi_zone,Semantically same as rule 4 (multi-zone strategy for failover).
alicloud.ecs.config_file.permissions,alicloud,NONSENSE,config,UNIQUE,,Rule intent is empty/refined with no verifiable check described.
alicloud.ecs.disk.delete_with_instance,alicloud,REAL,config,UNIQUE,,Verifies system disk delete-with-instance configuration exists.
alicloud.ecs.image.encrypted_system_disk,alicloud,REAL,config,UNIQUE,,Verifies system disk encryption is enabled on the image.
alicloud.ecs.instance.auto_snapshot,alicloud,REAL,config,UNIQUE,,Verifies automatic snapshot policy is configured.
alicloud.ecs.instance.backup_policy,alicloud,REAL,config,UNIQUE,,Verifies snapshot/backup policy configuration.
alicloud.ecs.instance.baseline_image,alicloud,REAL,config,UNIQUE,,Checks instances are created from an approved baseline image.
alicloud.ecs.instance.cloud_assistant_status,alicloud,REAL,config,UNIQUE,,Verifies Cloud Assistant agent is installed/enabled.
alicloud.ecs.instance.cloud_monitor_agent,alicloud,REAL,config,UNIQUE,,Verifies Cloud Monitor Agent is installed.
alicloud.ecs.instance.delete_protection,alicloud,REAL,config,UNIQUE,,Checks ECS instances have deletion protection enabled.
alicloud.ecs.instance.disaster_recovery,alicloud,REAL,config,UNIQUE,,Checks instances have automatic snapshots or are in auto-scaling for DR.
alicloud.ecs.instance.guest_config,alicloud,REAL,config,UNIQUE,,Checks guest OS configuration recommendations.
alicloud.ecs.instance.image_scan,alicloud,REAL,config,UNIQUE,,Verifies image scan configuration for marketplace images.
alicloud.ecs.instance.inventory,alicloud,REAL,config,UNIQUE,,Ensures instances are inventoried via tags or other means.
alicloud.ecs.instance.maintenance_behavior,alicloud,NONSENSE,config,UNIQUE,,"Rule description is incomplete/empty (""refined"")."
alicloud.ecs.instance.maintenance_window,alicloud,REAL,config,UNIQUE,,Verifies customer-configured maintenance windows.
alicloud.ecs.instance.patch_management,alicloud,NONSENSE,config,UNIQUE,,"Rule description is incomplete/empty (""refined"")."
alicloud.ecs.instance.recovery_setting,alicloud,REAL,config,UNIQUE,,Checks for release protection or scaling group membership.
alicloud.ecs.instance.required_tags,alicloud,REAL,config,UNIQUE,,Ensures required tags for configuration management exist.
alicloud.ecs.instance.security_agent,alicloud,REAL,config,UNIQUE,,Verifies installation status of a security agent.
alicloud.ecs.instance.security_center_linked,alicloud,REAL,config,UNIQUE,,Verifies integration with a security center.
alicloud.ecs.instance.system_disk_encryption,alicloud,REAL,config,UNIQUE,,Checks for encryption of the system disk.
alicloud.ecs.securitygroup.with_many_ingress_egress_rules,alicloud,REAL,config,UNIQUE,,Network security check for excessive security group rules.
alicloud.ecs.snapshot.encryption.state,alicloud,REAL,config,UNIQUE,,Checks that ECS snapshots are encrypted.
alicloud.ecs.snapshot_policy.auto_snapshot_policy,alicloud,REAL,config,UNIQUE,,Checks for configured auto snapshot policy for backup.
alicloud.fc.activity_log.assume_role,alicloud,REAL,ciem,UNIQUE,,Detects RAM policy attachments to FC roles with broad permissions (assume role event)
alicloud.fc.audit.create_service,alicloud,REAL,ciem,UNIQUE,,Detects new FC service creation as potential unauthorized modification
alicloud.fc.audit.ram_policy_attach,alicloud,REAL,ciem,DUP,alicloud.fc.activity_log.assume_role,Semantically identical to rule 1 (RAM policy attachments to FC roles)
alicloud.fc.audit.update_function,alicloud,REAL,ciem,DUP,alicloud.fc.audit.create_service,"Semantically identical to rule 2 (detects function code updates, same intent as service creation)"
alicloud.fc.function.ram_role_least_privilege,alicloud,REAL,config,UNIQUE,,Checks static configuration for RAM role least privilege on FC functions
alicloud.log.audit.disable_project,alicloud,REAL,ciem,UNIQUE,,Detects disabling/deletion of audit logging for ACK
alicloud.log.project.retention_period,alicloud,REAL,config,UNIQUE,,Checks retention period configuration for Log Service projects
alicloud.oos.audit.execute_template,alicloud,REAL,ciem,UNIQUE,,Detects ECS launches and OOS executions for software whitelisting enforcement.
alicloud.oos.audit.template_execution,alicloud,REAL,ciem,UNIQUE,,Monitors ECS image creation and OOS executions for untested code introduction.
alicloud.oos.chain.auditd_modify,alicloud,REAL,ciem,UNIQUE,,Detects ECS auditd process kills and OOS executions that modify/stop auditd.
alicloud.oos.chain.patch_bypass,alicloud,REAL,ciem,UNIQUE,,Detects ECS patch state tampering and OOS executions to circumvent patching.
alicloud.oss.activity_log.delete_bucket,alicloud,REAL,ciem,UNIQUE,,Detects bucket deletion events for media disposal.
alicloud.oss.chain.log_lifecycle,alicloud,REAL,ciem,UNIQUE,,Detects trail deletions or lifecycle rules targeting audit logs.
alicloud.oss.chain.log_tamper,alicloud,REAL,ciem,UNIQUE,,Detects trail deletion or bucket modifications for log tampering.
alicloud.oss.backup.bucket_configured,alicloud,NONSENSE,config,UNIQUE,,"Intent is incomplete/unverifiable (""PARTIAL"", truncated description)."
alicloud.oss.bucket.anonymous_auth_disabled,alicloud,REAL,config,UNIQUE,,Checks for disabled anonymous authentication on OSS buckets.
alicloud.oss.bucket.cross.account.replication.disabled,alicloud,REAL,config,UNIQUE,,Checks for disabled cross-account replication.
alicloud.oss.bucket.encryption_enabled,alicloud,REAL,config,UNIQUE,,Checks for bucket encryption at rest.
alicloud.oss.bucket.enforces_ssl,alicloud,NONSENSE,config,UNIQUE,,"Description is generic/vague, not a specific OSS bucket check."
alicloud.oss.bucket.https_required,alicloud,REAL,config,UNIQUE,,Checks for HTTPS requirement on OSS buckets.
alicloud.oss.bucket.kms_encryption,alicloud,REAL,config,UNIQUE,,Checks for KMS-based encryption (data masking).
alicloud.oss.bucket.policy.sas.linked.to.stored.access.policy,alicloud,REAL,config,UNIQUE,,Checks for policy/SAS link to stored access policy.
alicloud.oss.bucket.replication_enabled,alicloud,REAL,config,UNIQUE,,Checks for enabled replication for disaster recovery.
alicloud.oss.bucket.secure_transport,alicloud,REAL,config,DUP,alicloud.oss.bucket.https_required,"Checks secure transport (HTTPS), same as rule 9."
alicloud.oss.bucket.sts_token_expiry,alicloud,REAL,config,UNIQUE,,Checks STS token expiry configuration.
alicloud.oss.bucket.versioning,alicloud,REAL,config,UNIQUE,,Checks for versioning enabled for backup.
alicloud.oss.buckets.https_only,alicloud,REAL,config,UNIQUE,,Checks if OSS buckets enforce HTTPS-only access.
alicloud.oss.presigned.stored.policy,alicloud,REAL,config,UNIQUE,,Checks if OSS presigned URLs have a stored access policy.
alicloud.oss.sts_token.allowed_protocols_https_only,alicloud,REAL,config,DUP,alicloud.oss.buckets.https_only,"Checks STS token HTTPS enforcement, semantically same as rule 1's HTTPS-only intent."
alicloud.oss.website.https_only,alicloud,REAL,config,UNIQUE,,Checks if OSS static website endpoints enforce HTTPS-only.
alicloud.ram.activity_log.access_key,alicloud,REAL,ciem,UNIQUE,,Detects admin key creation and ActionTrail deletion for evasion.
alicloud.ram.activity_log.console_login_inactive_user,alicloud,REAL,ciem,UNIQUE,,Detects console login by long-inactive user with policy attachment.
alicloud.ram.activity_log.delete_policy_version,alicloud,REAL,ciem,UNIQUE,,Detects deletion of policy versions and ActionTrail to remove controls.
alicloud.ram.activity_log.login_attempt_limit,alicloud,REAL,ciem,UNIQUE,,Detects excessive login failures within a time window.
alicloud.ram.activity_log.replay_detection,alicloud,REAL,ciem,UNIQUE,,Detects log replay attempts and anomalous authentication chains.
alicloud.ram.activity_log.unbind_mfa,alicloud,REAL,ciem,UNIQUE,,Detects MFA unbinding with SSH tunnel chains for persistence.
alicloud.ram.activity_log.user_creation,alicloud,REAL,ciem,UNIQUE,,Detects user creation with external email and immediate privileged policy attach.
alicloud.ram.audit.attach_policy_to_user,alicloud,REAL,ciem,DUP,alicloud.ram.activity_log.user_creation,Semantically same as rule 7 (privileged policy attachment on user creation).
alicloud.ram.audit.create_accesskey,alicloud,REAL,ciem,DUP,alicloud.ram.activity_log.access_key,Semantically same as rule 1 (access key creation and ActionTrail obstruction).
alicloud.ram.audit.login_profile_modify,alicloud,REAL,ciem,UNIQUE,,Detects ECS command execution and login profile modification.
alicloud.ram.audit.policy_alter,alicloud,REAL,ciem,UNIQUE,,Detects policy alterations and multi-step log tampering patterns.
alicloud.ram.audit.privileged_anomaly,alicloud,REAL,ciem,UNIQUE,,Detects ActionTrail gaps and anomalous privileged RAM actions.
alicloud.ram.audit.privileged_policy_attach,alicloud,REAL,ciem,DUP,alicloud.ram.activity_log.access_key,Semantically same as rule 1 (ActionTrail deactivation and privileged policy attach).
alicloud.ram.audit.user_login_profile_reactivate,alicloud,REAL,ciem,UNIQUE,,Detects login profile reactivation after disable with chained policy updates.
alicloud.ram.chain.assume_role_anomaly,alicloud,REAL,ciem,DUP,alicloud.ram.activity_log.access_key,Semantically same as rule 1 (ActionTrail deletion and anomalous role assumption).
alicloud.ram.chain.attach_policy,alicloud,REAL,ciem,UNIQUE,,Detects user creation with external email and immediate privileged policy attach.
alicloud.ram.chain.attach_policy_evasion,alicloud,REAL,ciem,UNIQUE,,Monitors policy attachment events and suspicious chains evading review.
alicloud.ram.chain.audit_role_strip,alicloud,REAL,ciem,UNIQUE,,Detects stopping ActionTrail or role changes to remove audit capability.
alicloud.ram.chain.defense_evasion,alicloud,REAL,ciem,DUP,alicloud.ram.chain.audit_role_strip,Semantically same as rule 3 (ActionTrail deletion/stop and chained RAM actions).
alicloud.ram.chain.delete_malware_policy,alicloud,REAL,ciem,UNIQUE,,Detects stopping Anti-Bot Service or policy deletions removing malware protection.
alicloud.ram.chain.inactive_user_policy_attach,alicloud,REAL,ciem,UNIQUE,,Detects console login by inactive user and chained policy attachment.
alicloud.ram.chain.log_policy_detach,alicloud,REAL,ciem,DUP,alicloud.ram.chain.audit_role_strip,Semantically same as rule 3 (ActionTrail deletion and policy detachments affecting logs).
alicloud.ram.chain.log_tamper,alicloud,REAL,ciem,UNIQUE,,Monitors ActionTrail config changes and role assumption chains to manipulate logs.
alicloud.ram.chain.privilege_escalation,alicloud,REAL,ciem,UNIQUE,,Detects disabling Security Center (SAS) or RAM privilege escalation chains.
alicloud.ram.chain.privileged_action,alicloud,REAL,ciem,DUP,alicloud.ram.chain.audit_role_strip,Semantically same as rule 3 (ActionTrail stop/deletion and chained policy modifications).
alicloud.ram.chain.trail_bypass,alicloud,REAL,ciem,DUP,alicloud.ram.chain.audit_role_strip,Semantically same as rule 3 (ActionTrail suspension and RAM chains to bypass audit).
alicloud.ram.group.has_users,alicloud,REAL,config,UNIQUE,,Checks if RAM groups have users (need-to-know/least privilege).
alicloud.ram.group.restrict_user_access_features,alicloud,NONSENSE,config,UNIQUE,,"Intent is empty/vague (""refined"")."
alicloud.ram.inline.policy_allows_privilege_escalation,alicloud,NONSENSE,config,UNIQUE,,"Description is a COSO principle fragment, not a verifiable security check."
alicloud.ram.no.guest_accounts_with_permissions,alicloud,REAL,config,UNIQUE,,Checks for guest accounts with permissions.
alicloud.ram.notification.group_mapping_configured,alicloud,REAL,config,UNIQUE,,Checks for notification group mapping configuration.
alicloud.ram.password.policy_compliance,alicloud,REAL,config,UNIQUE,,General password policy compliance check.
alicloud.ram.password.policy_expiration_check,alicloud,REAL,config,DUP,alicloud.ram.password_policy.max_password_age,"Checks password expiration age, same as rule 15."
alicloud.ram.password.policy_expires_passwords_within_90_days_or_less,alicloud,NONSENSE,config,UNIQUE,,"Rule name and description mismatch; description is about reuse, not 90-day expiration."
alicloud.ram.password.policy_lowercase_check,alicloud,REAL,config,UNIQUE,,Checks for lowercase letter requirement.
alicloud.ram.password.policy_max_login_attempts_check,alicloud,REAL,config,DUP,alicloud.ram.password_policy.login_attempt_limit,"Checks login attempt limit, same as rule 14."
alicloud.ram.password.policy_minimum_length_check,alicloud,REAL,config,UNIQUE,,Checks for minimum password length.
alicloud.ram.password.policy_number,alicloud,NONSENSE,config,UNIQUE,,"Rule name is generic ""policy_number"", description is a compliance code."
alicloud.ram.password.policy_require_numbers_check,alicloud,REAL,config,UNIQUE,,Checks for number requirement.
alicloud.ram.password.policy_require_symbols,alicloud,REAL,config,UNIQUE,,Checks for symbol requirement.
alicloud.ram.password.policy_require_uppercase,alicloud,REAL,config,UNIQUE,,Checks for uppercase letter requirement.
alicloud.ram.password.policy_reuse_24,alicloud,NONSENSE,config,UNIQUE,,"Rule name suggests password reuse, description is an access authorization code."
alicloud.ram.password_policy.hide_feedback,alicloud,REAL,config,UNIQUE,,Checks if password feedback is hidden.
alicloud.ram.password_policy.login_attempt_limit,alicloud,REAL,config,UNIQUE,,Checks for login attempt limit configuration.
alicloud.ram.password_policy.max_password_age,alicloud,REAL,config,UNIQUE,,Checks for maximum password age (expiration).
alicloud.ram.policy,alicloud,REAL,config,UNIQUE,,Checks for change approval enforcement on RAM policies.
alicloud.ram.policy.attached,alicloud,NONSENSE,config,UNIQUE,,Refined rule with no discernible intent.
alicloud.ram.policy.attached_only_to_group_or_roles,alicloud,REAL,config,UNIQUE,,Checks least functionality by policy attachment to groups/roles.
alicloud.ram.policy.condition_ip,alicloud,NONSENSE,config,UNIQUE,,Refined rule with no discernible intent.
alicloud.ram.policy.deny_maintenance_tools,alicloud,REAL,config,UNIQUE,,Checks for denies on maintenance tool actions.
alicloud.ram.policy.external_entities,alicloud,REAL,config,UNIQUE,,Checks for external account/entity access in policies.
alicloud.ram.policy.least_privilege,alicloud,NONSENSE,config,UNIQUE,,Refined rule with no discernible intent.
alicloud.ram.policy.no_administrative_privileges,alicloud,REAL,config,DUP,alicloud.ram.policy.overly_permissive,Both check least privilege; rule 9 is better named.
alicloud.ram.policy.overly_permissive,alicloud,REAL,config,UNIQUE,,Checks for no administrative privileges (least privilege).
alicloud.ram.policy.policy_conditions_used,alicloud,NONSENSE,config,UNIQUE,,Refined rule with no discernible intent.
alicloud.ram.policy.policy_enabled,alicloud,NONSENSE,config,UNIQUE,,Refined rule with no discernible intent.
alicloud.ram.policy.statement,alicloud,NONSENSE,config,UNIQUE,,Refined rule with no discernible intent.
alicloud.ram.policy.system_authenticated_non_default,alicloud,NONSENSE,config,UNIQUE,,Refined rule with no discernible intent.
alicloud.ram.policy.temporary_token_expiry,alicloud,NONSENSE,config,UNIQUE,,Refined rule with no discernible intent.
alicloud.ram.role.change_control,alicloud,NONSENSE,config,UNIQUE,,Refined rule with no discernible intent.
alicloud.ram.role.custom_policies,alicloud,REAL,config,UNIQUE,,Checks for custom policies attached to RAM roles
alicloud.ram.role.least_privilege,alicloud,REAL,config,UNIQUE,,Checks for least privilege principle on RAM roles
alicloud.ram.role.policy_attachments,alicloud,REAL,config,UNIQUE,,Checks for policy attachments on RAM roles
alicloud.ram.role.policy_document,alicloud,REAL,config,DUP,alicloud.ram.role.wildcard_action,"Checks for wildcard actions/resources, same as rule 6"
alicloud.ram.role.trust_policy_external_ids,alicloud,REAL,config,UNIQUE,,Checks trust policies for unauthorized external accounts
alicloud.ram.role.wildcard_action,alicloud,REAL,config,UNIQUE,,Checks RAM role policies for wildcard actions
alicloud.ram.root.hardware_mfa_enabled,alicloud,REAL,config,UNIQUE,,Checks root account hardware MFA enablement
alicloud.ram.security.contact_information_configured,alicloud,REAL,config,UNIQUE,,Checks security contact information configuration
alicloud.ram.securityaudit.role_created,alicloud,REAL,config,UNIQUE,,Checks if a security audit role is created
alicloud.ram.support.role_created,alicloud,REAL,config,UNIQUE,,Checks if a support role is created
alicloud.ram.user.account_management_enabled,alicloud,REAL,config,UNIQUE,,Checks if RAM user account management is enabled
alicloud.ram.user.allow_login_profile,alicloud,REAL,config,UNIQUE,,Checks login profiles require MFA for management
alicloud.ram.user.anonymous_auth_disabled,alicloud,REAL,config,UNIQUE,,Checks anonymous authentication is disabled
alicloud.ram.user.client_certificate.disabled,alicloud,REAL,config,UNIQUE,,Checks client certificates are disabled for users
alicloud.ram.user.console_access_unused,alicloud,REAL,config,UNIQUE,,Checks for unused console access
alicloud.ram.user.in_group,alicloud,REAL,config,UNIQUE,,Checks user group membership for least privilege.
alicloud.ram.user.inactive_disable,alicloud,REAL,config,UNIQUE,,Checks for disabling inactive users after 90 days.
alicloud.ram.user.key_90_days,alicloud,REAL,config,DUP,alicloud.ram.user.inactive_disable,"Refined rule for user key rotation (90 days) is a subset of credential lifecycle, but distinct from inactivity. However, it is semantically similar to"
alicloud.ram.user.login_profile.max_session_hours,alicloud,REAL,config,UNIQUE,,Verifies maximum console session duration.
alicloud.ram.user.login_profile_90_days,alicloud,REAL,config,DUP,alicloud.ram.user.inactive_disable,"Refined rule for login profile (90 days) is a credential lifecycle check, similar to rule 2 for inactivity but for console access. It is a distinct as"
alicloud.ram.user.mfa_enabled,alicloud,REAL,config,UNIQUE,,Checks if MFA is enabled for user access.
alicloud.ram.user.namespace,alicloud,REAL,config,UNIQUE,,Checks user assignment to a namespace for administrative boundary.
alicloud.ram.user.no_inline_policies,alicloud,REAL,config,UNIQUE,,Checks for absence of inline policies on users.
alicloud.ram.user.password_policy.enforce_change,alicloud,REAL,config,UNIQUE,,Verifies password policy enforces change.
alicloud.ram.user.policy_attachment_check,alicloud,REAL,config,UNIQUE,,"Ensures policies are attached only to groups/roles, not users directly."
alicloud.ram.user.security_key_enforcement,alicloud,REAL,config,UNIQUE,,"Refined rule for security key enforcement (e.g., FIDO)."
alicloud.ram.user.service_account_default_check,alicloud,REAL,config,UNIQUE,,Refined rule for checking service account defaults.
alicloud.ram.user.tenant_admin_access_keys_absent,alicloud,REAL,config,UNIQUE,,Refined rule for ensuring tenant admin access keys are absent.
alicloud.ram.user.unused_credentials,alicloud,REAL,config,UNIQUE,,Checks for unused credentials (general check for keys/passwords).
alicloud.ram.user.user_name,alicloud,REAL,config,UNIQUE,,Checks that RAM users have a unique name.
alicloud.ram.user_settings.password_reset_notification_enabled,alicloud,REAL,config,UNIQUE,,singleton-in-group
alicloud.sas.activity_log.backup_policy_delete,alicloud,REAL,ciem,UNIQUE,,Detects deletion of vulnerability backup policies or stopping of activity logs.
alicloud.sas.audit.disable,alicloud,REAL,ciem,UNIQUE,,Detects disabling of Security Center or RAM privilege escalation chains.
alicloud.sas.anti_ransomware.enabled,alicloud,REAL,config,UNIQUE,,Checks if anti-ransomware feature is enabled.
alicloud.sas.check.periodic,alicloud,REAL,config,UNIQUE,,Checks if Security Center is enabled and configured for periodic scans.
alicloud.sas.service_status,alicloud,REAL,config,UNIQUE,,Checks if Security Center is activated and in the required service mode.
alicloud.security.audit.alert_configuration_delete,alicloud,REAL,ciem,UNIQUE,,"Detects deletion of alert configs or stopping of ActionTrail (Alibaba's CloudTrail), a specific security event."
alicloud.security.audit.stop_anti_bot,alicloud,REAL,ciem,UNIQUE,,"Detects stopping of Anti-Bot service or RAM policy deletions, a different security event."
alicloud.securitycenter.audit.disable,alicloud,REAL,ciem,UNIQUE,,"Detects disabling of audit features or ActionTrail deletion, specific to Alibaba."
alicloud.securitycenter.audit.disable_scan,alicloud,REAL,ciem,UNIQUE,,"Detects disabling of vulnerability scanning, distinct from rule 1's audit focus."
alicloud.securitycenter.automatic.quarantine_check,alicloud,REAL,config,UNIQUE,,"Checks state of Automatic Quarantine, a specific configuration setting."
alicloud.securitycenter.notifications.highrisk_check,alicloud,REAL,config,UNIQUE,,"Checks state of notifications for high-risk items, a distinct notification control."
alicloud.securitycenter.service.enabled,alicloud,NONSENSE,config,UNIQUE,,"Rule intent is empty/vague (""refined"" is not a valid check)."
alicloud.slb.chain.listener_attribute_modify,alicloud,REAL,ciem,UNIQUE,,Detects chained listener modifications and non-SSL traffic rule updates.
alicloud.slb.alb.https_redirect,alicloud,REAL,config,UNIQUE,,Checks for HTTPS redirect configuration for transmission confidentiality/integrity.
alicloud.slb.desync.mitigation_mode,alicloud,NONSENSE,config,UNIQUE,,Intent is incomplete/vague; appears to mix desync mitigation with audit logging.
