rule_id,csp,service,type,action,frameworks,framework_count,control_count,mapped_controls,suggested_intent
gcp.iam.audit.disable_service_account,gcp,iam,audit,disable_service_account,CANADA_PBMM,1,5,CANADA_PBMM/RA-5(2);CANADA_PBMM/RA-5(3);CANADA_PBMM/RA-5(5);CANADA_PBMM/RA-5(6);CANADA_PBMM/RA-5(8),Detect firewall rule changes to exclude scanner IPs or disabling of service accounts used by vulnerability scanning tools.; Detect firewall rule changes that exclude scanner IP ranges and service account disabling that could halt vulnerability scanning services.; Detect firewall rule changes to deny scanner IP ranges or disabling service accounts used for vulnerability scanning.
gcp.iam.audit.service_account_key_create,gcp,iam,audit,service_account_key_create,CANADA_PBMM,1,5,CANADA_PBMM/AU-6(3);CANADA_PBMM/IR-4(3);CANADA_PBMM/SI-4(2);CANADA_PBMM/SI-4(4);CANADA_PBMM/SI-4(7),Detect service account key creation followed by logging sink deletion to obscure activity.; Detect service account key creation then log sink deletion to obscure malicious activity; Detect service account key creation and subsequent log sink deletion to obscure activity.
ibm.activity_tracker.audit.route_delete,ibm,activity_tracker,audit,route_delete,CANADA_PBMM,1,5,CANADA_PBMM/AU-6(3);CANADA_PBMM/CA-7(1);CANADA_PBMM/IR-3(2);CANADA_PBMM/IR-7(1);CANADA_PBMM/SI-4(16),Detect creation of privileged IAM API keys followed by deletion of Activity Tracker routes to bypass logging; Detect removal of Activity Tracker routes or chained IAM policy changes that strip audit permissions.; Identify emergency service ID creation and activity tracker route deletion in incidents|
oci.network.activity_log.update_seclist,oracle,network,activity_log,update_seclist,CANADA_PBMM,1,5,CANADA_PBMM/RA-5(2);CANADA_PBMM/RA-5(3);CANADA_PBMM/RA-5(5);CANADA_PBMM/RA-5(6);CANADA_PBMM/RA-5(8),Detect deactivation of Vulnerability Scanning service scans or modifications to security lists to block scanner subnets.; Detect disabling of Vulnerability Scanning service scans or modification of security lists to block scanner source addresses.; Detect disabling of Vulnerability Scanning service scans or modification of security lists to exclude scanner sources.
alicloud.actiontrail.audit.stop_logging,alicloud,actiontrail,audit,stop_logging,CANADA_PBMM,1,4,CANADA_PBMM/RA-5(3);CANADA_PBMM/RA-5(5);CANADA_PBMM/RA-5(6);CANADA_PBMM/RA-5(8),Detect attempts to stop ActionTrail logging or modify security group rules to prevent scanner ingress.; Detect attempts to stop ActionTrail logging or modify ECS security group rules to prevent vulnerability scanner access.
alicloud.ecs.activity_log.modify_security_group,alicloud,ecs,activity_log,modify_security_group,CANADA_PBMM,1,4,CANADA_PBMM/RA-5(3);CANADA_PBMM/RA-5(5);CANADA_PBMM/RA-5(6);CANADA_PBMM/RA-5(8),Detect attempts to stop ActionTrail logging or modify security group rules to prevent scanner ingress.; Detect attempts to stop ActionTrail logging or modify ECS security group rules to prevent vulnerability scanner access.
alicloud.ram.activity_log.attach_policy,alicloud,ram,activity_log,attach_policy,CANADA_PBMM;CIS,2,4,CANADA_PBMM/AC-6(1);CANADA_PBMM/AC-6(5);CANADA_PBMM/SI-4(16);CIS/5.3.7,Detect deletion of ActionTrail audit trails combined with RAM policy attachments to enable unauthorized actions without logging; Monitor RAM policy attachments to privileged users and console sign-ins by privileged accounts for suspicious privilege use.; Detect RAM policy attachments and chained high-risk actions indicating privilege abuse.
alicloud.ram.audit.attach_policy,alicloud,ram,audit,attach_policy,CANADA_PBMM;CIS,2,4,CANADA_PBMM/AU-6(3);CANADA_PBMM/SI-4(4);CANADA_PBMM/SI-4(7);CIS/5.2.10,"Detect stopping of an ActionTrail log combined with attaching a high-privilege policy to a user, signaling evasion and privilege gain.; Detect ActionTrail trail modifications combined with RAM policy attachments to bypass logging.; Detect attachment of high-privilege RAM policies to users/roles and role assumption followed by policy modifications."
aws.cloudtrail.activity_log.delete_trail,aws,cloudtrail,activity_log,delete_trail,CIS;NIST_800_171;SOC2,3,4,CIS/2.2.1;CIS/4.15;NIST_800_171/3.6.3;SOC2/P6.6,"Detect attempts to disable CloudTrail logging which would prevent GuardDuty/Config/Security Hub alerts from being recorded.; Detect attempts to disable or delete CloudTrail logging to evade incident response visibility.; Detect attempts to disable or delete CloudTrail logs for EKS clusters, ensuring audit integrity."
aws.cloudtrail.audit.deletion,aws,cloudtrail,audit,deletion,CANADA_PBMM,1,4,CANADA_PBMM/SI-4(1);CANADA_PBMM/SI-4(11);CANADA_PBMM/SI-4(14);CANADA_PBMM/SI-4(20),Detect anomalous cross-account role assumption and defensive log deletion attempts.; Detect anomalous IAM role assumption patterns and CloudTrail log deletion attempts indicative of defense evasion.; Detect privileged cross-account role assumption and defensive log deletion attempts.
aws.cloudtrail.audit.log_deletion,aws,cloudtrail,audit,log_deletion,CANADA_PBMM,1,4,CANADA_PBMM/AU-2(3);CANADA_PBMM/AU-8(1);CANADA_PBMM/AU-9(2);CANADA_PBMM/AU-9(4),"Detect CloudTrail log deletion or stop, and multi-step chain of critical privilege use followed by log tampering.; Detect attempts to manipulate or delete CloudTrail timestamps/logs to evade audit trails; Detect deletion or stopping of CloudTrail logs, and multi-step attempts to disable logging before privileged actions."
aws.cloudtrail.chain.defense_evasion,aws,cloudtrail,chain,defense_evasion,CANADA_PBMM;CIS;PCI_DSS,3,4,CANADA_PBMM/AU-2(3);CANADA_PBMM/AU-7(1);CIS/3.1.13;PCI_DSS/10.7.1,"Detect CloudTrail log deletion or stop, and multi-step chain of critical privilege use followed by log tampering.; Detect CloudTrail log file rotation anomalies and multi-step attempts to disable or bypass audit logging; Detect deletion of critical logging/security configs (Config, CloudTrail, GuardDuty) and chained actions to disable monitoring before an attack."
azure.aad.activity_log.privileged_signin,azure,aad,activity_log,privileged_signin,CANADA_PBMM,1,4,CANADA_PBMM/AC-6(1);CANADA_PBMM/AC-6(5);CANADA_PBMM/CA-7(1);CANADA_PBMM/IR-6(1),Detect privileged user sign-in from unexpected location and subsequent deletion of diagnostic settings.; Detect privileged sign-ins and deletion of diagnostic logs for incident reporting evasion; Monitor privileged Azure AD sign-ins and excessive role assignments to prevent over-provisioning.
azure.authorization.audit.elevate_access,azure,authorization,audit,elevate_access,CANADA_PBMM;NIST_800_171,2,4,CANADA_PBMM/AU-6(3);CANADA_PBMM/IR-4(3);CANADA_PBMM/SI-4(4);NIST_800_171/3.12.3,"Detect deletion of diagnostic settings combined with global admin elevation to obscure incident evidence.; Detect disabling of security logging and activation of global admin via PIM/elevation.; Detect disabling of diagnostic settings combined with global administrator elevation, indicating monitoring bypass and privilege escalation."
azure.monitor.activity_log.alert_delete,azure,monitor,activity_log,alert_delete,CANADA_PBMM,1,4,CANADA_PBMM/SI-4(1);CANADA_PBMM/SI-4(11);CANADA_PBMM/SI-4(14);CANADA_PBMM/SI-4(23),Detect deletion of activity log alerts and suspicious role assignment chains to new/service principals.; Detect deletion of activity log alerts and anomalous credential additions in Azure AD.; Detect deletion of activity log alerts and anomalous credential additions to privileged identities.
azure.monitor.activity_log.delete_diagnostic,azure,monitor,activity_log,delete_diagnostic,CANADA_PBMM,1,4,CANADA_PBMM/AU-6(3);CANADA_PBMM/IR-3(2);CANADA_PBMM/IR-4(3);CANADA_PBMM/IR-7(2),"Detect deletion of diagnostic settings or disabling of Azure Security Center to obstruct incident monitoring.; Detect deletion of diagnostic settings combined with global admin elevation to obscure incident evidence.; Detect deletion of diagnostic settings or disabling of PIM, obstructing incident response evidence collection"
azure.monitor.activity_log.disable_diagnostic,azure,monitor,activity_log,disable_diagnostic,CANADA_PBMM;CIS;NIST_800_171,3,4,CANADA_PBMM/SI-4(4);CIS/2.2.1;CIS/2.3.1;NIST_800_171/3.12.3,"Detect disabling of security logging and activation of global admin via PIM/elevation.; Detect disabling of diagnostic settings combined with global administrator elevation, indicating monitoring bypass and privilege escalation.; Detect disabling of diagnostic settings or deletion of log profiles for AKS audit logs."
gcp.iam.audit.service_account_key,gcp,iam,audit,service_account_key,CANADA_PBMM,1,4,CANADA_PBMM/SI-4(1);CANADA_PBMM/SI-4(11);CANADA_PBMM/SI-4(14);CANADA_PBMM/SI-4(20),Detect service account key creation and deletion of log export sinks.; Detect anomalous service account key creation and log sink modifications to evade detection.; Detect privileged service account key creation and chained log routing deletion to evade detection.
gcp.iam.audit.service_account_key_creation,gcp,iam,audit,service_account_key_creation,CANADA_PBMM;NIST_800_171,2,4,CANADA_PBMM/AC-6(10);CANADA_PBMM/AC-6(9);CANADA_PBMM/SI-4(5);NIST_800_171/3.1.15,Detect service account key creation and broad IAM changes that may escalate privileges beyond necessity.; Detect SSH or RDP to compute instances and anomalous service account key creation for remote access.; Detect anomalous service account key creation paired with log sink alterations
ibm.iam.activity_log.api_key,ibm,iam,activity_log,api_key,CANADA_PBMM,1,4,CANADA_PBMM/AC-6(1);CANADA_PBMM/AC-6(5);CANADA_PBMM/IR-4(1);CANADA_PBMM/IR-6(1),Monitor API key generation and service policy attachments that bypass least privilege.; Detect API key creation and Activity Tracker event deletion to hinder incident reporting; Identify privileged API key generation and Activity Tracker log deletion to hide incident evidence
ibm.vpc.activity_log.update_security_group,ibm,vpc,activity_log,update_security_group,CANADA_PBMM,1,4,CANADA_PBMM/RA-5(3);CANADA_PBMM/RA-5(5);CANADA_PBMM/RA-5(6);CANADA_PBMM/RA-5(8),Detect changes to security group rules that block scanner IPs or stopping of Activity Tracker logging to hide evasion attempts.; Detect security group changes to exclude scanner IPs or stopping Activity Tracker logging to hide evasion actions.; Detect changes to security groups that block scanner IPs or stopping of Activity Tracker logging to hide scanning evasion attempts.
alicloud.ram.activity_log.access_key,alicloud,ram,activity_log,access_key,CANADA_PBMM,1,3,CANADA_PBMM/IR-4(1);CANADA_PBMM/IR-6(1);CANADA_PBMM/IR-7(1),Detect RAM access key creation for admin and ActionTrail deletion to evade detection; Detect RAM access key creation and ActionTrail deletion to evade incident logging; Alert on emergency RAM access key creation and ActionTrail deletion during incident response|
aws.cloudtrail.audit.console_login,aws,cloudtrail,audit,console_login,CANADA_PBMM;NIST_800_171,2,3,CANADA_PBMM/AC-6(1);CANADA_PBMM/AC-6(5);NIST_800_171/3.1.15,Detect privileged role assumption and console logins without MFA to enforce least privilege access.; Detect privileged IAM role assumption and console logins by privileged accounts for unauthorized elevation attempts.; Detect privileged command execution via role assumption and anomalous console logins from unexpected locations.
aws.cloudtrail.chain.audit_evasion,aws,cloudtrail,chain,audit_evasion,CIS;NIST_800_171,2,3,CIS/2.1.2;CIS/3.2.2;NIST_800_171/3.3.9,"Detect changes to CloudTrail configuration (e.g., stopped trails, deleted trails) and sequences of actions that may indicate audit suppression (e.g., trail stop followed by sensitive API calls).; Detect CloudTrail logging disabled or stopped, and multi-step attempts to evade audit logging via S3 bucket policy changes or trail deletion.; Detect attempts to disable or modify CloudTrail logging, and "
azure.aad.audit.credential_add,azure,aad,audit,credential_add,CANADA_PBMM,1,3,CANADA_PBMM/SI-4(1);CANADA_PBMM/SI-4(11);CANADA_PBMM/SI-4(14),Detect deletion of activity log alerts and anomalous credential additions in Azure AD.; Detect deletion of activity log alerts and anomalous credential additions to privileged identities.
azure.security.audit.disable_antimalware,azure,security,audit,disable_antimalware,CANADA_PBMM,1,3,CANADA_PBMM/SI-3(1);CANADA_PBMM/SI-3(2);CANADA_PBMM/SI-3(7),"Detect disabling of Microsoft Antimalware or Azure Security Center policies, and chained actions to evade malware protection.; Detect disabling of Microsoft Defender Antimalware or policy changes to bypass Microsoft Defender for Cloud protections.; Detect disabling Microsoft Defender for Cloud extensions or deallocating VM after disable to evade scanning"
azure.security.audit.disable_asc,azure,security,audit,disable_asc,CANADA_PBMM;SOC2,2,3,CANADA_PBMM/AU-6(1);CANADA_PBMM/IR-3(2);SOC2/P6.6,Detect deletion of activity log alerts and disabling of Azure Security Center to evade monitoring; Detect deletion of diagnostic settings or disabling of Azure Security Center to obstruct incident monitoring.; Detect deletion of diagnostic settings or disabling of Azure Security Center to obstruct incident visibility
azure.securitycenter.audit.disable_va,azure,securitycenter,audit,disable_va,CANADA_PBMM,1,3,CANADA_PBMM/RA-5(5);CANADA_PBMM/RA-5(6);CANADA_PBMM/RA-5(8),Detect disabling of vulnerability assessments in Security Center or modification of Network Security Groups to block scanner subnets.; Detect disabling of vulnerability assessments in Security Center or modification of Network Security Groups to block scanner IP ranges.; Detect disabling of vulnerability assessments in Security Center or modification of Network Security Groups to block scanner sou
gcp.iam.chain.log_bypass,gcp,iam,chain,log_bypass,CANADA_PBMM;CIS;NIST_800_171,3,3,CANADA_PBMM/AU-9(2);CIS/3.1.13;NIST_800_171/3.3.9,"Detect deletion/modification of Log Sinks, exclusion filters, or IAM changes that disrupt audit log flows to sanctioned destinations.; Detect modifications to Log Sinks or exclusion filters, and IAM changes that could bypass logging.; Detect audit log sink configuration modifications and IAM privilege chains used to circumvent logging"
ibm.activity_tracker.audit.delete_event,ibm,activity_tracker,audit,delete_event,CANADA_PBMM,1,3,CANADA_PBMM/AU-6(1);CANADA_PBMM/IR-4(3);CANADA_PBMM/IR-6(1),Detect service ID API key creation with high privileges and deletion of Activity Tracker events to hide actions; Detect IAM API key creation and Activity Tracker event deletion to evade incident monitoring.; Detect API key creation and Activity Tracker event deletion to hinder incident reporting
ibm.activity_tracker.audit.stop_logging,ibm,activity_tracker,audit,stop_logging,CANADA_PBMM;NIST_800_171,2,3,CANADA_PBMM/RA-5(3);CANADA_PBMM/RA-5(5);NIST_800_171/3.12.3,Detect changes to security groups that block scanner IPs or stopping of Activity Tracker logging to hide scanning evasion attempts.; Detect security group changes to exclude scanner IPs or stopping Activity Tracker logging to hide evasion actions.; Detect privileged API key creation and defensive evasion via Activity Tracker disablement.
k8s.audit.chain.webhook_tamper,k8s,audit,chain,webhook_tamper,CIS,1,3,CIS/1.2.21;CIS/2.3.1;CIS/3.2.2,"Detect audit policy or log retention argument modifications, and chained tampering with audit webhook configurations.; Detect tampering with Kubernetes audit webhook configuration or backend service disruption; Detect modifications to Kubernetes audit policy or webhook configurations and sequences that may indicate evasion of logging controls."
k8s.rbac.audit.modify_role,k8s,rbac,audit,modify_role,CANADA_PBMM,1,3,CANADA_PBMM/RA-5(3);CANADA_PBMM/RA-5(5);CANADA_PBMM/RA-5(8),Detect RBAC role modifications to deny vulnerability scanner service accounts or network policy chains that isolate scanner pods.; Detect RBAC role modifications that remove scanning permissions or network policy chains that isolate pods from vulnerability scanners.; Detect RBAC role modifications that remove permissions for vulnerability scanning pods or network policy changes that block scanner 
oci.audit.audit.config_change,oracle,audit,audit,config_change,CANADA_PBMM;NIST_800_171,2,3,CANADA_PBMM/AU-9(2);CANADA_PBMM/IR-7(1);NIST_800_171/3.3.7,"Detect emergency API key generation and audit configuration changes during incident response|; Detect changes to compute instance time settings (e.g., NTP configuration) and modifications to Audit service configuration that could impact timestamp accuracy.; Detect changes to Audit service configuration (retention, events) or object storage deletions targeting audit logs."
oci.audit.audit.update_config,oracle,audit,audit,update_config,CANADA_PBMM;PCI_DSS,2,3,CANADA_PBMM/AU-6(1);CANADA_PBMM/IR-7(2);PCI_DSS/10.6.1,"Detect modifications to audit configurations and multi-step IAM changes indicative of privilege escalation attempts; Detect modifications to compute instance metadata (e.g., time settings) or audit configuration changes that could impact time-sync integrity.; Detect modifications to audit configurations or IAM chains that bypass MFA, undermining incident forensics"
oci.vulnerability_scanning.audit.disable_scan,oracle,vulnerability_scanning,audit,disable_scan,CANADA_PBMM,1,3,CANADA_PBMM/RA-5(2);CANADA_PBMM/RA-5(3);CANADA_PBMM/RA-5(5),Detect deactivation of Vulnerability Scanning service scans or modifications to security lists to block scanner subnets.; Monitor for deactivation of OCI Vulnerability Scanning service and security list modifications that may block scanner access.; Detect disabling of Vulnerability Scanning service scans or modification of security lists to exclude scanner sources.
alicloud.actiontrail.audit.trail_delete,alicloud,actiontrail,audit,trail_delete,CANADA_PBMM,1,2,CANADA_PBMM/IR-7(1);CANADA_PBMM/IR-7(2),"Detect deletion of ActionTrail logs or RAM privilege escalation chains, evading incident detection; Alert on emergency RAM access key creation and ActionTrail deletion during incident response|"
alicloud.actiontrail.audit.trail_deletion,alicloud,actiontrail,audit,trail_deletion,CANADA_PBMM;PCI_DSS,2,2,CANADA_PBMM/AU-9(2);PCI_DSS/10.7.1,"Detect deletion or stoppage of ActionTrail trails and chained RAM policy changes that weaken or bypass security monitoring.; Detect ActionTrail trail deletion or OSS bucket modifications (deletion, encryption changes) that impact audit log storage."
alicloud.actiontrail.audit.update_trail,alicloud,actiontrail,audit,update_trail,CANADA_PBMM;PCI_DSS,2,2,CANADA_PBMM/IR-4(3);PCI_DSS/10.6.1,Detect changes to ECS instance attributes related to time sync or ActionTrail trail updates that could compromise time-aligned auditing.; Detect ActionTrail log updates and RAM access key creation to obstruct incident investigation.
alicloud.actiontrail.chain.trail_stop,alicloud,actiontrail,chain,trail_stop,CIS;NIST_800_171,2,2,CIS/1.2.21;NIST_800_171/3.3.9,"Detect ActionTrail trail configuration changes that reduce log retention, and trails being stopped or deleted.; Detect deletion or stopping of ActionTrail trails, and multi-step actions to halt audit logging."
alicloud.cs.audit.privileged_pod_create,alicloud,cs,audit,privileged_pod_create,CIS,1,2,CIS/2.1.1;CIS/5.2.1,Monitor ACK and ECS for privileged container launch events; Detect privileged pod creation in Alibaba Cloud Container Service
alicloud.oss.chain.log_tamper,alicloud,oss,chain,log_tamper,CANADA_PBMM;CIS,2,2,CANADA_PBMM/AU-9(2);CIS/2.1.2,"Detect ActionTrail trail deletion or OSS bucket modifications (deletion, encryption changes) that impact audit log storage.; Detect ActionTrail trail deactivation or deletion, and chained OSS bucket policy changes to block write access for audit logs."
alicloud.ram.activity_log.attach_policy_to_user,alicloud,ram,activity_log,attach_policy_to_user,CANADA_PBMM,1,2,CANADA_PBMM/AC-6(10);CANADA_PBMM/AC-6(2),Detect direct policy attachments to users and privileged console sign-ins without role-based controls.; Detect direct policy attachments to users and RAM privilege escalation chains
