rule_id,csp,drop_reason
alicloud.rds.instance.sql_auditing_enabled,alicloud,aws-term:rds
alicloud.rds.instance.tls_version_configured,alicloud,aws-term:rds
alicloud.rds.snapshots.encrypted,alicloud,aws-term:rds
alicloud.rds.storage.encrypted,alicloud,aws-term:rds
alicloud.s3.bucket.metrics_enabled,alicloud,aws-term:s3
alicloud.s3.bucket.replication_enabled,alicloud,aws-term:s3
alicloud.s3.bucket.versioning_enabled,alicloud,aws-term:s3
alicloud.vpc.endpoint.for_ec2_enabled,alicloud,aws-term:ec2
aws.databricks.workspace.unity_catalog.configured,aws,azure-term:databricks
eks.endpoints.not.publicly_accessible,aws,prefix_mismatch
rds.cluster.default.admin,aws,prefix_mismatch
rds.instance.default.admin,aws,prefix_mismatch
s3.bucket.enforces.ssl,aws,prefix_mismatch
azure.awslambda.function.not_publicly_accessible,azure,aws-term:awslambda
azure.sql.instance.integration_cloudwatch_logs,azure,aws-term:cloudwatch
azure.virtual.network.endpoint_for_ec2_enabled,azure,aws-term:ec2
gcp.awslambda.function.not_publicly_accessible,gcp,aws-term:awslambda
gcp.dynamodb.backup.enabled,gcp,aws-term:dynamodb
gcp.elasticsearch.service.domains_cloudwatch_logging_enabled,gcp,aws-term:cloudwatch
gcp.logging.cloudwatch.logs_enabled,gcp,aws-term:cloudwatch
gcp.logging.s3.dataevents_read_enabled,gcp,aws-term:s3
gcp.logging.s3.dataevents_write_enabled,gcp,aws-term:s3
gcp.redshift.backup.enabled,gcp,aws-term:redshift
gcp.sql.dynamodb.table_encryption_enabled,gcp,aws-term:dynamodb
gcp.sql.instance.integration_cloudwatch_logs,gcp,aws-term:cloudwatch
gcp.vpc.endpoint.for_ec2_enabled,gcp,aws-term:ec2
ibm.accessanalyzer.enabled.enabled,ibm,aws-term:accessanalyzer
ibm.accessanalyzer.enabled.without_findings,ibm,aws-term:accessanalyzer
ibm.activity.tracker.logs_s3_bucket_access_logging_enabled,ibm,aws-term:s3
ibm.activity.tracker.logs_s3_bucket_is_not_publicly_accessible,ibm,aws-term:s3
ibm.athena.workgroup.logging_enabled,ibm,aws-term:athena
ibm.awslambda.function.inside_vpc,ibm,aws-term:awslambda
ibm.awslambda.function.invoke_api_operations_activity_tracker_logging_enabled,ibm,aws-term:awslambda
ibm.awslambda.function.not_publicly_accessible,ibm,aws-term:awslambda
ibm.awslambda.function.url_cors_policy,ibm,aws-term:awslambda
ibm.awslambda.function.url_public,ibm,aws-term:awslambda
ibm.awslambda.function.vpc_multi_az,ibm,aws-term:awslambda
ibm.backup.enabled.for_ec2,ibm,aws-term:ec2
ibm.bedrock.model.invocation_logging_enabled,ibm,aws-term:bedrock
ibm.bedrock.model.invocation_logs_encryption_enabled,ibm,aws-term:bedrock
ibm.cdn.cloudfront.https_required,ibm,aws-term:cloudfront
ibm.cloudfront.distributions.field_level_encryption_enabled,ibm,aws-term:cloudfront
ibm.cloudfront.distributions.https_enabled,ibm,aws-term:cloudfront
ibm.cloudfront.distributions.logging_enabled,ibm,aws-term:cloudfront
ibm.cloudfront.distributions.multiple_origin_failover_configured,ibm,aws-term:cloudfront
ibm.cloudfront.distributions.origin_traffic_encrypted,ibm,aws-term:cloudfront
ibm.cloudsql.instance.automated_backups,ibm,gcp-term:cloudsql
ibm.cloudsql.instance.postgres_log_connections_flag,ibm,gcp-term:cloudsql
ibm.cloudsql.instance.postgres_log_error_verbosity_flag,ibm,gcp-term:cloudsql
ibm.cloudsql.instance.postgres_log_min_duration_statement_flag,ibm,gcp-term:cloudsql
ibm.cloudsql.instance.postgres_log_min_error_statement_flag,ibm,gcp-term:cloudsql
ibm.cloudsql.instance.postgres_log_min_messages_flag,ibm,gcp-term:cloudsql
ibm.cloudsql.instance.postgres_log_statement_flag,ibm,gcp-term:cloudsql
ibm.cloudtrail.cos.dataevents_read_enabled,ibm,aws-term:cloudtrail
ibm.cloudtrail.cos.dataevents_write_enabled,ibm,aws-term:cloudtrail
ibm.cloudtrail.key.protect_encryption_enabled,ibm,aws-term:cloudtrail
ibm.cloudtrail.logs.cos_bucket_access_logging_enabled,ibm,aws-term:cloudtrail
ibm.cloudtrail.logs.cos_bucket_is_not_publicly_accessible,ibm,aws-term:cloudtrail
ibm.cloudwatch.alarm.cpu_utilization_configured,ibm,aws-term:cloudwatch
ibm.cloudwatch.alarm.memory_utilization_configured,ibm,aws-term:cloudwatch
ibm.cloudwatch.changes.to_network_acls_alarm_configured,ibm,aws-term:cloudwatch
ibm.cloudwatch.changes.to_network_gateways_alarm_configured,ibm,aws-term:cloudwatch
ibm.cloudwatch.changes.to_network_route_tables_alarm_configured,ibm,aws-term:cloudwatch
ibm.cloudwatch.changes.to_vpcs_alarm_configured,ibm,aws-term:cloudwatch
ibm.cloudwatch.log.group_kms_encryption_enabled,ibm,aws-term:cloudwatch
ibm.cloudwatch.log.group_retention_policy_specific_days_enabled,ibm,aws-term:cloudwatch
ibm.cloudwatch.log.metric_filter_and_alarm_for_ibm_config_configuration_changes_enabled,ibm,aws-term:cloudwatch
ibm.cloudwatch.log.metric_filter_ibm_organizations_changes,ibm,aws-term:cloudwatch
ibm.cloudwatch.log.metric_filter_policy_changes,ibm,aws-term:cloudwatch
ibm.codebuild.project.cos_logs_encrypted,ibm,aws-term:codebuild
ibm.codebuild.project.envvar_awscred_check,ibm,aws-term:codebuild
ibm.codebuild.project.older_90_days,ibm,aws-term:codebuild
ibm.codebuild.project.source_repo_url_check,ibm,aws-term:codebuild
ibm.codebuild.project.user_controlled_buildspec,ibm,aws-term:codebuild
ibm.codebuild.report.group_export_encrypted,ibm,aws-term:codebuild
ibm.cosmosdb.account.firewall_use_selected_networks,ibm,azure-term:cosmosdb
ibm.database.cluster.integration_cloudwatch_logs,ibm,aws-term:cloudwatch
ibm.database.rds.instance_encryption_enabled,ibm,aws-term:rds
ibm.databases.instance.integration_cloudwatch_logs,ibm,aws-term:cloudwatch
ibm.databases.service.domains_cloudwatch_logging_enabled,ibm,aws-term:cloudwatch
ibm.defender.additional.email_configured_with_a_security_contact,ibm,azure-term:defender
ibm.defender.assessments.vm_endpoint_protection_installed,ibm,azure-term:defender
ibm.defender.auto.provisioning_log_analytics_agent_vms_on,ibm,azure-term:defender
ibm.defender.auto.provisioning_vulnerabilty_assessments_machines_on,ibm,azure-term:defender
ibm.defender.ensure.defender_for_app_services_is_on,ibm,azure-term:defender
ibm.defender.ensure.defender_for_arm_is_on,ibm,azure-term:defender
ibm.defender.ensure.defender_for_containers_is_on,ibm,azure-term:defender
ibm.defender.ensure.defender_for_cosmosdb_is_on,ibm,azure-term:cosmosdb
ibm.defender.ensure.defender_for_databases_is_on,ibm,azure-term:defender
ibm.defender.ensure.defender_for_dns_is_on,ibm,azure-term:defender
ibm.defender.ensure.defender_for_ibm_sql_databases_is_on,ibm,azure-term:defender
ibm.defender.ensure.defender_for_keyvault_is_on,ibm,azure-term:defender
ibm.defender.ensure.defender_for_os_relational_databases_is_on,ibm,azure-term:defender
ibm.defender.ensure.defender_for_server_is_on,ibm,azure-term:defender
ibm.defender.ensure.defender_for_sql_servers_is_on,ibm,azure-term:defender
ibm.defender.ensure.defender_for_storage_is_on,ibm,azure-term:defender
ibm.defender.ensure.iot_hub_defender_is_on,ibm,azure-term:defender
ibm.defender.ensure.mcas_is_enabled,ibm,azure-term:defender
ibm.defender.ensure.notify_emails_to_owners,ibm,azure-term:defender
ibm.defender.ensure.system_updates_are_applied,ibm,azure-term:defender
ibm.defender.ensure.wdatp_is_enabled,ibm,azure-term:defender
ibm.dynamodb.accelerator.cluster_encryption_enabled,ibm,aws-term:dynamodb
ibm.dynamodb.accelerator.cluster_in_transit_encryption_enabled,ibm,aws-term:dynamodb
ibm.dynamodb.accelerator.cluster_multi_az,ibm,aws-term:dynamodb
ibm.dynamodb.autoscaling.enabled,ibm,aws-term:dynamodb
ibm.dynamodb.backup.enabled,ibm,aws-term:dynamodb
ibm.dynamodb.table.protected_by_backup_plan,ibm,aws-term:dynamodb
ibm.dynamodb.tables.kms_cmk_encryption_enabled,ibm,aws-term:dynamodb
ibm.ec2.instance.detailed_monitoring_enabled,ibm,aws-term:ec2
ibm.eks.cluster.kms_cmk_encryption_in_secrets_enabled,ibm,aws-term:eks
ibm.elasticache.backup.retention,ibm,aws-term:elasticache
ibm.elasticache.redis.cluster_automatic_failover_enabled,ibm,aws-term:elasticache
ibm.elasticache.redis.cluster_in_transit_encryption_enabled,ibm,aws-term:elasticache
ibm.elasticache.redis.cluster_multi_az_enabled,ibm,aws-term:elasticache
ibm.emr.cluster.account_public_block_enabled,ibm,aws-term:emr
ibm.emr.cluster.publicly_accesible,ibm,aws-term:emr
ibm.entra.conditional.access_policy_require_mfa_for_management_api,ibm,azure-term:entra
ibm.entra.conditional.access_policy_require_mfa_for_management_app,ibm,azure-term:entra
ibm.entra.global.admin_in_less_than_five_users,ibm,azure-term:entra
ibm.entra.non.privileged_user_has_mfa,ibm,azure-term:entra
ibm.entra.policy.default_users_cannot_create_security_groups,ibm,azure-term:entra
ibm.entra.policy.ensure_default_user_cannot_create_apps,ibm,azure-term:entra
ibm.entra.policy.ensure_default_user_cannot_create_tenants,ibm,azure-term:entra
ibm.entra.policy.guest_invite_only_for_admin_roles,ibm,azure-term:entra
ibm.entra.policy.guest_users_access_restrictions,ibm,azure-term:entra
ibm.entra.policy.restricts_user_consent_for_apps,ibm,azure-term:entra
ibm.entra.policy.user_consent_for_verified_apps,ibm,azure-term:entra
ibm.entra.privileged.user_has_mfa,ibm,azure-term:entra
ibm.entra.security.defaults_enabled,ibm,azure-term:entra
ibm.entra.trusted.named_locations_exists,ibm,azure-term:entra
ibm.entra.user.with_vm_access_has_mfa,ibm,azure-term:entra
ibm.entra.users.cannot_create_microsoft_365_groups,ibm,azure-term:entra
ibm.glue.data.catalogs_not_publicly_accessible,ibm,aws-term:glue
ibm.glue.development.endpoints_cos_encryption_enabled,ibm,aws-term:glue
ibm.glue.etl.jobs_amazon_cos_encryption_enabled,ibm,aws-term:glue
ibm.glue.etl.jobs_job_bookmark_encryption_enabled,ibm,aws-term:glue
ibm.glue.etl.jobs_logging_enabled,ibm,aws-term:glue
ibm.glue.etl.jobs_monitoring_logs_encryption_enabled,ibm,aws-term:glue
ibm.iam.policy.no_full_access_to_cloudtrail,ibm,aws-term:cloudtrail
ibm.kinesis.stream.data_retention_period,ibm,aws-term:kinesis
ibm.monitoring.log.metric_filter_and_alarm_for_cloudtrail_configuration_changes_enabled,ibm,aws-term:cloudtrail
ibm.networkfirewall.in.all_vpc,ibm,aws-term:networkfirewall
ibm.networkfirewall.multi.az,ibm,aws-term:networkfirewall
ibm.opensearch.service.domains_cloudwatch_logging_enabled,ibm,aws-term:cloudwatch
ibm.rds.backup.enabled,ibm,aws-term:rds
ibm.rds.backup.retention_period,ibm,aws-term:rds
ibm.rds.instance.copy_tags_to_snapshots,ibm,aws-term:rds
ibm.rds.instance.integration_cloudwatch_logs,ibm,aws-term:rds
ibm.rds.instance.no_public_access,ibm,aws-term:rds
ibm.rds.instance.performance_insights_enabled,ibm,aws-term:rds
ibm.rds.multi.az_enabled,ibm,aws-term:rds
ibm.redshift.cluster.audit_logging,ibm,aws-term:redshift
ibm.redshift.cluster.enhanced_vpc_routing,ibm,aws-term:redshift
ibm.redshift.cluster.in_transit_encryption_enabled,ibm,aws-term:redshift
ibm.redshift.cluster.multi_az_enabled,ibm,aws-term:redshift
ibm.route53.public.hosted_zones_cloudwatch_logging_enabled,ibm,aws-term:cloudwatch
ibm.s3.bucket.metrics_enabled,ibm,aws-term:s3
ibm.s3.bucket.replication_enabled,ibm,aws-term:s3
ibm.sagemaker.endpoint.config_prod_variant_instances,ibm,aws-term:sagemaker
ibm.sagemaker.models.vpc_settings_configured,ibm,aws-term:sagemaker
ibm.sagemaker.notebook.instance_encryption_enabled,ibm,aws-term:sagemaker
ibm.sagemaker.notebook.instance_vpc_settings_configured,ibm,aws-term:sagemaker
ibm.sagemaker.notebook.instance_without_direct_internet_access_configured,ibm,aws-term:sagemaker
ibm.sagemaker.training.jobs_intercontainer_encryption_enabled,ibm,aws-term:sagemaker
ibm.sagemaker.training.jobs_volume_and_output_encryption_enabled,ibm,aws-term:sagemaker
ibm.sns.topics.not_publicly_accessible,ibm,aws-term:sns
ibm.sqs.queues.not_publicly_accessible,ibm,aws-term:sqs
ibm.stepfunctions.statemachine.logging_enabled,ibm,aws-term:stepfunctions
ibm.vpc.endpoint.for_ec2_enabled,ibm,aws-term:ec2
aws.cloudtrail.network.gateway_event_notifications_configured,oracle,aws-term:cloudtrail
aws.ebs.volume.customer_managed_key_encryption_enabled,oracle,prefix_mismatch
aws.ec2.ebs.encryption_enabled,oracle,aws-term:ec2
aws.eks.audit.policy_compliance_check,oracle,aws-term:eks
aws.eks.kubelet.authorization_mode_check,oracle,aws-term:eks
aws.eks.nodegroup.private_access_enabled,oracle,aws-term:eks
aws.eventbridge.security.group_changes_notification_configured,oracle,prefix_mismatch
aws.eventbridge.vpc.change_notification,oracle,prefix_mismatch
aws.iam.access.key_rotation_check,oracle,prefix_mismatch
aws.iam.group.policy_access_control,oracle,prefix_mismatch
aws.iam.policy.admin_group_only,oracle,prefix_mismatch
aws.iam.service.admins_access_control_check,oracle,prefix_mismatch
aws.iam.users.mfa_enabled,oracle,prefix_mismatch
aws.s3.bucket.encryption_cmk_enabled,oracle,aws-term:s3
aws.ssm.ec2.oke_kubelet_conf_permissions_check,oracle,aws-term:ec2
aws.ssm.kubelet.rotate_certificates_check,oracle,prefix_mismatch
aws.vpc.flow.logging_enabled_for_all_subnets,oracle,prefix_mismatch
oci.accessanalyzer.enabled.enabled,oracle,aws-term:accessanalyzer
oci.awslambda.function.inside_vpc,oracle,aws-term:awslambda
oci.awslambda.function.not_publicly_accessible,oracle,aws-term:awslambda
oci.bigquery.table.cmk_encryption,oracle,gcp-term:bigquery
oci.database.rds.instance_encryption_enabled,oracle,aws-term:rds
oci.dynamodb.autoscaling.enabled,oracle,aws-term:dynamodb
oci.dynamodb.backup.enabled,oracle,aws-term:dynamodb
oci.dynamodb.pitr.enabled,oracle,aws-term:dynamodb
oci.glue.data.catalogs_not_publicly_accessible,oracle,aws-term:glue
oci.opensearch.service.domains_cloudwatch_logging_enabled,oracle,aws-term:cloudwatch
oci.rds.backup.enabled,oracle,aws-term:rds
oci.rds.backup.retention_period,oracle,aws-term:rds
oci.rds.multi.az_enabled,oracle,aws-term:rds
oci.redshift.backup.enabled,oracle,aws-term:redshift
oci.redshift.cluster.audit_logging,oracle,aws-term:redshift
oci.redshift.cluster.in_transit_encryption_enabled,oracle,aws-term:redshift
oci.redshift.cluster.multi_az_enabled,oracle,aws-term:redshift
