control_id,top_req,cspm_scope,title,source
10.4.2.1,10,yes,"The frequency of periodic log reviews for all other system components (not defined in Requirement 10.4.1) is defined in the entity’s targeted risk analysis, which is performed according to all elements specified in Requi","azure,local_json,pdf"
10.6.1,10,yes,System clocks and time are synchronized using time-synchronization technology.,"azure,local_json,pdf"
10.7.1,10,yes,"Additional requirement for service providers only: Failures of critical security control systems are detected, alerted, and addressed promptly, including but not limited to failure of the following critical security cont","azure,local_json,pdf"
11.3.1.1,11,yes,"All other applicable vulnerabilities (those not ranked as high-risk or critical) are managed as follows: • Addressed based on the risk defined in the entity’s targeted risk analysis, performed according to Requirement 12","azure,local_json,pdf"
11.3.1.3,11,yes,Internal vulnerability scans are performed after any significant change as follows: • Vulnerabilities that are either high-risk or critical (according to the entity’s vulnerability risk rankings defined at Requirement 6.,"azure,local_json,pdf"
11.4.1,11,yes,"A penetration testing methodology is defined, documented, and implemented by the entity, and includes: • Industry-accepted penetration testing approaches. • Coverage for the entire CDE perimeter and critical systems. • T","azure,local_json,pdf"
11.4.6,11,yes,"Additional requirement for service providers only: If segmentation is used to isolate the CDE from other networks, penetration tests are performed on segmentation controls as follows: • At least once every six months and","azure,local_json,pdf"
11.4.7,11,yes,Additional requirement for multi-tenant service providers only: Multi-tenant service providers support their customers for external penetration testing per Requirement 11.4.3 and 11.4.4.,"azure,local_json,pdf"
12.1.1,12,no-policy,"An overall information security policy is established, published, maintained, and disseminated to all relevant personnel, as well as relevant vendors and business partners.","azure,local_json,pdf"
12.2.1,12,no-policy,"Acceptable use policies for end-user technologies are documented and implemented, including: • Explicit approval by authorized parties. • Acceptable uses of the technology. • List of products approved by the company for ","azure,local_json,pdf"
12.3.2,12,no-policy,"A targeted risk analysis is performed for each PCI DSS requirement that the entity meets with the customized approach, to include: • Documented evidence detailing each element specified in Appendix D: Customized Approach","azure,local_json,pdf"
12.4.2.1,12,no-policy,Reviews conducted in accordance with Requirement 12.4.2 are documented to include: • Results of the reviews. • Documented remediation actions taken for any tasks that were found to not be performed at Requirement 12.4.2.,"azure,local_json,pdf"
12.5.2.1,12,no-policy,"PCI DSS scope is documented and confirmed by the entity at least once every six months and upon significant change to the in-scope environment. At a minimum, the scoping validation includes all the elements specified in ","azure,local_json,pdf"
12.6.3.2,12,no-policy,Security awareness training includes awareness about the acceptable use of end-user technologies in accordance with Requirement 12.2.1.,"azure,local_json,pdf"
12.10.1,12,no-policy,"An incident response plan exists and is ready to be activated in the event of a suspected or confirmed security incident. The plan includes, but is not limited to: • Roles, responsibilities, and communication and contact","azure,local_json,pdf"
12.10.2,12,no-policy,"At least once every 12 months, the security incident response plan is: • Reviewed and the content is updated as needed. • Tested, including all elements listed in Requirement 12.10.1.","azure,local_json,pdf"
A1.1.1,A1,maybe-appendix,(cross-reference PDF — no title in any source),pdf
A1.1.2,A1,maybe-appendix,(cross-reference PDF — no title in any source),pdf
A1.1.3,A1,maybe-appendix,(cross-reference PDF — no title in any source),pdf
A1.1.4,A1,maybe-appendix,(cross-reference PDF — no title in any source),pdf
A1.2.1,A1,maybe-appendix,(cross-reference PDF — no title in any source),pdf
A1.2.2,A1,maybe-appendix,(cross-reference PDF — no title in any source),pdf
A1.2.3,A1,maybe-appendix,(cross-reference PDF — no title in any source),pdf
A2.1.1,A2,maybe-appendix,(cross-reference PDF — no title in any source),pdf
A2.1.2,A2,maybe-appendix,(cross-reference PDF — no title in any source),pdf
A2.1.3,A2,maybe-appendix,(cross-reference PDF — no title in any source),pdf
A3.1.1,A3,maybe-appendix,(cross-reference PDF — no title in any source),pdf
A3.2.2.1,A3,maybe-appendix,(cross-reference PDF — no title in any source),pdf
A3.2.3,A3,maybe-appendix,(cross-reference PDF — no title in any source),pdf
A3.2.4,A3,maybe-appendix,(cross-reference PDF — no title in any source),pdf
A3.2.5.1,A3,maybe-appendix,(cross-reference PDF — no title in any source),pdf
A3.2.5.2,A3,maybe-appendix,(cross-reference PDF — no title in any source),pdf
A3.2.6.1,A3,maybe-appendix,(cross-reference PDF — no title in any source),pdf
A3.3.1.1,A3,maybe-appendix,(cross-reference PDF — no title in any source),pdf
A3.3.2,A3,maybe-appendix,(cross-reference PDF — no title in any source),pdf
A3.3.3,A3,maybe-appendix,(cross-reference PDF — no title in any source),pdf
A3.4.1,A3,maybe-appendix,(cross-reference PDF — no title in any source),pdf
A3.5,A3,maybe-appendix,(cross-reference PDF — no title in any source),pdf
