control_id,family,cspm_scope,title,aws_checks,aws_match_confidence,azure_checks,azure_match_confidence,gcp_checks,gcp_match_confidence,oracle_checks,oracle_match_confidence,ibm_checks,ibm_match_confidence,alicloud_checks,alicloud_match_confidence,k8s_checks,k8s_match_confidence,aws_ciem_checks,azure_ciem_checks,gcp_ciem_checks,oracle_ciem_checks,ibm_ciem_checks,alicloud_ciem_checks,k8s_ciem_checks
AC-6(2),AC,yes,Least Privilege (2),aws.iam.role.least_privilege;aws.iam.policy.editors_rbac_least_privilege;aws.iam.role.scopes_or_s_least_privilege,0.75,azure.ad.role.least_privilege;azure.backup.policy.access_backup_vault_rbac_least_privilege;azure.monitor.trace.access_rbac_least_privilege,0.67,gcp.trace.trace.trace_access_rbac_least_privilege;gcp.iam.policy.rbac_policy_conditions_used_where_applicable;gcp.trace.trace.monitoring_access_rbac_least_privilege,0.60,oci.identity.policy.policy_editors_rbac_least_privilege_required;oci.identity.policy.policy_admin_rbac_least_privilege_required;oci.database.database.database_policy_least_privilege_required,0.43,ibm.iam.policy.rbac_least_privilege;ibm.iam.role.least_privilege,refined,alicloud.dataworks.lineage.access_rbac_least_privilege;alicloud.dataworks.lineage_data.lineage_access_rbac_least_privilege;alicloud.cas.cas_private_ca.private_ca_ca_access_rbac_least_privilege,0.50,k8s.rbac.role.least_privilege_enforced;k8s.role.permission.secrets_access_restricted;k8s.rbac.serviceaccount.least_privilege,0.60,NEW: aws.iam.activity_log.assume_role_without_mfa;aws.cloudtrail.audit.console_login_root,NEW: azure.aad.activity_log.privileged_role_activation;azure.monitor.audit.bypass_logging,NEW: gcp.iam.activity_log.service_account_key_creation;gcp.cloudaudit.chain.sa_impersonation_escalation,NEW: oci.iam.audit.policy_attachment_admin;oci.audit.chain.compartment_bypass,NEW: ibm.iam.activity_log.serviceid_to_api_key;ibm.resource.audit.management_key_rotation_bypass,NEW: alicloud.ram.activity_log.attach_policy_to_user;alicloud.actiontrail.chain.ram_privilege_escalation,NEW: k8s.rbac.audit.clusterrolebinding_creation;k8s.audit.chain.privileged_pod_escape
AC-6(5),AC,yes,Least Privilege | Privileged Accounts,aws.iam.role.least_privilege;aws.iam.policy.editors_rbac_least_privilege;aws.iam.role.scopes_or_s_least_privilege,0.75,azure.ad.role.least_privilege;azure.backup.policy.access_backup_vault_rbac_least_privilege;azure.monitor.trace.access_rbac_least_privilege,0.67,gcp.trace.trace.trace_access_rbac_least_privilege;gcp.iam.policy.rbac_policy_conditions_used_where_applicable;gcp.trace.trace.monitoring_access_rbac_least_privilege,0.60,oci.identity.policy.policy_editors_rbac_least_privilege_required;oci.identity.policy.policy_admin_rbac_least_privilege_required;oci.database.database.database_policy_least_privilege_required,0.43,ibm.iam.policy.rbac_least_privilege;ibm.iam.role.least_privilege_enforced,refined,alicloud.dataworks.lineage.access_rbac_least_privilege;alicloud.dataworks.lineage_data.lineage_access_rbac_least_privilege;alicloud.cas.cas_private_ca.private_ca_ca_access_rbac_least_privilege,0.50,k8s.rbac.role.least_privilege_enforced;k8s.role.permission.secrets_access_restricted;k8s.rbac.serviceaccount.least_privilege,0.60,NEW: aws.iam.activity_log.assume_role;aws.cloudtrail.audit.console_login,NEW: azure.aad.activity_log.privileged_signin;azure.resource.audit.elevated_access,NEW: gcp.iam.activity_log.service_account_key;gcp.cloudaudit.audit.set_iam_policy,NEW: oci.identity.audit.user_group_change;oci.audit.chain.admin_session,NEW: ibm.iam.activity_log.api_key;ibm.resource.audit.policy_attach,NEW: alicloud.ram.activity_log.attach_policy;alicloud.actiontrail.audit.console_signin,NEW: k8s.rbac.audit.rolebinding;k8s.audit.chain.privileged_pod
AC-6(9),AC,yes,Least Privilege (9),aws.iam.role.least_privilege;aws.iam.policy.editors_rbac_least_privilege;aws.iam.role.scopes_or_s_least_privilege,0.75,azure.ad.role.least_privilege;azure.backup.policy.access_backup_vault_rbac_least_privilege;azure.monitor.trace.access_rbac_least_privilege,0.67,gcp.trace.trace.trace_access_rbac_least_privilege;gcp.iam.policy.rbac_policy_conditions_used_where_applicable;gcp.trace.trace.monitoring_access_rbac_least_privilege,0.60,oci.identity.policy.policy_editors_rbac_least_privilege_required;oci.identity.policy.policy_admin_rbac_least_privilege_required;oci.database.database.database_policy_least_privilege_required,0.43,ibm.iam.policy.rbac_least_privilege;ibm.iam.role.least_privilege,refined,alicloud.dataworks.lineage.access_rbac_least_privilege;alicloud.dataworks.lineage_data.lineage_access_rbac_least_privilege;alicloud.cas.cas_private_ca.private_ca_ca_access_rbac_least_privilege,0.50,k8s.rbac.role.least_privilege_enforced;k8s.role.permission.secrets_access_restricted;k8s.rbac.serviceaccount.least_privilege,0.60,NEW: aws.iam.activity_log.assume_role_without_mfa;aws.cloudtrail.audit.console_login_by_root,NEW: azure.aad.audit.privileged_role_activation;azure.monitor.chain.elevation_then_resource_modify,NEW: gcp.iam.audit.service_account_key_creation;gcp.cloudaudit.chain.project_iam_binding_change,NEW: oci.identity.audit.policy_modification;oci.audit.chain.group_membership_change,NEW: ibm.iam.activity_log.api_key_creation;ibm.activitytracker.chain.role_assignment,NEW: alicloud.ram.audit.attach_policy_to_user;alicloud.actiontrail.chain.permission_grant,NEW: k8s.rbac.audit.clusterrole_binding;k8s.audit.chain.serviceaccount_token_mount
AC-6(10),AC,yes,Least Privilege (10),aws.iam.role.least_privilege;aws.iam.policy.editors_rbac_least_privilege;aws.iam.role.scopes_or_s_least_privilege,0.75,azure.ad.role.least_privilege;azure.backup.policy.access_backup_vault_rbac_least_privilege;azure.monitor.trace.access_rbac_least_privilege,0.67,gcp.trace.trace.trace_access_rbac_least_privilege;gcp.iam.policy.rbac_policy_conditions_used_where_applicable;gcp.trace.trace.monitoring_access_rbac_least_privilege,0.60,oci.identity.policy.policy_editors_rbac_least_privilege_required;oci.identity.policy.policy_admin_rbac_least_privilege_required;oci.database.database.database_policy_least_privilege_required,0.43,ibm.iam.policy.rbac_least_privilege;ibm.iam.role.least_privilege,refined,alicloud.dataworks.lineage.access_rbac_least_privilege;alicloud.dataworks.lineage_data.lineage_access_rbac_least_privilege;alicloud.cas.cas_private_ca.private_ca_ca_access_rbac_least_privilege,0.50,k8s.rbac.role.least_privilege_enforced;k8s.role.permission.secrets_access_restricted;k8s.rbac.serviceaccount.least_privilege,0.60,NEW: aws.iam.activity_log.assume_role_high_privilege;aws.cloudtrail.audit.console_login_without_mfa,NEW: azure.aad.audit.privileged_role_activation;azure.monitor.activity_log.bypass_just_in_time,NEW: gcp.iam.audit.service_account_key_creation;gcp.cloudaudit.activity_log.project_iam_change,NEW: oci.audit.activity_log.dynamic_group_membership_change;oci.identity.audit.policy_attachment_admin,NEW: ibm.iam.activity_log.service_id_api_key_creation;ibm.resource_controller.audit.instance_provision_privileged,NEW: alicloud.ram.activity_log.attach_policy_to_user;alicloud.actiontrail.audit.console_signin_privileged,NEW: k8s.rbac.audit.clusterrolebinding_creation;k8s.audit.chain.serviceaccount_token_escalation
AC-11(1),AC,yes,Device Lock (1),"SKIP: Device lock is an endpoint/OS-level control, not a cloud resource configuration.",0.00,"SKIP: Device lock is an endpoint/OS-level control, not a cloud resource configuration.",0.00,"SKIP: Device lock is an endpoint/OS-level control, not a cloud resource configuration.",0.00,"SKIP: Device lock is an endpoint/OS-level control, not a cloud resource configuration.",0.00,"SKIP: Device lock is an endpoint/OS-level control, not a cloud resource configuration.",0.00,"SKIP: Device lock is an endpoint/OS-level control, not a cloud resource configuration.",0.00,"SKIP: Device lock is an endpoint/OS-level control, not a cloud resource configuration.",0.00,,,,,,,
AC-17(1),AC,yes,Remote Access (1),aws.iam.role.least_privilege;aws.iam.policy.editors_rbac_least_privilege;aws.iam.role.scopes_or_s_least_privilege,0.75,azure.ad.role.least_privilege;azure.backup.policy.access_backup_vault_rbac_least_privilege;azure.monitor.trace.access_rbac_least_privilege,0.67,gcp.trace.trace.trace_access_rbac_least_privilege;gcp.iam.policy.rbac_policy_conditions_used_where_applicable;gcp.trace.trace.monitoring_access_rbac_least_privilege,0.60,oci.identity.policy.policy_editors_rbac_least_privilege_required;oci.identity.policy.policy_admin_rbac_least_privilege_required;oci.database.database.database_policy_least_privilege_required,0.43,ibm.iam.policy.rbac_least_privilege;ibm.iam.role.least_privilege_enforced,refined,alicloud.dataworks.lineage.access_rbac_least_privilege;alicloud.dataworks.lineage_data.lineage_access_rbac_least_privilege;alicloud.cas.cas_private_ca.private_ca_ca_access_rbac_least_privilege,0.50,k8s.rbac.role.least_privilege_enforced;k8s.role.permission.secrets_access_restricted;k8s.rbac.serviceaccount.least_privilege,0.60,,,,,,,
AC-17(2),AC,yes,Remote Access (2),aws.iam.role.least_privilege;aws.iam.policy.editors_rbac_least_privilege;aws.iam.role.scopes_or_s_least_privilege,0.75,azure.ad.role.least_privilege;azure.backup.policy.access_backup_vault_rbac_least_privilege;azure.monitor.trace.access_rbac_least_privilege,0.67,gcp.trace.trace.trace_access_rbac_least_privilege;gcp.iam.policy.rbac_policy_conditions_used_where_applicable;gcp.trace.trace.monitoring_access_rbac_least_privilege,0.60,oci.identity.policy.policy_editors_rbac_least_privilege_required;oci.identity.policy.policy_admin_rbac_least_privilege_required;oci.database.database.database_policy_least_privilege_required,0.43,ibm.iam.policy.rbac_least_privilege;ibm.iam.role.least_privilege_enforced,refined,alicloud.dataworks.lineage.access_rbac_least_privilege;alicloud.dataworks.lineage_data.lineage_access_rbac_least_privilege;alicloud.cas.cas_private_ca.private_ca_ca_access_rbac_least_privilege,0.50,k8s.rbac.role.least_privilege_enforced;k8s.role.permission.secrets_access_restricted;k8s.rbac.serviceaccount.least_privilege,0.60,,,,,,,
AC-17(3),AC,yes,Remote Access (3),aws.iam.role.least_privilege;aws.iam.policy.editors_rbac_least_privilege;aws.iam.role.scopes_or_s_least_privilege,0.75,azure.ad.role.least_privilege;azure.backup.policy.access_backup_vault_rbac_least_privilege;azure.monitor.trace.access_rbac_least_privilege,0.67,gcp.trace.trace.trace_access_rbac_least_privilege;gcp.iam.policy.rbac_policy_conditions_used_where_applicable;gcp.trace.trace.monitoring_access_rbac_least_privilege,0.60,oci.identity.policy.policy_editors_rbac_least_privilege_required;oci.identity.policy.policy_admin_rbac_least_privilege_required;oci.database.database.database_policy_least_privilege_required,0.43,ibm.iam.policy.rbac_least_privilege;ibm.iam.role.least_privilege_enforced,refined,alicloud.dataworks.lineage.access_rbac_least_privilege;alicloud.dataworks.lineage_data.lineage_access_rbac_least_privilege;alicloud.cas.cas_private_ca.private_ca_ca_access_rbac_least_privilege,0.50,k8s.rbac.role.least_privilege_enforced;k8s.role.permission.secrets_access_restricted;k8s.rbac.serviceaccount.least_privilege,0.60,,,,,,,
AC-17(4),AC,yes,Remote Access (4),aws.iam.role.least_privilege;aws.iam.policy.editors_rbac_least_privilege;aws.iam.role.scopes_or_s_least_privilege,0.75,azure.ad.role.least_privilege;azure.backup.policy.access_backup_vault_rbac_least_privilege;azure.monitor.trace.access_rbac_least_privilege,0.67,gcp.trace.trace.trace_access_rbac_least_privilege;gcp.iam.policy.rbac_policy_conditions_used_where_applicable;gcp.trace.trace.monitoring_access_rbac_least_privilege,0.60,oci.identity.policy.policy_editors_rbac_least_privilege_required;oci.identity.policy.policy_admin_rbac_least_privilege_required;oci.database.database.database_policy_least_privilege_required,0.43,ibm.iam.policy.rbac_least_privilege;ibm.iam.role.least_privilege_enforced,refined,alicloud.dataworks.lineage.access_rbac_least_privilege;alicloud.dataworks.lineage_data.lineage_access_rbac_least_privilege;alicloud.cas.cas_private_ca.private_ca_ca_access_rbac_least_privilege,0.50,k8s.rbac.role.least_privilege_enforced;k8s.role.permission.secrets_access_restricted;k8s.rbac.serviceaccount.least_privilege,0.60,,,,,,,
AC-17(9),AC,yes,Remote Access (9),aws.iam.role.least_privilege;aws.iam.policy.editors_rbac_least_privilege;aws.iam.role.scopes_or_s_least_privilege,0.75,azure.ad.role.least_privilege;azure.backup.policy.access_backup_vault_rbac_least_privilege;azure.monitor.trace.access_rbac_least_privilege,0.67,gcp.trace.trace.trace_access_rbac_least_privilege;gcp.iam.policy.rbac_policy_conditions_used_where_applicable;gcp.trace.trace.monitoring_access_rbac_least_privilege,0.60,oci.identity.policy.policy_editors_rbac_least_privilege_required;oci.identity.policy.policy_admin_rbac_least_privilege_required;oci.database.database.database_policy_least_privilege_required,0.43,ibm.iam.policy.rbac_least_privilege;ibm.iam.role.least_privilege_enforced,refined,alicloud.dataworks.lineage.access_rbac_least_privilege;alicloud.dataworks.lineage_data.lineage_access_rbac_least_privilege;alicloud.cas.cas_private_ca.private_ca_ca_access_rbac_least_privilege,0.50,k8s.rbac.role.least_privilege_enforced;k8s.role.permission.secrets_access_restricted;k8s.rbac.serviceaccount.least_privilege,0.60,,,,,,,
AC-17(100),AC,yes,Remote Access (100),aws.iam.role.least_privilege;aws.iam.policy.editors_rbac_least_privilege;aws.iam.role.scopes_or_s_least_privilege,0.75,azure.ad.role.least_privilege;azure.backup.policy.access_backup_vault_rbac_least_privilege;azure.monitor.trace.access_rbac_least_privilege,0.67,gcp.trace.trace.trace_access_rbac_least_privilege;gcp.iam.policy.rbac_policy_conditions_used_where_applicable;gcp.trace.trace.monitoring_access_rbac_least_privilege,0.60,oci.identity.policy.policy_editors_rbac_least_privilege_required;oci.identity.policy.policy_admin_rbac_least_privilege_required;oci.database.database.database_policy_least_privilege_required,0.43,ibm.iam.policy.rbac_least_privilege;ibm.iam.role.least_privilege,refined,alicloud.dataworks.lineage.access_rbac_least_privilege;alicloud.dataworks.lineage_data.lineage_access_rbac_least_privilege;alicloud.cas.cas_private_ca.private_ca_ca_access_rbac_least_privilege,0.50,k8s.rbac.role.least_privilege_enforced;k8s.role.permission.secrets_access_restricted;k8s.rbac.serviceaccount.least_privilege,0.60,,,,,,,
AC-18(1),AC,yes,Wireless Access (1),aws.iam.role.least_privilege;aws.iam.policy.editors_rbac_least_privilege;aws.iam.role.scopes_or_s_least_privilege,0.75,azure.ad.role.least_privilege;azure.backup.policy.access_backup_vault_rbac_least_privilege;azure.monitor.trace.access_rbac_least_privilege,0.67,gcp.trace.trace.trace_access_rbac_least_privilege;gcp.iam.policy.rbac_policy_conditions_used_where_applicable;gcp.trace.trace.monitoring_access_rbac_least_privilege,0.60,oci.identity.policy.policy_editors_rbac_least_privilege_required;oci.identity.policy.policy_admin_rbac_least_privilege_required;oci.database.database.database_policy_least_privilege_required,0.43,ibm.iam.policy.rbac_least_privilege;ibm.iam.role.least_privilege_enforced,refined,alicloud.dataworks.lineage.access_rbac_least_privilege;alicloud.dataworks.lineage_data.lineage_access_rbac_least_privilege;alicloud.cas.cas_private_ca.private_ca_ca_access_rbac_least_privilege,0.50,k8s.rbac.role.least_privilege_enforced;k8s.role.permission.secrets_access_restricted;k8s.rbac.serviceaccount.least_privilege,0.60,,,,,,,
AC-18(4),AC,yes,Wireless Access (4),aws.iam.role.least_privilege;aws.iam.policy.editors_rbac_least_privilege;aws.iam.role.scopes_or_s_least_privilege,0.75,azure.ad.role.least_privilege;azure.backup.policy.access_backup_vault_rbac_least_privilege;azure.monitor.trace.access_rbac_least_privilege,0.67,gcp.trace.trace.trace_access_rbac_least_privilege;gcp.iam.policy.rbac_policy_conditions_used_where_applicable;gcp.trace.trace.monitoring_access_rbac_least_privilege,0.60,oci.identity.policy.policy_editors_rbac_least_privilege_required;oci.identity.policy.policy_admin_rbac_least_privilege_required;oci.database.database.database_policy_least_privilege_required,0.43,ibm.iam.role.least_privilege;ibm.iam.policy.editors_rbac_least_privilege,refined,alicloud.dataworks.lineage.access_rbac_least_privilege;alicloud.dataworks.lineage_data.lineage_access_rbac_least_privilege;alicloud.cas.cas_private_ca.private_ca_ca_access_rbac_least_privilege,0.50,k8s.rbac.role.least_privilege_enforced;k8s.role.permission.secrets_access_restricted;k8s.rbac.serviceaccount.least_privilege,0.60,,,,,,,
AC-20(1),AC,yes,Use of External Systems (1),NEW: aws.iam.policy.condition_external_accounts,0.00,NEW: azure.authorization.role_assignment.external_principals,0.00,NEW: gcp.iam.policy.bindings.external_members,0.00,NEW: oci.identity.policy.statements.external_entities,0.00,NEW: ibm.iam.policy.external_entities;ibm.iam.authorization_policy.external_principals,0.00,NEW: alicloud.ram.policy.external_entities,0.00,NEW: k8s.rbac.rolebinding.external_subjects,0.00,,,,,,,
AC-20(2),AC,yes,Use of External Systems (2),NEW: aws.iam.policy.principal_external_accounts,0.00,NEW: azure.authorization.role_assignment.external_tenant,0.00,NEW: gcp.iam.policy.member_external,0.00,NEW: oci.identity.policy.external_entities,0.00,NEW: ibm.iam.policy.external_entities;ibm.iam.authorization_policy.external_principals,0.00,NEW: alicloud.ram.policy.external_entities,0.00,NEW: k8s.rbac.rolebinding.external_subjects,0.00,,,,,,,
AU-2(3),AU,yes,Audit Events (3),aws.cloudtrail.trail.log_trail_logs_centralized_and_encrypted;aws.cloudtrail.trail.flow_logging_enabled;aws.cloudtrail.logs.s3_bucket_access_logging_enabled,0.57,azure.purview.audit_log.logs_centralized_and_encrypted;azure.synapse.cluster.audit_logging;azure.monitor.log.logging_enabled,0.50,NEW: gcp.logging.sink.destination_and_filter,0.00,oci.audit.configuration.logging_enabled;oci.audit.configuration.logs_s3_bucket_access_logging_enabled,0.40,NEW: ibm.activity_tracker.route.destination_and_filter,0.00,alicloud.ims.audit.logs_enabled;alicloud.analyticdb.cluster.audit_logging;alicloud.actiontrail.trail.logging_enabled,0.40,k8s.audit.log.enabled;k8s.audit.log.creation_deletion_events_enabled;k8s.audit.log.timestamps_configured,0.50,NEW: aws.cloudtrail.audit.log_deletion;aws.cloudtrail.chain.defense_evasion,NEW: azure.monitor.activity_log.export_disable;azure.security.chain.anomaly_pattern,NEW: gcp.logging.audit.sink_deletion;gcp.iam.chain.privilege_escalation,NEW: oci.audit.activity_log.config_change;oci.identity.chain.defense_evasion,NEW: ibm.activitytracker.audit.event_routing_disable;ibm.iam.chain.anomalous_access,NEW: alicloud.actiontrail.audit.trail_stop;alicloud.ram.chain.privileged_action,NEW: k8s.audit.audit_policy_change;k8s.chain.defense_evasion
AU-3(1),AU,yes,Content of Audit Records (1),aws.cloudtrail.trail.log_trail_logs_centralized_and_encrypted;aws.cloudtrail.trail.flow_logging_enabled;aws.cloudtrail.logs.s3_bucket_access_logging_enabled,0.57,azure.purview.audit_log.logs_centralized_and_encrypted;azure.synapse.cluster.audit_logging;azure.monitor.log.logging_enabled,0.50,NEW: gcp.logging.sink.filter_expression,0.00,oci.audit.configuration.logging_enabled;oci.audit.configuration.logs_s3_bucket_access_logging_enabled,0.40,ibm.activity_tracker.route.configured;ibm.activity_tracker.event.configured,refined,alicloud.ims.audit.logs_enabled;alicloud.analyticdb.cluster.audit_logging;alicloud.actiontrail.trail.logging_enabled,0.40,k8s.audit.log.enabled;k8s.audit.log.timestamps_configured;k8s.audit.log.retention_configured,0.50,NEW: aws.cloudtrail.activity_log.delete;aws.cloudtrail.audit.modify,NEW: azure.monitor.activity_log.delete;azure.policy.audit.disable,NEW: gcp.logging.audit.sink_delete;gcp.iam.activity_log.bucket_perm_change,NEW: oci.audit.activity_log.config_change;oci.objectstorage.chain.log_deletion,NEW: ibm.activitytracker.activity_log.route_delete;ibm.cloudauditlog.chain.export_disable,NEW: alicloud.actiontrail.activity_log.trail_delete;alicloud.oss.chain.log_lifecycle,NEW: k8s.audit.chain.policy_delete_pod
