framework,control_id,control_title,csp,rule_type,suggested_rule_id,intent
SOC2,P6.6,"The entity provides notification of breaches and incidents to affected data subjects, regulators, and others to meet its objectives related to privacy.",alicloud,ciem,alicloud.ram.chain.assume_role_anomaly,Detect ActionTrail deletion and anomalous RAM role assumption to circumvent logging
SOC2,P6.6,"The entity provides notification of breaches and incidents to affected data subjects, regulators, and others to meet its objectives related to privacy.",k8s,ciem,k8s.audit.chain.rolebind_priv_esc_then_delete_events,Detect privilege escalation via RoleBinding followed by event deletion to obstruct incident reporting
PCI_DSS,5.3.4,Audit logs for the anti-malware solution(s) are enabled and retained in accordance with Requirement 10.5.1.,aws,ciem,aws.guardduty.audit.disable,Detect attempts to disable GuardDuty malware protection logs or delete CloudTrail logs that contain anti-malware findings.
PCI_DSS,5.3.4,Audit logs for the anti-malware solution(s) are enabled and retained in accordance with Requirement 10.5.1.,aws,ciem,aws.cloudtrail.chain.antimalware_log_deletion,Detect attempts to disable GuardDuty malware protection logs or delete CloudTrail logs that contain anti-malware findings.
PCI_DSS,5.3.4,Audit logs for the anti-malware solution(s) are enabled and retained in accordance with Requirement 10.5.1.,azure,ciem,azure.securitycenter.audit.disable,Detect disabling of Microsoft Defender for Cloud malware scanning logs or removal of Log Analytics workspace containing anti-malware audit data.
PCI_DSS,5.3.4,Audit logs for the anti-malware solution(s) are enabled and retained in accordance with Requirement 10.5.1.,azure,ciem,azure.monitor.chain.log_removal,Detect disabling of Microsoft Defender for Cloud malware scanning logs or removal of Log Analytics workspace containing anti-malware audit data.
PCI_DSS,5.3.4,Audit logs for the anti-malware solution(s) are enabled and retained in accordance with Requirement 10.5.1.,gcp,ciem,gcp.securitycenter.audit.disable,Detect disabling of Security Command Center malware event logging or deletion of log sinks routing anti-malware audit logs.
PCI_DSS,5.3.4,Audit logs for the anti-malware solution(s) are enabled and retained in accordance with Requirement 10.5.1.,gcp,ciem,gcp.logging.chain.sink_deletion,Detect disabling of Security Command Center malware event logging or deletion of log sinks routing anti-malware audit logs.
PCI_DSS,5.3.4,Audit logs for the anti-malware solution(s) are enabled and retained in accordance with Requirement 10.5.1.,oracle,ciem,oci.events.audit.log_disable,Detect disabling of Events Service rules for malware alerts or deletion of Logging log groups storing anti-malware audit trails.
PCI_DSS,5.3.4,Audit logs for the anti-malware solution(s) are enabled and retained in accordance with Requirement 10.5.1.,oracle,ciem,oci.logging.chain.log_group_deletion,Detect disabling of Events Service rules for malware alerts or deletion of Logging log groups storing anti-malware audit trails.
PCI_DSS,5.3.4,Audit logs for the anti-malware solution(s) are enabled and retained in accordance with Requirement 10.5.1.,ibm,ciem,ibm.securityadvisor.audit.disable,Detect disabling of IBM Security Advisor malware detection alerts or deletion of Activity Tracker log exports containing anti-malware events.
PCI_DSS,5.3.4,Audit logs for the anti-malware solution(s) are enabled and retained in accordance with Requirement 10.5.1.,ibm,ciem,ibm.activitytracker.chain.log_export_delete,Detect disabling of IBM Security Advisor malware detection alerts or deletion of Activity Tracker log exports containing anti-malware events.
PCI_DSS,5.3.4,Audit logs for the anti-malware solution(s) are enabled and retained in accordance with Requirement 10.5.1.,alicloud,ciem,alicloud.securitycenter.audit.disable,Detect disabling of Security Center anti-malware audit features or deletion of ActionTrail trails that log malware-related events.
PCI_DSS,5.3.4,Audit logs for the anti-malware solution(s) are enabled and retained in accordance with Requirement 10.5.1.,alicloud,ciem,alicloud.actiontrail.chain.trail_deletion,Detect disabling of Security Center anti-malware audit features or deletion of ActionTrail trails that log malware-related events.
PCI_DSS,5.3.4,Audit logs for the anti-malware solution(s) are enabled and retained in accordance with Requirement 10.5.1.,k8s,ciem,k8s.falco.audit.disable,Detect disabling of Falco runtime malware detection audit logs or tampering with Fluentd log forwarding to evade anti-malware audit retention.
PCI_DSS,5.3.4,Audit logs for the anti-malware solution(s) are enabled and retained in accordance with Requirement 10.5.1.,k8s,ciem,k8s.fluentd.chain.log_evasion,Detect disabling of Falco runtime malware detection audit logs or tampering with Fluentd log forwarding to evade anti-malware audit retention.
PCI_DSS,6.3.1,"Security vulnerabilities are identified and managed as follows: • New security vulnerabilities are identified using industry-recognized sources for security vulnerability information, including alerts",aws,ciem,aws.securityhub.activity_log.finding_import,"Detect privileged actions that suppress or delete vulnerability findings from AWS Security Hub or GuardDuty, indicating potential evasion of vulnerability management."
PCI_DSS,6.3.1,"Security vulnerabilities are identified and managed as follows: • New security vulnerabilities are identified using industry-recognized sources for security vulnerability information, including alerts",aws,ciem,aws.guardduty.activity_log.finding_creation,"Detect privileged actions that suppress or delete vulnerability findings from AWS Security Hub or GuardDuty, indicating potential evasion of vulnerability management."
PCI_DSS,6.3.1,"Security vulnerabilities are identified and managed as follows: • New security vulnerabilities are identified using industry-recognized sources for security vulnerability information, including alerts",azure,ciem,azure.securitycenter.activity_log.alert_suppression,"Detect suppression of Azure Security Center alerts or creation of Policy exemptions for vulnerability assessments, indicating potential control bypass."
PCI_DSS,6.3.1,"Security vulnerabilities are identified and managed as follows: • New security vulnerabilities are identified using industry-recognized sources for security vulnerability information, including alerts",azure,ciem,azure.policy.activity_log.exemption_creation,"Detect suppression of Azure Security Center alerts or creation of Policy exemptions for vulnerability assessments, indicating potential control bypass."
PCI_DSS,6.3.1,"Security vulnerabilities are identified and managed as follows: • New security vulnerabilities are identified using industry-recognized sources for security vulnerability information, including alerts",gcp,ciem,gcp.securitycenter.activity_log.finding_state_change,"Detect state changes (e.g., to INACTIVE) of Security Command Center findings or deletion of Cloud Asset Inventory exports containing vulnerability data, indicating potential tampering."
PCI_DSS,6.3.1,"Security vulnerabilities are identified and managed as follows: • New security vulnerabilities are identified using industry-recognized sources for security vulnerability information, including alerts",gcp,ciem,gcp.cloudasset.activity_log.export_delete,"Detect state changes (e.g., to INACTIVE) of Security Command Center findings or deletion of Cloud Asset Inventory exports containing vulnerability data, indicating potential tampering."
PCI_DSS,6.3.1,"Security vulnerabilities are identified and managed as follows: • New security vulnerabilities are identified using industry-recognized sources for security vulnerability information, including alerts",oracle,ciem,oci.vulnerabilityscanning.activity_log.host_scan_disable,"Detect disabling of OCI Vulnerability Scanning service host scans or deactivation of Events service rules for vulnerability alerts, indicating potential suppression of detection."
PCI_DSS,6.3.1,"Security vulnerabilities are identified and managed as follows: • New security vulnerabilities are identified using industry-recognized sources for security vulnerability information, including alerts",oracle,ciem,oci.events.audit.rule_deactivation,"Detect disabling of OCI Vulnerability Scanning service host scans or deactivation of Events service rules for vulnerability alerts, indicating potential suppression of detection."
PCI_DSS,6.3.1,"Security vulnerabilities are identified and managed as follows: • New security vulnerabilities are identified using industry-recognized sources for security vulnerability information, including alerts",ibm,ciem,ibm.securityadvisor.activity_log.note_creation,"Detect creation of ""false positive"" notes on IBM Security Advisor findings or configuration changes to IBM Activity Tracker that could suppress vulnerability-related audit logs."
PCI_DSS,6.3.1,"Security vulnerabilities are identified and managed as follows: • New security vulnerabilities are identified using industry-recognized sources for security vulnerability information, including alerts",ibm,ciem,ibm.activitytracker.audit.config_change,"Detect creation of ""false positive"" notes on IBM Security Advisor findings or configuration changes to IBM Activity Tracker that could suppress vulnerability-related audit logs."
PCI_DSS,6.3.1,"Security vulnerabilities are identified and managed as follows: • New security vulnerabilities are identified using industry-recognized sources for security vulnerability information, including alerts",alicloud,ciem,alicloud.sas.activity_log.backup_policy_delete,"Detect deletion of Security Center (SAS) vulnerability backup policies or stopping of ActionTrail audit trails, indicating attempts to disrupt vulnerability tracking."
PCI_DSS,6.3.1,"Security vulnerabilities are identified and managed as follows: • New security vulnerabilities are identified using industry-recognized sources for security vulnerability information, including alerts",alicloud,ciem,alicloud.actiontrail.audit.trail_stop,"Detect deletion of Security Center (SAS) vulnerability backup policies or stopping of ActionTrail audit trails, indicating attempts to disrupt vulnerability tracking."
PCI_DSS,6.3.1,"Security vulnerabilities are identified and managed as follows: • New security vulnerabilities are identified using industry-recognized sources for security vulnerability information, including alerts",k8s,ciem,k8s.admission.audit.webhook_bypass,Detect attempts to bypass vulnerability scanning admission webhooks or multi-step RBAC chains leading to ClusterRole permissions that could disable security controls.
PCI_DSS,6.3.1,"Security vulnerabilities are identified and managed as follows: • New security vulnerabilities are identified using industry-recognized sources for security vulnerability information, including alerts",k8s,ciem,k8s.rbac.chain.clusterrole_escalation,Detect attempts to bypass vulnerability scanning admission webhooks or multi-step RBAC chains leading to ClusterRole permissions that could disable security controls.
PCI_DSS,7.2.4,"All user accounts and related access privileges, including third-party/vendor accounts, are reviewed as follows:   • At least once every six months.   • To ensure user accounts and access remain appro",aws,ciem,aws.iam.audit.user_access_review_override,Detect IAM user access review overrides and chained actions to evade privilege removal after review deadlines
PCI_DSS,7.2.4,"All user accounts and related access privileges, including third-party/vendor accounts, are reviewed as follows:   • At least once every six months.   • To ensure user accounts and access remain appro",aws,ciem,aws.cloudtrail.chain.privilege_retention_evasion,Detect IAM user access review overrides and chained actions to evade privilege removal after review deadlines
PCI_DSS,7.2.4,"All user accounts and related access privileges, including third-party/vendor accounts, are reviewed as follows:   • At least once every six months.   • To ensure user accounts and access remain appro",azure,ciem,azure.aad.audit.user_access_review_bypass,Detect bypass of Azure AD access reviews and chained role assignment modifications to retain unauthorized access
PCI_DSS,7.2.4,"All user accounts and related access privileges, including third-party/vendor accounts, are reviewed as follows:   • At least once every six months.   • To ensure user accounts and access remain appro",azure,ciem,azure.monitor.chain.role_assignment_persistence,Detect bypass of Azure AD access reviews and chained role assignment modifications to retain unauthorized access
PCI_DSS,7.2.4,"All user accounts and related access privileges, including third-party/vendor accounts, are reviewed as follows:   • At least once every six months.   • To ensure user accounts and access remain appro",gcp,ciem,gcp.iam.audit.service_account_key_after_review,Detect service account key creation post-access review and chained project-level role modifications to circumvent review
PCI_DSS,7.2.4,"All user accounts and related access privileges, including third-party/vendor accounts, are reviewed as follows:   • At least once every six months.   • To ensure user accounts and access remain appro",gcp,ciem,gcp.cloudaudit.chain.project_role_evasion,Detect service account key creation post-access review and chained project-level role modifications to circumvent review
PCI_DSS,7.2.4,"All user accounts and related access privileges, including third-party/vendor accounts, are reviewed as follows:   • At least once every six months.   • To ensure user accounts and access remain appro",oracle,ciem,oci.identity.audit.user_capability_reactivation,Detect reactivation of user capabilities after review deactivation and chained compartment policy modifications to restore access
PCI_DSS,7.2.4,"All user accounts and related access privileges, including third-party/vendor accounts, are reviewed as follows:   • At least once every six months.   • To ensure user accounts and access remain appro",oracle,ciem,oci.audit.chain.compartment_policy_evasion,Detect reactivation of user capabilities after review deactivation and chained compartment policy modifications to restore access
PCI_DSS,7.2.4,"All user accounts and related access privileges, including third-party/vendor accounts, are reviewed as follows:   • At least once every six months.   • To ensure user accounts and access remain appro",ibm,ciem,ibm.iam.audit.serviceid_privilege_reversion,Detect service ID privilege reversion post-review and chained access group modifications to evade entitlement removal
PCI_DSS,7.2.4,"All user accounts and related access privileges, including third-party/vendor accounts, are reviewed as follows:   • At least once every six months.   • To ensure user accounts and access remain appro",ibm,ciem,ibm.activitytracker.chain.access_group_evasion,Detect service ID privilege reversion post-review and chained access group modifications to evade entitlement removal
PCI_DSS,7.2.4,"All user accounts and related access privileges, including third-party/vendor accounts, are reviewed as follows:   • At least once every six months.   • To ensure user accounts and access remain appro",alicloud,ciem,alicloud.ram.audit.user_login_profile_reactivate,Detect RAM user login profile reactivation after review disable and chained RAM policy updates to retain privileges
PCI_DSS,7.2.4,"All user accounts and related access privileges, including third-party/vendor accounts, are reviewed as follows:   • At least once every six months.   • To ensure user accounts and access remain appro",alicloud,ciem,alicloud.actiontrail.chain.ram_policy_evasion,Detect RAM user login profile reactivation after review disable and chained RAM policy updates to retain privileges
PCI_DSS,7.2.4,"All user accounts and related access privileges, including third-party/vendor accounts, are reviewed as follows:   • At least once every six months.   • To ensure user accounts and access remain appro",k8s,ciem,k8s.rbac.audit.rolebinding_after_review,Detect RoleBinding creation/modification post-access review and chained service account privilege escalation to bypass review controls
PCI_DSS,7.2.4,"All user accounts and related access privileges, including third-party/vendor accounts, are reviewed as follows:   • At least once every six months.   • To ensure user accounts and access remain appro",k8s,ciem,k8s.audit.chain.serviceaccount_privilege_escalation,Detect RoleBinding creation/modification post-access review and chained service account privilege escalation to bypass review controls
PCI_DSS,10.2.2,"Audit logs record the following details for each auditable event: user identification, type of event, date and time, success and failure indication, origination of event, identity or name of affected ",aws,ciem,aws.cloudtrail.activity_log.critical_event_missing,Detect missing critical audit events and anomalous privileged actions in CloudTrail logs
PCI_DSS,10.2.2,"Audit logs record the following details for each auditable event: user identification, type of event, date and time, success and failure indication, origination of event, identity or name of affected ",aws,ciem,aws.cloudtrail.audit.privileged_action_anomaly,Detect missing critical audit events and anomalous privileged actions in CloudTrail logs
PCI_DSS,10.2.2,"Audit logs record the following details for each auditable event: user identification, type of event, date and time, success and failure indication, origination of event, identity or name of affected ",azure,ciem,azure.monitor.activity_log.audit_gap_detection,Identify gaps in audit log coverage and suspicious sign-in chains evading logging
PCI_DSS,10.2.2,"Audit logs record the following details for each auditable event: user identification, type of event, date and time, success and failure indication, origination of event, identity or name of affected ",azure,ciem,azure.aad.audit.signin_chain_evasion,Identify gaps in audit log coverage and suspicious sign-in chains evading logging
PCI_DSS,10.2.2,"Audit logs record the following details for each auditable event: user identification, type of event, date and time, success and failure indication, origination of event, identity or name of affected ",gcp,ciem,gcp.audit_log.activity_log.integrity_check,Monitor audit log integrity and detect multi-step IAM privilege escalation patterns
PCI_DSS,10.2.2,"Audit logs record the following details for each auditable event: user identification, type of event, date and time, success and failure indication, origination of event, identity or name of affected ",gcp,ciem,gcp.iam.chain.privilege_escalation_pattern,Monitor audit log integrity and detect multi-step IAM privilege escalation patterns
PCI_DSS,10.2.2,"Audit logs record the following details for each auditable event: user identification, type of event, date and time, success and failure indication, origination of event, identity or name of affected ",oracle,ciem,oci.audit.service.retention_breach,Detect audit log retention policy violations and administrative bypass attempts
PCI_DSS,10.2.2,"Audit logs record the following details for each auditable event: user identification, type of event, date and time, success and failure indication, origination of event, identity or name of affected ",oracle,ciem,oci.iam.audit.admin_bypass,Detect audit log retention policy violations and administrative bypass attempts
PCI_DSS,10.2.2,"Audit logs record the following details for each auditable event: user identification, type of event, date and time, success and failure indication, origination of event, identity or name of affected ",ibm,ciem,ibm.activity_tracker.audit.log_tampering,Identify log tampering in Activity Tracker and IAM defense evasion chains
PCI_DSS,10.2.2,"Audit logs record the following details for each auditable event: user identification, type of event, date and time, success and failure indication, origination of event, identity or name of affected ",ibm,ciem,ibm.iam.chain.defense_evasion,Identify log tampering in Activity Tracker and IAM defense evasion chains
PCI_DSS,10.2.2,"Audit logs record the following details for each auditable event: user identification, type of event, date and time, success and failure indication, origination of event, identity or name of affected ",alicloud,ciem,alicloud.actiontrail.activity_log.critical_gap,Detect critical event gaps in ActionTrail and anomalous RAM privileged actions
PCI_DSS,10.2.2,"Audit logs record the following details for each auditable event: user identification, type of event, date and time, success and failure indication, origination of event, identity or name of affected ",alicloud,ciem,alicloud.ram.audit.privileged_anomaly,Detect critical event gaps in ActionTrail and anomalous RAM privileged actions
PCI_DSS,10.2.2,"Audit logs record the following details for each auditable event: user identification, type of event, date and time, success and failure indication, origination of event, identity or name of affected ",k8s,ciem,k8s.audit_log.activity_log.cluster_admin_evasion,Identify cluster-admin audit evasion and RBAC persistence chain patterns
PCI_DSS,10.2.2,"Audit logs record the following details for each auditable event: user identification, type of event, date and time, success and failure indication, origination of event, identity or name of affected ",k8s,ciem,k8s.rbac.chain.persistence_pattern,Identify cluster-admin audit evasion and RBAC persistence chain patterns
PCI_DSS,10.4.2.1,"The frequency of periodic log reviews for all other system components (not defined in Requirement 10.4.1) is defined in the entity’s targeted risk analysis, which is performed according to all element",aws,ciem,aws.cloudtrail.activity_log.periodic_review,Detect missing periodic log reviews and anomalous privileged actions across AWS services.
PCI_DSS,10.4.2.1,"The frequency of periodic log reviews for all other system components (not defined in Requirement 10.4.1) is defined in the entity’s targeted risk analysis, which is performed according to all element",aws,ciem,aws.cloudtrail.audit.privileged_action_anomaly,Detect missing periodic log reviews and anomalous privileged actions across AWS services.
PCI_DSS,10.4.2.1,"The frequency of periodic log reviews for all other system components (not defined in Requirement 10.4.1) is defined in the entity’s targeted risk analysis, which is performed according to all element",azure,ciem,azure.monitor.activity_log.audit_gap,Identify gaps in log collection/review cycles and multi-step defense evasion patterns in Azure activity logs.
PCI_DSS,10.4.2.1,"The frequency of periodic log reviews for all other system components (not defined in Requirement 10.4.1) is defined in the entity’s targeted risk analysis, which is performed according to all element",azure,ciem,azure.security.audit.defense_evasion_chain,Identify gaps in log collection/review cycles and multi-step defense evasion patterns in Azure activity logs.
PCI_DSS,10.4.2.1,"The frequency of periodic log reviews for all other system components (not defined in Requirement 10.4.1) is defined in the entity’s targeted risk analysis, which is performed according to all element",gcp,ciem,gcp.logging.activity_log.audit_frequency,Monitor for deviations from defined log review schedules and detect privilege escalation chains in GCP audit logs.
PCI_DSS,10.4.2.1,"The frequency of periodic log reviews for all other system components (not defined in Requirement 10.4.1) is defined in the entity’s targeted risk analysis, which is performed according to all element",gcp,ciem,gcp.iam.chain.privilege_escalation,Monitor for deviations from defined log review schedules and detect privilege escalation chains in GCP audit logs.
PCI_DSS,10.4.2.1,"The frequency of periodic log reviews for all other system components (not defined in Requirement 10.4.1) is defined in the entity’s targeted risk analysis, which is performed according to all element",oracle,ciem,oci.audit.activity_log.anomalous_access,Flag anomalous access patterns from untrusted locations and credential theft/abuse chains in OCI audit logs.
PCI_DSS,10.4.2.1,"The frequency of periodic log reviews for all other system components (not defined in Requirement 10.4.1) is defined in the entity’s targeted risk analysis, which is performed according to all element",oracle,ciem,oci.iam.chain.credential_theft,Flag anomalous access patterns from untrusted locations and credential theft/abuse chains in OCI audit logs.
PCI_DSS,10.4.2.1,"The frequency of periodic log reviews for all other system components (not defined in Requirement 10.4.1) is defined in the entity’s targeted risk analysis, which is performed according to all element",ibm,ciem,ibm.activity_tracker.audit.config_change_chain,Detect chains of suspicious configuration changes that could disrupt log integrity or review processes in IBM Cloud.
PCI_DSS,10.4.2.1,"The frequency of periodic log reviews for all other system components (not defined in Requirement 10.4.1) is defined in the entity’s targeted risk analysis, which is performed according to all element",alicloud,ciem,alicloud.actiontrail.activity_log.review_anomaly,Identify anomalies in log review activity and detect unauthorized role assumption chains in ActionTrail and RAM logs.
PCI_DSS,10.4.2.1,"The frequency of periodic log reviews for all other system components (not defined in Requirement 10.4.1) is defined in the entity’s targeted risk analysis, which is performed according to all element",alicloud,ciem,alicloud.ram.chain.unauthorized_assume,Identify anomalies in log review activity and detect unauthorized role assumption chains in ActionTrail and RAM logs.
PCI_DSS,10.4.2.1,"The frequency of periodic log reviews for all other system components (not defined in Requirement 10.4.1) is defined in the entity’s targeted risk analysis, which is performed according to all element",k8s,ciem,k8s.audit.activity_log.privileged_pod_chain,Detect multi-step attack chains involving privileged pod creation and subsequent lateral movement within Kubernetes clusters.
PCI_DSS,10.6.1,System clocks and time are synchronized using time-synchronization technology.,aws,ciem,aws.ec2.activity_log.modify_time_sync,Detect attempts to disable time synchronization on EC2 instances or stop CloudTrail logging to evade time-based audit trails.
PCI_DSS,10.6.1,System clocks and time are synchronized using time-synchronization technology.,aws,ciem,aws.cloudtrail.audit.stop_logging,Detect attempts to disable time synchronization on EC2 instances or stop CloudTrail logging to evade time-based audit trails.
PCI_DSS,10.6.1,System clocks and time are synchronized using time-synchronization technology.,azure,ciem,azure.vm.activity_log.modify_time_config,Detect modifications to VM time synchronization settings or disabling of log profiles that could disrupt time-correlated security monitoring.
PCI_DSS,10.6.1,System clocks and time are synchronized using time-synchronization technology.,azure,ciem,azure.monitor.audit.disable_log_profile,Detect modifications to VM time synchronization settings or disabling of log profiles that could disrupt time-correlated security monitoring.
PCI_DSS,10.6.1,System clocks and time are synchronized using time-synchronization technology.,gcp,ciem,gcp.compute.activity_log.set_ntp_config,Detect changes to NTP configuration on Compute Engine instances or logging sink updates that may affect time-synchronized log collection.
PCI_DSS,10.6.1,System clocks and time are synchronized using time-synchronization technology.,gcp,ciem,gcp.logging.audit.update_sink,Detect changes to NTP configuration on Compute Engine instances or logging sink updates that may affect time-synchronized log collection.
PCI_DSS,10.6.1,System clocks and time are synchronized using time-synchronization technology.,oracle,ciem,oci.compute.activity_log.update_instance,"Detect modifications to compute instance metadata (e.g., time settings) or audit configuration changes that could impact time-sync integrity."
PCI_DSS,10.6.1,System clocks and time are synchronized using time-synchronization technology.,oracle,ciem,oci.audit.audit.update_config,"Detect modifications to compute instance metadata (e.g., time settings) or audit configuration changes that could impact time-sync integrity."
PCI_DSS,10.6.1,System clocks and time are synchronized using time-synchronization technology.,ibm,ciem,ibm.vpc.activity_log.update_instance,Detect alterations to VPC instance time settings or Activity Tracker route modifications that might disrupt time-synced log forwarding.
PCI_DSS,10.6.1,System clocks and time are synchronized using time-synchronization technology.,ibm,ciem,ibm.activity_tracker.audit.update_route,Detect alterations to VPC instance time settings or Activity Tracker route modifications that might disrupt time-synced log forwarding.
PCI_DSS,10.6.1,System clocks and time are synchronized using time-synchronization technology.,alicloud,ciem,alicloud.ecs.activity_log.modify_instance,Detect changes to ECS instance attributes related to time sync or ActionTrail trail updates that could compromise time-aligned auditing.
PCI_DSS,10.6.1,System clocks and time are synchronized using time-synchronization technology.,alicloud,ciem,alicloud.actiontrail.audit.update_trail,Detect changes to ECS instance attributes related to time sync or ActionTrail trail updates that could compromise time-aligned auditing.
PCI_DSS,10.6.1,System clocks and time are synchronized using time-synchronization technology.,k8s,ciem,k8s.node.chain.time_ntp_disable,"Detect multi-step patterns to disable NTP on cluster nodes or disable audit webhooks, undermining time synchronization for event correlation."
PCI_DSS,10.6.1,System clocks and time are synchronized using time-synchronization technology.,k8s,ciem,k8s.audit.audit.webhook_disable,"Detect multi-step patterns to disable NTP on cluster nodes or disable audit webhooks, undermining time synchronization for event correlation."
PCI_DSS,10.7.1,"Additional requirement for service providers only: Failures of critical security control systems are detected, alerted, and addressed promptly, including but not limited to failure of the following cr",aws,ciem,aws.cloudtrail.audit.config_deletion,"Detect deletion of critical logging/security configs (Config, CloudTrail, GuardDuty) and chained actions to disable monitoring before an attack."
PCI_DSS,10.7.1,"Additional requirement for service providers only: Failures of critical security control systems are detected, alerted, and addressed promptly, including but not limited to failure of the following cr",aws,ciem,aws.cloudtrail.chain.defense_evasion,"Detect deletion of critical logging/security configs (Config, CloudTrail, GuardDuty) and chained actions to disable monitoring before an attack."
PCI_DSS,10.7.1,"Additional requirement for service providers only: Failures of critical security control systems are detected, alerted, and addressed promptly, including but not limited to failure of the following cr",azure,ciem,azure.activity_log.audit.policy_override,Detect policy assignments that bypass security controls and chained events that disable or suppress security alerts and diagnostic settings.
PCI_DSS,10.7.1,"Additional requirement for service providers only: Failures of critical security control systems are detected, alerted, and addressed promptly, including but not limited to failure of the following cr",azure,ciem,azure.monitor.chain.alert_suppression,Detect policy assignments that bypass security controls and chained events that disable or suppress security alerts and diagnostic settings.
PCI_DSS,10.7.1,"Additional requirement for service providers only: Failures of critical security control systems are detected, alerted, and addressed promptly, including but not limited to failure of the following cr",gcp,ciem,gcp.audit_log.activity_log.sink_deletion,Detect deletion of critical logging sinks (Log Router) and chained IAM permission escalation followed by security service disablement.
PCI_DSS,10.7.1,"Additional requirement for service providers only: Failures of critical security control systems are detected, alerted, and addressed promptly, including but not limited to failure of the following cr",gcp,ciem,gcp.cloudasset.chain.iam_escalation,Detect deletion of critical logging sinks (Log Router) and chained IAM permission escalation followed by security service disablement.
PCI_DSS,10.7.1,"Additional requirement for service providers only: Failures of critical security control systems are detected, alerted, and addressed promptly, including but not limited to failure of the following cr",oracle,ciem,oci.audit.activity_log.vault_deletion,"Detect deletion of Vault keys or deletion of audit trails, and chained compartment policy modifications that bypass security controls."
PCI_DSS,10.7.1,"Additional requirement for service providers only: Failures of critical security control systems are detected, alerted, and addressed promptly, including but not limited to failure of the following cr",oracle,ciem,oci.identity.chain.compartment_bypass,"Detect deletion of Vault keys or deletion of audit trails, and chained compartment policy modifications that bypass security controls."
PCI_DSS,10.7.1,"Additional requirement for service providers only: Failures of critical security control systems are detected, alerted, and addressed promptly, including but not limited to failure of the following cr",ibm,ciem,ibm.activity_log.audit.rule_deletion,"Detect deletion of critical security rules (Security Groups, ACLs) in logs and chained events that disable monitoring services."
PCI_DSS,10.7.1,"Additional requirement for service providers only: Failures of critical security control systems are detected, alerted, and addressed promptly, including but not limited to failure of the following cr",ibm,ciem,ibm.chain.defense_evasion,"Detect deletion of critical security rules (Security Groups, ACLs) in logs and chained events that disable monitoring services."
PCI_DSS,10.7.1,"Additional requirement for service providers only: Failures of critical security control systems are detected, alerted, and addressed promptly, including but not limited to failure of the following cr",alicloud,ciem,alicloud.actiontrail.audit.trail_deletion,Detect deletion or stoppage of ActionTrail trails and chained RAM policy changes that weaken or bypass security monitoring.
PCI_DSS,10.7.1,"Additional requirement for service providers only: Failures of critical security control systems are detected, alerted, and addressed promptly, including but not limited to failure of the following cr",alicloud,ciem,alicloud.chain.ram_bypass,Detect deletion or stoppage of ActionTrail trails and chained RAM policy changes that weaken or bypass security monitoring.
PCI_DSS,10.7.1,"Additional requirement for service providers only: Failures of critical security control systems are detected, alerted, and addressed promptly, including but not limited to failure of the following cr",k8s,ciem,k8s.audit.activity_log.psp_deletion,Detect deletion or modification of Pod Security Policies/Admission Webhooks and chained events where privileged pods are created after security controls are disabled.
