rule_id,csp,service,resource,attribute,frameworks,framework_count,control_count,mapped_controls,suggested_intent
aws.ec2.instance.vulnerability_scan_enabled,aws,ec2,instance,vulnerability_scan_enabled,CANADA_PBMM,1,5,CANADA_PBMM/RA-5(1);CANADA_PBMM/RA-5(2);CANADA_PBMM/RA-5(3);CANADA_PBMM/RA-5(5);CANADA_PBMM/RA-5(8),Check that EC2 instances are configured to be scanned by a vulnerability assessment tool.; Check that EC2 instances are configured to enable vulnerability scanning via Inspector or SSM.; Check if EC2 instances are configured to enable vulnerability scanning via Inspector or Systems Manager.
aws.iam.account.password_policy.minimum_length,aws,iam,account,password_policy.minimum_length,CANADA_PBMM,1,5,CANADA_PBMM/AC-2(10);CANADA_PBMM/AC-2(2);CANADA_PBMM/AC-2(3);CANADA_PBMM/AC-2(4);CANADA_PBMM/IA-2(3),Ensure IAM password policy enforces a minimum password length of 14 or greater.; Check IAM password policy enforces a minimum password length.; Ensure IAM password policy enforces a minimum password length.
aws.vpc.security_group.ingress_restricted,aws,vpc,security_group,ingress_restricted,CANADA_PBMM,1,5,CANADA_PBMM/SC-7(12);CANADA_PBMM/SC-7(13);CANADA_PBMM/SC-7(18);CANADA_PBMM/SC-7(7);CANADA_PBMM/SC-7(8),Check that security groups restrict inbound traffic to authorized sources.; Check that security groups restrict ingress from the internet to only authorized ports and protocols.; Check that security groups restrict ingress traffic to authorized sources.
azure.network.nsg.ingress_restricted,azure,network,nsg,ingress_restricted,CANADA_PBMM,1,5,CANADA_PBMM/SC-7(12);CANADA_PBMM/SC-7(13);CANADA_PBMM/SC-7(18);CANADA_PBMM/SC-7(7);CANADA_PBMM/SC-7(8),Check that network security groups restrict inbound traffic to authorized sources.; Check that network security groups restrict ingress from the internet to only authorized ports and protocols.
gcp.compute.firewall.ingress_restricted,gcp,compute,firewall,ingress_restricted,CANADA_PBMM,1,5,CANADA_PBMM/SC-7(12);CANADA_PBMM/SC-7(13);CANADA_PBMM/SC-7(18);CANADA_PBMM/SC-7(7);CANADA_PBMM/SC-7(8),Check that VPC firewall rules restrict ingress traffic to authorized sources.; Check that VPC firewall rules restrict inbound traffic to authorized sources.; Check that VPC firewall rules restrict ingress from the internet to only authorized ports and protocols.
ibm.vpc.instance.vulnerability_scanning_enabled,ibm,vpc,instance,vulnerability_scanning_enabled,CANADA_PBMM,1,5,CANADA_PBMM/RA-5(1);CANADA_PBMM/RA-5(2);CANADA_PBMM/RA-5(3);CANADA_PBMM/RA-5(5);CANADA_PBMM/RA-5(8),PARTIAL: ibm.vpc.instance.vulnerability_scanning_enabled ||| verifies config exists for VSI vulnerability scanning but not testing execution; PARTIAL: ibm.vpc.instance.vulnerability_scanning_enabled ||| verifies config exists for VM vulnerability scanning but not testing execution; PARTIAL: ibm.vpc.instance.vulnerability_scanning_enabled ||| verifies config exists for compute scanning but not univ
ibm.vpc.security_group.ingress_restricted,ibm,vpc,security_group,ingress_restricted,CANADA_PBMM,1,5,CANADA_PBMM/SC-7(12);CANADA_PBMM/SC-7(13);CANADA_PBMM/SC-7(18);CANADA_PBMM/SC-7(7);CANADA_PBMM/SC-7(8),Check that security groups restrict inbound traffic to authorized sources.; Check that security groups restrict ingress from the internet to only authorized ports and protocols.; Check that VPC security groups restrict inbound traffic to authorized sources.
k8s.kubernetes.node.file_system.ownership,k8s,kubernetes,node,file_system.ownership,CIS;CIS_K8S,2,5,CIS/1.4.4;CIS/4.1.4;CIS_K8S/1.4.4;CIS_K8S/2.2.2;CIS_K8S/4.1.4,Check that the proxy kubeconfig file on a node is owned by root:root; Check that kubelet config file ownership is root:root on cluster nodes.; Check that kubelet config file ownership is set to root:root
k8s.network.network_policy.ingress_restricted,k8s,network,network_policy,ingress_restricted,CANADA_PBMM,1,5,CANADA_PBMM/SC-7(12);CANADA_PBMM/SC-7(13);CANADA_PBMM/SC-7(18);CANADA_PBMM/SC-7(7);CANADA_PBMM/SC-7(8),Check that NetworkPolicy resources restrict inbound pod traffic.; Check that NetworkPolicy resources restrict ingress from external sources to only authorized pods and ports.; Check that NetworkPolicy resources restrict ingress traffic to authorized pods.
k8s.rbac.rolebinding.external_subjects,k8s,rbac,rolebinding,external_subjects,CANADA_PBMM,1,5,CANADA_PBMM/AC-20(1);CANADA_PBMM/AC-20(2);CANADA_PBMM/SA-9(2);CANADA_PBMM/SA-9(4);CANADA_PBMM/SA-9(5),Check RoleBindings/ClusterRoleBindings for unauthorized external subjects.; Check RoleBindings/ClusterRoleBindings for subjects from unauthorized external identities.; Check RoleBindings/ClusterRoleBindings for subjects from external identity providers.
oci.core.security_list.ingress_restricted,oracle,core,security_list,ingress_restricted,CANADA_PBMM,1,5,CANADA_PBMM/SC-7(12);CANADA_PBMM/SC-7(13);CANADA_PBMM/SC-7(18);CANADA_PBMM/SC-7(7);CANADA_PBMM/SC-7(8),Check that security lists restrict ingress traffic to authorized sources.; Check that security lists restrict inbound traffic to authorized sources.; Check that security lists restrict ingress from the internet to only authorized ports and protocols.
oci.object_storage.bucket.versioning_enabled,oracle,object_storage,bucket,versioning_enabled,CANADA_PBMM;CIS,2,5,CANADA_PBMM/CP-9(2);CANADA_PBMM/CP-9(3);CANADA_PBMM/CP-9(5);CANADA_PBMM/CP-9(7);CIS/6.1,Check OCI Object Storage bucket has versioning enabled for data recovery.; (refined)
alicloud.ecs.instance.inventory,alicloud,ecs,instance,inventory,CANADA_PBMM,1,4,CANADA_PBMM/CM-8(1);CANADA_PBMM/CM-8(2);CANADA_PBMM/CM-8(3);CANADA_PBMM/CM-8(5),Check that all Alibaba Cloud ECS instances are tracked in an inventory system via tags or resource directory.; (refined)
aws.ec2.instance.inventory,aws,ec2,instance,inventory,CANADA_PBMM,1,4,CANADA_PBMM/CM-8(1);CANADA_PBMM/CM-8(2);CANADA_PBMM/CM-8(3);CANADA_PBMM/CM-8(5),(refined); Check that all EC2 instances are tracked in a CMDB or via AWS Config.; Check that all EC2 instances are tracked in a CMDB or inventory system via tags or config management.
aws.kms.key.key_manager,aws,kms,key,key_manager,CANADA_PBMM;NIST_800_171,2,4,CANADA_PBMM/SC-12(1);CANADA_PBMM/SC-12(2);CANADA_PBMM/SC-12(3);NIST_800_171/3.13.10,"(refined); Check that KMS customer-managed keys have a defined key manager (IAM user/role) for key usage authorization.; Check that KMS customer-managed keys have a defined key manager (e.g., Customer) and rotation is enabled."
azure.compute.virtual_machine.disaster_recovery,azure,compute,virtual_machine,disaster_recovery,CANADA_PBMM,1,4,CANADA_PBMM/CP-2(1);CANADA_PBMM/CP-2(2);CANADA_PBMM/CP-2(3);CANADA_PBMM/CP-2(5),"Check that Azure VMs have disaster recovery configured via Azure Site Recovery or backup with geo-redundancy.; Check that Azure VMs are configured with Site Recovery or backup for contingency.; Check that Azure VMs have disaster recovery configured (e.g., replication to another region via Site Recovery)."
azure.compute.vm.inventory,azure,compute,vm,inventory,CANADA_PBMM,1,4,CANADA_PBMM/CM-8(1);CANADA_PBMM/CM-8(2);CANADA_PBMM/CM-8(3);CANADA_PBMM/CM-8(5),Check that all Azure VMs are tracked in an inventory system via tags or Azure Resource Graph.; Check that all Azure VMs are tracked in a CMDB or inventory system via tags or management configuration.; Check that all Azure VMs are tracked via Azure Inventory or Azure Resource Graph.
gcp.compute.instance.disaster_recovery,gcp,compute,instance,disaster_recovery,CANADA_PBMM,1,4,CANADA_PBMM/CP-2(1);CANADA_PBMM/CP-2(2);CANADA_PBMM/CP-2(3);CANADA_PBMM/CP-2(5),"Check that Compute Engine instances have disaster recovery configured (e.g., via persistent disk snapshots and instance templates).; Check that Compute Engine instances have disaster recovery configured via persistent disks with snapshots or via backup schedules.; (refined)"
gcp.compute.instance.inventory,gcp,compute,instance,inventory,CANADA_PBMM,1,4,CANADA_PBMM/CM-8(1);CANADA_PBMM/CM-8(2);CANADA_PBMM/CM-8(3);CANADA_PBMM/CM-8(5),Check that all Compute Engine instances are tracked in an inventory system via labels or Asset Inventory.; Check that all Compute Engine instances are tracked in a CMDB or inventory system via labels or management config.; (refined)
ibm.activity_tracker.instance.status,ibm,activity_tracker,instance,status,CANADA_PBMM,1,4,CANADA_PBMM/SI-4(11);CANADA_PBMM/SI-4(16);CANADA_PBMM/SI-4(20);CANADA_PBMM/SI-4(23),check that IBM Cloud Activity Tracker instance is provisioned and active; check that ibm cloud activity tracker is provisioned and active; check that IBM Cloud Activity Tracker is provisioned and active
ibm.cos.bucket.versioning_enabled,ibm,cos,bucket,versioning_enabled,CANADA_PBMM;CIS,2,4,CANADA_PBMM/CP-9(2);CANADA_PBMM/CP-9(5);CANADA_PBMM/CP-9(7);CIS/6.1,Check IBM Cloud Object Storage bucket has versioning enabled for data recovery.; Check IBM Cloud Object Storage bucket has versioning enabled for data protection.; (refined)
ibm.vpc.instance.backup_policy,ibm,vpc,instance,backup_policy,CANADA_PBMM,1,4,CANADA_PBMM/CP-2(1);CANADA_PBMM/CP-2(3);CANADA_PBMM/CP-2(4);CANADA_PBMM/CP-2(8),Check that VPC instances are associated with a backup policy or snapshot schedule for recovery.; Check that IBM VPC instances are associated with a backup policy for automated backups.; PARTIAL: ibm.vpc.instance.backup_policy ||| verifies backup policy attachment but not automated recovery workflow
k8s.core.node.inventory,k8s,core,node,inventory,CANADA_PBMM,1,4,CANADA_PBMM/CM-8(1);CANADA_PBMM/CM-8(2);CANADA_PBMM/CM-8(3);CANADA_PBMM/CM-8(5),(refined); PARTIAL: k8s.core.node.inventory ||| verifies node (compute) inventory but not other cluster-wide system components like control plane or add-ons; Check that all Kubernetes nodes are registered and tracked in the cluster state.
k8s.etcd.data_directory.ownership,k8s,etcd,data_directory,ownership,CIS;CIS_K8S,2,4,CIS/1.1.12;CIS/1.4.12;CIS_K8S/1.1.12;CIS_K8S/1.4.12,Check that the etcd data directory is owned by the etcd:etcd user and group.; Check etcd data directory ownership is set to etcd:etcd; (refined)
k8s.kubernetes.kubelet.make_iptables_util_chains,k8s,kubernetes,kubelet,make_iptables_util_chains,CIS;CIS_K8S,2,4,CIS/2.1.8;CIS/4.2.7;CIS_K8S/2.1.8;CIS_K8S/4.2.7,Ensure kubelet argument --make-iptables-util-chains is set to true; Ensure the kubelet --make-iptables-util-chains argument is set to true for proper network rule management.; (refined)
k8s.kubernetes.node.kubelet_protect_kernel_defaults,k8s,kubernetes,node,kubelet_protect_kernel_defaults,CIS;CIS_K8S,2,4,CIS/2.1.7;CIS/4.2.6;CIS_K8S/2.1.7;CIS_K8S/4.2.6,Check that the kubelet argument --protect-kernel-defaults is set to true for node security.; Check that the kubelet --protect-kernel-defaults argument is set to true; (refined)
k8s.node.kubelet.hostname_override,k8s,node,kubelet,hostname_override,CIS;CIS_K8S,2,4,CIS/2.1.10;CIS/4.2.8;CIS_K8S/2.1.10;CIS_K8S/4.2.8,(refined); Check that the kubelet's --hostname-override argument is not set for node configuration.
oci.compute.instance.inventory,oracle,compute,instance,inventory,CANADA_PBMM,1,4,CANADA_PBMM/CM-8(1);CANADA_PBMM/CM-8(2);CANADA_PBMM/CM-8(3);CANADA_PBMM/CM-8(5),Check that all OCI compute instances are tracked in an inventory system via defined tags or compartment structure.; (refined)
alicloud.kms.key.automatic_rotation,alicloud,kms,key,automatic_rotation,CANADA_PBMM,1,3,CANADA_PBMM/SC-12(1);CANADA_PBMM/SC-12(2);CANADA_PBMM/SC-12(3),Check that Alibaba Cloud KMS customer master keys have automatic rotation policy enabled.; (refined); Check that KMS keys have automatic rotation enabled and configured.
alicloud.oss.bucket.versioning_enabled,alicloud,oss,bucket,versioning_enabled,CANADA_PBMM;CIS,2,3,CANADA_PBMM/CP-9(2);CANADA_PBMM/CP-9(5);CIS/6.1,Check Alibaba Cloud OSS bucket has versioning enabled for data recovery.; Check Alibaba Cloud OSS bucket has versioning enabled for backup capability.; (refined)
alicloud.ram.user.mfa_enabled,alicloud,ram,user,mfa_enabled,CANADA_PBMM,1,3,CANADA_PBMM/IA-4(2);CANADA_PBMM/IA-4(3);CANADA_PBMM/IA-4(4),Check that all RAM users have MFA enabled.; Check that all RAM users have MFA enabled for console access.; Ensure all RAM users have MFA enabled.
aws.ec2.instance.antivirus_installed,aws,ec2,instance,antivirus_installed,CANADA_PBMM,1,3,CANADA_PBMM/SI-3(1);CANADA_PBMM/SI-3(2);CANADA_PBMM/SI-3(7),Check if EC2 instances have an antivirus/anti-malware agent installed and running.; Check if EC2 instances have antivirus/anti-malware agent installed and running.; (refined)
aws.iam.user.mfa_enabled,aws,iam,user,mfa_enabled,CANADA_PBMM,1,3,CANADA_PBMM/IA-4(2);CANADA_PBMM/IA-4(3);CANADA_PBMM/IA-4(4),Check that all IAM users have MFA enabled for console access.; Ensure all IAM users have MFA enabled for console access.
azure.authorization.role_assignment.external_principals,azure,authorization,role_assignment,external_principals,CANADA_PBMM,1,3,CANADA_PBMM/AC-20(1);CANADA_PBMM/SA-9(4);CANADA_PBMM/SA-9(5),Check role assignments for external Azure AD tenants.; Check role assignments for unauthorized external principals.
azure.iam.user.mfa_enabled,azure,iam,user,mfa_enabled,CANADA_PBMM,1,3,CANADA_PBMM/IA-4(2);CANADA_PBMM/IA-4(3);CANADA_PBMM/IA-4(4),Check that all users have multi-factor authentication enabled.; Ensure all users have multi-factor authentication enabled.; Check that all user accounts have MFA enabled for portal/console access.
gcp.iam.user.mfa_enabled,gcp,iam,user,mfa_enabled,CANADA_PBMM,1,3,CANADA_PBMM/IA-4(2);CANADA_PBMM/IA-4(3);CANADA_PBMM/IA-4(4),Check that all user accounts have two-step verification enforced.; Check that all user accounts have MFA enabled for console access.; Ensure all users have 2-Step Verification enabled.
ibm.activity_tracker.route.configured,ibm,activity_tracker,route,configured,CANADA_PBMM;CIS,2,3,CANADA_PBMM/AU-6(1);CANADA_PBMM/AU-7(1);CIS/4.15,PARTIAL: ibm.activity_tracker.route.configured ||| verifies log routing to COS exists but not reduction/report generation; (refined); PARTIAL: ibm.activity_tracker.route.configured ||| verifies log destination is configured but not the analysis/reporting process execution
ibm.activity_tracker.route.status,ibm,activity_tracker,route,status,CANADA_PBMM;CIS,2,3,CANADA_PBMM/SI-4(4);CANADA_PBMM/SI-4(7);CIS/2.3.1,check that IBM Activity Tracker routes are configured for monitoring; check that IBM Activity Tracker routes are configured to send logs to a monitoring service; (refined)
ibm.iam.user.mfa_enabled,ibm,iam,user,mfa_enabled,CANADA_PBMM,1,3,CANADA_PBMM/IA-4(2);CANADA_PBMM/IA-4(3);CANADA_PBMM/IA-4(4),Check that all users have multi-factor authentication enabled.; Check that all IAM users have MFA enabled for console access.; Ensure all users have multi-factor authentication enabled.
ibm.vpc.instance.inventory,ibm,vpc,instance,inventory,CANADA_PBMM,1,3,CANADA_PBMM/CM-8(1);CANADA_PBMM/CM-8(3);CANADA_PBMM/CM-8(5),(refined)
k8s.kubernetes.config_file.permissions,k8s,kubernetes,config_file,permissions,CIS;CIS_K8S,2,3,CIS/2.2.1;CIS_K8S/1.4.3;CIS_K8S/2.2.1,Check that Kubernetes configuration file permissions are set to 644 or more restrictive; Check that Kubernetes config file permissions are set to 644 or more restrictive; (refined)
k8s.pod.security_context,k8s,pod,security_context,,CANADA_PBMM;CIS,2,3,CANADA_PBMM/CM-7(5);CANADA_PBMM/SI-3(7);CIS/4.6.3,"(refined); Check if Pod security context disables privileged execution and sets appropriate security policies to limit malicious code impact.; Ensure Pod Security Standards (e.g., Restricted profile) are enforced via security context."
k8s.rbac.role.least_privilege,k8s,rbac,role,least_privilege,CIS,1,3,CIS/12.4;CIS/5.3.7;CIS/5.4.4,"PARTIAL: k8s.rbac.role.least_privilege ||| verifies Role/ClusterRole rules but not specific to serverless function workloads (e.g., Knative); PARTIAL: k8s.rbac.role.least_privilege ||| verifies RBAC role bindings exist but cannot test periodic review execution; PARTIAL: k8s.rbac.role.least_privilege ||| verifies RBAC role bindings exist but not network policy enforcement"
oci.compute.instance.disaster_recovery,oracle,compute,instance,disaster_recovery,CANADA_PBMM,1,3,CANADA_PBMM/CP-2(1);CANADA_PBMM/CP-2(3);CANADA_PBMM/CP-2(5),Check that Oracle Compute instances have disaster recovery configured via cross-region backups or replication.; Check that Oracle Compute instances have disaster recovery configured via block volume backups or DR policies.; Check that Compute instances are configured with backup policies or are in a fault domain/availability domain strategy.
oci.iam.user.mfa_enabled,oracle,iam,user,mfa_enabled,CANADA_PBMM,1,3,CANADA_PBMM/IA-4(2);CANADA_PBMM/IA-4(3);CANADA_PBMM/IA-4(4),Check that all IAM users have MFA enabled.; Ensure all IAM users have MFA enabled.; Check that all IAM users have MFA enabled for console access.
oci.identity.auth_policy.password_policy,oracle,identity,auth_policy,password_policy,CANADA_PBMM;NIST_800_171;PCI_DSS,3,3,CANADA_PBMM/AC-2(4);NIST_800_171/3.1.8;PCI_DSS/A3.5,PARTIAL: oci.identity.auth_policy.password_policy ||| verifies config exists but not testing execution; PARTIAL: oci.identity.auth_policy.password_policy ||| verifies password policy configuration exists in IAM but may not cover all organizational process require
alicloud.actiontrail.trail.enabled,alicloud,actiontrail,trail,enabled,NIST_800_171,1,2,NIST_800_171/3.13.14;NIST_800_171/3.7.4,PARTIAL: alicloud.actiontrail.trail.enabled ||| verifies audit trail for OSS operations but not content scanning; PARTIAL: alicloud.actiontrail.trail.enabled ||| verifies audit trail exists for API calls but not VoIP-specific monitoring
alicloud.actiontrail.trail.is_organization_trail,alicloud,actiontrail,trail,is_organization_trail,CANADA_PBMM,1,2,CANADA_PBMM/IR-4(1);CANADA_PBMM/SI-4(2),Check that ActionTrail is configured as an organization trail for multi-account logging.; Check that ActionTrail trails are configured as multi-account/organization trails.
alicloud.actiontrail.trail.logging_enabled,alicloud,actiontrail,trail,logging_enabled,CIS,1,2,CIS/2.1.2;CIS/4.14,(refined)
alicloud.actiontrail.trail.oss_write_enabled,alicloud,actiontrail,trail,oss_write_enabled,CANADA_PBMM;CIS,2,2,CANADA_PBMM/IR-4(3);CIS/4.15,Check that ActionTrail is enabled and delivering logs to OSS for incident analysis.; (refined)
alicloud.cs.kubernetes.pki_ownership,alicloud,cs,kubernetes,pki_ownership,CIS;CIS_ALICLOUD,2,2,CIS/1.1.19;CIS_ALICLOUD/1.1.19,Check that the ownership of the Kubernetes PKI directory and files is set to root:root.; (refined)
alicloud.ecs.instance.backup_policy,alicloud,ecs,instance,backup_policy,CANADA_PBMM,1,2,CANADA_PBMM/CP-2(2);CANADA_PBMM/CP-2(3),PARTIAL: alicloud.ecs.instance.backup_policy ||| verifies snapshot/backup policy configuration but not cross-service orchestration; Check that ECS instances are associated with a backup policy or disaster recovery plan.
alicloud.ecs.instance.disaster_recovery,alicloud,ecs,instance,disaster_recovery,CANADA_PBMM,1,2,CANADA_PBMM/CP-2(1);CANADA_PBMM/CP-2(5),Check that ECS instances are configured with automatic snapshots or are in an auto-scaling group for recovery.; Check that ECS instances have disaster recovery configured via snapshots with cross-region copy or using Hybrid Backup Recovery.
alicloud.ecs.instance.image_id,alicloud,ecs,instance,image_id,CANADA_PBMM,1,2,CANADA_PBMM/CM-2(2);CANADA_PBMM/CM-3(6),Check that ECS instances are launched from an approved baseline image.; (refined); Check that ECS instances are launched from approved images.
alicloud.ecs.instance.trusted_image,alicloud,ecs,instance,trusted_image,CANADA_PBMM,1,2,CANADA_PBMM/SI-7(1);CANADA_PBMM/SI-7(7),"Check that ECS instances are launched from trusted images (e.g., approved public or custom images).; Check that ECS instances use approved/trusted images from Alibaba Cloud Marketplace or custom sources."
alicloud.ram.password_policy.minimum_password_length,alicloud,ram,password_policy,minimum_password_length,CANADA_PBMM,1,2,CANADA_PBMM/IA-2(8);CANADA_PBMM/SC-23(1),Ensure RAM password policy enforces a minimum password length to support session authenticity.; Ensure RAM password policy enforces a minimum password length of 14 characters.
alicloud.ram.policy.deny_maintenance_tools,alicloud,ram,policy,deny_maintenance_tools,CANADA_PBMM,1,2,CANADA_PBMM/MA-3(1);CANADA_PBMM/MA-3(2),Check RAM policies for denies on actions related to maintenance tools.; (refined)
alicloud.ram.policy.external_entities,alicloud,ram,policy,external_entities,CANADA_PBMM,1,2,CANADA_PBMM/AC-20(1);CANADA_PBMM/AC-20(2),Check RAM policy statements for external Alibaba Cloud accounts or entities.; Check RAM policies for principals from external Alibaba Cloud accounts.
alicloud.ram.policy.temporary_token_expiry,alicloud,ram,policy,temporary_token_expiry,CIS,1,2,CIS/11.2;CIS/17.1.4,(refined)
aws.cloudtrail.trail.is_multi_region_trails_enabled,aws,cloudtrail,trail,is_multi_region_trails_enabled,CANADA_PBMM,1,2,CANADA_PBMM/IR-4(3);CANADA_PBMM/SI-4(14),Check that multi-region CloudTrail trails are enabled for comprehensive monitoring coverage.; Check that multi-region CloudTrail is enabled for centralized incident handling logs.
