rule_a,rule_b,csp,rule_type,decision,winner,reason
alicloud.actiontrail.audit.trail_config_change,alicloud.actiontrail.audit.trail_deletion,alicloud,ciem,DIFFERENT,A,"Rule A detects configuration changes reducing backups, while B detects deletion/stoppage and policy changes."
alicloud.actiontrail.audit.trail_config_change,alicloud.actiontrail.audit.trail_disable,alicloud,ciem,DIFFERENT,A,"Rule A detects configuration changes reducing log backups, while rule B focuses on disabling or modifying time services, which are unrelated security aspects."
alicloud.actiontrail.audit.trail_config_change,alicloud.actiontrail.audit.trail_modified,alicloud,ciem,SAME,A,"Both rules detect modifications to ActionTrail trail settings; ""trail_config_change"" is a more conventional and descriptive name than ""trail_modified."""
alicloud.actiontrail.audit.trail_config_change,alicloud.actiontrail.audit.trail_stop,alicloud,ciem,DIFFERENT,A,"Rule A detects configuration changes, while rule B specifically detects stopping trails or role modifications to remove logging, which are distinct actions."
alicloud.actiontrail.audit.trail_config_change,alicloud.actiontrail.audit.trail_tamper,alicloud,ciem,DIFFERENT,A,"Rule A detects configuration changes, whereas rule B identifies trail stops/deletions or delivery failures, focusing on different tampering methods."
alicloud.actiontrail.audit.trail_config_change,alicloud.actiontrail.audit.trail_tampering,alicloud,ciem,DIFFERENT,A,"Rule A detects configuration changes, while rule B detects trail stops or log delivery failures, which are separate security events."
alicloud.actiontrail.audit.trail_config_change,alicloud.actiontrail.audit.trail_update,alicloud,ciem,SAME,A,"Both rules detect ActionTrail configuration changes that reduce log retention; ""trail_config_change"" is a more standard and comprehensive name."
alicloud.actiontrail.audit.trail_config_change,alicloud.actiontrail.audit.update_trail,alicloud,ciem,DIFFERENT,A,"Rule A detects ActionTrail configuration changes, while rule B focuses on changes to ECS instance attributes, addressing different resource types and security aspects."
alicloud.actiontrail.audit.trail_delete,alicloud.actiontrail.audit.trail_deletion,alicloud,ciem,SAME,A,"Both rules detect deletion or stoppage of ActionTrail trails; ""trail_delete"" is a more direct and conventional name than ""trail_deletion."""
alicloud.actiontrail.audit.trail_delete,alicloud.actiontrail.audit.trail_disable,alicloud,ciem,DIFFERENT,A,"Rule A detects deletion of logs, while rule B detects disabling/modifying time services, which are unrelated actions."
alicloud.actiontrail.audit.trail_delete,alicloud.actiontrail.audit.trail_modified,alicloud,ciem,DIFFERENT,A,"Rule A detects deletion of logs, while rule B detects modifications to trail settings like file size/rotation, which are distinct from deletion."
alicloud.actiontrail.audit.trail_delete,alicloud.actiontrail.audit.trail_stop,alicloud,ciem,DIFFERENT,A,"Rule A detects deletion of logs, while rule B detects stopping of trails, which are separate actions affecting log collection."
alicloud.actiontrail.audit.trail_delete,alicloud.actiontrail.audit.trail_stop_delete,alicloud,ciem,SAME,B,"Both detect deletion of ActionTrail logs, but rule B explicitly includes stopping as well, making it more comprehensive."
alicloud.actiontrail.audit.trail_delete,alicloud.actiontrail.audit.trail_tamper,alicloud,ciem,DIFFERENT,A,"Rule A detects deletion, while rule B focuses on stops/deletions or delivery failures correlated with tampering, which includes broader context."
alicloud.actiontrail.audit.trail_delete,alicloud.actiontrail.audit.trail_tampering,alicloud,ciem,DIFFERENT,A,"Rule A detects deletion, while rule B detects stops or log delivery failures affecting timestamps, which are different operational issues."
alicloud.actiontrail.audit.trail_delete,alicloud.actiontrail.audit.trail_update,alicloud,ciem,DIFFERENT,A,"Rule A detects deletion, while rule B detects configuration changes that reduce log retention, which is a modification rather than deletion."
alicloud.actiontrail.audit.trail_delete,alicloud.actiontrail.audit.update_trail,alicloud,ciem,DIFFERENT,A,"Rule A detects deletion of logs, while rule B detects changes to ECS instance attributes or trail updates, covering unrelated configuration aspects."
alicloud.actiontrail.audit.trail_deletion,alicloud.actiontrail.audit.trail_disable,alicloud,ciem,DIFFERENT,A,"Rule A detects ActionTrail deletion/stoppage, while rule B detects disabling/modifying time services on ECS, which are unrelated security events."
alicloud.actiontrail.audit.trail_deletion,alicloud.actiontrail.audit.trail_modified,alicloud,ciem,DIFFERENT,A,"Rule A detects deletion/stoppage of trails, while rule B detects modifications to trail settings like file size/rotation; they check different actions on the same service."
alicloud.actiontrail.audit.trail_deletion,alicloud.actiontrail.audit.trail_stop,alicloud,ciem,DIFFERENT,A,"Rule A detects deletion/stoppage, while rule B specifically detects stopping of trails; A is broader, covering both deletion and stoppage."
alicloud.actiontrail.audit.trail_deletion,alicloud.actiontrail.audit.trail_stop_delete,alicloud,ciem,SAME,B,"Both detect ActionTrail trail stopping or deletion, but rule B's name and description are more precise and directly match the action."
alicloud.actiontrail.audit.trail_deletion,alicloud.actiontrail.audit.trail_tamper,alicloud,ciem,DIFFERENT,A,"Rule A detects deletion/stoppage, while rule B identifies stops/deletions or delivery failures; B includes additional correlation with delivery failures."
alicloud.actiontrail.audit.trail_deletion,alicloud.actiontrail.audit.trail_tampering,alicloud,ciem,DIFFERENT,A,"Rule A detects deletion/stoppage, while rule B detects stops or log delivery failures affecting timestamps; B focuses on tampering via delivery issues."
alicloud.actiontrail.audit.trail_deletion,alicloud.actiontrail.audit.trail_update,alicloud,ciem,DIFFERENT,A,"Rule A detects deletion/stoppage, while rule B detects configuration changes reducing log retention; they check different modification types."
alicloud.actiontrail.audit.trail_deletion,alicloud.actiontrail.audit.update_trail,alicloud,ciem,DIFFERENT,A,"Rule A detects ActionTrail deletion/stoppage, while rule B detects changes to ECS instance attributes or ActionTrail trails; B mixes unrelated resource checks."
alicloud.actiontrail.audit.trail_deletion,alicloud.actiontrail.chain.trail_deletion,alicloud,ciem,DIFFERENT,A,"Rule A focuses on ActionTrail trail deletion/RAM policy changes, while rule B mentions disabling Security Center features, indicating different security aspects."
alicloud.actiontrail.audit.trail_disable,alicloud.actiontrail.audit.trail_modified,alicloud,ciem,DIFFERENT,A,"Rule A detects disabling/modifying time services and disabling trails, whereas rule B detects modifications to trail settings like file size/rotation, covering different configuration changes."
alicloud.actiontrail.audit.trail_disable,alicloud.actiontrail.audit.trail_stop,alicloud,ciem,DIFFERENT,A,"Rule A includes disabling trails and modifying time services, while rule B focuses on stopping trails or RAM role modifications, addressing distinct actions."
alicloud.actiontrail.audit.trail_disable,alicloud.actiontrail.audit.trail_stop_delete,alicloud,ciem,DIFFERENT,A,"Rule A combines trail disabling with time service modifications, while rule B specifically targets trail stopping or deletion, making them functionally different."
alicloud.actiontrail.audit.trail_disable,alicloud.actiontrail.audit.trail_tamper,alicloud,ciem,DIFFERENT,A,"Rule A involves trail disabling and time service changes, whereas rule B identifies trail stops/deletions or delivery failures, checking different threat indicators."
alicloud.actiontrail.audit.trail_disable,alicloud.actiontrail.audit.trail_tampering,alicloud,ciem,DIFFERENT,A,"Rule A covers trail disabling and time service modifications, while rule B detects trail stops or log delivery failures affecting timestamps, representing separate security concerns."
alicloud.actiontrail.audit.trail_disable,alicloud.actiontrail.audit.trail_update,alicloud,ciem,DIFFERENT,A,"Rule A includes trail disabling and time service changes, while rule B focuses on trail configuration changes reducing log retention, addressing different configuration risks."
alicloud.actiontrail.audit.trail_disable,alicloud.actiontrail.audit.update_trail,alicloud,ciem,DIFFERENT,A,"Rule A involves trail disabling and time service modifications, while rule B detects changes to ECS instance attributes or trail updates, covering distinct configuration aspects."
alicloud.actiontrail.audit.trail_modified,alicloud.actiontrail.audit.trail_stop,alicloud,ciem,DIFFERENT,A,"Rule A detects configuration modifications, while rule B detects stopping or role modifications."
alicloud.actiontrail.audit.trail_modified,alicloud.actiontrail.audit.trail_stop_delete,alicloud,ciem,DIFFERENT,A,"Rule A detects configuration modifications, while rule B detects stopping or deletion events."
alicloud.actiontrail.audit.trail_modified,alicloud.actiontrail.audit.trail_tamper,alicloud,ciem,DIFFERENT,A,"Rule A detects configuration modifications, while rule B detects stops/deletions or delivery failures."
alicloud.actiontrail.audit.trail_modified,alicloud.actiontrail.audit.trail_tampering,alicloud,ciem,DIFFERENT,A,"Rule A detects configuration modifications, while rule B detects stops or log delivery failures."
alicloud.actiontrail.audit.trail_modified,alicloud.actiontrail.audit.trail_update,alicloud,ciem,SAME,B,Both detect configuration changes; rule B's description is more specific about retention and trails.
alicloud.actiontrail.audit.trail_modified,alicloud.actiontrail.audit.update_trail,alicloud,ciem,DIFFERENT,A,"Rule A detects trail setting modifications, while rule B detects changes to ECS attributes or trails."
alicloud.actiontrail.audit.trail_stop,alicloud.actiontrail.audit.trail_stop_delete,alicloud,ciem,SAME,B,Both detect stopping events; rule B's description is clearer and includes deletion.
alicloud.actiontrail.audit.trail_stop,alicloud.actiontrail.audit.trail_tamper,alicloud,ciem,SAME,B,"Both detect stopping events; rule B's description is more comprehensive, including deletions and failures."
alicloud.actiontrail.audit.trail_stop,alicloud.actiontrail.audit.trail_tampering,alicloud,ciem,SAME,A,"Both detect ActionTrail trail stops, with A's description being more specific about chained RAM role modifications."
alicloud.actiontrail.audit.trail_stop,alicloud.actiontrail.audit.trail_update,alicloud,ciem,DIFFERENT,B,"A detects trail stops, while B detects configuration changes that reduce log retention."
alicloud.actiontrail.audit.trail_stop,alicloud.actiontrail.audit.update_trail,alicloud,ciem,DIFFERENT,B,"A detects trail stops, while B detects changes to ECS instance attributes or ActionTrail trails."
alicloud.actiontrail.audit.trail_stop,alicloud.actiontrail.chain.trail_stop,alicloud,ciem,SAME,A,"Both detect ActionTrail trail stops, with A's description being more specific about chained RAM role modifications."
alicloud.actiontrail.audit.trail_stop_delete,alicloud.actiontrail.audit.trail_tamper,alicloud,ciem,SAME,A,"Both detect ActionTrail trail stopping or deletion events, with A's description being more direct."
alicloud.actiontrail.audit.trail_stop_delete,alicloud.actiontrail.audit.trail_tampering,alicloud,ciem,SAME,A,"Both detect ActionTrail trail stops, with A's description being more direct about deletion events."
alicloud.actiontrail.audit.trail_stop_delete,alicloud.actiontrail.audit.trail_update,alicloud,ciem,DIFFERENT,B,"A detects trail stopping/deletion, while B detects configuration changes that reduce log retention."
alicloud.actiontrail.audit.trail_stop_delete,alicloud.actiontrail.audit.update_trail,alicloud,ciem,DIFFERENT,B,"A detects trail stopping/deletion, while B detects changes to ECS instance attributes or ActionTrail trails."
alicloud.actiontrail.audit.trail_stop_delete,alicloud.actiontrail.chain.trail_stop,alicloud,ciem,DIFFERENT,A,"Rule A detects trail stop/deletion events, while rule B focuses on configuration changes reducing log retention."
alicloud.actiontrail.audit.trail_tamper,alicloud.actiontrail.audit.trail_tampering,alicloud,ciem,SAME,B,"Both detect trail stops or log delivery failures affecting timestamps, but rule B's name is more specific."
alicloud.actiontrail.audit.trail_tamper,alicloud.actiontrail.audit.trail_update,alicloud,ciem,DIFFERENT,A,"Rule A detects trail stops/deletions or delivery failures, while rule B focuses on configuration changes reducing log retention."
alicloud.actiontrail.audit.trail_tamper,alicloud.actiontrail.audit.update_trail,alicloud,ciem,DIFFERENT,A,"Rule A detects trail stops/deletions or delivery failures, while rule B detects changes to ECS instance attributes."
alicloud.actiontrail.audit.trail_tampering,alicloud.actiontrail.audit.trail_update,alicloud,ciem,DIFFERENT,A,"Rule A detects trail stops or log delivery failures, while rule B focuses on configuration changes reducing log retention."
alicloud.actiontrail.audit.trail_tampering,alicloud.actiontrail.audit.update_trail,alicloud,ciem,DIFFERENT,A,"Rule A detects trail stops or log delivery failures, while rule B detects changes to ECS instance attributes."
alicloud.actiontrail.audit.trail_tampering,alicloud.actiontrail.chain.trail_tampering_evasion,alicloud,ciem,DIFFERENT,A,"Rule A detects trail stops or log delivery failures, while rule B detects modifications to trail settings like file size/rotation."
alicloud.actiontrail.audit.trail_update,alicloud.actiontrail.audit.update_trail,alicloud,ciem,DIFFERENT,A,"Rule A detects trail configuration changes reducing log retention, while rule B detects changes to ECS instance attributes."
alicloud.actiontrail.chain.privilege_abuse,alicloud.actiontrail.chain.ram_privilege_escalation,alicloud,ciem,DIFFERENT,A,"Rule A focuses on privilege abuse via policy attachments and chained high-risk actions, while rule B specifically targets direct policy attachments to users and RAM privilege escalation chains, indica"
alicloud.actiontrail.chain.trail_deletion,alicloud.actiontrail.chain.trail_stop,alicloud,ciem,DIFFERENT,A,"Rule A detects disabling of Security Center anti-malware audit or deletion of ActionTrail, while rule B focuses on configuration changes reducing log retention and trail stopping, covering different a"
alicloud.actiontrail.chain.trail_deletion,alicloud.actiontrail.chain.trail_tampering_evasion,alicloud,ciem,DIFFERENT,A,"Rule A targets disabling anti-malware audit or deletion of ActionTrail, whereas rule B detects modifications to trail settings like file size/rotation, addressing different evasion techniques."
alicloud.actiontrail.chain.trail_stop,alicloud.actiontrail.chain.trail_tampering_evasion,alicloud,ciem,DIFFERENT,A,"Rule A checks for configuration changes reducing log retention and trail stopping, while rule B detects modifications to trail settings like file size/rotation, focusing on distinct tampering methods."
alicloud.actiontrail.chain.trail_stop,alicloud.actiontrail.chain.uninstall_and_stop,alicloud,ciem,DIFFERENT,A,"Rule A detects ActionTrail configuration changes reducing log retention, while rule B focuses on uninstalling CloudMonitor agent and chaining with instance stop, addressing different security controls"
alicloud.actiontrail.trail.kubernetes,alicloud.actiontrail.trail.status,alicloud,config,DIFFERENT,B,"Rule A is refined but likely Kubernetes-specific, while rule B checks general ActionTrail trail status and logging, covering broader operational security."
alicloud.actiontrail.trail.kubernetes,alicloud.actiontrail.trail.trail_exists,alicloud,config,DIFFERENT,A,"Rule A is refined for Kubernetes, while rule B checks for the existence of an ActionTrail trail, targeting different configuration aspects."
alicloud.actiontrail.trail.status,alicloud.actiontrail.trail.trail_exists,alicloud,config,DIFFERENT,A,"Rule A checks ActionTrail trail status and logging, while rule B verifies trail existence, addressing distinct but related operational requirements."
alicloud.cs.cluster.namespace_default,alicloud.cs.namespace.default_not_used,alicloud,config,SAME,A,Both check that the default namespace is not used in Container Service clusters; A's refined name is more conventional.
alicloud.cs.kubernetes.cluster.pod_security_policy,alicloud.cs.kubernetes.pod_security_policy.allow_privilege_escalation,alicloud,config,DIFFERENT,B,"A checks for host PID namespace sharing restriction, while B checks for allowPrivilegeEscalation enforcement; distinct pod security policy controls."
alicloud.cs.node_pool.kubelet_config_ownership,alicloud.cs.node_pool.kubelet_config_permissions,alicloud,config,DIFFERENT,B,"A checks ownership of the kubelet config, while B checks its permissions; distinct file security attributes."
alicloud.ecs.activity_log.auditd_kill,alicloud.ecs.activity_log.sendcommand,alicloud,ciem,DIFFERENT,B,"A detects auditd process kill events and OOS executions, while B detects remote command execution via SendCommand; distinct activity types."
alicloud.ecs.activity_log.modify_instance,alicloud.ecs.activity_log.modify_instance_attributes,alicloud,ciem,SAME,B,Both detect modifications to ECS instance attributes; B's name is more specific and matches the description better.
alicloud.ecs.activity_log.modify_instance,alicloud.ecs.activity_log.modify_instance_type,alicloud,ciem,DIFFERENT,B,"A detects general instance attribute changes, while B specifically tracks instance type modifications; different scopes."
alicloud.ecs.activity_log.modify_instance,alicloud.ecs.activity_log.modify_security_group,alicloud,ciem,DIFFERENT,B,"A detects general instance attribute changes, while B specifically detects security group rule modifications; different targets."
alicloud.ecs.activity_log.modify_instance,alicloud.ecs.activity_log.modify_sg,alicloud,ciem,DIFFERENT,B,"A detects general instance attribute changes, while B specifically identifies actions related to Security Center and SG modifications; different focuses."
alicloud.ecs.activity_log.modify_instance,alicloud.ecs.activity_log.modify_time_service,alicloud,ciem,DIFFERENT,A,"Rule A detects general instance attribute changes including time sync, while B specifically targets time service modifications."
alicloud.ecs.activity_log.modify_instance,alicloud.ecs.activity_log.sendcommand,alicloud,ciem,DIFFERENT,A,"Rule A monitors instance attribute changes, whereas B detects remote command execution and RAM modifications."
alicloud.ecs.activity_log.modify_instance_attributes,alicloud.ecs.activity_log.modify_instance_type,alicloud,ciem,DIFFERENT,A,"Rule A focuses on disabling trusted execution attributes, while B tracks instance type changes for virtualization."
alicloud.ecs.activity_log.modify_instance_attributes,alicloud.ecs.activity_log.modify_security_group,alicloud,ciem,DIFFERENT,A,"Rule A detects instance attribute modifications, while B targets ActionTrail logging and security group rule changes."
alicloud.ecs.activity_log.modify_instance_attributes,alicloud.ecs.activity_log.modify_sg,alicloud,ciem,DIFFERENT,A,"Rule A detects instance attribute modifications, while B focuses on disabling Security Center vulnerability scanning."
alicloud.ecs.activity_log.modify_instance_attributes,alicloud.ecs.activity_log.modify_time_service,alicloud,ciem,DIFFERENT,A,"Rule A detects instance attribute modifications, while B specifically targets time service changes."
alicloud.ecs.activity_log.modify_instance_type,alicloud.ecs.activity_log.modify_security_group,alicloud,ciem,DIFFERENT,A,"Rule A tracks instance type modifications, while B targets ActionTrail logging and security group rule changes."
alicloud.ecs.activity_log.modify_instance_type,alicloud.ecs.activity_log.modify_sg,alicloud,ciem,DIFFERENT,A,"Rule A tracks instance type modifications, while B focuses on disabling Security Center vulnerability scanning."
alicloud.ecs.activity_log.modify_instance_type,alicloud.ecs.activity_log.modify_time_service,alicloud,ciem,DIFFERENT,A,"Rule A tracks instance type modifications, while rule B tracks modifications to time services."
alicloud.ecs.activity_log.modify_security_group,alicloud.ecs.activity_log.modify_sg,alicloud,ciem,DIFFERENT,A,"Rule A detects security group rule modifications, while rule B focuses on disabling vulnerability scanning."
alicloud.ecs.activity_log.modify_security_group,alicloud.ecs.activity_log.modify_time_service,alicloud,ciem,DIFFERENT,A,"Rule A detects security group modifications, while rule B detects time service modifications."
alicloud.ecs.activity_log.modify_sg,alicloud.ecs.activity_log.modify_time_service,alicloud,ciem,DIFFERENT,A,"Rule A focuses on disabling vulnerability scanning, while rule B detects time service modifications."
alicloud.ecs.activity_log.modify_sg,alicloud.ecs.activity_log.sendcommand,alicloud,ciem,DIFFERENT,A,"Rule A focuses on disabling vulnerability scanning, while rule B detects remote command execution."
alicloud.ecs.activity_log.run_instances,alicloud.ecs.activity_log.sendcommand,alicloud,ciem,DIFFERENT,A,"Rule A detects instance launches, while rule B detects remote command execution."
alicloud.ecs.audit.delete_disk,alicloud.ecs.disk.delete_with_instance,alicloud,ciem,DIFFERENT,A,"Rule A detects deletion events, while rule B verifies a specific disk configuration setting."
alicloud.ecs.audit.stop_security_agent,alicloud.ecs.instance.security_agent,alicloud,ciem,DIFFERENT,A,"Rule A detects stopping of security agents, while rule B verifies the installation status of an agent."
alicloud.ecs.disk.delete_with_instance,alicloud.ecs.instance.delete_protection,alicloud,config,DIFFERENT,A,"Rule A checks disk deletion protection, while rule B checks instance deletion protection."
alicloud.ecs.disk.encryption_state,alicloud.ecs.instance.system_disk_encryption,alicloud,config,SAME,B,"Both check encryption of ECS system disks, but rule B's description is clearer and more direct."
alicloud.ecs.disk.encryption_state,alicloud.ecs.snapshot.encryption.state,alicloud,config,DIFFERENT,A,"Rule A checks encryption of new system disks, while rule B checks encryption of ECS snapshots."
alicloud.ecs.disk.snapshot_policy_configured,alicloud.ecs.snapshot.snapshot_policy,alicloud,config,SAME,B,"Both check for configured snapshot policies, but rule B's description is more specific about automatic backup."
alicloud.ecs.disk.snapshot_policy_configured,alicloud.ecs.snapshot_policy.auto_snapshot_policy,alicloud,config,SAME,B,"Both check for auto snapshot policy configuration, but rule B's description is more complete and explicit."
alicloud.ecs.image.baseline_approved,alicloud.ecs.instance.baseline_image,alicloud,config,SAME,B,"Both check for approved baseline images on ECS instances, but rule B's description is more precise about instance creation."
alicloud.ecs.image.baseline_approved,alicloud.ecs.instance.image_baseline,alicloud,config,SAME,B,"Both check for approved baseline images on ECS instances, but rule B's description is clearer and more standard."
alicloud.ecs.instance.auto_snapshot,alicloud.ecs.snapshot_policy.auto_snapshot_policy,alicloud,config,DIFFERENT,B,"Rule A checks automatic snapshot configuration on instances, while rule B checks auto snapshot policy configuration system-wide."
alicloud.ecs.instance.baseline_image,alicloud.ecs.instance.image_baseline,alicloud,config,SAME,A,Both check ECS instances launched from an approved baseline image; A's name is more conventional.
alicloud.ecs.instance.baseline_image,alicloud.ecs.instance.image_id,alicloud,config,SAME,A,Both check ECS instances launched from an approved baseline image; A's name is more conventional.
alicloud.ecs.instance.baseline_image,alicloud.ecs.instance.image_scan,alicloud,config,DIFFERENT,A,"A checks approved baseline image, B checks image scanning configuration; distinct security aspects."
alicloud.ecs.instance.baseline_image,alicloud.ecs.instance.required_image,alicloud,config,SAME,A,Both check ECS instances are created from approved images; A's name is more conventional.
