CISA_Cyber_Essentials_Checklist
Section,Role,Action Item
your network. Maintain inventories,General,the event of a cyber incident. Identify and prioritize your organization’s critical assets and the associated impacts
your network. Maintain inventories,General,to operations if an incident were to occur. Ask the questions that are necessary to understanding your security
your network. Maintain inventories,General,"planning, operations, and security-related goals. Develop an understanding of how long it would take to restore normal"
your network. Maintain inventories,General,"operations. Resist the “it can’t happen here” pattern of thinking. Instead, focus cyber risk discussions on “what-if”"
your network. Maintain inventories,General,scenarios and develop an incident response plan to prepare for various cyber events and scenarios.Resources for Taking Action
your network. Maintain inventories,General,Resources for Taking ActionNational Association of Corporate Directors:  The NACD Director’s Handbook
your network. Maintain inventories,General,on Cyber-Risk Oversight is built around five core principles that are applicable
your network. Maintain inventories,General,"to board members of public companies, private companies, and nonprofit"
your network. Maintain inventories,General,organizations of all sizes and in every industry sector.
your network. Maintain inventories,General,National Institute of Standards and Technology (NIST) Cybersecurity Framework:
your network. Maintain inventories,General,"Created through collaboration between industry and government, the voluntary"
your network. Maintain inventories,General,"Framework consists of standards, guidelines, and practices to promote the"
your network. Maintain inventories,General,"protection of critical infrastructure, and helps owners and operators of critical"
your network. Maintain inventories,General,infrastructure manage cybersecurity-related risks. CISA Security Tip – Questions Every CEO Should Ask About Cyber Risks:  Provides
your network. Maintain inventories,General,a primer on basic questions that CEOs of all businesses should ask themselves
your network. Maintain inventories,General,and their employees to ensure better cybersecurity preparedness and resilience.
your network. Maintain inventories,General,U.S. Small Business Administration: Small Business Cybersecurity:  A guide to
your network. Maintain inventories,General,"help leaders of  small businesses learn about common cyber threats, gain an"
your network. Maintain inventories,General,"understanding about where their business might be vulnerable, and steps they"
your network. Maintain inventories,General,can take to improve their level of cybersecurity.
your network. Maintain inventories,General,"Cyber Readiness Institute: The Cyber Readiness Program  is a practical, step-"
your network. Maintain inventories,General,by-step guide to help small and medium-sized enterprises become cyber ready.
your network. Maintain inventories,General,"Completing the Program will make your organization safer, more secure, and"
your network. Maintain inventories,General,stronger in the face of cyber threats. The Cyber Readiness Program also provides
your network. Maintain inventories,General,a template for an incident response plan that your organization can customize.
your network. Maintain inventories,General,NIST Small Business Cybersecurity Corner:  This platform provides a range of
your network. Maintain inventories,General,resources chosen based on the needs of the small business community. These
your network. Maintain inventories,General,"resources include planning guides, guides for responding to cyber incidents, and"
your network. Maintain inventories,General,cybersecurity awareness trainings. CISA CRR Supplemental Resource Guide Risk Management:  The principal
your network. Maintain inventories,General,audience for this guide includes individuals responsible for managing risk
your network. Maintain inventories,General,"management programs for IT operations, including executives who establish"
your network. Maintain inventories,General,"policies and priorities for risk management, managers and planners who are"
your network. Maintain inventories,General,"responsible for converting executive decisions into action plans, and operations"
your network. Maintain inventories,General,staff who implement those operational risk management plans.
your network. Maintain inventories,General,"Essential ActionsESSENTIAL ELEMENT: YOURSELF, THE LEADER"
your network. Maintain inventories,Leader,"For additional resources, visit CISA.gov/Cyber-Essentials  or email CISAEssentials@cisa.dhs.gov 3"
Your success depends on Cyber Readiness . Both depend on YOU.,Leader,"Being a cyber leader does not require technical expertise, but rather an ability to change the culture of your organization."
Your success depends on Cyber Readiness . Both depend on YOU.,Leader,"Reducing your organization’s cyber risks requires awareness of cybersecurity basics. As a leader, you need to drive your"
Your success depends on Cyber Readiness . Both depend on YOU.,Leader,"organization’s approach to cybersecurity as you would any other hazard (e.g. how you identify risk, reduce vulnerabilities,"
Your success depends on Cyber Readiness . Both depend on YOU.,Leader,"and plan for contingencies). This requires an investment of time and money, as well as the collective buy-in of your"
Your success depends on Cyber Readiness . Both depend on YOU.,Leader,"management team. Your investment drives actions and activities, and these build and sustain a culture of cybersecurity."
Your success depends on Cyber Readiness . Both depend on YOU.,Leader,"ESSENTIAL ELEMENT: YOURSELF, THE LEADER"
Your success depends on Cyber Readiness . Both depend on YOU.,Leader,"Consistent with the NIST Cybersecurity Framework and other standards, these actions are the starting point to Cyber Readiness.Consistent with the NIST Cybersecurity Framework and other standards, these actions are the starting point to Cyber Readiness.The tools and resources in this Guide are for informational and educational purposes. DHS/CISA does not guarantee their content nor endorse any specific person, entity, product, service, or enterprise.Lead investment in basic cybersecurity.  Invest in cybersecurity capabilities for your organization and staff. This"
Your success depends on Cyber Readiness . Both depend on YOU.,Leader,"includes not only investments in technological capabilities, but also a continuous investment in cybersecurity training"
Your success depends on Cyber Readiness . Both depend on YOU.,Leader,and awareness capabilities for your organization’s personnel. Use the Cyber Essentials to have conversations with
"your staff, business partners, vendors, managed service providers, and others within your supply chain. Use risk",Leader,assessments to identify and prioritize allocation of resources and cyber investment.
"your staff, business partners, vendors, managed service providers, and others within your supply chain. Use risk",Leader,Build a network of trusted relationships for access to timely cyber threat information.  Maintain situational
"your staff, business partners, vendors, managed service providers, and others within your supply chain. Use risk",Leader,awareness of cybersecurity threats and explore available communities of interest. These may include sector-specific
"your staff, business partners, vendors, managed service providers, and others within your supply chain. Use risk",Leader,"Information Sharing and Analysis Centers, government agencies, law enforcement, associations, vendors, etc."
"your staff, business partners, vendors, managed service providers, and others within your supply chain. Use risk",Leader,Lead development of cybersecurity policies.  Business leaders and technical staff should collaborate on policy
"your staff, business partners, vendors, managed service providers, and others within your supply chain. Use risk",Leader,development and ensure policies are well understood by the organization. Perform a review of all current cybersecurity
"your staff, business partners, vendors, managed service providers, and others within your supply chain. Use risk",Leader,and risk policies to identify gaps or weaknesses by comparing them against recognized cyber risk management
"your staff, business partners, vendors, managed service providers, and others within your supply chain. Use risk",Leader,"frameworks. Develop a policy roadmap, prioritizing policy creation and updates based on the risk to the organization as"
"your staff, business partners, vendors, managed service providers, and others within your supply chain. Use risk",Leader,determined by business leaders and technical staff. Resources for Taking Action
"your staff, business partners, vendors, managed service providers, and others within your supply chain. Use risk",Leader,Resources for Taking ActionNIST Cybersecurity Framework:  Created through collaboration between industry
"your staff, business partners, vendors, managed service providers, and others within your supply chain. Use risk",Leader,"and government, the voluntary Framework consists of standards, guidelines, and"
"your staff, business partners, vendors, managed service providers, and others within your supply chain. Use risk",Leader,"practices to promote the protection of critical infrastructure, and helps owners"
"your staff, business partners, vendors, managed service providers, and others within your supply chain. Use risk",Leader,and operators of critical infrastructure manage cybersecurity-related risk.
"your staff, business partners, vendors, managed service providers, and others within your supply chain. Use risk",Leader,"Cyber Readiness Institute: The Cyber Readiness Program  is a practical, step-"
"your staff, business partners, vendors, managed service providers, and others within your supply chain. Use risk",Leader,by-step guide to help small and medium-sized enterprises become cyber ready.
"your staff, business partners, vendors, managed service providers, and others within your supply chain. Use risk",Leader,"Completing the Program will make your organization safer, more secure, and"
"your staff, business partners, vendors, managed service providers, and others within your supply chain. Use risk",Leader,stronger in the face of cyber threats. The Program also provides guidance on how
"your staff, business partners, vendors, managed service providers, and others within your supply chain. Use risk",Leader,to select a cyber leader to create a culture of cyber readiness.
"your staff, business partners, vendors, managed service providers, and others within your supply chain. Use risk",Leader,Federal Trade Commission: Cybersecurity for Small Business  provides
"your staff, business partners, vendors, managed service providers, and others within your supply chain. Use risk",Leader,"resources developed in partnership with CISA, NIST and the U.S. Small Business Administration to help small business owners understand and implement"
"your staff, business partners, vendors, managed service providers, and others within your supply chain. Use risk",Leader,cybersecurity basics.
"your staff, business partners, vendors, managed service providers, and others within your supply chain. Use risk",Leader,Global Cyber Alliance: Cybersecurity Toolkit for Small Business: Built for small to
"your staff, business partners, vendors, managed service providers, and others within your supply chain. Use risk",Leader,medium-sized businesses to address the Center for Internet Security Controls
"your staff, business partners, vendors, managed service providers, and others within your supply chain. Use risk",Leader,for preventing and/or reducing the most common attacks in today’s cyber threat
"your staff, business partners, vendors, managed service providers, and others within your supply chain. Use risk",Leader,landscape.
"your staff, business partners, vendors, managed service providers, and others within your supply chain. Use risk",Leader,National Cyber Security Alliance: CyberSecure My Business™  is a national
"your staff, business partners, vendors, managed service providers, and others within your supply chain. Use risk",Leader,program helping small and medium-sized businesses (SMBs) learn to be safer
"your staff, business partners, vendors, managed service providers, and others within your supply chain. Use risk",Leader,"and more secure online, with a variety of resources and tools aimed at this"
"your staff, business partners, vendors, managed service providers, and others within your supply chain. Use risk",Leader,stakeholder group.
"your staff, business partners, vendors, managed service providers, and others within your supply chain. Use risk",Leader,Resources for Taking Action
"your staff, business partners, vendors, managed service providers, and others within your supply chain. Use risk",Leader,CISA: CISA is responsible for protecting the nation’s critical infrastructure from
"your staff, business partners, vendors, managed service providers, and others within your supply chain. Use risk",Leader,"physical and cyber threats. CISA.gov  has a variety of cyber resources, training"
"your staff, business partners, vendors, managed service providers, and others within your supply chain. Use risk",Leader,opportunities and information available at no cost to stakeholders.
"your staff, business partners, vendors, managed service providers, and others within your supply chain. Use risk",Leader,National Council of Information Sharing and Analysis Centers (ISACs):  Information
"your staff, business partners, vendors, managed service providers, and others within your supply chain. Use risk",Leader,Sharing and Analysis Centers help critical infrastructure owners and operators
"your staff, business partners, vendors, managed service providers, and others within your supply chain. Use risk",Leader,"protect their facilities, personnel and customers from cyber and physical security"
"your staff, business partners, vendors, managed service providers, and others within your supply chain. Use risk",Leader,threats and other hazards.
"your staff, business partners, vendors, managed service providers, and others within your supply chain. Use risk",Leader,Multi-State Information Sharing and Analysis Center (MS-ISAC):  The mission of
"your staff, business partners, vendors, managed service providers, and others within your supply chain. Use risk",Leader,"the MS-ISAC is to improve the overall cybersecurity posture of the nation’s state,"
"your staff, business partners, vendors, managed service providers, and others within your supply chain. Use risk",Leader,"local, tribal and territorial governments through focused cyber threat prevention,"
"your staff, business partners, vendors, managed service providers, and others within your supply chain. Use risk",Leader,"protection, response, and recovery."
"your staff, business partners, vendors, managed service providers, and others within your supply chain. Use risk",Leader,Information Sharing and Analysis Organizations (ISAOs):  The ISAOs mission
"your staff, business partners, vendors, managed service providers, and others within your supply chain. Use risk",Leader,is to improve the nation’s cybersecurity posture by identifying standards and
"your staff, business partners, vendors, managed service providers, and others within your supply chain. Use risk",Leader,"guidelines for robust and effective information sharing and analysis related to cybersecurity risks, incidents, and best practices. Similar to ISACs, but cross-"
"your staff, business partners, vendors, managed service providers, and others within your supply chain. Use risk",Leader,sector in design.
"your staff, business partners, vendors, managed service providers, and others within your supply chain. Use risk",Leader,"Global Cyber Alliance:  The Global Cyber Alliance is an international, cross-sector"
"your staff, business partners, vendors, managed service providers, and others within your supply chain. Use risk",Leader,effort dedicated to eradicating cyber risk and improving our connected world. It
"your staff, business partners, vendors, managed service providers, and others within your supply chain. Use risk",Leader,"aims to achieve this mission by uniting global communities, developing concrete"
"your staff, business partners, vendors, managed service providers, and others within your supply chain. Use risk",Leader,"solutions, and measuring the effect."
"your staff, business partners, vendors, managed service providers, and others within your supply chain. Use risk",Leader,National Cyber Security Alliance: CyberSecure My Business™  is a national
"your staff, business partners, vendors, managed service providers, and others within your supply chain. Use risk",Leader,program helping small and medium-sized businesses (SMBs) learn to be safer
"your staff, business partners, vendors, managed service providers, and others within your supply chain. Use risk",Leader,"and more secure online, with a variety of resources and tools aimed at this"
"your staff, business partners, vendors, managed service providers, and others within your supply chain. Use risk",Leader,stakeholder group.
"your staff, business partners, vendors, managed service providers, and others within your supply chain. Use risk",Leader,America’s Small Business Development Centers:  Small business owners and
"your staff, business partners, vendors, managed service providers, and others within your supply chain. Use risk",Leader,aspiring entrepreneurs can go to their local SBDCs for free face-to-face business
"your staff, business partners, vendors, managed service providers, and others within your supply chain. Use risk",Leader,consulting and at-cost training. This website includes a number of cybersecurity
"your staff, business partners, vendors, managed service providers, and others within your supply chain. Use risk",Leader,resources for small businesses.
"your staff, business partners, vendors, managed service providers, and others within your supply chain. Use risk",Leader,NIST Cyber Security Resource Center: The Computer Security Resource Center
"your staff, business partners, vendors, managed service providers, and others within your supply chain. Use risk",Leader,(CSRC)  provides access to NIST’s cybersecurity and information security-
"your staff, business partners, vendors, managed service providers, and others within your supply chain. Use risk",Leader,"related projects, publications, news and events. CSRC supports stakeholders in"
"your staff, business partners, vendors, managed service providers, and others within your supply chain. Use risk",Leader,"government, industry and academia—both in the U.S. and internationally."
"your staff, business partners, vendors, managed service providers, and others within your supply chain. Use risk",Leader,SANS Information Security Policy Templates:  A library of comprehensive
"your staff, business partners, vendors, managed service providers, and others within your supply chain. Use risk",Leader,cybersecurity policy templates that business owners can use to inspire and
"your staff, business partners, vendors, managed service providers, and others within your supply chain. Use risk",Leader,optimize their own cyber policies. These templates cover a wide range of policy
"your staff, business partners, vendors, managed service providers, and others within your supply chain. Use risk",Leader,"areas, including Network Security, Server Security, Application Security and more.Guide for Developing Security Plans for Federal Information Systems:  This guide"
"your staff, business partners, vendors, managed service providers, and others within your supply chain. Use risk",Leader,for developing security plans for Federal information systems has a variety of
"your staff, business partners, vendors, managed service providers, and others within your supply chain. Use risk",Leader,useful technical data and guidance which can be used by a variety of non-Federal
"your staff, business partners, vendors, managed service providers, and others within your supply chain. Use risk",Leader,stakeholders as well.
"your staff, business partners, vendors, managed service providers, and others within your supply chain. Use risk",Leader,"Cyber Readiness Institute: The Cyber Readiness Program  is a practical, step-"
"your staff, business partners, vendors, managed service providers, and others within your supply chain. Use risk",Leader,by-step guide to help small and medium-sized enterprises become cyber ready.
"your staff, business partners, vendors, managed service providers, and others within your supply chain. Use risk",Leader,"Completing the Program will make your organization safer, more secure, and"
"your staff, business partners, vendors, managed service providers, and others within your supply chain. Use risk",Leader,stronger in the face of cyber threats. The Program also provides customizable
"your staff, business partners, vendors, managed service providers, and others within your supply chain. Use risk",Leader,"policy templates focused on human behavior that address phishing, patching,"
"your staff, business partners, vendors, managed service providers, and others within your supply chain. Use risk",Leader,"passwords/authentication, and USB use."
"your staff, business partners, vendors, managed service providers, and others within your supply chain. Use risk",Leader,4
"your staff, business partners, vendors, managed service providers, and others within your supply chain. Use risk",Leader,Global Cyber Alliance:  a free toolkit to help small to medium-sized businesses
"your staff, business partners, vendors, managed service providers, and others within your supply chain. Use risk",Leader,implement basic cyber hygiene which will enable business owners to significantly
"your staff, business partners, vendors, managed service providers, and others within your supply chain. Use risk",Leader,reduce the cyber risks they face every day.
"your staff, business partners, vendors, managed service providers, and others within your supply chain. Use risk",Leader,FTC’s Talking cybersecurity with your employees:  learn the basics for protecting
"your business from cyber-attacks, developed in partnership with the NIST and",Leader,"Technology, the U.S. Small Business Administration, and the Department of"
"your business from cyber-attacks, developed in partnership with the NIST and",Leader,Homeland Security.
"your business from cyber-attacks, developed in partnership with the NIST and",Leader,"Cyber Readiness Institute Cyber Readiness Program:  a comprehensive, self-"
"your business from cyber-attacks, developed in partnership with the NIST and",Leader,"guided tool containing information to reduce cyber risk, training material for"
"your business from cyber-attacks, developed in partnership with the NIST and",Leader,"employees, and more.National Cybersecurity Awareness Month (NCSAM) toolkit:  comprehensive guide"
"your business from cyber-attacks, developed in partnership with the NIST and",Leader,"for individuals and organizations, regardless of size or industry, on engaging in"
"your business from cyber-attacks, developed in partnership with the NIST and",Leader,and promoting cybersecurity awareness and developing effective practices that
"your business from cyber-attacks, developed in partnership with the NIST and",Leader,foster strong cybersecurity.
"your business from cyber-attacks, developed in partnership with the NIST and",Leader,National Institute of Standards and Technology (NIST):  introductory information
"your business from cyber-attacks, developed in partnership with the NIST and",Leader,"for small business owners and leaders about cybersecurity, cybersecurity-related"
"your business from cyber-attacks, developed in partnership with the NIST and",Leader,"risks, and the importance of taking appropriate steps to secure your business"
"your business from cyber-attacks, developed in partnership with the NIST and",Leader,National Cyber Security Alliance (NCSA): CyberSecure My Business™  is a national
"your business from cyber-attacks, developed in partnership with the NIST and",Leader,program helping small and medium-sized businesses (SMBs) learn to be more
"your business from cyber-attacks, developed in partnership with the NIST and",Leader,secure online. Resources for Taking ActionDevelop a culture of awareness to encourage employees to make good choices online. Go beyond knowledge;
"your business from cyber-attacks, developed in partnership with the NIST and",Leader,identify the behavior you want to change and develop a cybersecurity strategy that targets cyber expectations. Define
"your business from cyber-attacks, developed in partnership with the NIST and",Leader,what success looks like through guidelines and policies. Continually reinforce cyber hygiene as you would other
"your business from cyber-attacks, developed in partnership with the NIST and",Leader,"workplace hygiene (e.g. hand washing, professionalism, etc.). Create incentive structures that promote the formation"
"your business from cyber-attacks, developed in partnership with the NIST and",Leader,"of good habits (e.g. recognition for good behavior, loss of privileges for persistent reckless behavior). Encourage"
"your business from cyber-attacks, developed in partnership with the NIST and",Leader,employees to participate in awareness campaigns like Stop.Think.Connect. and National Cybersecurity Awareness
"your business from cyber-attacks, developed in partnership with the NIST and",Leader,Month.Federal Trade Commission resources/Cyber basics: training material on
"your business from cyber-attacks, developed in partnership with the NIST and",Leader,cybersecurity basics and best practices for businesses.
"your business from cyber-attacks, developed in partnership with the NIST and",Leader,"Cyber Readiness Institute Cyber Readiness Program:  a comprehensive, self-"
