rule_id,provider,complexity,severity,rule_type,controls_unlocked,frameworks_unlocked,framework_sample,control_sample
alicloud.ram.password.policy_require_numbers_check,alicloud,L2_API_CONFIG,MEDIUM,config,35,4,CIS_ALICLOUD;FedRAMP_Moderate;NIST_800_171;NIST_800_53,CIS_ALICLOUD/1.10;FedRAMP_Moderate/IA-5;FedRAMP_Moderate/IA-5 (1)
alicloud.ram.password.policy_require_uppercase_configured,alicloud,L2_API_CONFIG,MEDIUM,config,35,4,CIS_ALICLOUD;FedRAMP_Moderate;NIST_800_171;NIST_800_53,CIS_ALICLOUD/1.7;FedRAMP_Moderate/IA-5;FedRAMP_Moderate/IA-5 (1)
alicloud.ram.password.policy_require_symbols_configured,alicloud,L2_API_CONFIG,MEDIUM,config,34,3,CIS_ALICLOUD;FedRAMP_Moderate;NIST_800_53,CIS_ALICLOUD/1.9;FedRAMP_Moderate/IA-5;FedRAMP_Moderate/IA-5 (1)
azure.keyvault.vault.access_policy_configured,azure,L2_API_CONFIG,MEDIUM,config,31,8,CANADA_PBMM;CIS_ALICLOUD;CIS_GCP;CIS_IBM;CIS_K8S,CANADA_PBMM/CCCS SC-12(1);CIS_ALICLOUD/5.4.2;CIS_GCP/2.14
ibm.iam.role.least_privilege_enforced,ibm,L2_API_CONFIG,MEDIUM,config,28,6,CANADA_PBMM;CIS_AWS;CIS_AZURE;CIS_OCI;NIST_800_171,CANADA_PBMM/CCCS AC-17(1);CANADA_PBMM/CCCS AC-17(100);CANADA_PBMM/CCCS AC-17(2)
gcp.logging.sink.destination_and_filter_configured,gcp,L2_API_CONFIG,MEDIUM,config,24,4,CANADA_PBMM;CIS_ALICLOUD;NIST_800_171;NIST_800_53,CANADA_PBMM/CCCS AU-7(1);CIS_ALICLOUD/1.2.20;CIS_ALICLOUD/1.2.23
gcp.iam.account.password_policy_minimum_length_configured,gcp,L2_API_CONFIG,MEDIUM,config,22,3,CANADA_PBMM;CIS_OCI;PCI_DSS,CANADA_PBMM/CCCS AC-2(2);CANADA_PBMM/CCCS AC-2(3);CANADA_PBMM/CCCS IA-2(6)
alicloud.ram.user.unused_credentials_configured,alicloud,L2_API_CONFIG,MEDIUM,config,21,7,CANADA_PBMM;CISA_CE;CIS_OCI;FedRAMP_Moderate;NIST_800_171,CANADA_PBMM/CCCS AC-2;CISA_CE/Your Surroundings-4;CIS_OCI/1.16
ibm.iam.user.unused_credentials_configured,ibm,L2_API_CONFIG,MEDIUM,config,21,7,CANADA_PBMM;CISA_CE;CIS_OCI;FedRAMP_Moderate;HIPAA,CANADA_PBMM/CCCS AC-2;CISA_CE/Your Surroundings-4;CIS_OCI/1.16
azure.backup.recovery_vault.configured,azure,L2_API_CONFIG,MEDIUM,config,19,2,CANADA_PBMM;NIST_800_53,CANADA_PBMM/CCCS CP-8(2);NIST_800_53/CP-2(1);NIST_800_53/CP-2(2)
alicloud.ram.user.console_access_unused_disabled,alicloud,L1_API_BOOLEAN,MEDIUM,config,18,4,CANADA_PBMM;FedRAMP_Moderate;NIST_800_171;NIST_800_53,CANADA_PBMM/CCCS AC-2;FedRAMP_Moderate/AC-2;FedRAMP_Moderate/AC-2 (1)
ibm.activity_tracker.audit.event_routes_update,ibm,L6_CIEM_EVENT,MEDIUM,ciem,17,5,CANADA_PBMM;CIS_OCI;NIST_800_171;PCI_DSS;SOC2,CANADA_PBMM/CCCS AU-6(1);CANADA_PBMM/CCCS AU-6(3);CANADA_PBMM/CCCS AU-7(1)
ibm.activity_tracker.route.is_configured,ibm,L2_API_CONFIG,MEDIUM,config,16,6,CANADA_PBMM;CIS_ALICLOUD;CIS_K8S;CIS_OCI;NIST_800_171,CANADA_PBMM/CCCS AU-3(1);CANADA_PBMM/CCCS AU-6(1);CANADA_PBMM/CCCS AU-6(3)
ibm.security_advisor.enabled,ibm,L2_API_CONFIG,MEDIUM,config,14,7,CANADA_PBMM;FedRAMP_Moderate;HIPAA;NIST_800_171;NIST_800_53,CANADA_PBMM/CCCS CA-2;FedRAMP_Moderate/CA-2;FedRAMP_Moderate/CA-2 (1)
alicloud.ram.policy.external_entities_configured,alicloud,L4_POLICY_PARSE,MEDIUM,config,14,4,CANADA_PBMM;CIS_IBM;FedRAMP_Moderate;NIST_800_53,CANADA_PBMM/CCCS AC-20;CANADA_PBMM/CCCS AC-20(1);CANADA_PBMM/CCCS AC-20(2)
k8s.rbac.rolebinding.external_subjects_configured,k8s,L2_API_CONFIG,MEDIUM,config,13,4,CANADA_PBMM;CIS_GCP;FedRAMP_Moderate;NIST_800_53,CANADA_PBMM/CCCS AC-20;CANADA_PBMM/CCCS AC-20(1);CANADA_PBMM/CCCS AC-20(2)
ibm.iam.authorization_policy.external_principals_configured,ibm,L4_POLICY_PARSE,MEDIUM,config,13,4,CANADA_PBMM;CIS_OCI;FedRAMP_Moderate;NIST_800_53,CANADA_PBMM/CCCS AC-20;CANADA_PBMM/CCCS AC-20(1);CANADA_PBMM/CCCS AC-20(2)
aws.iam.activity_log.assume_role,aws,L6_CIEM_EVENT,MEDIUM,ciem,13,2,CANADA_PBMM;CIS_IBM,CANADA_PBMM/CCCS CA-7(1);CANADA_PBMM/CCCS IR-6(1);CANADA_PBMM/CCCS IR-7(1)
ibm.iam.activity_log.api_key_creation_anomaly,ibm,L6_CIEM_EVENT,MEDIUM,ciem,13,2,CANADA_PBMM;NIST_800_171,CANADA_PBMM/CCCS AC-6(9);CANADA_PBMM/CCCS AU-6(3);CANADA_PBMM/CCCS IR-4(3)
aws.cloudtrail.chain.log_tampering,aws,L7_CIEM_CHAIN,HIGH,ciem,13,5,CANADA_PBMM;CIS_OCI;NIST_800_171;PCI_DSS;SOC2,CANADA_PBMM/CCCS IR-3(2);CANADA_PBMM/CCCS IR-7(2);CANADA_PBMM/CCCS RA-5(2)
alicloud.kms.key.automatic_rotation_enabled,alicloud,L1_API_BOOLEAN,HIGH,config,12,5,CANADA_PBMM;CIS_GCP;CIS_IBM;CIS_K8S;NIST_800_53,CANADA_PBMM/CCCS SC-12(1);CANADA_PBMM/CCCS SC-12(2);CANADA_PBMM/CCCS SC-12(3)
alicloud.ram.policy.overly_permissive_configured,alicloud,L2_API_CONFIG,MEDIUM,config,12,8,CANADA_PBMM;CIS_AZURE;CIS_GCP;CIS_OCI;FedRAMP_Moderate,CANADA_PBMM/CCCS AC-5;CIS_AZURE/5.17;CIS_AZURE/5.3.7
azure.authorization.role_assignment.external_tenants_configured,azure,L2_API_CONFIG,MEDIUM,config,12,3,CANADA_PBMM;FedRAMP_Moderate;NIST_800_53,CANADA_PBMM/CCCS AC-20;CANADA_PBMM/CCCS AC-20(1);CANADA_PBMM/CCCS AC-20(2)
aws.vpc.security_group.ingress_restricted,aws,L3_API_LIST_CROSS,MEDIUM,config,12,3,CANADA_PBMM;CIS_AZURE;CIS_OCI,CANADA_PBMM/CCCS SC-7(12);CANADA_PBMM/CCCS SC-7(13);CANADA_PBMM/CCCS SC-7(18)
oci.core.security_list.deny_all_ingress_restricted,oracle,L3_API_LIST_CROSS,MEDIUM,config,12,4,CANADA_PBMM;CIS_AZURE;NIST_800_171;PCI_DSS,CANADA_PBMM/CCCS AC-4(21);CANADA_PBMM/CCCS SC-7(12);CANADA_PBMM/CCCS SC-7(13)
gcp.iam.policy_binding.external_principals_configured,gcp,L4_POLICY_PARSE,MEDIUM,config,12,3,CANADA_PBMM;FedRAMP_Moderate;NIST_800_53,CANADA_PBMM/CCCS AC-20;CANADA_PBMM/CCCS AC-20(1);CANADA_PBMM/CCCS AC-20(2)
alicloud.actiontrail.chain.audit_circumvent,alicloud,L7_CIEM_CHAIN,HIGH,ciem,12,5,CANADA_PBMM;CIS_OCI;NIST_800_171;PCI_DSS;SOC2,CANADA_PBMM/CCCS AU-8(1);CANADA_PBMM/CCCS IR-3(2);CANADA_PBMM/CCCS IR-4(1)
alicloud.ram.password.policy_compliance_enabled,alicloud,L1_API_BOOLEAN,MEDIUM,config,11,5,CISA_CE;CIS_ALICLOUD;CIS_OCI;NIST_800_171;PCI_DSS,CISA_CE/Your Surroundings-3;CIS_ALICLOUD/1.12;CIS_OCI/1.11
azure.compute.vm.inventory_enabled,azure,L1_API_BOOLEAN,MEDIUM,config,11,3,CANADA_PBMM;CIS_OCI;NIST_800_53,CANADA_PBMM/CCCS CM-8(1);CANADA_PBMM/CCCS CM-8(2);CANADA_PBMM/CCCS CM-8(3)
aws.kms.key.key_manager_configured,aws,L2_API_CONFIG,HIGH,config,11,7,CANADA_PBMM;CIS_ALICLOUD;CIS_GCP;CIS_IBM;CIS_K8S,CANADA_PBMM/CCCS SC-12(1);CANADA_PBMM/CCCS SC-12(2);CANADA_PBMM/CCCS SC-12(3)
ibm.activity_tracker.kms_encryption_enabled,ibm,L1_API_BOOLEAN,HIGH,config,10,2,FedRAMP_Moderate;NIST_800_53,FedRAMP_Moderate/AU-9;FedRAMP_Moderate/AU-9 (2);FedRAMP_Moderate/AU-9 (3)
alicloud.vpc.security_group.ingress_restricted,alicloud,L3_API_LIST_CROSS,MEDIUM,config,10,3,CANADA_PBMM;CIS_AZURE;CIS_OCI,CANADA_PBMM/CCCS CM-7(1);CANADA_PBMM/CCCS SC-7(12);CANADA_PBMM/CCCS SC-7(13)
k8s.network.network_policy.ingress_restricted,k8s,L3_API_LIST_CROSS,MEDIUM,config,10,3,CANADA_PBMM;CIS_ALICLOUD;CIS_AWS,CANADA_PBMM/CCCS AC-4(21);CANADA_PBMM/CCCS CA-3(3);CANADA_PBMM/CCCS CM-7(1)
aws.ec2.instance.vulnerability_scan_enabled,aws,L5_NEEDS_AGENT,MEDIUM,config,10,2,CANADA_PBMM;PCI_DSS,CANADA_PBMM/CCCS CM-8(1);CANADA_PBMM/CCCS CM-8(2);CANADA_PBMM/CCCS CM-8(3)
aws.guardduty.detector.status_configured,aws,L2_API_CONFIG,MEDIUM,config,9,1,CANADA_PBMM,CANADA_PBMM/CCCS RA-5(6);CANADA_PBMM/CCCS SI-4(1);CANADA_PBMM/CCCS SI-4(11)
oci.identity.policy.statements_external_entities_configured,oracle,L4_POLICY_PARSE,MEDIUM,config,9,3,CANADA_PBMM;FedRAMP_Moderate;NIST_800_53,CANADA_PBMM/CCCS AC-20;CANADA_PBMM/CCCS AC-20(1);CANADA_PBMM/CCCS AC-20(2)
alicloud.ram.user.mfa_enabled,alicloud,L1_API_BOOLEAN,HIGH,config,8,4,CANADA_PBMM;CISA_CE;CIS_OCI;FedRAMP_Moderate,CANADA_PBMM/CCCS IA-2;CANADA_PBMM/CCCS IA-4(2);CANADA_PBMM/CCCS IA-4(3)
azure.compute.virtual_machine.image_baseline_enabled,azure,L1_API_BOOLEAN,MEDIUM,config,8,1,CANADA_PBMM,CANADA_PBMM/CCCS CM-2(1);CANADA_PBMM/CCCS CM-2(2);CANADA_PBMM/CCCS CM-2(3)
alicloud.ecs.instance.baseline_image_configured,alicloud,L2_API_CONFIG,MEDIUM,config,8,1,CANADA_PBMM,CANADA_PBMM/CCCS CM-2(1);CANADA_PBMM/CCCS CM-2(2);CANADA_PBMM/CCCS CM-2(3)
alicloud.kms.key.expiration_set,alicloud,L2_API_CONFIG,HIGH,config,8,3,CIS_K8S;FedRAMP_Moderate;NIST_800_53,CIS_K8S/5.4.2;FedRAMP_Moderate/SC-12 (1);NIST_800_53/SC-12(1)
azure.iam.role.least_privilege_enforced,azure,L2_API_CONFIG,MEDIUM,config,8,5,CANADA_PBMM;CIS_ALICLOUD;CIS_AWS;CIS_OCI;FedRAMP_Moderate,CANADA_PBMM/CCCS AC-20;CIS_ALICLOUD/5.1.3;CIS_AWS/12.4
ibm.iam.no.root_access_key_configured,ibm,L2_API_CONFIG,HIGH,config,8,4,CANADA_PBMM;CIS_OCI;FedRAMP_Moderate;NIST_800_53,CANADA_PBMM/CCCS IA-4;CIS_OCI/6.2;FedRAMP_Moderate/IA-4
ibm.vpc.security_group.ingress_restricted,ibm,L3_API_LIST_CROSS,MEDIUM,config,8,3,CANADA_PBMM;CIS_AZURE;CIS_OCI,CANADA_PBMM/CCCS CM-7(1);CANADA_PBMM/CCCS SC-7(12);CANADA_PBMM/CCCS SC-7(13)
aws.cloudtrail.activity_log.audit_policy_change,aws,L6_CIEM_EVENT,MEDIUM,ciem,8,4,CANADA_PBMM;CIS_OCI;PCI_DSS;SOC2,CANADA_PBMM/CCCS CA-7(1);CANADA_PBMM/CCCS IR-3(2);CANADA_PBMM/CCCS SI-4(23)
ibm.activity_tracker.audit.event_routing_disable,ibm,L6_CIEM_EVENT,HIGH,ciem,8,3,CANADA_PBMM;CIS_OCI;NIST_800_171,CANADA_PBMM/CCCS AU-2(3);CANADA_PBMM/CCCS AU-9(4);CANADA_PBMM/CCCS RA-5(1)
alicloud.oss.bucket.versioning_enabled,alicloud,L1_API_BOOLEAN,MEDIUM,config,7,4,CANADA_PBMM;CIS_AWS;CIS_AZURE;SOC2,CANADA_PBMM/CCCS CP-9(2);CANADA_PBMM/CCCS CP-9(5);CANADA_PBMM/CCCS CP-9(7)
ibm.vpc.activity_log.update_security_group,ibm,L6_CIEM_EVENT,MEDIUM,ciem,7,1,CANADA_PBMM,CANADA_PBMM/CCCS RA-5(1);CANADA_PBMM/CCCS RA-5(2);CANADA_PBMM/CCCS RA-5(3)
ibm.cos.bucket.versioning_enabled,ibm,L1_API_BOOLEAN,MEDIUM,config,6,4,CANADA_PBMM;CIS_AWS;CIS_AZURE;SOC2,CANADA_PBMM/CCCS CP-9(2);CANADA_PBMM/CCCS CP-9(5);CANADA_PBMM/CCCS CP-9(7)
ibm.iam.user.mfa_enabled,ibm,L1_API_BOOLEAN,HIGH,config,6,3,CANADA_PBMM;CIS_GCP;CIS_OCI,CANADA_PBMM/CCCS AC-2(9);CANADA_PBMM/CCCS IA-4(2);CANADA_PBMM/CCCS IA-4(3)
aws.ec2.instance.required_ami_configured,aws,L2_API_CONFIG,MEDIUM,config,6,1,CANADA_PBMM,CANADA_PBMM/CCCS CM-2(1);CANADA_PBMM/CCCS CM-2(2);CANADA_PBMM/CCCS CM-3(6)
azure.keyvault.key.key_type_configured,azure,L2_API_CONFIG,MEDIUM,config,6,5,CANADA_PBMM;CIS_GCP;CIS_IBM;FedRAMP_Moderate;NIST_800_53,CANADA_PBMM/CCCS SC-12(2);CIS_GCP/4.4.2;CIS_IBM/5.4.2
ibm.activity_tracker.event_routing.enabled,ibm,L2_API_CONFIG,MEDIUM,config,6,4,CANADA_PBMM;CIS_ALICLOUD;CIS_K8S;NIST_800_171,CANADA_PBMM/CCCS AU-3(1);CIS_ALICLOUD/1.2.20;CIS_ALICLOUD/1.2.23
ibm.cos.bucket.tls_policy_configured,ibm,L2_API_CONFIG,HIGH,config,6,3,CANADA_PBMM;CIS_AWS;NIST_800_171,CANADA_PBMM/CCCS SC-8(1);CIS_AWS/11.4;CIS_AWS/16.1
oci.cloudguard.detector_recipe.enabled,oracle,L2_API_CONFIG,MEDIUM,config,6,1,NIST_800_53,NIST_800_53/RA-10-b;NIST_800_53/SC-43-a;NIST_800_53/SC-5(3)
oci.compute.instance.baseline_image_configured,oracle,L2_API_CONFIG,MEDIUM,config,6,1,CANADA_PBMM,CANADA_PBMM/CCCS CM-2(1);CANADA_PBMM/CCCS CM-2(3);CANADA_PBMM/CCCS CM-2(7)
alicloud.vpc.security_group.deny_all_ingress_restricted,alicloud,L3_API_LIST_CROSS,MEDIUM,config,6,3,CANADA_PBMM;CIS_AZURE;CIS_OCI,CANADA_PBMM/CCCS SC-7(4);CANADA_PBMM/CCCS SC-7(5);CIS_AZURE/5.4.4
ibm.vpc.networkacl.allow_ingress_any_port_restricted,ibm,L3_API_LIST_CROSS,MEDIUM,config,6,3,CANADA_PBMM;FedRAMP_Moderate;NIST_800_53,CANADA_PBMM/CCCS CM-7;FedRAMP_Moderate/CM-7;FedRAMP_Moderate/CM-7 (1)
aws.iam.policy.action_configured,aws,L4_POLICY_PARSE,MEDIUM,config,6,4,CANADA_PBMM;CIS_ALICLOUD;CIS_GCP;CIS_OCI,CANADA_PBMM/CCCS MA-3(3);CIS_ALICLOUD/5.1.3;CIS_GCP/4.1.3
ibm.vpc.instance.vulnerability_scanning_enabled,ibm,L5_NEEDS_AGENT,MEDIUM,config,6,2,CANADA_PBMM;PCI_DSS,CANADA_PBMM/CCCS RA-5(1);CANADA_PBMM/CCCS RA-5(2);CANADA_PBMM/CCCS RA-5(3)
aws.ec2.activity_log.security_group_modify,aws,L6_CIEM_EVENT,MEDIUM,ciem,6,1,CANADA_PBMM,CANADA_PBMM/CCCS RA-5(1);CANADA_PBMM/CCCS RA-5(2);CANADA_PBMM/CCCS RA-5(3)
gcp.iam.user.mfa_enabled,gcp,L1_API_BOOLEAN,HIGH,config,5,3,CANADA_PBMM;CIS_GCP;CIS_OCI,CANADA_PBMM/CCCS IA-4(2);CANADA_PBMM/CCCS IA-4(3);CANADA_PBMM/CCCS IA-4(4)
gcp.sql.multi.az_enabled,gcp,L1_API_BOOLEAN,MEDIUM,config,5,1,NIST_800_53,NIST_800_53/CP-2(6);NIST_800_53/SC-36(1);NIST_800_53/SC-36(2)
alicloud.oss.bucket.https_required,alicloud,L2_API_CONFIG,HIGH,config,5,3,CIS_AWS;CIS_AZURE;NIST_800_171,CIS_AWS/10.3;CIS_AWS/11.4;CIS_AWS/16.1
aws.ec2.instance.recovery_instance_configured,aws,L2_API_CONFIG,MEDIUM,config,5,1,CANADA_PBMM,CANADA_PBMM/CCCS CP-2(1);CANADA_PBMM/CCCS CP-2(2);CANADA_PBMM/CCCS CP-2(3)
azure.authorization.role_assignment.condition_ip_configured,azure,L2_API_CONFIG,MEDIUM,config,5,4,CANADA_PBMM;CIS_ALICLOUD;CIS_GCP;CIS_OCI,CANADA_PBMM/CCCS MA-4(1);CANADA_PBMM/CCCS MA-4(6);CIS_ALICLOUD/5.1.3
ibm.activity_tracker.instance.status_configured,ibm,L2_API_CONFIG,MEDIUM,config,5,1,CANADA_PBMM,CANADA_PBMM/CCCS SI-4(1);CANADA_PBMM/CCCS SI-4(11);CANADA_PBMM/CCCS SI-4(16)
ibm.iam.user.password_policy_enforce_change_configured,ibm,L2_API_CONFIG,MEDIUM,config,5,4,CIS_AZURE;CIS_OCI;NIST_800_171;PCI_DSS,CIS_AZURE/5.10;CIS_OCI/1.11;NIST_800_171/3_5_11
ibm.vpc.instance.backup_policy_configured,ibm,L2_API_CONFIG,MEDIUM,config,5,2,CANADA_PBMM;CIS_AWS,CANADA_PBMM/CCCS CP-2(1);CANADA_PBMM/CCCS CP-2(3);CANADA_PBMM/CCCS CP-2(4)
ibm.vpc.instance.trusted_image_configured,ibm,L2_API_CONFIG,MEDIUM,config,5,2,CANADA_PBMM;PCI_DSS,CANADA_PBMM/CCCS CM-2(2);CANADA_PBMM/CCCS CM-7(5);CANADA_PBMM/CCCS SI-7(1)
ibm.vsi.instance.compliance_managed_configured,ibm,L2_API_CONFIG,MEDIUM,config,5,3,HIPAA;ISO27001_2022;NIST_800_171,HIPAA/164_308_a_5_ii_b;ISO27001_2022/A.5.26;NIST_800_171/3_14_2
gcp.compute.firewall.ingress_restricted,gcp,L3_API_LIST_CROSS,MEDIUM,config,5,1,CANADA_PBMM,CANADA_PBMM/CCCS SC-7(12);CANADA_PBMM/CCCS SC-7(13);CANADA_PBMM/CCCS SC-7(18)
k8s.kubelet.config.file_ownership_enforced,k8s,L5_NEEDS_AGENT,MEDIUM,config,5,2,CIS_GCP;CIS_K8S,CIS_GCP/3.1.3;CIS_GCP/3.1.4;CIS_GCP/3.2.6
alicloud.ram.activity_log.access_key,alicloud,L6_CIEM_EVENT,MEDIUM,ciem,5,2,CANADA_PBMM;SOC2,CANADA_PBMM/CCCS IR-4(1);CANADA_PBMM/CCCS IR-6(1);CANADA_PBMM/CCCS IR-7(1)
alicloud.ecs.instance.inventory_enabled,alicloud,L1_API_BOOLEAN,MEDIUM,config,4,1,CANADA_PBMM,CANADA_PBMM/CCCS CM-8(1);CANADA_PBMM/CCCS CM-8(2);CANADA_PBMM/CCCS CM-8(3)
alicloud.ram.root.hardware_mfa_enabled,alicloud,L1_API_BOOLEAN,HIGH,config,4,3,CANADA_PBMM;CISA_CE;FedRAMP_Moderate,CANADA_PBMM/CCCS IA-2;CISA_CE/Booting Up-2;CISA_CE/Your Surroundings-1
aws.s3.bucket.anonymous_auth_disabled,aws,L1_API_BOOLEAN,HIGH,config,4,4,CIS_ALICLOUD;CIS_AZURE;CIS_GCP;CIS_OCI,CIS_ALICLOUD/1.2.32;CIS_AZURE/2.3.13;CIS_GCP/3.2.1
azure.aks.cluster.rbac_enabled,azure,L1_API_BOOLEAN,MEDIUM,config,4,4,CIS_ALICLOUD;CIS_AWS;CIS_GCP;CIS_OCI,CIS_ALICLOUD/5.2.4;CIS_AWS/3.2.2;CIS_GCP/5.8.2
azure.compute.virtual_machine.disaster_recovery_enabled,azure,L1_API_BOOLEAN,MEDIUM,config,4,1,CANADA_PBMM,CANADA_PBMM/CCCS CP-2(1);CANADA_PBMM/CCCS CP-2(2);CANADA_PBMM/CCCS CP-2(3)
gcp.compute.instance.disaster_recovery_enabled,gcp,L1_API_BOOLEAN,MEDIUM,config,4,1,CANADA_PBMM,CANADA_PBMM/CCCS CP-2(1);CANADA_PBMM/CCCS CP-2(2);CANADA_PBMM/CCCS CP-2(3)
gcp.compute.instance.inventory_enabled,gcp,L1_API_BOOLEAN,MEDIUM,config,4,1,CANADA_PBMM,CANADA_PBMM/CCCS CM-8(1);CANADA_PBMM/CCCS CM-8(2);CANADA_PBMM/CCCS CM-8(3)
ibm.activity_tracker.route.retention_enabled,ibm,L1_API_BOOLEAN,MEDIUM,config,4,4,CANADA_PBMM;CIS_ALICLOUD;NIST_800_171;PCI_DSS,CANADA_PBMM/CCCS IR-4(3);CIS_ALICLOUD/1.2.21;NIST_800_171/3_13_13
ibm.cos.bucket.anonymous_auth_disabled,ibm,L1_API_BOOLEAN,HIGH,config,4,3,CIS_AZURE;CIS_GCP;NIST_800_171,CIS_AZURE/2.3.13;CIS_AZURE/2.4;CIS_GCP/3.2.1
k8s.core.node.inventory_enabled,k8s,L1_API_BOOLEAN,MEDIUM,config,4,1,CANADA_PBMM,CANADA_PBMM/CCCS CM-8(1);CANADA_PBMM/CCCS CM-8(2);CANADA_PBMM/CCCS CM-8(3)
oci.compute.instance.inventory_enabled,oracle,L1_API_BOOLEAN,MEDIUM,config,4,1,CANADA_PBMM,CANADA_PBMM/CCCS CM-8(1);CANADA_PBMM/CCCS CM-8(2);CANADA_PBMM/CCCS CM-8(3)
oci.objectstorage.bucket.anonymous_auth_disabled,oracle,L1_API_BOOLEAN,HIGH,config,4,4,CIS_AWS;CIS_AZURE;CIS_GCP;NIST_800_171,CIS_AWS/10.3;CIS_AZURE/2.3.13;CIS_GCP/3.2.1
aws.eks.cluster.pod_security_policy_configured,aws,L2_API_CONFIG,MEDIUM,config,4,3,CIS_ALICLOUD;CIS_AZURE;CIS_K8S,CIS_ALICLOUD/5.2.2;CIS_ALICLOUD/5.2.4;CIS_AZURE/2.1.3
aws.eks.cluster.rbac_managed_configured,aws,L2_API_CONFIG,MEDIUM,config,4,4,CIS_ALICLOUD;CIS_AZURE;CIS_GCP;CIS_OCI,CIS_ALICLOUD/5.2.4;CIS_AZURE/2.1.3;CIS_GCP/5.8.2
azure.authorization.role_definition.action_configured,azure,L2_API_CONFIG,MEDIUM,config,4,2,CANADA_PBMM;CIS_IBM,CANADA_PBMM/CCCS MA-3(1);CANADA_PBMM/CCCS MA-3(2);CANADA_PBMM/CCCS MA-3(3)
ibm.activity_tracker.configuration.enabled,ibm,L2_API_CONFIG,MEDIUM,config,4,3,CIS_ALICLOUD;CIS_AZURE;NIST_800_171,CIS_ALICLOUD/1.2.22;CIS_AZURE/2.4;NIST_800_171/3_3_7
ibm.activity_tracker.route.destination_and_filter_configured,ibm,L2_API_CONFIG,MEDIUM,config,4,3,CANADA_PBMM;CIS_ALICLOUD;NIST_800_171,CANADA_PBMM/CCCS AU-2(3);CANADA_PBMM/CCCS AU-9(2);CIS_ALICLOUD/1.2.20
