control_id,title,confidence_level,source
6.1.1,Ensure permissions on /etc/passwd are configured,MEDIUM,"1. NIST SP 800-53 Rev. 5: AC-3, MP-2"
1.3.2,Ensure core dump backtraces are disabled,MEDIUM,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
4.1.1.3,Ensure rsyslog default file permissions are configured,MEDIUM,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
5.2.17,Ensure SSH MaxStartups is configured,MEDIUM,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
3.2.1,Ensure that the --anonymous-auth argument is set to false,MEDIUM,CIS AZURE KUBERNETES SERVICE (AKS) BENCHMARK V1.7.0 PDF_updated_20250825_190647.json
5.4.2,Ensure lockout for failed password attempts is configured,MEDIUM,"1. https://access.redhat.com/documentation/en- us/red_hat_enterprise_linux/7/html/security_guide 2. NIST SP 800-53 Rev. 5: AC-1, AC-2"
3.2.9,Ensure that the RotateKubeletServerCertificate argument is set to true,MEDIUM,CIS AZURE KUBERNETES SERVICE (AKS) BENCHMARK V1.7.0 PDF_updated_20250825_190647.json
17.1.4,Ensure that shared access signature (SAS) tokens expire within an hour,MEDIUM,CIS_MICROSOFT_AZURE_STORAGE_SERVICES_BENCHMARK_V1.0.0_updated_20250825_191043.json
6.13," for selected permissions'""",MEDIUM,1. https://learn.microsoft.com/en-us/entra/identity/enterprise-apps/configure-user- consent?pivots=ms-graph#configure-user-consent-to-applications 2. https://learn.microsoft.com/en-us/security/benchmark/azure/mcsb-privileged- access#pa-1-separate-and-limit-highly-privilegedadministrative-users 3. https://learn.microsoft.com/en-us/security/benchmark/azure/mcsb-governance- strategy#gs-2-define-and-implement-enterprise-segmentationseparation-of- duties-strategy 4. https://learn.microsoft.com/en-us/security/benchmark/azure/mcsb-governance- strategy#gs-6-define-and-implement-identity-and-privileged-access-strategy 5. https://learn.microsoft.com/en- us/powershell/module/microsoft.graph.identity.signins/get- mgpolicyauthorizationpolicy?view=graph-powershell-1.0
6.1.4,Ensure permissions on /etc/group- are configured,MEDIUM,"1. NIST SP 800-53 Rev. 5: AC-3, MP-2"
2.2.16,Ensure telnet-server is not installed,MEDIUM,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
2.2.11,Ensure IMAP and POP3 server is not installed,MEDIUM,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
4.5.2,Consider external secret storage,MEDIUM,CIS AZURE KUBERNETES SERVICE (AKS) BENCHMARK V1.7.0 PDF_updated_20250825_190647.json
18.2,Ensure stored access policies (SAP) are used when generating shared access signature (SAS) tokens,MEDIUM,CIS_MICROSOFT_AZURE_STORAGE_SERVICES_BENCHMARK_V1.0.0_updated_20250825_191043.json
1.1.2.2,Ensure nodev option set on /tmp partition,MEDIUM,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
6.2.15,Ensure no users have .netrc files,MEDIUM,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
