unique_id,control_id,source,title,final_approach,original_approach,review_validation,technical_accuracy_score,confidence_level,program_name,review_recommendation
5.4.1__ensure-password-creation-requirements-are-configured,5.4.1,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json,Ensure password creation requirements are configured,Manual (Under Review),Manual,DISAGREE,7,MEDIUM,,"- **Re-classify:** Modify the assessment to include automated checks using Azure Policy and Azure Automation. This will enhance efficiency and scalability in an Azure environment.
- **Modify:** Includ"
5.5.1.2__ensure-minimum-days-between-password-changes-is-configured,5.5.1.2,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json,Ensure minimum days between password changes is configured,Manual (Verify),Manual,PARTIALLY_AGREE,7,MEDIUM,,Modify
8.8__ensure-that-virtual-network-flow-log-retention-days-is-set-to-greater-than-or-equal-to-90,8.8,CIS_MICROSOFT_AZURE_FOUNDATIONS_BENCHMARK_V4.0.0_updated_20250825_190952.json,Ensure that virtual network flow log retention days is set to greater than or equal to 90,Automated,Automated,AGREE,8,HIGH,azure_network_flow_logs_retention_days_verified,"- **Modify:** Adjust the pass criteria to ensure it reflects the control's requirement accurately. Specifically, remove the allowance for `retentionPolicy.days` set to 0.
- Ensure the automation scrip"
6.1.3__ensure-that-'allow-users-to-remember-multifactor-authentication-on-devices-they-trust'-is-disabled,6.1.3,CIS_MICROSOFT_AZURE_FOUNDATIONS_BENCHMARK_V4.0.0_updated_20250825_190952.json,Ensure that 'Allow users to remember multifactor authentication on devices they trust' is disabled,Manual (Verify),Manual,PARTIALLY_AGREE,7,MEDIUM,,Modify
1.4.1__ensure-local-login-warning-banner-is-configured-properly,1.4.1,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json,Ensure local login warning banner is configured properly,Manual (Verify),Manual,PARTIALLY_AGREE,7,MEDIUM,,- Modify: Suggest including an automated approach using Azure CLI or PowerShell to check the `/etc/issue` file across multiple VMs. This would involve scripting the SSH command execution and file cont
5.5.2__use-azure-rbac-for-kubernetes-authorization,5.5.2,CIS AZURE KUBERNETES SERVICE (AKS) BENCHMARK V1.7.0 PDF_updated_20250825_190647.json,Use Azure RBAC for Kubernetes Authorization,Automated,Automated,AGREE,8,HIGH,azure_aks_rbac_management_enabled,"Modify  
- Update the automation details to specifically check for the `enableAzureRBAC` property within the `aadProfile` to ensure Azure RBAC is enabled.
- Consider enhancing the program name to `azu"
2.1.17__ensure-private-endpoints-used-to-access-app-service-apps-use-private-dns-zones,2.1.17,"1. https://learn.microsoft.com/en-us/azure/app-service/overview-private- endpoint#dns 2. https://learn.microsoft.com/en-us/azure/private-link/private-endpoint-dns CIS Controls: Controls Version Control IG 1 IG 2 IG 3 v8 12.2 Establish and Maintain a Secure Network Architecture Establish and maintain a secure network architecture. A secure network architecture must address segmentation, least privilege, and availability, at a minimum. ● ● v7 14.1 Segment the Network Based on Sensitivity Segment the network based on the label or classification level of the information stored on the servers, locate all sensitive information on separated Virtual Local Area Networks (VLANs). ● ●",Ensure private endpoints used to access App Service apps use private DNS zones,Automated,Automated,AGREE,8,HIGH,azure_app_service_private_endpoints_dns_configured,"- **Modify:** While the overall approach is sound, the automation script should be expanded to include checks for DNS zone linkage to the virtual network. Additionally, consider using Azure Policy for"
6.6__ensure-that-account-'lockout-threshold'-is-less-than-or-equal-to-'10',6.6,CIS_MICROSOFT_AZURE_FOUNDATIONS_BENCHMARK_V4.0.0_updated_20250825_190952.json,Ensure that account 'Lockout threshold' is less than or equal to '10',Automated,Automated,Unknown,0,MEDIUM,azure_entra_password_protection_lockout_threshold_verified,
7.1.1.6__ensure-that-logging-for-azure-appservice-'http-logs'-is-enabled,7.1.1.6,CIS_MICROSOFT_AZURE_FOUNDATIONS_BENCHMARK_V4.0.0_updated_20250825_190952.json,Ensure that logging for Azure AppService 'HTTP logs' is enabled,Automated,Automated,AGREE,7,MEDIUM,azure_appservice_http_logs_enabled,- Modify: Update the example CLI command to accurately reflect the process of checking HTTP logs in diagnostic settings. Ensure that the automation details explicitly mention the need to verify the `h
5.1.1__ensure-cron-daemon-is-enabled,5.1.1,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json,Ensure cron daemon is enabled,Manual (Verify),Manual,PARTIALLY_AGREE,6,MEDIUM,,- **Modify:** Enhance the assessment by incorporating an automated approach using Azure CLI or PowerShell to check the cron daemon status across all nodes in an AKS cluster. Provide a script example a
5.4.3__ensure-clusters-are-created-with-private-nodes,5.4.3,CIS AZURE KUBERNETES SERVICE (AKS) BENCHMARK V1.7.0 PDF_updated_20250825_190647.json,Ensure clusters are created with Private Nodes,Automated,Automated,AGREE,8,HIGH,azure_aks_private_nodes_enabled,"Modify
   - **Clarify Output Expectation:** Update the automation details to specify that the expected output is a boolean `true`, not `""enabled"": true`.
   - **Enhance Program Name:** Consider renami"
5.5.1.1__ensure-password-expiration-is-365-days-or-less,5.5.1.1,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json,Ensure password expiration is 365 days or less,Manual (Under Review),Manual,DISAGREE,6,MEDIUM,,Modify
2.1.14__ensure-public-network-access-is-disabled,2.1.14,CIS_MICROSOFT_AZURE_COMPUTE_SERVICES_BENCHMARK_V2.0.0_updated_20250825_190920.json,Ensure public network access is disabled,Automated,Automated,Unknown,0,HIGH,azure_app_service_public_network_access_disabled,
6.18__ensure-that-'restrict-user-ability-to-access-groups-features-in-my-groups'-is-set-to-'yes',6.18,CIS_MICROSOFT_AZURE_FOUNDATIONS_BENCHMARK_V4.0.0_updated_20250825_190952.json,Ensure that 'Restrict user ability to access groups features in My Groups' is set to 'Yes',Automated (Verify),Automated,PARTIALLY_AGREE,6,MEDIUM,azure_enrollment_groups_restrict_user_access,- **Modify:** Update the assessment to use the correct Microsoft Graph API endpoint for directory settings. Ensure that the automation script includes proper authentication and error handling. Adjust 
2.3__ensure-that-'minimum-tls-version'-is-set-to-tls-v1.2-(or-higher),2.3,CIS_MICROSOFT_AZURE_DATABASE_SERVICES_BENCHMARK_V1.0.0_updated_20250825_190935.json,Ensure that 'Minimum TLS version' is set to TLS v1.2 (or higher),Automated,Automated,AGREE,9,HIGH,azure_cache_for_redis_minimum_tls_version_verified,"Keep as-is  
- The assessment is technically accurate and appropriately classified as Automated. The provided details are sufficient for verifying compliance with the control regarding the minimum TLS"
2.1.13__ensure-managed-identities-are-configured,2.1.13,,Ensure managed identities are configured,Automated,Automated,AGREE,9,HIGH,azure_app_service_managed_identity_enabled,- Modify: Update the pass criteria to explicitly mention that both `SystemAssigned` and `UserAssigned` can be present simultaneously. Consider adding PowerShell as an alternative method and include gu
16.1__ensure-'allowed-protocols'-for-shared-access-signature-(sas)-tokens-is-set-to-'https-only',16.1,CIS_MICROSOFT_AZURE_STORAGE_SERVICES_BENCHMARK_V1.0.0_updated_20250825_191043.json,Ensure 'Allowed Protocols' for shared access signature (SAS) tokens is set to 'HTTPS Only',Manual (Verify),Manual,PARTIALLY_AGREE,6,MEDIUM,,Modify
5.5.1.4__ensure-inactive-password-lock-is-30-days-or-less,5.5.1.4,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json,Ensure inactive password lock is 30 days or less,Manual (Verify),Manual,PARTIALLY_AGREE,6,MEDIUM,,Modify
8.6__ensure-that-network-watcher-is-'enabled'-for-azure-regions-that-are-in-use,8.6,CIS_MICROSOFT_AZURE_FOUNDATIONS_BENCHMARK_V4.0.0_updated_20250825_190952.json,Ensure that Network Watcher is 'Enabled' for Azure Regions that are in use,Automated,Automated,AGREE,8,HIGH,azure_network_network_watcher_enabled,"- **Modify:** While the overall approach is correct, I recommend refining the CLI queries to ensure they accurately reflect the compliance status of Network Watchers in all utilized regions. Additiona"
5.5.1__manage-kubernetes-rbac-users-with-azure-ad,5.5.1,CIS AZURE KUBERNETES SERVICE (AKS) BENCHMARK V1.7.0 PDF_updated_20250825_190647.json,Manage Kubernetes RBAC users with Azure AD,Automated,Automated,AGREE,8,HIGH,azure_aks_rbac_azure_ad_configuration_verified,Modify
2.3.4__ensure-'ftp-state'-is-set-to-'ftps-only'-or-'disabled',2.3.4,CIS_MICROSOFT_AZURE_COMPUTE_SERVICES_BENCHMARK_V2.0.0_updated_20250825_190920.json,Ensure 'FTP state' is set to 'FTPS only' or 'Disabled',Automated,Automated,AGREE,9,HIGH,azure_functionapp_ftp_state_ftps_only_disabled,"- Keep as-is, with a suggestion to enhance the automation script with error handling and remediation capabilities.
- Consider documenting the necessary permissions and roles required to perform these "
2.4.2__ensure-'python-version'-is-currently-supported-(if-in-use),2.4.2,CIS_MICROSOFT_AZURE_COMPUTE_SERVICES_BENCHMARK_V2.0.0_updated_20250825_190920.json,Ensure 'Python version' is currently supported (if in use),Automated,Automated,AGREE,8,MEDIUM,azure_function_app_python_version_supported,Modify
6.1.10__ensure-world-writable-files-and-directories-are-secured,6.1.10,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json,Ensure world writable files and directories are secured,Manual (Verify),Manual,PARTIALLY_AGREE,6,MEDIUM,,Modify
3.2.1__ensure-packet-redirect-sending-is-disabled,3.2.1,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json,Ensure packet redirect sending is disabled,Manual (Verify),Manual,PARTIALLY_AGREE,8,MEDIUM,,Modify
17.1.6__ensure-storage-for-critical-data-are-encrypted-with-customer-managed-keys-(cmk),17.1.6,CIS_MICROSOFT_AZURE_STORAGE_SERVICES_BENCHMARK_V1.0.0_updated_20250825_191043.json,Ensure Storage for Critical Data are Encrypted with Customer Managed Keys (CMK),Automated,Automated,AGREE,9,HIGH,azure_storage_account_customer_managed_keys_enabled,Modify
2.4.14__ensure-configuration-is-routed-through-the-virtual-network-integration,2.4.14,CIS_MICROSOFT_AZURE_COMPUTE_SERVICES_BENCHMARK_V2.0.0_updated_20250825_190920.json,Ensure configuration is routed through the virtual network integration,Automated,Automated,AGREE,8,HIGH,azure_appservice_configuration_virtual_network_routing_enabled,"- Modify: While the overall approach is correct, it is recommended to refine the resource type specification in the CLI commands to explicitly handle deployment slots. Additionally, consider expanding"
1.2.1__ensure-dnf-gpgcheck-is-globally-activated,1.2.1,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json,Ensure DNF gpgcheck is globally activated,Manual (Verify),Manual,PARTIALLY_AGREE,7,MEDIUM,,Modify
6.5__ensure-that-'number-of-methods-required-to-reset'-is-set-to-'2',6.5,CIS_MICROSOFT_AZURE_FOUNDATIONS_BENCHMARK_V4.0.0_updated_20250825_190952.json,Ensure that 'Number of methods required to reset' is set to '2',Automated,Automated,AGREE,7,MEDIUM,azure_microsoft_entra_id_password_reset_auth_methods_required,- **Modify:** Correct the API endpoint and example command to accurately reflect the method for retrieving the SSPR settings. Update the program name to adhere to naming conventions. Ensure the assess
6.3.3__ensure-that-use-of-the-'user-access-administrator'-role-is-restricted,6.3.3,CIS_MICROSOFT_AZURE_FOUNDATIONS_BENCHMARK_V4.0.0_updated_20250825_190952.json,Ensure that use of the 'User Access Administrator' role is restricted,Automated (Verify),Automated,PARTIALLY_AGREE,7,MEDIUM,azure_role_assignment_user_access_admin_restricted,Modify
2.2.16__ensure-all-traffic-is-routed-through-the-virtual-network,2.2.16,CIS_MICROSOFT_AZURE_COMPUTE_SERVICES_BENCHMARK_V2.0.0_updated_20250825_190920.json,Ensure all traffic is routed through the virtual network,Automated,Automated,AGREE,9,HIGH,azure_appservice_slot_vnet_routing_enabled,"Keep as-is
- The assessment is accurate and aligns with Azure's capabilities for automating compliance checks. The suggested improvements are minor and do not necessitate a reclassification or major m"
10.3.5__ensure-'allow-azure-services-on-the-trusted-services-list-to-access-this-storage-account'-is-enabled-for-storage-account-access,10.3.5,CIS_MICROSOFT_AZURE_FOUNDATIONS_BENCHMARK_V4.0.0_updated_20250825_190952.json,Ensure 'Allow Azure services on the trusted services list to access this storage account' is Enabled for Storage Account Access,Automated,Automated,AGREE,9,HIGH,azure_storage_account_trusted_services_enabled,"- Keep as-is, with a minor suggestion to enhance the program name for clarity and consider adding more context on security implications and dependencies. The current approach is robust and leverages A"
2.3.3__ensure-'basic-authentication-publishing-credentials'-are-'disabled',2.3.3,CIS_MICROSOFT_AZURE_COMPUTE_SERVICES_BENCHMARK_V2.0.0_updated_20250825_190920.json,Ensure 'Basic Authentication Publishing Credentials' are 'Disabled',Automated,Automated,AGREE,8,HIGH,azure_app_service_basic_auth_disabled,Modify
7.2__ensure-server-parameter-'log_checkpoints'-is-set-to-'on'-for-postgresql-database-server,7.2,CIS_MICROSOFT_AZURE_DATABASE_SERVICES_BENCHMARK_V1.0.0_updated_20250825_190935.json,Ensure Server Parameter 'log_checkpoints' is set to 'ON' for PostgreSQL Database Server,Automated,Automated,Unknown,0,HIGH,azure_postgresql_logging_log_checkpoints_enabled,
6.16__ensure-that-'guest-invite-restrictions'-is-set-to-'only-users-assigned-to-specific-admin-roles-can-invite-guest-users',6.16,CIS_MICROSOFT_AZURE_FOUNDATIONS_BENCHMARK_V4.0.0_updated_20250825_190952.json,Ensure that 'Guest invite restrictions' is set to 'Only users assigned to specific admin roles can invite guest users',Automated,Automated,AGREE,9,HIGH,azure_enx_external_id_guest_invite_restrictions_set,"- Keep as-is, with a minor suggestion to enhance the program name for clarity, such as `azure_ad_policy_guest_invite_restrictions_set`.
- Consider expanding the documentation to include authentication"
2.2.1.1__ensure-public-network-access-is-disabled,2.2.1.1,CIS_MICROSOFT_AZURE_FOUNDATIONS_BENCHMARK_V4.0.0_updated_20250825_190952.json,Ensure public network access is Disabled,Automated,Automated,AGREE,8,HIGH,azure_storage_account_public_network_access_disabled,Modify
17.1.3__ensure-that-storage-account-access-keys-are-periodically-regenerated,17.1.3,CIS_MICROSOFT_AZURE_STORAGE_SERVICES_BENCHMARK_V1.0.0_updated_20250825_191043.json,Ensure that Storage Account Access Keys are Periodically Regenerated,Automated,Automated,AGREE,8,HIGH,azure_storage_account_access_keys_rotated,"- **Modify:** While the current approach is sound, I recommend enhancing it by integrating Azure Key Vault for key management and considering Azure Policy for compliance enforcement. These additions w"
6.2.7__ensure-root-path-integrity,6.2.7,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json,Ensure root PATH Integrity,Manual (Verify),Manual,PARTIALLY_AGREE,7,MEDIUM,,- **Modify:** Enhance the approach by incorporating automation where possible. Develop scripts using Azure CLI or PowerShell to automate node access and PATH checks. Consider using Azure Policy or Sec
6.2.7__ensure-that-multifactor-authentication-is-required-to-access-microsoft-admin-portals,6.2.7,1. https://learn.microsoft.com/en-us/security/benchmark/azure/mcsb-identity- management#im-7-restrict-resource-access-based-on--conditions 2. https://docs.microsoft.com/en-us/azure/active-directory/conditional- access/concept-conditional-access-users-groups 3. https://learn.microsoft.com/en-us/entra/identity/conditional-access/how-to-policy- mfa-admin-portals Additional Information: These policies should be tested by using the What If tool in the References. Setting these can and will create issues with administrators changing settings until they use an MFA device linked to their accounts. An emergency access account is recommended for this eventuality if all administrators are locked out. Please see the documentation in the references for further information. Similarly further testing can also be done via the insights and reporting resource in References which monitors Azure sign ins.,Ensure that multifactor authentication is required to access Microsoft Admin Portals,Automated,Automated,AGREE,8,HIGH,azure_enrollment_conditional_access_mfa_required,Modify
3.2.5__ensure-that-the---streaming-connection-idle-timeout-argument-is-not-set-to-0,3.2.5,CIS AZURE KUBERNETES SERVICE (AKS) BENCHMARK V1.7.0 PDF_updated_20250825_190647.json,Ensure that the --streaming-connection-idle-timeout argument is not set to 0,Manual (Verify),Manual,PARTIALLY_AGREE,7,MEDIUM,,- **Modify:** Develop an automated script using Azure CLI or PowerShell to check the `--streaming-connection-idle-timeout` setting. This script should be integrated into a CI/CD pipeline or a schedule
9.1.16__ensure-that-microsoft-defender-external-attack-surface-monitoring-(easm)-is-enabled,9.1.16,CIS_MICROSOFT_AZURE_FOUNDATIONS_BENCHMARK_V4.0.0_updated_20250825_190952.json,Ensure that Microsoft Defender External Attack Surface Monitoring (EASM) is enabled,Automated,Automated,Unknown,0,MEDIUM,azure_defender_easm_enabled,
2.4.4__ensure-'ftp-state'-is-set-to-'ftps-only'-or-'disabled',2.4.4,CIS_MICROSOFT_AZURE_COMPUTE_SERVICES_BENCHMARK_V2.0.0_updated_20250825_190920.json,Ensure 'FTP state' is set to 'FTPS only' or 'Disabled',Automated,Automated,AGREE,9,HIGH,azure_function_app_deployment_slot_ftps_state_verified,"- **Modify:** Simplify the program name for clarity and ensure error handling is included in the automation script.
- The overall approach and technical implementation are sound, so no reclassificatio"
2.2.8__ensure-'minimum-inbound-tls-version'-is-set-to-'1.2'-or-higher,2.2.8,,Ensure 'Minimum Inbound TLS Version' is set to '1.2' or higher,Automated,Automated,AGREE,8,HIGH,azure_app_service_tls_version_verified,"- Modify: Update the CLI command syntax to ensure accuracy and adherence to Azure CLI conventions. Consider renaming the program for specificity and clarity.
- The overall approach is sound, but minor"
4.6.3__the-default-namespace-should-not-be-used,4.6.3,CIS AZURE KUBERNETES SERVICE (AKS) BENCHMARK V1.7.0 PDF_updated_20250825_190647.json,The default namespace should not be used,Automated,Automated,AGREE,8,HIGH,azure_aks_namespace,"Modify  
- Modify the grep command to accurately filter out only system-managed resources in the default namespace. Consider using labels or annotations specific to system resources for filtering. Thi"
5.2.10__ensure-ssh-permituserenvironment-is-disabled,5.2.10,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json,Ensure SSH PermitUserEnvironment is disabled,Manual (Verify),Manual,PARTIALLY_AGREE,7,MEDIUM,,- **Re-classify:** The assessment should be re-classified as Automated. Implement Azure Policy to audit SSH configurations and use Azure Automation or Azure CLI/PowerShell scripts for scalable complia
3.2.8__ensure-that-the---rotate-certificates-argument-is-not-set-to-false,3.2.8,CIS AZURE KUBERNETES SERVICE (AKS) BENCHMARK V1.7.0 PDF_updated_20250825_190647.json,Ensure that the --rotate-certificates argument is not set to false,Manual (Under Review),Manual,DISAGREE,5,MEDIUM,,- **Re-classify:** The assessment should be re-classified to Automated. Implementing Azure CLI commands and Azure Policy can provide a more efficient and scalable solution for verifying and enforcing 
1.4.2__ensure-remote-login-warning-banner-is-configured-properly,1.4.2,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json,Ensure remote login warning banner is configured properly,Manual (Verify),Manual,PARTIALLY_AGREE,7,MEDIUM,,Modify
9.3.3__ensure-that-the-expiration-date-is-set-for-all-secrets-in-rbac-key-vaults,9.3.3,CIS_MICROSOFT_AZURE_FOUNDATIONS_BENCHMARK_V4.0.0_updated_20250825_190952.json,Ensure that the Expiration Date is set for all Secrets in RBAC Key Vaults,Automated,Automated,AGREE,8,HIGH,azure_keyvault_secrets_expiration_date_set,- **Modify:** Update the program name to `azure_keyvault_secret_expiration_check` for clarity. Include additional steps to verify that RBAC is enabled on the Key Vault as part of the audit process. Th
17.2.1__ensure-private-endpoints-are-used-to-access-storage-accounts,17.2.1,CIS_MICROSOFT_AZURE_STORAGE_SERVICES_BENCHMARK_V1.0.0_updated_20250825_191043.json,Ensure Private Endpoints are used to access Storage Accounts,Automated,Automated,AGREE,8,HIGH,azure_storage_account_private_endpoint_verified,"- Modify: Update the example CLI command to accurately reflect the filtering for ""Approved"" connection states. Consider adding PowerShell examples for completeness and ensure the audit checks for the "
9.4.1__ensure-an-azure-bastion-host-exists,9.4.1,CIS_MICROSOFT_AZURE_FOUNDATIONS_BENCHMARK_V4.0.0_updated_20250825_190952.json,Ensure an Azure Bastion Host Exists,Automated,Automated,Unknown,0,HIGH,azure_network_bastion_host_exists_verified,
3.1.1__ensure-that-azure-databricks-is-deployed-in-a-customer--managed-virtual-network-(vnet),3.1.1,CIS_MICROSOFT_AZURE_FOUNDATIONS_BENCHMARK_V4.0.0_updated_20250825_190952.json,Ensure that Azure Databricks is deployed in a customer- managed virtual network (VNet),Automated (Verify),Automated,PARTIALLY_AGREE,8,MEDIUM,azure_databricks_workspace_network_verified,Modify
9.1.15__ensure-that-'notify-about-attack-paths-with-the-following-risk-level-(or-higher)'-is-enabled,9.1.15,CIS_MICROSOFT_AZURE_FOUNDATIONS_BENCHMARK_V4.0.0_updated_20250825_190952.json,Ensure that 'Notify about attack paths with the following risk level (or higher)' is enabled,Automated,Automated,Unknown,0,HIGH,azure_defender_for_cloud_attack_paths_notifications_enabled,
9.1.5.1__ensure-that-microsoft-defender-for-storage-is-set-to-'on',9.1.5.1,CIS_MICROSOFT_AZURE_FOUNDATIONS_BENCHMARK_V4.0.0_updated_20250825_190952.json,Ensure That Microsoft Defender for Storage Is Set To 'On',Automated,Automated,AGREE,8,HIGH,azure_storage_defender_enabled,Modify
