control_id,title,program_name,technical_accuracy_score,confidence_level,source
8.8,Ensure that virtual network flow log retention days is set to greater than or equal to 90,azure_network_flow_logs_retention_days_verified,8,HIGH,CIS_MICROSOFT_AZURE_FOUNDATIONS_BENCHMARK_V4.0.0_updated_20250825_190952.json
5.5.2,Use Azure RBAC for Kubernetes Authorization,azure_aks_rbac_management_enabled,8,HIGH,CIS AZURE KUBERNETES SERVICE (AKS) BENCHMARK V1.7.0 PDF_updated_20250825_190647.json
2.1.17,Ensure private endpoints used to access App Service apps use private DNS zones,azure_app_service_private_endpoints_dns_configured,8,HIGH,"1. https://learn.microsoft.com/en-us/azure/app-service/overview-private- endpoint#dns 2. https://learn.microsoft.com/en-us/azure/private-link/private-endpoint-dns CIS Controls: Controls Version Control IG 1 IG 2 IG 3 v8 12.2 Establish and Maintain a Secure Network Architecture Establish and maintain a secure network architecture. A secure network architecture must address segmentation, least privilege, and availability, at a minimum. ● ● v7 14.1 Segment the Network Based on Sensitivity Segment the network based on the label or classification level of the information stored on the servers, locate all sensitive information on separated Virtual Local Area Networks (VLANs). ● ●"
6.6,Ensure that account 'Lockout threshold' is less than or equal to '10',azure_entra_password_protection_lockout_threshold_verified,0,MEDIUM,CIS_MICROSOFT_AZURE_FOUNDATIONS_BENCHMARK_V4.0.0_updated_20250825_190952.json
7.1.1.6,Ensure that logging for Azure AppService 'HTTP logs' is enabled,azure_appservice_http_logs_enabled,7,MEDIUM,CIS_MICROSOFT_AZURE_FOUNDATIONS_BENCHMARK_V4.0.0_updated_20250825_190952.json
5.4.3,Ensure clusters are created with Private Nodes,azure_aks_private_nodes_enabled,8,HIGH,CIS AZURE KUBERNETES SERVICE (AKS) BENCHMARK V1.7.0 PDF_updated_20250825_190647.json
2.1.14,Ensure public network access is disabled,azure_app_service_public_network_access_disabled,0,HIGH,CIS_MICROSOFT_AZURE_COMPUTE_SERVICES_BENCHMARK_V2.0.0_updated_20250825_190920.json
6.18,Ensure that 'Restrict user ability to access groups features in My Groups' is set to 'Yes',azure_enrollment_groups_restrict_user_access,6,MEDIUM,CIS_MICROSOFT_AZURE_FOUNDATIONS_BENCHMARK_V4.0.0_updated_20250825_190952.json
2.3,Ensure that 'Minimum TLS version' is set to TLS v1.2 (or higher),azure_cache_for_redis_minimum_tls_version_verified,9,HIGH,CIS_MICROSOFT_AZURE_DATABASE_SERVICES_BENCHMARK_V1.0.0_updated_20250825_190935.json
2.1.13,Ensure managed identities are configured,azure_app_service_managed_identity_enabled,9,HIGH,
8.6,Ensure that Network Watcher is 'Enabled' for Azure Regions that are in use,azure_network_network_watcher_enabled,8,HIGH,CIS_MICROSOFT_AZURE_FOUNDATIONS_BENCHMARK_V4.0.0_updated_20250825_190952.json
5.5.1,Manage Kubernetes RBAC users with Azure AD,azure_aks_rbac_azure_ad_configuration_verified,8,HIGH,CIS AZURE KUBERNETES SERVICE (AKS) BENCHMARK V1.7.0 PDF_updated_20250825_190647.json
2.3.4,Ensure 'FTP state' is set to 'FTPS only' or 'Disabled',azure_functionapp_ftp_state_ftps_only_disabled,9,HIGH,CIS_MICROSOFT_AZURE_COMPUTE_SERVICES_BENCHMARK_V2.0.0_updated_20250825_190920.json
2.4.2,Ensure 'Python version' is currently supported (if in use),azure_function_app_python_version_supported,8,MEDIUM,CIS_MICROSOFT_AZURE_COMPUTE_SERVICES_BENCHMARK_V2.0.0_updated_20250825_190920.json
17.1.6,Ensure Storage for Critical Data are Encrypted with Customer Managed Keys (CMK),azure_storage_account_customer_managed_keys_enabled,9,HIGH,CIS_MICROSOFT_AZURE_STORAGE_SERVICES_BENCHMARK_V1.0.0_updated_20250825_191043.json
2.4.14,Ensure configuration is routed through the virtual network integration,azure_appservice_configuration_virtual_network_routing_enabled,8,HIGH,CIS_MICROSOFT_AZURE_COMPUTE_SERVICES_BENCHMARK_V2.0.0_updated_20250825_190920.json
6.5,Ensure that 'Number of methods required to reset' is set to '2',azure_microsoft_entra_id_password_reset_auth_methods_required,7,MEDIUM,CIS_MICROSOFT_AZURE_FOUNDATIONS_BENCHMARK_V4.0.0_updated_20250825_190952.json
6.3.3,Ensure that use of the 'User Access Administrator' role is restricted,azure_role_assignment_user_access_admin_restricted,7,MEDIUM,CIS_MICROSOFT_AZURE_FOUNDATIONS_BENCHMARK_V4.0.0_updated_20250825_190952.json
2.2.16,Ensure all traffic is routed through the virtual network,azure_appservice_slot_vnet_routing_enabled,9,HIGH,CIS_MICROSOFT_AZURE_COMPUTE_SERVICES_BENCHMARK_V2.0.0_updated_20250825_190920.json
10.3.5,Ensure 'Allow Azure services on the trusted services list to access this storage account' is Enabled for Storage Account Access,azure_storage_account_trusted_services_enabled,9,HIGH,CIS_MICROSOFT_AZURE_FOUNDATIONS_BENCHMARK_V4.0.0_updated_20250825_190952.json
2.3.3,Ensure 'Basic Authentication Publishing Credentials' are 'Disabled',azure_app_service_basic_auth_disabled,8,HIGH,CIS_MICROSOFT_AZURE_COMPUTE_SERVICES_BENCHMARK_V2.0.0_updated_20250825_190920.json
7.2,Ensure Server Parameter 'log_checkpoints' is set to 'ON' for PostgreSQL Database Server,azure_postgresql_logging_log_checkpoints_enabled,0,HIGH,CIS_MICROSOFT_AZURE_DATABASE_SERVICES_BENCHMARK_V1.0.0_updated_20250825_190935.json
6.16,Ensure that 'Guest invite restrictions' is set to 'Only users assigned to specific admin roles can invite guest users',azure_enx_external_id_guest_invite_restrictions_set,9,HIGH,CIS_MICROSOFT_AZURE_FOUNDATIONS_BENCHMARK_V4.0.0_updated_20250825_190952.json
2.2.1.1,Ensure public network access is Disabled,azure_storage_account_public_network_access_disabled,8,HIGH,CIS_MICROSOFT_AZURE_FOUNDATIONS_BENCHMARK_V4.0.0_updated_20250825_190952.json
17.1.3,Ensure that Storage Account Access Keys are Periodically Regenerated,azure_storage_account_access_keys_rotated,8,HIGH,CIS_MICROSOFT_AZURE_STORAGE_SERVICES_BENCHMARK_V1.0.0_updated_20250825_191043.json
6.2.7,Ensure that multifactor authentication is required to access Microsoft Admin Portals,azure_enrollment_conditional_access_mfa_required,8,HIGH,1. https://learn.microsoft.com/en-us/security/benchmark/azure/mcsb-identity- management#im-7-restrict-resource-access-based-on--conditions 2. https://docs.microsoft.com/en-us/azure/active-directory/conditional- access/concept-conditional-access-users-groups 3. https://learn.microsoft.com/en-us/entra/identity/conditional-access/how-to-policy- mfa-admin-portals Additional Information: These policies should be tested by using the What If tool in the References. Setting these can and will create issues with administrators changing settings until they use an MFA device linked to their accounts. An emergency access account is recommended for this eventuality if all administrators are locked out. Please see the documentation in the references for further information. Similarly further testing can also be done via the insights and reporting resource in References which monitors Azure sign ins.
9.1.16,Ensure that Microsoft Defender External Attack Surface Monitoring (EASM) is enabled,azure_defender_easm_enabled,0,MEDIUM,CIS_MICROSOFT_AZURE_FOUNDATIONS_BENCHMARK_V4.0.0_updated_20250825_190952.json
2.4.4,Ensure 'FTP state' is set to 'FTPS only' or 'Disabled',azure_function_app_deployment_slot_ftps_state_verified,9,HIGH,CIS_MICROSOFT_AZURE_COMPUTE_SERVICES_BENCHMARK_V2.0.0_updated_20250825_190920.json
2.2.8,Ensure 'Minimum Inbound TLS Version' is set to '1.2' or higher,azure_app_service_tls_version_verified,8,HIGH,
4.6.3,The default namespace should not be used,azure_aks_namespace,8,HIGH,CIS AZURE KUBERNETES SERVICE (AKS) BENCHMARK V1.7.0 PDF_updated_20250825_190647.json
9.3.3,Ensure that the Expiration Date is set for all Secrets in RBAC Key Vaults,azure_keyvault_secrets_expiration_date_set,8,HIGH,CIS_MICROSOFT_AZURE_FOUNDATIONS_BENCHMARK_V4.0.0_updated_20250825_190952.json
17.2.1,Ensure Private Endpoints are used to access Storage Accounts,azure_storage_account_private_endpoint_verified,8,HIGH,CIS_MICROSOFT_AZURE_STORAGE_SERVICES_BENCHMARK_V1.0.0_updated_20250825_191043.json
9.4.1,Ensure an Azure Bastion Host Exists,azure_network_bastion_host_exists_verified,0,HIGH,CIS_MICROSOFT_AZURE_FOUNDATIONS_BENCHMARK_V4.0.0_updated_20250825_190952.json
3.1.1,Ensure that Azure Databricks is deployed in a customer- managed virtual network (VNet),azure_databricks_workspace_network_verified,8,MEDIUM,CIS_MICROSOFT_AZURE_FOUNDATIONS_BENCHMARK_V4.0.0_updated_20250825_190952.json
9.1.15,Ensure that 'Notify about attack paths with the following risk level (or higher)' is enabled,azure_defender_for_cloud_attack_paths_notifications_enabled,0,HIGH,CIS_MICROSOFT_AZURE_FOUNDATIONS_BENCHMARK_V4.0.0_updated_20250825_190952.json
9.1.5.1,Ensure That Microsoft Defender for Storage Is Set To 'On',azure_storage_defender_enabled,8,HIGH,CIS_MICROSOFT_AZURE_FOUNDATIONS_BENCHMARK_V4.0.0_updated_20250825_190952.json
2.1.2.1.1,Ensure Critical Data is Encrypted with Microsoft Managed Keys (MMK),azure_storage_account_encryption_microsoft_managed_keys_enabled,9,HIGH,CIS_MICROSOFT_AZURE_STORAGE_SERVICES_BENCHMARK_V1.0.0_updated_20250825_191043.json
10.3.2.1,Ensure Private Endpoints are used to access Storage Accounts,azure_storage_account_private_endpoint_used,9,HIGH,CIS_MICROSOFT_AZURE_FOUNDATIONS_BENCHMARK_V4.0.0_updated_20250825_190952.json
9.1.3.3,Ensure that 'Endpoint protection' component status is set to 'On',azure_defender_for_cloud_endpoint_protection_enabled,8,HIGH,CIS_MICROSOFT_AZURE_FOUNDATIONS_BENCHMARK_V4.0.0_updated_20250825_190952.json
6.15,Ensure that 'Guest users access restrictions' is set to 'Guest user access is restricted to properties and memberships of their own directory objects',azure_entra_user_guest_access_restriction_verified,6,MEDIUM,CIS_MICROSOFT_AZURE_FOUNDATIONS_BENCHMARK_V4.0.0_updated_20250825_190952.json
2.4.1,Ensure 'Java version' is currently supported (if in use),azure_appservice_java_version_supported_verified,8,MEDIUM,CIS_MICROSOFT_AZURE_COMPUTE_SERVICES_BENCHMARK_V2.0.0_updated_20250825_190920.json
6.14,Ensure that 'Users can register applications' is set to 'No',azure_enentra_id_application_registration_disabled,7,MEDIUM,CIS_MICROSOFT_AZURE_FOUNDATIONS_BENCHMARK_V4.0.0_updated_20250825_190952.json
2.8,Ensure App Service Environment has internal encryption enabled,azure_app_service_environment_internal_encryption_enabled,0,MEDIUM,CIS_MICROSOFT_AZURE_COMPUTE_SERVICES_BENCHMARK_V2.0.0_updated_20250825_190920.json
2.1.20,Ensure all traffic is routed through the virtual network,azure_appservice_traffic_routed_through_vnet,0,MEDIUM,CIS_MICROSOFT_AZURE_COMPUTE_SERVICES_BENCHMARK_V2.0.0_updated_20250825_190920.json
2.3.9,Ensure 'Remote debugging' is set to 'Off',azure_function_app_remote_debugging_disabled,9,HIGH,CIS_MICROSOFT_AZURE_COMPUTE_SERVICES_BENCHMARK_V2.0.0_updated_20250825_190920.json
7.8,Ensure 'Infrastructure double encryption' for PostgreSQL Database Server is 'Enabled' (Single Server Only),azure_postgresql_server_infrastructure_encryption_enabled,0,HIGH,CIS_MICROSOFT_AZURE_DATABASE_SERVICES_BENCHMARK_V1.0.0_updated_20250825_190935.json
2.2.7,Ensure 'HTTPS Only' is set to 'On',azure_app_service_https_only_enabled,9,HIGH,
2.3.7,Ensure 'Minimum Inbound TLS Version' is set to '1.2' or higher,azure_functionapp_tls_minimum_version_configured,9,HIGH,CIS_MICROSOFT_AZURE_COMPUTE_SERVICES_BENCHMARK_V2.0.0_updated_20250825_190920.json
2.7,Ensure App Service Environment is provisioned with v3 or higher,azure_app_service_environment_version_verified,9,HIGH,CIS_MICROSOFT_AZURE_COMPUTE_SERVICES_BENCHMARK_V2.0.0_updated_20250825_190920.json
2.10,Ensure App Service Environment has TLS cipher suite ordering configured,azure_app_service_environment_tls_cipher_suite_ordering_configured,8,HIGH,CIS_MICROSOFT_AZURE_COMPUTE_SERVICES_BENCHMARK_V2.0.0_updated_20250825_190920.json
10.2,Ensure no Azure SQL Databases allow ingress from 0.0.0.0/0 (ANY IP),azure_sql_database_firewall_rules_verified,9,HIGH,CIS_MICROSOFT_AZURE_DATABASE_SERVICES_BENCHMARK_V1.0.0_updated_20250825_190935.json
7.1.4,Ensure that Azure Monitor Resource Logging is Enabled for All Services that Support it,azure_monitor_resource_logging_enabled,8,HIGH,CIS_MICROSOFT_AZURE_FOUNDATIONS_BENCHMARK_V4.0.0_updated_20250825_190952.json
2.2.17,Ensure cross-origin resource sharing does not allow all origins,azure_app_service_cors_allowed_origins_configured,8,HIGH,
10.3,Ensure SQL server's Transparent Data Encryption (TDE) protector is encrypted with Customer-managed key,azure_sql_server_tde_protector_customer_managed_key_verified,8,HIGH,CIS_MICROSOFT_AZURE_DATABASE_SERVICES_BENCHMARK_V1.0.0_updated_20250825_190935.json
4.6.2,Apply Security Context to Your Pods and Containers,azure_aks_security_context_applied,8,HIGH,CIS AZURE KUBERNETES SERVICE (AKS) BENCHMARK V1.7.0 PDF_updated_20250825_190647.json
9.3.9,Ensure automatic key rotation is enabled within Azure Key Vault,azure_keyvault_keys_rotation_enabled,9,HIGH,CIS_MICROSOFT_AZURE_FOUNDATIONS_BENCHMARK_V4.0.0_updated_20250825_190952.json
2.1.18,Ensure app is integrated with a virtual network,azure_app_service_vnet_integration_configured,8,HIGH,CIS_MICROSOFT_AZURE_COMPUTE_SERVICES_BENCHMARK_V2.0.0_updated_20250825_190920.json
6.2.4,Ensure that a multifactor authentication policy exists for all users,azure_entra_conditional_access_mfa_policy_enabled,8,HIGH,1. https://docs.microsoft.com/en-us/azure/active-directory/conditional- access/howto-conditional-access-policy-all-users-mfa 2. https://docs.microsoft.com/en-us/azure/active-directory/conditional- access/troubleshoot-conditional-access-what-if 3. https://docs.microsoft.com/en-us/azure/active-directory/conditional- access/howto-conditional-access-insights-reporting 4. https://learn.microsoft.com/en-us/security/benchmark/azure/mcsb-identity- management#im-7-restrict-resource-access-based-on--conditions Additional Information: These policies should be tested by using the What If tool in the References. Setting these can and will create issues with logging in for users until they use an MFA device linked to their accounts. Further testing can also be done via the insights and reporting resource in the References which monitors Azure sign ins.
2.2.15,Ensure configuration is routed through the virtual network integration,azure_webapp_configuration_routed_through_vnet,8,HIGH,CIS_MICROSOFT_AZURE_COMPUTE_SERVICES_BENCHMARK_V2.0.0_updated_20250825_190920.json
10.1.2,Ensure 'SMB protocol version' is set to 'SMB 3.1.1' or higher for SMB file shares,azure_storage_file_share_smb_protocol_version_verified,8,HIGH,CIS_MICROSOFT_AZURE_FOUNDATIONS_BENCHMARK_V4.0.0_updated_20250825_190952.json
7.1.2.7,Ensure that Activity Log Alert exists for Create or Update SQL Server Firewall Rule,azure_sql_firewall_rule_activity_log_alert_exists,8,HIGH,CIS_MICROSOFT_AZURE_FOUNDATIONS_BENCHMARK_V4.0.0_updated_20250825_190952.json
7.1.1.4,Ensure that logging for Azure Key Vault is 'Enabled',azure_keyvault_logging_enabled,0,HIGH,CIS_MICROSOFT_AZURE_FOUNDATIONS_BENCHMARK_V4.0.0_updated_20250825_190952.json
7.1.1.7,Ensure that virtual network flow logs are captured and sent to Log Analytics,azure_network_virtual_network_flow_logs_enabled,8,HIGH,"1. https://learn.microsoft.com/en-us/azure/network-watcher/vnet-flow-logs-overview 2. https://learn.microsoft.com/en-us/azure/network-watcher/vnet-flow-logs-cli Additional Information: On September 30, 2027, NSG flow logs will be retired, and creating new NSG flow logs will no longer be possible after June 30, 2025. Azure recommends migrating to virtual network flow logs, which address NSG flow log limitations. After retirement, traffic analytics using NSG flow logs will no longer be supported, and existing NSG flow log resources will be deleted. Previously collected NSG flow log records will remain available per their retention policies. For details, see the official announcement: https://azure.microsoft.com/en-gb/updates?id=Azure-NSG-flow-logs-Retirement."
5.4.4,Ensure Network Policy is Enabled and set as appropriate,azure_aks_network_policy_configured,0,HIGH,CIS AZURE KUBERNETES SERVICE (AKS) BENCHMARK V1.7.0 PDF_updated_20250825_190647.json
7.1.1.8,Ensure that a Microsoft Entra diagnostic setting exists to send Microsoft Graph activity logs to an appropriate destination,azure_entra_diagnostic_setting_graph_activity_logs_enabled,8,HIGH,1. https://learn.microsoft.com/en-us/entra/identity/monitoring-health/howto- configure-diagnostic-settings 2. https://learn.microsoft.com/en-us/graph/microsoft-graph-activity-logs-overview 3. https://learn.microsoft.com/en-us/azure/azure-monitor/logs/cost-logs#pricing- model 4. https://azure.microsoft.com/en-gb/pricing/details/storage/blobs/ 5. https://azure.microsoft.com/en-gb/pricing/details/event-hubs/
2.1.7,Ensure 'HTTPS Only' is set to 'On',azure_appservice_https_only_enabled,0,HIGH,CIS_MICROSOFT_AZURE_COMPUTE_SERVICES_BENCHMARK_V2.0.0_updated_20250825_190920.json
15.2,Ensure customer-managed keys (CMK) are used to encrypt data at rest on Azure Elastic SAN volume groups,azure_elastic_san_volume_group_cmk_encryption_enabled,8,HIGH,CIS_MICROSOFT_AZURE_STORAGE_SERVICES_BENCHMARK_V1.0.0_updated_20250825_191043.json
2.2.3,Ensure 'PHP version' is currently supported (if in use),azure_app_service_php_version_supported,8,HIGH,CIS_MICROSOFT_AZURE_COMPUTE_SERVICES_BENCHMARK_V2.0.0_updated_20250825_190920.json
10.3.12,Ensure Redundancy is set to 'geo-redundant storage (GRS)' on critical Azure Storage Accounts,azure_storage_account_redundancy_grs_enabled,9,HIGH,CIS_MICROSOFT_AZURE_FOUNDATIONS_BENCHMARK_V4.0.0_updated_20250825_190952.json
2.1.11,Ensure incoming client certificates are enabled and required (if in use),azure_appservice_incoming_client_certificates_enabled_required,9,HIGH,CIS_MICROSOFT_AZURE_COMPUTE_SERVICES_BENCHMARK_V2.0.0_updated_20250825_190920.json
3.2,Ensure That Private Endpoints Are Used Where Possible,azure_cosmosdb_private_link_enabled,8,HIGH,CIS_MICROSOFT_AZURE_DATABASE_SERVICES_BENCHMARK_V1.0.0_updated_20250825_190935.json
6.3.2,Ensure that guest users are reviewed on a regular basis,azure_entra_id_guest_user_review_enabled,7,MEDIUM,CIS_MICROSOFT_AZURE_FOUNDATIONS_BENCHMARK_V4.0.0_updated_20250825_190952.json
7.1.2.2,Ensure that Activity Log Alert exists for Delete Policy Assignment,azure_monitor_activity_log_alerts_delete_policy_assigned_enabled,9,HIGH,CIS_MICROSOFT_AZURE_FOUNDATIONS_BENCHMARK_V4.0.0_updated_20250825_190952.json
9.3.6,Ensure that Role Based Access Control for Azure Key Vault is enabled,azure_keyvault_rbac_enabled,0,HIGH,CIS_MICROSOFT_AZURE_FOUNDATIONS_BENCHMARK_V4.0.0_updated_20250825_190952.json
7.1.2.10,Ensure that Activity Log Alert exists for Delete Public IP Address rule,azure_monitor_activity_log_alert_enabled,8,HIGH,CIS_MICROSOFT_AZURE_FOUNDATIONS_BENCHMARK_V4.0.0_updated_20250825_190952.json
11.6,Ensure locked immutability policies are used for containers storing business-critical blob data,azure_storage_container_immutability_policy_locked_verified,8,HIGH,CIS_MICROSOFT_AZURE_STORAGE_SERVICES_BENCHMARK_V1.0.0_updated_20250825_191043.json
17.16,Ensure Redundancy is set to 'geo-redundant storage (GRS)' on critical Azure Storage Accounts,azure_storage_account_redundancy_geo_redundant_enabled,9,HIGH,CIS_MICROSOFT_AZURE_STORAGE_SERVICES_BENCHMARK_V1.0.0_updated_20250825_191043.json
10.3.1.2,Ensure that Storage Account access keys are periodically regenerated,azure_storage_account_access_keys_rotated,8,HIGH,CIS_MICROSOFT_AZURE_FOUNDATIONS_BENCHMARK_V4.0.0_updated_20250825_190952.json
2.1.3,Ensure 'PHP version' is currently supported (if in use),azure_app_service_php_version_verified,8,HIGH,CIS_MICROSOFT_AZURE_COMPUTE_SERVICES_BENCHMARK_V2.0.0_updated_20250825_190920.json
5.1.2,Minimize user access to Azure Container Registry (ACR),azure_acr_user_access_minimized,8,HIGH,1. https://docs.microsoft.com/security/benchmark/azure/security-controls-v2- privileged-access#pa-7-follow-just-enough-administration-least-privilege-principle
10.1.3,Ensure 'SMB channel encryption' is set to 'AES-256-GCM' or higher for SMB file shares,azure_storage_account_smb_channel_encryption_verified,0,HIGH,CIS_MICROSOFT_AZURE_FOUNDATIONS_BENCHMARK_V4.0.0_updated_20250825_190952.json
2.4.7,Ensure 'Minimum Inbound TLS Version' is set to '1.2' or higher,azure_functionapp_deploymentslot_minimum_tls_version_configured,8,HIGH,CIS_MICROSOFT_AZURE_COMPUTE_SERVICES_BENCHMARK_V2.0.0_updated_20250825_190920.json
20.10,Ensure Trusted Launch is enabled on Virtual Machines,azure_vm_trusted_launch_enabled,9,HIGH,CIS_MICROSOFT_AZURE_COMPUTE_SERVICES_BENCHMARK_V2.0.0_updated_20250825_190920.json
15.5,Ensure public network access is disabled for Batch accounts,azure_batch_account_public_network_access_disabled,9,HIGH,CIS_MICROSOFT_AZURE_COMPUTE_SERVICES_BENCHMARK_V2.0.0_updated_20250825_190920.json
12.1,Ensure double encryption is used for Azure Data Box in high-security environments,azure_databox_jobs_double_encryption_enabled,8,HIGH,CIS_MICROSOFT_AZURE_STORAGE_SERVICES_BENCHMARK_V1.0.0_updated_20250825_191043.json
2.3.16,Ensure all traffic is routed through the virtual network,azure_function_app_vnet_traffic_routing_enabled,9,HIGH,CIS_MICROSOFT_AZURE_COMPUTE_SERVICES_BENCHMARK_V2.0.0_updated_20250825_190920.json
2.3.1,Ensure 'Java version' is currently supported (if in use),azure_functionapp_java_version_supported,0,HIGH,CIS_MICROSOFT_AZURE_COMPUTE_SERVICES_BENCHMARK_V2.0.0_updated_20250825_190920.json
row_182_untitled,,azure_aks_security_settings_verified,0,MEDIUM,CIS_AZURE_KUBERNETES_SERVICE_(AKS)_BENCHMARK_V1.5.0_PDF_updated_20250825_190857.json
10.2.2,Ensure 'Versioning' is set to 'Enabled' on Azure Blob Storage storage accounts,azure_storage_account_blob_versioning_enabled,8,HIGH,CIS_MICROSOFT_AZURE_FOUNDATIONS_BENCHMARK_V4.0.0_updated_20250825_190952.json
2.4.16,Ensure cross-origin resource sharing does not allow all origins,azure_app_service_cors_restrictions_configured,9,HIGH,CIS_MICROSOFT_AZURE_COMPUTE_SERVICES_BENCHMARK_V2.0.0_updated_20250825_190920.json
6.2.2,Ensure that an exclusionary geographic Conditional Access policy is considered,azure_entra_conditional_access_policy_exclusionary_geographic_ensured,8,MEDIUM,CIS_MICROSOFT_AZURE_FOUNDATIONS_BENCHMARK_V4.0.0_updated_20250825_190952.json
7.1.2.4,Ensure that Activity Log Alert exists for Delete Network Security Group,azure_monitor_activity_log_alert_enabled,8,HIGH,CIS_MICROSOFT_AZURE_FOUNDATIONS_BENCHMARK_V4.0.0_updated_20250825_190952.json
2.2.5,Ensure 'FTP state' is set to 'FTPS only' or 'Disabled',azure_app_service_ftp_state_verified,8,HIGH,
2.2.2,Ensure 'Python version' is currently supported (if in use),azure_app_service_python_version_verified,9,HIGH,CIS_MICROSOFT_AZURE_COMPUTE_SERVICES_BENCHMARK_V2.0.0_updated_20250825_190920.json
11.5,Ensure 'Versioning' is set to 'Enabled' on Azure Blob Storage storage accounts,azure_storage_blob_versioning_enabled,9,HIGH,CIS_MICROSOFT_AZURE_STORAGE_SERVICES_BENCHMARK_V1.0.0_updated_20250825_191043.json
2.3.17,Ensure cross-origin resource sharing does not allow all origins,azure_functionapp_cors_allowed_origins_restricted,0,HIGH,CIS_MICROSOFT_AZURE_COMPUTE_SERVICES_BENCHMARK_V2.0.0_updated_20250825_190920.json
2.2.6,Ensure 'HTTP version' is set to '2.0' (if in use),azure_app_service_http_version_set,8,HIGH,
2.1.21,Ensure cross-origin resource sharing does not allow all origins,azure_app_service_cors_allowed_origins_verified,9,HIGH,"1. https://learn.microsoft.com/en-gb/azure/app-service/app-service-web-tutorial- rest-api 2. https://learn.microsoft.com/en-us/cli/azure/webapp/cors 3. https://cheatsheetseries.owasp.org/cheatsheets/HTTP_Headers_Cheat_Sheet.ht ml 4. https://developer.mozilla.org/en-US/docs/Web/HTTP/Guides/CORS 5. https://cheatsheetseries.owasp.org/cheatsheets/Cross- Site_Request_Forgery_Prevention_Cheat_Sheet.html CIS Controls: Controls Version Control IG 1 IG 2 IG 3 v8 16.1 Establish and Maintain a Secure Application Development Process Establish and maintain a secure application development process. In the process, address such items as: secure application design standards, secure coding practices, developer training, vulnerability management, security of third-party code, and application security testing procedures. Review and update documentation annually, or when significant enterprise changes occur that could impact this Safeguard. ● ● v7 18.1 Establish Secure Coding Practices Establish secure coding practices appropriate to the programming language and development environment being used. ● ●  2.2 App Service Deployment Slots"
20.9,Ensure only MFA enabled identities can access privileged Virtual Machine,azure_vm_mfa_access_enabled,6,MEDIUM,CIS_MICROSOFT_AZURE_COMPUTE_SERVICES_BENCHMARK_V2.0.0_updated_20250825_190920.json
9.3.2,Ensure that the Expiration Date is set for all Keys in Non- RBAC Key Vaults.,azure_keyvault_keys_expiration_date_set,8,HIGH,CIS_MICROSOFT_AZURE_FOUNDATIONS_BENCHMARK_V4.0.0_updated_20250825_190952.json
6.1.2,Ensure that 'multifactor authentication' is 'enabled' for all users,azure_encryption_users_mfa_enabled,8,HIGH,1. https://docs.microsoft.com/en-us/azure/multi-factor-authentication/multi-factor- authentication 2. https://learn.microsoft.com/en-us/entra/identity/authentication/concept- mandatory-multifactor-authentication 3. https://azure.microsoft.com/en-us/blog/announcing-mandatory-multi-factor- authentication-for-azure-sign-in/ 4. https://learn.microsoft.com/en-us/security/benchmark/azure/mcsb-identity- management#im-4-authenticate-server-and-services
