program_name,provider,service,short_description
systemsmanager_media_protection_automation,AWS,ssm,AWS ssm programmable compliance check
systemsmanager_planning_automation,AWS,ssm,AWS ssm programmable compliance check
servicecatalog_portfolio_shared_within_organization_only,AWS,servicecatalog,AWS servicecatalog programmable compliance check
secrets_manager_external_secrets_storage_check,AWS,secretsmanager,AWS secretsmanager programmable compliance check
secretsmanager_automatic_rotation_enabled,AWS,secretsmanager,AWS secretsmanager programmable compliance check
secretsmanager_not_publicly_accessible,AWS,secretsmanager,AWS secretsmanager programmable compliance check
secretsmanager_secret_encryption_check,AWS,secretsmanager,AWS secretsmanager programmable compliance check
secretsmanager_automatic_rotation_enabled,AWS,secretsmanager,AWS secretsmanager programmable compliance check
secretsmanager_secret_unused,AWS,secretsmanager,AWS secretsmanager programmable compliance check
encryption_settings_audit,AWS,kms,AWS kms programmable compliance check
kms_cmk_are_used,AWS,kms,AWS kms programmable compliance check
kms_cmk_not_deleted_unintentionally,AWS,kms,AWS kms programmable compliance check
kms_cmk_not_multi_region,AWS,kms,AWS kms programmable compliance check
kms_cmk_rotation_enabled,AWS,kms,AWS kms programmable compliance check
kms_cmk_rotation_enabled,AWS,kms,AWS kms programmable compliance check
kms_key_cryptoperiod_management_check,AWS,kms,AWS kms programmable compliance check
kms_key_custodian_acknowledgment_check,AWS,kms,AWS kms programmable compliance check
kms_key_generation_strong_algorithms_check,AWS,kms,AWS kms programmable compliance check
kms_key_not_publicly_accessible,AWS,kms,AWS kms programmable compliance check
kms_key_retirement_and_replacement_check,AWS,kms,AWS kms programmable compliance check
kms_key_secure_distribution_check,AWS,kms,AWS kms programmable compliance check
kms_key_secure_storage_check,AWS,kms,AWS kms programmable compliance check
kms_key_sharing_guidance_check,AWS,kms,AWS kms programmable compliance check
kms_key_split_knowledge_dual_control_check,AWS,kms,AWS kms programmable compliance check
kms_key_unauthorized_substitution_prevention_check,AWS,kms,AWS kms programmable compliance check
kms_keyed_hashing_for_pan_check,AWS,kms,AWS kms programmable compliance check
timestream_key_management_check,AWS,kms,AWS kms programmable compliance check
encryption_settings_audit,AWS,kms,AWS kms manual compliance check
eventbridge_bus_cross_account_access,AWS,eventbridge,AWS eventbridge programmable compliance check
eventbridge_bus_exposed,AWS,eventbridge,AWS eventbridge programmable compliance check
eventbridge_global_endpoint_event_replication_enabled,AWS,eventbridge,AWS eventbridge programmable compliance check
eventbridge_schema_registry_cross_account_access,AWS,eventbridge,AWS eventbridge programmable compliance check
cloudwatch_alarm_actions_alarm_state_configured,AWS,cloudwatch,AWS cloudwatch programmable compliance check
cloudwatch_alarm_actions_enabled,AWS,cloudwatch,AWS cloudwatch programmable compliance check
cloudwatch_alarm_all_services_alarm_configured,AWS,cloudwatch,AWS cloudwatch programmable compliance check
cloudwatch_alarm_for_audit_logging_failures,AWS,cloudwatch,AWS cloudwatch programmable compliance check
cloudwatch_alarm_for_aws_organizations_changes,AWS,cloudwatch,AWS cloudwatch programmable compliance check
cloudwatch_alarm_for_critical_security_control_failures,AWS,cloudwatch,AWS cloudwatch programmable compliance check
cloudwatch_alarm_for_qldb,AWS,cloudwatch,AWS cloudwatch programmable compliance check
cloudwatch_alarm_for_resource_threshold,AWS,cloudwatch,AWS cloudwatch programmable compliance check
cloudwatch_alarm_for_root_account_usage,AWS,cloudwatch,AWS cloudwatch programmable compliance check
cloudwatch_alarm_for_security_control_failures,AWS,cloudwatch,AWS cloudwatch programmable compliance check
cloudwatch_alarm_for_security_failure_response,AWS,cloudwatch,AWS cloudwatch programmable compliance check
cloudwatch_alarm_for_unusual_events,AWS,cloudwatch,AWS cloudwatch programmable compliance check
cloudwatch_changes_to_network_acls_alarm_configured,AWS,cloudwatch,AWS cloudwatch programmable compliance check
cloudwatch_changes_to_network_gateways_alarm_configured,AWS,cloudwatch,AWS cloudwatch programmable compliance check
cloudwatch_changes_to_network_route_tables_alarm_configured,AWS,cloudwatch,AWS cloudwatch programmable compliance check
cloudwatch_changes_to_vpcs_alarm_configured,AWS,cloudwatch,AWS cloudwatch programmable compliance check
cloudwatch_continuous_monitoring_strategy_check,AWS,cloudwatch,AWS cloudwatch programmable compliance check
cloudwatch_cross_account_sharing_disabled,AWS,cloudwatch,AWS cloudwatch programmable compliance check
cloudwatch_ec2_ebs_activity_monitoring_check,AWS,cloudwatch,AWS cloudwatch programmable compliance check
cloudwatch_ec2_ebs_alarm_configuration_check,AWS,cloudwatch,AWS cloudwatch programmable compliance check
cloudwatch_edr_metrics_anomaly_detection,AWS,cloudwatch,AWS cloudwatch programmable compliance check
cloudwatch_edr_metrics_detailed_logging_enabled,AWS,cloudwatch,AWS cloudwatch programmable compliance check
cloudwatch_edr_metrics_monitoring_enabled,AWS,cloudwatch,AWS cloudwatch programmable compliance check
cloudwatch_file_integrity_monitoring_configured,AWS,cloudwatch,AWS cloudwatch programmable compliance check
cloudwatch_incident_response_plan_update_check,AWS,cloudwatch,AWS cloudwatch programmable compliance check
cloudwatch_intrusion_detection_alerts_configured,AWS,cloudwatch,AWS cloudwatch programmable compliance check
cloudwatch_log_automation_check,AWS,cloudwatch,AWS cloudwatch programmable compliance check
cloudwatch_log_group_all_services_logging_enabled,AWS,cloudwatch,AWS cloudwatch programmable compliance check
cloudwatch_log_group_anomaly_detection_enabled,AWS,cloudwatch,AWS cloudwatch programmable compliance check
cloudwatch_log_group_immediate_availability_check,AWS,cloudwatch,AWS cloudwatch programmable compliance check
cloudwatch_log_group_integrity_check,AWS,cloudwatch,AWS cloudwatch programmable compliance check
cloudwatch_log_group_kms_encryption_enabled,AWS,cloudwatch,AWS cloudwatch programmable compliance check
cloudwatch_log_group_no_secrets_in_logs,AWS,cloudwatch,AWS cloudwatch programmable compliance check
cloudwatch_log_group_not_publicly_accessible,AWS,cloudwatch,AWS cloudwatch programmable compliance check
cloudwatch_log_group_physical_access_monitoring_enabled,AWS,cloudwatch,AWS cloudwatch programmable compliance check
cloudwatch_log_retention_policy_configured,AWS,cloudwatch,AWS cloudwatch programmable compliance check
cloudwatch_log_retention_policy_configured,AWS,cloudwatch,AWS cloudwatch programmable compliance check
cloudwatch_log_group_storage_capacity_check,AWS,cloudwatch,AWS cloudwatch programmable compliance check
cloudwatch_aws_config_changes_alarm_enabled,AWS,cloudwatch,AWS cloudwatch programmable compliance check
cloudwatch_aws_config_changes_alarm_enabled,AWS,cloudwatch,AWS cloudwatch programmable compliance check
cloudwatch_cloudtrail_config_changes_alarm_enabled,AWS,cloudwatch,AWS cloudwatch programmable compliance check
cloudwatch_cloudtrail_config_changes_alarm_enabled,AWS,cloudwatch,AWS cloudwatch programmable compliance check
cloudwatch_log_metric_filter_authentication_failures,AWS,cloudwatch,AWS cloudwatch programmable compliance check
cloudwatch_log_metric_filter_aws_organizations_changes,AWS,cloudwatch,AWS cloudwatch programmable compliance check
cloudwatch_log_metric_filter_disable_or_scheduled_deletion_of_kms_cmk,AWS,cloudwatch,AWS cloudwatch programmable compliance check
cloudwatch_log_metric_filter_for_s3_bucket_policy_changes,AWS,cloudwatch,AWS cloudwatch programmable compliance check
cloudwatch_log_metric_filter_policy_changes,AWS,cloudwatch,AWS cloudwatch programmable compliance check
cloudwatch_log_metric_filter_root_usage,AWS,cloudwatch,AWS cloudwatch programmable compliance check
cloudwatch_log_metric_filter_security_group_changes,AWS,cloudwatch,AWS cloudwatch programmable compliance check
cloudwatch_log_metric_filter_sign_in_without_mfa,AWS,cloudwatch,AWS cloudwatch programmable compliance check
cloudwatch_log_metric_filter_time_changes,AWS,cloudwatch,AWS cloudwatch programmable compliance check
cloudwatch_log_metric_filter_unauthorized_api_calls,AWS,cloudwatch,AWS cloudwatch programmable compliance check
cloudwatch_log_pan_masking_check,AWS,cloudwatch,AWS cloudwatch programmable compliance check
cloudwatch_malware_communication_detection_configured,AWS,cloudwatch,AWS cloudwatch programmable compliance check
cloudwatch_security_group_changes_alarm_configured,AWS,cloudwatch,AWS cloudwatch programmable compliance check
cloudwatch_maintenance_sla_monitoring,AWS,cloudwatch,AWS cloudwatch programmable compliance check
cloudwatch_timestream_events_monitoring_enabled,AWS,cloudwatch,AWS cloudwatch programmable compliance check
cloudwatch_timestream_logs_monitoring_enabled,AWS,cloudwatch,AWS cloudwatch programmable compliance check
cloudwatch_timestream_metrics_monitoring_enabled,AWS,cloudwatch,AWS cloudwatch programmable compliance check
cloudwatch_vpc_changes_metric_filter_and_alarm,AWS,cloudwatch,AWS cloudwatch programmable compliance check
cloudwatch_iam_policy_change_alarm_enabled,AWS,cloudwatch,AWS cloudwatch programmable compliance check
cloudwatch_iam_policy_change_alarm_enabled,AWS,cloudwatch,AWS cloudwatch programmable compliance check
memorydb_cluster_alerting_enabled,AWS,cloudwatch,AWS cloudwatch programmable compliance check
qldb_monitor_logs_for_errors,AWS,cloudwatch,AWS cloudwatch programmable compliance check
qldb_monitor_logs_for_suspicious_activity,AWS,cloudwatch,AWS cloudwatch programmable compliance check
cloudwatch_system_monitoring_comprehensive,AWS,cloudwatch,AWS cloudwatch programmable compliance check
cloudwatch_traffic_analysis_automated,AWS,cloudwatch,AWS cloudwatch programmable compliance check
cloudwatch_incident_communication_automation,AWS,cloudwatch,AWS cloudwatch programmable compliance check
cloudwatch_edr_metrics_regular_review,AWS,cloudwatch,AWS cloudwatch manual compliance check
cloudwatch_log_group_daily_review_check,AWS,cloudwatch,AWS cloudwatch manual compliance check
cloudwatch_log_group_periodic_review_check,AWS,cloudwatch,AWS cloudwatch manual compliance check
cloudwatch_log_group_review_frequency_check,AWS,cloudwatch,AWS cloudwatch manual compliance check
cloudwatch_log_review_frequency_check,AWS,cloudwatch,AWS cloudwatch manual compliance check
glue_data_catalogs_connection_passwords_encryption_enabled,AWS,glue,AWS glue programmable compliance check
glue_data_catalogs_metadata_encryption_enabled,AWS,glue,AWS glue programmable compliance check
glue_data_catalogs_not_publicly_accessible,AWS,glue,AWS glue programmable compliance check
glue_database_connections_ssl_enabled,AWS,glue,AWS glue programmable compliance check
glue_development_endpoints_cloudwatch_logs_encryption_enabled,AWS,glue,AWS glue programmable compliance check
glue_development_endpoints_job_bookmark_encryption_enabled,AWS,glue,AWS glue programmable compliance check
glue_development_endpoints_s3_encryption_enabled,AWS,glue,AWS glue programmable compliance check
glue_etl_jobs_amazon_s3_encryption_enabled,AWS,glue,AWS glue programmable compliance check
glue_etl_jobs_cloudwatch_logs_encryption_enabled,AWS,glue,AWS glue programmable compliance check
glue_etl_jobs_job_bookmark_encryption_enabled,AWS,glue,AWS glue programmable compliance check
glue_etl_jobs_logging_enabled,AWS,glue,AWS glue programmable compliance check
glue_ml_transform_encrypted_at_rest,AWS,glue,AWS glue programmable compliance check
s3_account_level_public_access_blocks,AWS,s3,AWS s3 programmable compliance check
s3_account_level_public_access_blocks,AWS,s3,AWS s3 programmable compliance check
s3_bucket_audit_logging_enabled,AWS,s3,AWS s3 programmable compliance check
s3_bucket_acl_prohibited,AWS,s3,AWS s3 programmable compliance check
s3_bucket_backup_enabled,AWS,s3,AWS s3 programmable compliance check
s3_bucket_cache_export_check,AWS,s3,AWS s3 programmable compliance check
s3_bucket_cardholder_data_inventory_check,AWS,s3,AWS s3 programmable compliance check
s3_bucket_change_detection_enabled,AWS,s3,AWS s3 programmable compliance check
s3_bucket_cross_account_access,AWS,s3,AWS s3 programmable compliance check
s3_bucket_cross_region_replication,AWS,s3,AWS s3 programmable compliance check
s3_bucket_data_discovery,AWS,s3,AWS s3 programmable compliance check
s3_data_in_transit_encryption_check,AWS,s3,AWS s3 programmable compliance check
s3_bucket_data_retention_policy_check,AWS,s3,AWS s3 programmable compliance check
s3_bucket_data_security,AWS,s3,AWS s3 programmable compliance check
s3_bucket_encryption_at_rest_enabled,AWS,s3,AWS s3 programmable compliance check
s3_bucket_direct_upload_check,AWS,s3,AWS s3 programmable compliance check
s3_bucket_encryption_at_rest_enabled,AWS,s3,AWS s3 programmable compliance check
s3_bucket_event_notifications_enabled,AWS,s3,AWS s3 programmable compliance check
s3_bucket_exists_for_fsx,AWS,s3,AWS s3 programmable compliance check
s3_bucket_inventory_check,AWS,s3,AWS s3 programmable compliance check
s3_bucket_lifecycle_enabled,AWS,s3,AWS s3 programmable compliance check
s3_bucket_lifecycle_enabled,AWS,s3,AWS s3 programmable compliance check
s3_bucket_lifecycle_policy_for_log_backup,AWS,s3,AWS s3 programmable compliance check
s3_bucket_no_card_verification_code_storage,AWS,s3,AWS s3 programmable compliance check
s3_bucket_no_mfa_delete,AWS,s3,AWS s3 programmable compliance check
s3_bucket_no_pin_storage,AWS,s3,AWS s3 programmable compliance check
s3_bucket_object_lock,AWS,s3,AWS s3 programmable compliance check
s3_bucket_versioning_enabled,AWS,s3,AWS s3 programmable compliance check
s3_bucket_pan_detection_enabled,AWS,s3,AWS s3 programmable compliance check
s3_bucket_secure_transport_policy,AWS,s3,AWS s3 programmable compliance check
s3_bucket_policy_granularity_check,AWS,s3,AWS s3 programmable compliance check
s3_bucket_policy_public_write_access,AWS,s3,AWS s3 programmable compliance check
s3_bucket_public_list_acl,AWS,s3,AWS s3 programmable compliance check
s3_bucket_public_write_acl,AWS,s3,AWS s3 programmable compliance check
s3_bucket_sad_storage_check,AWS,s3,AWS s3 programmable compliance check
s3_bucket_secure_ports_check,AWS,s3,AWS s3 programmable compliance check
s3_bucket_secure_transport_policy,AWS,s3,AWS s3 programmable compliance check
s3_bucket_sharing_mechanism_check,AWS,s3,AWS s3 programmable compliance check
s3_bucket_sharing_mechanism_check,AWS,s3,AWS s3 programmable compliance check
s3_bucket_storage_class_configured,AWS,s3,AWS s3 programmable compliance check
s3_bucket_unique_check,AWS,s3,AWS s3 programmable compliance check
s3_bucket_versioning_enabled,AWS,s3,AWS s3 programmable compliance check
s3_data_in_transit_encryption_check,AWS,s3,AWS s3 programmable compliance check
s3_object_metadata_security_attributes_check,AWS,s3,AWS s3 programmable compliance check
s3_bucket_secure_ports_check,AWS,s3,AWS s3 programmable compliance check
s3_bucket_public_write_access,AWS,s3,AWS s3 programmable compliance check
s3_bucket_security_configuration_review,AWS,s3,AWS s3 manual compliance check
s3_failback_execution_check,AWS,s3,AWS s3 manual compliance check
emr_cluster_publicly_accesible,AWS,emr,AWS emr programmable compliance check
emr_cluster_publicly_accesible,AWS,emr,AWS emr programmable compliance check
lambda_awsconfig_tracking_enabled,AWS,configservice,AWS configservice programmable compliance check
config_security_configuration_best_practices_check,AWS,configservice,AWS configservice programmable compliance check
workdocs_administrators_defined_using_iam,AWS,workdocs,AWS workdocs programmable compliance check
workdocs_ip_range_access_check,AWS,workdocs,AWS workdocs programmable compliance check
workdocs_shareable_links_check,AWS,workdocs,AWS workdocs programmable compliance check
workdocs_user_last_access_check,AWS,workdocs,AWS workdocs programmable compliance check
workdocs_user_mfa_enabled_check,AWS,workdocs,AWS workdocs programmable compliance check
workdocs_user_set_inactive,AWS,workdocs,AWS workdocs programmable compliance check
documentdb_cluster_backup_enabled,AWS,documentdb,AWS documentdb programmable compliance check
documentdb_cluster_cloudwatch_log_export,AWS,documentdb,AWS documentdb programmable compliance check
documentdb_cluster_deletion_protection,AWS,documentdb,AWS documentdb programmable compliance check
documentdb_cluster_multi_az_enabled,AWS,documentdb,AWS documentdb programmable compliance check
documentdb_cluster_public_snapshot,AWS,documentdb,AWS documentdb programmable compliance check
documentdb_cluster_storage_encrypted,AWS,documentdb,AWS documentdb programmable compliance check
documentdb_cluster_patch_update_notification_check,AWS,sns,AWS sns programmable compliance check
sns_create_subscription_check,AWS,sns,AWS sns programmable compliance check
sns_subscription_not_using_http_endpoints,AWS,sns,AWS sns programmable compliance check
sns_topic_encryption_enabled,AWS,sns,AWS sns programmable compliance check
sns_topics_kms_encryption_at_rest_enabled,AWS,sns,AWS sns programmable compliance check
sns_topics_not_publicly_accessible,AWS,sns,AWS sns programmable compliance check
datasync_task_logging_enabled,AWS,datasync,AWS datasync programmable compliance check
macie_automated_sensitive_data_discovery_enabled,AWS,macie,AWS macie programmable compliance check
macie_is_enabled,AWS,macie,AWS macie programmable compliance check
s3_bucket_data_classification,AWS,macie,AWS macie programmable compliance check
inspector_active_findings_exist,AWS,inspector2,AWS inspector2 programmable compliance check
inspector_is_enabled,AWS,inspector2,AWS inspector2 programmable compliance check
config_recorder_all_regions_enabled,AWS,config,AWS config programmable compliance check
config_recorder_significant_change_check,AWS,config,AWS config programmable compliance check
config_recorder_using_aws_service_role,AWS,config,AWS config programmable compliance check
config_automated_baseline_management,AWS,config,AWS config programmable compliance check
config_change_workflow_automation,AWS,config,AWS config programmable compliance check
config_impact_analysis_automation,AWS,config,AWS config programmable compliance check
config_access_control_automation,AWS,config,AWS config programmable compliance check
config_compliance_monitoring_enhanced,AWS,config,AWS config programmable compliance check
config_inventory_automation_enhanced,AWS,config,AWS config programmable compliance check
config_acquisition_lifecycle_tracking,AWS,config,AWS config programmable compliance check
config_contract_requirement_validation,AWS,config,AWS config programmable compliance check
config_contingency_plan_compliance_monitoring,AWS,config,AWS config programmable compliance check
config_interconnection_security_monitoring,AWS,config,AWS config programmable compliance check
config_field_maintenance_restriction_monitoring,AWS,config,AWS config programmable compliance check
config_supply_chain_control_monitoring,AWS,config,AWS config programmable compliance check
config_security_categorization_monitoring,AWS,config,AWS config programmable compliance check
config_privacy_policy_monitoring,AWS,config,AWS config programmable compliance check
config_physical_security_monitoring,AWS,config,AWS config programmable compliance check
config_program_management_monitoring,AWS,config,AWS config programmable compliance check
config_media_protection_monitoring,AWS,config,AWS config programmable compliance check
config_planning_compliance_monitoring,AWS,config,AWS config programmable compliance check
cognito_identity_pool_guest_access_disabled,AWS,cognito,AWS cognito programmable compliance check
cognito_user_pool_advanced_security_enabled,AWS,cognito,AWS cognito programmable compliance check
cognito_user_pool_blocks_compromised_credentials_sign_in_attempts,AWS,cognito,AWS cognito programmable compliance check
cognito_user_pool_blocks_potential_malicious_sign_in_attempts,AWS,cognito,AWS cognito programmable compliance check
cognito_user_pool_client_prevent_user_existence_errors,AWS,cognito,AWS cognito programmable compliance check
cognito_user_pool_client_token_revocation_enabled,AWS,cognito,AWS cognito programmable compliance check
cognito_user_pool_deletion_protection_enabled,AWS,cognito,AWS cognito programmable compliance check
cognito_user_pool_mfa_enabled,AWS,cognito,AWS cognito programmable compliance check
cognito_user_pool_password_policy_lowercase,AWS,cognito,AWS cognito programmable compliance check
cognito_user_pool_password_policy_minimum_length_14,AWS,cognito,AWS cognito programmable compliance check
cognito_user_pool_password_policy_number,AWS,cognito,AWS cognito programmable compliance check
cognito_user_pool_password_policy_symbol,AWS,cognito,AWS cognito programmable compliance check
cognito_user_pool_password_policy_uppercase,AWS,cognito,AWS cognito programmable compliance check
cognito_user_pool_self_registration_disabled,AWS,cognito,AWS cognito programmable compliance check
cognito_user_pool_temporary_password_expiration,AWS,cognito,AWS cognito programmable compliance check
cognito_user_pool_waf_acl_attached,AWS,cognito,AWS cognito programmable compliance check
cognito_user_pool_failed_login_attempts_limit,AWS,cognito-idp,AWS cognito-idp programmable compliance check
cognito_user_pool_last_login_notification,AWS,cognito-idp,AWS cognito-idp programmable compliance check
memorydb_cluster_audit_logging_enabled,AWS,memorydb,AWS memorydb programmable compliance check
directoryservice_cluster_auto_minor_version_upgrades,AWS,memorydb,AWS memorydb programmable compliance check
memorydb_cluster_monitoring_enabled,AWS,memorydb,AWS memorydb programmable compliance check
inspector_vulnerability_assessment_automation,AWS,inspector,AWS inspector programmable compliance check
inspector_vulnerability_assessment_automation,AWS,inspector,AWS inspector programmable compliance check
inspector_supply_chain_vulnerability_assessment,AWS,inspector,AWS inspector programmable compliance check
inspector_advanced_vulnerability_scanning,AWS,inspector,AWS inspector programmable compliance check
fms_policy_compliant,AWS,fms,AWS fms programmable compliance check
systemsmanager_enabled_with_plans,AWS,ssmincidents,AWS ssmincidents programmable compliance check
cloudfront_distribution_csp_policy_check,AWS,cloudfront,AWS cloudfront programmable compliance check
cloudfront_distribution_script_integrity_check,AWS,cloudfront,AWS cloudfront programmable compliance check
cloudfront_distribution_security_headers_check,AWS,cloudfront,AWS cloudfront programmable compliance check
cloudfront_distribution_sri_enabled,AWS,cloudfront,AWS cloudfront programmable compliance check
cloudfront_distributions_custom_ssl_certificate,AWS,cloudfront,AWS cloudfront programmable compliance check
cloudfront_distributions_default_root_object,AWS,cloudfront,AWS cloudfront programmable compliance check
cloudfront_distributions_field_level_encryption_enabled,AWS,cloudfront,AWS cloudfront programmable compliance check
cloudfront_distributions_geo_restrictions_enabled,AWS,cloudfront,AWS cloudfront programmable compliance check
cloudfront_distributions_https_enabled,AWS,cloudfront,AWS cloudfront programmable compliance check
cloudfront_distributions_https_sni_enabled,AWS,cloudfront,AWS cloudfront programmable compliance check
cloudfront_distributions_logging_enabled,AWS,cloudfront,AWS cloudfront programmable compliance check
cloudfront_distributions_multiple_origin_failover_configured,AWS,cloudfront,AWS cloudfront programmable compliance check
cloudfront_distributions_origin_traffic_encrypted,AWS,cloudfront,AWS cloudfront programmable compliance check
cloudfront_distributions_s3_origin_access_control,AWS,cloudfront,AWS cloudfront programmable compliance check
cloudfront_distributions_s3_origin_non_existent_bucket,AWS,cloudfront,AWS cloudfront programmable compliance check
cloudfront_distributions_using_deprecated_ssl_protocols,AWS,cloudfront,AWS cloudfront programmable compliance check
cloudfront_distributions_using_waf,AWS,cloudfront,AWS cloudfront programmable compliance check
waf_webacl_logging_enabled,AWS,wafv2,AWS wafv2 programmable compliance check
waf_webacl_with_rules,AWS,wafv2,AWS wafv2 programmable compliance check
opensearch_service_domains_access_control_enabled,AWS,opensearch,AWS opensearch programmable compliance check
opensearch_service_domains_audit_logging_enabled,AWS,opensearch,AWS opensearch programmable compliance check
opensearch_service_domains_cloudwatch_logging_enabled,AWS,opensearch,AWS opensearch programmable compliance check
opensearch_service_domains_encryption_at_rest_enabled,AWS,opensearch,AWS opensearch programmable compliance check
opensearch_service_domains_fault_tolerant_data_nodes,AWS,opensearch,AWS opensearch programmable compliance check
opensearch_service_domains_fault_tolerant_master_nodes,AWS,opensearch,AWS opensearch programmable compliance check
opensearch_service_domains_https_communications_enforced,AWS,opensearch,AWS opensearch programmable compliance check
opensearch_service_domains_internal_user_database_enabled,AWS,opensearch,AWS opensearch programmable compliance check
opensearch_service_domains_node_to_node_encryption_enabled,AWS,opensearch,AWS opensearch programmable compliance check
opensearch_service_domains_not_publicly_accessible,AWS,opensearch,AWS opensearch programmable compliance check
opensearch_service_domains_updated_to_the_latest_service_software_version,AWS,opensearch,AWS opensearch programmable compliance check
opensearch_service_domains_use_cognito_authentication_for_kibana,AWS,opensearch,AWS opensearch programmable compliance check
accessanalyzer_enabled,AWS,accessanalyzer,AWS accessanalyzer programmable compliance check
accessanalyzer_enabled_without_findings,AWS,accessanalyzer,AWS accessanalyzer programmable compliance check
glacier_vaults_policy_public_access,AWS,glacier,AWS glacier programmable compliance check
lightsail_bucket_iam_policy_check,AWS,lightsail,AWS lightsail programmable compliance check
lightsail_bucket_not_publicly_accessible,AWS,lightsail,AWS lightsail programmable compliance check
lightsail_database_public,AWS,lightsail,AWS lightsail programmable compliance check
lightsail_disable_ipv6_if_not_in_use,AWS,lightsail,AWS lightsail programmable compliance check
lightsail_instance_attached_to_bucket,AWS,lightsail,AWS lightsail programmable compliance check
lightsail_instance_automated_snapshots,AWS,lightsail,AWS lightsail programmable compliance check
lightsail_instance_check_for_updates,AWS,lightsail,AWS lightsail programmable compliance check
lightsail_instance_default_admin_credentials_changed,AWS,lightsail,AWS lightsail programmable compliance check
lightsail_instance_disable_ssh_rdp_ports,AWS,lightsail,AWS lightsail programmable compliance check
lightsail_instance_public,AWS,lightsail,AWS lightsail programmable compliance check
lightsail_instance_rdp_access_restriction_check,AWS,lightsail,AWS lightsail programmable compliance check
lightsail_instance_ssh_access_restriction_check,AWS,lightsail,AWS lightsail programmable compliance check
lightsail_static_ip_unused,AWS,lightsail,AWS lightsail programmable compliance check
lightsail_windows_instance_default_password_changed,AWS,lightsail,AWS lightsail programmable compliance check
