program_name,provider,service,short_description
gcp_compute_instance_patch_compliance_status,GCP,Compute Engine,GCP Compute Engine security compliance check
gcp_compute_instance_public_access_disabled,GCP,Compute Engine,GCP Compute Engine security compliance check
gcp_compute_instance_remote_access_authorized,GCP,Compute Engine,GCP Compute Engine security compliance check
gcp_compute_instance_remote_access_disabled,GCP,Compute Engine,GCP Compute Engine security compliance check
gcp_compute_instance_resource_intensive_protection,GCP,Compute Engine,GCP Compute Engine security compliance check
gcp_compute_instance_restrict_remote_command_execution,GCP,Compute Engine,GCP Compute Engine security compliance check
gcp_compute_instance_restrict_script_execution,GCP,Compute Engine,GCP Compute Engine security compliance check
gcp_compute_instance_secure_configuration,GCP,Compute Engine,GCP Compute Engine security compliance check
gcp_compute_instance_security_configuration_documented,GCP,Compute Engine,GCP Compute Engine security compliance check
gcp_compute_instance_security_requirements_defined,GCP,Compute Engine,GCP Compute Engine security compliance check
gcp_compute_instance_single_user_mode_authentication_required,GCP,Compute Engine,GCP Compute Engine security compliance check
gcp_compute_instance_software_restriction,GCP,Compute Engine,GCP Compute Engine security compliance check
gcp_compute_instance_su_command_restricted,GCP,Compute Engine,GCP Compute Engine security compliance check
gcp_compute_instance_supply_chain_protection,GCP,Compute Engine,GCP Compute Engine security compliance check
gcp_compute_instance_system_info_protection,GCP,Compute Engine,GCP Compute Engine security compliance check
gcp_compute_instance_system_info_restriction,GCP,Compute Engine,GCP Compute Engine security compliance check
gcp_compute_instance_no_public_ip,GCP,Compute Engine,GCP Compute Engine security compliance check
gcp_compute_instance_unauthorized_modification_prevent,GCP,Compute Engine,GCP Compute Engine security compliance check
gcp_compute_instance_use_cloud_keys,GCP,Compute Engine,GCP Compute Engine security compliance check
gcp_compute_instance_video_device_compliance,GCP,Compute Engine,GCP Compute Engine security compliance check
gcp_compute_instances_patch_management_system,GCP,Compute Engine,GCP Compute Engine security compliance check
gcp_compute_logging_sql_instance_config_change_alerts_exist,GCP,Compute Engine,GCP Compute Engine security compliance check
gcp_compute_memorystore_instance_custom_subnet_configured,GCP,Compute Engine,GCP Compute Engine security compliance check
gcp_compute_memorystore_instance_encryption_in_transit_enabled,GCP,Compute Engine,GCP Compute Engine security compliance check
gcp_compute_monitoring_compute_alert_policy_exists,GCP,Compute Engine,GCP Compute Engine security compliance check
gcp_compute_monitoring_compute_engine_detailed_enabled,GCP,Compute Engine,GCP Compute Engine security compliance check
gcp_compute_monitoring_sql_instance_config_change_alert,GCP,Compute Engine,GCP Compute Engine security compliance check
gcp_compute_network_vpc_instances_compliance,GCP,Compute Engine,GCP Compute Engine security compliance check
gcp_compute_network_vpc_instances_configured,GCP,Compute Engine,GCP Compute Engine security compliance check
gcp_compute_recovery_point_encrypted,GCP,Compute Engine,GCP Compute Engine security compliance check
gcp_compute_search_instances_encryption_at_rest_enabled,GCP,Compute Engine,GCP Compute Engine security compliance check
gcp_compute_search_nodes_encryption_enabled,GCP,Compute Engine,GCP Compute Engine security compliance check
gcp_compute_security_policy_conditions_present,GCP,Compute Engine,GCP Compute Engine security compliance check
gcp_compute_security_policy_contains_rules,GCP,Compute Engine,GCP Compute Engine security compliance check
gcp_compute_security_policy_has_rules,GCP,Compute Engine,GCP Compute Engine security compliance check
gcp_compute_security_policy_logging_enabled,GCP,Compute Engine,GCP Compute Engine security compliance check
gcp_compute_security_policy_rule_conditions_present,GCP,Compute Engine,GCP Compute Engine security compliance check
gcp_compute_security_policy_rules_conditions_present,GCP,Compute Engine,GCP Compute Engine security compliance check
gcp_compute_security_policy_rules_present,GCP,Compute Engine,GCP Compute Engine security compliance check
gcp_compute_spanner_instance_audit_logging_enabled,GCP,Compute Engine,GCP Compute Engine security compliance check
gcp_compute_spanner_instance_iam_authentication_enabled,GCP,Compute Engine,GCP Compute Engine security compliance check
gcp_compute_spanner_instance_storage_encryption_enabled,GCP,Compute Engine,GCP Compute Engine security compliance check
gcp_compute_sql_instance_cross_db_ownership_chaining_off,GCP,Compute Engine,GCP Compute Engine security compliance check
gcp_compute_sql_instance_contained_database_authentication_off,GCP,Compute Engine,GCP Compute Engine security compliance check
gcp_compute_sql_instance_ssl_enforcement,GCP,Compute Engine,GCP Compute Engine security compliance check
gcp_compute_sql_database_snapshot_non_public,GCP,Compute Engine,GCP Compute Engine security compliance check
gcp_compute_sql_instance_admin_privileges_disabled,GCP,Compute Engine,GCP Compute Engine security compliance check
gcp_compute_sql_instance_audit_logging_enabled,GCP,Compute Engine,GCP Compute Engine security compliance check
gcp_sql_database_backups_encrypted,GCP,Compute Engine,GCP Compute Engine security compliance check
gcp_compute_sql_instance_contained_database_authentication_off,GCP,Compute Engine,GCP Compute Engine security compliance check
gcp_compute_sql_instance_cross_db_ownership_chaining_off,GCP,Compute Engine,GCP Compute Engine security compliance check
gcp_compute_sql_instance_encryption_at_rest,GCP,Compute Engine,GCP Compute Engine security compliance check
gcp_compute_sql_instance_firewall_default_only,GCP,Compute Engine,GCP Compute Engine security compliance check
gcp_compute_sql_instance_logging_audit_enabled,GCP,Compute Engine,GCP Compute Engine security compliance check
gcp_compute_sql_instance_no_admin_access,GCP,Compute Engine,GCP Compute Engine security compliance check
gcp_compute_sql_instance_no_public_access,GCP,Compute Engine,GCP Compute Engine security compliance check
gcp_compute_sql_instance_remote_access_disabled,GCP,Compute Engine,GCP Compute Engine security compliance check
gcp_compute_sql_instance_retention_period_compliant,GCP,Compute Engine,GCP Compute Engine security compliance check
gcp_compute_sql_instance_retention_period_enforced,GCP,Compute Engine,GCP Compute Engine security compliance check
gcp_compute_sql_instance_ssl_enforcement,GCP,Compute Engine,GCP Compute Engine security compliance check
gcp_compute_sql_instance_user_connections_unrestricted,GCP,Compute Engine,GCP Compute Engine security compliance check
gcp_sql_database_automated_backups_enabled,GCP,Compute Engine,GCP Compute Engine security compliance check
gcp_compute_sql_instances_default_network_firewall_settings,GCP,Compute Engine,GCP Compute Engine security compliance check
gcp_compute_sql_instances_storage_encryption_enabled,GCP,Compute Engine,GCP Compute Engine security compliance check
gcp_compute_sql_mysql_instance_admin_password_set,GCP,Compute Engine,GCP Compute Engine security compliance check
gcp_compute_sql_mysql_instance_password_set,GCP,Compute Engine,GCP Compute Engine security compliance check
gcp_compute_sql_mysql_instances_audit_log_publishing_enabled,GCP,Compute Engine,GCP Compute Engine security compliance check
gcp_compute_sql_postgresql_instance_enable_pgaudit,GCP,Compute Engine,GCP Compute Engine security compliance check
gcp_compute_sql_snapshot_public_access_restricted,GCP,Compute Engine,GCP Compute Engine security compliance check
gcp_compute_sql_snapshots_encrypted,GCP,Compute Engine,GCP Compute Engine security compliance check
gcp_compute_ssh_idle_timeout_interval_configured,GCP,Compute Engine,GCP Compute Engine security compliance check
gcp_compute_ssh_max_sessions_limited,GCP,Compute Engine,GCP Compute Engine security compliance check
gcp_compute_ssh_maxstartups_configured,GCP,Compute Engine,GCP Compute Engine security compliance check
gcp_compute_ssh_permit_empty_passwords_disabled,GCP,Compute Engine,GCP Compute Engine security compliance check
gcp_compute_ssh_x11_forwarding_disabled,GCP,Compute Engine,GCP Compute Engine security compliance check
gcp_compute_sshd_config_permissions_configured,GCP,Compute Engine,GCP Compute Engine security compliance check
gcp_compute_stackdriver_logging_agent_image_check,GCP,Compute Engine,GCP Compute Engine security compliance check
gcp_compute_storage_backup_vault_prevent_snapshot_deletion,GCP,Compute Engine,GCP Compute Engine security compliance check
gcp_compute_storage_snapshot_encrypted,GCP,Compute Engine,GCP Compute Engine security compliance check
gcp_compute_storage_snapshot_encryption_required,GCP,Compute Engine,GCP Compute Engine security compliance check
gcp_compute_vertex_ai_workbench_instance_no_internet_access,GCP,Compute Engine,GCP Compute Engine security compliance check
gcp_compute_vm_restrict_utility_programs,GCP,Compute Engine,GCP Compute Engine security compliance check
gcp_compute_vm_utility_programs_restricted,GCP,Compute Engine,GCP Compute Engine security compliance check
gcp_compute_instance_block_project_wide_ssh_keys_enabled,GCP,Compute Engine Security,GCP Compute Engine Security security compliance check
gcp_compute_instance_csek_enabled,GCP,Compute Engine Security,GCP Compute Engine Security security compliance check
gcp_compute_instance_enable_os_login,GCP,Compute Engine Security,GCP Compute Engine Security security compliance check
gcp_compute_instance_iam_service_account_attached,GCP,Compute Engine Security,GCP Compute Engine Security security compliance check
gcp_compute_instance_metadata_enhanced_enabled,GCP,Compute Engine Security,GCP Compute Engine Security security compliance check
gcp_compute_instance_metadata_v2_enabled,GCP,Compute Engine Security,GCP Compute Engine Security security compliance check
gcp_compute_instance_metadata_v2_only_enabled,GCP,Compute Engine Security,GCP Compute Engine Security security compliance check
gcp_compute_instance_no_default_service_account,GCP,Compute Engine Security,GCP Compute Engine Security security compliance check
gcp_compute_instance_no_service_account_key,GCP,Compute Engine Security,GCP Compute Engine Security security compliance check
gcp_compute_instance_non_default_service_account,GCP,Compute Engine Security,GCP Compute Engine Security security compliance check
gcp_compute_instance_service_account_attached,GCP,Compute Engine Security,GCP Compute Engine Security security compliance check
gcp_compute_instance_shielded_vm_enabled,GCP,Compute Engine Security,GCP Compute Engine Security security compliance check
gcp_compute_instance_specific_ssh_keys,GCP,Compute Engine Security,GCP Compute Engine Security security compliance check
gcp_compute_instance_ssh_allow_tcp_forwarding_disabled,GCP,Compute Engine Security,GCP Compute Engine Security security compliance check
gcp_compute_instance_ssh_hostbased_authentication_disabled,GCP,Compute Engine Security,GCP Compute Engine Security security compliance check
gcp_compute_instance_ssh_ignore_rhosts_enabled,GCP,Compute Engine Security,GCP Compute Engine Security security compliance check
gcp_compute_instance_ssh_key_restriction,GCP,Compute Engine Security,GCP Compute Engine Security security compliance check
gcp_compute_instance_ssh_log_level_info,GCP,Compute Engine Security,GCP Compute Engine Security security compliance check
gcp_compute_instance_ssh_login_grace_time,GCP,Compute Engine Security,GCP Compute Engine Security security compliance check
gcp_compute_instance_ssh_max_auth_tries,GCP,Compute Engine Security,GCP Compute Engine Security security compliance check
gcp_compute_instance_ssh_pam_enabled,GCP,Compute Engine Security,GCP Compute Engine Security security compliance check
gcp_compute_instance_ssh_private_key_permissions_configured,GCP,Compute Engine Security,GCP Compute Engine Security security compliance check
gcp_compute_instance_ssh_protocol_v2,GCP,Compute Engine Security,GCP Compute Engine Security security compliance check
gcp_compute_instance_ssh_public_host_key_permissions_configured,GCP,Compute Engine Security,GCP Compute Engine Security security compliance check
gcp_compute_instance_ssh_root_login_disabled,GCP,Compute Engine Security,GCP Compute Engine Security security compliance check
gcp_compute_instance_use_instance_specific_ssh_keys,GCP,Compute Engine Security,GCP Compute Engine Security security compliance check
gcp_compute_sql_instance_no_default_service_account,GCP,Compute Engine Security,GCP Compute Engine Security security compliance check
gcp_compute_sql_instances_use_default_service_account,GCP,Compute Engine Security,GCP Compute Engine Security security compliance check
gcp_compute_instance_block_public_ip_and_restrict_ingress,GCP,Compute Engine Networking,GCP Compute Engine Networking security compliance check
gcp_compute_instance_disable_ip_forwarding,GCP,Compute Engine Networking,GCP Compute Engine Networking security compliance check
gcp_compute_instance_ip_forwarding_disabled,GCP,Compute Engine Networking,GCP Compute Engine Networking security compliance check
gcp_compute_instance_no_public_ip,GCP,Compute Engine Networking,GCP Compute Engine Networking security compliance check
gcp_compute_instance_private_ip_enforced,GCP,Compute Engine Networking,GCP Compute Engine Networking security compliance check
gcp_compute_instance_private_ip_enforcement,GCP,Compute Engine Networking,GCP Compute Engine Networking security compliance check
gcp_compute_sql_instance_no_public_ip,GCP,Compute Engine Networking,GCP Compute Engine Networking security compliance check
gcp_compute_sql_instance_private_ip_configuration,GCP,Compute Engine Networking,GCP Compute Engine Networking security compliance check
gcp_compute_sql_instance_private_ip_configured,GCP,Compute Engine Networking,GCP Compute Engine Networking security compliance check
gcp_compute_sql_instances_no_public_ip,GCP,Compute Engine Networking,GCP Compute Engine Networking security compliance check
gcp_compute_boot_disk_cmek_enabled,GCP,Disks,GCP Disks security compliance check
gcp_compute_disk_backup_policy_compliance,GCP,Disks,GCP Disks security compliance check
gcp_compute_disk_default_encryption_enabled,GCP,Disks,GCP Disks security compliance check
gcp_compute_disk_snapshots_no_public_access,GCP,Disks,GCP Disks security compliance check
gcp_compute_disks_backup_policy_compliance,GCP,Disks,GCP Disks security compliance check
gcp_compute_disks_data_integrity_preserved,GCP,Disks,GCP Disks security compliance check
gcp_compute_persistent_disks_encrypted_with_cmek,GCP,Disks,GCP Disks security compliance check
gcp_compute_vm_disks_encrypted_with_csek,GCP,Disks,GCP Disks security compliance check
gcp_compute_firewall_allow_all_disabled,GCP,Networking,GCP Networking security compliance check
gcp_compute_firewall_public_access_restricted,GCP,Networking,GCP Networking security compliance check
gcp_compute_firewall_ssh_restricted,GCP,Networking,GCP Networking security compliance check
gcp_compute_firewall_rdp_restricted,GCP,Networking,GCP Networking security compliance check
gcp_compute_firewall_icmp_restricted,GCP,Networking,GCP Networking security compliance check
gcp_compute_firewall_priority_configured,GCP,Networking,GCP Networking security compliance check
gcp_compute_firewall_logging_enabled,GCP,Networking,GCP Networking security compliance check
gcp_compute_firewall_source_ranges_restricted,GCP,Networking,GCP Networking security compliance check
gcp_compute_firewall_service_account_restricted,GCP,Networking,GCP Networking security compliance check
gcp_compute_firewall_rules_immutable,GCP,Networking,GCP Networking security compliance check
gcp_compute_legacy_networks_absent,GCP,Networking,GCP Networking security compliance check
gcp_compute_network_security_configuration_documented,GCP,Networking,GCP Networking security compliance check
gcp_compute_networks_legacy_absent,GCP,Networking,GCP Networking security compliance check
gcp_compute_vpc_flow_logs_enabled,GCP,VPC,GCP VPC security compliance check
gcp_compute_vpc_private_google_access_enabled,GCP,VPC,GCP VPC security compliance check
gcp_compute_vpc_dns_logging_enabled,GCP,VPC,GCP VPC security compliance check
gcp_compute_vpc_subnet_private_access_enabled,GCP,VPC,GCP VPC security compliance check
gcp_compute_vpc_network_peering_restricted,GCP,VPC,GCP VPC security compliance check
gcp_compute_vpc_shared_vpc_host_enabled,GCP,VPC,GCP VPC security compliance check
gcp_compute_vpc_network_firewall_policy_enabled,GCP,VPC,GCP VPC security compliance check
gcp_compute_vpc_network_security_policy_enabled,GCP,VPC,GCP VPC security compliance check
gcp_compute_vpc_network_encryption_enabled,GCP,VPC,GCP VPC security compliance check
gcp_compute_vpc_network_private_service_connect_enabled,GCP,VPC,GCP VPC security compliance check
gcp_vpc_ai_platform_notebook_vpc_compliance,GCP,VPC,GCP VPC security compliance check
gcp_vpc_ai_platform_notebook_vpc_subnet_compliance,GCP,VPC,GCP VPC security compliance check
gcp_vpc_logging_network_flow_analysis,GCP,VPC,GCP VPC security compliance check
gcp_vpc_logging_vpc_log_metric_filter_alerts_exist,GCP,VPC,GCP VPC security compliance check
gcp_vpc_logging_vpc_log_metric_filter_and_alerts_exist,GCP,VPC,GCP VPC security compliance check
gcp_vpc_logging_vpc_network_log_metric_filter_alerts_exist,GCP,VPC,GCP VPC security compliance check
gcp_vpc_logging_vpc_route_change_alerts_exist,GCP,VPC,GCP VPC security compliance check
gcp_vpc_network_ai_platform_notebooks_vpc_compliance,GCP,VPC,GCP VPC security compliance check
gcp_vpc_network_api_association_with_cloud_armor,GCP,VPC,GCP VPC security compliance check
gcp_vpc_network_api_gateway_ssl_certificate_associated,GCP,VPC,GCP VPC security compliance check
gcp_vpc_network_api_gateway_ssl_certificate_required,GCP,VPC,GCP VPC security compliance check
gcp_vpc_network_cables_protection_ensured,GCP,VPC,GCP VPC security compliance check
gcp_vpc_network_cdn_access_logs_configured,GCP,VPC,GCP VPC security compliance check
gcp_vpc_network_cdn_associated_with_cloud_armor,GCP,VPC,GCP VPC security compliance check
gcp_vpc_network_cdn_backend_tls_minimum_protocol_enforced,GCP,VPC,GCP VPC security compliance check
gcp_vpc_network_cdn_backends_logging_configured,GCP,VPC,GCP VPC security compliance check
gcp_vpc_network_cdn_backends_no_deprecated_ssl,GCP,VPC,GCP VPC security compliance check
gcp_vpc_network_cdn_backendservice_non_default_ssl_certificate,GCP,VPC,GCP VPC security compliance check
gcp_vpc_network_cdn_certificate_custom_ssl,GCP,VPC,GCP VPC security compliance check
gcp_vpc_network_cdn_cloud_armor_association,GCP,VPC,GCP VPC security compliance check
gcp_vpc_network_cdn_custom_ssl_certificate_required,GCP,VPC,GCP VPC security compliance check
gcp_vpc_network_cdn_custom_ssl_sni_enabled,GCP,VPC,GCP VPC security compliance check
gcp_vpc_network_cdn_distribution_authorized_service_account,GCP,VPC,GCP VPC security compliance check
gcp_vpc_network_cdn_distribution_no_deprecated_ssl,GCP,VPC,GCP VPC security compliance check
gcp_vpc_network_cdn_https_enforced,GCP,VPC,GCP VPC security compliance check
gcp_vpc_network_cdn_https_enforcement,GCP,VPC,GCP VPC security compliance check
gcp_vpc_network_cdn_logging_configured,GCP,VPC,GCP VPC security compliance check
gcp_vpc_network_cdn_logging_enabled,GCP,VPC,GCP VPC security compliance check
gcp_vpc_network_cdn_no_deprecated_ssl_protocols,GCP,VPC,GCP VPC security compliance check
gcp_vpc_network_cdn_origin_ssl_protocols_no_sslv3,GCP,VPC,GCP VPC security compliance check
gcp_vpc_network_cdn_origin_ssl_protocols_non_deprecated,GCP,VPC,GCP VPC security compliance check
gcp_vpc_network_cdn_signed_urls_enabled,GCP,VPC,GCP VPC security compliance check
gcp_vpc_network_cdn_ssl_certificate_custom,GCP,VPC,GCP VPC security compliance check
gcp_vpc_network_cdn_ssl_certificate_non_default,GCP,VPC,GCP VPC security compliance check
gcp_vpc_network_cdn_ssl_protocols_no_sslv3,GCP,VPC,GCP VPC security compliance check
gcp_vpc_network_cdn_ssl_protocols_non_deprecated,GCP,VPC,GCP VPC security compliance check
gcp_vpc_network_cdn_ssl_sni_enabled,GCP,VPC,GCP VPC security compliance check
gcp_vpc_network_classic_load_balancer_ssl_certificates_google_managed,GCP,VPC,GCP VPC security compliance check
gcp_vpc_network_cloud_armor_metrics_enabled,GCP,VPC,GCP VPC security compliance check
gcp_vpc_network_cloud_armor_security_ops_access_configured,GCP,VPC,GCP VPC security compliance check
gcp_vpc_network_cloud_armor_security_team_access_configured,GCP,VPC,GCP VPC security compliance check
gcp_vpc_network_cloud_function_vpc_enabled,GCP,VPC,GCP VPC security compliance check
gcp_vpc_network_cloud_router_associated_authorized_vpc,GCP,VPC,GCP VPC security compliance check
gcp_vpc_network_cloud_router_authorized_vpc_association,GCP,VPC,GCP VPC security compliance check
gcp_vpc_network_cloud_router_authorized_vpc_attachment,GCP,VPC,GCP VPC security compliance check
gcp_vpc_network_cloud_search_private_endpoint,GCP,VPC,GCP VPC security compliance check
gcp_vpc_network_cloud_search_vpc_configured,GCP,VPC,GCP VPC security compliance check
gcp_vpc_network_cloud_search_vpc_enforced,GCP,VPC,GCP VPC security compliance check
gcp_vpc_network_cloud_search_vpc_enforcement,GCP,VPC,GCP VPC security compliance check
gcp_vpc_network_connections_list_restriction,GCP,VPC,GCP VPC security compliance check
gcp_vpc_network_connections_restricted_access,GCP,VPC,GCP VPC security compliance check
gcp_vpc_network_connections_secure_by_default,GCP,VPC,GCP VPC security compliance check
gcp_vpc_network_default_network_existence,GCP,VPC,GCP VPC security compliance check
gcp_vpc_network_device_access_control_measures,GCP,VPC,GCP VPC security compliance check
gcp_vpc_network_devices_data_leakage_prevention,GCP,VPC,GCP VPC security compliance check
gcp_vpc_network_dms_private_services_no_public_access,GCP,VPC,GCP VPC security compliance check
gcp_vpc_network_elasticsearch_https_enforced,GCP,VPC,GCP VPC security compliance check
gcp_vpc_network_elasticsearch_private_endpoint,GCP,VPC,GCP VPC security compliance check
gcp_vpc_network_elasticsearch_vpc_configured,GCP,VPC,GCP VPC security compliance check
gcp_vpc_network_elasticsearch_vpc_enforced,GCP,VPC,GCP VPC security compliance check
gcp_vpc_network_elasticsearch_vpc_enforcement,GCP,VPC,GCP VPC security compliance check
gcp_vpc_network_endpoint_ssl_certificate_required,GCP,VPC,GCP VPC security compliance check
gcp_vpc_network_endpoints_api_backend_type_compliance,GCP,VPC,GCP VPC security compliance check
gcp_vpc_network_endpoints_associated_with_armor_policies,GCP,VPC,GCP VPC security compliance check
gcp_vpc_network_endpoints_associated_with_cloud_armor,GCP,VPC,GCP VPC security compliance check
